000000021a8a0e50 (__DATA,__data) non-external _.compoundliteral
00000001e50561c4 (__TEXT,__text) non-external (was a private external) _glvmGetSourceOffsetStride
00000001e506f4ac (__TEXT,__text) external _glvmInterpretCPTransformPatch
00000001e506d300 (__TEXT,__text) non-external (was a private external) _glvmInterpretCPTransformPatchInner
00000001e507214c (__TEXT,__text) external _glvmInterpretEPTransformPatch
00000001e506fb34 (__TEXT,__text) non-external (was a private external) _glvmInterpretEPTransformPatchInner
00000001e507b5e8 (__TEXT,__text) external _glvmInterpretFPTransformFour
00000001e5078bf8 (__TEXT,__text) non-external (was a private external) _glvmInterpretFPTransformFourInner
00000001e50760c0 (__TEXT,__text) external _glvmInterpretGPTransformPrimitive
00000001e50735f0 (__TEXT,__text) non-external (was a private external) _glvmInterpretGPTransformPrimitiveInner
00000001e506cc08 (__TEXT,__text) external _glvmInterpretVPTransformFour
00000001e506a10c (__TEXT,__text) non-external (was a private external) _glvmInterpretVPTransformFourInner
00000001e50412c0 (__TEXT,__text) non-external (was a private external) _glvmLoadDestTemp
00000001e503dfec (__TEXT,__text) non-external (was a private external) _glvmLoadSourceAddress
00000001e5049d90 (__TEXT,__text) non-external (was a private external) _glvmLoadSourceAttribCP
00000001e504dfb8 (__TEXT,__text) non-external (was a private external) _glvmLoadSourceAttribEP
00000001e5051c38 (__TEXT,__text) non-external (was a private external) _glvmLoadSourceAttribFP
00000001e5050d28 (__TEXT,__text) non-external (was a private external) _glvmLoadSourceAttribGP
00000001e50471d4 (__TEXT,__text) non-external (was a private external) _glvmLoadSourceAttribVP
00000001e503e9c8 (__TEXT,__text) non-external (was a private external) _glvmLoadSourceParam
00000001e503c9d4 (__TEXT,__text) non-external (was a private external) _glvmLoadSourceTemp
00000001e51004d0 (__TEXT,__text) non-external _glvmOp
00000001e5058f44 (__TEXT,__text) non-external (was a private external) _glvmOperationABS
00000001e506608c (__TEXT,__text) non-external (was a private external) _glvmOperationACOSH
00000001e50590e4 (__TEXT,__text) non-external (was a private external) _glvmOperationACS
00000001e505d77c (__TEXT,__text) non-external (was a private external) _glvmOperationADD
00000001e5059230 (__TEXT,__text) non-external (was a private external) _glvmOperationALL
00000001e50657b0 (__TEXT,__text) non-external (was a private external) _glvmOperationAND
00000001e505d8c8 (__TEXT,__text) non-external (was a private external) _glvmOperationANL
00000001e50593f8 (__TEXT,__text) non-external (was a private external) _glvmOperationANY
00000001e5058ee8 (__TEXT,__text) non-external (was a private external) _glvmOperationARA
00000001e5058ec0 (__TEXT,__text) non-external (was a private external) _glvmOperationARL
00000001e5058ee4 (__TEXT,__text) non-external (was a private external) _glvmOperationARR
00000001e5065f5c (__TEXT,__text) non-external (was a private external) _glvmOperationASINH
00000001e50595c0 (__TEXT,__text) non-external (was a private external) _glvmOperationASN
00000001e50661bc (__TEXT,__text) non-external (was a private external) _glvmOperationATANH
00000001e5059738 (__TEXT,__text) non-external (was a private external) _glvmOperationATN
00000001e505d90c (__TEXT,__text) non-external (was a private external) _glvmOperationATN2
00000001e505857c (__TEXT,__text) non-external (was a private external) _glvmOperationATN_Core
00000001e506434c (__TEXT,__text) non-external (was a private external) _glvmOperationBDL
00000001e50682b8 (__TEXT,__text) non-external (was a private external) _glvmOperationBITCOUNT
00000001e5067ef4 (__TEXT,__text) non-external (was a private external) _glvmOperationBITFIELD_REVERSE
00000001e5059744 (__TEXT,__text) non-external (was a private external) _glvmOperationCEI
00000001e506195c (__TEXT,__text) non-external (was a private external) _glvmOperationCLM
00000001e50618f4 (__TEXT,__text) non-external (was a private external) _glvmOperationCMP
00000001e5065b98 (__TEXT,__text) non-external (was a private external) _glvmOperationCOMP
00000001e50598b8 (__TEXT,__text) non-external (was a private external) _glvmOperationCOS
00000001e5065cfc (__TEXT,__text) non-external (was a private external) _glvmOperationCOSH
00000001e5076368 (__TEXT,__text) non-external (was a private external) _glvmOperationCopyAttributes
00000001e505d6f0 (__TEXT,__text) non-external (was a private external) _glvmOperationDDX
00000001e505d71c (__TEXT,__text) non-external (was a private external) _glvmOperationDDY
00000001e5059944 (__TEXT,__text) non-external (was a private external) _glvmOperationDEG
00000001e505e600 (__TEXT,__text) non-external (was a private external) _glvmOperationDISTANCE
00000001e505daa4 (__TEXT,__text) non-external (was a private external) _glvmOperationDIV
00000001e505de0c (__TEXT,__text) non-external (was a private external) _glvmOperationDOT
00000001e505e164 (__TEXT,__text) non-external (was a private external) _glvmOperationDP3
00000001e505e354 (__TEXT,__text) non-external (was a private external) _glvmOperationDP4
00000001e505e4b4 (__TEXT,__text) non-external (was a private external) _glvmOperationDPH
00000001e5063438 (__TEXT,__text) non-external (was a private external) _glvmOperationDSL
00000001e505e558 (__TEXT,__text) non-external (was a private external) _glvmOperationDST
00000001e506d0fc (__TEXT,__text) non-external (was a private external) _glvmOperationDispatchCP
00000001e506f930 (__TEXT,__text) non-external (was a private external) _glvmOperationDispatchEP
00000001e507899c (__TEXT,__text) non-external (was a private external) _glvmOperationDispatchFP
00000001e50733ec (__TEXT,__text) non-external (was a private external) _glvmOperationDispatchGP
00000001e5069ea8 (__TEXT,__text) non-external (was a private external) _glvmOperationDispatchVP
00000001e5072cb4 (__TEXT,__text) non-external (was a private external) _glvmOperationENDSTREAMPRIMITIVE
00000001e5073174 (__TEXT,__text) non-external (was a private external) _glvmOperationENDSTREAMPRIMITIVES
00000001e5072f10 (__TEXT,__text) non-external (was a private external) _glvmOperationENDSTREAMPRIMITIVEWithMask
00000001e5059984 (__TEXT,__text) non-external (was a private external) _glvmOperationEX2
00000001e5057d1c (__TEXT,__text) non-external (was a private external) _glvmOperationEX2_Core
00000001e5059ae8 (__TEXT,__text) non-external (was a private external) _glvmOperationEXP
00000001e5059af0 (__TEXT,__text) non-external (was a private external) _glvmOperationEXPE
00000001e5066864 (__TEXT,__text) non-external (was a private external) _glvmOperationEXTRACT_EXPONENT
00000001e5066590 (__TEXT,__text) non-external (was a private external) _glvmOperationEXTRACT_SIGNIFICAND
00000001e5061f48 (__TEXT,__text) non-external (was a private external) _glvmOperationFFW
00000001e506857c (__TEXT,__text) non-external (was a private external) _glvmOperationFIND_LSB
00000001e5068840 (__TEXT,__text) non-external (was a private external) _glvmOperationFIND_MSB
00000001e5059cac (__TEXT,__text) non-external (was a private external) _glvmOperationFLR
00000001e5057bdc (__TEXT,__text) non-external (was a private external) _glvmOperationFLR_CEI_Core
00000001e5059e20 (__TEXT,__text) non-external (was a private external) _glvmOperationFRC
00000001e506656c (__TEXT,__text) non-external (was a private external) _glvmOperationFROM_BITS
00000001e50372a8 (__TEXT,__text) non-external (was a private external) _glvmOperationFUNCSTART
00000001e505d748 (__TEXT,__text) non-external (was a private external) _glvmOperationFWD
00000001e5068b5c (__TEXT,__text) non-external (was a private external) _glvmOperationINTERPOLATE_AT_CENTROID
00000001e5068b80 (__TEXT,__text) non-external (was a private external) _glvmOperationINTERPOLATE_AT_OFFSET
00000001e5068cc8 (__TEXT,__text) non-external (was a private external) _glvmOperationINTERPOLATE_AT_SAMPLE
00000001e505cc5c (__TEXT,__text) non-external (was a private external) _glvmOperationINVERSESQRT
00000001e50662ec (__TEXT,__text) non-external (was a private external) _glvmOperationISINF
00000001e50663cc (__TEXT,__text) non-external (was a private external) _glvmOperationISNAN
00000001e50372b0 (__TEXT,__text) non-external (was a private external) _glvmOperationInitMasksForNested
00000001e50372e4 (__TEXT,__text) non-external (was a private external) _glvmOperationInitSub
00000001e5066ae0 (__TEXT,__text) non-external (was a private external) _glvmOperationLDEXP
00000001e505a188 (__TEXT,__text) non-external (was a private external) _glvmOperationLEN
00000001e505a59c (__TEXT,__text) non-external (was a private external) _glvmOperationLG2
00000001e505807c (__TEXT,__text) non-external (was a private external) _glvmOperationLG2_Core
00000001e505a6fc (__TEXT,__text) non-external (was a private external) _glvmOperationLIT
00000001e5064410 (__TEXT,__text) non-external (was a private external) _glvmOperationLOAD
00000001e505a8b0 (__TEXT,__text) non-external (was a private external) _glvmOperationLOG
00000001e505a8c0 (__TEXT,__text) non-external (was a private external) _glvmOperationLOGE
00000001e5062468 (__TEXT,__text) non-external (was a private external) _glvmOperationLRP
00000001e506272c (__TEXT,__text) non-external (was a private external) _glvmOperationMAD
00000001e505ea30 (__TEXT,__text) non-external (was a private external) _glvmOperationMAX
00000001e505edc0 (__TEXT,__text) non-external (was a private external) _glvmOperationMIN
00000001e505f150 (__TEXT,__text) non-external (was a private external) _glvmOperationMLC
00000001e505f154 (__TEXT,__text) non-external (was a private external) _glvmOperationMOD
00000001e505aa44 (__TEXT,__text) non-external (was a private external) _glvmOperationMOV
00000001e505f8dc (__TEXT,__text) non-external (was a private external) _glvmOperationMUL
00000001e5067e18 (__TEXT,__text) non-external (was a private external) _glvmOperationMUL_HB
00000001e505aab4 (__TEXT,__text) non-external (was a private external) _glvmOperationNOT
00000001e505aae8 (__TEXT,__text) non-external (was a private external) _glvmOperationNRM
00000001e505af38 (__TEXT,__text) non-external (was a private external) _glvmOperationNSE
00000001e50657f4 (__TEXT,__text) non-external (was a private external) _glvmOperationOR
00000001e505fa28 (__TEXT,__text) non-external (was a private external) _glvmOperationORL
00000001e5066f88 (__TEXT,__text) non-external (was a private external) _glvmOperationPK2H
00000001e5066dac (__TEXT,__text) non-external (was a private external) _glvmOperationPK2US
00000001e5067dd0 (__TEXT,__text) non-external (was a private external) _glvmOperationPK2W
00000001e506774c (__TEXT,__text) non-external (was a private external) _glvmOperationPK4B
00000001e5067ad8 (__TEXT,__text) non-external (was a private external) _glvmOperationPK4UB
00000001e505fa6c (__TEXT,__text) non-external (was a private external) _glvmOperationPOW
00000001e505cb68 (__TEXT,__text) non-external (was a private external) _glvmOperationRAD
00000001e505cba8 (__TEXT,__text) non-external (was a private external) _glvmOperationRCC
00000001e505cbac (__TEXT,__text) non-external (was a private external) _glvmOperationRCP
00000001e50372ac (__TEXT,__text) non-external (was a private external) _glvmOperationRET
00000001e505fc88 (__TEXT,__text) non-external (was a private external) _glvmOperationRFL
00000001e50627f8 (__TEXT,__text) non-external (was a private external) _glvmOperationRFR
00000001e5064900 (__TEXT,__text) non-external (was a private external) _glvmOperationROUND
00000001e5064b48 (__TEXT,__text) non-external (was a private external) _glvmOperationROUNDEVEN
00000001e505cbe4 (__TEXT,__text) non-external (was a private external) _glvmOperationRSQ
00000001e5058e68 (__TEXT,__text) non-external (was a private external) _glvmOperationSAT
00000001e505d668 (__TEXT,__text) non-external (was a private external) _glvmOperationSCS
00000001e5060094 (__TEXT,__text) non-external (was a private external) _glvmOperationSEL
00000001e506015c (__TEXT,__text) non-external (was a private external) _glvmOperationSEQ
00000001e5060610 (__TEXT,__text) non-external (was a private external) _glvmOperationSFL
00000001e5060628 (__TEXT,__text) non-external (was a private external) _glvmOperationSGE
00000001e50608a8 (__TEXT,__text) non-external (was a private external) _glvmOperationSGT
00000001e506587c (__TEXT,__text) non-external (was a private external) _glvmOperationSHL
00000001e5065980 (__TEXT,__text) non-external (was a private external) _glvmOperationSHR
00000001e505ce34 (__TEXT,__text) non-external (was a private external) _glvmOperationSIN
00000001e5065bcc (__TEXT,__text) non-external (was a private external) _glvmOperationSINH
00000001e5058240 (__TEXT,__text) non-external (was a private external) _glvmOperationSIN_Core
00000001e5060b28 (__TEXT,__text) non-external (was a private external) _glvmOperationSLE
00000001e5060da8 (__TEXT,__text) non-external (was a private external) _glvmOperationSLT
00000001e50631b8 (__TEXT,__text) non-external (was a private external) _glvmOperationSMS
00000001e5061028 (__TEXT,__text) non-external (was a private external) _glvmOperationSNE
00000001e505ce38 (__TEXT,__text) non-external (was a private external) _glvmOperationSQT
00000001e505cfb0 (__TEXT,__text) non-external (was a private external) _glvmOperationSSG
00000001e506f768 (__TEXT,__text) non-external (was a private external) _glvmOperationSTOREWithMaskEP
00000001e5072430 (__TEXT,__text) non-external (was a private external) _glvmOperationSTOREWithMaskGP
00000001e5068df0 (__TEXT,__text) non-external (was a private external) _glvmOperationSTOREWithMaskVP
00000001e50614e0 (__TEXT,__text) non-external (was a private external) _glvmOperationSTR
00000001e50614f8 (__TEXT,__text) non-external (was a private external) _glvmOperationSUB
00000001e50634e0 (__TEXT,__text) non-external (was a private external) _glvmOperationSWZ
00000001e5076594 (__TEXT,__text) non-external (was a private external) _glvmOperationStackPreload
00000001e505d2ac (__TEXT,__text) non-external (was a private external) _glvmOperationTAN
00000001e5065e2c (__TEXT,__text) non-external (was a private external) _glvmOperationTANH
00000001e5037124 (__TEXT,__text) non-external (was a private external) _glvmOperationTARGBRA
00000001e5036ed8 (__TEXT,__text) non-external (was a private external) _glvmOperationTARGBRK
00000001e5036ffc (__TEXT,__text) non-external (was a private external) _glvmOperationTARGCONT
00000001e5066548 (__TEXT,__text) non-external (was a private external) _glvmOperationTO_BITS
00000001e5065568 (__TEXT,__text) non-external (was a private external) _glvmOperationTRUNCATE
00000001e50673c8 (__TEXT,__text) non-external (was a private external) _glvmOperationUP2H
00000001e5066ee8 (__TEXT,__text) non-external (was a private external) _glvmOperationUP2US
00000001e5067df4 (__TEXT,__text) non-external (was a private external) _glvmOperationUP2W
00000001e5067944 (__TEXT,__text) non-external (was a private external) _glvmOperationUP4B
00000001e5067cd0 (__TEXT,__text) non-external (was a private external) _glvmOperationUP4UB
00000001e5065838 (__TEXT,__text) non-external (was a private external) _glvmOperationXOR
00000001e5061644 (__TEXT,__text) non-external (was a private external) _glvmOperationXPD
00000001e50618b0 (__TEXT,__text) non-external (was a private external) _glvmOperationXRL
00000001e5058eec (__TEXT,__text) non-external (was a private external) _glvmOperationZERO
00000001e505871c (__TEXT,__text) non-external (was a private external) _glvmOperationsNoise3D
00000001e5058994 (__TEXT,__text) non-external (was a private external) _glvmOperationsNoise4D
00000001e503701c (__TEXT,__text) non-external (was a private external) _glvmPredicateBRA
00000001e5036dd4 (__TEXT,__text) non-external (was a private external) _glvmPredicateBRK
00000001e50371bc (__TEXT,__text) non-external (was a private external) _glvmPredicateCASE
00000001e5036ef8 (__TEXT,__text) non-external (was a private external) _glvmPredicateCONT
00000001e5037274 (__TEXT,__text) non-external (was a private external) _glvmPredicateDEFAULT
00000001e5036d48 (__TEXT,__text) non-external (was a private external) _glvmPredicateELSE
00000001e5036d6c (__TEXT,__text) non-external (was a private external) _glvmPredicateENDIF
00000001e503715c (__TEXT,__text) non-external (was a private external) _glvmPredicateENDSWITCH
00000001e5036db8 (__TEXT,__text) non-external (was a private external) _glvmPredicateENDWHILE
00000001e5036ca0 (__TEXT,__text) non-external (was a private external) _glvmPredicateIF
00000001e5037144 (__TEXT,__text) non-external (was a private external) _glvmPredicateSWITCH
00000001e5036db0 (__TEXT,__text) non-external (was a private external) _glvmPredicateWHILE
00000001e50781b8 (__TEXT,__text) external _glvmPreloadFPTransformFour
00000001e5076720 (__TEXT,__text) non-external (was a private external) _glvmPreloadPositionAttrib
00000001e5076814 (__TEXT,__text) non-external (was a private external) _glvmPreloadSourceAttribs
00000001e5037908 (__TEXT,__text) non-external (was a private external) _glvmRasterOpAlphaTest
00000001e5039b28 (__TEXT,__text) non-external (was a private external) _glvmRasterOpBlend
00000001e50372f0 (__TEXT,__text) non-external (was a private external) _glvmRasterOpDepthBoundsTest
00000001e5037ac4 (__TEXT,__text) non-external (was a private external) _glvmRasterOpDepthStencilTest
00000001e5039558 (__TEXT,__text) non-external (was a private external) _glvmRasterOpFragmentCount
00000001e503ae64 (__TEXT,__text) non-external (was a private external) _glvmRasterOpLogicOp
00000001e503b280 (__TEXT,__text) non-external (was a private external) _glvmRasterOpMask
00000001e5037554 (__TEXT,__text) non-external (was a private external) _glvmRasterOpMultisampleAlphaCoverage
00000001e503768c (__TEXT,__text) non-external (was a private external) _glvmRasterOpMultisampleAlphaOne
00000001e50376d4 (__TEXT,__text) non-external (was a private external) _glvmRasterOpMultisampleCoverageMask
00000001e5037854 (__TEXT,__text) non-external (was a private external) _glvmRasterOpMultisampleSampleMask
00000001e5039594 (__TEXT,__text) non-external (was a private external) _glvmRasterOpPack
00000001e503b3e8 (__TEXT,__text) non-external (was a private external) _glvmRasterOpRead
00000001e503b5e0 (__TEXT,__text) non-external (was a private external) _glvmRasterOpWrite
00000001e503b890 (__TEXT,__text) non-external (was a private external) _glvmRasterOpWriteFallback
00000001e5036298 (__TEXT,__text) non-external (was a private external) _glvmSamplerFetch
00000001e5036188 (__TEXT,__text) non-external (was a private external) _glvmSamplerInvalid
00000001e5017aec (__TEXT,__text) non-external (was a private external) _glvmSamplerLoadTexels
00000001e501d3c0 (__TEXT,__text) non-external (was a private external) _glvmSamplerQueryLOD
00000001e501e500 (__TEXT,__text) non-external (was a private external) _glvmSamplerSample
00000001e50361d4 (__TEXT,__text) non-external (was a private external) _glvmSamplerSize
00000001e506cb34 (__TEXT,__text) non-external _glvmSetSourceIndirectLimits
00000001e506f3d8 (__TEXT,__text) non-external _glvmSetSourceIndirectLimits
00000001e5072078 (__TEXT,__text) non-external _glvmSetSourceIndirectLimits
00000001e5075fec (__TEXT,__text) non-external _glvmSetSourceIndirectLimits
00000001e507b514 (__TEXT,__text) non-external _glvmSetSourceIndirectLimits
00000001e5015e04 (__TEXT,__text) external _glvmSetTextureFormat
00000001e503c38c (__TEXT,__text) non-external (was a private external) _glvmSourceNegateCF
00000001e5043ab4 (__TEXT,__text) non-external (was a private external) _glvmStoreDestAddress
00000001e50469b4 (__TEXT,__text) non-external (was a private external) _glvmStoreDestAddressWithMask
00000001e504bac8 (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputCP
00000001e504f720 (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputEP
00000001e5053a5c (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputFP
00000001e505128c (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputGP
00000001e5048068 (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputVP
00000001e504cd40 (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputWithMaskCP
00000001e5050224 (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputWithMaskEP
00000001e5054938 (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputWithMaskFP
00000001e5051764 (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputWithMaskGP
00000001e5048c80 (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputWithMaskVP
00000001e50422c4 (__TEXT,__text) non-external (was a private external) _glvmStoreDestTemp
00000001e5044180 (__TEXT,__text) non-external (was a private external) _glvmStoreDestTempWithMask
00000001e50179e4 (__TEXT,__text) non-external _glvmTextureFilterEnumToPPStreamEnum
00000001e5017a64 (__TEXT,__text) non-external _glvmTextureWrapEnumToPPStreamEnum
00000001e503c42c (__TEXT,__text) non-external (was a private external) _glvmTypeConvertCF
00000001e5016dc4 (__TEXT,__text) external _glvmUpdateTextureStructure
00000001e5071b90 (__TEXT,__text) non-external (was a private external) _glvmWindowTransformEP
00000001e5075904 (__TEXT,__text) non-external (was a private external) _glvmWindowTransformGP
00000001e506c43c (__TEXT,__text) non-external (was a private external) _glvmWindowTransformVP
000000021ce04310 (__DATA_DIRTY,__bss) non-external _glvm_constants
000000021ce04300 (__DATA_DIRTY,__bss) non-external _glvm_constants_init
00000001e50c8e68 (__TEXT,__text) non-external _handleResetPost
00000001e50c8e08 (__TEXT,__text) non-external _handleResetPre
00000001e50cea88 (__TEXT,__text) non-external _humanReadableDescriptionToBuffer
00000001e50d77c0 (__TEXT,__text) non-external _include_str_getch
00000001e50d78dc (__TEXT,__text) non-external _include_str_ungetch
00000001e50ce204 (__TEXT,__text) non-external _initAggregateType
00000001e50dd834 (__TEXT,__text) non-external _initBinaryOperatorNode
00000001e50dd808 (__TEXT,__text) non-external _initCallNode
00000001e50dd900 (__TEXT,__text) non-external _initDerefNode
00000001e50dd8b0 (__TEXT,__text) non-external _initQualifierNode
00000001e50dd8d8 (__TEXT,__text) non-external _initStatementNode
00000001e50dd884 (__TEXT,__text) non-external _initStructureNode
00000001e5084280 (__TEXT,__text) non-external _initTypeWithGLPPrimitiveType
00000001e50dd7cc (__TEXT,__text) non-external _initUnaryOperatorNode
00000001e5102188 (__TEXT,__text) non-external _inliningNodeReplacement
00000001e50b8748 (__TEXT,__text) non-external _inputForOutput
00000001e512da38 (__TEXT,__text) non-external _instructionIndexEqualsFunction
00000001e512da34 (__TEXT,__text) non-external _instructionIndexHashFunction
00000001e511c0d4 (__TEXT,__text) non-external _iterateQualifiers
00000001e50d8920 (__TEXT,__text) non-external _lAddByte
00000001e50d809c (__TEXT,__text) non-external _lFloatConst
00000001e50d87b8 (__TEXT,__text) non-external _lNewBlock
00000001e50d8f38 (__TEXT,__text) non-external _lReadByte
00000001e50d3734 (__TEXT,__text) non-external (was a private external) _lazyCPPSetup
00000001e50fd4e4 (__TEXT,__text) non-external _lazyPrepareVariableObject
                 (undefined) external _ldexp (from libSystem)
                 (undefined) external _ldexpf (from libSystem)
00000001e5009ff0 (__TEXT,__text) non-external _llvmir_PPStreamAddAddressUsage
00000001e500a058 (__TEXT,__text) non-external _llvmir_PPStreamAddAttribBinding
00000001e500a180 (__TEXT,__text) non-external _llvmir_PPStreamAddConstant
00000001e500a1f8 (__TEXT,__text) non-external _llvmir_PPStreamAddLabel
00000001e5009fa4 (__TEXT,__text) non-external _llvmir_PPStreamAddOperation
00000001e500a168 (__TEXT,__text) non-external _llvmir_PPStreamAddOption
00000001e500a0f0 (__TEXT,__text) non-external _llvmir_PPStreamAddOutputBinding
00000001e5009ff4 (__TEXT,__text) non-external _llvmir_PPStreamAddParamBinding
00000001e500a054 (__TEXT,__text) non-external _llvmir_PPStreamAddParamBindingArray
00000001e5009fec (__TEXT,__text) non-external _llvmir_PPStreamAddTempUsage
00000001e500a200 (__TEXT,__text) non-external _llvmir_PPStreamResolveBranches
00000001e5009f9c (__TEXT,__text) non-external _llvmir_PPStreamSetTarget
                 (undefined) external _log2f (from libSystem)
                 (undefined) external _logf (from libSystem)
                 (undefined) external _longjmp (from libSystem)
                 (undefined) external _lroundf (from libSystem)
00000001e50d598c (__TEXT,__text) non-external _macro_scan
00000001e50b1410 (__TEXT,__text) non-external _makeCopyFunction
00000001e50fd894 (__TEXT,__text) non-external _makeIntConstantNode
00000001e507ffac (__TEXT,__text) non-external _makePoolNode
                 (undefined) external _malloc (from libSystem)
00000001e50d6378 (__TEXT,__text) non-external (was a private external) _mem_AddCleanup
00000001e50d62b4 (__TEXT,__text) non-external (was a private external) _mem_Alloc
00000001e50d61c4 (__TEXT,__text) non-external (was a private external) _mem_CreatePool
00000001e50d6264 (__TEXT,__text) non-external (was a private external) _mem_FreePool
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
00000001e5081568 (__TEXT,__text) non-external _mergeTypes
000000021a8a551c (__DATA,__bss) non-external _message
000000021a8a5518 (__DATA,__bss) non-external _message_lock
                 (undefined) external _mmap (from libSystem)
                 (undefined) external _mprotect (from libSystem)
                 (undefined) external _munmap (from libSystem)
000000021a8a0e10 (__DATA,__data) non-external _mutex
00000001e50ba920 (__TEXT,__text) non-external _nameTablePush
000000021a8a5940 (__DATA,__bss) non-external _nameTableSets
00000001e50d6120 (__TEXT,__text) non-external _noop
00000001e50d8098 (__TEXT,__text) non-external _noop
00000001e50b2ed0 (__TEXT,__text) non-external _offsetLayout
00000001e50d3a18 (__TEXT,__text) non-external _op_add
00000001e50d39b8 (__TEXT,__text) non-external _op_and
00000001e50d3a68 (__TEXT,__text) non-external _op_cmpl
00000001e50d3a30 (__TEXT,__text) non-external _op_div
00000001e50d39c0 (__TEXT,__text) non-external _op_eq
00000001e50d39e4 (__TEXT,__text) non-external _op_ge
00000001e50d39d8 (__TEXT,__text) non-external _op_gt
00000001e50d39fc (__TEXT,__text) non-external _op_le
00000001e50d3998 (__TEXT,__text) non-external _op_logand
00000001e50d3988 (__TEXT,__text) non-external _op_logor
00000001e50d39f0 (__TEXT,__text) non-external _op_lt
00000001e50d3a44 (__TEXT,__text) non-external _op_mod
00000001e50d3a28 (__TEXT,__text) non-external _op_mul
00000001e50d39cc (__TEXT,__text) non-external _op_ne
00000001e50d3a60 (__TEXT,__text) non-external _op_neg
00000001e50d3a70 (__TEXT,__text) non-external _op_not
00000001e50d39a8 (__TEXT,__text) non-external _op_or
00000001e50d3a5c (__TEXT,__text) non-external _op_pos
00000001e50d3a08 (__TEXT,__text) non-external _op_shl
00000001e50d3a10 (__TEXT,__text) non-external _op_shr
00000001e50d3a20 (__TEXT,__text) non-external _op_sub
00000001e50d39b0 (__TEXT,__text) non-external _op_xor
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _os_unfair_lock_lock (from libSystem)
                 (undefined) external _os_unfair_lock_unlock (from libSystem)
00000001e50b96dc (__TEXT,__text) non-external _outputForInput
00000001e50a7c50 (__TEXT,__text) non-external _packInto
00000001e50c0cb0 (__TEXT,__text) non-external _parseInterpolationQualifiers
00000001e50c0b00 (__TEXT,__text) non-external _parseLayout
00000001e508149c (__TEXT,__text) non-external _phase1ProcessFunctionPrototype
00000001e5081228 (__TEXT,__text) non-external _phase1ProcessVariableDeclaration
00000001e50fc458 (__TEXT,__text) non-external (was a private external) _phase2AddDef
00000001e50fc620 (__TEXT,__text) non-external _phase2Process
00000001e50fc92c (__TEXT,__text) non-external _phase2ProcessConstant
00000001e50fca08 (__TEXT,__text) non-external _phase2ProcessFunctionPrototype
00000001e50fcaa4 (__TEXT,__text) non-external _phase2ProcessInterfaceBlock
00000001e50fcf20 (__TEXT,__text) non-external _phase2ProcessLValue
00000001e50fc99c (__TEXT,__text) non-external _phase2ProcessParameterDeclaration
00000001e50fcb58 (__TEXT,__text) non-external _phase2ProcessRawCall
00000001e50fccf4 (__TEXT,__text) non-external _phase2ProcessSubroutineRawCall
00000001e50fd3f4 (__TEXT,__text) non-external _phase2ProcessSubroutineUniform
00000001e50fca50 (__TEXT,__text) non-external _phase2ProcessVariableDeclaration
00000001e5080018 (__TEXT,__text) non-external _poolAlloc
000000021a8a5960 (__DATA,__bss) non-external _poolAllocators
00000001e50800ac (__TEXT,__text) non-external _poolFree
00000001e50800a4 (__TEXT,__text) non-external _poolRealloc
00000001e514cc20 (__TEXT,__const) non-external _pow_10.down
00000001e514cb20 (__TEXT,__const) non-external _pow_10.up
                 (undefined) external _powf (from libSystem)
00000002175b7540 (__DATA_CONST,__const) non-external (was a private external) _ppstreamOpString
00000001e5084f78 (__TEXT,__text) non-external _primitiveTypeOfDeref
                 (undefined) external _printf (from libSystem)
00000001e50b9494 (__TEXT,__text) non-external _propagateCopyBindings
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
00000001e50c6f54 (__TEXT,__text) non-external (was a private external) _pushdownPrecisionInternal
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _qsort_b (from libSystem)
00000001e50c12e0 (__TEXT,__text) non-external _qualifierContextToString
00000001e50c0064 (__TEXT,__text) non-external _qualifierMaskToSAFlags
00000001e50c0e70 (__TEXT,__text) non-external _qualifierMaskToStringBuffer
00000001e50d3a7c (__TEXT,__text) non-external (was a private external) _readCPPline
00000001e508028c (__TEXT,__text) non-external _readTOC
00000001e50ead14 (__TEXT,__text) non-external (was a private external) _real_serialize_GLPValue
                 (undefined) external _realloc (from libSystem)
00000001e512a0d0 (__TEXT,__text) non-external _regEqualsFunction
00000001e512a0c8 (__TEXT,__text) non-external _regHashFunction
00000001e50d9208 (__TEXT,__text) non-external _reget_token
00000001e50baae8 (__TEXT,__text) non-external _remap
00000001e514ddf4 (__TEXT,__const) non-external (was a private external) _remapSlotToCode
