00000001e343faa8 (__DATA,__data) non-external _C
00000001e3440e18 (__DATA,__bss) non-external _hexpreg
                 (undefined) external _host_get_clock_service (from libsystem_kernel)
000000018034d398 (__TEXT,__text) external _hsearch
00000001e3441a78 (__DATA,__bss) non-external _htable
00000001e3441a80 (__DATA,__bss) non-external _htablesize
                 (undefined) external _if_nametoindex (from libsystem_info)
000000018035ec24 (__TEXT,__const) non-external _illoptchar
000000018035ecda (__TEXT,__const) non-external _illoptstring
000000018034d470 (__TEXT,__text) external _imaxabs
000000018034d47c (__TEXT,__text) external _imaxdiv
                 (indirect) external _index (for __platform_strchr)
00000001802f5050 (__TEXT,__text) external _inet_addr
00000001802f4ffc (__TEXT,__text) external _inet_aton
000000018033d248 (__TEXT,__text) external _inet_lnaof
000000018033d274 (__TEXT,__text) external _inet_makeaddr
000000018033d2b4 (__TEXT,__text) external _inet_net_ntop
000000018033d798 (__TEXT,__text) external _inet_net_pton
000000018035b34c (__TEXT,__text) non-external _inet_net_pton.cold.1
000000018035b378 (__TEXT,__text) non-external _inet_net_pton.cold.2
000000018035b3a4 (__TEXT,__text) non-external _inet_net_pton.cold.3
000000018035e849 (__TEXT,__const) non-external _inet_net_pton_ipv4.digits
000000018035e838 (__TEXT,__const) non-external _inet_net_pton_ipv4.xdigits
000000018035e854 (__TEXT,__const) non-external _inet_net_pton_ipv6.xdigits_l
000000018035e865 (__TEXT,__const) non-external _inet_net_pton_ipv6.xdigits_u
000000018033dee4 (__TEXT,__text) external _inet_neta
000000018033dfb4 (__TEXT,__text) external _inet_netof
000000018033dfe0 (__TEXT,__text) external _inet_network
000000018033e4b4 (__TEXT,__text) external _inet_nsap_addr
000000018033e620 (__TEXT,__text) external _inet_nsap_ntoa
000000018030ff14 (__TEXT,__text) external _inet_ntoa
00000001e34417f0 (__DATA,__bss) non-external _inet_ntoa.ret
00000001802f50dc (__TEXT,__text) external _inet_ntop
00000001802f5150 (__TEXT,__text) external _inet_ntop4
000000018030163c (__TEXT,__text) external _inet_ntop6
00000001802f3ca4 (__TEXT,__text) external _inet_pton
00000001802f4038 (__TEXT,__text) non-external _inet_pton4
000000018035ed81 (__TEXT,__const) non-external _inet_pton4.digits
000000018035ed8c (__TEXT,__const) non-external _inet_pton6.xdigits_l
000000018035ed9d (__TEXT,__const) non-external _inet_pton6.xdigits_u
0000000180318ed0 (__TEXT,__text) non-external _infinity
0000000180319188 (__TEXT,__text) non-external _initMPFromDigits
000000018035d328 (__TEXT,__const) non-external _initMPFromDigits.powersOfTen
000000018031a8fc (__TEXT,__text) non-external _init_perm
000000018031c790 (__TEXT,__text) non-external _initshells
000000018034e2e4 (__TEXT,__text) external _initstate
00000001802f9540 (__TEXT,__text) non-external _insertionsort
00000001802f95fc (__TEXT,__text) non-external _insertionsort
000000018034d4a8 (__TEXT,__text) external _insque
                 (undefined) external _ioctl (from libsystem_kernel)
000000018031ee30 (__TEXT,__text) external _isalnum
000000018031f5f8 (__TEXT,__text) external _isalnum_l
000000018031eea4 (__TEXT,__text) external _isalpha
000000018031f670 (__TEXT,__text) external _isalpha_l
000000018031ee24 (__TEXT,__text) external _isascii
00000001802f6960 (__TEXT,__text) external _isatty
000000018031ef10 (__TEXT,__text) external _isblank
000000018031f6e0 (__TEXT,__text) external _isblank_l
000000018031ef7c (__TEXT,__text) external _iscntrl
000000018031f750 (__TEXT,__text) external _iscntrl_l
000000018030fb70 (__TEXT,__text) external _isdigit
000000018031f7c0 (__TEXT,__text) external _isdigit_l
000000018031efe8 (__TEXT,__text) external _isgraph
000000018031f830 (__TEXT,__text) external _isgraph_l
000000018031f310 (__TEXT,__text) external _ishexnumber
000000018031f8a0 (__TEXT,__text) external _ishexnumber_l
000000018031f37c (__TEXT,__text) external _isideogram
000000018031f910 (__TEXT,__text) external _isideogram_l
000000018031f054 (__TEXT,__text) external _islower
000000018031f980 (__TEXT,__text) external _islower_l
000000018031f3e8 (__TEXT,__text) external _isnumber
000000018031f9f0 (__TEXT,__text) external _isnumber_l
000000018031f454 (__TEXT,__text) external _isphonogram
000000018031fa60 (__TEXT,__text) external _isphonogram_l
000000018031f0c0 (__TEXT,__text) external _isprint
000000018031fad0 (__TEXT,__text) external _isprint_l
000000018031f12c (__TEXT,__text) external _ispunct
000000018031fb40 (__TEXT,__text) external _ispunct_l
000000018031f4c0 (__TEXT,__text) external _isrune
000000018031fbb0 (__TEXT,__text) external _isrune_l
                 (undefined) external _issetugid (from libsystem_kernel)
000000018031f198 (__TEXT,__text) external _isspace
000000018031fc38 (__TEXT,__text) external _isspace_l
000000018031f530 (__TEXT,__text) external _isspecial
000000018031fca8 (__TEXT,__text) external _isspecial_l
0000000180306588 (__TEXT,__text) non-external _istrsenvisx
000000018035b1b4 (__TEXT,__text) non-external _istrsenvisx.cold.1
000000018035b1e0 (__TEXT,__text) non-external _istrsenvisx.cold.2
000000018035b20c (__TEXT,__text) non-external _istrsenvisx.cold.3
000000018035b238 (__TEXT,__text) non-external _istrsenvisx.cold.4
0000000180306508 (__TEXT,__text) non-external _istrsenvisxl
000000018031f204 (__TEXT,__text) external _isupper
000000018031fd18 (__TEXT,__text) external _isupper_l
000000018031fe38 (__TEXT,__text) external _iswalnum
0000000180320358 (__TEXT,__text) external _iswalnum_l
000000018031feac (__TEXT,__text) external _iswalpha
00000001803203d0 (__TEXT,__text) external _iswalpha_l
0000000180320974 (__TEXT,__text) external _iswascii
0000000180320908 (__TEXT,__text) external _iswblank
0000000180320c0c (__TEXT,__text) external _iswblank_l
000000018031ff18 (__TEXT,__text) external _iswcntrl
0000000180320440 (__TEXT,__text) external _iswcntrl_l
000000018031ff84 (__TEXT,__text) external _iswctype
00000001803204b0 (__TEXT,__text) external _iswctype_l
0000000180320000 (__TEXT,__text) external _iswdigit
0000000180320548 (__TEXT,__text) external _iswdigit_l
0000000180320028 (__TEXT,__text) external _iswgraph
00000001803205b8 (__TEXT,__text) external _iswgraph_l
0000000180320980 (__TEXT,__text) external _iswhexnumber
0000000180320c7c (__TEXT,__text) external _iswhexnumber_l
00000001803209ec (__TEXT,__text) external _iswideogram
0000000180320cec (__TEXT,__text) external _iswideogram_l
0000000180320094 (__TEXT,__text) external _iswlower
0000000180320628 (__TEXT,__text) external _iswlower_l
0000000180320a58 (__TEXT,__text) external _iswnumber
0000000180320d5c (__TEXT,__text) external _iswnumber_l
0000000180320ac4 (__TEXT,__text) external _iswphonogram
0000000180320dcc (__TEXT,__text) external _iswphonogram_l
0000000180320100 (__TEXT,__text) external _iswprint
0000000180320698 (__TEXT,__text) external _iswprint_l
000000018032016c (__TEXT,__text) external _iswpunct
0000000180320708 (__TEXT,__text) external _iswpunct_l
0000000180320b30 (__TEXT,__text) external _iswrune
0000000180320e3c (__TEXT,__text) external _iswrune_l
00000001803201d8 (__TEXT,__text) external _iswspace
0000000180320778 (__TEXT,__text) external _iswspace_l
0000000180320ba0 (__TEXT,__text) external _iswspecial
0000000180320ec4 (__TEXT,__text) external _iswspecial_l
0000000180320244 (__TEXT,__text) external _iswupper
00000001803207e8 (__TEXT,__text) external _iswupper_l
00000001803202b0 (__TEXT,__text) external _iswxdigit
0000000180320858 (__TEXT,__text) external _iswxdigit_l
000000018030fb48 (__TEXT,__text) external _isxdigit
000000018031fd88 (__TEXT,__text) external _isxdigit_l
000000018035fcb3 (__TEXT,__cstring) non-external _itoa64
0000000180333860 (__TEXT,__text) external _jrand48
00000001df929140 (__DATA_CONST,__const) external _kOSThermalNotificationPressureLevelName
                 (undefined) external _kill (from libsystem_kernel)
000000018031017c (__TEXT,__text) external _killpg
000000018034f994 (__TEXT,__text) external _l64a
00000001e3441ad0 (__DATA,__bss) non-external _l64a.buf
000000018034d4cc (__TEXT,__text) external _labs
0000000180338460 (__TEXT,__text) non-external _largesearch
00000001e3441a38 (__DATA,__bss) non-external _last_default_tzload_mtimespec
00000001e343fe30 (__DATA,__data) non-external _lastglue
000000018031978c (__TEXT,__text) external _lchflags
00000001803011e0 (__TEXT,__text) external _lchmod
00000001e34418e0 (__DATA,__bss) non-external _lcl_TZname
00000001e556b1a0 (__DATA_DIRTY,__data) non-external _lcl_notify
00000001e556b0c8 (__DATA_DIRTY,__data) non-external (was a private external) _lcl_rwlock
00000001e556cb00 (__DATA_DIRTY,__bss) non-external _lclptr
00000001803338a4 (__TEXT,__text) external _lcong48
000000018034d4d8 (__TEXT,__text) external _ldiv
000000018034d5d0 (__TEXT,__text) external _lfind
00000001803431dc (__TEXT,__text) non-external _lflush
00000001e3441b28 (__DATA,__common) non-external (was a private external) _libc_hooks
000000018032514c (__TEXT,__text) external _libc_set_introspection_hooks
000000018035a51c (__TEXT,__text) non-external _libc_set_introspection_hooks.cold.1
000000018035a548 (__TEXT,__text) non-external _libc_set_introspection_hooks.cold.2
000000018035a574 (__TEXT,__text) non-external _libc_set_introspection_hooks.cold.3
000000018035a5a0 (__TEXT,__text) non-external _libc_set_introspection_hooks.cold.4
000000018033e1f4 (__TEXT,__text) external _link_addr
000000018033e3ac (__TEXT,__text) external _link_ntoa
00000001e3441802 (__DATA,__bss) non-external _link_ntoa.obuf
000000018034d504 (__TEXT,__text) external _llabs
000000018034d510 (__TEXT,__text) external _lldiv
000000018033f220 (__TEXT,__text) non-external _loadCat
0000000180303988 (__TEXT,__text) non-external _loadlocale
0000000180315ba8 (__TEXT,__text) external _localeconv
00000001802e7704 (__TEXT,__text) external _localeconv_l
000000018035b290 (__TEXT,__text) non-external _localeconv_l.cold.1
000000018035b2ac (__TEXT,__text) non-external _localeconv_l.cold.2
00000001802efb38 (__TEXT,__text) external _localtime
00000001e556cb08 (__DATA_DIRTY,__bss) non-external _localtime_key
00000001e34419e0 (__DATA,__bss) non-external _localtime_key_error
00000001802efc28 (__TEXT,__text) non-external _localtime_key_init
00000001e556b1a8 (__DATA_DIRTY,__data) non-external _localtime_once
00000001802e9ae8 (__TEXT,__text) external _localtime_r
0000000180316adc (__TEXT,__text) external _lockf
00000001803338e8 (__TEXT,__text) external _lockf$NOCANCEL
0000000180324edc (__TEXT,__text) external _login
0000000180323a54 (__TEXT,__text) external _login_tty
0000000180324f94 (__TEXT,__text) external _logout
0000000180323ad8 (__TEXT,__text) external _logwtmp
00000001803384c0 (__TEXT,__text) non-external _lookup_substsearch
000000018035b264 (__TEXT,__text) non-external _lookup_substsearch.cold.1
00000001803339d8 (__TEXT,__text) external _lrand48
000000018034d53c (__TEXT,__text) external _lsearch
                 (undefined) external _lseek (from libsystem_kernel)
                 (undefined) external _lstat (from libsystem_kernel)
0000000180324460 (__TEXT,__text) external _lstatx_np
00000001802f9c4c (__TEXT,__text) non-external _lstatx_syscall
000000018030eef0 (__TEXT,__text) external _lutimes
                 (undefined) external _mach_absolute_time (from libsystem_kernel)
                 (undefined) external _mach_approximate_time (from libsystem_kernel)
                 (undefined) external _mach_boottime_usec (from libsystem_kernel)
                 (undefined) external _mach_continuous_approximate_time (from libsystem_kernel)
                 (undefined) external _mach_continuous_time (from libsystem_kernel)
                 (undefined) external _mach_error_string (from libsystem_kernel)
                 (undefined) external _mach_host_self (from libsystem_kernel)
                 (undefined) external _mach_port_deallocate (from libsystem_kernel)
                 (undefined) external _mach_task_self_ (from libsystem_kernel)
                 (undefined) external _mach_timebase_info (from libsystem_kernel)
                 (undefined) external _malloc_type_calloc (from libsystem_malloc)
                 (undefined) external _malloc_type_malloc (from libsystem_malloc)
                 (undefined) external _malloc_type_realloc (from libsystem_malloc)
00000001df928cb8 (__DATA_CONST,__const) non-external _mapping
000000018030cdc8 (__TEXT,__text) external _mblen
000000018030ce44 (__TEXT,__text) external _mblen_l
000000018032498c (__TEXT,__text) external _mbmb
00000001e3441480 (__DATA,__bss) non-external _mbmb.warn_depreciated
                 (undefined) external _mbr_gid_to_uuid (from libsystem_info)
                 (undefined) external _mbr_uid_to_uuid (from libsystem_info)
                 (undefined) external _mbr_uuid_to_id (from libsystem_info)
000000018030cec0 (__TEXT,__text) external _mbrlen
0000000180339e28 (__TEXT,__text) external _mbrlen_l
00000001803248d0 (__TEXT,__text) external _mbrrune
00000001e344147c (__DATA,__bss) non-external _mbrrune.warn_depreciated
000000018030fbac (__TEXT,__text) external _mbrtowc
000000018030d504 (__TEXT,__text) external _mbrtowc_l
000000018032482c (__TEXT,__text) external _mbrune
00000001e3441478 (__DATA,__bss) non-external _mbrune.warn_depreciated
0000000180339ea4 (__TEXT,__text) external _mbsinit
0000000180339e74 (__TEXT,__text) external _mbsinit_l
0000000180339f14 (__TEXT,__text) external _mbsnrtowcs
0000000180339ed8 (__TEXT,__text) external _mbsnrtowcs_l
000000018033a0cc (__TEXT,__text) external _mbsrtowcs
000000018033a084 (__TEXT,__text) external _mbsrtowcs_l
0000000180306e0c (__TEXT,__text) external _mbstowcs
000000018033a118 (__TEXT,__text) external _mbstowcs_l
0000000180306ba8 (__TEXT,__text) external _mbtowc
00000001802e8f78 (__TEXT,__text) external _mbtowc_l
                 (indirect) external _memccpy (for __platform_memccpy)
                 (indirect) external _memchr (for __platform_memchr)
                 (indirect) external _memcmp (for __platform_memcmp)
                 (indirect) external _memcpy (for __platform_memmove)
00000001802f7dd8 (__TEXT,__text) external _memmem
                 (indirect) external _memmove (for __platform_memmove)
                 (indirect) external _memset (for __platform_memset)
                 (indirect) external _memset_pattern16 (for __platform_memset_pattern16)
                 (indirect) external _memset_pattern4 (for __platform_memset_pattern4)
                 (indirect) external _memset_pattern8 (for __platform_memset_pattern8)
00000001802e4174 (__TEXT,__text) external _memset_s
000000018033d22c (__TEXT,__text) non-external _memstream_close
000000018033d198 (__TEXT,__text) non-external _memstream_seek
000000018035b2f4 (__TEXT,__text) non-external _memstream_seek.cold.1
000000018035b320 (__TEXT,__text) non-external _memstream_seek.cold.2
000000018033d04c (__TEXT,__text) non-external _memstream_update
000000018035b2c8 (__TEXT,__text) non-external _memstream_update.cold.1
000000018033d084 (__TEXT,__text) non-external _memstream_write
00000001802f8db4 (__TEXT,__text) external _mergesort
0000000180307e9c (__TEXT,__text) external _mergesort_b
                 (undefined) external _mkdirat (from libsystem_kernel)
00000001803242f4 (__TEXT,__text) external _mkdirx_np
000000018030ff74 (__TEXT,__text) external _mkdtemp
00000001803412f8 (__TEXT,__text) external _mkdtempat_np
00000001803242e0 (__TEXT,__text) external _mkfifox_np
0000000180341274 (__TEXT,__text) external _mkostemp
0000000180341130 (__TEXT,__text) external _mkostemps
00000001803411b4 (__TEXT,__text) external _mkostempsat_np
00000001802f1084 (__TEXT,__text) external _mkpath_np
0000000180323bf0 (__TEXT,__text) external _mkpathat_np
000000018030d72c (__TEXT,__text) external _mkstemp
0000000180341398 (__TEXT,__text) external _mkstemp_dprotected_np
000000018030122c (__TEXT,__text) external _mkstemps
0000000180341228 (__TEXT,__text) external _mkstempsat_np
00000001802f7930 (__TEXT,__text) external _mktemp
00000001802f9ca0 (__TEXT,__text) external _mktime
                 (undefined) external _mmap (from libsystem_kernel)
000000018035eb04 (__TEXT,__const) non-external _mon_lengths
000000018031ee0c (__TEXT,__text) external _monaddition
000000018031ee1c (__TEXT,__text) external _moncontrol
000000018031ee20 (__TEXT,__text) external _moncount
000000018031ee04 (__TEXT,__text) external _moninit
000000018031ee18 (__TEXT,__text) external _monitor
000000018031ee14 (__TEXT,__text) external _monoutput
000000018031ee10 (__TEXT,__text) external _monreset
000000018031ee08 (__TEXT,__text) external _monstartup
000000018033ffec (__TEXT,__text) non-external _moreglue
000000018032d6d8 (__TEXT,__text) non-external _mpool_bkt
000000018032d9b4 (__TEXT,__text) external _mpool_close
000000018032d620 (__TEXT,__text) external _mpool_filter
000000018032d7cc (__TEXT,__text) external _mpool_get
000000018032d630 (__TEXT,__text) external _mpool_new
000000018035a9f4 (__TEXT,__text) non-external _mpool_new.cold.1
000000018032d524 (__TEXT,__text) external _mpool_open
000000018032d998 (__TEXT,__text) external _mpool_put
000000018032da10 (__TEXT,__text) external _mpool_sync
000000018032da84 (__TEXT,__text) non-external _mpool_write
0000000180333a0c (__TEXT,__text) external _mrand48
0000000180325a70 (__TEXT,__text) non-external _mswap
0000000180319334 (__TEXT,__text) non-external _multiplyByFiveToTheN
                 (undefined) external _munmap (from libsystem_kernel)
00000001e3441418 (__DATA,__bss) non-external _namebuf
00000001802f0638 (__TEXT,__text) external _nanosleep
000000018030a574 (__TEXT,__text) external _nanosleep$NOCANCEL
00000001e3441610 (__DATA,__bss) non-external _new_categories
00000001803233b8 (__TEXT,__text) external _new_printf_comp
0000000180311e40 (__TEXT,__text) external _new_printf_domain
00000001802f625c (__TEXT,__text) external _newlocale
00000001e556b200 (__DATA_DIRTY,__data) non-external _next
0000000180331664 (__TEXT,__text) non-external _nextcomp
00000001e3441498 (__DATA,__bss) non-external _nextcomp.lmsgverb
00000001e34414b8 (__DATA,__bss) non-external _nextcomp.state
000000018033a4ec (__TEXT,__text) external _nextwctype
000000018033a364 (__TEXT,__text) external _nextwctype_l
000000018031cf80 (__TEXT,__text) external _nftw
0000000180333a40 (__TEXT,__text) external _nice
0000000180315064 (__TEXT,__text) external _nl_langinfo
0000000180315088 (__TEXT,__text) external _nl_langinfo_l
00000001e3441608 (__DATA,__bss) non-external _nl_langinfo_l.csym
000000018035ec8d (__TEXT,__const) non-external _noarg
000000018035e820 (__TEXT,__const) non-external _nogrouping
00000001e343fe94 (__DATA,__data) non-external _nonopt_end
00000001e343fe98 (__DATA,__data) non-external _nonopt_start
                 (undefined) external _notify_cancel (from libsystem_notify)
                 (undefined) external _notify_check (from libsystem_notify)
00000001802ea038 (__TEXT,__text) non-external _notify_check_tz
                 (undefined) external _notify_monitor_file (from libsystem_notify)
                 (undefined) external _notify_post (from libsystem_notify)
                 (undefined) external _notify_register_check (from libsystem_notify)
00000001802eb65c (__TEXT,__text) non-external _notify_register_tz
000000018035eae0 (__TEXT,__const) non-external _notify_tz_name
0000000180333b00 (__TEXT,__text) external _nrand48
00000001803270a4 (__TEXT,__text) non-external _nroot
00000001e343fc88 (__DATA,__data) non-external _numempty
00000001e343fcf0 (__DATA,__data) non-external _numempty
000000018035e360 (__TEXT,__const) non-external _nv
0000000180336f84 (__TEXT,__text) external _nvis
0000000180349d80 (__TEXT,__text) external _offtime
00000001df928ca0 (__DATA_CONST,__const) non-external _okshells
                 (undefined) external _open$NOCANCEL (from libsystem_kernel)
                 (undefined) external _open_dprotected_np (from libsystem_kernel)
000000018033cf14 (__TEXT,__text) external _open_memstream
00000001803229bc (__TEXT,__text) external _open_with_subsystem
00000001803498ac (__TEXT,__text) external _open_wmemstream
                 (undefined) external _openat$NOCANCEL (from libsystem_kernel)
0000000180323c68 (__TEXT,__text) external _opendev
0000000180323e50 (__TEXT,__text) non-external _opendev_namebuf_init
00000001e343fac0 (__DATA,__data) non-external _opendev_namebuf_once
0000000180333b44 (__TEXT,__text) external _opendir
0000000180333ee0 (__TEXT,__text) non-external _opendir_compar
0000000180306190 (__TEXT,__text) external _openpty
0000000180316174 (__TEXT,__text) external _openx_np
00000001e3441ba0 (__DATA,__common) external _optarg
00000001e343fe80 (__DATA,__data) external _opterr
00000001e556b1fc (__DATA_DIRTY,__data) external _optind
00000001e3441b9c (__DATA,__common) external _optopt
00000001e3441b98 (__DATA,__common) external _optreset
                 (undefined) external _os_log_pack_send_and_compose (from libsystem_trace)
                 (undefined) external _os_log_simple_type_from_asl (from libsystem_platform)
                 (undefined) external _os_log_type_enabled (from libsystem_trace)
                 (undefined) external _os_unfair_lock_lock (from libsystem_platform)
                 (undefined) external _os_unfair_lock_lock_with_options (from libsystem_platform)
                 (undefined) external _os_unfair_lock_unlock (from libsystem_platform)
0000000180319028 (__TEXT,__text) non-external _overflow
00000001e556b2d8 (__DATA_DIRTY,__bss) non-external _p5s
000000018035e8c1 (__TEXT,__const) non-external _padchar
00000001e3440d6a (__DATA,__bss) non-external _parse_error
000000018030f4c8 (__TEXT,__text) non-external _parse_long_options
00000001e3440d68 (__DATA,__bss) non-external _parsed
                 (undefined) external _pathconf (from libsystem_kernel)
0000000180359454 (__TEXT,__text) external _pause
0000000180333ef4 (__TEXT,__text) external _pause$NOCANCEL
000000018033431c (__TEXT,__text) external _pclose
000000018031a2fc (__TEXT,__text) non-external _permute
000000018034d024 (__TEXT,__text) non-external _permute_args
000000018035b4d8 (__TEXT,__text) external _perror
00000001e34414f0 (__DATA,__bss) non-external _pfp
                 (undefined) external _pipe (from libsystem_kernel)
00000001e343fea0 (__DATA,__data) non-external _place
0000000180333f2c (__TEXT,__text) external _popen
0000000180359738 (__TEXT,__text) external _popen$DARWIN_EXTSN
0000000180349e34 (__TEXT,__text) external _posix2time
00000001803062b8 (__TEXT,__text) external _posix_openpt
                 (undefined) external _posix_spawn (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_addclose (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_adddup2 (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_addinherit_np (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_destroy (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_init (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_destroy (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_init (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_setflags (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_setsigdefault (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_setsigmask (from libsystem_kernel)
00000001803143e8 (__TEXT,__text) external _posix_spawnp
000000018035d888 (__TEXT,__const) non-external _powersOf10_CoarseBinary64
000000018035d460 (__TEXT,__const) non-external _powersOf10_Float
000000018035d350 (__TEXT,__const) non-external _powersOfFive
                 (undefined) external _pread$NOCANCEL (from libsystem_kernel)
000000018030fbec (__TEXT,__text) external _printf
00000001e3441af0 (__DATA,__bss) non-external _printf_info_queue
000000018034302c (__TEXT,__text) external _printf_l
00000001803313bc (__TEXT,__text) non-external _printfmt
                 (undefined) external _proc_name (from libsystem_kernel)
000000018033446c (__TEXT,__text) external _psignal
000000018034ff70 (__TEXT,__text) external _psort
0000000180350a98 (__TEXT,__text) external _psort_b
000000018030fd20 (__TEXT,__text) external _psort_r
                 (undefined) external _pthread_fchdir_np (from libsystem_pthread)
                 (undefined) external _pthread_get_stackaddr_np (from libsystem_pthread)
                 (undefined) external _pthread_get_stacksize_np (from libsystem_pthread)
                 (undefined) external _pthread_getspecific (from libsystem_pthread)
                 (undefined) external _pthread_key_create (from libsystem_pthread)
                 (undefined) external _pthread_key_init_np (from libsystem_pthread)
                 (undefined) external _pthread_kill (from libsystem_pthread)
                 (undefined) external _pthread_mutex_destroy (from libsystem_pthread)
                 (undefined) external _pthread_mutex_init (from libsystem_pthread)
                 (undefined) external _pthread_mutex_lock (from libsystem_pthread)
                 (undefined) external _pthread_mutex_trylock (from libsystem_pthread)
                 (undefined) external _pthread_mutex_unlock (from libsystem_pthread)
                 (undefined) external _pthread_once (from libsystem_pthread)
                 (undefined) external _pthread_rwlock_destroy (from libsystem_pthread)
                 (undefined) external _pthread_rwlock_rdlock (from libsystem_pthread)
                 (undefined) external _pthread_rwlock_unlock (from libsystem_pthread)
                 (undefined) external _pthread_rwlock_wrlock (from libsystem_pthread)
                 (undefined) external _pthread_self (from libsystem_pthread)
                 (undefined) external _pthread_setspecific (from libsystem_pthread)
                 (undefined) external _pthread_sigmask (from libsystem_pthread)
                 (undefined) external _pthread_stack_frame_decode_np (from libsystem_pthread)
                 (undefined) external _pthread_testcancel (from libsystem_pthread)
000000018034f8a4 (__TEXT,__text) external _ptsname
000000018035a388 (__TEXT,__text) non-external _ptsname.cold.1
000000018035ba88 (__TEXT,__text) non-external _ptsname.cold.2
00000001e3441ac8 (__DATA,__bss) non-external _ptsname_buffer_specific_key
00000001e3441ac0 (__DATA,__bss) non-external _ptsname_once
000000018034f95c (__TEXT,__text) non-external _ptsname_once_init
000000018035ba88 (__TEXT,__text) non-external _ptsname_once_init.cold.1
00000001803062fc (__TEXT,__text) external _ptsname_r
0000000180314714 (__TEXT,__text) external _putc
000000018034306c (__TEXT,__text) external _putc_unlocked
000000018030fc48 (__TEXT,__text) external _putchar
00000001803430b0 (__TEXT,__text) external _putchar_unlocked
000000018034d6c4 (__TEXT,__text) external _putenv
000000018032c44c (__TEXT,__text) non-external _putpair
000000018030f138 (__TEXT,__text) external _puts
00000001803550c0 (__TEXT,__text) external _pututxline
0000000180343100 (__TEXT,__text) external _putw
0000000180343170 (__TEXT,__text) external _putwc
0000000180343194 (__TEXT,__text) external _putwc_l
0000000180343198 (__TEXT,__text) external _putwchar
00000001803431c8 (__TEXT,__text) external _putwchar_l
00000001e3440ea0 (__DATA,__bss) non-external _pw_size
                 (undefined) external _pwrite$NOCANCEL (from libsystem_kernel)
00000001802ef280 (__TEXT,__text) external _qsort
00000001802f010c (__TEXT,__text) external _qsort_b
00000001802f0144 (__TEXT,__text) external _qsort_r
0000000180320ffc (__TEXT,__text) external _querylocale
000000018035ddd0 (__TEXT,__const) non-external _querylocale_mapping
000000018035435c (__TEXT,__text) external _quick_exit
000000018034d85c (__TEXT,__text) non-external _r_sort_a
00000001e3441a94 (__DATA,__bss) non-external _r_sort_a.bmin
00000001e3441a88 (__DATA,__bss) non-external _r_sort_a.count
00000001e3441a90 (__DATA,__bss) non-external _r_sort_a.nc
00000001e3441a98 (__DATA,__bss) non-external _r_sort_a_count
000000018034de5c (__TEXT,__text) non-external _r_sort_b
00000001e3441ab4 (__DATA,__bss) non-external _r_sort_b.bmin
00000001e3441aa8 (__DATA,__bss) non-external _r_sort_b.count
00000001e3441ab0 (__DATA,__bss) non-external _r_sort_b.nc
00000001e3441aa0 (__DATA,__bss) non-external _r_sort_b_count
000000018034e1f8 (__TEXT,__text) non-external _r_sort_count_allocate
00000001e343feb0 (__DATA,__data) non-external _r_sort_count_control
000000018034d774 (__TEXT,__text) external _radixsort
0000000180323bf8 (__TEXT,__text) external _raise
00000001802f2df4 (__TEXT,__text) external _rand
00000001e343fecc (__DATA,__data) non-external _rand_deg
00000001802f8bb4 (__TEXT,__text) external _rand_r
00000001e343fed0 (__DATA,__data) non-external _rand_sep
00000001e343fec8 (__DATA,__data) non-external _rand_type
00000001802f1664 (__TEXT,__text) external _random
00000001e556b208 (__DATA_DIRTY,__data) non-external _randtbl
00000001803316dc (__TEXT,__text) non-external (was a private external) _rangematch
00000001803228d4 (__TEXT,__text) non-external _raosnprintf
000000018035638c (__TEXT,__text) external _rb_tree_count
000000018030c54c (__TEXT,__text) external _rb_tree_find_node
00000001803561fc (__TEXT,__text) external _rb_tree_find_node_geq
0000000180356284 (__TEXT,__text) external _rb_tree_find_node_leq
000000018030c53c (__TEXT,__text) external _rb_tree_init
000000018030c5b8 (__TEXT,__text) external _rb_tree_insert_node
000000018035630c (__TEXT,__text) external _rb_tree_iterate
0000000180356398 (__TEXT,__text) non-external _rb_tree_removal_rebalance
0000000180315ee8 (__TEXT,__text) external _rb_tree_remove_node
000000018030c79c (__TEXT,__text) non-external _rb_tree_reparent_nodes
000000018035de28 (__TEXT,__const) non-external _rcsid
000000018035de77 (__TEXT,__const) non-external _rcsid
000000018035dec1 (__TEXT,__const) non-external _rcsid
000000018035dfbe (__TEXT,__const) non-external _rcsid
000000018035ed40 (__TEXT,__const) non-external _rcsid
000000018035ee05 (__TEXT,__const) non-external _rcsid
                 (undefined) external _read$NOCANCEL (from libsystem_kernel)
00000001803346bc (__TEXT,__text) external _readdir
0000000180334704 (__TEXT,__text) external _readdir_r
                 (undefined) external _readlink (from libsystem_kernel)
00000001803347c0 (__TEXT,__text) external _readpassphrase
                 (undefined) external _reallocarray$DARWIN_EXTSN (from libsystem_malloc)
                 (undefined) external _reallocf (from libsystem_malloc)
