00000001e9c429a0 (__DATA,__data) external _NDR_record
00000001804b5ae4 (__TEXT,__text) external _proc_pid_rusage
00000001804c19a0 (__TEXT,__text) external _proc_piddynkqueueinfo
00000001804c1930 (__TEXT,__text) external _proc_pidfdinfo
00000001804c1968 (__TEXT,__text) external _proc_pidfileportinfo
00000001804af0d0 (__TEXT,__text) external _proc_pidinfo
00000001804b57a4 (__TEXT,__text) external _proc_pidoriginatorinfo
00000001804af900 (__TEXT,__text) external _proc_pidpath
00000001804c1b24 (__TEXT,__text) external _proc_pidpath_audittoken
00000001804c19f4 (__TEXT,__text) external _proc_regionfilename
00000001804c2314 (__TEXT,__text) external _proc_reset_footprint_interval
00000001804c2064 (__TEXT,__text) external _proc_resume_cpumon
00000001804b65b4 (__TEXT,__text) external _proc_rlimit_control
00000001804b5a98 (__TEXT,__text) external _proc_set_cpumon_defaults
00000001804b5a20 (__TEXT,__text) external _proc_set_cpumon_params
00000001804c2084 (__TEXT,__text) external _proc_set_cpumon_params_fatal
00000001804c2718 (__TEXT,__text) external _proc_set_csm
00000001804c2498 (__TEXT,__text) external _proc_set_delayidlesleep
00000001804b114c (__TEXT,__text) external _proc_set_dirty
00000001804c2650 (__TEXT,__text) external _proc_set_no_smt
00000001804c2438 (__TEXT,__text) external _proc_set_owner_vmpressure
00000001804b7c24 (__TEXT,__text) external _proc_set_wakemon_defaults
00000001804c21e8 (__TEXT,__text) external _proc_set_wakemon_params
00000001804c22a4 (__TEXT,__text) external _proc_setcpu_percentage
00000001804b01f8 (__TEXT,__text) external _proc_setpcontrol
00000001804c18e8 (__TEXT,__text) external _proc_setthread_cpupercent
00000001804c27dc (__TEXT,__text) external _proc_setthread_csm
00000001804c26b4 (__TEXT,__text) external _proc_setthread_no_smt
00000001804c1e0c (__TEXT,__text) external _proc_signal_delegate
00000001804c1f10 (__TEXT,__text) external _proc_signal_with_audittoken
00000001804c2648 (__TEXT,__text) external _proc_suppress
00000001804c1d90 (__TEXT,__text) external _proc_terminate
00000001804c1fec (__TEXT,__text) external _proc_terminate_all_rsr
00000001804c1e7c (__TEXT,__text) external _proc_terminate_delegate
00000001804c1f6c (__TEXT,__text) external _proc_terminate_with_audittoken
00000001804bcb9c (__TEXT,__text) external _proc_trace_log
00000001804b10ec (__TEXT,__text) external _proc_track_dirty
00000001804c19d8 (__TEXT,__text) external _proc_udata_info
00000001804bcbc8 (__TEXT,__text) external _proc_uuid_policy
00000001804d8264 (__TEXT,__text) external _processor_assign
00000001804d810c (__TEXT,__text) external _processor_control
00000001804d7de8 (__TEXT,__text) external _processor_exit
00000001804d8390 (__TEXT,__text) external _processor_get_assignment
00000001804d7ef8 (__TEXT,__text) external _processor_info
00000001804d01cc (__TEXT,__text) external _processor_set_create
00000001804d0070 (__TEXT,__text) external _processor_set_default
00000001804d6ec0 (__TEXT,__text) external _processor_set_destroy
00000001804d793c (__TEXT,__text) external _processor_set_info
00000001804d6fd4 (__TEXT,__text) external _processor_set_max_priority
00000001804d763c (__TEXT,__text) external _processor_set_policy_control
00000001804d7214 (__TEXT,__text) external _processor_set_policy_disable
00000001804d70f4 (__TEXT,__text) external _processor_set_policy_enable
00000001804d77b0 (__TEXT,__text) external _processor_set_stack_usage
00000001804d6cdc (__TEXT,__text) external _processor_set_statistics
00000001804d7334 (__TEXT,__text) external _processor_set_tasks
00000001804d7b44 (__TEXT,__text) external _processor_set_tasks_with_flavor
00000001804d74b8 (__TEXT,__text) external _processor_set_threads
00000001804d7cd8 (__TEXT,__text) external _processor_start
00000001804c885c (__TEXT,__text) external _pselect
00000001804b3fe8 (__TEXT,__text) external _pselect$DARWIN_EXTSN
00000001804c09c0 (__TEXT,__text) external _pselect$DARWIN_EXTSN$NOCANCEL
00000001804c89e8 (__TEXT,__text) external _pselect$NOCANCEL
00000001804af87c (__TEXT,__text) external _pthread_getugid_np
00000001804b74ac (__TEXT,__text) external _pthread_setugid_np
00000001804b6a64 (__TEXT,__text) external _ptrace
00000001804b1428 (__TEXT,__text) external _pwrite
00000001804bb7ec (__TEXT,__text) external _pwrite$NOCANCEL
00000001804bcbf4 (__TEXT,__text) external _pwritev
00000001804bb818 (__TEXT,__text) external _pwritev$NOCANCEL
00000001804c0704 (__TEXT,__text) external _quota
00000001804b4174 (__TEXT,__text) external _quotactl
00000001804ae914 (__TEXT,__text) external _read
00000001804afca4 (__TEXT,__text) external _read$NOCANCEL
00000001804b0154 (__TEXT,__text) external _readlink
00000001804bcc20 (__TEXT,__text) external _readlinkat
00000001804bcc4c (__TEXT,__text) external _readv
00000001804bb844 (__TEXT,__text) external _readv$NOCANCEL
00000001804bd4f0 (__TEXT,__text) non-external _reallocf
00000001804bf668 (__TEXT,__text) external _reboot
00000001804bf670 (__TEXT,__text) external _reboot_np
00000001804c8858 (__TEXT,__text) external _record_system_event_as_kernel
00000001804b23b4 (__TEXT,__text) external _recvfrom
00000001804b227c (__TEXT,__text) external _recvfrom$NOCANCEL
00000001804b27c4 (__TEXT,__text) external _recvmsg
00000001804bb8c8 (__TEXT,__text) external _recvmsg$NOCANCEL
00000001804bcc78 (__TEXT,__text) external _recvmsg_x
00000001804bcca4 (__TEXT,__text) external _register_uexc_handler
00000001804b2ce8 (__TEXT,__text) external _removexattr
00000001804b1858 (__TEXT,__text) external _rename
00000001804c33bc (__TEXT,__text) external _rename_ext
00000001804bf704 (__TEXT,__text) external _renameat
00000001804c3350 (__TEXT,__text) external _renameatx_np
00000001804c337c (__TEXT,__text) external _renamex_np
00000001804bccd0 (__TEXT,__text) external _revoke
00000001804b18c4 (__TEXT,__text) external _rmdir
00000001804bccfc (__TEXT,__text) external _searchfs
00000001804b24bc (__TEXT,__text) external _select
00000001804b8e78 (__TEXT,__text) external _select$DARWIN_EXTSN
00000001804b2250 (__TEXT,__text) external _select$DARWIN_EXTSN$NOCANCEL
00000001804b221c (__TEXT,__text) external _select$NOCANCEL
00000001804b7750 (__TEXT,__text) external _sem_close
00000001804c83ec (__TEXT,__text) external _sem_destroy
00000001804c8414 (__TEXT,__text) external _sem_getvalue
00000001804c843c (__TEXT,__text) external _sem_init
00000001804baa10 (__TEXT,__text) external _sem_open
00000001804bcd28 (__TEXT,__text) external _sem_post
00000001804bcd54 (__TEXT,__text) external _sem_trywait
00000001804bcd80 (__TEXT,__text) external _sem_unlink
00000001804bcdac (__TEXT,__text) external _sem_wait
00000001804bb94c (__TEXT,__text) external _sem_wait$NOCANCEL
00000001804b0c44 (__TEXT,__text) external _semaphore_create
00000001804b0fd0 (__TEXT,__text) external _semaphore_destroy
00000001804b0db0 (__TEXT,__text) external _semaphore_signal
00000001804c07d4 (__TEXT,__text) external _semaphore_signal_all
00000001804adb90 (__TEXT,__text) external _semaphore_signal_all_trap
00000001804c07d8 (__TEXT,__text) external _semaphore_signal_thread
00000001804adb9c (__TEXT,__text) external _semaphore_signal_thread_trap
00000001804adb84 (__TEXT,__text) external _semaphore_signal_trap
00000001804b2a54 (__TEXT,__text) external _semaphore_timedwait
00000001804c07e0 (__TEXT,__text) external _semaphore_timedwait_signal
00000001804adbcc (__TEXT,__text) external _semaphore_timedwait_signal_trap
00000001804adbc0 (__TEXT,__text) external _semaphore_timedwait_trap
00000001804b0dac (__TEXT,__text) external _semaphore_wait
00000001804c07dc (__TEXT,__text) external _semaphore_wait_signal
00000001804adbb4 (__TEXT,__text) external _semaphore_wait_signal_trap
00000001804adba8 (__TEXT,__text) external _semaphore_wait_trap
00000001804baa98 (__TEXT,__text) external _semctl
00000001804bcdd8 (__TEXT,__text) external _semget
00000001804bce04 (__TEXT,__text) external _semop
00000001804baa74 (__TEXT,__text) external _semsys
00000001804bce30 (__TEXT,__text) external _sendfile
00000001804b3978 (__TEXT,__text) external _sendmsg
00000001804b22d4 (__TEXT,__text) external _sendmsg$NOCANCEL
00000001804bce5c (__TEXT,__text) external _sendmsg_x
00000001804b2388 (__TEXT,__text) external _sendto
00000001804b21f0 (__TEXT,__text) external _sendto$NOCANCEL
00000001804b1480 (__TEXT,__text) external _setattrlist
00000001804bce88 (__TEXT,__text) external _setattrlistat
00000001804cbcd4 (__TEXT,__text) external _setaudit
00000001804bceb4 (__TEXT,__text) external _setaudit_addr
00000001804bcee0 (__TEXT,__text) external _setauid
00000001804b7504 (__TEXT,__text) external _setegid
00000001804b74d8 (__TEXT,__text) external _seteuid
00000001804b722c (__TEXT,__text) external _setgid
00000001804bcf0c (__TEXT,__text) external _setgroups
00000001804b5938 (__TEXT,__text) external _setiopolicy_np
00000001804b660c (__TEXT,__text) external _setitimer
00000001804b982c (__TEXT,__text) external _setpgid
00000001804b6084 (__TEXT,__text) external _setpriority
00000001804bcf38 (__TEXT,__text) external _setprivexec
00000001804c0734 (__TEXT,__text) external _setquota
00000001804bb9d0 (__TEXT,__text) external _setregid
00000001804bb9fc (__TEXT,__text) external _setreuid
00000001804b0a00 (__TEXT,__text) external _setrlimit
00000001804bba28 (__TEXT,__text) external _setsgroups_np
00000001804b6788 (__TEXT,__text) external _setsid
00000001804b2198 (__TEXT,__text) external _setsockopt
00000001804b7258 (__TEXT,__text) external _setuid
00000001804bbaac (__TEXT,__text) external _setwgroups_np
00000001804b1778 (__TEXT,__text) external _setxattr
00000001804c4e68 (__TEXT,__text) external _sfi_get_class_offtime
00000001804c4e90 (__TEXT,__text) external _sfi_process_get_flags
00000001804c4e7c (__TEXT,__text) external _sfi_process_set_flags
00000001804b77a8 (__TEXT,__text) external _sfi_set_class_offtime
00000001804baa30 (__TEXT,__text) external _shm_open
00000001804bcf64 (__TEXT,__text) external _shm_unlink
00000001804bcf90 (__TEXT,__text) external _shmat
00000001804bbb5c (__TEXT,__text) external _shmctl
00000001804bcfbc (__TEXT,__text) external _shmdt
00000001804bcfe8 (__TEXT,__text) external _shmget
00000001804baab8 (__TEXT,__text) external _shmsys
00000001804b2438 (__TEXT,__text) external _shutdown
00000001804bd014 (__TEXT,__text) external _sigpending
00000001804b13d0 (__TEXT,__text) external _sigprocmask
00000001804ca180 (__TEXT,__text) external _sigsuspend
00000001804b5544 (__TEXT,__text) external _sigsuspend$NOCANCEL
00000001804b1f98 (__TEXT,__text) external _socket
00000001804bd040 (__TEXT,__text) external _socket_delegate
00000001804b22a8 (__TEXT,__text) external _socketpair
00000001804c4b70 (__TEXT,__text) external _stackshot_capture_with_config
00000001804c4ab8 (__TEXT,__text) external _stackshot_config_create
00000001804c4ce0 (__TEXT,__text) external _stackshot_config_dealloc
00000001804c4c88 (__TEXT,__text) external _stackshot_config_dealloc_buffer
00000001804c4bf0 (__TEXT,__text) external _stackshot_config_get_stackshot_buffer
00000001804c4bfc (__TEXT,__text) external _stackshot_config_get_stackshot_size
00000001804c4c3c (__TEXT,__text) external _stackshot_config_set_delta_timestamp
00000001804c4b54 (__TEXT,__text) external _stackshot_config_set_flags
00000001804c4c60 (__TEXT,__text) external _stackshot_config_set_pagetable_mask
00000001804c4b38 (__TEXT,__text) external _stackshot_config_set_pid
00000001804c4c18 (__TEXT,__text) external _stackshot_config_set_size_hint
00000001804b9884 (__TEXT,__text) external _stat
00000001804b9884 (__TEXT,__text) external _stat64
00000001804bd0c4 (__TEXT,__text) external _statfs
00000001804bd0c4 (__TEXT,__text) external _statfs64
00000001804c377c (__TEXT,__text) external _statfs_ext
00000001e9c429d8 (__DATA,__bss) non-external _supported
00000001804bd0f0 (__TEXT,__text) external _swapon
00000001804adc8c (__TEXT,__text) external _swtch
00000001804adc80 (__TEXT,__text) external _swtch_pri
00000001804b3920 (__TEXT,__text) external _symlink
00000001804bd11c (__TEXT,__text) external _symlinkat
00000001804bd148 (__TEXT,__text) external _sync
00000001804b0118 (__TEXT,__text) external _syscall
00000001804adc98 (__TEXT,__text) external _syscall_thread_switch
00000001804c4e54 (__TEXT,__text) external _system_get_sfi_window
00000001804bd174 (__TEXT,__text) external _system_override
00000001804b77e8 (__TEXT,__text) external _system_set_sfi_window
00000001e9c429b0 (__DATA,__bss) non-external _system_version_compat_check_path_suffix
00000001e9c429e8 (__DATA,__common) external _system_version_compat_mode
00000001804da80c (__TEXT,__text) external _task_assign
00000001804da938 (__TEXT,__text) external _task_assign_default
00000001804d8c1c (__TEXT,__text) external _task_create
00000001804dcd44 (__TEXT,__text) external _task_create_identity_token
00000001804dd00c (__TEXT,__text) external _task_dyld_process_info_notify_deregister
00000001804adaac (__TEXT,__text) external _task_dyld_process_info_notify_get
00000001804dcc28 (__TEXT,__text) external _task_dyld_process_info_notify_register
00000001804adc14 (__TEXT,__text) external _task_for_pid
00000001804dbacc (__TEXT,__text) external _task_generate_corpse
00000001804daa54 (__TEXT,__text) external _task_get_assignment
00000001804dbff8 (__TEXT,__text) external _task_get_dyld_image_infos
00000001804da260 (__TEXT,__text) external _task_get_emulation_vector
00000001804dc884 (__TEXT,__text) external _task_get_exc_guard_behavior
00000001804b9304 (__TEXT,__text) external _task_get_exception_ports
00000001804dd128 (__TEXT,__text) external _task_get_exception_ports_info
00000001804db6c8 (__TEXT,__text) external _task_get_mach_voucher
00000001804ae1c8 (__TEXT,__text) external _task_get_special_port
00000001804dad70 (__TEXT,__text) external _task_get_state
00000001804dcea0 (__TEXT,__text) external _task_identity_token_get_task_port
00000001804ae3ac (__TEXT,__text) external _task_info
00000001804dc6a8 (__TEXT,__text) external _task_inspect
00000001804bd1a0 (__TEXT,__text) external _task_inspect_for_pid
00000001804dbc28 (__TEXT,__text) external _task_map_corpse_info
00000001804dc53c (__TEXT,__text) external _task_map_corpse_info_64
00000001804dd75c (__TEXT,__text) external _task_map_kcdata_object_64
00000001804adc08 (__TEXT,__text) external _task_name_for_pid
00000001804d9fd0 (__TEXT,__text) external _task_policy
00000001804d9ca0 (__TEXT,__text) external _task_policy_get
00000001804b0498 (__TEXT,__text) external _task_policy_set
00000001804db524 (__TEXT,__text) external _task_purgable_info
00000001804bd1cc (__TEXT,__text) external _task_read_for_pid
00000001804dc3d4 (__TEXT,__text) external _task_register_dyld_get_process_state
00000001804dbd90 (__TEXT,__text) external _task_register_dyld_image_infos
00000001804dc2b0 (__TEXT,__text) external _task_register_dyld_set_dyld_state
00000001804dc188 (__TEXT,__text) external _task_register_dyld_shared_cache_image_info
00000001804dd8c8 (__TEXT,__text) external _task_register_hardened_exception_handler
00000001804add64 (__TEXT,__text) external _task_restartable_ranges_register
00000001804b0a34 (__TEXT,__text) external _task_restartable_ranges_synchronize
00000001804d9288 (__TEXT,__text) external _task_resume
00000001804db414 (__TEXT,__text) external _task_resume2
00000001804d9eb4 (__TEXT,__text) external _task_sample
00000001804c0800 (__TEXT,__text) external _task_self_
00000001804adb54 (__TEXT,__text) external _task_self_trap
00000001804dd514 (__TEXT,__text) external _task_set_corpse_forking_behavior
00000001804da148 (__TEXT,__text) external _task_set_emulation
00000001804da3ec (__TEXT,__text) external _task_set_emulation_vector
00000001804dc9c8 (__TEXT,__text) external _task_set_exc_guard_behavior
00000001804b819c (__TEXT,__text) external _task_set_exception_ports
00000001804b8624 (__TEXT,__text) external _task_set_info
00000001804db834 (__TEXT,__text) external _task_set_mach_voucher
00000001804db164 (__TEXT,__text) external _task_set_phys_footprint_limit
00000001804dabb0 (__TEXT,__text) external _task_set_policy
00000001804cb6c0 (__TEXT,__text) external _task_set_port_space
00000001804da51c (__TEXT,__text) external _task_set_ras_pc
00000001804aef1c (__TEXT,__text) external _task_set_special_port
00000001804dafb8 (__TEXT,__text) external _task_set_state
00000001804d9178 (__TEXT,__text) external _task_suspend
00000001804db2b8 (__TEXT,__text) external _task_suspend2
00000001804d96f4 (__TEXT,__text) external _task_swap_exception_ports
00000001804db950 (__TEXT,__text) external _task_swap_mach_voucher
00000001804d8d9c (__TEXT,__text) external _task_terminate
00000001804dd630 (__TEXT,__text) external _task_test_async_upcall_propagation
00000001804dd3f8 (__TEXT,__text) external _task_test_sync_upcall
00000001804b6e64 (__TEXT,__text) external _task_threads
00000001804dbec4 (__TEXT,__text) external _task_unregister_dyld_image_infos
00000001804da634 (__TEXT,__text) external _task_zone_info
00000001804c4e50 (__TEXT,__text) external _terminate_with_payload
00000001804b85e4 (__TEXT,__text) external _terminate_with_reason
00000001804de2c8 (__TEXT,__text) external _thread_abort
00000001804de3d8 (__TEXT,__text) external _thread_abort_safely
00000001804dfc58 (__TEXT,__text) external _thread_adopt_exception_handler
00000001804dedf0 (__TEXT,__text) external _thread_assign
00000001804def0c (__TEXT,__text) external _thread_assign_default
00000001804df728 (__TEXT,__text) external _thread_convert_thread_state
00000001804d9398 (__TEXT,__text) external _thread_create
00000001804d94f4 (__TEXT,__text) external _thread_create_running
00000001804de4e8 (__TEXT,__text) external _thread_depress_abort
00000001804b0efc (__TEXT,__text) external _thread_destruct_special_reply_port
00000001804df01c (__TEXT,__text) external _thread_get_assignment
00000001804b77fc (__TEXT,__text) external _thread_get_exception_ports
00000001804df988 (__TEXT,__text) external _thread_get_exception_ports_info
00000001804df324 (__TEXT,__text) external _thread_get_mach_voucher
00000001804c314c (__TEXT,__text) external _thread_get_register_pointer_values
00000001804de5f8 (__TEXT,__text) external _thread_get_special_port
00000001804adc50 (__TEXT,__text) external _thread_get_special_reply_port
00000001804b6fe4 (__TEXT,__text) external _thread_get_state
00000001804b55a8 (__TEXT,__text) external _thread_info
00000001804b2fd0 (__TEXT,__text) external _thread_policy
00000001804b7284 (__TEXT,__text) external _thread_policy_get
00000001804b41cc (__TEXT,__text) external _thread_policy_set
00000001804de1b8 (__TEXT,__text) external _thread_resume
00000001804dfee4 (__TEXT,__text) external _thread_resume2
00000001804debb8 (__TEXT,__text) external _thread_sample
00000001804adb48 (__TEXT,__text) external _thread_self_trap
00000001804bd1f8 (__TEXT,__text) external _thread_selfcounts
00000001804b44c8 (__TEXT,__text) external _thread_set_exception_ports
00000001804df490 (__TEXT,__text) external _thread_set_mach_voucher
00000001804c30c0 (__TEXT,__text) external _thread_set_policy
00000001804de764 (__TEXT,__text) external _thread_set_special_port
00000001804ddefc (__TEXT,__text) external _thread_set_state
00000001804add58 (__TEXT,__text) external _thread_set_x86_64_compat
00000001804de0a8 (__TEXT,__text) external _thread_suspend
00000001804dfd88 (__TEXT,__text) external _thread_suspend2
00000001804de890 (__TEXT,__text) external _thread_swap_exception_ports
00000001804df5ac (__TEXT,__text) external _thread_swap_mach_voucher
00000001804b3508 (__TEXT,__text) external _thread_switch
00000001804dd9f8 (__TEXT,__text) external _thread_terminate
00000001804cd870 (__TEXT,__text) external _thread_wire
00000001804e2cb0 (__TEXT,__const) non-external _times_now
00000001804bd224 (__TEXT,__text) external _tracker_action
00000001edd84ff8 (__AUTH_CONST,__const) non-external _traffic_rule_types
00000001804bd250 (__TEXT,__text) external _truncate
00000001804b34b0 (__TEXT,__text) external _umask
00000001804bd27c (__TEXT,__text) external _undelete
00000001804bd2a8 (__TEXT,__text) external _ungraftdmg
00000001804b1c78 (__TEXT,__text) external _unlink
00000001804b7ac0 (__TEXT,__text) external _unlinkat
00000001804ba37c (__TEXT,__text) external _unmount
00000001e9c429f0 (__DATA,__common) external _update_tpidr
00000001804bd2d4 (__TEXT,__text) external _usrctl
00000001804c2fec (__TEXT,__text) external _utimensat
00000001804b34dc (__TEXT,__text) external _utimes
00000001804bd300 (__TEXT,__text) external _vfs_purge
00000001804affc4 (__TEXT,__text) external _vm_allocate
00000001804cd99c (__TEXT,__text) external _vm_allocate_cpm
00000001804e063c (__TEXT,__text) external _vm_behavior_set
00000001804b0db4 (__TEXT,__text) external _vm_copy
00000001804b00b4 (__TEXT,__text) external _vm_deallocate
00000001804dfff4 (__TEXT,__text) external _vm_inherit
00000001ec705dc8 (__DATA_DIRTY,__common) external _vm_kernel_page_mask
00000001ec705dc0 (__DATA_DIRTY,__common) external _vm_kernel_page_shift
00000001ec705db8 (__DATA_DIRTY,__common) external _vm_kernel_page_size
00000001804e075c (__TEXT,__text) external _vm_machine_attribute
00000001804b9fe8 (__TEXT,__text) external _vm_map
00000001804e08b4 (__TEXT,__text) external _vm_map_page_query
00000001804e051c (__TEXT,__text) external _vm_msync
00000001ec705db0 (__DATA_DIRTY,__common) external _vm_page_mask
00000001ec705dac (__DATA_DIRTY,__common) external _vm_page_shift
00000001ec705da0 (__DATA_DIRTY,__common) external _vm_page_size
00000001804bd32c (__TEXT,__text) external _vm_pressure_monitor
00000001804b27c0 (__TEXT,__text) external _vm_protect
00000001804b15e4 (__TEXT,__text) external _vm_purgable_control
00000001804b7530 (__TEXT,__text) external _vm_read
00000001804e0114 (__TEXT,__text) external _vm_read_list
00000001804e03cc (__TEXT,__text) external _vm_read_overwrite
00000001804cbc2c (__TEXT,__text) external _vm_reallocate
00000001804b613c (__TEXT,__text) external _vm_region_64
00000001804b636c (__TEXT,__text) external _vm_region_recurse_64
00000001804b0278 (__TEXT,__text) external _vm_remap
00000001804cbacc (__TEXT,__text) external _vm_remap_new
00000001e599cf68 (__DATA_CONST,__const) non-external _vm_tag_descriptions
00000001804cd740 (__TEXT,__text) external _vm_wire
00000001804e0298 (__TEXT,__text) external _vm_write
00000001804b1344 (__TEXT,__text) external _voucher_mach_msg_adopt
00000001804aee8c (__TEXT,__text) external _voucher_mach_msg_clear
00000001804b132c (__TEXT,__text) external _voucher_mach_msg_revert
00000001804aea3c (__TEXT,__text) external _voucher_mach_msg_set
00000001e9c429f8 (__DATA,__common) external _vprintf_stderr_func
00000001804ba2a0 (__TEXT,__text) external _wait4
00000001804bd358 (__TEXT,__text) external _waitid
00000001804bbd58 (__TEXT,__text) external _waitid$NOCANCEL
00000001804ca800 (__TEXT,__text) external _work_interval_copy_port
00000001804b6b30 (__TEXT,__text) external _work_interval_create
00000001804ca5f0 (__TEXT,__text) external _work_interval_destroy
00000001804ca264 (__TEXT,__text) external _work_interval_get_flags_from_port
00000001804b6c74 (__TEXT,__text) external _work_interval_instance_alloc
00000001804ca3d0 (__TEXT,__text) external _work_interval_instance_clear
00000001804ca570 (__TEXT,__text) external _work_interval_instance_finish
00000001804ca3e4 (__TEXT,__text) external _work_interval_instance_free
00000001804ca494 (__TEXT,__text) external _work_interval_instance_get_complexity
00000001804ca464 (__TEXT,__text) external _work_interval_instance_get_deadline
00000001804ca47c (__TEXT,__text) external _work_interval_instance_get_finish
00000001804b6cdc (__TEXT,__text) external _work_interval_instance_get_id
00000001804ca44c (__TEXT,__text) external _work_interval_instance_get_start
00000001804ca4ac (__TEXT,__text) external _work_interval_instance_get_telemetry_data
00000001804ca444 (__TEXT,__text) external _work_interval_instance_set_complexity
00000001804ca434 (__TEXT,__text) external _work_interval_instance_set_deadline
00000001804ca43c (__TEXT,__text) external _work_interval_instance_set_finish
00000001804ca42c (__TEXT,__text) external _work_interval_instance_set_start
00000001804ca4c8 (__TEXT,__text) external _work_interval_instance_start
00000001804ca518 (__TEXT,__text) external _work_interval_instance_update
00000001804ca754 (__TEXT,__text) external _work_interval_join
00000001804ca7ac (__TEXT,__text) external _work_interval_join_port
00000001804ca7ec (__TEXT,__text) external _work_interval_leave
00000001804ca2f4 (__TEXT,__text) external _work_interval_notify
00000001804ca370 (__TEXT,__text) external _work_interval_notify_simple
00000001804b182c (__TEXT,__text) external _write
00000001804b1bdc (__TEXT,__text) external _write$NOCANCEL
00000001804b1b84 (__TEXT,__text) external _writev
00000001804bbd84 (__TEXT,__text) external _writev$NOCANCEL
