00000001d8a90fc0 (__DATA,__data) external _NDR_record
00000001803c2fa4 (__TEXT,__text) external _semaphore_signal
00000001803d2524 (__TEXT,__text) external _semaphore_signal_all
00000001803bfe70 (__TEXT,__text) external _semaphore_signal_all_trap
00000001803d2528 (__TEXT,__text) external _semaphore_signal_thread
00000001803bfe7c (__TEXT,__text) external _semaphore_signal_thread_trap
00000001803bfe64 (__TEXT,__text) external _semaphore_signal_trap
00000001803c4b5c (__TEXT,__text) external _semaphore_timedwait
00000001803d2530 (__TEXT,__text) external _semaphore_timedwait_signal
00000001803bfeac (__TEXT,__text) external _semaphore_timedwait_signal_trap
00000001803bfea0 (__TEXT,__text) external _semaphore_timedwait_trap
00000001803c2fa0 (__TEXT,__text) external _semaphore_wait
00000001803d252c (__TEXT,__text) external _semaphore_wait_signal
00000001803bfe94 (__TEXT,__text) external _semaphore_wait_signal_trap
00000001803bfe88 (__TEXT,__text) external _semaphore_wait_trap
00000001803cccd4 (__TEXT,__text) external _semctl
00000001803cef0c (__TEXT,__text) external _semget
00000001803cef38 (__TEXT,__text) external _semop
00000001803cccb0 (__TEXT,__text) external _semsys
00000001803cef64 (__TEXT,__text) external _sendfile
00000001803c5a94 (__TEXT,__text) external _sendmsg
00000001803c43bc (__TEXT,__text) external _sendmsg$NOCANCEL
00000001803cef90 (__TEXT,__text) external _sendmsg_x
00000001803c4470 (__TEXT,__text) external _sendto
00000001803c42d8 (__TEXT,__text) external _sendto$NOCANCEL
00000001803c3684 (__TEXT,__text) external _setattrlist
00000001803cefbc (__TEXT,__text) external _setattrlistat
00000001803dc9d0 (__TEXT,__text) external _setaudit
00000001803cefe8 (__TEXT,__text) external _setaudit_addr
00000001803cf014 (__TEXT,__text) external _setauid
00000001803c9644 (__TEXT,__text) external _setegid
00000001803c9618 (__TEXT,__text) external _seteuid
00000001803c9374 (__TEXT,__text) external _setgid
00000001803cf040 (__TEXT,__text) external _setgroups
00000001803c7a34 (__TEXT,__text) external _setiopolicy_np
00000001803c8748 (__TEXT,__text) external _setitimer
00000001803cb9c0 (__TEXT,__text) external _setpgid
00000001803c81bc (__TEXT,__text) external _setpriority
00000001803cf06c (__TEXT,__text) external _setprivexec
00000001803d2434 (__TEXT,__text) external _setquota
00000001803cdbb4 (__TEXT,__text) external _setregid
00000001803cdbe0 (__TEXT,__text) external _setreuid
00000001803c2bec (__TEXT,__text) external _setrlimit
00000001803cdc0c (__TEXT,__text) external _setsgroups_np
00000001803c88c4 (__TEXT,__text) external _setsid
00000001803c4280 (__TEXT,__text) external _setsockopt
00000001803c93a0 (__TEXT,__text) external _setuid
00000001803cdc90 (__TEXT,__text) external _setwgroups_np
00000001803c397c (__TEXT,__text) external _setxattr
00000001803d5d7c (__TEXT,__text) external _sfi_get_class_offtime
00000001803d5da4 (__TEXT,__text) external _sfi_process_get_flags
00000001803d5d90 (__TEXT,__text) external _sfi_process_set_flags
00000001803c98ec (__TEXT,__text) external _sfi_set_class_offtime
00000001803ccc70 (__TEXT,__text) external _shm_open
00000001803cf098 (__TEXT,__text) external _shm_unlink
00000001803cf0c4 (__TEXT,__text) external _shmat
00000001803cdd40 (__TEXT,__text) external _shmctl
00000001803cf0f0 (__TEXT,__text) external _shmdt
00000001803cf11c (__TEXT,__text) external _shmget
00000001803cccf4 (__TEXT,__text) external _shmsys
00000001803c4520 (__TEXT,__text) external _shutdown
00000001803cf148 (__TEXT,__text) external _sigpending
00000001803c35d4 (__TEXT,__text) external _sigprocmask
00000001803daf44 (__TEXT,__text) external _sigsuspend
00000001803c75d4 (__TEXT,__text) external _sigsuspend$NOCANCEL
00000001803c41a4 (__TEXT,__text) external _socket
00000001803cf174 (__TEXT,__text) external _socket_delegate
00000001803c4390 (__TEXT,__text) external _socketpair
00000001803d5874 (__TEXT,__text) external _stackshot_capture_with_config
00000001803d57b8 (__TEXT,__text) external _stackshot_config_create
00000001803d59d8 (__TEXT,__text) external _stackshot_config_dealloc
00000001803d5980 (__TEXT,__text) external _stackshot_config_dealloc_buffer
00000001803d58e8 (__TEXT,__text) external _stackshot_config_get_stackshot_buffer
00000001803d58f4 (__TEXT,__text) external _stackshot_config_get_stackshot_size
00000001803d5934 (__TEXT,__text) external _stackshot_config_set_delta_timestamp
00000001803d5858 (__TEXT,__text) external _stackshot_config_set_flags
00000001803d5958 (__TEXT,__text) external _stackshot_config_set_pagetable_mask
00000001803d583c (__TEXT,__text) external _stackshot_config_set_pid
00000001803d5910 (__TEXT,__text) external _stackshot_config_set_size_hint
00000001803cba18 (__TEXT,__text) external _stat
00000001803cba18 (__TEXT,__text) external _stat64
00000001803cf1f8 (__TEXT,__text) external _statfs
00000001803cf1f8 (__TEXT,__text) external _statfs64
00000001d8a91070 (__DATA,__bss) non-external _supported
00000001803cf224 (__TEXT,__text) external _swapon
00000001803bff6c (__TEXT,__text) external _swtch
00000001803bff60 (__TEXT,__text) external _swtch_pri
00000001803c5a3c (__TEXT,__text) external _symlink
00000001803cf250 (__TEXT,__text) external _symlinkat
00000001803cf27c (__TEXT,__text) external _sync
00000001803c22f8 (__TEXT,__text) external _syscall
00000001803bff78 (__TEXT,__text) external _syscall_thread_switch
00000001803d5d68 (__TEXT,__text) external _system_get_sfi_window
00000001803cf2a8 (__TEXT,__text) external _system_override
00000001803c992c (__TEXT,__text) external _system_set_sfi_window
00000001d8a91078 (__DATA,__bss) non-external _system_version_compat_check_path_suffix
00000001d8a91028 (__DATA,__common) external _system_version_compat_mode
00000001803eab5c (__TEXT,__text) external _task_assign
00000001803eac90 (__TEXT,__text) external _task_assign_default
00000001803e91e4 (__TEXT,__text) external _task_create
00000001803ed114 (__TEXT,__text) external _task_create_identity_token
00000001803ed3e4 (__TEXT,__text) external _task_dyld_process_info_notify_deregister
00000001803bfd8c (__TEXT,__text) external _task_dyld_process_info_notify_get
00000001803ecff0 (__TEXT,__text) external _task_dyld_process_info_notify_register
00000001803bfef4 (__TEXT,__text) external _task_for_pid
00000001803ebe5c (__TEXT,__text) external _task_generate_corpse
00000001803eadb0 (__TEXT,__text) external _task_get_assignment
00000001803ec3a4 (__TEXT,__text) external _task_get_dyld_image_infos
00000001803ea59c (__TEXT,__text) external _task_get_emulation_vector
00000001803ecc40 (__TEXT,__text) external _task_get_exc_guard_behavior
00000001803cb480 (__TEXT,__text) external _task_get_exception_ports
00000001803ed504 (__TEXT,__text) external _task_get_exception_ports_info
00000001803eba44 (__TEXT,__text) external _task_get_mach_voucher
00000001803c0494 (__TEXT,__text) external _task_get_special_port
00000001803eb0d4 (__TEXT,__text) external _task_get_state
00000001803ed274 (__TEXT,__text) external _task_identity_token_get_task_port
00000001803c067c (__TEXT,__text) external _task_info
00000001803eca6c (__TEXT,__text) external _task_inspect
00000001803cf2d4 (__TEXT,__text) external _task_inspect_for_pid
00000001803ebfbc (__TEXT,__text) external _task_map_corpse_info
00000001803ec8f8 (__TEXT,__text) external _task_map_corpse_info_64
00000001803edb5c (__TEXT,__text) external _task_map_kcdata_object_64
00000001803bfee8 (__TEXT,__text) external _task_name_for_pid
00000001803ea304 (__TEXT,__text) external _task_policy
00000001803e9fd4 (__TEXT,__text) external _task_policy_get
00000001803c267c (__TEXT,__text) external _task_policy_set
00000001803eb89c (__TEXT,__text) external _task_purgable_info
00000001803cf300 (__TEXT,__text) external _task_read_for_pid
00000001803ec78c (__TEXT,__text) external _task_register_dyld_get_process_state
00000001803ec12c (__TEXT,__text) external _task_register_dyld_image_infos
00000001803ec664 (__TEXT,__text) external _task_register_dyld_set_dyld_state
00000001803ec538 (__TEXT,__text) external _task_register_dyld_shared_cache_image_info
00000001803c0020 (__TEXT,__text) external _task_restartable_ranges_register
00000001803c2c20 (__TEXT,__text) external _task_restartable_ranges_synchronize
00000001803e9594 (__TEXT,__text) external _task_resume
00000001803eb788 (__TEXT,__text) external _task_resume2
00000001803ea1e0 (__TEXT,__text) external _task_sample
00000001803d2550 (__TEXT,__text) external _task_self_
00000001803bfe34 (__TEXT,__text) external _task_self_trap
00000001803ed908 (__TEXT,__text) external _task_set_corpse_forking_behavior
00000001803ea480 (__TEXT,__text) external _task_set_emulation
00000001803ea72c (__TEXT,__text) external _task_set_emulation_vector
00000001803ecd88 (__TEXT,__text) external _task_set_exc_guard_behavior
00000001803ca2f8 (__TEXT,__text) external _task_set_exception_ports
00000001803ca794 (__TEXT,__text) external _task_set_info
00000001803ebbb4 (__TEXT,__text) external _task_set_mach_voucher
00000001803eb4d0 (__TEXT,__text) external _task_set_phys_footprint_limit
00000001803eaf10 (__TEXT,__text) external _task_set_policy
00000001803dc4cc (__TEXT,__text) external _task_set_port_space
00000001803ea864 (__TEXT,__text) external _task_set_ras_pc
00000001803c10d4 (__TEXT,__text) external _task_set_special_port
00000001803eb320 (__TEXT,__text) external _task_set_state
00000001803e9480 (__TEXT,__text) external _task_suspend
00000001803eb628 (__TEXT,__text) external _task_suspend2
00000001803e9a0c (__TEXT,__text) external _task_swap_exception_ports
00000001803ebcd8 (__TEXT,__text) external _task_swap_mach_voucher
00000001803e936c (__TEXT,__text) external _task_terminate
00000001803eda28 (__TEXT,__text) external _task_test_async_upcall_propagation
00000001803ed7e4 (__TEXT,__text) external _task_test_sync_upcall
00000001803c8fa4 (__TEXT,__text) external _task_threads
00000001803ec268 (__TEXT,__text) external _task_unregister_dyld_image_infos
00000001803ea980 (__TEXT,__text) external _task_zone_info
00000001803d5c58 (__TEXT,__text) external _terminate_with_payload
00000001803ca754 (__TEXT,__text) external _terminate_with_reason
00000001803ee5b8 (__TEXT,__text) external _thread_abort
00000001803ee6cc (__TEXT,__text) external _thread_abort_safely
00000001803ef114 (__TEXT,__text) external _thread_assign
00000001803ef238 (__TEXT,__text) external _thread_assign_default
00000001803efa74 (__TEXT,__text) external _thread_convert_thread_state
00000001803e96a8 (__TEXT,__text) external _thread_create
00000001803e9808 (__TEXT,__text) external _thread_create_running
00000001803ee7e0 (__TEXT,__text) external _thread_depress_abort
00000001803c30f4 (__TEXT,__text) external _thread_destruct_special_reply_port
00000001803ef34c (__TEXT,__text) external _thread_get_assignment
00000001803c9940 (__TEXT,__text) external _thread_get_exception_ports
00000001803efcd4 (__TEXT,__text) external _thread_get_exception_ports_info
00000001803ef65c (__TEXT,__text) external _thread_get_mach_voucher
00000001803d4414 (__TEXT,__text) external _thread_get_register_pointer_values
00000001803ee8f4 (__TEXT,__text) external _thread_get_special_port
00000001803bff30 (__TEXT,__text) external _thread_get_special_reply_port
00000001803c9128 (__TEXT,__text) external _thread_get_state
00000001803c7638 (__TEXT,__text) external _thread_info
00000001803c50dc (__TEXT,__text) external _thread_policy
00000001803c93cc (__TEXT,__text) external _thread_policy_get
00000001803c6268 (__TEXT,__text) external _thread_policy_set
00000001803ee4a4 (__TEXT,__text) external _thread_resume
00000001803eeed0 (__TEXT,__text) external _thread_sample
00000001803bfe28 (__TEXT,__text) external _thread_self_trap
00000001803cf32c (__TEXT,__text) external _thread_selfcounts
00000001803c656c (__TEXT,__text) external _thread_set_exception_ports
00000001803ef7cc (__TEXT,__text) external _thread_set_mach_voucher
00000001803d4384 (__TEXT,__text) external _thread_set_policy
00000001803eea64 (__TEXT,__text) external _thread_set_special_port
00000001803ee1e0 (__TEXT,__text) external _thread_set_state
00000001803ee390 (__TEXT,__text) external _thread_suspend
00000001803eeb98 (__TEXT,__text) external _thread_swap_exception_ports
00000001803ef8f0 (__TEXT,__text) external _thread_swap_mach_voucher
00000001803c5624 (__TEXT,__text) external _thread_switch
00000001803edcd0 (__TEXT,__text) external _thread_terminate
00000001803de5ac (__TEXT,__text) external _thread_wire
00000001803f2998 (__TEXT,__const) non-external _times_now
00000001803cf358 (__TEXT,__text) external _tracker_action
00000001803cf384 (__TEXT,__text) external _truncate
00000001803c55cc (__TEXT,__text) external _umask
00000001803cf3b0 (__TEXT,__text) external _undelete
00000001803cf3dc (__TEXT,__text) external _ungraftdmg
00000001803c3e7c (__TEXT,__text) external _unlink
00000001803c9c20 (__TEXT,__text) external _unlinkat
00000001803cc5c8 (__TEXT,__text) external _unmount
00000001803cf408 (__TEXT,__text) external _usrctl
00000001803d42c4 (__TEXT,__text) external _utimensat
00000001803c55f8 (__TEXT,__text) external _utimes
00000001803cf434 (__TEXT,__text) external _vfs_purge
00000001803c21a4 (__TEXT,__text) external _vm_allocate
00000001803de6e0 (__TEXT,__text) external _vm_allocate_cpm
00000001803f0614 (__TEXT,__text) external _vm_behavior_set
00000001803c2fa8 (__TEXT,__text) external _vm_copy
00000001803c2294 (__TEXT,__text) external _vm_deallocate
00000001803effb4 (__TEXT,__text) external _vm_inherit
00000001db3e03b0 (__DATA_DIRTY,__common) external _vm_kernel_page_mask
00000001db3e03b8 (__DATA_DIRTY,__common) external _vm_kernel_page_shift
00000001db3e03a8 (__DATA_DIRTY,__common) external _vm_kernel_page_size
00000001803f0738 (__TEXT,__text) external _vm_machine_attribute
00000001803cc22c (__TEXT,__text) external _vm_map
00000001803f0894 (__TEXT,__text) external _vm_map_page_query
00000001803f04f0 (__TEXT,__text) external _vm_msync
00000001db3e03c0 (__DATA_DIRTY,__common) external _vm_page_mask
00000001db3e03c8 (__DATA_DIRTY,__common) external _vm_page_shift
00000001db3e03d8 (__DATA_DIRTY,__common) external _vm_page_size
00000001803cf460 (__TEXT,__text) external _vm_pressure_monitor
00000001803c48c8 (__TEXT,__text) external _vm_protect
00000001803c37e8 (__TEXT,__text) external _vm_purgable_control
00000001803c9670 (__TEXT,__text) external _vm_read
00000001803f00d8 (__TEXT,__text) external _vm_read_list
00000001803f039c (__TEXT,__text) external _vm_read_overwrite
00000001803c8278 (__TEXT,__text) external _vm_region_64
00000001803c84a8 (__TEXT,__text) external _vm_region_recurse_64
00000001803c2454 (__TEXT,__text) external _vm_remap
00000001803dc8d8 (__TEXT,__text) external _vm_remap_new
00000001803de474 (__TEXT,__text) external _vm_wire
00000001803f0260 (__TEXT,__text) external _vm_write
00000001803c3548 (__TEXT,__text) external _voucher_mach_msg_adopt
00000001803c1044 (__TEXT,__text) external _voucher_mach_msg_clear
00000001803c3530 (__TEXT,__text) external _voucher_mach_msg_revert
00000001803c0bec (__TEXT,__text) external _voucher_mach_msg_set
00000001d8a91010 (__DATA,__common) external _vprintf_stderr_func
00000001803cc4ec (__TEXT,__text) external _wait4
00000001803cf48c (__TEXT,__text) external _waitid
00000001803cdf3c (__TEXT,__text) external _waitid$NOCANCEL
00000001803db5b0 (__TEXT,__text) external _work_interval_copy_port
00000001803c8c7c (__TEXT,__text) external _work_interval_create
00000001803db398 (__TEXT,__text) external _work_interval_destroy
00000001803db028 (__TEXT,__text) external _work_interval_get_flags_from_port
00000001803c8dbc (__TEXT,__text) external _work_interval_instance_alloc
00000001803db190 (__TEXT,__text) external _work_interval_instance_clear
00000001803db318 (__TEXT,__text) external _work_interval_instance_finish
00000001803db1a4 (__TEXT,__text) external _work_interval_instance_free
00000001803db258 (__TEXT,__text) external _work_interval_instance_get_complexity
00000001803db228 (__TEXT,__text) external _work_interval_instance_get_deadline
00000001803db240 (__TEXT,__text) external _work_interval_instance_get_finish
00000001803c8e18 (__TEXT,__text) external _work_interval_instance_get_id
00000001803db210 (__TEXT,__text) external _work_interval_instance_get_start
00000001803db208 (__TEXT,__text) external _work_interval_instance_set_complexity
00000001803db1f8 (__TEXT,__text) external _work_interval_instance_set_deadline
00000001803db200 (__TEXT,__text) external _work_interval_instance_set_finish
00000001803db1f0 (__TEXT,__text) external _work_interval_instance_set_start
00000001803db270 (__TEXT,__text) external _work_interval_instance_start
00000001803db2c0 (__TEXT,__text) external _work_interval_instance_update
00000001803db504 (__TEXT,__text) external _work_interval_join
00000001803db55c (__TEXT,__text) external _work_interval_join_port
00000001803db59c (__TEXT,__text) external _work_interval_leave
00000001803db0b4 (__TEXT,__text) external _work_interval_notify
00000001803db130 (__TEXT,__text) external _work_interval_notify_simple
00000001803c3a30 (__TEXT,__text) external _write
00000001803c3de0 (__TEXT,__text) external _write$NOCANCEL
00000001803c3d88 (__TEXT,__text) external _writev
00000001803cdf68 (__TEXT,__text) external _writev$NOCANCEL
