00007ffb43609d98 (__DATA,__data) non-external _.compoundliteral
00007ffb083f7dd7 (__TEXT,__text) non-external (was a private external) _glpVariableDeclarationGroupNodeGetDeclarationCount
00007ffb083f7e0d (__TEXT,__text) non-external (was a private external) _glpVariableDeclarationGroupNodeInsertDeclaration
00007ffb083f7dca (__TEXT,__text) non-external (was a private external) _glpVariableDeclarationGroupNodeSetBaseType
00007ffb083f7df0 (__TEXT,__text) non-external (was a private external) _glpVariableDeclarationGroupNodeSetDeclaration
00007ffb083f7d19 (__TEXT,__text) non-external (was a private external) _glpVariableDeclarationNodeGetExtra
00007ffb083f7d47 (__TEXT,__text) non-external (was a private external) _glpVariableDeclarationNodeGetInitializer
00007ffb083f7d0f (__TEXT,__text) non-external (was a private external) _glpVariableDeclarationNodeGetIsFromSource
00007ffb083f7cf3 (__TEXT,__text) non-external (was a private external) _glpVariableDeclarationNodeGetName
00007ffb083f7d2d (__TEXT,__text) non-external (was a private external) _glpVariableDeclarationNodeGetType
00007ffb083f7d23 (__TEXT,__text) non-external (was a private external) _glpVariableDeclarationNodeSetExtra
00007ffb083f7d55 (__TEXT,__text) non-external (was a private external) _glpVariableDeclarationNodeSetInitializer
00007ffb083f7d01 (__TEXT,__text) non-external (was a private external) _glpVariableDeclarationNodeSetName
00007ffb083f7d3a (__TEXT,__text) non-external (was a private external) _glpVariableDeclarationNodeSetType
00007ffb083f66ec (__TEXT,__text) non-external (was a private external) _glpVariableIdentifierNodeGetName
00007ffb083c3723 (__TEXT,__text) non-external (was a private external) _glpVariableObjectExtendImplicitArraySize
00007ffb083c35d9 (__TEXT,__text) non-external (was a private external) _glpVariableObjectGetABI
00007ffb083c366f (__TEXT,__text) non-external (was a private external) _glpVariableObjectValidateImplicitArraySize
00007ffb084184fd (__TEXT,__text) non-external _glpVecFromValue
00007ffb0844c7f6 (__TEXT,__text) external _glpVertexStateToPPStream
00007ffb0843be5c (__TEXT,__text) non-external _glpWriteAddressOperand
00007ffb0843b798 (__TEXT,__text) non-external _glpWriteBranchOperand
00007ffb0843b8c7 (__TEXT,__text) non-external _glpWriteClampSat
00007ffb0843b936 (__TEXT,__text) non-external _glpWriteDestinationOperand
00007ffb0843eec4 (__TEXT,__text) non-external _glpWriteOperandSize
00007ffb083f77d8 (__TEXT,__text) non-external (was a private external) _glpWriteOutputNodeGetExtra
00007ffb083f77e2 (__TEXT,__text) non-external (was a private external) _glpWriteOutputNodeSetExtra
00007ffb0843b200 (__TEXT,__text) non-external _glpWriteSizeType
00007ffb0843ee39 (__TEXT,__text) non-external _glpWriteSizeTypePrecision
00007ffb0843b279 (__TEXT,__text) non-external _glpWriteSourceOperand
00007ffb083e4fce (__TEXT,__text) non-external (was a private external) _glp_serialized_integer32_control
00007ffb083e4f50 (__TEXT,__text) non-external (was a private external) _glp_serialized_integer64_control
00007ffb0831014b (__TEXT,__text) non-external (was a private external) _glp_strtod
00007ffb08392228 (__TEXT,__text) external _glsmAllocateTextureLevels
00007ffb083922ff (__TEXT,__text) external _glsmCleanTextureGeometry
00007ffb083931a7 (__TEXT,__text) external _glsmCreateBuffer
00007ffb08393003 (__TEXT,__text) external _glsmCreateSampler
00007ffb083921c0 (__TEXT,__text) external _glsmCreateTexture
00007ffb083931e8 (__TEXT,__text) external _glsmDestroyBuffer
00007ffb08393046 (__TEXT,__text) external _glsmDestroySampler
00007ffb083922d0 (__TEXT,__text) external _glsmDestroyTexture
00007ffb08392260 (__TEXT,__text) external _glsmFreeTextureLevelBuffers
00007ffb08392825 (__TEXT,__text) external _glsmLoadTextureLevelBuffer
00007ffb08392e0b (__TEXT,__text) external _glsmLoadTextureStructure
00007ffb0839261f (__TEXT,__text) non-external _glsmResetTextureLevel
00007ffb08393050 (__TEXT,__text) external _glsmUpdateTexImageDataInPPStream
00007ffb08310954 (__TEXT,__text) non-external (was a private external) _glvmCPGetAttributeCode
00007ffb08313b0c (__TEXT,__text) external _glvmCalculateSurfaceTextureBase
00007ffb0833e6d0 (__TEXT,__text) non-external (was a private external) _glvmChooseArgTypeConversion
00007ffb0833eac0 (__TEXT,__text) non-external (was a private external) _glvmChooseDestTypeConversion
00007ffb0838c970 (__TEXT,__text) external _glvmCopyAttributes
00007ffb08310974 (__TEXT,__text) non-external (was a private external) _glvmEPGetAttributeCode
00007ffb083109e8 (__TEXT,__text) non-external (was a private external) _glvmFPGetAttributeCode
00007ffb08310994 (__TEXT,__text) non-external (was a private external) _glvmGPGetAttributeCode
00007ffb08310a88 (__TEXT,__text) external _glvmGetConstants
00007ffb084697b0 (__TEXT,__text) non-external _glvmGetConstants.cold.1
00007ffb08360aa0 (__TEXT,__text) non-external (was a private external) _glvmGetDestOffsetCount
00007ffb083103cc (__TEXT,__text) non-external (was a private external) _glvmGetGlobalParameterOffset
00007ffb08361320 (__TEXT,__text) non-external (was a private external) _glvmGetOperationSpec
00007ffb083108e4 (__TEXT,__text) non-external (was a private external) _glvmGetResultCode
00007ffb083600c0 (__TEXT,__text) non-external (was a private external) _glvmGetSourceOffsetStride
00007ffb083802b0 (__TEXT,__text) external _glvmInterpretCPTransformPatch
00007ffb0837d130 (__TEXT,__text) non-external (was a private external) _glvmInterpretCPTransformPatchInner
00007ffb08384010 (__TEXT,__text) external _glvmInterpretEPTransformPatch
00007ffb083809f0 (__TEXT,__text) non-external (was a private external) _glvmInterpretEPTransformPatchInner
00007ffb08390560 (__TEXT,__text) external _glvmInterpretFPTransformFour
00007ffb0838cbf0 (__TEXT,__text) non-external (was a private external) _glvmInterpretFPTransformFourInner
00007ffb08388ff0 (__TEXT,__text) external _glvmInterpretGPTransformPrimitive
00007ffb083856a0 (__TEXT,__text) non-external (was a private external) _glvmInterpretGPTransformPrimitiveInner
00007ffb0837c860 (__TEXT,__text) external _glvmInterpretVPTransformFour
00007ffb08378f00 (__TEXT,__text) non-external (was a private external) _glvmInterpretVPTransformFourInner
00007ffb08344d00 (__TEXT,__text) non-external (was a private external) _glvmLoadDestTemp
00007ffb083409a0 (__TEXT,__text) non-external (was a private external) _glvmLoadSourceAddress
00007ffb08350550 (__TEXT,__text) non-external (was a private external) _glvmLoadSourceAttribCP
00007ffb08355b80 (__TEXT,__text) non-external (was a private external) _glvmLoadSourceAttribEP
00007ffb0835aa70 (__TEXT,__text) non-external (was a private external) _glvmLoadSourceAttribFP
00007ffb083596b0 (__TEXT,__text) non-external (was a private external) _glvmLoadSourceAttribGP
00007ffb0834c740 (__TEXT,__text) non-external (was a private external) _glvmLoadSourceAttribVP
00007ffb083415e0 (__TEXT,__text) non-external (was a private external) _glvmLoadSourceParam
00007ffb0833ed70 (__TEXT,__text) non-external (was a private external) _glvmLoadSourceTemp
00007ffb08418759 (__TEXT,__text) non-external _glvmOp
00007ffb08362ab0 (__TEXT,__text) non-external (was a private external) _glvmOperationABS
00007ffb08374250 (__TEXT,__text) non-external (was a private external) _glvmOperationACOSH
00007ffb08362c40 (__TEXT,__text) non-external (was a private external) _glvmOperationACS
00007ffb0836a520 (__TEXT,__text) non-external (was a private external) _glvmOperationADD
00007ffb08362dd0 (__TEXT,__text) non-external (was a private external) _glvmOperationALL
00007ffb083739d0 (__TEXT,__text) non-external (was a private external) _glvmOperationAND
00007ffb0836a670 (__TEXT,__text) non-external (was a private external) _glvmOperationANL
00007ffb08362f50 (__TEXT,__text) non-external (was a private external) _glvmOperationANY
00007ffb08362a40 (__TEXT,__text) non-external (was a private external) _glvmOperationARA
00007ffb08362a00 (__TEXT,__text) non-external (was a private external) _glvmOperationARL
00007ffb08362a30 (__TEXT,__text) non-external (was a private external) _glvmOperationARR
00007ffb08374110 (__TEXT,__text) non-external (was a private external) _glvmOperationASINH
00007ffb083630d0 (__TEXT,__text) non-external (was a private external) _glvmOperationASN
00007ffb08374390 (__TEXT,__text) non-external (was a private external) _glvmOperationATANH
00007ffb08363260 (__TEXT,__text) non-external (was a private external) _glvmOperationATN
00007ffb0836a6b0 (__TEXT,__text) non-external (was a private external) _glvmOperationATN2
00007ffb08372490 (__TEXT,__text) non-external (was a private external) _glvmOperationBDL
00007ffb08376850 (__TEXT,__text) non-external (was a private external) _glvmOperationBITCOUNT
00007ffb08376360 (__TEXT,__text) non-external (was a private external) _glvmOperationBITFIELD_REVERSE
00007ffb08363460 (__TEXT,__text) non-external (was a private external) _glvmOperationCEI
00007ffb0836ef50 (__TEXT,__text) non-external (was a private external) _glvmOperationCLM
00007ffb0836eed0 (__TEXT,__text) non-external (was a private external) _glvmOperationCMP
00007ffb08373d10 (__TEXT,__text) non-external (was a private external) _glvmOperationCOMP
00007ffb083636c0 (__TEXT,__text) non-external (was a private external) _glvmOperationCOS
00007ffb08373e90 (__TEXT,__text) non-external (was a private external) _glvmOperationCOSH
00007ffb083892e0 (__TEXT,__text) non-external (was a private external) _glvmOperationCopyAttributes
00007ffb0836a480 (__TEXT,__text) non-external (was a private external) _glvmOperationDDX
00007ffb0836a4b0 (__TEXT,__text) non-external (was a private external) _glvmOperationDDY
00007ffb08363910 (__TEXT,__text) non-external (was a private external) _glvmOperationDEG
00007ffb0836b800 (__TEXT,__text) non-external (was a private external) _glvmOperationDISTANCE
00007ffb0836aa40 (__TEXT,__text) non-external (was a private external) _glvmOperationDIV
00007ffb0836af40 (__TEXT,__text) non-external (was a private external) _glvmOperationDOT
00007ffb0836b2b0 (__TEXT,__text) non-external (was a private external) _glvmOperationDP3
00007ffb0836b470 (__TEXT,__text) non-external (was a private external) _glvmOperationDP4
00007ffb0836b690 (__TEXT,__text) non-external (was a private external) _glvmOperationDPH
00007ffb083711c0 (__TEXT,__text) non-external (was a private external) _glvmOperationDSL
00007ffb0836b760 (__TEXT,__text) non-external (was a private external) _glvmOperationDST
00007ffb0837cef0 (__TEXT,__text) non-external (was a private external) _glvmOperationDispatchCP
00007ffb083807b0 (__TEXT,__text) non-external (was a private external) _glvmOperationDispatchEP
00007ffb0838c990 (__TEXT,__text) non-external (was a private external) _glvmOperationDispatchFP
00007ffb08385450 (__TEXT,__text) non-external (was a private external) _glvmOperationDispatchGP
00007ffb08378c80 (__TEXT,__text) non-external (was a private external) _glvmOperationDispatchVP
00007ffb08384cd0 (__TEXT,__text) non-external (was a private external) _glvmOperationENDSTREAMPRIMITIVE
00007ffb083851b0 (__TEXT,__text) non-external (was a private external) _glvmOperationENDSTREAMPRIMITIVES
00007ffb08384f40 (__TEXT,__text) non-external (was a private external) _glvmOperationENDSTREAMPRIMITIVEWithMask
00007ffb08363950 (__TEXT,__text) non-external (was a private external) _glvmOperationEX2
00007ffb08363cf0 (__TEXT,__text) non-external (was a private external) _glvmOperationEXP
00007ffb08363fd0 (__TEXT,__text) non-external (was a private external) _glvmOperationEXPE
00007ffb08374ad0 (__TEXT,__text) non-external (was a private external) _glvmOperationEXTRACT_EXPONENT
00007ffb083747c0 (__TEXT,__text) non-external (was a private external) _glvmOperationEXTRACT_SIGNIFICAND
00007ffb0836f780 (__TEXT,__text) non-external (was a private external) _glvmOperationFFW
00007ffb08376b60 (__TEXT,__text) non-external (was a private external) _glvmOperationFIND_LSB
00007ffb08377060 (__TEXT,__text) non-external (was a private external) _glvmOperationFIND_MSB
00007ffb08364380 (__TEXT,__text) non-external (was a private external) _glvmOperationFLR
00007ffb083645e0 (__TEXT,__text) non-external (was a private external) _glvmOperationFRC
00007ffb08374790 (__TEXT,__text) non-external (was a private external) _glvmOperationFROM_BITS
00007ffb08337980 (__TEXT,__text) non-external (was a private external) _glvmOperationFUNCSTART
00007ffb0836a4e0 (__TEXT,__text) non-external (was a private external) _glvmOperationFWD
00007ffb083776e0 (__TEXT,__text) non-external (was a private external) _glvmOperationINTERPOLATE_AT_CENTROID
00007ffb08377730 (__TEXT,__text) non-external (was a private external) _glvmOperationINTERPOLATE_AT_OFFSET
00007ffb08377920 (__TEXT,__text) non-external (was a private external) _glvmOperationINTERPOLATE_AT_SAMPLE
00007ffb08369120 (__TEXT,__text) non-external (was a private external) _glvmOperationINVERSESQRT
00007ffb083744d0 (__TEXT,__text) non-external (was a private external) _glvmOperationISINF
00007ffb083745e0 (__TEXT,__text) non-external (was a private external) _glvmOperationISNAN
00007ffb083379a0 (__TEXT,__text) non-external (was a private external) _glvmOperationInitMasksForNested
00007ffb083379e0 (__TEXT,__text) non-external (was a private external) _glvmOperationInitSub
00007ffb0838c2a0 (__TEXT,__text) non-external (was a private external) _glvmOperationKIL
00007ffb08374d40 (__TEXT,__text) non-external (was a private external) _glvmOperationLDEXP
00007ffb08364940 (__TEXT,__text) non-external (was a private external) _glvmOperationLEN
00007ffb08364ce0 (__TEXT,__text) non-external (was a private external) _glvmOperationLG2
00007ffb08364fd0 (__TEXT,__text) non-external (was a private external) _glvmOperationLIT
00007ffb08372580 (__TEXT,__text) non-external (was a private external) _glvmOperationLOAD
00007ffb083654f0 (__TEXT,__text) non-external (was a private external) _glvmOperationLOG
00007ffb08365710 (__TEXT,__text) non-external (was a private external) _glvmOperationLOGE
00007ffb0836fc40 (__TEXT,__text) non-external (was a private external) _glvmOperationLRP
00007ffb0836ff60 (__TEXT,__text) non-external (was a private external) _glvmOperationMAD
00007ffb0836bbe0 (__TEXT,__text) non-external (was a private external) _glvmOperationMAX
00007ffb0836bfe0 (__TEXT,__text) non-external (was a private external) _glvmOperationMIN
00007ffb0836c3e0 (__TEXT,__text) non-external (was a private external) _glvmOperationMLC
00007ffb0836c3f0 (__TEXT,__text) non-external (was a private external) _glvmOperationMOD
00007ffb08365a10 (__TEXT,__text) non-external (was a private external) _glvmOperationMOV
00007ffb0836cbc0 (__TEXT,__text) non-external (was a private external) _glvmOperationMUL
00007ffb083760d0 (__TEXT,__text) non-external (was a private external) _glvmOperationMUL_HB
00007ffb08365a90 (__TEXT,__text) non-external (was a private external) _glvmOperationNOT
00007ffb08365ad0 (__TEXT,__text) non-external (was a private external) _glvmOperationNRM
00007ffb08365f20 (__TEXT,__text) non-external (was a private external) _glvmOperationNSE
00007ffb08373a10 (__TEXT,__text) non-external (was a private external) _glvmOperationOR
00007ffb0836cd10 (__TEXT,__text) non-external (was a private external) _glvmOperationORL
00007ffb08375220 (__TEXT,__text) non-external (was a private external) _glvmOperationPK2H
00007ffb08375060 (__TEXT,__text) non-external (was a private external) _glvmOperationPK2US
00007ffb08376070 (__TEXT,__text) non-external (was a private external) _glvmOperationPK2W
00007ffb08375a90 (__TEXT,__text) non-external (was a private external) _glvmOperationPK4B
00007ffb08375d90 (__TEXT,__text) non-external (was a private external) _glvmOperationPK4UB
00007ffb0836cd50 (__TEXT,__text) non-external (was a private external) _glvmOperationPOW
00007ffb08368a30 (__TEXT,__text) non-external (was a private external) _glvmOperationRAD
00007ffb08368a70 (__TEXT,__text) non-external (was a private external) _glvmOperationRCC
00007ffb08368a80 (__TEXT,__text) non-external (was a private external) _glvmOperationRCP
00007ffb08337990 (__TEXT,__text) non-external (was a private external) _glvmOperationRET
00007ffb0836d2e0 (__TEXT,__text) non-external (was a private external) _glvmOperationRFL
00007ffb08370070 (__TEXT,__text) non-external (was a private external) _glvmOperationRFR
00007ffb08372a90 (__TEXT,__text) non-external (was a private external) _glvmOperationROUND
00007ffb08372d10 (__TEXT,__text) non-external (was a private external) _glvmOperationROUNDEVEN
00007ffb08368d80 (__TEXT,__text) non-external (was a private external) _glvmOperationRSQ
00007ffb083629a0 (__TEXT,__text) non-external (was a private external) _glvmOperationSAT
00007ffb0836a230 (__TEXT,__text) non-external (was a private external) _glvmOperationSCS
00007ffb0836d730 (__TEXT,__text) non-external (was a private external) _glvmOperationSEL
00007ffb0836d820 (__TEXT,__text) non-external (was a private external) _glvmOperationSEQ
00007ffb0836dc30 (__TEXT,__text) non-external (was a private external) _glvmOperationSFL
00007ffb0836dc50 (__TEXT,__text) non-external (was a private external) _glvmOperationSGE
00007ffb0836def0 (__TEXT,__text) non-external (was a private external) _glvmOperationSGT
00007ffb08373a90 (__TEXT,__text) non-external (was a private external) _glvmOperationSHL
00007ffb08373b60 (__TEXT,__text) non-external (was a private external) _glvmOperationSHR
00007ffb08369580 (__TEXT,__text) non-external (was a private external) _glvmOperationSIN
00007ffb08373d50 (__TEXT,__text) non-external (was a private external) _glvmOperationSINH
00007ffb0836e180 (__TEXT,__text) non-external (was a private external) _glvmOperationSLE
00007ffb0836e420 (__TEXT,__text) non-external (was a private external) _glvmOperationSLT
00007ffb08370e20 (__TEXT,__text) non-external (was a private external) _glvmOperationSMS
00007ffb0836e6b0 (__TEXT,__text) non-external (was a private external) _glvmOperationSNE
00007ffb083697c0 (__TEXT,__text) non-external (was a private external) _glvmOperationSQT
00007ffb08369990 (__TEXT,__text) non-external (was a private external) _glvmOperationSSG
00007ffb083805b0 (__TEXT,__text) non-external (was a private external) _glvmOperationSTOREWithMaskEP
00007ffb08384310 (__TEXT,__text) non-external (was a private external) _glvmOperationSTOREWithMaskGP
00007ffb08377ac0 (__TEXT,__text) non-external (was a private external) _glvmOperationSTOREWithMaskVP
00007ffb0836eab0 (__TEXT,__text) non-external (was a private external) _glvmOperationSTR
00007ffb0836ead0 (__TEXT,__text) non-external (was a private external) _glvmOperationSUB
00007ffb08371250 (__TEXT,__text) non-external (was a private external) _glvmOperationSWZ
00007ffb083896a0 (__TEXT,__text) non-external (was a private external) _glvmOperationStackPreload
00007ffb08369ec0 (__TEXT,__text) non-external (was a private external) _glvmOperationTAN
00007ffb08373fd0 (__TEXT,__text) non-external (was a private external) _glvmOperationTANH
00007ffb08337870 (__TEXT,__text) non-external (was a private external) _glvmOperationTARGBRA
00007ffb08337680 (__TEXT,__text) non-external (was a private external) _glvmOperationTARGBRK
00007ffb08337770 (__TEXT,__text) non-external (was a private external) _glvmOperationTARGCONT
00007ffb08374760 (__TEXT,__text) non-external (was a private external) _glvmOperationTO_BITS
00007ffb08373750 (__TEXT,__text) non-external (was a private external) _glvmOperationTRUNCATE
00007ffb083756b0 (__TEXT,__text) non-external (was a private external) _glvmOperationUP2H
00007ffb08375170 (__TEXT,__text) non-external (was a private external) _glvmOperationUP2US
00007ffb083760a0 (__TEXT,__text) non-external (was a private external) _glvmOperationUP2W
00007ffb08375c40 (__TEXT,__text) non-external (was a private external) _glvmOperationUP4B
00007ffb08375f40 (__TEXT,__text) non-external (was a private external) _glvmOperationUP4UB
00007ffb08373a50 (__TEXT,__text) non-external (was a private external) _glvmOperationXOR
00007ffb0836ec20 (__TEXT,__text) non-external (was a private external) _glvmOperationXPD
00007ffb0836ee90 (__TEXT,__text) non-external (was a private external) _glvmOperationXRL
00007ffb08362a50 (__TEXT,__text) non-external (was a private external) _glvmOperationZERO
00007ffb08361f20 (__TEXT,__text) non-external (was a private external) _glvmOperationsNoise3D
00007ffb083622b0 (__TEXT,__text) non-external (was a private external) _glvmOperationsNoise4D
00007ffb08337790 (__TEXT,__text) non-external (was a private external) _glvmPredicateBRA
00007ffb083375b0 (__TEXT,__text) non-external (was a private external) _glvmPredicateBRK
00007ffb08337900 (__TEXT,__text) non-external (was a private external) _glvmPredicateCASE
00007ffb083376a0 (__TEXT,__text) non-external (was a private external) _glvmPredicateCONT
00007ffb08337950 (__TEXT,__text) non-external (was a private external) _glvmPredicateDEFAULT
00007ffb08337510 (__TEXT,__text) non-external (was a private external) _glvmPredicateELSE
00007ffb08337530 (__TEXT,__text) non-external (was a private external) _glvmPredicateENDIF
00007ffb083378b0 (__TEXT,__text) non-external (was a private external) _glvmPredicateENDSWITCH
00007ffb08337590 (__TEXT,__text) non-external (was a private external) _glvmPredicateENDWHILE
00007ffb083374d0 (__TEXT,__text) non-external (was a private external) _glvmPredicateIF
00007ffb08337890 (__TEXT,__text) non-external (was a private external) _glvmPredicateSWITCH
00007ffb08337580 (__TEXT,__text) non-external (was a private external) _glvmPredicateWHILE
00007ffb0838c310 (__TEXT,__text) external _glvmPreloadFPTransformFour
00007ffb08389890 (__TEXT,__text) non-external (was a private external) _glvmPreloadSourceAttribs
00007ffb08338030 (__TEXT,__text) non-external (was a private external) _glvmRasterOpAlphaTest
00007ffb0833abe0 (__TEXT,__text) non-external (was a private external) _glvmRasterOpBlend
00007ffb083379f0 (__TEXT,__text) non-external (was a private external) _glvmRasterOpDepthBoundsTest
00007ffb083380f0 (__TEXT,__text) non-external (was a private external) _glvmRasterOpDepthStencilTest
00007ffb0833a630 (__TEXT,__text) non-external (was a private external) _glvmRasterOpFragmentCount
00007ffb0833c4d0 (__TEXT,__text) non-external (was a private external) _glvmRasterOpLogicOp
00007ffb0833c600 (__TEXT,__text) non-external (was a private external) _glvmRasterOpMask
00007ffb08337be0 (__TEXT,__text) non-external (was a private external) _glvmRasterOpMultisampleAlphaCoverage
00007ffb08337ce0 (__TEXT,__text) non-external (was a private external) _glvmRasterOpMultisampleAlphaOne
00007ffb08337d50 (__TEXT,__text) non-external (was a private external) _glvmRasterOpMultisampleCoverageMask
00007ffb08337f20 (__TEXT,__text) non-external (was a private external) _glvmRasterOpMultisampleSampleMask
00007ffb0833a6b0 (__TEXT,__text) non-external (was a private external) _glvmRasterOpPack
00007ffb0833c7a0 (__TEXT,__text) non-external (was a private external) _glvmRasterOpRead
00007ffb0833cb00 (__TEXT,__text) non-external (was a private external) _glvmRasterOpWrite
00007ffb0833cf80 (__TEXT,__text) non-external (was a private external) _glvmRasterOpWriteFallback
00007ffb08336850 (__TEXT,__text) non-external (was a private external) _glvmSamplerFetch
00007ffb08336720 (__TEXT,__text) non-external (was a private external) _glvmSamplerInvalid
00007ffb08314b70 (__TEXT,__text) non-external (was a private external) _glvmSamplerLoadTexels
00007ffb0831b1a0 (__TEXT,__text) non-external (was a private external) _glvmSamplerQueryLOD
00007ffb0831c720 (__TEXT,__text) non-external (was a private external) _glvmSamplerSample
00007ffb08336760 (__TEXT,__text) non-external (was a private external) _glvmSamplerSize
00007ffb0837c730 (__TEXT,__text) non-external _glvmSetSourceIndirectLimits
00007ffb08380180 (__TEXT,__text) non-external _glvmSetSourceIndirectLimits
00007ffb08383ee0 (__TEXT,__text) non-external _glvmSetSourceIndirectLimits
00007ffb08388ec0 (__TEXT,__text) non-external _glvmSetSourceIndirectLimits
00007ffb08390430 (__TEXT,__text) non-external _glvmSetSourceIndirectLimits
00007ffb0831300c (__TEXT,__text) external _glvmSetTextureFormat
00007ffb0833e400 (__TEXT,__text) non-external (was a private external) _glvmSourceNegateCF
00007ffb08348150 (__TEXT,__text) non-external (was a private external) _glvmStoreDestAddress
00007ffb0834bbc0 (__TEXT,__text) non-external (was a private external) _glvmStoreDestAddressWithMask
00007ffb08352aa0 (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputCP
00007ffb083578e0 (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputEP
00007ffb0835cc50 (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputFP
00007ffb08359d80 (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputGP
00007ffb0834db60 (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputVP
00007ffb083543a0 (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputWithMaskCP
00007ffb083587d0 (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputWithMaskEP
00007ffb0835e110 (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputWithMaskFP
00007ffb0835a3f0 (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputWithMaskGP
00007ffb0834ed80 (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputWithMaskVP
00007ffb083463e0 (__TEXT,__text) non-external (was a private external) _glvmStoreDestTemp
00007ffb08348b40 (__TEXT,__text) non-external (was a private external) _glvmStoreDestTempWithMask
00007ffb08314a84 (__TEXT,__text) non-external _glvmTextureFilterEnumToPPStreamEnum
00007ffb08314ae8 (__TEXT,__text) non-external _glvmTextureWrapEnumToPPStreamEnum
00007ffb0833e4a0 (__TEXT,__text) non-external (was a private external) _glvmTypeConvertCF
00007ffb08313e08 (__TEXT,__text) external _glvmUpdateTextureStructure
00007ffb083839c0 (__TEXT,__text) non-external (was a private external) _glvmWindowTransformEP
00007ffb08388770 (__TEXT,__text) non-external (was a private external) _glvmWindowTransformGP
00007ffb0837be60 (__TEXT,__text) non-external (was a private external) _glvmWindowTransformVP
00007ffb42ee8a70 (__DATA_DIRTY,__bss) non-external _glvm_constants
00007ffb42ee8a60 (__DATA_DIRTY,__bss) non-external _glvm_constants_init
00007ffb083e677f (__TEXT,__text) non-external _handleResetPost
00007ffb083e671f (__TEXT,__text) non-external _handleResetPre
00007ffb083ec2c0 (__TEXT,__text) non-external _humanReadableDescriptionToBuffer
00007ffb083f49e9 (__TEXT,__text) non-external _include_str_getch
00007ffb083f4abe (__TEXT,__text) non-external _include_str_ungetch
00007ffb083ebaca (__TEXT,__text) non-external _initAggregateType
00007ffb08399884 (__TEXT,__text) non-external _initTypeWithGLPPrimitiveType
00007ffb0841a773 (__TEXT,__text) non-external _inliningNodeReplacement
00007ffb083d576e (__TEXT,__text) non-external _inputForOutput
00007ffb08448164 (__TEXT,__text) non-external _instructionIndexEqualsFunction
00007ffb0844815b (__TEXT,__text) non-external _instructionIndexHashFunction
00007ffb083cb155 (__TEXT,__text) non-external _isBuiltinName
00007ffb083cf616 (__TEXT,__text) non-external _isBuiltinName
00007ffb0843614a (__TEXT,__text) non-external _iterateQualifiers
00007ffb083f58f9 (__TEXT,__text) non-external _lAddByte
00007ffb083f5177 (__TEXT,__text) non-external _lFloatConst
00007ffb083f57cf (__TEXT,__text) non-external _lNewBlock
00007ffb083f5e7c (__TEXT,__text) non-external _lReadByte
00007ffb083f0de0 (__TEXT,__text) non-external (was a private external) _lazyCPPSetup
00007ffb08416b6f (__TEXT,__text) non-external _lazyPrepareVariableObject
                 (undefined) external _ldexp (from libSystem)
                 (undefined) external _ldexpf (from libSystem)
00007ffb083054bf (__TEXT,__text) non-external _llvmir_PPStreamAddAddressUsage
00007ffb08305533 (__TEXT,__text) non-external _llvmir_PPStreamAddAttribBinding
00007ffb08305638 (__TEXT,__text) non-external _llvmir_PPStreamAddConstant
00007ffb083056b4 (__TEXT,__text) non-external _llvmir_PPStreamAddLabel
00007ffb08305480 (__TEXT,__text) non-external _llvmir_PPStreamAddOperation
00007ffb08305626 (__TEXT,__text) non-external _llvmir_PPStreamAddOption
00007ffb0830559b (__TEXT,__text) non-external _llvmir_PPStreamAddOutputBinding
00007ffb083054c5 (__TEXT,__text) non-external _llvmir_PPStreamAddParamBinding
00007ffb0830552d (__TEXT,__text) non-external _llvmir_PPStreamAddParamBindingArray
00007ffb083054b9 (__TEXT,__text) non-external _llvmir_PPStreamAddTempUsage
00007ffb083056c5 (__TEXT,__text) non-external _llvmir_PPStreamResolveBranches
00007ffb08305477 (__TEXT,__text) non-external _llvmir_PPStreamSetTarget
                 (undefined) external _log2f (from libSystem)
                 (undefined) external _logf (from libSystem)
                 (undefined) external _longjmp (from libSystem)
                 (undefined) external _lroundf (from libSystem)
00007ffb083f2e0a (__TEXT,__text) non-external _macro_scan
00007ffb083cd3bf (__TEXT,__text) non-external _makeCopyFunction
00007ffb08416ecb (__TEXT,__text) non-external _makeIntConstantNode
00007ffb0839513f (__TEXT,__text) non-external _makePoolNode
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _malloc_type_realloc (from libSystem)
00007ffb083f3754 (__TEXT,__text) non-external (was a private external) _mem_AddCleanup
00007ffb083f369e (__TEXT,__text) non-external (was a private external) _mem_Alloc
00007ffb083f35a3 (__TEXT,__text) non-external (was a private external) _mem_CreatePool
00007ffb083f365e (__TEXT,__text) non-external (was a private external) _mem_FreePool
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
