00007ffb0fc58a24 (__TEXT,__text) non-external +[GKBrush brush]
00007ffb0fc4a0e1 (__TEXT,__text) non-external ___77+[NSImage(GKAdditions) _gkloadRemoteImageForURL:queue:withCompletionHandler:]_block_invoke
00007ffb0fc4a12b (__TEXT,__text) non-external ___77+[NSImage(GKAdditions) _gkloadRemoteImageForURL:queue:withCompletionHandler:]_block_invoke_2
00007ffb0fc55e87 (__TEXT,__text) non-external ___77-[GKNetworkImageSource loadImageForURLString:loader:reference:queue:handler:]_block_invoke
00007ffb0fc56793 (__TEXT,__text) non-external ___77-[GKNetworkImageSource loadImageForURLString:loader:reference:queue:handler:]_block_invoke.435
00007ffb0fc56841 (__TEXT,__text) non-external ___77-[GKNetworkImageSource loadImageForURLString:loader:reference:queue:handler:]_block_invoke.436
00007ffb0fc55f88 (__TEXT,__text) non-external ___77-[GKNetworkImageSource loadImageForURLString:loader:reference:queue:handler:]_block_invoke_2
00007ffb0fc890c6 (__TEXT,__text) non-external ___77-[GKNetworkImageSource loadImageForURLString:loader:reference:queue:handler:]_block_invoke_2.cold.1
00007ffb0fc56419 (__TEXT,__text) non-external ___77-[GKNetworkImageSource loadImageForURLString:loader:reference:queue:handler:]_block_invoke_3
00007ffb0fc564df (__TEXT,__text) non-external ___77-[GKNetworkImageSource loadImageForURLString:loader:reference:queue:handler:]_block_invoke_4
00007ffb0fc565bc (__TEXT,__text) non-external ___77-[GKNetworkImageSource loadImageForURLString:loader:reference:queue:handler:]_block_invoke_5
00007ffb0fc89184 (__TEXT,__text) non-external ___77-[GKNetworkImageSource loadImageForURLString:loader:reference:queue:handler:]_block_invoke_5.cold.1
00007ffb0fc7d3f9 (__TEXT,__text) non-external ___78-[GKServerWebViewController webView:didFailProvisionalLoadWithError:forFrame:]_block_invoke
00007ffb0fc506fe (__TEXT,__text) non-external ___79-[GKLocalPlayer(AuthenticationUIMacOS) authenticateLocalPlayer:window:handler:]_block_invoke
00007ffb0fc50735 (__TEXT,__text) non-external ___79-[GKLocalPlayer(AuthenticationUIMacOS) authenticateLocalPlayer:window:handler:]_block_invoke_2
00007ffb0fc5e1cf (__TEXT,__text) non-external ___79-[_GKAlert beginDialogModalForWindow:modalDelegate:didEndSelector:contextInfo:]_block_invoke
00007ffb0fc5e2e0 (__TEXT,__text) non-external ___79-[_GKAlert beginDialogModalForWindow:modalDelegate:didEndSelector:contextInfo:]_block_invoke_2
00007ffb0fc64d78 (__TEXT,__text) non-external ___80+[GKRemoteViewControllerProxy requestRemoteViewControllerWithConnectionHandler:]_block_invoke
00007ffb0fc64e40 (__TEXT,__text) non-external ___80+[GKRemoteViewControllerProxy requestRemoteViewControllerWithConnectionHandler:]_block_invoke_2
00007ffb0fc49714 (__TEXT,__text) non-external ___82-[NSString(GKTextStyle) _gkAttributedStringByApplyingStylesForTags:untaggedStyle:]_block_invoke
00007ffb0fc4972f (__TEXT,__text) non-external ___82-[NSString(GKTextStyle) _gkAttributedStringByApplyingStylesForTags:untaggedStyle:]_block_invoke.400
00007ffb0fc49767 (__TEXT,__text) non-external ___82-[NSString(GKTextStyle) _gkAttributedStringByApplyingStylesForTags:untaggedStyle:]_block_invoke.402
00007ffb0fc4d6e4 (__TEXT,__text) non-external ___83-[GKLocalPlayer(AuthenticationPrivate) startAuthenticationForExistingPrimaryPlayer]_block_invoke
00007ffb0fc423bf (__TEXT,__text) non-external ___84+[GKTextStyle attributedString:byReplayingFromBaseStyle:systemContentSizeDidChange:]_block_invoke
00007ffb0fc4ef35 (__TEXT,__text) non-external ___84-[GKLocalPlayer(AuthenticationPrivate) validateAccountWithWindow:completionHandler:]_block_invoke
00007ffb0fc4f4e6 (__TEXT,__text) non-external ___87-[GKLocalPlayer(AuthenticationPrivate) startLegacyAuthenticationWithCompletionHandler:]_block_invoke
00007ffb0fc4f598 (__TEXT,__text) non-external ___87-[GKLocalPlayer(AuthenticationPrivate) startLegacyAuthenticationWithCompletionHandler:]_block_invoke.455
00007ffb0fc784ae (__TEXT,__text) non-external ___88-[GKServerWebViewJSRoot reauthenticateWithDisplayTitle:displayString:username:callback:]_block_invoke
00007ffb0fc4c872 (__TEXT,__text) non-external ___89-[GKLocalPlayer(AuthenticationPrivate) authenticationShowSignInUIForLocalPlayer:dismiss:]_block_invoke
00007ffb0fc66b86 (__TEXT,__text) non-external ___Block_byref_object_copy_
00007ffb0fc66b9c (__TEXT,__text) non-external ___Block_byref_object_dispose_
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00007ffb0fc421e2 (__TEXT,__text) non-external ___GKIsAvatarEditingSupported_block_invoke
00007ffb0fc60378 (__TEXT,__text) non-external ___GKIsVoiceoverEnabled_block_invoke
                 (undefined) external ___NSArray0__struct (from CoreFoundation)
                 (undefined) external ___NSDictionary0__struct (from CoreFoundation)
00007ffb0fc5aff1 (__TEXT,__text) non-external ____annotateDrawInRectWithContextAndInput_block_invoke
                 (undefined) weak external ____chkstk_darwin (from libSystem)
00007ffb435be738 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e14_"NSImage"8?0l
00007ffb435be880 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e17_v16?0"NSError"8l
00007ffb435bdd30 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e17_v16?0"NSTimer"8l
00007ffb435be5a8 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e23_v16?0"UXAlertAction"8l
00007ffb435be6f8 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e24_v16?0"GKImageContext"8l
00007ffb435bd8d0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e34_v24?0"NSDictionary"8"NSError"16l
00007ffb435bde00 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e38_v24?0"NSViewController"8"NSError"16l
00007ffb435be078 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e39_q24?0"SortHueEntry"8"SortHueEntry"16l
00007ffb435bd890 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e44_v24?0"GKAuthenticateResponse"8"NSError"16l
00007ffb435bdff0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e5_v8?0l
00007ffb435bdc30 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e5_v8?0l
00007ffb435be138 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32bs_e17_v16?0"NSImage"8l
00007ffb435be578 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32bs_e23_v16?0"UXAlertAction"8l
00007ffb435bd9d0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32bs_e28_v24?0"NSData"8"NSError"16l
00007ffb435be8c0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32bs_e44_v24?0"NSRemoteViewController"8"NSError"16l
00007ffb435be3d8 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32bs_e5_v8?0l
00007ffb435bdf30 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32bs_e65_v40?0q8"GKLocalPlayer"16"NSError"24"GKAuthenticateResponse"32l
00007ffb435bec60 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32bs_e84_v56?0"NSString"8"NSString"16"NSString"24"NSData"32"NSDictionary"40"NSError"48l
00007ffb435bdd70 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32bs_e8_v16?0q8l
00007ffb435be458 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32r_e24_v32?0"NSScreen"8Q16*24l
00007ffb435bda00 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32r_e5_v8?0l
00007ffb435bea88 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e14_v16?0?<v?>8l
00007ffb435be7f8 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e14_v32?08Q16*24l
00007ffb435be9b0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e17_v16?0"NSError"8l
00007ffb435bdae8 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e21_v16?0"GKTextStyle"8l
00007ffb435be048 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e25_v20?0^{HSVColor=ddd}8I16l
00007ffb435be638 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e27_"GKNetworkImageSource"8?0l
00007ffb435bdc80 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e44_v24?0"GKAuthenticateResponse"8"NSError"16l
00007ffb435be930 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e46_v24?0"<GKRemoteViewController>"8"NSError"16l
00007ffb435be6c8 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e5_8?0l
00007ffb435bdcd0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e5_v8?0l
00007ffb435bed40 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e8_v16?0q8l
00007ffb435bdda0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32w_e5_v8?0l
00007ffb435bdfc0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32w_e8_v12?0c8l
00007ffb435bebf8 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_41_e8_32s_e44_v24?0"GKAuthenticateResponse"8"NSError"16l
00007ffb435be4e8 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e24_v16?0"GKImageContext"8l
00007ffb435beae8 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32bs40w_e5_v8?0l
00007ffb435bdb48 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32r_e8_c16?0q8l
00007ffb435bdbc8 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40bs_e16_v16?0"NSData"8l
00007ffb435bdea0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40bs_e17_v16?0"NSError"8l
00007ffb435bdf90 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40bs_e23_v16?0"GKLocalPlayer"8l
00007ffb435bec90 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40bs_e30_v24?0"NSString"8"NSError"16l
00007ffb435beab8 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40bs_e37_v16?0"NSObject<OS_dispatch_group>"8l
00007ffb435bde40 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40bs_e38_v24?0"NSViewController"8"NSError"16l
00007ffb435bde70 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40bs_e5_v8?0l
00007ffb435bd970 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40bs_e82_v56?0"NSString"8"NSString"16"NSString"24"NSString"32"NSString"40"NSError"48l
00007ffb435bed70 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40bs_e84_v56?0"NSString"8"NSString"16"NSString"24"NSData"32"NSDictionary"40"NSError"48l
00007ffb435bdf60 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40bs_e8_v16?0q8l
00007ffb435be980 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40r_e29_v32?0"UXAlertAction"8Q16*24l
00007ffb435be408 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40s_e14_v16?0?<v?>8l
00007ffb435bed10 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40s_e17_v16?0"NSError"8l
00007ffb435be850 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40s_e24_v16?0"NSNotification"8l
00007ffb435be168 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40s_e24_v16?0?<v?"NSImage">8l
00007ffb435bebb0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40s_e31_v24?0"GKPlayer"8"NSString"16l
00007ffb435bdd00 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40s_e34_v24?0"NSDictionary"8"NSError"16l
00007ffb435bdc50 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40s_e5_v8?0l
00007ffb435bddd0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40s_e65_v40?0q8"GKLocalPlayer"16"NSError"24"GKAuthenticateResponse"32l
00007ffb435becc0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40s_e84_v56?0"NSString"8"NSString"16"NSString"24"NSData"32"NSDictionary"40"NSError"48l
00007ffb435beb80 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40s_e8_v16?0q8l
00007ffb435be668 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s_e5_8?0l
00007ffb435bdab8 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_49_e8_32s40s_e40_v40?0"NSDictionary"8{_NSRange=QQ}16*32l
00007ffb435bdb18 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32r_e5_c8?0l
00007ffb435bd910 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40bs48bs_e34_v24?0"NSDictionary"8"NSError"16l
00007ffb435bd9a0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40bs_e44_v24?0"GKAuthenticateResponse"8"NSError"16l
00007ffb435bea10 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48bs_e37_v16?0"NSObject<OS_dispatch_group>"8l
00007ffb435bd860 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48bs_e5_v8?0l
00007ffb435be3a8 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48s_e14_v16?0?<v?>8l
00007ffb435be9e0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48s_e5_v8?0l
00007ffb435be698 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s_e5_8?0l
00007ffb435beda0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s_e5_v8?0l
00007ffb435bdb78 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_64_e8_32s40bs48r56r_e12_c20?0S8^12l
00007ffb435bdbf8 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_64_e8_32s40bs_e24_v16?0"GKImageContext"8l
00007ffb435be348 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_64_e8_32s40s48s56bs_e14_v16?0?<v?>8l
00007ffb435bd940 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_64_e8_32s40s48s56bs_e44_v24?0"GKAuthenticateResponse"8"NSError"16l
00007ffb435bded0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_64_e8_32s40s48s56bs_e65_v40?0q8"GKLocalPlayer"16"NSError"24"GKAuthenticateResponse"32l
00007ffb435bea58 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_64_e8_32s40s48s56w_e5_v8?0l
00007ffb435be5e8 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_64_e8_32s40s_e5_v8?0l
00007ffb435be258 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_65_e8_32s40s48s56s_e14_v16?0?<v?>8l
00007ffb435be318 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_72_e8_32s40s48s56bs64bs_e5_v8?0l
00007ffb435be2b8 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_72_e8_32s40s48s56s64bs_e14_v16?0?<v?>8l
00007ffb435be378 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_72_e8_32s40s48s56s64bs_e16_v16?0"NSData"8l
00007ffb435be288 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_72_e8_32s40s48s56s64bs_e17_v16?0"NSImage"8l
00007ffb435be2e8 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_72_e8_32s40s48s56s64bs_e5_v8?0l
00007ffb435be198 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_73_e8_32s40s48s56s64bs_e16_v16?0"NSData"8l
00007ffb435be228 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_73_e8_32s40s48s56s64bs_e5_v8?0l
00007ffb435be1c8 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_81_e8_32s40s48s56s64s72s_e14_v16?0?<v?>8l
00007ffb435be1f8 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_81_e8_32s40s48s56s64s72s_e5_v8?0l
00007ffb435bdf00 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_88_e8_32s40s48s56s64s72bs_e5_v8?0l
00007ffb435bec30 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_88_e8_32s40s48s56s64s72s80bs_e5_v8?0l
00007ffb435be508 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_96_e8_32s40r48r_e25_v40?0{CGSize=dd}8^I24Q32l
00007ffb435bd8b0 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffb435bda78 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffb435bda98 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffb435bdba8 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffb435bdcb0 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffb435be098 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffb435be0b8 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffb435be438 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffb435be488 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffb435be5c8 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffb435be618 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffb435be718 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffb435be8a0 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffb435be960 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffb435becf0 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffb435be4a8 (__DATA_CONST,__const) non-external ___block_literal_global.109
00007ffb435bdd50 (__DATA_CONST,__const) non-external ___block_literal_global.150
00007ffb435bd8f0 (__DATA_CONST,__const) non-external ___block_literal_global.153
00007ffb435be0d8 (__DATA_CONST,__const) non-external ___block_literal_global.170
00007ffb435be0f8 (__DATA_CONST,__const) non-external ___block_literal_global.207
00007ffb435be4c8 (__DATA_CONST,__const) non-external ___block_literal_global.218
00007ffb435be758 (__DATA_CONST,__const) non-external ___block_literal_global.230
00007ffb435be778 (__DATA_CONST,__const) non-external ___block_literal_global.231
00007ffb435be798 (__DATA_CONST,__const) non-external ___block_literal_global.236
00007ffb435be7b8 (__DATA_CONST,__const) non-external ___block_literal_global.237
00007ffb435be7d8 (__DATA_CONST,__const) non-external ___block_literal_global.242
00007ffb435be538 (__DATA_CONST,__const) non-external ___block_literal_global.264
00007ffb435be118 (__DATA_CONST,__const) non-external ___block_literal_global.280
00007ffb435be558 (__DATA_CONST,__const) non-external ___block_literal_global.296
00007ffb435bde20 (__DATA_CONST,__const) non-external ___block_literal_global.425
00007ffb435be8f0 (__DATA_CONST,__const) non-external ___block_literal_global.426
00007ffb435be910 (__DATA_CONST,__const) non-external ___block_literal_global.451
00007ffb435be010 (__DATA_CONST,__const) non-external ___block_literal_global.579
                 (undefined) external ___bzero (from libSystem)
00007ffb0fc86d80 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffb0fc86da0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
00007ffb0fc41ec7 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32b
00007ffb0fc75881 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32b40w
00007ffb0fc4217e (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32r
00007ffb0fc4be3c (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s
00007ffb0fc4f568 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40b
00007ffb0fc3ec18 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40b48b
00007ffb0fc498f7 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40b48r56r
00007ffb0fc66d26 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40r
00007ffb0fc5ac12 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40r48r
00007ffb0fc4be16 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s
00007ffb0fc3de9c (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48b
00007ffb0fc57318 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48s
00007ffb0fc3fe4d (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48s56b
00007ffb0fc567e4 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48s56b64b
00007ffb0fc55bc7 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48s56s
00007ffb0fc55aa9 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48s56s64b
00007ffb0fc504a5 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48s56s64s72b
00007ffb0fc55b35 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48s56s64s72s
00007ffb0fc7b7e0 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48s56s64s72s80b
00007ffb0fc73130 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48s56w
00007ffb0fc4d20d (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32w
00007ffb0fc513c2 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32r
00007ffb0fc5e48a (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s
00007ffb0fc66d56 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40r
00007ffb0fc5ac54 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40r48r
00007ffb0fc3fe98 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s
00007ffb0fc4994b (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s48r56r
00007ffb0fc3dee0 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s48s
00007ffb0fc50452 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s48s56s
00007ffb0fc55afb (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s48s56s64s
00007ffb0fc504fe (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s48s56s64s72s
00007ffb0fc7b840 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s48s56s64s72s80s
00007ffb0fc73179 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s48s56w
00007ffb0fc758b7 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40w
00007ffb0fc4d21f (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32w
                 (undefined) external ___error (from libSystem)
00007ffb0fc420ad (__TEXT,__text) non-external ___getAKAppleIDAuthenticationInAppContextClass_block_invoke
00007ffb0fc512ee (__TEXT,__text) non-external ___getAKAppleIDAuthenticationInAppContextClass_block_invoke
00007ffb0fc87b7f (__TEXT,__text) non-external ___getAKAppleIDAuthenticationInAppContextClass_block_invoke.cold.1
00007ffb0fc8862e (__TEXT,__text) non-external ___getAKAppleIDAuthenticationInAppContextClass_block_invoke.cold.1
00007ffb0fc87c17 (__TEXT,__text) non-external ___getAKAppleIDAuthenticationInAppContextClass_block_invoke.cold.2
00007ffb0fc886c6 (__TEXT,__text) non-external ___getAKAppleIDAuthenticationInAppContextClass_block_invoke.cold.2
00007ffb0fc6bc85 (__TEXT,__text) non-external ___getOBBundleClass_block_invoke
00007ffb0fc89d8e (__TEXT,__text) non-external ___getOBBundleClass_block_invoke.cold.1
00007ffb0fc6bd7d (__TEXT,__text) non-external ___getOBPrivacyFlowClass_block_invoke
00007ffb0fc89eba (__TEXT,__text) non-external ___getOBPrivacyFlowClass_block_invoke.cold.1
00007ffb0fc767cc (__TEXT,__text) non-external ___getWebScriptObjectClass_block_invoke
00007ffb0fc786d3 (__TEXT,__text) non-external ___getWebScriptObjectClass_block_invoke
00007ffb0fc80d75 (__TEXT,__text) non-external ___getWebScriptObjectClass_block_invoke
00007ffb0fc8a1c4 (__TEXT,__text) non-external ___getWebScriptObjectClass_block_invoke.cold.1
00007ffb0fc8a2f0 (__TEXT,__text) non-external ___getWebScriptObjectClass_block_invoke.cold.1
00007ffb0fc8a603 (__TEXT,__text) non-external ___getWebScriptObjectClass_block_invoke.cold.1
00007ffb0fc8a25c (__TEXT,__text) non-external ___getWebScriptObjectClass_block_invoke.cold.2
00007ffb0fc8a388 (__TEXT,__text) non-external ___getWebScriptObjectClass_block_invoke.cold.2
00007ffb0fc80c94 (__TEXT,__text) non-external ___getWebViewClass_block_invoke
00007ffb0fc8a4d7 (__TEXT,__text) non-external ___getWebViewClass_block_invoke.cold.1
                 (undefined) external ___kCFBooleanTrue (from CoreFoundation)
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ffb0fc86d4a (__TEXT,__text) non-external (was a private external) ___swift_allocate_value_buffer
00007ffb0fc86e25 (__TEXT,__text) non-external (was a private external) ___swift_instantiateConcreteTypeFromMangledName
00007ffb0fc8735f (__TEXT,__text) non-external (was a private external) ___swift_memcpy0_1
00007ffb0fc87368 (__TEXT,__text) non-external (was a private external) ___swift_noop_void_return
00007ffb0fc86d14 (__TEXT,__text) non-external (was a private external) ___swift_project_value_buffer
00007ffb0fc8f518 (__TEXT,__const) non-external (was a private external) ___swift_reflection_version
00007ffb0fc59813 (__TEXT,__text) non-external __annotateDrawInRectWithContextAndInput
00007ffb41db5588 (__DATA,__bss) non-external __annotateDrawInRectWithContextAndInput.onceToken
00007ffb41db5580 (__DATA,__bss) non-external __annotateDrawInRectWithContextAndInput.output
                 (undefined) external __dispatch_main_q (from libSystem)
                 (undefined) external __gkMarkFileAsPurgeable (from GameCenterFoundation)
                 (undefined) external __gkTabStringForTabLevel (from GameCenterFoundation)
                 (undefined) external __gkUnicodifyDescription (from GameCenterFoundation)
00007ffb41db5480 (__DATA,__bss) non-external __gkloadRemoteImageForURL:queue:withCompletionHandler:.onceToken
00007ffb41db5478 (__DATA,__bss) non-external __gkloadRemoteImageForURL:queue:withCompletionHandler:.shouldAnnotateImageUsage
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external __os_feature_enabled_impl (from libSystem)
                 (undefined) external __os_log_debug_impl (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
                 (undefined) external __os_log_impl (from libSystem)
                 (undefined) external __sl_dlopen (from SoftLinking)
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftAVFoundation (from libswiftAVFoundation)
00007ffb435bee50 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftAVFoundation_$_GameCenterUICore
