00000001d6536248 (__DATA,__data) non-external _C
0000000180229aac (__TEXT,__text) external _ispunct
000000018022a508 (__TEXT,__text) external _ispunct_l
0000000180229e54 (__TEXT,__text) external _isrune
000000018022a57c (__TEXT,__text) external _isrune_l
                 (undefined) external _issetugid (from libsystem_kernel)
0000000180229b1c (__TEXT,__text) external _isspace
000000018022a600 (__TEXT,__text) external _isspace_l
0000000180229ec8 (__TEXT,__text) external _isspecial
000000018022a674 (__TEXT,__text) external _isspecial_l
00000001802136e8 (__TEXT,__text) non-external _istrsenvisx
0000000180265cd0 (__TEXT,__text) non-external _istrsenvisx.cold.1
0000000180265cfc (__TEXT,__text) non-external _istrsenvisx.cold.2
0000000180265d28 (__TEXT,__text) non-external _istrsenvisx.cold.3
0000000180213668 (__TEXT,__text) non-external _istrsenvisxl
0000000180229b8c (__TEXT,__text) external _isupper
000000018022a6e8 (__TEXT,__text) external _isupper_l
000000018022a810 (__TEXT,__text) external _iswalnum
000000018022ad50 (__TEXT,__text) external _iswalnum_l
000000018022a888 (__TEXT,__text) external _iswalpha
000000018022adcc (__TEXT,__text) external _iswalpha_l
000000018022b398 (__TEXT,__text) external _iswascii
000000018022b328 (__TEXT,__text) external _iswblank
000000018022b648 (__TEXT,__text) external _iswblank_l
000000018022a8f8 (__TEXT,__text) external _iswcntrl
000000018022ae40 (__TEXT,__text) external _iswcntrl_l
000000018022a968 (__TEXT,__text) external _iswctype
000000018022aeb4 (__TEXT,__text) external _iswctype_l
000000018022a9e8 (__TEXT,__text) external _iswdigit
000000018022af48 (__TEXT,__text) external _iswdigit_l
000000018022aa10 (__TEXT,__text) external _iswgraph
000000018022afbc (__TEXT,__text) external _iswgraph_l
000000018022b3a4 (__TEXT,__text) external _iswhexnumber
000000018022b6bc (__TEXT,__text) external _iswhexnumber_l
000000018022b414 (__TEXT,__text) external _iswideogram
000000018022b730 (__TEXT,__text) external _iswideogram_l
000000018022aa80 (__TEXT,__text) external _iswlower
000000018022b030 (__TEXT,__text) external _iswlower_l
000000018022b484 (__TEXT,__text) external _iswnumber
000000018022b7a4 (__TEXT,__text) external _iswnumber_l
000000018022b4f4 (__TEXT,__text) external _iswphonogram
000000018022b818 (__TEXT,__text) external _iswphonogram_l
000000018022aaf0 (__TEXT,__text) external _iswprint
000000018022b0a4 (__TEXT,__text) external _iswprint_l
000000018022ab60 (__TEXT,__text) external _iswpunct
000000018022b118 (__TEXT,__text) external _iswpunct_l
000000018022b564 (__TEXT,__text) external _iswrune
000000018022b88c (__TEXT,__text) external _iswrune_l
000000018022abd0 (__TEXT,__text) external _iswspace
000000018022b18c (__TEXT,__text) external _iswspace_l
000000018022b5d8 (__TEXT,__text) external _iswspecial
000000018022b910 (__TEXT,__text) external _iswspecial_l
000000018022ac40 (__TEXT,__text) external _iswupper
000000018022b200 (__TEXT,__text) external _iswupper_l
000000018022acb0 (__TEXT,__text) external _iswxdigit
000000018022b274 (__TEXT,__text) external _iswxdigit_l
000000018021ce28 (__TEXT,__text) external _isxdigit
000000018022a75c (__TEXT,__text) external _isxdigit_l
0000000180269e40 (__TEXT,__cstring) non-external _itoa64
000000018023e5ec (__TEXT,__text) external _jrand48
00000001d19be408 (__DATA_CONST,__const) external _kOSThermalNotificationPressureLevelName
                 (undefined) external _kill (from libsystem_kernel)
000000018021d47c (__TEXT,__text) external _killpg
000000018025b2b0 (__TEXT,__text) external _l64a
00000001d65381c0 (__DATA,__bss) non-external _l64a.buf
0000000180258388 (__TEXT,__text) external _labs
0000000180242980 (__TEXT,__text) non-external _largesearch
00000001d6538128 (__DATA,__bss) non-external _last_default_tzload_mtimespec
00000001d6536500 (__DATA,__data) non-external _lastglue
00000001802242c0 (__TEXT,__text) external _lchflags
000000018020e624 (__TEXT,__text) external _lchmod
00000001d6537fd0 (__DATA,__bss) non-external _lcl_TZname
00000001d9287dd8 (__DATA_DIRTY,__data) non-external _lcl_notify
00000001d9287d00 (__DATA_DIRTY,__data) non-external (was a private external) _lcl_rwlock
00000001d9289740 (__DATA_DIRTY,__bss) non-external _lclptr
000000018023e630 (__TEXT,__text) external _lcong48
0000000180258394 (__TEXT,__text) external _ldiv
000000018025848c (__TEXT,__text) external _lfind
000000018024de54 (__TEXT,__text) non-external _lflush
0000000180248858 (__TEXT,__text) external _link_addr
0000000180248a20 (__TEXT,__text) external _link_ntoa
00000001d6537f12 (__DATA,__bss) non-external _link_ntoa.obuf
00000001802583c0 (__TEXT,__text) external _llabs
00000001802583cc (__TEXT,__text) external _lldiv
0000000180249870 (__TEXT,__text) non-external _loadCat
0000000180210c54 (__TEXT,__text) non-external _loadlocale
0000000180222bbc (__TEXT,__text) external _localeconv
00000001801f1358 (__TEXT,__text) external _localeconv_l
0000000180265d54 (__TEXT,__text) non-external _localeconv_l.cold.1
0000000180265d70 (__TEXT,__text) non-external _localeconv_l.cold.2
00000001801fa3cc (__TEXT,__text) external _localtime
00000001d9289748 (__DATA_DIRTY,__bss) non-external _localtime_key
00000001d65380d0 (__DATA,__bss) non-external _localtime_key_error
00000001801fa4ac (__TEXT,__text) non-external _localtime_key_init
00000001d9287de0 (__DATA_DIRTY,__data) non-external _localtime_once
00000001801f4814 (__TEXT,__text) external _localtime_r
0000000180223abc (__TEXT,__text) external _lockf
000000018023e674 (__TEXT,__text) external _lockf$NOCANCEL
000000018022f96c (__TEXT,__text) external _login
000000018022e4b8 (__TEXT,__text) external _login_tty
000000018022fa24 (__TEXT,__text) external _logout
000000018022e53c (__TEXT,__text) external _logwtmp
000000018023e76c (__TEXT,__text) external _lrand48
00000001802583f8 (__TEXT,__text) external _lsearch
                 (undefined) external _lseek (from libsystem_kernel)
                 (undefined) external _lstat (from libsystem_kernel)
000000018022ef0c (__TEXT,__text) external _lstatx_np
00000001802060e0 (__TEXT,__text) non-external _lstatx_syscall
000000018021c2e0 (__TEXT,__text) external _lutimes
                 (undefined) external _mach_absolute_time (from libsystem_kernel)
                 (undefined) external _mach_approximate_time (from libsystem_kernel)
                 (undefined) external _mach_boottime_usec (from libsystem_kernel)
                 (undefined) external _mach_continuous_approximate_time (from libsystem_kernel)
                 (undefined) external _mach_continuous_time (from libsystem_kernel)
                 (undefined) external _mach_error_string (from libsystem_kernel)
                 (undefined) external _mach_host_self (from libsystem_kernel)
                 (undefined) external _mach_port_deallocate (from libsystem_kernel)
                 (undefined) external _mach_task_self_ (from libsystem_kernel)
                 (undefined) external _mach_timebase_info (from libsystem_kernel)
                 (undefined) external _malloc (from libsystem_malloc)
00000001d19bdf80 (__DATA_CONST,__const) non-external _mapping
000000018021a168 (__TEXT,__text) external _mblen
000000018021a18c (__TEXT,__text) external _mblen_l
000000018022f42c (__TEXT,__text) external _mbmb
00000001d6537b90 (__DATA,__bss) non-external _mbmb.warn_depreciated
                 (undefined) external _mbr_gid_to_uuid (from libsystem_info)
                 (undefined) external _mbr_uid_to_uuid (from libsystem_info)
                 (undefined) external _mbr_uuid_to_id (from libsystem_info)
000000018021a20c (__TEXT,__text) external _mbrlen
000000018024411c (__TEXT,__text) external _mbrlen_l
000000018022f370 (__TEXT,__text) external _mbrrune
00000001d6537b8c (__DATA,__bss) non-external _mbrrune.warn_depreciated
000000018021ce8c (__TEXT,__text) external _mbrtowc
000000018021a898 (__TEXT,__text) external _mbrtowc_l
000000018022f2cc (__TEXT,__text) external _mbrune
00000001d6537b88 (__DATA,__bss) non-external _mbrune.warn_depreciated
000000018024419c (__TEXT,__text) external _mbsinit
000000018024416c (__TEXT,__text) external _mbsinit_l
0000000180244228 (__TEXT,__text) external _mbsnrtowcs
00000001802441ec (__TEXT,__text) external _mbsnrtowcs_l
0000000180244400 (__TEXT,__text) external _mbsrtowcs
00000001802443b4 (__TEXT,__text) external _mbsrtowcs_l
0000000180213d10 (__TEXT,__text) external _mbstowcs
0000000180244468 (__TEXT,__text) external _mbstowcs_l
0000000180213a8c (__TEXT,__text) external _mbtowc
00000001801f29a4 (__TEXT,__text) external _mbtowc_l
                 (indirect) external _memccpy (for __platform_memccpy)
                 (indirect) external _memchr (for __platform_memchr)
                 (indirect) external _memcmp (for __platform_memcmp)
                 (indirect) external _memcpy (for __platform_memmove)
0000000180204340 (__TEXT,__text) external _memmem
                 (indirect) external _memmove (for __platform_memmove)
                 (indirect) external _memset (for __platform_memset)
                 (indirect) external _memset_pattern16 (for __platform_memset_pattern16)
                 (indirect) external _memset_pattern4 (for __platform_memset_pattern4)
                 (indirect) external _memset_pattern8 (for __platform_memset_pattern8)
00000001801edcac (__TEXT,__text) external _memset_s
00000001802477e4 (__TEXT,__text) non-external _memstream_close
000000018024774c (__TEXT,__text) non-external _memstream_seek
0000000180265db8 (__TEXT,__text) non-external _memstream_seek.cold.1
0000000180265de4 (__TEXT,__text) non-external _memstream_seek.cold.2
0000000180247608 (__TEXT,__text) non-external _memstream_update
0000000180265d8c (__TEXT,__text) non-external _memstream_update.cold.1
0000000180247640 (__TEXT,__text) non-external _memstream_write
0000000180205330 (__TEXT,__text) external _mergesort
0000000180214cc0 (__TEXT,__text) external _mergesort_b
                 (undefined) external _mkdirat (from libsystem_kernel)
000000018022eda0 (__TEXT,__text) external _mkdirx_np
000000018021d274 (__TEXT,__text) external _mkdtemp
000000018024b790 (__TEXT,__text) external _mkdtempat_np
000000018022ed8c (__TEXT,__text) external _mkfifox_np
000000018024b70c (__TEXT,__text) external _mkostemp
000000018024b5c8 (__TEXT,__text) external _mkostemps
000000018024b64c (__TEXT,__text) external _mkostempsat_np
00000001801fb8e0 (__TEXT,__text) external _mkpath_np
000000018022e658 (__TEXT,__text) external _mkpathat_np
000000018021aab4 (__TEXT,__text) external _mkstemp
000000018024b830 (__TEXT,__text) external _mkstemp_dprotected_np
000000018020e670 (__TEXT,__text) external _mkstemps
000000018024b6c0 (__TEXT,__text) external _mkstempsat_np
0000000180203ea0 (__TEXT,__text) external _mktemp
0000000180206134 (__TEXT,__text) external _mktime
                 (undefined) external _mmap (from libsystem_kernel)
0000000180268eec (__TEXT,__const) non-external _mon_lengths
0000000180229770 (__TEXT,__text) external _monaddition
0000000180229780 (__TEXT,__text) external _moncontrol
0000000180229784 (__TEXT,__text) external _moncount
0000000180229768 (__TEXT,__text) external _moninit
000000018022977c (__TEXT,__text) external _monitor
0000000180229778 (__TEXT,__text) external _monoutput
0000000180229774 (__TEXT,__text) external _monreset
000000018022976c (__TEXT,__text) external _monstartup
000000018024a620 (__TEXT,__text) non-external _moreglue
0000000180237e8c (__TEXT,__text) non-external _mpool_bkt
0000000180238168 (__TEXT,__text) external _mpool_close
0000000180237dd4 (__TEXT,__text) external _mpool_filter
0000000180237f7c (__TEXT,__text) external _mpool_get
0000000180237de4 (__TEXT,__text) external _mpool_new
00000001802655ec (__TEXT,__text) non-external _mpool_new.cold.1
0000000180237cc8 (__TEXT,__text) external _mpool_open
000000018023814c (__TEXT,__text) external _mpool_put
00000001802381c4 (__TEXT,__text) external _mpool_sync
0000000180238238 (__TEXT,__text) non-external _mpool_write
000000018023e7a0 (__TEXT,__text) external _mrand48
000000018023029c (__TEXT,__text) non-external _mswap
                 (undefined) external _munmap (from libsystem_kernel)
00000001d6537b28 (__DATA,__bss) non-external _namebuf
                 (undefined) external _nan (from libsystem_m)
                 (undefined) external _nanf (from libsystem_m)
                 (undefined) external _nanl (from libsystem_m)
00000001801faeec (__TEXT,__text) external _nanosleep
000000018021797c (__TEXT,__text) external _nanosleep$NOCANCEL
00000001d6537d20 (__DATA,__bss) non-external _new_categories
000000018022dde8 (__TEXT,__text) external _new_printf_comp
000000018021e82c (__TEXT,__text) external _new_printf_domain
00000001802026d8 (__TEXT,__text) external _newlocale
00000001d9287e38 (__DATA_DIRTY,__data) non-external _next
000000018023c5b8 (__TEXT,__text) non-external _nextcomp
00000001d6537ba8 (__DATA,__bss) non-external _nextcomp.lmsgverb
00000001d6537bc8 (__DATA,__bss) non-external _nextcomp.state
000000018024483c (__TEXT,__text) external _nextwctype
00000001802446b8 (__TEXT,__text) external _nextwctype_l
000000018022790c (__TEXT,__text) external _nftw
000000018023e7d4 (__TEXT,__text) external _nice
00000001802216f8 (__TEXT,__text) external _nl_langinfo
000000018022171c (__TEXT,__text) external _nl_langinfo_l
00000001d6537d18 (__DATA,__bss) non-external _nl_langinfo_l.csym
0000000180269059 (__TEXT,__const) non-external _noarg
0000000180268c0c (__TEXT,__const) non-external _nogrouping
00000001d6536560 (__DATA,__data) non-external _nonopt_end
00000001d6536564 (__DATA,__data) non-external _nonopt_start
                 (undefined) external _notify_cancel (from libsystem_notify)
                 (undefined) external _notify_check (from libsystem_notify)
00000001801f4d44 (__TEXT,__text) non-external _notify_check_tz
                 (undefined) external _notify_monitor_file (from libsystem_notify)
                 (undefined) external _notify_post (from libsystem_notify)
                 (undefined) external _notify_register_check (from libsystem_notify)
00000001801f6468 (__TEXT,__text) non-external _notify_register_tz
0000000180268ec8 (__TEXT,__const) non-external _notify_tz_name
000000018023e894 (__TEXT,__text) external _nrand48
00000001d653635c (__DATA,__data) non-external _numempty
00000001d65363c0 (__DATA,__data) non-external _numempty
00000001802687b0 (__TEXT,__const) non-external _nv
0000000180241b84 (__TEXT,__text) external _nvis
00000001d65365f8 (__DATA,__data) external _off32
00000001d6536650 (__DATA,__data) external _off64
0000000180254c6c (__TEXT,__text) external _offtime
00000001d19bdf68 (__DATA_CONST,__const) non-external _okshells
                 (undefined) external _open$NOCANCEL (from libsystem_kernel)
                 (undefined) external _open_dprotected_np (from libsystem_kernel)
00000001802474e8 (__TEXT,__text) external _open_memstream
000000018022d470 (__TEXT,__text) external _open_with_subsystem
00000001802547a0 (__TEXT,__text) external _open_wmemstream
                 (undefined) external _openat$NOCANCEL (from libsystem_kernel)
000000018022e6d0 (__TEXT,__text) external _opendev
000000018022e8d4 (__TEXT,__text) non-external _opendev_namebuf_init
00000001d6536260 (__DATA,__data) non-external _opendev_namebuf_once
000000018023e8d8 (__TEXT,__text) external _opendir
000000018023ec58 (__TEXT,__text) non-external _opendir_compar
00000001802132f4 (__TEXT,__text) external _openpty
0000000180223130 (__TEXT,__text) external _openx_np
00000001d6538260 (__DATA,__common) external _optarg
00000001d6536550 (__DATA,__data) external _opterr
00000001d9287e34 (__DATA_DIRTY,__data) external _optind
00000001d653825c (__DATA,__common) external _optopt
00000001d6538258 (__DATA,__common) external _optreset
                 (undefined) external _os_log_simple_type_from_asl (from libsystem_platform)
                 (undefined) external _os_unfair_lock_lock (from libsystem_platform)
                 (undefined) external _os_unfair_lock_lock_with_options (from libsystem_platform)
                 (undefined) external _os_unfair_lock_unlock (from libsystem_platform)
00000001d9287f10 (__DATA_DIRTY,__bss) non-external _p5s
0000000180268cb1 (__TEXT,__const) non-external _padchar
00000001d653747a (__DATA,__bss) non-external _parse_error
000000018021c7ac (__TEXT,__text) non-external _parse_long_options
00000001d6537478 (__DATA,__bss) non-external _parsed
                 (undefined) external _pathconf (from libsystem_kernel)
00000001802643ec (__TEXT,__text) external _pause
000000018023ec6c (__TEXT,__text) external _pause$NOCANCEL
000000018023efd4 (__TEXT,__text) external _pclose
0000000180224e68 (__TEXT,__text) non-external _permute
0000000180257efc (__TEXT,__text) non-external _permute_args
0000000180265f9c (__TEXT,__text) external _perror
00000001d6537c00 (__DATA,__bss) non-external _pfp
                 (undefined) external _pipe (from libsystem_kernel)
00000001d6536568 (__DATA,__data) non-external _place
000000018023eca4 (__TEXT,__text) external _popen
00000001802646d0 (__TEXT,__text) external _popen$DARWIN_EXTSN
0000000180254d18 (__TEXT,__text) external _posix2time
000000018021341c (__TEXT,__text) external _posix_openpt
                 (undefined) external _posix_spawn (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_addclose (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_adddup2 (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_addinherit_np (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_destroy (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_init (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_destroy (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_init (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_setflags (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_setsigdefault (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_setsigmask (from libsystem_kernel)
0000000180220af0 (__TEXT,__text) external _posix_spawnp
                 (undefined) external _pread$NOCANCEL (from libsystem_kernel)
000000018021cee8 (__TEXT,__text) external _printf
00000001d65381e0 (__DATA,__bss) non-external _printf_info_queue
000000018024dc9c (__TEXT,__text) external _printf_l
000000018023c314 (__TEXT,__text) non-external _printfmt
                 (undefined) external _proc_name (from libsystem_kernel)
000000018023f0f0 (__TEXT,__text) external _psignal
000000018025b900 (__TEXT,__text) external _psort
000000018025c450 (__TEXT,__text) external _psort_b
000000018021d020 (__TEXT,__text) external _psort_r
                 (undefined) external _pthread_get_stackaddr_np (from libsystem_pthread)
                 (undefined) external _pthread_get_stacksize_np (from libsystem_pthread)
                 (undefined) external _pthread_getspecific (from libsystem_pthread)
                 (undefined) external _pthread_key_create (from libsystem_pthread)
                 (undefined) external _pthread_key_init_np (from libsystem_pthread)
                 (undefined) external _pthread_kill (from libsystem_pthread)
                 (undefined) external _pthread_mutex_destroy (from libsystem_pthread)
                 (undefined) external _pthread_mutex_init (from libsystem_pthread)
                 (undefined) external _pthread_mutex_lock (from libsystem_pthread)
                 (undefined) external _pthread_mutex_trylock (from libsystem_pthread)
                 (undefined) external _pthread_mutex_unlock (from libsystem_pthread)
                 (undefined) external _pthread_once (from libsystem_pthread)
                 (undefined) external _pthread_rwlock_destroy (from libsystem_pthread)
                 (undefined) external _pthread_rwlock_rdlock (from libsystem_pthread)
                 (undefined) external _pthread_rwlock_unlock (from libsystem_pthread)
                 (undefined) external _pthread_rwlock_wrlock (from libsystem_pthread)
                 (undefined) external _pthread_self (from libsystem_pthread)
                 (undefined) external _pthread_setspecific (from libsystem_pthread)
                 (undefined) external _pthread_sigmask (from libsystem_pthread)
                 (undefined) external _pthread_stack_frame_decode_np (from libsystem_pthread)
                 (undefined) external _pthread_testcancel (from libsystem_pthread)
000000018025b1c8 (__TEXT,__text) external _ptsname
0000000180266470 (__TEXT,__text) non-external _ptsname.cold.1
000000018026648c (__TEXT,__text) non-external _ptsname.cold.2
00000001d65381b8 (__DATA,__bss) non-external _ptsname_buffer_specific_key
00000001d65381b0 (__DATA,__bss) non-external _ptsname_once
000000018025b278 (__TEXT,__text) non-external _ptsname_once_init
00000001802664a8 (__TEXT,__text) non-external _ptsname_once_init.cold.1
0000000180213460 (__TEXT,__text) external _ptsname_r
0000000180220df4 (__TEXT,__text) external _putc
000000018024dcdc (__TEXT,__text) external _putc_unlocked
000000018021cf44 (__TEXT,__text) external _putchar
000000018024dd24 (__TEXT,__text) external _putchar_unlocked
0000000180258580 (__TEXT,__text) external _putenv
0000000180236be0 (__TEXT,__text) non-external _putpair
000000018021c480 (__TEXT,__text) external _puts
0000000180260980 (__TEXT,__text) external _pututxline
000000018024dd78 (__TEXT,__text) external _putw
000000018024dde8 (__TEXT,__text) external _putwc
000000018024de0c (__TEXT,__text) external _putwc_l
000000018024de10 (__TEXT,__text) external _putwchar
000000018024de40 (__TEXT,__text) external _putwchar_l
00000001d6537570 (__DATA,__bss) non-external _pw_size
                 (undefined) external _pwrite$NOCANCEL (from libsystem_kernel)
00000001801f9cd8 (__TEXT,__text) external _qsort
00000001801fa9ac (__TEXT,__text) external _qsort_b
00000001801fa9e4 (__TEXT,__text) external _qsort_r
000000018022ba4c (__TEXT,__text) external _querylocale
000000018025924c (__TEXT,__text) non-external _r_sort_a
00000001d6538184 (__DATA,__bss) non-external _r_sort_a.bmin
00000001d6538178 (__DATA,__bss) non-external _r_sort_a.count
00000001d6538180 (__DATA,__bss) non-external _r_sort_a.nc
00000001d6538188 (__DATA,__bss) non-external _r_sort_a_count
000000018025981c (__TEXT,__text) non-external _r_sort_b
00000001d65381a4 (__DATA,__bss) non-external _r_sort_b.bmin
00000001d6538198 (__DATA,__bss) non-external _r_sort_b.count
00000001d65381a0 (__DATA,__bss) non-external _r_sort_b.nc
00000001d6538190 (__DATA,__bss) non-external _r_sort_b_count
0000000180259bc0 (__TEXT,__text) non-external _r_sort_count_allocate
00000001d6536578 (__DATA,__data) non-external _r_sort_count_control
0000000180259160 (__TEXT,__text) external _radixsort
000000018022e660 (__TEXT,__text) external _raise
00000001801fd64c (__TEXT,__text) external _rand
00000001d6536594 (__DATA,__data) non-external _rand_deg
0000000180205134 (__TEXT,__text) external _rand_r
00000001d6536598 (__DATA,__data) non-external _rand_sep
00000001d6536590 (__DATA,__data) non-external _rand_type
00000001801fbebc (__TEXT,__text) external _random
00000001d9287e40 (__DATA_DIRTY,__data) non-external _randtbl
000000018023c620 (__TEXT,__text) non-external (was a private external) _rangematch
000000018022d36c (__TEXT,__text) non-external _raosnprintf
0000000180261d24 (__TEXT,__text) external _rb_tree_count
0000000180219970 (__TEXT,__text) external _rb_tree_find_node
0000000180261b90 (__TEXT,__text) external _rb_tree_find_node_geq
0000000180261c18 (__TEXT,__text) external _rb_tree_find_node_leq
0000000180219960 (__TEXT,__text) external _rb_tree_init
00000001802199dc (__TEXT,__text) external _rb_tree_insert_node
0000000180261ca0 (__TEXT,__text) external _rb_tree_iterate
0000000180261d30 (__TEXT,__text) non-external _rb_tree_removal_rebalance
0000000180222eb8 (__TEXT,__text) external _rb_tree_remove_node
0000000180219bf4 (__TEXT,__text) non-external _rb_tree_reparent_nodes
0000000180268080 (__TEXT,__const) non-external _rcsid
00000001802680cf (__TEXT,__const) non-external _rcsid
0000000180268119 (__TEXT,__const) non-external _rcsid
0000000180268216 (__TEXT,__const) non-external _rcsid
0000000180269110 (__TEXT,__const) non-external _rcsid
00000001802691d5 (__TEXT,__const) non-external _rcsid
                 (undefined) external _read$NOCANCEL (from libsystem_kernel)
000000018023f344 (__TEXT,__text) external _readdir
000000018023f38c (__TEXT,__text) external _readdir_r
                 (undefined) external _readlink (from libsystem_kernel)
000000018023f448 (__TEXT,__text) external _readpassphrase
                 (undefined) external _realloc (from libsystem_malloc)
                 (undefined) external _reallocarray$DARWIN_EXTSN (from libsystem_malloc)
00000001801edd20 (__TEXT,__text) external _reallocf
0000000180259ec8 (__TEXT,__text) external _realpath
00000001801ffab8 (__TEXT,__text) external _realpath$DARWIN_EXTSN
00000001d928975c (__DATA_DIRTY,__bss) non-external _realpath$DARWIN_EXTSN.rootdev
00000001d9289760 (__DATA_DIRTY,__bss) non-external _realpath$DARWIN_EXTSN.rootdev_inited
00000001d65381a8 (__DATA,__bss) non-external _realpath.rootdev
00000001d65381ac (__DATA,__bss) non-external _realpath.rootdev_inited
0000000180238680 (__TEXT,__text) non-external _rec_rdelete
000000018026901a (__TEXT,__const) non-external _recargchar
0000000180269083 (__TEXT,__const) non-external _recargstring
00000001801ff888 (__TEXT,__text) external _recv
00000001801ff870 (__TEXT,__text) external _recv$NOCANCEL
0000000180206b7c (__TEXT,__text) external _regcomp
0000000180206ba0 (__TEXT,__text) external _regcomp_l
0000000180266130 (__TEXT,__text) external _regerror
000000018020c800 (__TEXT,__text) external _regexec
0000000180210770 (__TEXT,__text) external _regfree
000000018021e9d0 (__TEXT,__text) external _register_printf_domain_function
000000018022e060 (__TEXT,__text) non-external (was a private external) _register_printf_domain_render
000000018022e148 (__TEXT,__text) external _register_printf_domain_render_std
0000000180261ea4 (__TEXT,__text) external _regncomp
0000000180206c28 (__TEXT,__text) external _regncomp_l
000000018020c814 (__TEXT,__text) external _regnexec
0000000180261f98 (__TEXT,__text) external _regwcomp
0000000180261f14 (__TEXT,__text) external _regwcomp_l
0000000180262040 (__TEXT,__text) external _regwexec
0000000180261ef0 (__TEXT,__text) external _regwncomp
0000000180261ec8 (__TEXT,__text) external _regwncomp_l
0000000180262010 (__TEXT,__text) external _regwnexec
00000001802187c8 (__TEXT,__text) external _remove
000000018025a61c (__TEXT,__text) external _remque
00000001d19bead8 (__DATA_CONST,__const) non-external _rerrs
0000000180203cf8 (__TEXT,__text) external _rewind
000000018023fa08 (__TEXT,__text) external _rewinddir
000000018020440c (__TEXT,__text) external _rindex
                 (undefined) external _rmdir (from libsystem_kernel)
00000001d9287f18 (__DATA_DIRTY,__bss) non-external _rng
000000018024b934 (__TEXT,__text) external _rpmatch
00000001d65365a8 (__DATA,__data) non-external _rptr
000000018021c1c8 (__TEXT,__text) non-external _sappend
00000001d6537e00 (__DATA,__bss) non-external _saved_categories
0000000180224190 (__TEXT,__text) external _sbrk
00000001d6537388 (__DATA,__bss) non-external _sbrk_curbrk
00000001d6537380 (__DATA,__bss) non-external _sbrk_needs_init
00000001d6536140 (__DATA,__data) non-external _sbrk_region_size
000000018023fa8c (__TEXT,__text) external _scandir
000000018025dae8 (__TEXT,__text) external _scandir_b
000000018024dea8 (__TEXT,__text) external _scanf
000000018024df28 (__TEXT,__text) external _scanf_l
000000018023fc1c (__TEXT,__text) external _seed48
00000001d6537cb8 (__DATA,__bss) non-external _seed48.sseed
000000018023fc84 (__TEXT,__text) external _seekdir
                 (undefined) external _select$NOCANCEL (from libsystem_kernel)
                 (undefined) external _semaphore_create (from libsystem_kernel)
00000001801ff87c (__TEXT,__text) external _send
00000001801ff864 (__TEXT,__text) external _send$NOCANCEL
00000001802690d8 (__TEXT,__const) non-external _seps
00000001d65374d8 (__DATA,__bss) non-external _seq
0000000180228c68 (__TEXT,__text) non-external _set_asl
0000000180228fb4 (__TEXT,__text) non-external _set_file
                 (undefined) external _setattrlist (from libsystem_kernel)
000000018024dfc0 (__TEXT,__text) external _setbuf
000000018024dfd4 (__TEXT,__text) external _setbuffer
00000001801f1a14 (__TEXT,__text) external _setenv
000000018022ff00 (__TEXT,__text) external _sethostid
000000018023fcdc (__TEXT,__text) external _sethostname
000000018022f86c (__TEXT,__text) external _setinvalidrune
00000001d6537b9c (__DATA,__bss) non-external _setinvalidrune.warn_depreciated
0000000180248d9c (__TEXT,__text) external _setipv4sourcefilter
0000000180265e94 (__TEXT,__text) non-external _setipv4sourcefilter.cold.1
                 (undefined) external _setitimer (from libsystem_kernel)
00000001802252d4 (__TEXT,__text) external _setkey
000000018021ce7c (__TEXT,__text) external _setlinebuf
00000001801f6f3c (__TEXT,__text) external _setlocale
0000000180221cbc (__TEXT,__text) external _setlogin
000000018023fe3c (__TEXT,__text) external _setmode
                 (undefined) external _setpgid (from libsystem_kernel)
000000018022ff48 (__TEXT,__text) external _setpgrp
                 (undefined) external _setpriority (from libsystem_kernel)
000000018021c55c (__TEXT,__text) external _setprogname
                 (undefined) external _setregid (from libsystem_kernel)
                 (undefined) external _setreuid (from libsystem_kernel)
000000018022ff8c (__TEXT,__text) external _setrgid
                 (undefined) external _setrlimit (from libsystem_kernel)
000000018022ff94 (__TEXT,__text) external _setruid
0000000180244d14 (__TEXT,__text) external _setrunelocale
                 (undefined) external _setsid (from libsystem_kernel)
                 (undefined) external _setsockopt (from libsystem_kernel)
0000000180249008 (__TEXT,__text) external _setsourcefilter
0000000180259e04 (__TEXT,__text) external _setstate
000000018022edb4 (__TEXT,__text) external _settimeofday
00000001802268bc (__TEXT,__text) external _setttyent
00000001801f65dc (__TEXT,__text) non-external _settzname
00000001802273e8 (__TEXT,__text) external _setusershell
000000018025fde4 (__TEXT,__text) external _setutxent
0000000180228884 (__TEXT,__text) external _setutxent_wtmp
0000000180219f9c (__TEXT,__text) external _setvbuf
000000018024a098 (__TEXT,__text) non-external _sflush_locked
000000018022f74c (__TEXT,__text) non-external (was a private external) _sgetrune
00000001d6537b94 (__DATA,__bss) non-external _sgetrune.warn_depreciated
00000001d6537550 (__DATA,__bss) non-external _shells
