00007ff9012f8fc0 (__TEXT,__text) non-external +[Calculate _lock]
00007ff90147a700 (__TEXT,__const) non-external ___bid_midpoint128
00007ff90147b100 (__TEXT,__const) non-external ___bid_midpoint192
00007ff90147cac0 (__TEXT,__const) non-external ___bid_midpoint256
00007ff90147a330 (__TEXT,__const) non-external ___bid_midpoint64
00007ff90134d980 (__TEXT,__const) non-external ___bid_mod10_18_tbl
00007ff901399680 (__TEXT,__const) non-external ___bid_nr_digits
00007ff90139aa80 (__TEXT,__const) non-external ___bid_onehalf128
00007ff901477b00 (__TEXT,__const) non-external ___bid_packed_10000_zeros
00007ff901479b60 (__TEXT,__const) non-external ___bid_power10_index_binexp_128
00007ff901479810 (__TEXT,__const) non-external ___bid_power10_table_128
00007ff901479570 (__TEXT,__const) non-external ___bid_recip_scale
00007ff901479330 (__TEXT,__const) non-external ___bid_reciprocals10_128
00007ff901479ad0 (__TEXT,__const) non-external ___bid_reciprocals10_64
00007ff901340b98 (__TEXT,__text) non-external ___bid_round128_19_38
00007ff901340f93 (__TEXT,__text) non-external ___bid_round192_39_57
00007ff901341969 (__TEXT,__text) non-external ___bid_round256_58_76
00007ff901340a61 (__TEXT,__text) non-external ___bid_round64_2_18
00007ff9014787f0 (__TEXT,__const) non-external ___bid_round_const_table_128
00007ff90139a7d0 (__TEXT,__const) non-external ___bid_shiftright128
00007ff901479a80 (__TEXT,__const) non-external ___bid_short_recip_scale
00007ff90147afd0 (__TEXT,__const) non-external ___bid_ten2k128
00007ff90147c5e0 (__TEXT,__const) non-external ___bid_ten2k256
00007ff90147a660 (__TEXT,__const) non-external ___bid_ten2k64
00007ff90139a4a0 (__TEXT,__const) non-external ___bid_ten2mk128
00007ff90139a860 (__TEXT,__const) non-external ___bid_ten2mk128trunc
00007ff90147ad80 (__TEXT,__const) non-external ___bid_ten2mxtrunc128
00007ff90147bee0 (__TEXT,__const) non-external ___bid_ten2mxtrunc192
00007ff90147dc70 (__TEXT,__const) non-external ___bid_ten2mxtrunc256
00007ff90147a5d0 (__TEXT,__const) non-external ___bid_ten2mxtrunc64
00007ff90133ed92 (__TEXT,__text) non-external ___binary128_to_bid128
00007ff90133de3d (__TEXT,__text) non-external ___binary64_to_bid128
00007ff94028a070 (__DATA_CONST,__const) non-external ___block_descriptor_32_e25_c24?08"NSDictionary"16l
00007ff94028a200 (__DATA_CONST,__const) non-external ___block_descriptor_32_e28_"NSString"16?0"NSString"8l
00007ff940289e20 (__DATA_CONST,__const) non-external ___block_descriptor_32_e31_q24?0"UnitRank"8"UnitRank"16l
00007ff94028a580 (__DATA_CONST,__const) non-external ___block_descriptor_32_e37_c24?0"NSString"8"NSCharacterSet"16l
00007ff940289f50 (__DATA_CONST,__const) non-external ___block_descriptor_32_e41_q24?0"CalculateUnit"8"CalculateUnit"16l
00007ff94028a490 (__DATA_CONST,__const) non-external ___block_descriptor_32_e45_q24?0"CalculateResult"8"CalculateResult"16l
00007ff94028a750 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e5_v8?0l
00007ff94028a0d0 (__DATA_CONST,__const) non-external ___block_descriptor_32_e83_"NSString"32?0"NSString"8"NSString"16?<"NSString"?"NSTextCheckingResult">24l
00007ff940289d60 (__DATA_CONST,__const) non-external ___block_descriptor_40_e161_v24?0^{TreeObject=i^?^{TreeObject}^{TreeObject}d{?=[2Q]}Q[16{UnitCount=ii}]BBBBi}8^{TreeObject=i^?^{TreeObject}^{TreeObject}d{?=[2Q]}Q[16{UnitCount=ii}]BBBBi}16l
00007ff940289d00 (__DATA_CONST,__const) non-external ___block_descriptor_40_e18_c16?0"NSString"8l
00007ff94028a700 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e5_v8?0l
00007ff940289dc0 (__DATA_CONST,__const) non-external ___block_descriptor_40_e83_v16?0^{TreeObject=i^?^{TreeObject}^{TreeObject}d{?=[2Q]}Q[16{UnitCount=ii}]BBBBi}8l
00007ff94028a720 (__DATA_CONST,__const) non-external ___block_descriptor_40_e8_32bs_e24_v16?0"NSNotification"8l
00007ff940289e60 (__DATA_CONST,__const) non-external ___block_descriptor_40_e8_32bs_e51_v56?0"NSString"8{_NSRange=QQ}16{_NSRange=QQ}32*48l
00007ff94028a1a0 (__DATA_CONST,__const) non-external ___block_descriptor_40_e8_32bs_e71_"NSString"32?0"NSString"8"NSString"16?<"NSString"?"NSString">24l
00007ff94028a1d0 (__DATA_CONST,__const) non-external ___block_descriptor_40_e8_32bs_e84_"NSString"32?0"NSString"8"NSString"16?<"NSString"?"NSString"{_NSRange=QQ}>24l
00007ff94028a240 (__DATA_CONST,__const) non-external ___block_descriptor_40_e8_32s_e28_"NSString"16?0"NSString"8l
00007ff94028a550 (__DATA_CONST,__const) non-external ___block_descriptor_40_e8_32s_e30_"NSTextCheckingResult"12?0c8l
00007ff94028a400 (__DATA_CONST,__const) non-external ___block_descriptor_40_e8_32s_e31_v28?0"CalculateToken"8^i16c24l
00007ff940289f20 (__DATA_CONST,__const) non-external ___block_descriptor_40_e8_32s_e34_"NSString"32?0"NSNumber"8Q16Q24l
00007ff94028a430 (__DATA_CONST,__const) non-external ___block_descriptor_40_e8_32s_e37_{UnitSet=[4Q]}16?0"CalculateToken"8l
00007ff94028a460 (__DATA_CONST,__const) non-external ___block_descriptor_40_e8_32s_e38_"NSMutableSet"16?0"CalculateToken"8l
00007ff94028a620 (__DATA_CONST,__const) non-external ___block_descriptor_40_e8_32s_e38_v40?0Q8Q16"NSString"24"UnitRanks"32l
00007ff94028a390 (__DATA_CONST,__const) non-external ___block_descriptor_40_e8_32s_e40_"NSString"16?0"NSTextCheckingResult"8l
00007ff940289f90 (__DATA_CONST,__const) non-external ___block_descriptor_40_e8_32s_e5_v8?0l
00007ff940289d40 (__DATA_CONST,__const) non-external ___block_descriptor_41_e161_v24?0^{TreeObject=i^?^{TreeObject}^{TreeObject}d{?=[2Q]}Q[16{UnitCount=ii}]BBBBi}8^{TreeObject=i^?^{TreeObject}^{TreeObject}d{?=[2Q]}Q[16{UnitCount=ii}]BBBBi}16l
00007ff940289da0 (__DATA_CONST,__const) non-external ___block_descriptor_48_e161_v24?0^{TreeObject=i^?^{TreeObject}^{TreeObject}d{?=[2Q]}Q[16{UnitCount=ii}]BBBBi}8^{TreeObject=i^?^{TreeObject}^{TreeObject}d{?=[2Q]}Q[16{UnitCount=ii}]BBBBi}16l
00007ff940289d20 (__DATA_CONST,__const) non-external ___block_descriptor_48_e83_v16?0^{TreeObject=i^?^{TreeObject}^{TreeObject}d{?=[2Q]}Q[16{UnitCount=ii}]BBBBi}8l
00007ff94028a5f0 (__DATA_CONST,__const) non-external ___block_descriptor_48_e8_32s40bs_e11_v24?0Q8Q16l
00007ff94028a270 (__DATA_CONST,__const) non-external ___block_descriptor_48_e8_32s40bs_e28_"NSString"16?0"NSString"8l
00007ff94028a170 (__DATA_CONST,__const) non-external ___block_descriptor_48_e8_32s40bs_e40_"NSString"16?0"NSTextCheckingResult"8l
00007ff94028a7c0 (__DATA_CONST,__const) non-external ___block_descriptor_48_e8_32s40bs_e5_v8?0l
00007ff94028a790 (__DATA_CONST,__const) non-external ___block_descriptor_48_e8_32s40s_e11_q24?0816l
00007ff940289fc0 (__DATA_CONST,__const) non-external ___block_descriptor_48_e8_32s40s_e18_v16?0"NSString"8l
00007ff94028a2a0 (__DATA_CONST,__const) non-external ___block_descriptor_48_e8_32s40s_e21_"NSString"16?0i8i12l
00007ff94028a2d0 (__DATA_CONST,__const) non-external ___block_descriptor_48_e8_32s40s_e28_"NSString"16?0"NSString"8l
00007ff94028a4f0 (__DATA_CONST,__const) non-external ___block_descriptor_48_e8_32s40s_e37_v32?0"NSString"8i16f20"NSLocale"24l
00007ff940289d80 (__DATA_CONST,__const) non-external ___block_descriptor_49_e161_v24?0^{TreeObject=i^?^{TreeObject}^{TreeObject}d{?=[2Q]}Q[16{UnitCount=ii}]BBBBi}8^{TreeObject=i^?^{TreeObject}^{TreeObject}d{?=[2Q]}Q[16{UnitCount=ii}]BBBBi}16l
00007ff94028a140 (__DATA_CONST,__const) non-external ___block_descriptor_56_e8_32bs40bs48r_e36_v32?0"NSTextCheckingResult"8Q16*24l
00007ff94028a6d0 (__DATA_CONST,__const) non-external ___block_descriptor_56_e8_32bs40r48r_e36_v40?0"NSString"8{_NSRange=QQ}16*32l
00007ff94028a5c0 (__DATA_CONST,__const) non-external ___block_descriptor_56_e8_32s40bs48r_e36_v40?0"NSString"8{_NSRange=QQ}16*32l
00007ff94028a110 (__DATA_CONST,__const) non-external ___block_descriptor_56_e8_32s40r48r_e20_v24?0{_NSRange=QQ}8l
00007ff94028a520 (__DATA_CONST,__const) non-external ___block_descriptor_56_e8_32s40s48bs_e36_v32?0"NSArray"8i16i20"NSLocale"24l
00007ff940289cd0 (__DATA_CONST,__const) non-external ___block_descriptor_56_e8_32s40s48r_e46_v32?0"NSData"8"NSURLResponse"16"NSError"24l
00007ff940289c70 (__DATA_CONST,__const) non-external ___block_descriptor_56_e8_32s40s48r_e5_v8?0l
00007ff940289ca0 (__DATA_CONST,__const) non-external ___block_descriptor_60_e8_32s40s48r_e5_v8?0l
00007ff94028a6a0 (__DATA_CONST,__const) non-external ___block_descriptor_72_e8_32bs40r48r56r64r_e36_v40?0"NSString"8{_NSRange=QQ}16*32l
00007ff94028a300 (__DATA_CONST,__const) non-external ___block_descriptor_88_e8_32s40s48s56bs64r72r80r_e43_"NSString"32?0"NSString"8{_NSRange=QQ}16l
00007ff94028a670 (__DATA_CONST,__const) non-external ___block_descriptor_92_e8_32s40r48r56r64r72r80r_e36_v40?0"NSString"8{_NSRange=QQ}16*32l
00007ff940289de0 (__DATA_CONST,__const) non-external ___block_literal_global
00007ff94028a770 (__DATA_CONST,__const) non-external ___block_literal_global.1026
00007ff940289e00 (__DATA_CONST,__const) non-external ___block_literal_global.127
00007ff940289e40 (__DATA_CONST,__const) non-external ___block_literal_global.196
00007ff94028a5a0 (__DATA_CONST,__const) non-external ___block_literal_global.222
00007ff94028a7f0 (__DATA_CONST,__const) non-external ___block_literal_global.240
00007ff94028a650 (__DATA_CONST,__const) non-external ___block_literal_global.245
00007ff940289f70 (__DATA_CONST,__const) non-external ___block_literal_global.454
00007ff940289f00 (__DATA_CONST,__const) non-external ___block_literal_global.509
00007ff940289ff0 (__DATA_CONST,__const) non-external ___block_literal_global.619
00007ff94028a010 (__DATA_CONST,__const) non-external ___block_literal_global.625
00007ff94028a030 (__DATA_CONST,__const) non-external ___block_literal_global.630
00007ff94028a050 (__DATA_CONST,__const) non-external ___block_literal_global.668
00007ff94028a090 (__DATA_CONST,__const) non-external ___block_literal_global.673
00007ff94028a0b0 (__DATA_CONST,__const) non-external ___block_literal_global.680
00007ff94028a0f0 (__DATA_CONST,__const) non-external ___block_literal_global.682
00007ff94028a220 (__DATA_CONST,__const) non-external ___block_literal_global.708
00007ff94028a4d0 (__DATA_CONST,__const) non-external ___block_literal_global.727
00007ff94028a330 (__DATA_CONST,__const) non-external ___block_literal_global.809
00007ff94028a350 (__DATA_CONST,__const) non-external ___block_literal_global.817
00007ff94028a370 (__DATA_CONST,__const) non-external ___block_literal_global.823
00007ff94028a3c0 (__DATA_CONST,__const) non-external ___block_literal_global.835
00007ff94028a3e0 (__DATA_CONST,__const) non-external ___block_literal_global.847
00007ff94028a4b0 (__DATA_CONST,__const) non-external ___block_literal_global.937
                 (undefined) external ___bzero (from libSystem)
00007ff901314eb6 (__TEXT,__text) non-external ___calc_yyparse_block_invoke
00007ff901342c30 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ff901342c50 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
00007ff9012f8e8a (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32b
00007ff901303f95 (__TEXT,__text) non-external ___copy_helper_block_e8_32b40b48r
00007ff90130c7a7 (__TEXT,__text) non-external ___copy_helper_block_e8_32b40r48r
00007ff90130c7f1 (__TEXT,__text) non-external ___copy_helper_block_e8_32b40r48r56r64r
00007ff9012f8eb0 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s
00007ff90130432b (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40b
00007ff90130cc71 (__TEXT,__text) non-external ___copy_helper_block_e8_32s40b48r
00007ff901303fdf (__TEXT,__text) non-external ___copy_helper_block_e8_32s40r48r
00007ff90130c8b0 (__TEXT,__text) non-external ___copy_helper_block_e8_32s40r48r56r64r72r80r
00007ff9012f8ebf (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s
00007ff90130d5e0 (__TEXT,__text) non-external ___copy_helper_block_e8_32s40s48b
00007ff9012e1ea3 (__TEXT,__text) non-external ___copy_helper_block_e8_32s40s48r
00007ff9013041cd (__TEXT,__text) non-external ___copy_helper_block_e8_32s40s48s56b64r72r80r
00007ff9012f8ea1 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s
00007ff901304021 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40r48r
00007ff90130c85f (__TEXT,__text) non-external ___destroy_helper_block_e8_32s40r48r56r64r
00007ff90130c93a (__TEXT,__text) non-external ___destroy_helper_block_e8_32s40r48r56r64r72r80r
00007ff9012f8ee4 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s
00007ff9012e1ee7 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s48r
00007ff90130d624 (__TEXT,__text) non-external ___destroy_helper_block_e8_32s40s48s
00007ff90130424e (__TEXT,__text) non-external ___destroy_helper_block_e8_32s40s48s56s64r72r80r
00007ff9013188e2 (__TEXT,__text) non-external ___dpml_bid_C_ux_erf__
00007ff901318e4a (__TEXT,__text) non-external ___dpml_bid_C_ux_hyperbolic__
00007ff90131bfcf (__TEXT,__text) non-external ___dpml_bid_C_ux_trig__
00007ff901319b29 (__TEXT,__text) non-external ___dpml_bid_addsub__
00007ff901347790 (__TEXT,__const) non-external ___dpml_bid_bid_x_table
00007ff901347940 (__TEXT,__const) non-external ___dpml_bid_cbrt_x_table
00007ff90131a4fe (__TEXT,__text) non-external ___dpml_bid_divide__
00007ff9013479b0 (__TEXT,__const) non-external ___dpml_bid_erf_x_table
00007ff90131a191 (__TEXT,__text) non-external ___dpml_bid_evaluate_packed_poly__
00007ff90131a85e (__TEXT,__text) non-external ___dpml_bid_evaluate_rational__
00007ff901318424 (__TEXT,__text) non-external ___dpml_bid_exception
00007ff901347f10 (__TEXT,__const) non-external ___dpml_bid_exp_x_table
00007ff90131a36a (__TEXT,__text) non-external ___dpml_bid_extended_multiply__
00007ff901319a37 (__TEXT,__text) non-external ___dpml_bid_ffs_and_shift__
00007ff901347060 (__TEXT,__const) non-external ___dpml_bid_globals_table
00007ff901348460 (__TEXT,__const) non-external ___dpml_bid_inv_hyper_x_table
00007ff9013484d0 (__TEXT,__const) non-external ___dpml_bid_inv_trig_x_table
00007ff9013489f0 (__TEXT,__const) non-external ___dpml_bid_lgamma_x_table
00007ff901348dc0 (__TEXT,__const) non-external ___dpml_bid_log_x_table
00007ff90131a25c (__TEXT,__text) non-external ___dpml_bid_multiply__
00007ff90131a03a (__TEXT,__text) non-external ___dpml_bid_pack__
00007ff901349d70 (__TEXT,__const) non-external ___dpml_bid_sqrt_t_table
00007ff901349070 (__TEXT,__const) non-external ___dpml_bid_sqrt_x_table
00007ff901349960 (__TEXT,__const) non-external ___dpml_bid_trig_x_table
00007ff901319fa0 (__TEXT,__text) non-external ___dpml_bid_unpack2__
00007ff901319d40 (__TEXT,__text) non-external ___dpml_bid_unpack_x_or_y__
00007ff90131914d (__TEXT,__text) non-external ___dpml_bid_ux_asin_acos__
00007ff9013187a2 (__TEXT,__text) non-external ___dpml_bid_ux_cmp__
00007ff90131bd1b (__TEXT,__text) non-external ___dpml_bid_ux_degree_reduce__
00007ff901318bc4 (__TEXT,__text) non-external ___dpml_bid_ux_exp_common__
00007ff901318c0e (__TEXT,__text) non-external ___dpml_bid_ux_exp_reduce__
00007ff9013198ec (__TEXT,__text) non-external ___dpml_bid_ux_log__
00007ff90131b66d (__TEXT,__text) non-external ___dpml_bid_ux_radian_reduce__
00007ff90131b5ca (__TEXT,__text) non-external ___dpml_bid_ux_sincos
00007ff90131b2e1 (__TEXT,__text) non-external ___dpml_bid_ux_sqrt_evaluation__
00007ff90131c0b8 (__TEXT,__text) non-external ___dpml_bid_ux_tancot__
00007ff901348fb0 (__TEXT,__const) non-external ___dpml_bid_x_constants__
00007ff901347200 (__TEXT,__const) non-external ___dpml_response_table
                 (undefined) external ___error (from libSystem)
00007ff90131af11 (__TEXT,__text) non-external ___eval_neg_poly
00007ff90131aa49 (__TEXT,__text) non-external ___eval_pos_poly
00007ff901349120 (__TEXT,__const) non-external ___four_over_pi
00007ff9012ebe80 (__TEXT,__text) non-external ___functionACosD_block_invoke
00007ff9012ed9c4 (__TEXT,__text) non-external ___functionACosH_block_invoke
00007ff9012ea90d (__TEXT,__text) non-external ___functionACos_block_invoke
00007ff9012f2e53 (__TEXT,__text) non-external ___functionAND_block_invoke
00007ff9012eba28 (__TEXT,__text) non-external ___functionASinD_block_invoke
00007ff9012ed762 (__TEXT,__text) non-external ___functionASinH_block_invoke
00007ff9012ea66d (__TEXT,__text) non-external ___functionASin_block_invoke
00007ff9012ec227 (__TEXT,__text) non-external ___functionATanD_block_invoke
00007ff9012ee0d0 (__TEXT,__text) non-external ___functionATanH_block_invoke
00007ff9012eacad (__TEXT,__text) non-external ___functionATan_block_invoke
00007ff9012ee3ce (__TEXT,__text) non-external ___functionCeil_block_invoke
00007ff9012f3798 (__TEXT,__text) non-external ___functionCompose_block_invoke
00007ff9012e21d6 (__TEXT,__text) non-external ___functionConstant_block_invoke
00007ff9012eb29f (__TEXT,__text) non-external ___functionCosD_block_invoke
00007ff9012ecd02 (__TEXT,__text) non-external ___functionCosH_block_invoke
00007ff9012ea074 (__TEXT,__text) non-external ___functionCos_block_invoke
00007ff9012e9034 (__TEXT,__text) non-external ___functionCubeRoot_block_invoke
00007ff9012e7a34 (__TEXT,__text) non-external ___functionDivide_block_invoke
00007ff9012f0401 (__TEXT,__text) non-external ___functionERFC_block_invoke
00007ff9012f0051 (__TEXT,__text) non-external ___functionERF_block_invoke
00007ff9012e930a (__TEXT,__text) non-external ___functionExp_block_invoke
00007ff9012f182f (__TEXT,__text) non-external ___functionFMod_block_invoke
00007ff9012ef44b (__TEXT,__text) non-external ___functionFabs_block_invoke
00007ff9012f0c8c (__TEXT,__text) non-external ___functionFactorial_block_invoke
00007ff9012f4074 (__TEXT,__text) non-external ___functionFail_block_invoke
00007ff9012eeab8 (__TEXT,__text) non-external ___functionFloor_block_invoke
00007ff9012f1d7f (__TEXT,__text) non-external ___functionHypot_block_invoke
00007ff9012ef665 (__TEXT,__text) non-external ___functionJ0_block_invoke
00007ff9012ef7c8 (__TEXT,__text) non-external ___functionJ1_block_invoke
00007ff9012efe0f (__TEXT,__text) non-external ___functionLGamma_block_invoke
00007ff9012f3412 (__TEXT,__text) non-external ___functionLeftShift_block_invoke
00007ff9012e9565 (__TEXT,__text) non-external ___functionLn_block_invoke
00007ff9012e9a14 (__TEXT,__text) non-external ___functionLogBase_block_invoke
00007ff9012e97b9 (__TEXT,__text) non-external ___functionLog_block_invoke
00007ff9012f28f8 (__TEXT,__text) non-external ___functionMax_block_invoke
00007ff9012f239d (__TEXT,__text) non-external ___functionMin_block_invoke
00007ff9012f3131 (__TEXT,__text) non-external ___functionNOR_block_invoke
00007ff9012e7f6a (__TEXT,__text) non-external ___functionNegate_block_invoke
00007ff9012e2657 (__TEXT,__text) non-external ___functionNoOp_block_invoke
00007ff9012f2fc2 (__TEXT,__text) non-external ___functionOR_block_invoke
00007ff9012e88e6 (__TEXT,__text) non-external ___functionPercentDecrease_block_invoke
00007ff9012e8465 (__TEXT,__text) non-external ___functionPercentIncrease_block_invoke
00007ff9012e81f4 (__TEXT,__text) non-external ___functionPercent_block_invoke
00007ff9012e6bec (__TEXT,__text) non-external ___functionPow_block_invoke
00007ff9012efbf1 (__TEXT,__text) non-external ___functionRInt_block_invoke
00007ff9012f2094 (__TEXT,__text) non-external ___functionRem_block_invoke
00007ff9012f35d5 (__TEXT,__text) non-external ___functionRightShift_block_invoke
00007ff9012f1323 (__TEXT,__text) non-external ___functionRoot_block_invoke
00007ff9012eef27 (__TEXT,__text) non-external ___functionRoundNearest_block_invoke
00007ff9012eecdd (__TEXT,__text) non-external ___functionRound_block_invoke
00007ff9012e759c (__TEXT,__text) non-external ___functionSameCurrency_block_invoke
00007ff9012eaf4d (__TEXT,__text) non-external ___functionSinD_block_invoke
00007ff9012ec5a6 (__TEXT,__text) non-external ___functionSinH_block_invoke
00007ff9012e9dea (__TEXT,__text) non-external ___functionSine_block_invoke
00007ff9012e8de1 (__TEXT,__text) non-external ___functionSqrRoot_block_invoke
00007ff9012e6753 (__TEXT,__text) non-external ___functionSubtract_block_invoke
00007ff9012eb5f1 (__TEXT,__text) non-external ___functionTanD_block_invoke
00007ff9012ed36d (__TEXT,__text) non-external ___functionTanH_block_invoke
00007ff9012ea2fe (__TEXT,__text) non-external ___functionTan_block_invoke
00007ff9012e2d81 (__TEXT,__text) non-external ___functionUnit_block_invoke
00007ff9012f32a3 (__TEXT,__text) non-external ___functionXOR_block_invoke
00007ff9012ef92b (__TEXT,__text) non-external ___functionY0_block_invoke
00007ff9012efa8e (__TEXT,__text) non-external ___functionY1_block_invoke
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___stdinp (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
00007ff901349050 (__TEXT,__const) non-external ___ux_one__
                 (undefined) external __dispatch_queue_attr_concurrent (from libSystem)
00007ff9012f3870 (__TEXT,__text) non-external __functionConvert
00007ff942168d88 (__DATA,__bss) non-external __loadIfNeeded.onceToken
00007ff942168cd0 (__DATA,__bss) non-external __lock.onceToken
00007ff942168d18 (__DATA,__bss) non-external __lock.onceToken.667
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external __os_log_error_impl (from libSystem)
                 (undefined) external __os_log_impl (from libSystem)
00007ff940290910 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage
00007ff940290a58 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.274
00007ff940290ab8 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.275
00007ff940290b18 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.496
00007ff940290968 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.529
00007ff940290b48 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.757
00007ff940290bc0 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.758
00007ff9402909e0 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.88
00007ff940290c38 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.887
00007ff9421686a0 (__DATA,__data) non-external __updateInputValueFromMatch:.feetInchRegexp
00007ff9421686a8 (__DATA,__data) non-external __updateInputValueFromMatch:.onceToken
                 (undefined) external _acos (from libSystem)
                 (undefined) external _acosh (from libSystem)
00007ff942168db0 (__DATA,__bss) non-external _addSet
00007ff9012e322b (__TEXT,__text) non-external _addUnitToSuggestions
                 (undefined) external _asin (from libSystem)
                 (undefined) external _asinh (from libSystem)
                 (undefined) external _atan (from libSystem)
                 (undefined) external _atanh (from libSystem)
00007ff942168d98 (__DATA,__bss) non-external _availableUnitRanks
00007ff942168d90 (__DATA,__bss) non-external _availableUnitRanksLock
00007ff901326dca (__TEXT,__text) non-external _bid128_ext_fma
00007ff9012e3a19 (__TEXT,__text) non-external _bid128_pow_fix
00007ff901340121 (__TEXT,__text) non-external _bid128_to_binary128_2part
00007ff90132ea7e (__TEXT,__text) non-external _bid___div_128_by_128.1177
00007ff901335308 (__TEXT,__text) non-external _bid___div_128_by_128.1209
00007ff90132d42b (__TEXT,__text) non-external _bid_add_and_round
00007ff90132e23a (__TEXT,__text) non-external _bid_bid_nr_digits256
00007ff9013a8800 (__TEXT,__const) non-external _bid_breakpoints_binary128
00007ff90139acd0 (__TEXT,__const) non-external _bid_breakpoints_binary64
00007ff9014746b0 (__TEXT,__const) non-external _bid_coefflimits_bid128
00007ff9013515c0 (__TEXT,__const) non-external _bid_decimal128_moduli.1243
00007ff9013cf4e0 (__TEXT,__const) non-external _bid_exponents_binary128
00007ff90139d690 (__TEXT,__const) non-external _bid_exponents_binary64
00007ff9013185c3 (__TEXT,__text) non-external _bid_f128_add
00007ff901318fff (__TEXT,__text) non-external _bid_f128_asinh
00007ff90131873f (__TEXT,__text) non-external _bid_f128_cmp
00007ff901318544 (__TEXT,__text) non-external _bid_f128_div
00007ff901318ded (__TEXT,__text) non-external _bid_f128_exp
00007ff9013186c4 (__TEXT,__text) non-external _bid_f128_itof
00007ff90131931e (__TEXT,__text) non-external _bid_f128_lgamma
00007ff9013199d9 (__TEXT,__text) non-external _bid_f128_log
00007ff9013184c7 (__TEXT,__text) non-external _bid_f128_mul
00007ff901318816 (__TEXT,__text) non-external _bid_f128_nextafter
00007ff90131b4d2 (__TEXT,__text) non-external _bid_f128_sqrt
00007ff901318642 (__TEXT,__text) non-external _bid_f128_sub
00007ff901326474 (__TEXT,__text) non-external _bid_get_BID128
00007ff90133b254 (__TEXT,__text) non-external _bid_get_BID128.1240
00007ff9014759c0 (__TEXT,__const) non-external _bid_innertable_exp
00007ff9014749c0 (__TEXT,__const) non-external _bid_innertable_sig
00007ff90134b500 (__TEXT,__const) non-external _bid_log_table_1
00007ff90134c900 (__TEXT,__const) non-external _bid_log_table_2
00007ff9013d9020 (__TEXT,__const) non-external _bid_multipliers1_binary128
00007ff90139e100 (__TEXT,__const) non-external _bid_multipliers1_binary64
00007ff9014269e0 (__TEXT,__const) non-external _bid_multipliers2_binary128
00007ff9013a3480 (__TEXT,__const) non-external _bid_multipliers2_binary64
00007ff9014765c0 (__TEXT,__const) non-external _bid_outertable_exp
00007ff901475bc0 (__TEXT,__const) non-external _bid_outertable_sig
00007ff9014743a0 (__TEXT,__const) non-external _bid_power_five
00007ff90134b100 (__TEXT,__const) non-external _bid_recip_table_1
00007ff90134c500 (__TEXT,__const) non-external _bid_recip_table_2
00007ff90139ab90 (__TEXT,__const) non-external _bid_roundbound_128
00007ff90132d234 (__TEXT,__text) non-external _bid_rounding_correction
00007ff90134afc0 (__TEXT,__const) non-external _c1
00007ff90134af30 (__TEXT,__const) non-external _c10
00007ff90134af20 (__TEXT,__const) non-external _c11
00007ff90134af10 (__TEXT,__const) non-external _c12
00007ff90134afb0 (__TEXT,__const) non-external _c2
00007ff90134afa0 (__TEXT,__const) non-external _c3
00007ff90134af90 (__TEXT,__const) non-external _c4
00007ff90134af80 (__TEXT,__const) non-external _c5
00007ff90134af70 (__TEXT,__const) non-external _c6
00007ff90134af60 (__TEXT,__const) non-external _c7
00007ff90134af50 (__TEXT,__const) non-external _c8
00007ff90134af40 (__TEXT,__const) non-external _c9
00007ff90134aed0 (__TEXT,__const) non-external _c_105
00007ff90134ae90 (__TEXT,__const) non-external _c_11000
00007ff90134afe0 (__TEXT,__const) non-external _c_11000.1170
00007ff90134d950 (__TEXT,__const) non-external _c_11000.1230
00007ff90134aef0 (__TEXT,__const) non-external _c_120
00007ff90134afd0 (__TEXT,__const) non-external _c_1_ov_sqrt_pi
00007ff90134b030 (__TEXT,__const) non-external _c_1_plus_eps
00007ff90134b010 (__TEXT,__const) non-external _c_1e34
