0000000182cbb2a8 (__DATA,__data) non-external _C
0000000182cbba38 (__DATA,__data) non-external _numempty
0000000180b8c8f0 (__TEXT,__const) non-external _nv
0000000180b44ebc (__TEXT,__text) external _nvis
0000000180b659cc (__TEXT,__text) external _offtime
0000000180c98f78 (__DATA_CONST,__const) non-external _okshells
                 (undefined) external _open$NOCANCEL (from libsystem_kernel)
                 (undefined) external _open_dprotected_np (from libsystem_kernel)
0000000180b4ec80 (__TEXT,__text) external _open_memstream
0000000180b2c1c0 (__TEXT,__text) external _open_with_subsystem
0000000180b6364c (__TEXT,__text) external _open_wmemstream
                 (undefined) external _openat$NOCANCEL (from libsystem_kernel)
0000000180b40970 (__TEXT,__text) external _opendir
0000000180b40fa0 (__TEXT,__text) non-external _opendir_compar
0000000182cc7da0 (__DATA,__common) external _optarg
0000000182cbbfd8 (__DATA,__data) external _opterr
0000000182cbbfdc (__DATA,__data) external _optind
0000000182cc7d9c (__DATA,__common) external _optopt
0000000182cc7d98 (__DATA,__common) external _optreset
                 (undefined) external _os_unfair_lock_lock (from libsystem_platform)
                 (undefined) external _os_unfair_lock_lock_with_options (from libsystem_platform)
                 (undefined) external _os_unfair_lock_unlock (from libsystem_platform)
0000000180b239f8 (__TEXT,__text) non-external _overflow
0000000182cbcff0 (__DATA,__bss) non-external _p5s
0000000180b8ce2d (__TEXT,__const) non-external _padchar
0000000182cbce2a (__DATA,__bss) non-external _parse_error
0000000180b6e70c (__TEXT,__text) non-external _parse_long_options
0000000182cbce28 (__DATA,__bss) non-external _parsed
                 (undefined) external _pathconf (from libsystem_kernel)
0000000180b87a40 (__TEXT,__text) external _pause
0000000180b40fb4 (__TEXT,__text) external _pause$NOCANCEL
0000000180b413e8 (__TEXT,__text) external _pclose
0000000180b6e66c (__TEXT,__text) non-external _permute_args
0000000180b8a844 (__TEXT,__text) external _perror
0000000182cbd068 (__DATA,__bss) non-external _pfp
                 (undefined) external _pipe (from libsystem_kernel)
0000000182cbbff8 (__DATA,__data) non-external _place
0000000180b40fec (__TEXT,__text) external _popen
0000000180b88070 (__TEXT,__text) external _popen$DARWIN_EXTSN
0000000180b65f04 (__TEXT,__text) external _posix2time
0000000180b75aa4 (__TEXT,__text) external _posix_openpt
                 (undefined) external _posix_spawn (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_addclose (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_adddup2 (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_addinherit_np (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_destroy (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_init (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_destroy (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_init (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_setflags (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_setsigdefault (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_setsigmask (from libsystem_kernel)
0000000180b2e6c4 (__TEXT,__text) external _posix_spawnp
0000000180b8c408 (__TEXT,__const) non-external _powersOf10_CoarseBinary64
0000000180b8bfe0 (__TEXT,__const) non-external _powersOf10_Float
0000000180b8bed0 (__TEXT,__const) non-external _powersOfFive
                 (undefined) external _pread$NOCANCEL (from libsystem_kernel)
0000000180b569f8 (__TEXT,__text) external _printf
0000000180b56a54 (__TEXT,__text) external _printf_l
0000000180b3d884 (__TEXT,__text) non-external _printfmt
                 (undefined) external _proc_name (from libsystem_kernel)
0000000180b4153c (__TEXT,__text) external _psignal
                 (undefined) external _pthread_fchdir_np (from libsystem_pthread)
                 (undefined) external _pthread_get_stackaddr_np (from libsystem_pthread)
                 (undefined) external _pthread_get_stacksize_np (from libsystem_pthread)
                 (undefined) external _pthread_getspecific (from libsystem_pthread)
                 (undefined) external _pthread_key_create (from libsystem_pthread)
                 (undefined) external _pthread_key_init_np (from libsystem_pthread)
                 (undefined) external _pthread_kill (from libsystem_pthread)
                 (undefined) external _pthread_mutex_destroy (from libsystem_pthread)
                 (undefined) external _pthread_mutex_lock (from libsystem_pthread)
                 (undefined) external _pthread_mutex_trylock (from libsystem_pthread)
                 (undefined) external _pthread_mutex_unlock (from libsystem_pthread)
                 (undefined) external _pthread_once (from libsystem_pthread)
                 (undefined) external _pthread_rwlock_destroy (from libsystem_pthread)
                 (undefined) external _pthread_rwlock_rdlock (from libsystem_pthread)
                 (undefined) external _pthread_rwlock_unlock (from libsystem_pthread)
                 (undefined) external _pthread_rwlock_wrlock (from libsystem_pthread)
                 (undefined) external _pthread_self (from libsystem_pthread)
                 (undefined) external _pthread_setspecific (from libsystem_pthread)
                 (undefined) external _pthread_sigmask (from libsystem_pthread)
                 (undefined) external _pthread_stack_frame_decode_np (from libsystem_pthread)
                 (undefined) external _pthread_testcancel (from libsystem_pthread)
0000000180b75adc (__TEXT,__text) external _ptsname
0000000180b8ad58 (__TEXT,__text) non-external _ptsname.cold.1
0000000180b8ad90 (__TEXT,__text) non-external _ptsname.cold.2
0000000180b89938 (__TEXT,__text) non-external _ptsname.cold.3
0000000182cc7c88 (__DATA,__bss) non-external _ptsname_buffer_specific_key
0000000182cc7c80 (__DATA,__bss) non-external _ptsname_once
0000000180b75b78 (__TEXT,__text) non-external _ptsname_once_init
0000000180b8ad90 (__TEXT,__text) non-external _ptsname_once_init.cold.1
0000000180b75bb4 (__TEXT,__text) external _ptsname_r
0000000180b56a94 (__TEXT,__text) external _putc
0000000180b56b20 (__TEXT,__text) external _putc_unlocked
0000000180b56b64 (__TEXT,__text) external _putchar
0000000180b56bf8 (__TEXT,__text) external _putchar_unlocked
0000000180b6fc0c (__TEXT,__text) external _putenv
0000000180b56c48 (__TEXT,__text) external _puts
0000000180b56d7c (__TEXT,__text) external _putw
0000000180b56dec (__TEXT,__text) external _putwc
0000000180b56e10 (__TEXT,__text) external _putwc_l
0000000180b56e14 (__TEXT,__text) external _putwchar
0000000180b56e44 (__TEXT,__text) external _putwchar_l
                 (undefined) external _pwrite$NOCANCEL (from libsystem_kernel)
0000000180b6fca8 (__TEXT,__text) external _qsort
0000000180b761bc (__TEXT,__text) external _qsort_b
0000000180b70774 (__TEXT,__text) external _qsort_r
0000000180b2be6c (__TEXT,__text) external _querylocale
0000000180b8c548 (__TEXT,__const) non-external _querylocale_mapping
0000000180b7ba0c (__TEXT,__text) external _quick_exit
0000000180b718e8 (__TEXT,__text) non-external _r_sort_a
0000000182cc7c54 (__DATA,__bss) non-external _r_sort_a.bmin
0000000182cc7c48 (__DATA,__bss) non-external _r_sort_a.count
0000000182cc7c50 (__DATA,__bss) non-external _r_sort_a.nc
0000000182cc7c58 (__DATA,__bss) non-external _r_sort_a_count
0000000180b723c4 (__TEXT,__text) non-external _r_sort_b
0000000182cc7c74 (__DATA,__bss) non-external _r_sort_b.bmin
0000000182cc7c68 (__DATA,__bss) non-external _r_sort_b.count
0000000182cc7c70 (__DATA,__bss) non-external _r_sort_b.nc
0000000182cc7c60 (__DATA,__bss) non-external _r_sort_b_count
0000000180b72748 (__TEXT,__text) non-external _r_sort_count_allocate
0000000182cbc008 (__DATA,__data) non-external _r_sort_count_control
0000000180b7130c (__TEXT,__text) external _radixsort
0000000180b2da10 (__TEXT,__text) external _raise
0000000180b7280c (__TEXT,__text) external _rand
0000000182cbc02c (__DATA,__data) non-external _rand_deg
0000000180b727a4 (__TEXT,__text) external _rand_r
0000000182cbc030 (__DATA,__data) non-external _rand_sep
0000000182cbc028 (__DATA,__data) non-external _rand_type
0000000180b729f8 (__TEXT,__text) external _random
0000000182cbc050 (__DATA,__data) non-external _randtbl
0000000180b3e0ac (__TEXT,__text) non-external (was a private external) _rangematch
0000000180b7cfbc (__TEXT,__text) external _rb_tree_count
0000000180b7c95c (__TEXT,__text) external _rb_tree_find_node
0000000180b7c9cc (__TEXT,__text) external _rb_tree_find_node_geq
0000000180b7ca58 (__TEXT,__text) external _rb_tree_find_node_leq
0000000180b7c94c (__TEXT,__text) external _rb_tree_init
0000000180b7cae4 (__TEXT,__text) external _rb_tree_insert_node
0000000180b7cf3c (__TEXT,__text) external _rb_tree_iterate
0000000180b7d060 (__TEXT,__text) non-external _rb_tree_removal_rebalance
0000000180b7ccc4 (__TEXT,__text) external _rb_tree_remove_node
0000000180b7cfc8 (__TEXT,__text) non-external _rb_tree_reparent_nodes
0000000180b8d2e8 (__TEXT,__const) non-external _rcsid
0000000180b8d372 (__TEXT,__const) non-external _rcsid
                 (undefined) external _read$NOCANCEL (from libsystem_kernel)
0000000180b4178c (__TEXT,__text) external _readdir
0000000180b417d0 (__TEXT,__text) external _readdir_r
                 (undefined) external _readlink (from libsystem_kernel)
                 (undefined) external _reallocarray$DARWIN_EXTSN (from libsystem_malloc)
                 (undefined) external _reallocf (from libsystem_malloc)
0000000180b72dd8 (__TEXT,__text) external _realpath
0000000180b887b4 (__TEXT,__text) external _realpath$DARWIN_EXTSN
0000000182cc7ca8 (__DATA,__bss) non-external _realpath$DARWIN_EXTSN.rootdev
0000000182cc7cac (__DATA,__bss) non-external _realpath$DARWIN_EXTSN.rootdev_inited
0000000182cc7c78 (__DATA,__bss) non-external _realpath.rootdev
0000000182cc7c7c (__DATA,__bss) non-external _realpath.rootdev_inited
0000000180b37774 (__TEXT,__text) non-external _rec_rdelete
0000000180b8d18c (__TEXT,__const) non-external _recargchar
0000000180b8d1f5 (__TEXT,__const) non-external _recargstring
0000000180b87dbc (__TEXT,__text) external _recv
0000000180b4f264 (__TEXT,__text) external _recv$NOCANCEL
0000000180b7d410 (__TEXT,__text) external _regcomp
0000000180b7d388 (__TEXT,__text) external _regcomp_l
0000000180b8a9fc (__TEXT,__text) external _regerror
0000000180b7db54 (__TEXT,__text) external _regexec
0000000180b7d578 (__TEXT,__text) external _regfree
0000000180b2cfec (__TEXT,__text) external _register_printf_domain_function
0000000180b2d0f8 (__TEXT,__text) non-external (was a private external) _register_printf_domain_render
0000000180b2d204 (__TEXT,__text) external _register_printf_domain_render_std
0000000180b7d364 (__TEXT,__text) external _regncomp
0000000180b7d1bc (__TEXT,__text) external _regncomp_l
0000000180b7d954 (__TEXT,__text) external _regnexec
0000000180b7d500 (__TEXT,__text) external _regwcomp
0000000180b7d480 (__TEXT,__text) external _regwcomp_l
0000000180b7db98 (__TEXT,__text) external _regwexec
0000000180b7d45c (__TEXT,__text) external _regwncomp
0000000180b7d434 (__TEXT,__text) external _regwncomp_l
0000000180b7db68 (__TEXT,__text) external _regwnexec
0000000180b570bc (__TEXT,__text) external _remove
0000000180b73518 (__TEXT,__text) external _remque
0000000180c998c8 (__DATA_CONST,__const) non-external _rerrs
0000000180b57130 (__TEXT,__text) external _rewind
0000000180b41888 (__TEXT,__text) external _rewinddir
0000000180b69b10 (__TEXT,__text) external _rindex
                 (undefined) external _rmdir (from libsystem_kernel)
0000000182cbcff8 (__DATA,__bss) non-external _rng
0000000180b54908 (__TEXT,__text) external _rpmatch
0000000182cbc040 (__DATA,__data) non-external _rptr
0000000180b53930 (__TEXT,__text) non-external _sappend
0000000182cbd1e0 (__DATA,__bss) non-external _saved_categories
0000000180b2199c (__TEXT,__text) external _sbrk
0000000182cbce08 (__DATA,__bss) non-external _sbrk_curbrk
0000000182cbce00 (__DATA,__bss) non-external _sbrk_needs_init
0000000182cbabe0 (__DATA,__data) non-external _sbrk_region_size
0000000180b41908 (__TEXT,__text) external _scandir
0000000180b77c08 (__TEXT,__text) external _scandir_b
0000000180b5720c (__TEXT,__text) external _scanf
0000000180b5728c (__TEXT,__text) external _scanf_l
0000000180b8c870 (__TEXT,__const) non-external _sccsid
0000000180b8c8a0 (__TEXT,__const) non-external _sccsid
0000000180b41b1c (__TEXT,__text) external _seed48
0000000182cbd09c (__DATA,__bss) non-external _seed48.sseed
0000000180b41b84 (__TEXT,__text) external _seekdir
                 (undefined) external _select$NOCANCEL (from libsystem_kernel)
                 (undefined) external _semaphore_create (from libsystem_kernel)
0000000180b87dc8 (__TEXT,__text) external _send
0000000180b4f270 (__TEXT,__text) external _send$NOCANCEL
0000000180b8d2b4 (__TEXT,__const) non-external _seps
0000000182cbce88 (__DATA,__bss) non-external _seq
                 (undefined) external _setattrlist (from libsystem_kernel)
0000000180b5731c (__TEXT,__text) external _setbuf
0000000180b57330 (__TEXT,__text) external _setbuffer
0000000180b73e34 (__TEXT,__text) external _setenv
0000000180b2f07c (__TEXT,__text) external _sethostid
0000000180b41bd0 (__TEXT,__text) external _sethostname
                 (undefined) external _setitimer (from libsystem_kernel)
0000000180b57348 (__TEXT,__text) external _setlinebuf
0000000180b4b3ec (__TEXT,__text) external _setlocale
0000000180b41d5c (__TEXT,__text) external _setmode
                 (undefined) external _setpgid (from libsystem_kernel)
0000000180b2f0f0 (__TEXT,__text) external _setpgrp
                 (undefined) external _setpriority (from libsystem_kernel)
0000000180b4244c (__TEXT,__text) external _setprogname
                 (undefined) external _setregid (from libsystem_kernel)
                 (undefined) external _setreuid (from libsystem_kernel)
0000000180b2f134 (__TEXT,__text) external _setrgid
                 (undefined) external _setrlimit (from libsystem_kernel)
0000000180b2f13c (__TEXT,__text) external _setruid
                 (undefined) external _setsid (from libsystem_kernel)
0000000180b72d14 (__TEXT,__text) external _setstate
0000000180b2e9b0 (__TEXT,__text) external _settimeofday
0000000180b275a8 (__TEXT,__text) external _setttyent
0000000180b64d64 (__TEXT,__text) non-external _settzname
0000000180b280f0 (__TEXT,__text) external _setusershell
0000000180b57358 (__TEXT,__text) external _setvbuf
0000000180b5039c (__TEXT,__text) non-external _sflush_locked
0000000182cbcf00 (__DATA,__bss) non-external _shells
0000000180b24098 (__TEXT,__text) non-external _shiftLeftMP
0000000180b23e6c (__TEXT,__text) non-external _shiftRightMPWithRounding
0000000182cbbf88 (__DATA,__data) non-external _sig_init_once
0000000182cc7c10 (__DATA,__bss) non-external _sig_key
0000000180b6a97c (__TEXT,__text) non-external _sig_keycreate
0000000182cc7c08 (__DATA,__bss) non-external _sig_keycreated
0000000180b2ea4c (__TEXT,__text) external _sigaction
0000000180b28924 (__TEXT,__text) external _sigaddset
0000000180b21000 (__TEXT,__text) external _sigaltstack
0000000180b210f0 (__TEXT,__text) external _sigblock
0000000180b28984 (__TEXT,__text) external _sigdelset
0000000180b28908 (__TEXT,__text) external _sigemptyset
0000000180b28914 (__TEXT,__text) external _sigfillset
0000000180b211cc (__TEXT,__text) external _sighold
0000000180b21284 (__TEXT,__text) external _sigignore
0000000180b424f8 (__TEXT,__text) external _siginterrupt
0000000180b289e4 (__TEXT,__text) external _sigismember
0000000180b425a8 (__TEXT,__text) external _signal
0000000180b425b0 (__TEXT,__text) non-external _signal__
0000000180b878c0 (__TEXT,__text) external _sigpause
0000000180b21130 (__TEXT,__text) external _sigpause$NOCANCEL
                 (undefined) external _sigprocmask (from libsystem_kernel)
0000000180b21228 (__TEXT,__text) external _sigrelse
0000000180b212f0 (__TEXT,__text) external _sigset
0000000180b210b0 (__TEXT,__text) external _sigsetmask
                 (undefined) external _sigsuspend (from libsystem_kernel)
                 (undefined) external _sigsuspend$NOCANCEL (from libsystem_kernel)
0000000180b21044 (__TEXT,__text) external _sigvec
0000000180b2104c (__TEXT,__text) non-external _sigvec__
0000000180b27d78 (__TEXT,__text) non-external _skip
0000000180b4279c (__TEXT,__text) external _sl_add
0000000180b42884 (__TEXT,__text) external _sl_find
0000000180b4280c (__TEXT,__text) external _sl_free
0000000180b42728 (__TEXT,__text) external _sl_init
0000000180b8a4a0 (__TEXT,__text) non-external _sl_init.cold.1
0000000180b8a4a0 (__TEXT,__text) non-external _sl_init.cold.2
0000000182cbd078 (__DATA,__bss) non-external _slash
0000000180b87a78 (__TEXT,__text) external _sleep
0000000180b42658 (__TEXT,__text) external _sleep$NOCANCEL
0000000182cbce80 (__DATA,__bss) non-external _slot
0000000180b575dc (__TEXT,__text) external _snprintf
0000000180b5762c (__TEXT,__text) external _snprintf_l
0000000180b44c84 (__TEXT,__text) external _snvis
0000000180b4f27c (__TEXT,__text) external _sockatmark
                 (undefined) external _socket (from libsystem_kernel)
                 (undefined) external _socketpair (from libsystem_kernel)
0000000180b57658 (__TEXT,__text) external _sprintf
0000000180b576a8 (__TEXT,__text) external _sprintf_l
0000000180b71ce8 (__TEXT,__text) external _sradixsort
0000000180b72874 (__TEXT,__text) external _srand
0000000180b426e8 (__TEXT,__text) external _srand48
0000000180b72884 (__TEXT,__text) external _sranddev
0000000180b72914 (__TEXT,__text) external _srandom
0000000180b72ab8 (__TEXT,__text) external _srandomdev
0000000180b576d4 (__TEXT,__text) external _sscanf
0000000180b57724 (__TEXT,__text) external _sscanf_l
                 (undefined) external _stat (from libsystem_kernel)
0000000180b2c348 (__TEXT,__text) external _stat_with_subsystem
0000000182cbc020 (__DATA,__data) non-external _state
                 (undefined) external _statfs (from libsystem_kernel)
0000000180b243c0 (__TEXT,__text) external _statvfs
0000000180b2ea54 (__TEXT,__text) external _stpcpy
0000000180b2eaa0 (__TEXT,__text) external _stpncpy
0000000180b44f90 (__TEXT,__text) external _stravis
0000000180b69c40 (__TEXT,__text) external _strcasecmp
0000000180b69b38 (__TEXT,__text) external _strcasecmp_l
0000000180b69eac (__TEXT,__text) external _strcasestr
0000000180b69db8 (__TEXT,__text) external _strcasestr_l
0000000180b2eb28 (__TEXT,__text) external _strcat
                 (indirect) external _strchr (for __platform_strchr)
0000000180b69ed0 (__TEXT,__text) external _strchrnul
                 (indirect) external _strcmp (for __platform_strcmp)
0000000180b6a114 (__TEXT,__text) external _strcoll
0000000180b6a008 (__TEXT,__text) external _strcoll_l
                 (indirect) external _strcpy (for __platform_strcpy)
0000000180b6a138 (__TEXT,__text) external _strcspn
0000000180b6a1f4 (__TEXT,__text) external _strdup
0000000180b45028 (__TEXT,__text) external _strenvisx
0000000180b6a3b0 (__TEXT,__text) external _strerror
0000000180b6a338 (__TEXT,__text) external _strerror_r
0000000180b7ba4c (__TEXT,__text) external _strfmon
0000000180b7c6f0 (__TEXT,__text) external _strfmon_l
0000000180b67da4 (__TEXT,__text) external _strftime
0000000180b66de4 (__TEXT,__text) external _strftime_l
0000000182cbcf08 (__DATA,__bss) non-external _strings
                 (indirect) external _strlcat (for __platform_strlcat)
                 (indirect) external _strlcpy (for __platform_strlcpy)
                 (indirect) external _strlen (for __platform_strlen)
0000000180b6a444 (__TEXT,__text) external _strmode
0000000180b69d94 (__TEXT,__text) external _strncasecmp
0000000180b69c64 (__TEXT,__text) external _strncasecmp_l
0000000180b2eb7c (__TEXT,__text) external _strncat
                 (indirect) external _strncmp (for __platform_strncmp)
                 (indirect) external _strncpy (for __platform_strncpy)
0000000180b6a588 (__TEXT,__text) external _strndup
                 (indirect) external _strnlen (for __platform_strnlen)
0000000180b6a600 (__TEXT,__text) external _strnstr
0000000180b4455c (__TEXT,__text) external _strnunvis
0000000180b44400 (__TEXT,__text) external _strnunvisx
0000000180b8a514 (__TEXT,__text) non-external _strnunvisx.cold.1
0000000180b8a540 (__TEXT,__text) non-external _strnunvisx.cold.2
0000000180b44f5c (__TEXT,__text) external _strnvis
0000000180b44ff0 (__TEXT,__text) external _strnvisx
0000000180b6a69c (__TEXT,__text) external _strpbrk
0000000180b67fa0 (__TEXT,__text) external _strptime
0000000180b67fc4 (__TEXT,__text) external _strptime_l
0000000180b6a6d4 (__TEXT,__text) external _strrchr
0000000180b44e34 (__TEXT,__text) external _strsenvisx
0000000180b6a6fc (__TEXT,__text) external _strsep
0000000180b6a8a0 (__TEXT,__text) external _strsignal
0000000180b6a74c (__TEXT,__text) external _strsignal_r
0000000180b44d98 (__TEXT,__text) external _strsnvis
0000000180b44e04 (__TEXT,__text) external _strsnvisx
0000000180b6a9c0 (__TEXT,__text) external _strspn
                 (indirect) external _strstr (for __platform_strstr)
0000000180b44ce0 (__TEXT,__text) external _strsvis
0000000180b44dc4 (__TEXT,__text) external _strsvisx
0000000180b2237c (__TEXT,__text) external _strtod
0000000180b223d0 (__TEXT,__text) external _strtod_l
0000000180b21af8 (__TEXT,__text) external _strtoencf16
0000000180b21bcc (__TEXT,__text) external _strtoencf32
0000000180b21f24 (__TEXT,__text) external _strtoencf64
0000000180b22358 (__TEXT,__text) external _strtoencf64x
0000000180b21e98 (__TEXT,__text) external _strtof
0000000180b21eec (__TEXT,__text) external _strtof_l
0000000180b28ae8 (__TEXT,__text) external _strtofflags
0000000180b747d8 (__TEXT,__text) external _strtoimax
0000000180b7456c (__TEXT,__text) external _strtoimax_l
0000000180b6aafc (__TEXT,__text) external _strtok
0000000182cc7c18 (__DATA,__bss) non-external _strtok.last
0000000180b6aa78 (__TEXT,__text) external _strtok_r
0000000180b74a68 (__TEXT,__text) external _strtol
0000000180b747fc (__TEXT,__text) external _strtol_l
0000000180b22408 (__TEXT,__text) external _strtold
0000000180b2245c (__TEXT,__text) external _strtold_l
0000000180b74cf8 (__TEXT,__text) external _strtoll
0000000180b74a8c (__TEXT,__text) external _strtoll_l
0000000180b51d1c (__TEXT,__text) external _strtonum
0000000180b74d1c (__TEXT,__text) external _strtoq
0000000180b74d40 (__TEXT,__text) external _strtoq_l
0000000180b74fa4 (__TEXT,__text) external _strtoul
0000000180b74d44 (__TEXT,__text) external _strtoul_l
0000000180b75228 (__TEXT,__text) external _strtoull
0000000180b74fc8 (__TEXT,__text) external _strtoull_l
0000000180b754ac (__TEXT,__text) external _strtoumax
0000000180b7524c (__TEXT,__text) external _strtoumax_l
0000000180b754d0 (__TEXT,__text) external _strtouq
0000000180b754f4 (__TEXT,__text) external _strtouq_l
0000000180b4454c (__TEXT,__text) external _strunvis
0000000180b4453c (__TEXT,__text) external _strunvisx
0000000180b44f20 (__TEXT,__text) external _strvis
0000000180b44fac (__TEXT,__text) external _strvisx
0000000180b6ab08 (__TEXT,__text) external _strxfrm
0000000180b6ab2c (__TEXT,__text) external _strxfrm_l
0000000182cc7da8 (__DATA,__common) external _suboptarg
0000000182cbcf10 (__DATA,__bss) non-external _subsystem_root_path
0000000180b4461c (__TEXT,__text) external _svis
0000000180b6ac7c (__TEXT,__text) external _swab
0000000180b579fc (__TEXT,__text) external _swprintf
0000000180b57a4c (__TEXT,__text) external _swprintf_l
0000000180b57a78 (__TEXT,__text) external _swscanf
0000000180b57ac8 (__TEXT,__text) external _swscanf_l
0000000180b2c9f4 (__TEXT,__text) external _sxprintf
0000000180b2d410 (__TEXT,__text) external _sxprintf_exec
0000000180b2ebe4 (__TEXT,__text) external _sync_volume_np
0000000180b8d143 (__TEXT,__const) non-external _syntax_error_str
0000000180c98bd8 (__DATA_CONST,__const) external _sys_errlist
0000000180b8c518 (__TEXT,__const) external _sys_nerr
0000000180c992e8 (__DATA_CONST,__const) external _sys_siglist
0000000180c991e8 (__DATA_CONST,__const) external _sys_signame
0000000180b428e0 (__TEXT,__text) external _sysconf
0000000180b42fb0 (__TEXT,__text) external _sysctl
0000000180b431d0 (__TEXT,__text) external _sysctlbyname
0000000180b432a0 (__TEXT,__text) external _sysctlnametomib
0000000180b87dd4 (__TEXT,__text) external _system
0000000180b754f8 (__TEXT,__text) external _system$NOCANCEL
0000000180b87b08 (__TEXT,__text) external _tcdrain
0000000180b43814 (__TEXT,__text) external _tcdrain$NOCANCEL
0000000180b438b4 (__TEXT,__text) external _tcflow
0000000180b43840 (__TEXT,__text) external _tcflush
0000000180b43548 (__TEXT,__text) external _tcgetattr
0000000180b436b4 (__TEXT,__text) external _tcgetpgrp
0000000180b2e26c (__TEXT,__text) external _tcgetsid
0000000180b4378c (__TEXT,__text) external _tcsendbreak
0000000180b43574 (__TEXT,__text) external _tcsetattr
0000000180b4365c (__TEXT,__text) external _tcsetpgrp
0000000180b75790 (__TEXT,__text) external _tdelete
0000000180b43348 (__TEXT,__text) external _telldir
0000000180b57af4 (__TEXT,__text) external _tempnam
0000000182cbce78 (__DATA,__bss) non-external _tf
0000000180b75888 (__TEXT,__text) external _tfind
0000000180b29068 (__TEXT,__text) external _thread_stack_async_pcs
0000000180b29044 (__TEXT,__text) external _thread_stack_pcs
0000000182cbacd0 (__DATA,__data) non-external _threadsafe
0000000180b43958 (__TEXT,__text) external _time
0000000180b65d1c (__TEXT,__text) non-external _time2
0000000180b65e90 (__TEXT,__text) external _time2posix
0000000180b6678c (__TEXT,__text) non-external _time2sub
0000000180b65e40 (__TEXT,__text) external _timegm
0000000180b65e30 (__TEXT,__text) external _timelocal
0000000180b65e68 (__TEXT,__text) external _timeoff
0000000180b439bc (__TEXT,__text) external _times
0000000180b76834 (__TEXT,__text) external _timespec_get
0000000180b651e4 (__TEXT,__text) non-external _timesub
0000000182cc7cc0 (__DATA,__common) external _timezone
0000000180b38c20 (__TEXT,__text) external _timingsafe_bcmp
0000000182cc3448 (__DATA,__bss) non-external _tm
0000000180b66d70 (__TEXT,__text) non-external _tmcomp
0000000180b57d60 (__TEXT,__text) external _tmpfile
0000000180b57eac (__TEXT,__text) external _tmpnam
0000000182cbeb58 (__DATA,__bss) non-external _tmpnam.tmpcount
0000000182cbeb60 (__DATA,__bss) non-external _tmpnam_buf
0000000180b57fbc (__TEXT,__text) non-external _tmpnam_buf_allocate
0000000182cbbe30 (__DATA,__data) non-external _tmpnam_buf_control
0000000180b8c560 (__TEXT,__const) non-external _tmundef
0000000180b29794 (__TEXT,__text) external _toascii
0000000180b2979c (__TEXT,__text) external _tolower
0000000180b2a3c4 (__TEXT,__text) external _tolower_l
0000000182cbd050 (__DATA,__bss) non-external _toprec
0000000182cbd058 (__DATA,__bss) non-external _topreclen
0000000180b297dc (__TEXT,__text) external _toupper
0000000180b2a3e4 (__TEXT,__text) external _toupper_l
0000000180b4e984 (__TEXT,__text) external _towctrans
0000000180b4e8a4 (__TEXT,__text) external _towctrans_l
0000000180b2a8d8 (__TEXT,__text) external _towlower
0000000180b2aef4 (__TEXT,__text) external _towlower_l
0000000180b2a918 (__TEXT,__text) external _towupper
0000000180b2af14 (__TEXT,__text) external _towupper_l
0000000180b66424 (__TEXT,__text) non-external _transtime
0000000180b80db0 (__TEXT,__text) non-external _tre_add_tag_left
0000000180b80cec (__TEXT,__text) non-external _tre_add_tag_right
0000000180b7e4dc (__TEXT,__text) non-external _tre_add_tags
0000000180b7dd50 (__TEXT,__text) external _tre_ast_new_catenation
0000000180b7dca0 (__TEXT,__text) external _tre_ast_new_iter
0000000180b7dc54 (__TEXT,__text) external _tre_ast_new_literal
0000000180b7dbcc (__TEXT,__text) external _tre_ast_new_node
0000000180b7dd04 (__TEXT,__text) external _tre_ast_new_union
0000000180b808f4 (__TEXT,__text) non-external _tre_ast_to_tnfa
0000000180b7dd9c (__TEXT,__text) external _tre_compile
0000000180b80244 (__TEXT,__text) non-external _tre_compute_nfl
0000000180b80e74 (__TEXT,__text) non-external _tre_copy_ast
0000000180b7fd40 (__TEXT,__text) non-external _tre_expand_ast
0000000180b87504 (__TEXT,__text) non-external _tre_expand_macro
0000000180b7d57c (__TEXT,__text) external _tre_fill_pmatch
0000000180b809ec (__TEXT,__text) external _tre_free
0000000180c9a090 (__DATA_CONST,__const) non-external _tre_macros
0000000180b81804 (__TEXT,__text) non-external _tre_make_trans
0000000180b7d998 (__TEXT,__text) non-external _tre_match
0000000180b815f8 (__TEXT,__text) non-external _tre_match_empty
0000000180b855c4 (__TEXT,__text) external _tre_mem_alloc_impl
0000000180b85564 (__TEXT,__text) external _tre_mem_destroy
0000000180b85530 (__TEXT,__text) external _tre_mem_new_impl
0000000180b80b54 (__TEXT,__text) non-external _tre_merge_branches
0000000180b87630 (__TEXT,__text) non-external _tre_new_item
0000000180b856f4 (__TEXT,__text) external _tre_parse
0000000180b872fc (__TEXT,__text) non-external _tre_parse_bound
0000000180b7d784 (__TEXT,__text) non-external _tre_reset_last_matched_branches
