00000002265c04a8 (__TEXT,__text) non-external _DiToMD5
00000002265b11e4 (__TEXT,__text) external __ZThn48_NK7OSArray8getCountEv
00000002949c4c70 (__DATA,__bss) non-external __ZZL13noChannelNamevE4name
00000002949c4c78 (__DATA,__bss) non-external __ZZL13noChannelNamevE4once
                 (undefined) external __ZdlPvSt19__type_descriptor_t (from libc++)
                 (undefined) external __ZnwmSt19__type_descriptor_t (from libc++)
00000002265a4c38 (__TEXT,__text) non-external ___IOUserServerMain_block_invoke
00000002265a4cd4 (__TEXT,__text) non-external ___IOUserServerMain_block_invoke_2
00000002265a4d6c (__TEXT,__text) non-external ___IOUserServerMain_block_invoke_3
00000002265d347c (__TEXT,__text) non-external ___IOUserServerMain_block_invoke_3.cold.1
00000002265d34a8 (__TEXT,__text) non-external ___IOUserServerMain_block_invoke_3.cold.2
00000002265af210 (__TEXT,__text) non-external ___OSArrayApply_block_invoke
00000002265ae678 (__TEXT,__text) non-external ___OSDictionaryApply_block_invoke
00000002265d41e4 (__TEXT,__text) non-external ___OSDictionaryApply_block_invoke.cold.1
00000002265d4210 (__TEXT,__text) non-external ___OSDictionaryApply_block_invoke.cold.2
00000002265adcdc (__TEXT,__text) non-external ___OSStringCreate_block_invoke
00000002265aff5c (__TEXT,__text) non-external ____Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry_block_invoke
00000002265affdc (__TEXT,__text) non-external ____Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry_block_invoke_2
00000002265b0640 (__TEXT,__text) non-external ____Z19OSObjectLogInternalP8OSObjectj_block_invoke
00000002265b06bc (__TEXT,__text) non-external ____Z19OSObjectLogInternalP8OSObjectj_block_invoke.42
00000002265bd704 (__TEXT,__text) non-external ____ZL13noChannelNamev_block_invoke
00000002265ac754 (__TEXT,__text) non-external ____ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb_block_invoke
00000002265d3e48 (__TEXT,__text) non-external ____ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb_block_invoke.cold.1
00000002265a14cc (__TEXT,__text) non-external ____ZL18isFirstPartyDriverv_block_invoke
00000002265b2b44 (__TEXT,__text) non-external ____ZL19OSArrayContainerizeP7OSArray_block_invoke
00000002265b2c5c (__TEXT,__text) non-external ____ZL20OSArrayInternalApplyP7OSArrayjU13block_pointerFbmP15OSSerialization17OSCollectionEntryE_block_invoke
00000002265b29c4 (__TEXT,__text) non-external ____ZL20OSDictionaryGetEntryP12OSDictionaryP8OSObjectPKcPm_block_invoke
00000002265d47bc (__TEXT,__text) non-external ____ZL20OSDictionaryGetEntryP12OSDictionaryP8OSObjectPKcPm_block_invoke.cold.1
00000002265b2d90 (__TEXT,__text) non-external ____ZL21OSArrayIterateObjectsP7OSArrayjU13block_pointerFbP8OSObjectE_block_invoke
00000002265b2844 (__TEXT,__text) non-external ____ZL24OSDictionaryContainerizeP12OSDictionary_block_invoke
00000002265b2998 (__TEXT,__text) non-external ____ZL25OSDictionaryInternalApplyP12OSDictionaryU13block_pointerFbmP15OSSerialization17OSCollectionEntryS3_E_block_invoke
00000002265b2cc0 (__TEXT,__text) non-external ____ZL26OSDictionaryIterateObjectsP12OSDictionaryU13block_pointerFbP8OSObjectS2_E_block_invoke
00000002265b2ca4 (__TEXT,__text) non-external ____ZL27OSCollectionEntryArrayApplyP15OSSerialization17OSCollectionEntryU13block_pointerFbmS0_S1_E_block_invoke
00000002265acd74 (__TEXT,__text) non-external ____ZL31IOInterruptDispatchSourceThreadPv_block_invoke
00000002265ace44 (__TEXT,__text) non-external ____ZL31IOInterruptDispatchSourceThreadPv_block_invoke_2
00000002265b2c80 (__TEXT,__text) non-external ____ZL32OSCollectionEntryDictionaryApplyP15OSSerialization17OSCollectionEntryU13block_pointerFbmS0_S1_S1_E_block_invoke
00000002265ac780 (__TEXT,__text) non-external ____ZL8LockTesti_block_invoke
00000002265ac7f0 (__TEXT,__text) non-external ____ZL8LockTesti_block_invoke.221
00000002265ac880 (__TEXT,__text) non-external ____ZL8LockTesti_block_invoke.225
00000002265c0298 (__TEXT,__text) non-external ____ZL8deepcopyP12OSDictionary_block_invoke
00000002265bc01c (__TEXT,__text) non-external ____ZN10IOReporter16updateAllReportsEP12OSCollectionP6OSDatajPjyyP18IOMemoryDescriptor_block_invoke
00000002265bbbdc (__TEXT,__text) non-external ____ZN10IOReporter19configureAllReportsEP12OSCollectionP6OSDatajPj_block_invoke
00000002265b0cc0 (__TEXT,__text) non-external ____ZN12OSDictionary5mergeEPKS__block_invoke
00000002265aa904 (__TEXT,__text) non-external ____ZN13IOCommandPool10getCommandEb_block_invoke
00000002265aaa08 (__TEXT,__text) non-external ____ZN13IOCommandPool13returnCommandEP9IOCommand_block_invoke
00000002265d3b30 (__TEXT,__text) non-external ____ZN13IOCommandPool13returnCommandEP9IOCommand_block_invoke.cold.1
00000002265a5888 (__TEXT,__text) non-external ____ZN15IODispatchQueue14DispatchSync_fEPvPFvS0_E_block_invoke
00000002265a55b0 (__TEXT,__text) non-external ____ZN15IODispatchQueue15DispatchAsync_fEPvPFvS0_E_block_invoke
00000002265a5740 (__TEXT,__text) non-external ____ZN15IODispatchQueue20DispatchConcurrent_fEPvPFvS0_E_block_invoke
00000002265a50f0 (__TEXT,__text) non-external ____ZN15IODispatchQueue6CancelEU13block_pointerFvvE_block_invoke
00000002265a5e40 (__TEXT,__text) non-external ____ZN15IODispatchQueue9RunActionEU13block_pointerFivE_block_invoke
00000002265a30bc (__TEXT,__text) non-external ____ZN15OSMetaClassBase6InvokeE5IORPC_block_invoke
00000002265a7fa4 (__TEXT,__text) non-external ____ZN21IOTimerDispatchSource11Cancel_ImplEU13block_pointerFvvE_block_invoke
00000002265a7c18 (__TEXT,__text) non-external ____ZN21IOTimerDispatchSource11Create_ImplEP15IODispatchQueuePPS__block_invoke
00000002265a7d0c (__TEXT,__text) non-external ____ZN21IOTimerDispatchSource11Create_ImplEP15IODispatchQueuePPS__block_invoke_2
00000002265a8268 (__TEXT,__text) non-external ____ZN21IOTimerDispatchSource15WakeAtTime_ImplEyyy_block_invoke
00000002265a65c0 (__TEXT,__text) non-external ____ZN25IOInterruptDispatchSource11Cancel_ImplEU13block_pointerFvvE_block_invoke
00000002265a6268 (__TEXT,__text) non-external ____ZN25IOInterruptDispatchSource28SetEnableWithCompletion_ImplEbU13block_pointerFvvE_block_invoke
00000002265a6a3c (__TEXT,__text) non-external ____ZN35IOServiceNotificationDispatchSource11Cancel_ImplEU13block_pointerFvvE_block_invoke
00000002265a6c1c (__TEXT,__text) non-external ____ZN35IOServiceNotificationDispatchSource20DeliverNotificationsEU13block_pointerFvyP9IOServiceyE_block_invoke
00000002265d3768 (__TEXT,__text) non-external ____ZN35IOServiceNotificationDispatchSource20DeliverNotificationsEU13block_pointerFvyP9IOServiceyE_block_invoke.cold.1
00000002265d3794 (__TEXT,__text) non-external ____ZN35IOServiceNotificationDispatchSource20DeliverNotificationsEU13block_pointerFvyP9IOServiceyE_block_invoke.cold.2
00000002265a6990 (__TEXT,__text) non-external ____ZN35IOServiceNotificationDispatchSource28SetEnableWithCompletion_ImplEbU13block_pointerFvvE_block_invoke
00000002265aae70 (__TEXT,__text) non-external ____ZN40IOServiceStateNotificationDispatchSource11Cancel_ImplEU13block_pointerFvvE_block_invoke
00000002265aadc4 (__TEXT,__text) non-external ____ZN40IOServiceStateNotificationDispatchSource28SetEnableWithCompletion_ImplEbU13block_pointerFvvE_block_invoke
00000002265b1b78 (__TEXT,__text) non-external ____ZN5OSSet5mergeEPK7OSArray_block_invoke
00000002265b1574 (__TEXT,__text) non-external ____ZN7OSArray5mergeEPKS__block_invoke
00000002265a8600 (__TEXT,__text) non-external ____ZN8OSAction6CancelEU13block_pointerFvvE_block_invoke
00000002265adff8 (__TEXT,__text) non-external ____ZN8OSString4freeEv_block_invoke
00000002265a93a4 (__TEXT,__text) non-external ____ZN9IOService9Stop_ImplEPS__block_invoke
00000002265b0f88 (__TEXT,__text) non-external ____ZNK12OSDictionary14iterateObjectsEU13block_pointerFbP8OSObjectE_block_invoke
00000002265b0e64 (__TEXT,__text) non-external ____ZNK12OSDictionary9isEqualToEPKS_PK12OSCollection_block_invoke
00000002265b0d08 (__TEXT,__text) non-external ____ZNK12OSDictionary9isEqualToEPKS__block_invoke
00000002265b17ec (__TEXT,__text) non-external ____ZNK7OSArray20getNextIndexOfObjectEPK15OSMetaClassBasej_block_invoke
00000002265b15c0 (__TEXT,__text) non-external ____ZNK7OSArray9isEqualToEPKS__block_invoke
00000002265d2360 (__TEXT,__text) external ___assert_rtn
000000028fe30fd0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
000000028fe31130 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
000000029aaa8050 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp
000000029aaa95a0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp
000000029aaa9a28 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp
000000029aaa95d0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.1
000000029aaa81d0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.102
000000029aaa8200 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.105
000000029aaa8230 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.111
000000028fe31050 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.120
000000028fe31070 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.121
000000029aaa8260 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.124
000000029aaa8290 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.125
000000029aaa82c0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.129
000000028fe31090 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.140
000000029aaa82f0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.156
000000028fe310b0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.157
000000028fe31150 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.16
000000029aaa8320 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.161
000000029aaa8350 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.164
000000028fe311b0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.166
000000029aaa9450 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.170
000000029aaa9480 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.175
000000028fe311d0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.177
000000029aaa94b0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.181
000000029aaa94e0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.187
000000029aaa9510 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.190
000000029aaa9540 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.194
000000029aaa9570 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.197
000000028fe310d0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.198
000000029aaa87f0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.219
000000029aaa8820 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.224
000000029aaa8850 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.228
000000028fe31258 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.23
000000029aaa8880 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.23
000000028fe310f0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.248
000000028fe31110 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.249
000000029aaa88b0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.27
000000028fe31170 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.33
000000028fe31190 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.34
000000029aaa88e0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.41
000000029aaa8910 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.47
000000029aaa8940 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.56
000000029aaa8970 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.59
000000029aaa89a0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.62
000000029aaa89d0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.65
000000029aaa8a00 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.68
000000029aaa8080 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.71
000000029aaa8a30 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.71
000000029aaa80b0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.74
000000029aaa8a60 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.74
000000029aaa80e0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.77
000000029aaa8a90 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.77
000000029aaa8110 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.80
000000028fe30ff0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.87
000000028fe31010 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.88
000000028fe31030 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.89
000000029aaa8140 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.93
000000029aaa8170 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.96
000000029aaa81a0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.99
000000029aaa8030 (__AUTH_CONST,__const) non-external ___block_literal_global
000000029aaa87d0 (__AUTH_CONST,__const) non-external ___block_literal_global
000000029aaa9750 (__AUTH_CONST,__const) non-external ___block_literal_global
                 (undefined) external ___chkstk_darwin (from libSystem)
00000002265a51c8 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b
00000002265a5e7c (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b40r
00000002265c0370 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32c33_ZTS11OSSharedPtrI12OSDictionaryE
00000002265a82c4 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r
00000002265a3180 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40c28_ZTS11OSSharedPtrI8OSActionE
00000002265a4de8 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r
00000002265bbd04 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r48r
00000002265bc170 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r48r56r64r
                 (undefined) external ___cxa_pure_virtual (from libc++)
00000002265a51d8 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b
00000002265a5ecc (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b40r
00000002265c03a8 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32c33_ZTS11OSSharedPtrI12OSDictionaryE
00000002265a82d4 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r
00000002265a31fc (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40c28_ZTS11OSSharedPtrI8OSActionE
00000002265a4e38 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r
00000002265bbd64 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r48r
00000002265bc1f0 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r48r56r64r
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external __dispatch_queue_attr_concurrent (from libSystem)
                 (undefined) external __dispatch_source_type_timer (from libSystem)
                 (undefined) external __dyld_get_image_header (from libSystem)
                 (undefined) external __dyld_get_image_name (from libSystem)
                 (undefined) external __dyld_image_count (from libSystem)
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_impl (from libSystem)
                 (undefined) external _abort (from libSystem)
00000002265a08b4 (__TEXT,__text) external _absolutetime_to_continuoustime
00000002265a06cc (__TEXT,__text) external _absolutetime_to_nanoseconds
00000002265d2258 (__TEXT,__text) non-external _absolutetime_to_nanoseconds.cold.1
00000002265d2284 (__TEXT,__text) non-external _absolutetime_to_nanoseconds.cold.2
00000002265c0ce8 (__TEXT,__text) external _aes_decrypt
00000002265c1254 (__TEXT,__text) external _aes_decrypt_aad_gcm
00000002265c0c0c (__TEXT,__text) external _aes_decrypt_cbc
00000002265c132c (__TEXT,__text) external _aes_decrypt_finalize_gcm
00000002265c12bc (__TEXT,__text) external _aes_decrypt_gcm
00000002265c13d0 (__TEXT,__text) external _aes_decrypt_get_ctx_size_gcm
00000002265c1200 (__TEXT,__text) external _aes_decrypt_inc_iv_gcm
00000002265c0bac (__TEXT,__text) external _aes_decrypt_key
00000002265d5114 (__TEXT,__text) non-external _aes_decrypt_key.cold.1
00000002265c0d08 (__TEXT,__text) external _aes_decrypt_key128
00000002265c0d20 (__TEXT,__text) external _aes_decrypt_key256
00000002265c1060 (__TEXT,__text) external _aes_decrypt_key_gcm
00000002265c10c8 (__TEXT,__text) external _aes_decrypt_key_with_iv_gcm
00000002265c11b4 (__TEXT,__text) external _aes_decrypt_reset_gcm
00000002265c1138 (__TEXT,__text) external _aes_decrypt_set_iv_gcm
00000002265c0b98 (__TEXT,__text) external _aes_encrypt
00000002265c0f0c (__TEXT,__text) external _aes_encrypt_aad_gcm
00000002265c0abc (__TEXT,__text) external _aes_encrypt_cbc
00000002265c0fe4 (__TEXT,__text) external _aes_encrypt_finalize_gcm
00000002265c0f74 (__TEXT,__text) external _aes_encrypt_gcm
00000002265c13a8 (__TEXT,__text) external _aes_encrypt_get_ctx_size_gcm
00000002265c0eb8 (__TEXT,__text) external _aes_encrypt_inc_iv_gcm
00000002265c0a5c (__TEXT,__text) external _aes_encrypt_key
00000002265d50ec (__TEXT,__text) non-external _aes_encrypt_key.cold.1
00000002265c0cfc (__TEXT,__text) external _aes_encrypt_key128
00000002265c0d14 (__TEXT,__text) external _aes_encrypt_key256
00000002265c0d2c (__TEXT,__text) external _aes_encrypt_key_gcm
00000002265c0d94 (__TEXT,__text) external _aes_encrypt_key_with_iv_gcm
00000002265c0e6c (__TEXT,__text) external _aes_encrypt_reset_gcm
00000002265c0e04 (__TEXT,__text) external _aes_encrypt_set_iv_gcm
                 (undefined) external _arc4random_buf (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _ccaes_cbc_decrypt_mode (from libSystem)
                 (undefined) external _ccaes_cbc_encrypt_mode (from libSystem)
                 (undefined) external _ccaes_gcm_decrypt_mode (from libSystem)
                 (undefined) external _ccaes_gcm_encrypt_mode (from libSystem)
                 (undefined) external _cccbc_init (from libSystem)
                 (undefined) external _cccbc_set_iv (from libSystem)
                 (undefined) external _cccbc_update (from libSystem)
                 (undefined) external _ccdigest_init (from libSystem)
                 (undefined) external _ccdigest_update (from libSystem)
                 (undefined) external _ccgcm_aad (from libSystem)
                 (undefined) external _ccgcm_finalize (from libSystem)
                 (undefined) external _ccgcm_inc_iv (from libSystem)
                 (undefined) external _ccgcm_init (from libSystem)
                 (undefined) external _ccgcm_init_with_iv (from libSystem)
                 (undefined) external _ccgcm_reset (from libSystem)
                 (undefined) external _ccgcm_set_iv (from libSystem)
                 (undefined) external _ccgcm_update (from libSystem)
                 (undefined) external _ccmd5_di (from libSystem)
                 (undefined) external _ccsha1_di (from libSystem)
                 (undefined) external _ccsha256_di (from libSystem)
                 (undefined) external _ccsha384_di (from libSystem)
                 (undefined) external _ccsha512_di (from libSystem)
00000002265a079c (__TEXT,__text) external _clock_get_calendar_microtime
00000002265d22dc (__TEXT,__text) non-external _clock_get_calendar_microtime.cold.1
00000002265a0750 (__TEXT,__text) external _clock_get_calendar_nanotime
00000002265d22b0 (__TEXT,__text) non-external _clock_get_calendar_nanotime.cold.1
00000002265a0804 (__TEXT,__text) external _clock_get_system_nanotime
00000002265d2308 (__TEXT,__text) non-external _clock_get_system_nanotime.cold.1
                 (undefined) external _clock_gettime (from libSystem)
                 (undefined) external _clock_gettime_nsec_np (from libSystem)
00000002265a0850 (__TEXT,__text) external _clock_interval_to_deadline
                 (undefined) external _close (from libSystem)
00000002265a089c (__TEXT,__text) external _continuoustime_to_absolutetime
000000022659fc8c (__TEXT,__text) external _crc32
                 (undefined) external _csops (from libSystem)
                 (undefined) external _dispatch_activate (from libSystem)
                 (undefined) external _dispatch_async (from libSystem)
                 (undefined) external _dispatch_async_f (from libSystem)
                 (undefined) external _dispatch_get_specific (from libSystem)
                 (undefined) external _dispatch_group_async (from libSystem)
                 (undefined) external _dispatch_group_create (from libSystem)
                 (undefined) external _dispatch_group_wait (from libSystem)
                 (undefined) external _dispatch_mach_cancel (from libSystem)
                 (undefined) external _dispatch_mach_connect (from libSystem)
                 (undefined) external _dispatch_mach_create_f (from libSystem)
                 (undefined) external _dispatch_mach_msg_get_msg (from libSystem)
                 (undefined) external _dispatch_main (from libSystem)
                 (undefined) external _dispatch_once (from libSystem)
                 (undefined) external _dispatch_queue_create (from libSystem)
                 (undefined) external _dispatch_queue_create_with_target$V2 (from libSystem)
                 (undefined) external _dispatch_queue_get_label (from libSystem)
                 (undefined) external _dispatch_queue_set_specific (from libSystem)
                 (undefined) external _dispatch_release (from libSystem)
                 (undefined) external _dispatch_resume (from libSystem)
                 (undefined) external _dispatch_source_cancel (from libSystem)
                 (undefined) external _dispatch_source_create (from libSystem)
                 (undefined) external _dispatch_source_set_cancel_handler (from libSystem)
                 (undefined) external _dispatch_source_set_event_handler (from libSystem)
                 (undefined) external _dispatch_source_set_timer (from libSystem)
                 (undefined) external _dispatch_sync (from libSystem)
                 (undefined) external _dispatch_workloop_create_inactive (from libSystem)
                 (undefined) external _dispatch_workloop_set_scheduler_priority (from libSystem)
                 (undefined) external _dladdr (from libSystem)
                 (undefined) external _dlclose (from libSystem)
                 (undefined) external _dlerror (from libSystem)
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dyld_get_program_sdk_version (from libSystem)
                 (undefined) external _exit (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fstat (from libSystem)
00000002949c4588 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
00000002949c46e8 (__DATA,__common) external _gIOBufferMemoryDescriptorMetaClass
000000028fe31498 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gIOBufferMemoryDescriptor_Declaration
00000002949c46f0 (__DATA,__common) external _gIOCommandMetaClass
00000002949c46f8 (__DATA,__common) external _gIOCommandPoolMetaClass
000000028fe314a8 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gIOCommandPool_Declaration
000000028fe314a0 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gIOCommand_Declaration
00000002949c46d0 (__DATA,__common) external _gIODKDebug
00000002949c4700 (__DATA,__common) external _gIODMACommandMetaClass
000000028fe314b0 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gIODMACommand_Declaration
00000002949c4708 (__DATA,__common) external _gIODataQueueDispatchSourceMetaClass
000000028fe314b8 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gIODataQueueDispatchSource_Declaration
00000002949c4710 (__DATA,__common) external _gIODispatchQueueMetaClass
000000028fe314c0 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gIODispatchQueue_Declaration
00000002949c4718 (__DATA,__common) external _gIODispatchSourceMetaClass
000000028fe314c8 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gIODispatchSource_Declaration
00000002949c4720 (__DATA,__common) external _gIOEventLinkMetaClass
000000028fe314d0 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gIOEventLink_Declaration
00000002949c4728 (__DATA,__common) external _gIOExtensiblePaniclogMetaClass
000000028fe314d8 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gIOExtensiblePaniclog_Declaration
00000002949c4760 (__DATA,__common) external _gIOHistogramReporterMetaClass
000000028fe31510 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gIOHistogramReporter_Declaration
00000002949c4730 (__DATA,__common) external _gIOInterruptDispatchSourceMetaClass
000000028fe314e0 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gIOInterruptDispatchSource_Declaration
00000002949c4738 (__DATA,__common) external _gIOMemoryDescriptorMetaClass
000000028fe314e8 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gIOMemoryDescriptor_Declaration
00000002949c4740 (__DATA,__common) external _gIOMemoryMapMetaClass
000000028fe314f0 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gIOMemoryMap_Declaration
00000002949c4768 (__DATA,__common) external _gIOReportLegendMetaClass
000000028fe31518 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gIOReportLegend_Declaration
00000002949c4748 (__DATA,__common) external _gIOReporterMetaClass
000000028fe314f8 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gIOReporter_Declaration
00000002949c4770 (__DATA,__common) external _gIOServiceMetaClass
00000002949c4778 (__DATA,__common) external _gIOServiceNotificationDispatchSourceMetaClass
000000028fe31528 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gIOServiceNotificationDispatchSource_Declaration
00000002949c4780 (__DATA,__common) external _gIOServiceStateNotificationDispatchSourceMetaClass
000000028fe31530 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gIOServiceStateNotificationDispatchSource_Declaration
000000028fe31520 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gIOService_Declaration
00000002949c4750 (__DATA,__common) external _gIOSimpleReporterMetaClass
000000028fe31500 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gIOSimpleReporter_Declaration
00000002949c4758 (__DATA,__common) external _gIOStateReporterMetaClass
000000028fe31508 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gIOStateReporter_Declaration
00000002949c4838 (__DATA,__common) external _gIOThreadMetaClass
000000028fe315e8 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gIOThread_Declaration
00000002949c4788 (__DATA,__common) external _gIOTimerDispatchSourceMetaClass
000000028fe31538 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gIOTimerDispatchSource_Declaration
00000002949c4790 (__DATA,__common) external _gIOUserClientMetaClass
000000028fe31540 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gIOUserClient_Declaration
00000002949c47a0 (__DATA,__common) external _gIOUserServerMetaClass
000000028fe31550 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gIOUserServer_Declaration
00000002949c47a8 (__DATA,__common) external _gIOWorkGroupMetaClass
000000028fe31558 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gIOWorkGroup_Declaration
00000002949c47b0 (__DATA,__common) external _gOSActionMetaClass
000000028fe31560 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gOSAction_Declaration
00000002949c4798 (__DATA,__common) external _gOSAction_IOUserClient_KernelCompletionMetaClass
000000028fe31548 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gOSAction_IOUserClient_KernelCompletion_Declaration
00000002949c4830 (__DATA,__common) external _gOSAction__IOBlockStorageDevice_KernelCompletionMetaClass
000000028fe315e0 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gOSAction__IOBlockStorageDevice_KernelCompletion_Declaration
00000002949c47b8 (__DATA,__common) external _gOSArrayMetaClass
000000028fe31568 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gOSArray_Declaration
00000002949c47c0 (__DATA,__common) external _gOSBooleanMetaClass
000000028fe31570 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gOSBoolean_Declaration
