00000001e7e705e8 (__DATA,__data) non-external _.compoundliteral
00000001d727d1d8 (__TEXT,__text) non-external (was a private external) _glpUnaryOperatorStringToSymbol
00000001d728802c (__TEXT,__text) non-external (was a private external) _glpUndeterminedCallNodeGetCallee
00000001d728803c (__TEXT,__text) non-external (was a private external) _glpUndeterminedCallNodeSetCallee
00000001d722e7c0 (__TEXT,__text) non-external (was a private external) _glpUnlockPoolAllocator
00000001d72bf4f8 (__TEXT,__text) non-external (was a private external) _glpUpdateExtensionBehavior
00000001d7270344 (__TEXT,__text) non-external (was a private external) _glpValidateSwizzle
00000001d7280f7c (__TEXT,__text) non-external (was a private external) _glpValueGetAsSize
00000001d7280f18 (__TEXT,__text) non-external (was a private external) _glpValueIsUsableAsSize
00000001d72898e0 (__TEXT,__text) non-external (was a private external) _glpVariableDeclarationGroupNodeAddDeclaration
00000001d72898a0 (__TEXT,__text) non-external (was a private external) _glpVariableDeclarationGroupNodeGetBaseType
00000001d72898c0 (__TEXT,__text) non-external (was a private external) _glpVariableDeclarationGroupNodeGetDeclaration
00000001d72898b8 (__TEXT,__text) non-external (was a private external) _glpVariableDeclarationGroupNodeGetDeclarationCount
00000001d72898e8 (__TEXT,__text) non-external (was a private external) _glpVariableDeclarationGroupNodeInsertDeclaration
00000001d72898ac (__TEXT,__text) non-external (was a private external) _glpVariableDeclarationGroupNodeSetBaseType
00000001d72898d0 (__TEXT,__text) non-external (was a private external) _glpVariableDeclarationGroupNodeSetDeclaration
00000001d72897dc (__TEXT,__text) non-external (was a private external) _glpVariableDeclarationNodeGetExtra
00000001d7289804 (__TEXT,__text) non-external (was a private external) _glpVariableDeclarationNodeGetInitializer
00000001d72897d4 (__TEXT,__text) non-external (was a private external) _glpVariableDeclarationNodeGetIsFromSource
00000001d72897c0 (__TEXT,__text) non-external (was a private external) _glpVariableDeclarationNodeGetName
00000001d72897ec (__TEXT,__text) non-external (was a private external) _glpVariableDeclarationNodeGetType
00000001d72897e4 (__TEXT,__text) non-external (was a private external) _glpVariableDeclarationNodeSetExtra
00000001d7289810 (__TEXT,__text) non-external (was a private external) _glpVariableDeclarationNodeSetInitializer
00000001d72897cc (__TEXT,__text) non-external (was a private external) _glpVariableDeclarationNodeSetName
00000001d72897f8 (__TEXT,__text) non-external (was a private external) _glpVariableDeclarationNodeSetType
00000001d7287cc0 (__TEXT,__text) non-external (was a private external) _glpVariableIdentifierNodeGetName
00000001d7256d50 (__TEXT,__text) non-external (was a private external) _glpVariableObjectExtendImplicitArraySize
00000001d7256ba0 (__TEXT,__text) non-external (was a private external) _glpVariableObjectGetABI
00000001d7256c70 (__TEXT,__text) non-external (was a private external) _glpVariableObjectValidateImplicitArraySize
00000001d72ad384 (__TEXT,__text) non-external _glpVecFromValue
00000001d72de8f4 (__TEXT,__text) external _glpVertexStateToPPStream
00000001d72cf0e8 (__TEXT,__text) non-external _glpWriteAddressOperand
00000001d72ce960 (__TEXT,__text) non-external _glpWriteBranchOperand
00000001d72ceaec (__TEXT,__text) non-external _glpWriteClampSat
00000001d72ceb84 (__TEXT,__text) non-external _glpWriteDestinationOperand
00000001d72d2264 (__TEXT,__text) non-external _glpWriteOperandSize
00000001d72891b8 (__TEXT,__text) non-external (was a private external) _glpWriteOutputNodeGetExtra
00000001d72891c0 (__TEXT,__text) non-external (was a private external) _glpWriteOutputNodeSetExtra
00000001d72ce2c4 (__TEXT,__text) non-external _glpWriteSizeType
00000001d72d21ac (__TEXT,__text) non-external _glpWriteSizeTypePrecision
00000001d72ce374 (__TEXT,__text) non-external _glpWriteSourceOperand
00000001d7275b60 (__TEXT,__text) non-external (was a private external) _glp_serialized_integer32_control
00000001d7275ae8 (__TEXT,__text) non-external (was a private external) _glp_serialized_integer64_control
00000001d71c25ac (__TEXT,__text) non-external (was a private external) _glp_strtod
00000001d722b0dc (__TEXT,__text) external _glsmAllocateTextureLevels
00000001d722b1ec (__TEXT,__text) external _glsmCleanTextureGeometry
00000001d722c01c (__TEXT,__text) external _glsmCreateBuffer
00000001d722beb8 (__TEXT,__text) external _glsmCreateSampler
00000001d722b06c (__TEXT,__text) external _glsmCreateTexture
00000001d722c064 (__TEXT,__text) external _glsmDestroyBuffer
00000001d722bf04 (__TEXT,__text) external _glsmDestroySampler
00000001d722b1a0 (__TEXT,__text) external _glsmDestroyTexture
00000001d722b11c (__TEXT,__text) external _glsmFreeTextureLevelBuffers
00000001d722b724 (__TEXT,__text) external _glsmLoadTextureLevelBuffer
00000001d722bca4 (__TEXT,__text) external _glsmLoadTextureStructure
00000001d722b4e0 (__TEXT,__text) non-external _glsmResetTextureLevel
00000001d722bf08 (__TEXT,__text) external _glsmUpdateTexImageDataInPPStream
00000001d71c2d58 (__TEXT,__text) non-external (was a private external) _glvmCPGetAttributeCode
00000001d71c594c (__TEXT,__text) external _glvmCalculateSurfaceTextureBase
00000001d71eac64 (__TEXT,__text) non-external (was a private external) _glvmChooseArgTypeConversion
00000001d71eaeb0 (__TEXT,__text) non-external (was a private external) _glvmChooseDestTypeConversion
00000001d7226fd4 (__TEXT,__text) external _glvmCopyAttributes
00000001d71c2d78 (__TEXT,__text) non-external (was a private external) _glvmEPGetAttributeCode
00000001d71c2df8 (__TEXT,__text) non-external (was a private external) _glvmFPGetAttributeCode
00000001d71c2d98 (__TEXT,__text) non-external (was a private external) _glvmGPGetAttributeCode
00000001d71c2eb4 (__TEXT,__text) external _glvmGetConstants
00000001d7205178 (__TEXT,__text) non-external (was a private external) _glvmGetDestOffsetCount
00000001d71c2854 (__TEXT,__text) non-external (was a private external) _glvmGetGlobalParameterOffset
00000001d720577c (__TEXT,__text) non-external (was a private external) _glvmGetOperationSpec
00000001d71c2cd8 (__TEXT,__text) non-external (was a private external) _glvmGetResultCode
00000001d7204874 (__TEXT,__text) non-external (was a private external) _glvmGetSourceOffsetStride
00000001d721db34 (__TEXT,__text) external _glvmInterpretCPTransformPatch
00000001d721b9a8 (__TEXT,__text) non-external (was a private external) _glvmInterpretCPTransformPatchInner
00000001d72207c4 (__TEXT,__text) external _glvmInterpretEPTransformPatch
00000001d721e1f0 (__TEXT,__text) non-external (was a private external) _glvmInterpretEPTransformPatchInner
00000001d7229b24 (__TEXT,__text) external _glvmInterpretFPTransformFour
00000001d722723c (__TEXT,__text) non-external (was a private external) _glvmInterpretFPTransformFourInner
00000001d72246f0 (__TEXT,__text) external _glvmInterpretGPTransformPrimitive
00000001d7221c50 (__TEXT,__text) non-external (was a private external) _glvmInterpretGPTransformPrimitiveInner
00000001d721b2a8 (__TEXT,__text) external _glvmInterpretVPTransformFour
00000001d72187f0 (__TEXT,__text) non-external (was a private external) _glvmInterpretVPTransformFourInner
00000001d71ef844 (__TEXT,__text) non-external (was a private external) _glvmLoadDestTemp
00000001d71ec660 (__TEXT,__text) non-external (was a private external) _glvmLoadSourceAddress
00000001d71f8784 (__TEXT,__text) non-external (was a private external) _glvmLoadSourceAttribCP
00000001d71fc64c (__TEXT,__text) non-external (was a private external) _glvmLoadSourceAttribEP
00000001d7200318 (__TEXT,__text) non-external (was a private external) _glvmLoadSourceAttribFP
00000001d71ff3f0 (__TEXT,__text) non-external (was a private external) _glvmLoadSourceAttribGP
00000001d71f5b2c (__TEXT,__text) non-external (was a private external) _glvmLoadSourceAttribVP
00000001d71ed060 (__TEXT,__text) non-external (was a private external) _glvmLoadSourceParam
00000001d71eb068 (__TEXT,__text) non-external (was a private external) _glvmLoadSourceTemp
00000001d72ad640 (__TEXT,__text) non-external _glvmOp
00000001d7207624 (__TEXT,__text) non-external (was a private external) _glvmOperationABS
00000001d72148ac (__TEXT,__text) non-external (was a private external) _glvmOperationACOSH
00000001d72077c4 (__TEXT,__text) non-external (was a private external) _glvmOperationACS
00000001d720bf70 (__TEXT,__text) non-external (was a private external) _glvmOperationADD
00000001d7207910 (__TEXT,__text) non-external (was a private external) _glvmOperationALL
00000001d7213fd0 (__TEXT,__text) non-external (was a private external) _glvmOperationAND
00000001d720c0bc (__TEXT,__text) non-external (was a private external) _glvmOperationANL
00000001d7207b74 (__TEXT,__text) non-external (was a private external) _glvmOperationANY
00000001d72075c8 (__TEXT,__text) non-external (was a private external) _glvmOperationARA
00000001d72075a0 (__TEXT,__text) non-external (was a private external) _glvmOperationARL
00000001d72075c4 (__TEXT,__text) non-external (was a private external) _glvmOperationARR
00000001d721477c (__TEXT,__text) non-external (was a private external) _glvmOperationASINH
00000001d7207dd8 (__TEXT,__text) non-external (was a private external) _glvmOperationASN
00000001d72149dc (__TEXT,__text) non-external (was a private external) _glvmOperationATANH
00000001d7207f50 (__TEXT,__text) non-external (was a private external) _glvmOperationATN
00000001d720c100 (__TEXT,__text) non-external (was a private external) _glvmOperationATN2
00000001d7206c5c (__TEXT,__text) non-external (was a private external) _glvmOperationATN_Core
00000001d7212b80 (__TEXT,__text) non-external (was a private external) _glvmOperationBDL
00000001d7216b80 (__TEXT,__text) non-external (was a private external) _glvmOperationBITCOUNT
00000001d72167bc (__TEXT,__text) non-external (was a private external) _glvmOperationBITFIELD_REVERSE
00000001d7207f5c (__TEXT,__text) non-external (was a private external) _glvmOperationCEI
00000001d72101f8 (__TEXT,__text) non-external (was a private external) _glvmOperationCLM
00000001d7210190 (__TEXT,__text) non-external (was a private external) _glvmOperationCMP
00000001d72143b8 (__TEXT,__text) non-external (was a private external) _glvmOperationCOMP
00000001d72080d0 (__TEXT,__text) non-external (was a private external) _glvmOperationCOS
00000001d721451c (__TEXT,__text) non-external (was a private external) _glvmOperationCOSH
00000001d72249a0 (__TEXT,__text) non-external (was a private external) _glvmOperationCopyAttributes
00000001d720bee4 (__TEXT,__text) non-external (was a private external) _glvmOperationDDX
00000001d720bf10 (__TEXT,__text) non-external (was a private external) _glvmOperationDDY
00000001d720815c (__TEXT,__text) non-external (was a private external) _glvmOperationDEG
00000001d720ce0c (__TEXT,__text) non-external (was a private external) _glvmOperationDISTANCE
00000001d720c2bc (__TEXT,__text) non-external (was a private external) _glvmOperationDIV
00000001d720c624 (__TEXT,__text) non-external (was a private external) _glvmOperationDOT
00000001d720c97c (__TEXT,__text) non-external (was a private external) _glvmOperationDP3
00000001d720cb60 (__TEXT,__text) non-external (was a private external) _glvmOperationDP4
00000001d720ccc0 (__TEXT,__text) non-external (was a private external) _glvmOperationDPH
00000001d7211c50 (__TEXT,__text) non-external (was a private external) _glvmOperationDSL
00000001d720cd64 (__TEXT,__text) non-external (was a private external) _glvmOperationDST
00000001d721b7a8 (__TEXT,__text) non-external (was a private external) _glvmOperationDispatchCP
00000001d721dff0 (__TEXT,__text) non-external (was a private external) _glvmOperationDispatchEP
00000001d7226fe8 (__TEXT,__text) non-external (was a private external) _glvmOperationDispatchFP
00000001d7221a50 (__TEXT,__text) non-external (was a private external) _glvmOperationDispatchGP
00000001d721859c (__TEXT,__text) non-external (was a private external) _glvmOperationDispatchVP
00000001d7221318 (__TEXT,__text) non-external (was a private external) _glvmOperationENDSTREAMPRIMITIVE
00000001d72217d8 (__TEXT,__text) non-external (was a private external) _glvmOperationENDSTREAMPRIMITIVES
00000001d7221574 (__TEXT,__text) non-external (was a private external) _glvmOperationENDSTREAMPRIMITIVEWithMask
00000001d720819c (__TEXT,__text) non-external (was a private external) _glvmOperationEX2
00000001d72063fc (__TEXT,__text) non-external (was a private external) _glvmOperationEX2_Core
00000001d7208300 (__TEXT,__text) non-external (was a private external) _glvmOperationEXP
00000001d7208308 (__TEXT,__text) non-external (was a private external) _glvmOperationEXPE
00000001d7215084 (__TEXT,__text) non-external (was a private external) _glvmOperationEXTRACT_EXPONENT
00000001d7214db0 (__TEXT,__text) non-external (was a private external) _glvmOperationEXTRACT_SIGNIFICAND
00000001d72107e4 (__TEXT,__text) non-external (was a private external) _glvmOperationFFW
00000001d7216e44 (__TEXT,__text) non-external (was a private external) _glvmOperationFIND_LSB
00000001d7217108 (__TEXT,__text) non-external (was a private external) _glvmOperationFIND_MSB
00000001d72084c4 (__TEXT,__text) non-external (was a private external) _glvmOperationFLR
00000001d72062bc (__TEXT,__text) non-external (was a private external) _glvmOperationFLR_CEI_Core
00000001d7208638 (__TEXT,__text) non-external (was a private external) _glvmOperationFRC
00000001d7214d8c (__TEXT,__text) non-external (was a private external) _glvmOperationFROM_BITS
00000001d71e5a30 (__TEXT,__text) non-external (was a private external) _glvmOperationFUNCSTART
00000001d720bf3c (__TEXT,__text) non-external (was a private external) _glvmOperationFWD
00000001d7217424 (__TEXT,__text) non-external (was a private external) _glvmOperationINTERPOLATE_AT_CENTROID
00000001d7217448 (__TEXT,__text) non-external (was a private external) _glvmOperationINTERPOLATE_AT_OFFSET
00000001d7217590 (__TEXT,__text) non-external (was a private external) _glvmOperationINTERPOLATE_AT_SAMPLE
00000001d720b450 (__TEXT,__text) non-external (was a private external) _glvmOperationINVERSESQRT
00000001d7214b0c (__TEXT,__text) non-external (was a private external) _glvmOperationISINF
00000001d7214bec (__TEXT,__text) non-external (was a private external) _glvmOperationISNAN
00000001d71e5a38 (__TEXT,__text) non-external (was a private external) _glvmOperationInitMasksForNested
00000001d71e5a6c (__TEXT,__text) non-external (was a private external) _glvmOperationInitSub
00000001d7215300 (__TEXT,__text) non-external (was a private external) _glvmOperationLDEXP
00000001d72089a0 (__TEXT,__text) non-external (was a private external) _glvmOperationLEN
00000001d7208db0 (__TEXT,__text) non-external (was a private external) _glvmOperationLG2
00000001d720675c (__TEXT,__text) non-external (was a private external) _glvmOperationLG2_Core
00000001d7208f10 (__TEXT,__text) non-external (was a private external) _glvmOperationLIT
00000001d7212c44 (__TEXT,__text) non-external (was a private external) _glvmOperationLOAD
00000001d72090c4 (__TEXT,__text) non-external (was a private external) _glvmOperationLOG
00000001d72090d4 (__TEXT,__text) non-external (was a private external) _glvmOperationLOGE
00000001d7210c80 (__TEXT,__text) non-external (was a private external) _glvmOperationLRP
00000001d7210f44 (__TEXT,__text) non-external (was a private external) _glvmOperationMAD
00000001d720d274 (__TEXT,__text) non-external (was a private external) _glvmOperationMAX
00000001d720d604 (__TEXT,__text) non-external (was a private external) _glvmOperationMIN
00000001d720d994 (__TEXT,__text) non-external (was a private external) _glvmOperationMLC
00000001d720d998 (__TEXT,__text) non-external (was a private external) _glvmOperationMOD
00000001d7209258 (__TEXT,__text) non-external (was a private external) _glvmOperationMOV
00000001d720e120 (__TEXT,__text) non-external (was a private external) _glvmOperationMUL
00000001d7216638 (__TEXT,__text) non-external (was a private external) _glvmOperationMUL_HB
00000001d72092c8 (__TEXT,__text) non-external (was a private external) _glvmOperationNOT
00000001d72092fc (__TEXT,__text) non-external (was a private external) _glvmOperationNRM
00000001d720974c (__TEXT,__text) non-external (was a private external) _glvmOperationNSE
00000001d7214014 (__TEXT,__text) non-external (was a private external) _glvmOperationOR
00000001d720e26c (__TEXT,__text) non-external (was a private external) _glvmOperationORL
00000001d72157a8 (__TEXT,__text) non-external (was a private external) _glvmOperationPK2H
00000001d72155cc (__TEXT,__text) non-external (was a private external) _glvmOperationPK2US
00000001d72165f0 (__TEXT,__text) non-external (was a private external) _glvmOperationPK2W
00000001d7215f6c (__TEXT,__text) non-external (was a private external) _glvmOperationPK4B
00000001d72162f8 (__TEXT,__text) non-external (was a private external) _glvmOperationPK4UB
00000001d720e2b0 (__TEXT,__text) non-external (was a private external) _glvmOperationPOW
00000001d720b35c (__TEXT,__text) non-external (was a private external) _glvmOperationRAD
00000001d720b39c (__TEXT,__text) non-external (was a private external) _glvmOperationRCC
00000001d720b3a0 (__TEXT,__text) non-external (was a private external) _glvmOperationRCP
00000001d71e5a34 (__TEXT,__text) non-external (was a private external) _glvmOperationRET
00000001d720e4cc (__TEXT,__text) non-external (was a private external) _glvmOperationRFL
00000001d7211010 (__TEXT,__text) non-external (was a private external) _glvmOperationRFR
00000001d7213120 (__TEXT,__text) non-external (was a private external) _glvmOperationROUND
00000001d7213368 (__TEXT,__text) non-external (was a private external) _glvmOperationROUNDEVEN
00000001d720b3d8 (__TEXT,__text) non-external (was a private external) _glvmOperationRSQ
00000001d7207548 (__TEXT,__text) non-external (was a private external) _glvmOperationSAT
00000001d720be5c (__TEXT,__text) non-external (was a private external) _glvmOperationSCS
00000001d720e8d8 (__TEXT,__text) non-external (was a private external) _glvmOperationSEL
00000001d720e9a0 (__TEXT,__text) non-external (was a private external) _glvmOperationSEQ
00000001d720ee80 (__TEXT,__text) non-external (was a private external) _glvmOperationSFL
00000001d720ee98 (__TEXT,__text) non-external (was a private external) _glvmOperationSGE
00000001d720f118 (__TEXT,__text) non-external (was a private external) _glvmOperationSGT
00000001d721409c (__TEXT,__text) non-external (was a private external) _glvmOperationSHL
00000001d72141a0 (__TEXT,__text) non-external (was a private external) _glvmOperationSHR
00000001d720b628 (__TEXT,__text) non-external (was a private external) _glvmOperationSIN
00000001d72143ec (__TEXT,__text) non-external (was a private external) _glvmOperationSINH
00000001d7206920 (__TEXT,__text) non-external (was a private external) _glvmOperationSIN_Core
00000001d720f398 (__TEXT,__text) non-external (was a private external) _glvmOperationSLE
00000001d720f618 (__TEXT,__text) non-external (was a private external) _glvmOperationSLT
00000001d72119d0 (__TEXT,__text) non-external (was a private external) _glvmOperationSMS
00000001d720f898 (__TEXT,__text) non-external (was a private external) _glvmOperationSNE
00000001d720b62c (__TEXT,__text) non-external (was a private external) _glvmOperationSQT
00000001d720b7a4 (__TEXT,__text) non-external (was a private external) _glvmOperationSSG
00000001d721ddfc (__TEXT,__text) non-external (was a private external) _glvmOperationSTOREWithMaskEP
00000001d7220ab4 (__TEXT,__text) non-external (was a private external) _glvmOperationSTOREWithMaskGP
00000001d72176b8 (__TEXT,__text) non-external (was a private external) _glvmOperationSTOREWithMaskVP
00000001d720fd7c (__TEXT,__text) non-external (was a private external) _glvmOperationSTR
00000001d720fd94 (__TEXT,__text) non-external (was a private external) _glvmOperationSUB
00000001d7211cf8 (__TEXT,__text) non-external (was a private external) _glvmOperationSWZ
00000001d7224bcc (__TEXT,__text) non-external (was a private external) _glvmOperationStackPreload
00000001d720baa0 (__TEXT,__text) non-external (was a private external) _glvmOperationTAN
00000001d721464c (__TEXT,__text) non-external (was a private external) _glvmOperationTANH
00000001d71e58ac (__TEXT,__text) non-external (was a private external) _glvmOperationTARGBRA
00000001d71e5660 (__TEXT,__text) non-external (was a private external) _glvmOperationTARGBRK
00000001d71e5784 (__TEXT,__text) non-external (was a private external) _glvmOperationTARGCONT
00000001d7214d68 (__TEXT,__text) non-external (was a private external) _glvmOperationTO_BITS
00000001d7213d88 (__TEXT,__text) non-external (was a private external) _glvmOperationTRUNCATE
00000001d7215be8 (__TEXT,__text) non-external (was a private external) _glvmOperationUP2H
00000001d7215708 (__TEXT,__text) non-external (was a private external) _glvmOperationUP2US
00000001d7216614 (__TEXT,__text) non-external (was a private external) _glvmOperationUP2W
00000001d7216164 (__TEXT,__text) non-external (was a private external) _glvmOperationUP4B
00000001d72164f0 (__TEXT,__text) non-external (was a private external) _glvmOperationUP4UB
00000001d7214058 (__TEXT,__text) non-external (was a private external) _glvmOperationXOR
00000001d720fee0 (__TEXT,__text) non-external (was a private external) _glvmOperationXPD
00000001d721014c (__TEXT,__text) non-external (was a private external) _glvmOperationXRL
00000001d72075cc (__TEXT,__text) non-external (was a private external) _glvmOperationZERO
00000001d7206dfc (__TEXT,__text) non-external (was a private external) _glvmOperationsNoise3D
00000001d7207074 (__TEXT,__text) non-external (was a private external) _glvmOperationsNoise4D
00000001d71e57a4 (__TEXT,__text) non-external (was a private external) _glvmPredicateBRA
00000001d71e555c (__TEXT,__text) non-external (was a private external) _glvmPredicateBRK
00000001d71e5944 (__TEXT,__text) non-external (was a private external) _glvmPredicateCASE
00000001d71e5680 (__TEXT,__text) non-external (was a private external) _glvmPredicateCONT
00000001d71e59fc (__TEXT,__text) non-external (was a private external) _glvmPredicateDEFAULT
00000001d71e54d0 (__TEXT,__text) non-external (was a private external) _glvmPredicateELSE
00000001d71e54f4 (__TEXT,__text) non-external (was a private external) _glvmPredicateENDIF
00000001d71e58e4 (__TEXT,__text) non-external (was a private external) _glvmPredicateENDSWITCH
00000001d71e5540 (__TEXT,__text) non-external (was a private external) _glvmPredicateENDWHILE
00000001d71e5428 (__TEXT,__text) non-external (was a private external) _glvmPredicateIF
00000001d71e58cc (__TEXT,__text) non-external (was a private external) _glvmPredicateSWITCH
00000001d71e5538 (__TEXT,__text) non-external (was a private external) _glvmPredicateWHILE
00000001d7226804 (__TEXT,__text) external _glvmPreloadFPTransformFour
00000001d7224d34 (__TEXT,__text) non-external (was a private external) _glvmPreloadPositionAttrib
00000001d7224e20 (__TEXT,__text) non-external (was a private external) _glvmPreloadSourceAttribs
00000001d71e6098 (__TEXT,__text) non-external (was a private external) _glvmRasterOpAlphaTest
00000001d71e8240 (__TEXT,__text) non-external (was a private external) _glvmRasterOpBlend
00000001d71e5a78 (__TEXT,__text) non-external (was a private external) _glvmRasterOpDepthBoundsTest
00000001d71e6258 (__TEXT,__text) non-external (was a private external) _glvmRasterOpDepthStencilTest
00000001d71e7cc0 (__TEXT,__text) non-external (was a private external) _glvmRasterOpFragmentCount
00000001d71e951c (__TEXT,__text) non-external (was a private external) _glvmRasterOpLogicOp
00000001d71e9938 (__TEXT,__text) non-external (was a private external) _glvmRasterOpMask
00000001d71e5cd8 (__TEXT,__text) non-external (was a private external) _glvmRasterOpMultisampleAlphaCoverage
00000001d71e5dfc (__TEXT,__text) non-external (was a private external) _glvmRasterOpMultisampleAlphaOne
00000001d71e5e44 (__TEXT,__text) non-external (was a private external) _glvmRasterOpMultisampleCoverageMask
00000001d71e5fe4 (__TEXT,__text) non-external (was a private external) _glvmRasterOpMultisampleSampleMask
00000001d71e7cfc (__TEXT,__text) non-external (was a private external) _glvmRasterOpPack
00000001d71e9a94 (__TEXT,__text) non-external (was a private external) _glvmRasterOpRead
00000001d71e9c74 (__TEXT,__text) non-external (was a private external) _glvmRasterOpWrite
00000001d71e9f24 (__TEXT,__text) non-external (was a private external) _glvmRasterOpWriteFallback
00000001d71e4ad4 (__TEXT,__text) non-external (was a private external) _glvmSamplerFetch
00000001d71e49cc (__TEXT,__text) non-external (was a private external) _glvmSamplerInvalid
00000001d71c696c (__TEXT,__text) non-external (was a private external) _glvmSamplerLoadTexels
00000001d71cc134 (__TEXT,__text) non-external (was a private external) _glvmSamplerQueryLOD
00000001d71cd2a4 (__TEXT,__text) non-external (was a private external) _glvmSamplerSample
00000001d71e4a18 (__TEXT,__text) non-external (was a private external) _glvmSamplerSize
00000001d721b1d4 (__TEXT,__text) non-external _glvmSetSourceIndirectLimits
00000001d721da60 (__TEXT,__text) non-external _glvmSetSourceIndirectLimits
00000001d72206f0 (__TEXT,__text) non-external _glvmSetSourceIndirectLimits
00000001d722461c (__TEXT,__text) non-external _glvmSetSourceIndirectLimits
00000001d7229a50 (__TEXT,__text) non-external _glvmSetSourceIndirectLimits
00000001d71c4c88 (__TEXT,__text) external _glvmSetTextureFormat
00000001d71eaa20 (__TEXT,__text) non-external (was a private external) _glvmSourceNegateCF
00000001d71f22a4 (__TEXT,__text) non-external (was a private external) _glvmStoreDestAddress
00000001d71f5294 (__TEXT,__text) non-external (was a private external) _glvmStoreDestAddressWithMask
00000001d71fa3ec (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputCP
00000001d71fdda0 (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputEP
00000001d7201f68 (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputFP
00000001d71ff960 (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputGP
00000001d71f69fc (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputVP
00000001d71fb51c (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputWithMaskCP
00000001d71fe8c8 (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputWithMaskEP
00000001d7202f2c (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputWithMaskFP
00000001d71ffe34 (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputWithMaskGP
00000001d71f7648 (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputWithMaskVP
00000001d71f0a10 (__TEXT,__text) non-external (was a private external) _glvmStoreDestTemp
00000001d71f2998 (__TEXT,__text) non-external (was a private external) _glvmStoreDestTempWithMask
00000001d71c6864 (__TEXT,__text) non-external _glvmTextureFilterEnumToPPStreamEnum
00000001d71c68e4 (__TEXT,__text) non-external _glvmTextureWrapEnumToPPStreamEnum
00000001d71eaac0 (__TEXT,__text) non-external (was a private external) _glvmTypeConvertCF
00000001d71c5c3c (__TEXT,__text) external _glvmUpdateTextureStructure
00000001d7220240 (__TEXT,__text) non-external (was a private external) _glvmWindowTransformEP
00000001d7223f88 (__TEXT,__text) non-external (was a private external) _glvmWindowTransformGP
00000001d721ab14 (__TEXT,__text) non-external (was a private external) _glvmWindowTransformVP
00000001e874aa60 (__DATA_DIRTY,__bss) non-external _glvm_constants
00000001e874aa50 (__DATA_DIRTY,__bss) non-external _glvm_constants_init
00000001d7277334 (__TEXT,__text) non-external _handleResetPost
00000001d72772d4 (__TEXT,__text) non-external _handleResetPre
00000001d727cf10 (__TEXT,__text) non-external _humanReadableDescriptionToBuffer
00000001d7285c28 (__TEXT,__text) non-external _include_str_getch
00000001d7285d44 (__TEXT,__text) non-external _include_str_ungetch
00000001d727c688 (__TEXT,__text) non-external _initAggregateType
00000001d728bc68 (__TEXT,__text) non-external _initBinaryOperatorNode
00000001d728bc3c (__TEXT,__text) non-external _initCallNode
00000001d728bd34 (__TEXT,__text) non-external _initDerefNode
00000001d728bce4 (__TEXT,__text) non-external _initQualifierNode
00000001d728bd0c (__TEXT,__text) non-external _initStatementNode
00000001d728bcb8 (__TEXT,__text) non-external _initStructureNode
00000001d7232880 (__TEXT,__text) non-external _initTypeWithGLPPrimitiveType
00000001d728bc00 (__TEXT,__text) non-external _initUnaryOperatorNode
00000001d72af310 (__TEXT,__text) non-external _inliningNodeReplacement
00000001d7266c0c (__TEXT,__text) non-external _inputForOutput
00000001d72da6c0 (__TEXT,__text) non-external _instructionIndexEqualsFunction
00000001d72da6bc (__TEXT,__text) non-external _instructionIndexHashFunction
00000001d72c8ec0 (__TEXT,__text) non-external _iterateQualifiers
00000001d7286d54 (__TEXT,__text) non-external _lAddByte
00000001d7286504 (__TEXT,__text) non-external _lFloatConst
00000001d7286bf8 (__TEXT,__text) non-external _lNewBlock
00000001d7287368 (__TEXT,__text) non-external _lReadByte
00000001d7281ba8 (__TEXT,__text) non-external (was a private external) _lazyCPPSetup
00000001d72ab814 (__TEXT,__text) non-external _lazyPrepareVariableObject
                 (undefined) external _ldexp (from libSystem)
                 (undefined) external _ldexpf (from libSystem)
00000001d71b8f6c (__TEXT,__text) non-external _llvmir_PPStreamAddAddressUsage
00000001d71b8fd4 (__TEXT,__text) non-external _llvmir_PPStreamAddAttribBinding
00000001d71b90fc (__TEXT,__text) non-external _llvmir_PPStreamAddConstant
00000001d71b9174 (__TEXT,__text) non-external _llvmir_PPStreamAddLabel
00000001d71b8f20 (__TEXT,__text) non-external _llvmir_PPStreamAddOperation
00000001d71b90e4 (__TEXT,__text) non-external _llvmir_PPStreamAddOption
00000001d71b906c (__TEXT,__text) non-external _llvmir_PPStreamAddOutputBinding
00000001d71b8f70 (__TEXT,__text) non-external _llvmir_PPStreamAddParamBinding
00000001d71b8fd0 (__TEXT,__text) non-external _llvmir_PPStreamAddParamBindingArray
00000001d71b8f68 (__TEXT,__text) non-external _llvmir_PPStreamAddTempUsage
00000001d71b917c (__TEXT,__text) non-external _llvmir_PPStreamResolveBranches
00000001d71b8f18 (__TEXT,__text) non-external _llvmir_PPStreamSetTarget
                 (undefined) external _log2f (from libSystem)
                 (undefined) external _logf (from libSystem)
