00000001d5486d78 (__DATA,__data) non-external _C
00000001802e3b78 (__TEXT,__text) external _inet_ntop
00000001802e3bec (__TEXT,__text) external _inet_ntop4
00000001802efe70 (__TEXT,__text) external _inet_ntop6
00000001802e27a8 (__TEXT,__text) external _inet_pton
00000001802e2b3c (__TEXT,__text) non-external _inet_pton4
000000018034beb9 (__TEXT,__const) non-external _inet_pton4.digits
000000018034bec4 (__TEXT,__const) non-external _inet_pton6.xdigits_l
000000018034bed5 (__TEXT,__const) non-external _inet_pton6.xdigits_u
0000000180306820 (__TEXT,__text) non-external _infinity
00000001803069c4 (__TEXT,__text) non-external _initMPFromDigits
000000018034a468 (__TEXT,__const) non-external _initMPFromDigits.powersOfTen
0000000180308194 (__TEXT,__text) non-external _init_perm
0000000180309fe4 (__TEXT,__text) non-external _initshells
000000018033b58c (__TEXT,__text) external _initstate
00000001802e7fcc (__TEXT,__text) non-external _insertionsort
000000018033d104 (__TEXT,__text) non-external _insertionsort
0000000180339cd8 (__TEXT,__text) external _insque
                 (undefined) external _ioctl (from libsystem_kernel)
000000018030c5e4 (__TEXT,__text) external _isalnum
000000018030cde0 (__TEXT,__text) external _isalnum_l
000000018030c65c (__TEXT,__text) external _isalpha
000000018030ce5c (__TEXT,__text) external _isalpha_l
000000018030c5d8 (__TEXT,__text) external _isascii
00000001802e5388 (__TEXT,__text) external _isatty
000000018030c6cc (__TEXT,__text) external _isblank
000000018030ced0 (__TEXT,__text) external _isblank_l
000000018030c73c (__TEXT,__text) external _iscntrl
000000018030cf44 (__TEXT,__text) external _iscntrl_l
00000001802fded8 (__TEXT,__text) external _isdigit
000000018030cfb8 (__TEXT,__text) external _isdigit_l
000000018030c7ac (__TEXT,__text) external _isgraph
000000018030d02c (__TEXT,__text) external _isgraph_l
000000018030cae4 (__TEXT,__text) external _ishexnumber
000000018030d0a0 (__TEXT,__text) external _ishexnumber_l
000000018030cb54 (__TEXT,__text) external _isideogram
000000018030d114 (__TEXT,__text) external _isideogram_l
000000018030c81c (__TEXT,__text) external _islower
000000018030d188 (__TEXT,__text) external _islower_l
000000018030cbc4 (__TEXT,__text) external _isnumber
000000018030d1fc (__TEXT,__text) external _isnumber_l
000000018030cc34 (__TEXT,__text) external _isphonogram
000000018030d270 (__TEXT,__text) external _isphonogram_l
000000018030c88c (__TEXT,__text) external _isprint
000000018030d2e4 (__TEXT,__text) external _isprint_l
000000018030c8fc (__TEXT,__text) external _ispunct
000000018030d358 (__TEXT,__text) external _ispunct_l
000000018030cca4 (__TEXT,__text) external _isrune
000000018030d3cc (__TEXT,__text) external _isrune_l
                 (undefined) external _issetugid (from libsystem_kernel)
000000018030c96c (__TEXT,__text) external _isspace
000000018030d450 (__TEXT,__text) external _isspace_l
000000018030cd18 (__TEXT,__text) external _isspecial
000000018030d4c4 (__TEXT,__text) external _isspecial_l
00000001802f4afc (__TEXT,__text) non-external _istrsenvisx
00000001803482e4 (__TEXT,__text) non-external _istrsenvisx.cold.1
0000000180348310 (__TEXT,__text) non-external _istrsenvisx.cold.2
000000018034833c (__TEXT,__text) non-external _istrsenvisx.cold.3
0000000180348368 (__TEXT,__text) non-external _istrsenvisx.cold.4
00000001802f4a7c (__TEXT,__text) non-external _istrsenvisxl
000000018030c9dc (__TEXT,__text) external _isupper
000000018030d538 (__TEXT,__text) external _isupper_l
000000018030d660 (__TEXT,__text) external _iswalnum
000000018030dba0 (__TEXT,__text) external _iswalnum_l
000000018030d6d8 (__TEXT,__text) external _iswalpha
000000018030dc1c (__TEXT,__text) external _iswalpha_l
000000018030e1e8 (__TEXT,__text) external _iswascii
000000018030e178 (__TEXT,__text) external _iswblank
000000018030e498 (__TEXT,__text) external _iswblank_l
000000018030d748 (__TEXT,__text) external _iswcntrl
000000018030dc90 (__TEXT,__text) external _iswcntrl_l
000000018030d7b8 (__TEXT,__text) external _iswctype
000000018030dd04 (__TEXT,__text) external _iswctype_l
000000018030d838 (__TEXT,__text) external _iswdigit
000000018030dd98 (__TEXT,__text) external _iswdigit_l
000000018030d860 (__TEXT,__text) external _iswgraph
000000018030de0c (__TEXT,__text) external _iswgraph_l
000000018030e1f4 (__TEXT,__text) external _iswhexnumber
000000018030e50c (__TEXT,__text) external _iswhexnumber_l
000000018030e264 (__TEXT,__text) external _iswideogram
000000018030e580 (__TEXT,__text) external _iswideogram_l
000000018030d8d0 (__TEXT,__text) external _iswlower
000000018030de80 (__TEXT,__text) external _iswlower_l
000000018030e2d4 (__TEXT,__text) external _iswnumber
000000018030e5f4 (__TEXT,__text) external _iswnumber_l
000000018030e344 (__TEXT,__text) external _iswphonogram
000000018030e668 (__TEXT,__text) external _iswphonogram_l
000000018030d940 (__TEXT,__text) external _iswprint
000000018030def4 (__TEXT,__text) external _iswprint_l
000000018030d9b0 (__TEXT,__text) external _iswpunct
000000018030df68 (__TEXT,__text) external _iswpunct_l
000000018030e3b4 (__TEXT,__text) external _iswrune
000000018030e6dc (__TEXT,__text) external _iswrune_l
000000018030da20 (__TEXT,__text) external _iswspace
000000018030dfdc (__TEXT,__text) external _iswspace_l
000000018030e428 (__TEXT,__text) external _iswspecial
000000018030e760 (__TEXT,__text) external _iswspecial_l
000000018030da90 (__TEXT,__text) external _iswupper
000000018030e050 (__TEXT,__text) external _iswupper_l
000000018030db00 (__TEXT,__text) external _iswxdigit
000000018030e0c4 (__TEXT,__text) external _iswxdigit_l
00000001802fdeb0 (__TEXT,__text) external _isxdigit
000000018030d5ac (__TEXT,__text) external _isxdigit_l
000000018034cdeb (__TEXT,__cstring) non-external _itoa64
0000000180320f9c (__TEXT,__text) external _jrand48
00000001d33019b8 (__DATA_CONST,__const) external _kOSThermalNotificationPressureLevelName
                 (undefined) external _kill (from libsystem_kernel)
00000001802fe4e4 (__TEXT,__text) external _killpg
000000018033cb78 (__TEXT,__text) external _l64a
00000001d5488d00 (__DATA,__bss) non-external _l64a.buf
0000000180339cfc (__TEXT,__text) external _labs
0000000180325330 (__TEXT,__text) non-external _largesearch
00000001d5488c68 (__DATA,__bss) non-external _last_default_tzload_mtimespec
00000001d5487030 (__DATA,__data) non-external _lastglue
0000000180306fcc (__TEXT,__text) external _lchflags
00000001802efb08 (__TEXT,__text) external _lchmod
00000001d5488b10 (__DATA,__bss) non-external _lcl_TZname
00000001d65f1828 (__DATA_DIRTY,__data) non-external _lcl_notify
00000001d65f1750 (__DATA_DIRTY,__data) non-external (was a private external) _lcl_rwlock
00000001d65f3190 (__DATA_DIRTY,__bss) non-external _lclptr
0000000180320fe0 (__TEXT,__text) external _lcong48
0000000180339d08 (__TEXT,__text) external _ldiv
0000000180339e00 (__TEXT,__text) external _lfind
000000018032fb2c (__TEXT,__text) non-external _lflush
000000018032af38 (__TEXT,__text) external _link_addr
000000018032b0f4 (__TEXT,__text) external _link_ntoa
00000001d5488a52 (__DATA,__bss) non-external _link_ntoa.obuf
0000000180339d34 (__TEXT,__text) external _llabs
0000000180339d40 (__TEXT,__text) external _lldiv
000000018032bf44 (__TEXT,__text) non-external _loadCat
00000001802f2110 (__TEXT,__text) non-external _loadlocale
00000001803034c0 (__TEXT,__text) external _localeconv
00000001802d6bac (__TEXT,__text) external _localeconv_l
0000000180348394 (__TEXT,__text) non-external _localeconv_l.cold.1
00000001803483b0 (__TEXT,__text) non-external _localeconv_l.cold.2
00000001802de718 (__TEXT,__text) external _localtime
00000001d65f3198 (__DATA_DIRTY,__bss) non-external _localtime_key
00000001d5488c10 (__DATA,__bss) non-external _localtime_key_error
00000001802de7f8 (__TEXT,__text) non-external _localtime_key_init
00000001d65f1830 (__DATA_DIRTY,__data) non-external _localtime_once
00000001802d8dd0 (__TEXT,__text) external _localtime_r
00000001803043ec (__TEXT,__text) external _lockf
0000000180321024 (__TEXT,__text) external _lockf$NOCANCEL
00000001803127e8 (__TEXT,__text) external _login
000000018031137c (__TEXT,__text) external _login_tty
00000001803128a0 (__TEXT,__text) external _logout
0000000180311400 (__TEXT,__text) external _logwtmp
000000018032111c (__TEXT,__text) external _lrand48
0000000180339d6c (__TEXT,__text) external _lsearch
                 (undefined) external _lseek (from libsystem_kernel)
                 (undefined) external _lstat (from libsystem_kernel)
0000000180311d84 (__TEXT,__text) external _lstatx_np
00000001802e85f4 (__TEXT,__text) non-external _lstatx_syscall
00000001802fd370 (__TEXT,__text) external _lutimes
                 (undefined) external _mach_absolute_time (from libsystem_kernel)
                 (undefined) external _mach_approximate_time (from libsystem_kernel)
                 (undefined) external _mach_boottime_usec (from libsystem_kernel)
                 (undefined) external _mach_continuous_approximate_time (from libsystem_kernel)
                 (undefined) external _mach_continuous_time (from libsystem_kernel)
                 (undefined) external _mach_error_string (from libsystem_kernel)
                 (undefined) external _mach_host_self (from libsystem_kernel)
                 (undefined) external _mach_port_deallocate (from libsystem_kernel)
                 (undefined) external _mach_task_self_ (from libsystem_kernel)
                 (undefined) external _mach_timebase_info (from libsystem_kernel)
                 (undefined) external _malloc (from libsystem_malloc)
00000001d3301530 (__DATA_CONST,__const) non-external _mapping
00000001802fb280 (__TEXT,__text) external _mblen
00000001802fb2fc (__TEXT,__text) external _mblen_l
00000001803122a8 (__TEXT,__text) external _mbmb
00000001d54886d0 (__DATA,__bss) non-external _mbmb.warn_depreciated
                 (undefined) external _mbr_gid_to_uuid (from libsystem_info)
                 (undefined) external _mbr_uid_to_uuid (from libsystem_info)
                 (undefined) external _mbr_uuid_to_id (from libsystem_info)
00000001802fb378 (__TEXT,__text) external _mbrlen
0000000180326b4c (__TEXT,__text) external _mbrlen_l
00000001803121ec (__TEXT,__text) external _mbrrune
00000001d54886cc (__DATA,__bss) non-external _mbrrune.warn_depreciated
00000001802fdf14 (__TEXT,__text) external _mbrtowc
00000001802fb9bc (__TEXT,__text) external _mbrtowc_l
0000000180312148 (__TEXT,__text) external _mbrune
00000001d54886c8 (__DATA,__bss) non-external _mbrune.warn_depreciated
0000000180326bc8 (__TEXT,__text) external _mbsinit
0000000180326b98 (__TEXT,__text) external _mbsinit_l
0000000180326c38 (__TEXT,__text) external _mbsnrtowcs
0000000180326bfc (__TEXT,__text) external _mbsnrtowcs_l
0000000180326df0 (__TEXT,__text) external _mbsrtowcs
0000000180326da8 (__TEXT,__text) external _mbsrtowcs_l
00000001802f5344 (__TEXT,__text) external _mbstowcs
0000000180326e3c (__TEXT,__text) external _mbstowcs_l
00000001802f50e0 (__TEXT,__text) external _mbtowc
00000001802d8270 (__TEXT,__text) external _mbtowc_l
                 (indirect) external _memccpy (for __platform_memccpy)
                 (indirect) external _memchr (for __platform_memchr)
                 (indirect) external _memcmp (for __platform_memcmp)
                 (indirect) external _memcpy (for __platform_memmove)
00000001802e6880 (__TEXT,__text) external _memmem
                 (indirect) external _memmove (for __platform_memmove)
                 (indirect) external _memset (for __platform_memset)
                 (indirect) external _memset_pattern16 (for __platform_memset_pattern16)
                 (indirect) external _memset_pattern4 (for __platform_memset_pattern4)
                 (indirect) external _memset_pattern8 (for __platform_memset_pattern8)
00000001802d3764 (__TEXT,__text) external _memset_s
0000000180329f44 (__TEXT,__text) non-external _memstream_close
0000000180329eb0 (__TEXT,__text) non-external _memstream_seek
00000001803483f8 (__TEXT,__text) non-external _memstream_seek.cold.1
0000000180348424 (__TEXT,__text) non-external _memstream_seek.cold.2
0000000180329d6c (__TEXT,__text) non-external _memstream_update
00000001803483cc (__TEXT,__text) non-external _memstream_update.cold.1
0000000180329da4 (__TEXT,__text) non-external _memstream_write
00000001802e7850 (__TEXT,__text) external _mergesort
00000001802f63e8 (__TEXT,__text) external _mergesort_b
                 (undefined) external _mkdirat (from libsystem_kernel)
0000000180311c18 (__TEXT,__text) external _mkdirx_np
00000001802fe2dc (__TEXT,__text) external _mkdtemp
000000018032de14 (__TEXT,__text) external _mkdtempat_np
0000000180311c04 (__TEXT,__text) external _mkfifox_np
000000018032dd90 (__TEXT,__text) external _mkostemp
000000018032dc4c (__TEXT,__text) external _mkostemps
000000018032dcd0 (__TEXT,__text) external _mkostempsat_np
00000001802dfc40 (__TEXT,__text) external _mkpath_np
0000000180311518 (__TEXT,__text) external _mkpathat_np
00000001802fbbe4 (__TEXT,__text) external _mkstemp
000000018032deb4 (__TEXT,__text) external _mkstemp_dprotected_np
00000001802efb54 (__TEXT,__text) external _mkstemps
000000018032dd44 (__TEXT,__text) external _mkstempsat_np
00000001802e63e0 (__TEXT,__text) external _mktemp
00000001802e8648 (__TEXT,__text) external _mktime
                 (undefined) external _mmap (from libsystem_kernel)
000000018034bc44 (__TEXT,__const) non-external _mon_lengths
000000018030c5c0 (__TEXT,__text) external _monaddition
000000018030c5d0 (__TEXT,__text) external _moncontrol
000000018030c5d4 (__TEXT,__text) external _moncount
000000018030c5b8 (__TEXT,__text) external _moninit
000000018030c5cc (__TEXT,__text) external _monitor
000000018030c5c8 (__TEXT,__text) external _monoutput
000000018030c5c4 (__TEXT,__text) external _monreset
000000018030c5bc (__TEXT,__text) external _monstartup
000000018032ccac (__TEXT,__text) non-external _moreglue
000000018031ae14 (__TEXT,__text) non-external _mpool_bkt
000000018031b0e8 (__TEXT,__text) external _mpool_close
000000018031ad5c (__TEXT,__text) external _mpool_filter
000000018031af00 (__TEXT,__text) external _mpool_get
000000018031ad6c (__TEXT,__text) external _mpool_new
0000000180347b0c (__TEXT,__text) non-external _mpool_new.cold.1
000000018031ac70 (__TEXT,__text) external _mpool_open
000000018031b0cc (__TEXT,__text) external _mpool_put
000000018031b144 (__TEXT,__text) external _mpool_sync
000000018031b1b8 (__TEXT,__text) non-external _mpool_write
0000000180321150 (__TEXT,__text) external _mrand48
0000000180313240 (__TEXT,__text) non-external _mswap
0000000180306b74 (__TEXT,__text) non-external _multiplyByFiveToTheN
                 (undefined) external _munmap (from libsystem_kernel)
00000001d5488668 (__DATA,__bss) non-external _namebuf
00000001802df21c (__TEXT,__text) external _nanosleep
00000001802f8b2c (__TEXT,__text) external _nanosleep$NOCANCEL
00000001d5488860 (__DATA,__bss) non-external _new_categories
0000000180310cbc (__TEXT,__text) external _new_printf_comp
00000001802ff8cc (__TEXT,__text) external _new_printf_domain
00000001802e4cc4 (__TEXT,__text) external _newlocale
00000001d65f1888 (__DATA_DIRTY,__data) non-external _next
000000018031edcc (__TEXT,__text) non-external _nextcomp
00000001d54886e8 (__DATA,__bss) non-external _nextcomp.lmsgverb
00000001d5488708 (__DATA,__bss) non-external _nextcomp.state
0000000180327214 (__TEXT,__text) external _nextwctype
0000000180327088 (__TEXT,__text) external _nextwctype_l
000000018030a750 (__TEXT,__text) external _nftw
0000000180321184 (__TEXT,__text) external _nice
00000001803029dc (__TEXT,__text) external _nl_langinfo
0000000180302a00 (__TEXT,__text) external _nl_langinfo_l
00000001d5488858 (__DATA,__bss) non-external _nl_langinfo_l.csym
000000018034bdc1 (__TEXT,__const) non-external _noarg
000000018034b960 (__TEXT,__const) non-external _nogrouping
00000001d5487094 (__DATA,__data) non-external _nonopt_end
00000001d5487098 (__DATA,__data) non-external _nonopt_start
                 (undefined) external _notify_cancel (from libsystem_notify)
                 (undefined) external _notify_check (from libsystem_notify)
00000001802d9300 (__TEXT,__text) non-external _notify_check_tz
                 (undefined) external _notify_monitor_file (from libsystem_notify)
                 (undefined) external _notify_post (from libsystem_notify)
                 (undefined) external _notify_register_check (from libsystem_notify)
00000001802da93c (__TEXT,__text) non-external _notify_register_tz
000000018034bc20 (__TEXT,__const) non-external _notify_tz_name
0000000180321244 (__TEXT,__text) external _nrand48
0000000180314850 (__TEXT,__text) non-external _nroot
00000001d5486e8c (__DATA,__data) non-external _numempty
00000001d5486ef0 (__DATA,__data) non-external _numempty
000000018034b4a0 (__TEXT,__const) non-external _nv
0000000180324500 (__TEXT,__text) external _nvis
00000001d5487130 (__DATA,__data) external _off32
00000001d5487188 (__DATA,__data) external _off64
00000001803366b0 (__TEXT,__text) external _offtime
00000001d3301518 (__DATA_CONST,__const) non-external _okshells
                 (undefined) external _open$NOCANCEL (from libsystem_kernel)
                 (undefined) external _open_dprotected_np (from libsystem_kernel)
0000000180329c4c (__TEXT,__text) external _open_memstream
00000001803102b0 (__TEXT,__text) external _open_with_subsystem
0000000180336200 (__TEXT,__text) external _open_wmemstream
                 (undefined) external _openat$NOCANCEL (from libsystem_kernel)
0000000180311590 (__TEXT,__text) external _opendev
0000000180311778 (__TEXT,__text) non-external _opendev_namebuf_init
00000001d5486d90 (__DATA,__data) non-external _opendev_namebuf_once
0000000180321288 (__TEXT,__text) external _opendir
0000000180321608 (__TEXT,__text) non-external _opendir_compar
00000001802f4704 (__TEXT,__text) external _openpty
0000000180303a7c (__TEXT,__text) external _openx_np
00000001d5488da0 (__DATA,__common) external _optarg
00000001d5487080 (__DATA,__data) external _opterr
00000001d65f1884 (__DATA_DIRTY,__data) external _optind
00000001d5488d9c (__DATA,__common) external _optopt
00000001d5488d98 (__DATA,__common) external _optreset
                 (undefined) external _os_log_simple_type_from_asl (from libsystem_platform)
                 (undefined) external _os_log_type_enabled (from libsystem_trace)
                 (undefined) external _os_unfair_lock_lock (from libsystem_platform)
                 (undefined) external _os_unfair_lock_lock_with_options (from libsystem_platform)
                 (undefined) external _os_unfair_lock_unlock (from libsystem_platform)
00000001d65f1960 (__DATA_DIRTY,__bss) non-external _p5s
000000018034ba09 (__TEXT,__const) non-external _padchar
00000001d5487fba (__DATA,__bss) non-external _parse_error
00000001802fd83c (__TEXT,__text) non-external _parse_long_options
00000001d5487fb8 (__DATA,__bss) non-external _parsed
                 (undefined) external _pathconf (from libsystem_kernel)
0000000180346678 (__TEXT,__text) external _pause
000000018032161c (__TEXT,__text) external _pause$NOCANCEL
000000018032199c (__TEXT,__text) external _pclose
0000000180307b14 (__TEXT,__text) non-external _permute
0000000180339874 (__TEXT,__text) non-external _permute_args
00000001803485dc (__TEXT,__text) external _perror
00000001d5488740 (__DATA,__bss) non-external _pfp
                 (undefined) external _pipe (from libsystem_kernel)
00000001d54870a0 (__DATA,__data) non-external _place
0000000180321654 (__TEXT,__text) external _popen
000000018034695c (__TEXT,__text) external _popen$DARWIN_EXTSN
000000018033675c (__TEXT,__text) external _posix2time
00000001802f482c (__TEXT,__text) external _posix_openpt
                 (undefined) external _posix_spawn (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_addclose (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_adddup2 (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_addinherit_np (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_destroy (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_init (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_destroy (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_init (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_setflags (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_setsigdefault (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_setsigmask (from libsystem_kernel)
0000000180301d88 (__TEXT,__text) external _posix_spawnp
000000018034a9c8 (__TEXT,__const) non-external _powersOf10_CoarseBinary64
000000018034a5a0 (__TEXT,__const) non-external _powersOf10_Float
000000018034a490 (__TEXT,__const) non-external _powersOfFive
                 (undefined) external _pread$NOCANCEL (from libsystem_kernel)
00000001802fdf54 (__TEXT,__text) external _printf
00000001d5488d20 (__DATA,__bss) non-external _printf_info_queue
000000018032f97c (__TEXT,__text) external _printf_l
000000018031eb2c (__TEXT,__text) non-external _printfmt
                 (undefined) external _proc_name (from libsystem_kernel)
0000000180321a98 (__TEXT,__text) external _psignal
000000018033d1cc (__TEXT,__text) external _psort
000000018033dcfc (__TEXT,__text) external _psort_b
00000001802fe088 (__TEXT,__text) external _psort_r
                 (undefined) external _pthread_fchdir_np (from libsystem_pthread)
                 (undefined) external _pthread_get_stackaddr_np (from libsystem_pthread)
                 (undefined) external _pthread_get_stacksize_np (from libsystem_pthread)
                 (undefined) external _pthread_getspecific (from libsystem_pthread)
                 (undefined) external _pthread_key_create (from libsystem_pthread)
                 (undefined) external _pthread_key_init_np (from libsystem_pthread)
                 (undefined) external _pthread_kill (from libsystem_pthread)
                 (undefined) external _pthread_mutex_destroy (from libsystem_pthread)
                 (undefined) external _pthread_mutex_init (from libsystem_pthread)
                 (undefined) external _pthread_mutex_lock (from libsystem_pthread)
                 (undefined) external _pthread_mutex_trylock (from libsystem_pthread)
                 (undefined) external _pthread_mutex_unlock (from libsystem_pthread)
                 (undefined) external _pthread_once (from libsystem_pthread)
                 (undefined) external _pthread_rwlock_destroy (from libsystem_pthread)
                 (undefined) external _pthread_rwlock_rdlock (from libsystem_pthread)
                 (undefined) external _pthread_rwlock_unlock (from libsystem_pthread)
                 (undefined) external _pthread_rwlock_wrlock (from libsystem_pthread)
                 (undefined) external _pthread_self (from libsystem_pthread)
                 (undefined) external _pthread_setspecific (from libsystem_pthread)
                 (undefined) external _pthread_sigmask (from libsystem_pthread)
                 (undefined) external _pthread_stack_frame_decode_np (from libsystem_pthread)
                 (undefined) external _pthread_testcancel (from libsystem_pthread)
000000018033ca90 (__TEXT,__text) external _ptsname
0000000180348bc0 (__TEXT,__text) non-external _ptsname.cold.1
0000000180348bdc (__TEXT,__text) non-external _ptsname.cold.2
00000001d5488cf8 (__DATA,__bss) non-external _ptsname_buffer_specific_key
00000001d5488cf0 (__DATA,__bss) non-external _ptsname_once
000000018033cb40 (__TEXT,__text) non-external _ptsname_once_init
0000000180348bf8 (__TEXT,__text) non-external _ptsname_once_init.cold.1
00000001802f4870 (__TEXT,__text) external _ptsname_r
00000001803020b0 (__TEXT,__text) external _putc
000000018032f9bc (__TEXT,__text) external _putc_unlocked
00000001802fdfb0 (__TEXT,__text) external _putchar
000000018032fa00 (__TEXT,__text) external _putchar_unlocked
0000000180339ef4 (__TEXT,__text) external _putenv
0000000180319ba4 (__TEXT,__text) non-external _putpair
00000001802fd510 (__TEXT,__text) external _puts
00000001803421bc (__TEXT,__text) external _pututxline
000000018032fa50 (__TEXT,__text) external _putw
000000018032fac0 (__TEXT,__text) external _putwc
000000018032fae4 (__TEXT,__text) external _putwc_l
000000018032fae8 (__TEXT,__text) external _putwchar
000000018032fb18 (__TEXT,__text) external _putwchar_l
00000001d54880f0 (__DATA,__bss) non-external _pw_size
                 (undefined) external _pwrite$NOCANCEL (from libsystem_kernel)
00000001802de024 (__TEXT,__text) external _qsort
00000001802dece0 (__TEXT,__text) external _qsort_b
00000001802ded18 (__TEXT,__text) external _qsort_r
000000018030e89c (__TEXT,__text) external _querylocale
000000018033ab7c (__TEXT,__text) non-external _r_sort_a
00000001d5488cc4 (__DATA,__bss) non-external _r_sort_a.bmin
00000001d5488cb8 (__DATA,__bss) non-external _r_sort_a.count
00000001d5488cc0 (__DATA,__bss) non-external _r_sort_a.nc
00000001d5488cc8 (__DATA,__bss) non-external _r_sort_a_count
000000018033b108 (__TEXT,__text) non-external _r_sort_b
00000001d5488ce4 (__DATA,__bss) non-external _r_sort_b.bmin
00000001d5488cd8 (__DATA,__bss) non-external _r_sort_b.count
00000001d5488ce0 (__DATA,__bss) non-external _r_sort_b.nc
00000001d5488cd0 (__DATA,__bss) non-external _r_sort_b_count
000000018033b4c0 (__TEXT,__text) non-external _r_sort_count_allocate
00000001d54870b0 (__DATA,__data) non-external _r_sort_count_control
000000018033aa94 (__TEXT,__text) external _radixsort
0000000180311520 (__TEXT,__text) external _raise
00000001802e1984 (__TEXT,__text) external _rand
00000001d54870cc (__DATA,__data) non-external _rand_deg
00000001802e7654 (__TEXT,__text) external _rand_r
00000001d54870d0 (__DATA,__data) non-external _rand_sep
00000001d54870c8 (__DATA,__data) non-external _rand_type
00000001802e0220 (__TEXT,__text) external _random
00000001d65f1890 (__DATA_DIRTY,__data) non-external _randtbl
000000018031ee44 (__TEXT,__text) non-external (was a private external) _rangematch
00000001803101c8 (__TEXT,__text) non-external _raosnprintf
00000001803434d8 (__TEXT,__text) external _rb_tree_count
00000001802faab4 (__TEXT,__text) external _rb_tree_find_node
0000000180343348 (__TEXT,__text) external _rb_tree_find_node_geq
00000001803433d0 (__TEXT,__text) external _rb_tree_find_node_leq
00000001802faaa4 (__TEXT,__text) external _rb_tree_init
00000001802fab20 (__TEXT,__text) external _rb_tree_insert_node
0000000180343458 (__TEXT,__text) external _rb_tree_iterate
00000001803434e4 (__TEXT,__text) non-external _rb_tree_removal_rebalance
00000001803037f0 (__TEXT,__text) external _rb_tree_remove_node
00000001802fad04 (__TEXT,__text) non-external _rb_tree_reparent_nodes
000000018034af70 (__TEXT,__const) non-external _rcsid
000000018034afbf (__TEXT,__const) non-external _rcsid
000000018034b009 (__TEXT,__const) non-external _rcsid
000000018034b106 (__TEXT,__const) non-external _rcsid
000000018034be78 (__TEXT,__const) non-external _rcsid
000000018034bf3d (__TEXT,__const) non-external _rcsid
                 (undefined) external _read$NOCANCEL (from libsystem_kernel)
0000000180321ce4 (__TEXT,__text) external _readdir
0000000180321d2c (__TEXT,__text) external _readdir_r
                 (undefined) external _readlink (from libsystem_kernel)
0000000180321de8 (__TEXT,__text) external _readpassphrase
                 (undefined) external _realloc (from libsystem_malloc)
                 (undefined) external _reallocarray$DARWIN_EXTSN (from libsystem_malloc)
00000001802d37d8 (__TEXT,__text) external _reallocf
000000018033b7c4 (__TEXT,__text) external _realpath
00000001802e3d74 (__TEXT,__text) external _realpath$DARWIN_EXTSN
00000001d65f31ac (__DATA_DIRTY,__bss) non-external _realpath$DARWIN_EXTSN.rootdev
00000001d65f31b0 (__DATA_DIRTY,__bss) non-external _realpath$DARWIN_EXTSN.rootdev_inited
00000001d5488ce8 (__DATA,__bss) non-external _realpath.rootdev
00000001d5488cec (__DATA,__bss) non-external _realpath.rootdev_inited
000000018031b600 (__TEXT,__text) non-external _rec_rdelete
000000018034bd82 (__TEXT,__const) non-external _recargchar
000000018034bdeb (__TEXT,__const) non-external _recargstring
00000001802e3b48 (__TEXT,__text) external _recv
00000001802e3b30 (__TEXT,__text) external _recv$NOCANCEL
00000001802e8fd4 (__TEXT,__text) external _regcomp
00000001802e8ff8 (__TEXT,__text) external _regcomp_l
0000000180348828 (__TEXT,__text) external _regerror
00000001802eddf4 (__TEXT,__text) external _regexec
00000001802f1c2c (__TEXT,__text) external _regfree
00000001802ffa98 (__TEXT,__text) external _register_printf_domain_function
0000000180310f28 (__TEXT,__text) non-external (was a private external) _register_printf_domain_render
000000018031100c (__TEXT,__text) external _register_printf_domain_render_std
0000000180343640 (__TEXT,__text) external _regncomp
00000001802e9080 (__TEXT,__text) external _regncomp_l
00000001802ede08 (__TEXT,__text) external _regnexec
0000000180343730 (__TEXT,__text) external _regwcomp
00000001803436b0 (__TEXT,__text) external _regwcomp_l
00000001803437d8 (__TEXT,__text) external _regwexec
000000018034368c (__TEXT,__text) external _regwncomp
0000000180343664 (__TEXT,__text) external _regwncomp_l
00000001803437a8 (__TEXT,__text) external _regwnexec
00000001802f98bc (__TEXT,__text) external _remove
000000018033bf10 (__TEXT,__text) external _remque
00000001d3302130 (__DATA_CONST,__const) non-external _rerrs
00000001802e6238 (__TEXT,__text) external _rewind
00000001803223a8 (__TEXT,__text) external _rewinddir
00000001802e6944 (__TEXT,__text) external _rindex
                 (undefined) external _rmdir (from libsystem_kernel)
00000001d65f1968 (__DATA_DIRTY,__bss) non-external _rng
000000018032dfb8 (__TEXT,__text) external _rpmatch
00000001d54870e0 (__DATA,__data) non-external _rptr
00000001802fd258 (__TEXT,__text) non-external _sappend
00000001d5488940 (__DATA,__bss) non-external _saved_categories
0000000180304ac4 (__TEXT,__text) external _sbrk
00000001d5487ec8 (__DATA,__bss) non-external _sbrk_curbrk
00000001d5487ec0 (__DATA,__bss) non-external _sbrk_needs_init
00000001d5486c70 (__DATA,__data) non-external _sbrk_region_size
