0000000182bba330 (__DATA,__data) non-external _C
0000000182bc6e60 (__DATA,__common) external _optreset
                 (undefined) external _os_unfair_lock_lock (from libsystem_platform)
                 (undefined) external _os_unfair_lock_lock_with_options (from libsystem_platform)
                 (undefined) external _os_unfair_lock_unlock (from libsystem_platform)
0000000180a33a48 (__TEXT,__text) non-external _overflow
0000000182bbc0b8 (__DATA,__bss) non-external _p5s
0000000180a9bc1d (__TEXT,__const) non-external _padchar
0000000182bbbef2 (__DATA,__bss) non-external _parse_error
0000000180a7e3d8 (__TEXT,__text) non-external _parse_long_options
0000000182bbbef0 (__DATA,__bss) non-external _parsed
                 (undefined) external _pathconf (from libsystem_kernel)
0000000180a96a4c (__TEXT,__text) external _pause
0000000180a511b8 (__TEXT,__text) external _pause$NOCANCEL
0000000180a515e8 (__TEXT,__text) external _pclose
0000000180a7e338 (__TEXT,__text) non-external _permute_args
0000000180a997c8 (__TEXT,__text) external _perror
0000000182bbc130 (__DATA,__bss) non-external _pfp
                 (undefined) external _pipe (from libsystem_kernel)
0000000182bbb080 (__DATA,__data) non-external _place
0000000180a511f0 (__TEXT,__text) external _popen
0000000180a9707c (__TEXT,__text) external _popen$DARWIN_EXTSN
0000000180a75a00 (__TEXT,__text) external _posix2time
0000000180a84d78 (__TEXT,__text) external _posix_openpt
                 (undefined) external _posix_spawn (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_addclose (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_adddup2 (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_addinherit_np (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_destroy (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_init (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_destroy (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_init (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_setflags (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_setsigdefault (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_setsigmask (from libsystem_kernel)
0000000180a3e538 (__TEXT,__text) external _posix_spawnp
0000000180a9b248 (__TEXT,__const) non-external _powersOf10_CoarseBinary64
0000000180a9ae20 (__TEXT,__const) non-external _powersOf10_Float
0000000180a9ad10 (__TEXT,__const) non-external _powersOfFive
                 (undefined) external _pread$NOCANCEL (from libsystem_kernel)
0000000180a66134 (__TEXT,__text) external _printf
0000000180a66190 (__TEXT,__text) external _printf_l
0000000180a4da7c (__TEXT,__text) non-external _printfmt
                 (undefined) external _proc_name (from libsystem_kernel)
0000000180a5173c (__TEXT,__text) external _psignal
                 (undefined) external _pthread_fchdir_np (from libsystem_pthread)
                 (undefined) external _pthread_get_stackaddr_np (from libsystem_pthread)
                 (undefined) external _pthread_get_stacksize_np (from libsystem_pthread)
                 (undefined) external _pthread_getspecific (from libsystem_pthread)
                 (undefined) external _pthread_key_create (from libsystem_pthread)
                 (undefined) external _pthread_key_init_np (from libsystem_pthread)
                 (undefined) external _pthread_kill (from libsystem_pthread)
                 (undefined) external _pthread_mutex_destroy (from libsystem_pthread)
                 (undefined) external _pthread_mutex_lock (from libsystem_pthread)
                 (undefined) external _pthread_mutex_trylock (from libsystem_pthread)
                 (undefined) external _pthread_mutex_unlock (from libsystem_pthread)
                 (undefined) external _pthread_once (from libsystem_pthread)
                 (undefined) external _pthread_rwlock_destroy (from libsystem_pthread)
                 (undefined) external _pthread_rwlock_rdlock (from libsystem_pthread)
                 (undefined) external _pthread_rwlock_unlock (from libsystem_pthread)
                 (undefined) external _pthread_rwlock_wrlock (from libsystem_pthread)
                 (undefined) external _pthread_self (from libsystem_pthread)
                 (undefined) external _pthread_setspecific (from libsystem_pthread)
                 (undefined) external _pthread_sigmask (from libsystem_pthread)
                 (undefined) external _pthread_stack_frame_decode_np (from libsystem_pthread)
                 (undefined) external _pthread_testcancel (from libsystem_pthread)
0000000180a84db0 (__TEXT,__text) external _ptsname
0000000180a989c0 (__TEXT,__text) non-external _ptsname.cold.1
0000000180a99ce4 (__TEXT,__text) non-external _ptsname.cold.2
0000000182bc6d50 (__DATA,__bss) non-external _ptsname_buffer_specific_key
0000000182bc6d48 (__DATA,__bss) non-external _ptsname_once
0000000180a84e6c (__TEXT,__text) non-external _ptsname_once_init
0000000180a99ce4 (__TEXT,__text) non-external _ptsname_once_init.cold.1
0000000180a84ea8 (__TEXT,__text) external _ptsname_r
0000000180a661d0 (__TEXT,__text) external _putc
0000000180a6625c (__TEXT,__text) external _putc_unlocked
0000000180a662a0 (__TEXT,__text) external _putchar
0000000180a66334 (__TEXT,__text) external _putchar_unlocked
0000000180a7f894 (__TEXT,__text) external _putenv
0000000180a45d34 (__TEXT,__text) non-external _putpair
0000000180a66384 (__TEXT,__text) external _puts
0000000180a664b8 (__TEXT,__text) external _putw
0000000180a66528 (__TEXT,__text) external _putwc
0000000180a6654c (__TEXT,__text) external _putwc_l
0000000180a66550 (__TEXT,__text) external _putwchar
0000000180a66580 (__TEXT,__text) external _putwchar_l
                 (undefined) external _pwrite$NOCANCEL (from libsystem_kernel)
0000000180a7f930 (__TEXT,__text) external _qsort
0000000180a85498 (__TEXT,__text) external _qsort_b
0000000180a80404 (__TEXT,__text) external _qsort_r
0000000180a3bc5c (__TEXT,__text) external _querylocale
0000000180a9b388 (__TEXT,__const) non-external _querylocale_mapping
0000000180a8ad30 (__TEXT,__text) external _quick_exit
0000000180a81094 (__TEXT,__text) non-external _r_sort_a
0000000182bc6d1c (__DATA,__bss) non-external _r_sort_a.bmin
0000000182bc6d10 (__DATA,__bss) non-external _r_sort_a.count
0000000182bc6d18 (__DATA,__bss) non-external _r_sort_a.nc
0000000182bc6d20 (__DATA,__bss) non-external _r_sort_a_count
0000000180a81684 (__TEXT,__text) non-external _r_sort_b
0000000182bc6d3c (__DATA,__bss) non-external _r_sort_b.bmin
0000000182bc6d30 (__DATA,__bss) non-external _r_sort_b.count
0000000182bc6d38 (__DATA,__bss) non-external _r_sort_b.nc
0000000182bc6d28 (__DATA,__bss) non-external _r_sort_b_count
0000000180a81a10 (__TEXT,__text) non-external _r_sort_count_allocate
0000000182bbb090 (__DATA,__data) non-external _r_sort_count_control
0000000180a80fac (__TEXT,__text) external _radixsort
0000000180a3d89c (__TEXT,__text) external _raise
0000000180a81ad8 (__TEXT,__text) external _rand
0000000182bbb0b4 (__DATA,__data) non-external _rand_deg
0000000180a81a6c (__TEXT,__text) external _rand_r
0000000182bbb0b8 (__DATA,__data) non-external _rand_sep
0000000182bbb0b0 (__DATA,__data) non-external _rand_type
0000000180a81cb8 (__TEXT,__text) external _random
0000000182bbb0d8 (__DATA,__data) non-external _randtbl
0000000180a4e2a4 (__TEXT,__text) non-external (was a private external) _rangematch
0000000180a8c300 (__TEXT,__text) external _rb_tree_count
0000000180a8bc8c (__TEXT,__text) external _rb_tree_find_node
0000000180a8bcfc (__TEXT,__text) external _rb_tree_find_node_geq
0000000180a8bd88 (__TEXT,__text) external _rb_tree_find_node_leq
0000000180a8bc7c (__TEXT,__text) external _rb_tree_init
0000000180a8be14 (__TEXT,__text) external _rb_tree_insert_node
0000000180a8c280 (__TEXT,__text) external _rb_tree_iterate
0000000180a8c3a4 (__TEXT,__text) non-external _rb_tree_removal_rebalance
0000000180a8bffc (__TEXT,__text) external _rb_tree_remove_node
0000000180a8c30c (__TEXT,__text) non-external _rb_tree_reparent_nodes
0000000180a9c060 (__TEXT,__const) non-external _rcsid
0000000180a9c0ea (__TEXT,__const) non-external _rcsid
                 (undefined) external _read$NOCANCEL (from libsystem_kernel)
0000000180a5198c (__TEXT,__text) external _readdir
0000000180a519d4 (__TEXT,__text) external _readdir_r
                 (undefined) external _readlink (from libsystem_kernel)
                 (undefined) external _reallocarray$DARWIN_EXTSN (from libsystem_malloc)
                 (undefined) external _reallocf (from libsystem_malloc)
0000000180a820a8 (__TEXT,__text) external _realpath
0000000180a977bc (__TEXT,__text) external _realpath$DARWIN_EXTSN
0000000182bc6d70 (__DATA,__bss) non-external _realpath$DARWIN_EXTSN.rootdev
0000000182bc6d74 (__DATA,__bss) non-external _realpath$DARWIN_EXTSN.rootdev_inited
0000000182bc6d40 (__DATA,__bss) non-external _realpath.rootdev
0000000182bc6d44 (__DATA,__bss) non-external _realpath.rootdev_inited
0000000180a477e4 (__TEXT,__text) non-external _rec_rdelete
0000000180a9bf6c (__TEXT,__const) non-external _recargchar
0000000180a9bfd5 (__TEXT,__const) non-external _recargstring
0000000180a96dc8 (__TEXT,__text) external _recv
0000000180a5ee4c (__TEXT,__text) external _recv$NOCANCEL
0000000180a8c754 (__TEXT,__text) external _regcomp
0000000180a8c6cc (__TEXT,__text) external _regcomp_l
0000000180a99980 (__TEXT,__text) external _regerror
0000000180a8ce88 (__TEXT,__text) external _regexec
0000000180a8c8bc (__TEXT,__text) external _regfree
0000000180a3ce10 (__TEXT,__text) external _register_printf_domain_function
0000000180a3cf1c (__TEXT,__text) non-external (was a private external) _register_printf_domain_render
0000000180a3d028 (__TEXT,__text) external _register_printf_domain_render_std
0000000180a8c6a8 (__TEXT,__text) external _regncomp
0000000180a8c500 (__TEXT,__text) external _regncomp_l
0000000180a8cc80 (__TEXT,__text) external _regnexec
0000000180a8c844 (__TEXT,__text) external _regwcomp
0000000180a8c7c4 (__TEXT,__text) external _regwcomp_l
0000000180a8cecc (__TEXT,__text) external _regwexec
0000000180a8c7a0 (__TEXT,__text) external _regwncomp
0000000180a8c778 (__TEXT,__text) external _regwncomp_l
0000000180a8ce9c (__TEXT,__text) external _regwnexec
0000000180a667f8 (__TEXT,__text) external _remove
0000000180a827ec (__TEXT,__text) external _remque
0000000180b9ac48 (__DATA_CONST,__const) non-external _rerrs
0000000180a6686c (__TEXT,__text) external _rewind
0000000180a51a90 (__TEXT,__text) external _rewinddir
0000000180a797b8 (__TEXT,__text) external _rindex
                 (undefined) external _rmdir (from libsystem_kernel)
0000000182bbc0c0 (__DATA,__bss) non-external _rng
0000000180a645a4 (__TEXT,__text) external _rpmatch
0000000182bbb0c8 (__DATA,__data) non-external _rptr
0000000180a6359c (__TEXT,__text) non-external _sappend
0000000182bbc2a8 (__DATA,__bss) non-external _saved_categories
0000000180a31a04 (__TEXT,__text) external _sbrk
0000000182bbbed0 (__DATA,__bss) non-external _sbrk_curbrk
0000000182bbbec8 (__DATA,__bss) non-external _sbrk_needs_init
0000000182bb9c68 (__DATA,__data) non-external _sbrk_region_size
0000000180a51b14 (__TEXT,__text) external _scandir
0000000180a86eb4 (__TEXT,__text) external _scandir_b
0000000180a66948 (__TEXT,__text) external _scanf
0000000180a669c8 (__TEXT,__text) external _scanf_l
0000000180a9b688 (__TEXT,__const) non-external _sccsid
0000000180a9b6b8 (__TEXT,__const) non-external _sccsid
0000000180a51d20 (__TEXT,__text) external _seed48
0000000182bbc164 (__DATA,__bss) non-external _seed48.sseed
0000000180a51d88 (__TEXT,__text) external _seekdir
                 (undefined) external _select$NOCANCEL (from libsystem_kernel)
                 (undefined) external _semaphore_create (from libsystem_kernel)
0000000180a96dd4 (__TEXT,__text) external _send
0000000180a5ee58 (__TEXT,__text) external _send$NOCANCEL
0000000180a9c028 (__TEXT,__const) non-external _seps
0000000182bbbf50 (__DATA,__bss) non-external _seq
                 (undefined) external _setattrlist (from libsystem_kernel)
0000000180a66a58 (__TEXT,__text) external _setbuf
0000000180a66a6c (__TEXT,__text) external _setbuffer
0000000180a83104 (__TEXT,__text) external _setenv
0000000180a3ef08 (__TEXT,__text) external _sethostid
0000000180a51de0 (__TEXT,__text) external _sethostname
                 (undefined) external _setitimer (from libsystem_kernel)
0000000180a66a84 (__TEXT,__text) external _setlinebuf
0000000180a5b014 (__TEXT,__text) external _setlocale
0000000180a51f6c (__TEXT,__text) external _setmode
                 (undefined) external _setpgid (from libsystem_kernel)
0000000180a3ef7c (__TEXT,__text) external _setpgrp
                 (undefined) external _setpriority (from libsystem_kernel)
0000000180a52684 (__TEXT,__text) external _setprogname
                 (undefined) external _setregid (from libsystem_kernel)
                 (undefined) external _setreuid (from libsystem_kernel)
0000000180a3efc0 (__TEXT,__text) external _setrgid
                 (undefined) external _setrlimit (from libsystem_kernel)
0000000180a3efc8 (__TEXT,__text) external _setruid
                 (undefined) external _setsid (from libsystem_kernel)
0000000180a81fe4 (__TEXT,__text) external _setstate
0000000180a3e83c (__TEXT,__text) external _settimeofday
0000000180a3766c (__TEXT,__text) external _setttyent
0000000180a7485c (__TEXT,__text) non-external _settzname
0000000180a381d4 (__TEXT,__text) external _setusershell
0000000180a66a94 (__TEXT,__text) external _setvbuf
0000000180a6000c (__TEXT,__text) non-external _sflush_locked
0000000182bbbfc8 (__DATA,__bss) non-external _shells
0000000180a340fc (__TEXT,__text) non-external _shiftLeftMP
0000000180a33ec4 (__TEXT,__text) non-external _shiftRightMPWithRounding
0000000182bbb010 (__DATA,__data) non-external _sig_init_once
0000000182bc6cd8 (__DATA,__bss) non-external _sig_key
0000000180a7a4e4 (__TEXT,__text) non-external _sig_keycreate
0000000182bc6cd0 (__DATA,__bss) non-external _sig_keycreated
0000000180a3e8b0 (__TEXT,__text) external _sigaction
0000000180a38a0c (__TEXT,__text) external _sigaddset
0000000180a31000 (__TEXT,__text) external _sigaltstack
0000000180a310f8 (__TEXT,__text) external _sigblock
0000000180a38a68 (__TEXT,__text) external _sigdelset
0000000180a389f0 (__TEXT,__text) external _sigemptyset
0000000180a389fc (__TEXT,__text) external _sigfillset
0000000180a311d4 (__TEXT,__text) external _sighold
0000000180a3128c (__TEXT,__text) external _sigignore
0000000180a52730 (__TEXT,__text) external _siginterrupt
0000000180a38ac4 (__TEXT,__text) external _sigismember
0000000180a527e0 (__TEXT,__text) external _signal
0000000180a527e8 (__TEXT,__text) non-external _signal__
0000000180a968bc (__TEXT,__text) external _sigpause
0000000180a31138 (__TEXT,__text) external _sigpause$NOCANCEL
                 (undefined) external _sigprocmask (from libsystem_kernel)
0000000180a31230 (__TEXT,__text) external _sigrelse
0000000180a312f8 (__TEXT,__text) external _sigset
0000000180a310b8 (__TEXT,__text) external _sigsetmask
                 (undefined) external _sigsuspend (from libsystem_kernel)
                 (undefined) external _sigsuspend$NOCANCEL (from libsystem_kernel)
0000000180a3104c (__TEXT,__text) external _sigvec
0000000180a31054 (__TEXT,__text) non-external _sigvec__
0000000180a37e5c (__TEXT,__text) non-external _skip
0000000180a529d4 (__TEXT,__text) external _sl_add
0000000180a52abc (__TEXT,__text) external _sl_find
0000000180a52a44 (__TEXT,__text) external _sl_free
0000000180a52960 (__TEXT,__text) external _sl_init
0000000180a9950c (__TEXT,__text) non-external _sl_init.cold.1
0000000180a9950c (__TEXT,__text) non-external _sl_init.cold.2
0000000182bbc140 (__DATA,__bss) non-external _slash
0000000180a96a84 (__TEXT,__text) external _sleep
0000000180a52890 (__TEXT,__text) external _sleep$NOCANCEL
0000000182bbbf48 (__DATA,__bss) non-external _slot
0000000180a66d18 (__TEXT,__text) external _snprintf
0000000180a66d68 (__TEXT,__text) external _snprintf_l
0000000180a54f44 (__TEXT,__text) external _snvis
0000000180a5ee64 (__TEXT,__text) external _sockatmark
                 (undefined) external _socket (from libsystem_kernel)
                 (undefined) external _socketpair (from libsystem_kernel)
0000000180a66d94 (__TEXT,__text) external _sprintf
0000000180a66de4 (__TEXT,__text) external _sprintf_l
0000000180a8149c (__TEXT,__text) external _sradixsort
0000000180a81b40 (__TEXT,__text) external _srand
0000000180a52920 (__TEXT,__text) external _srand48
0000000180a81b50 (__TEXT,__text) external _sranddev
0000000180a81be0 (__TEXT,__text) external _srandom
0000000180a81d88 (__TEXT,__text) external _srandomdev
0000000180a66e10 (__TEXT,__text) external _sscanf
0000000180a66e60 (__TEXT,__text) external _sscanf_l
                 (undefined) external _stat (from libsystem_kernel)
0000000180a3c144 (__TEXT,__text) external _stat_with_subsystem
0000000182bbb0a8 (__DATA,__data) non-external _state
                 (undefined) external _statfs (from libsystem_kernel)
0000000180a34434 (__TEXT,__text) external _statvfs
0000000180a3e8b8 (__TEXT,__text) external _stpcpy
0000000180a3e904 (__TEXT,__text) external _stpncpy
0000000180a55250 (__TEXT,__text) external _stravis
0000000180a798e8 (__TEXT,__text) external _strcasecmp
0000000180a797e0 (__TEXT,__text) external _strcasecmp_l
0000000180a79b54 (__TEXT,__text) external _strcasestr
0000000180a79a60 (__TEXT,__text) external _strcasestr_l
0000000180a3e990 (__TEXT,__text) external _strcat
                 (indirect) external _strchr (for __platform_strchr)
                 (indirect) external _strcmp (for __platform_strcmp)
0000000180a79c84 (__TEXT,__text) external _strcoll
0000000180a79b78 (__TEXT,__text) external _strcoll_l
                 (indirect) external _strcpy (for __platform_strcpy)
0000000180a79ca8 (__TEXT,__text) external _strcspn
0000000180a79d64 (__TEXT,__text) external _strdup
0000000180a552e8 (__TEXT,__text) external _strenvisx
0000000180a79f18 (__TEXT,__text) external _strerror
0000000180a79ea0 (__TEXT,__text) external _strerror_r
0000000180a8ad70 (__TEXT,__text) external _strfmon
0000000180a8ba20 (__TEXT,__text) external _strfmon_l
0000000180a77a50 (__TEXT,__text) external _strftime
0000000180a769d4 (__TEXT,__text) external _strftime_l
0000000182bbbfd0 (__DATA,__bss) non-external _strings
                 (indirect) external _strlcat (for __platform_strlcat)
                 (indirect) external _strlcpy (for __platform_strlcpy)
                 (indirect) external _strlen (for __platform_strlen)
0000000180a79fac (__TEXT,__text) external _strmode
0000000180a79a3c (__TEXT,__text) external _strncasecmp
0000000180a7990c (__TEXT,__text) external _strncasecmp_l
0000000180a3e9e4 (__TEXT,__text) external _strncat
                 (indirect) external _strncmp (for __platform_strncmp)
                 (indirect) external _strncpy (for __platform_strncpy)
0000000180a7a0f0 (__TEXT,__text) external _strndup
                 (indirect) external _strnlen (for __platform_strnlen)
0000000180a7a168 (__TEXT,__text) external _strnstr
0000000180a5480c (__TEXT,__text) external _strnunvis
0000000180a54688 (__TEXT,__text) external _strnunvisx
0000000180a99580 (__TEXT,__text) non-external _strnunvisx.cold.1
0000000180a995ac (__TEXT,__text) non-external _strnunvisx.cold.2
0000000180a995d8 (__TEXT,__text) non-external _strnunvisx.cold.3
0000000180a5521c (__TEXT,__text) external _strnvis
0000000180a552b0 (__TEXT,__text) external _strnvisx
0000000180a7a204 (__TEXT,__text) external _strpbrk
0000000180a77c64 (__TEXT,__text) external _strptime
0000000180a77c88 (__TEXT,__text) external _strptime_l
0000000180a7a23c (__TEXT,__text) external _strrchr
0000000180a550f4 (__TEXT,__text) external _strsenvisx
0000000180a7a264 (__TEXT,__text) external _strsep
0000000180a7a408 (__TEXT,__text) external _strsignal
0000000180a7a2b4 (__TEXT,__text) external _strsignal_r
0000000180a55058 (__TEXT,__text) external _strsnvis
0000000180a550c4 (__TEXT,__text) external _strsnvisx
0000000180a7a528 (__TEXT,__text) external _strspn
                 (indirect) external _strstr (for __platform_strstr)
0000000180a54fa0 (__TEXT,__text) external _strsvis
0000000180a55084 (__TEXT,__text) external _strsvisx
0000000180a323e0 (__TEXT,__text) external _strtod
0000000180a32434 (__TEXT,__text) external _strtod_l
0000000180a31b60 (__TEXT,__text) external _strtoencf16
0000000180a31c34 (__TEXT,__text) external _strtoencf32
0000000180a31f8c (__TEXT,__text) external _strtoencf64
0000000180a323bc (__TEXT,__text) external _strtoencf64x
0000000180a31f00 (__TEXT,__text) external _strtof
0000000180a31f54 (__TEXT,__text) external _strtof_l
0000000180a38bbc (__TEXT,__text) external _strtofflags
0000000180a83aa8 (__TEXT,__text) external _strtoimax
0000000180a83840 (__TEXT,__text) external _strtoimax_l
0000000180a7a664 (__TEXT,__text) external _strtok
0000000182bc6ce0 (__DATA,__bss) non-external _strtok.last
0000000180a7a5e0 (__TEXT,__text) external _strtok_r
0000000180a83d34 (__TEXT,__text) external _strtol
0000000180a83acc (__TEXT,__text) external _strtol_l
0000000180a3246c (__TEXT,__text) external _strtold
0000000180a324c0 (__TEXT,__text) external _strtold_l
0000000180a83fc0 (__TEXT,__text) external _strtoll
0000000180a83d58 (__TEXT,__text) external _strtoll_l
0000000180a61998 (__TEXT,__text) external _strtonum
0000000180a83fe4 (__TEXT,__text) external _strtoq
0000000180a84008 (__TEXT,__text) external _strtoq_l
0000000180a84268 (__TEXT,__text) external _strtoul
0000000180a8400c (__TEXT,__text) external _strtoul_l
0000000180a844e8 (__TEXT,__text) external _strtoull
0000000180a8428c (__TEXT,__text) external _strtoull_l
0000000180a84768 (__TEXT,__text) external _strtoumax
0000000180a8450c (__TEXT,__text) external _strtoumax_l
0000000180a8478c (__TEXT,__text) external _strtouq
0000000180a847b0 (__TEXT,__text) external _strtouq_l
0000000180a547fc (__TEXT,__text) external _strunvis
0000000180a547ec (__TEXT,__text) external _strunvisx
0000000180a551e0 (__TEXT,__text) external _strvis
0000000180a5526c (__TEXT,__text) external _strvisx
0000000180a7a940 (__TEXT,__text) external _strxfrm
0000000180a7a670 (__TEXT,__text) external _strxfrm_l
0000000182bc6e70 (__DATA,__common) external _suboptarg
0000000182bbbfd8 (__DATA,__bss) non-external _subsystem_root_path
0000000180a548cc (__TEXT,__text) external _svis
0000000180a7a964 (__TEXT,__text) external _swab
0000000180a67138 (__TEXT,__text) external _swprintf
0000000180a67188 (__TEXT,__text) external _swprintf_l
0000000180a671b4 (__TEXT,__text) external _swscanf
0000000180a67204 (__TEXT,__text) external _swscanf_l
0000000180a3c82c (__TEXT,__text) external _sxprintf
0000000180a3d29c (__TEXT,__text) external _sxprintf_exec
0000000180a3ea4c (__TEXT,__text) external _sync_volume_np
0000000180a9bf23 (__TEXT,__const) non-external _syntax_error_str
0000000180b99f20 (__DATA_CONST,__const) external _sys_errlist
0000000180a9b358 (__TEXT,__const) external _sys_nerr
0000000180b9a628 (__DATA_CONST,__const) external _sys_siglist
0000000180b9a528 (__DATA_CONST,__const) external _sys_signame
0000000180a52b18 (__TEXT,__text) external _sysconf
0000000180a531e8 (__TEXT,__text) external _sysctl
0000000180a53408 (__TEXT,__text) external _sysctlbyname
0000000180a534d8 (__TEXT,__text) external _sysctlnametomib
0000000180a96de0 (__TEXT,__text) external _system
0000000180a847b4 (__TEXT,__text) external _system$NOCANCEL
0000000180a96b14 (__TEXT,__text) external _tcdrain
0000000180a53a54 (__TEXT,__text) external _tcdrain$NOCANCEL
0000000180a53af4 (__TEXT,__text) external _tcflow
0000000180a53a80 (__TEXT,__text) external _tcflush
0000000180a5378c (__TEXT,__text) external _tcgetattr
0000000180a538f4 (__TEXT,__text) external _tcgetpgrp
0000000180a3e108 (__TEXT,__text) external _tcgetsid
0000000180a539cc (__TEXT,__text) external _tcsendbreak
0000000180a537b8 (__TEXT,__text) external _tcsetattr
0000000180a5389c (__TEXT,__text) external _tcsetpgrp
0000000180a84a4c (__TEXT,__text) external _tdelete
0000000180a53580 (__TEXT,__text) external _telldir
0000000180a67230 (__TEXT,__text) external _tempnam
0000000182bbbf40 (__DATA,__bss) non-external _tf
0000000180a84b4c (__TEXT,__text) external _tfind
0000000180a38f38 (__TEXT,__text) external _thread_stack_async_pcs
0000000180a38f14 (__TEXT,__text) external _thread_stack_pcs
0000000182bb9d58 (__DATA,__data) non-external _threadsafe
0000000180a53ba4 (__TEXT,__text) external _time
0000000180a75818 (__TEXT,__text) non-external _time2
0000000180a7598c (__TEXT,__text) external _time2posix
0000000180a762e8 (__TEXT,__text) non-external _time2sub
0000000180a7593c (__TEXT,__text) external _timegm
0000000180a7592c (__TEXT,__text) external _timelocal
0000000180a75964 (__TEXT,__text) external _timeoff
0000000180a53c08 (__TEXT,__text) external _times
0000000180a85b08 (__TEXT,__text) external _timespec_get
0000000180a74cf8 (__TEXT,__text) non-external _timesub
0000000182bc6d88 (__DATA,__common) external _timezone
0000000180a48ccc (__TEXT,__text) external _timingsafe_bcmp
0000000182bc2510 (__DATA,__bss) non-external _tm
0000000180a76960 (__TEXT,__text) non-external _tmcomp
0000000180a6749c (__TEXT,__text) external _tmpfile
0000000180a675e8 (__TEXT,__text) external _tmpnam
0000000182bbdc20 (__DATA,__bss) non-external _tmpnam.tmpcount
0000000182bbdc28 (__DATA,__bss) non-external _tmpnam_buf
0000000180a676f8 (__TEXT,__text) non-external _tmpnam_buf_allocate
0000000182bbaeb8 (__DATA,__data) non-external _tmpnam_buf_control
0000000180a9b3a0 (__TEXT,__const) non-external _tmundef
0000000180a3963c (__TEXT,__text) external _toascii
0000000180a39644 (__TEXT,__text) external _tolower
0000000180a3a204 (__TEXT,__text) external _tolower_l
0000000182bbc118 (__DATA,__bss) non-external _toprec
0000000182bbc120 (__DATA,__bss) non-external _topreclen
0000000180a39684 (__TEXT,__text) external _toupper
0000000180a3a224 (__TEXT,__text) external _toupper_l
0000000180a5e598 (__TEXT,__text) external _towctrans
0000000180a5e4b8 (__TEXT,__text) external _towctrans_l
0000000180a3a6f4 (__TEXT,__text) external _towlower
0000000180a3ace4 (__TEXT,__text) external _towlower_l
0000000180a3a734 (__TEXT,__text) external _towupper
0000000180a3ad04 (__TEXT,__text) external _towupper_l
0000000180a75f84 (__TEXT,__text) non-external _transtime
0000000180a90018 (__TEXT,__text) non-external _tre_add_tag_left
0000000180a8ff54 (__TEXT,__text) non-external _tre_add_tag_right
0000000180a8d7d0 (__TEXT,__text) non-external _tre_add_tags
0000000180a8d084 (__TEXT,__text) external _tre_ast_new_catenation
0000000180a8cfd4 (__TEXT,__text) external _tre_ast_new_iter
0000000180a8cf88 (__TEXT,__text) external _tre_ast_new_literal
0000000180a8cf00 (__TEXT,__text) external _tre_ast_new_node
0000000180a8d038 (__TEXT,__text) external _tre_ast_new_union
0000000180a8fb5c (__TEXT,__text) non-external _tre_ast_to_tnfa
0000000180a8d0d0 (__TEXT,__text) external _tre_compile
0000000180a8f468 (__TEXT,__text) non-external _tre_compute_nfl
0000000180a900dc (__TEXT,__text) non-external _tre_copy_ast
0000000180a8ef6c (__TEXT,__text) non-external _tre_expand_ast
0000000180a96500 (__TEXT,__text) non-external _tre_expand_macro
0000000180a8c8c0 (__TEXT,__text) external _tre_fill_pmatch
0000000180a8fc54 (__TEXT,__text) external _tre_free
0000000180b9b410 (__DATA_CONST,__const) non-external _tre_macros
0000000180a90aa0 (__TEXT,__text) non-external _tre_make_trans
0000000180a8ccc4 (__TEXT,__text) non-external _tre_match
0000000180a90888 (__TEXT,__text) non-external _tre_match_empty
0000000180a94684 (__TEXT,__text) external _tre_mem_alloc_impl
0000000180a94624 (__TEXT,__text) external _tre_mem_destroy
0000000180a945f0 (__TEXT,__text) external _tre_mem_new_impl
0000000180a8fdbc (__TEXT,__text) non-external _tre_merge_branches
0000000180a96620 (__TEXT,__text) non-external _tre_new_item
0000000180a947b4 (__TEXT,__text) external _tre_parse
0000000180a96300 (__TEXT,__text) non-external _tre_parse_bound
0000000180a8caac (__TEXT,__text) non-external _tre_reset_last_matched_branches
0000000180a96580 (__TEXT,__text) non-external _tre_search_cnames
0000000180a904a4 (__TEXT,__text) non-external _tre_set_empty
0000000180a9042c (__TEXT,__text) non-external _tre_set_one
0000000180a904e0 (__TEXT,__text) non-external _tre_set_union
0000000180a9674c (__TEXT,__text) external _tre_stack_destroy
0000000180a966c0 (__TEXT,__text) external _tre_stack_new
0000000180a96788 (__TEXT,__text) external _tre_stack_num_objects
0000000180a9687c (__TEXT,__text) non-external (was a private external) _tre_stack_pop_int
0000000180a96898 (__TEXT,__text) non-external (was a private external) _tre_stack_pop_voidptr
0000000180a96798 (__TEXT,__text) non-external _tre_stack_push
0000000180a96790 (__TEXT,__text) non-external (was a private external) _tre_stack_push_int
0000000180a96878 (__TEXT,__text) non-external (was a private external) _tre_stack_push_voidptr
0000000180a90ddc (__TEXT,__text) external _tre_tnfa_run_backtrack
