000000018276dda8 (__DATA,__data) external _NDR_record
000000018066a628 (__TEXT,__text) external _stackshot_capture_with_config
000000018066a568 (__TEXT,__text) external _stackshot_config_create
000000018066a78c (__TEXT,__text) external _stackshot_config_dealloc
000000018066a734 (__TEXT,__text) external _stackshot_config_dealloc_buffer
000000018066a69c (__TEXT,__text) external _stackshot_config_get_stackshot_buffer
000000018066a6a8 (__TEXT,__text) external _stackshot_config_get_stackshot_size
000000018066a6e8 (__TEXT,__text) external _stackshot_config_set_delta_timestamp
000000018066a60c (__TEXT,__text) external _stackshot_config_set_flags
000000018066a70c (__TEXT,__text) external _stackshot_config_set_pagetable_mask
000000018066a5f0 (__TEXT,__text) external _stackshot_config_set_pid
000000018066a6c4 (__TEXT,__text) external _stackshot_config_set_size_hint
0000000180661634 (__TEXT,__text) external _stat
0000000180661634 (__TEXT,__text) external _stat64
0000000180661660 (__TEXT,__text) external _statfs
0000000180661660 (__TEXT,__text) external _statfs64
000000018276e4d0 (__DATA,__bss) non-external _supported
000000018066168c (__TEXT,__text) external _swapon
000000018065c8e0 (__TEXT,__text) external _swtch
000000018065c8d4 (__TEXT,__text) external _swtch_pri
00000001806616b8 (__TEXT,__text) external _symlink
00000001806616e4 (__TEXT,__text) external _symlinkat
0000000180661710 (__TEXT,__text) external _sync
000000018065f068 (__TEXT,__text) external _syscall
000000018065c8ec (__TEXT,__text) external _syscall_thread_switch
000000018066adf0 (__TEXT,__text) external _system_get_sfi_window
000000018066173c (__TEXT,__text) external _system_override
000000018066addc (__TEXT,__text) external _system_set_sfi_window
0000000180684d74 (__TEXT,__text) external _task_assign
0000000180684ea8 (__TEXT,__text) external _task_assign_default
0000000180682158 (__TEXT,__text) external _task_create
0000000180687334 (__TEXT,__text) external _task_create_identity_token
0000000180687604 (__TEXT,__text) external _task_dyld_process_info_notify_deregister
000000018065c700 (__TEXT,__text) external _task_dyld_process_info_notify_get
0000000180687210 (__TEXT,__text) external _task_dyld_process_info_notify_register
000000018065c868 (__TEXT,__text) external _task_for_pid
0000000180686074 (__TEXT,__text) external _task_generate_corpse
0000000180684fc8 (__TEXT,__text) external _task_get_assignment
00000001806865bc (__TEXT,__text) external _task_get_dyld_image_infos
00000001806847b4 (__TEXT,__text) external _task_get_emulation_vector
0000000180686e60 (__TEXT,__text) external _task_get_exc_guard_behavior
000000018068355c (__TEXT,__text) external _task_get_exception_ports
0000000180687724 (__TEXT,__text) external _task_get_exception_ports_info
0000000180685c5c (__TEXT,__text) external _task_get_mach_voucher
0000000180682e1c (__TEXT,__text) external _task_get_special_port
00000001806852ec (__TEXT,__text) external _task_get_state
0000000180687494 (__TEXT,__text) external _task_identity_token_get_task_port
0000000180682830 (__TEXT,__text) external _task_info
0000000180686c84 (__TEXT,__text) external _task_inspect
0000000180661768 (__TEXT,__text) external _task_inspect_for_pid
00000001806861d4 (__TEXT,__text) external _task_map_corpse_info
0000000180686b10 (__TEXT,__text) external _task_map_corpse_info_64
0000000180687d7c (__TEXT,__text) external _task_map_kcdata_object_64
000000018065c85c (__TEXT,__text) external _task_name_for_pid
000000018068451c (__TEXT,__text) external _task_policy
00000001806841ec (__TEXT,__text) external _task_policy_get
000000018068408c (__TEXT,__text) external _task_policy_set
0000000180685ab4 (__TEXT,__text) external _task_purgable_info
0000000180661794 (__TEXT,__text) external _task_read_for_pid
00000001806869a4 (__TEXT,__text) external _task_register_dyld_get_process_state
0000000180686344 (__TEXT,__text) external _task_register_dyld_image_infos
000000018068687c (__TEXT,__text) external _task_register_dyld_set_dyld_state
0000000180686750 (__TEXT,__text) external _task_register_dyld_shared_cache_image_info
000000018068c81c (__TEXT,__text) external _task_restartable_ranges_register
000000018068c9cc (__TEXT,__text) external _task_restartable_ranges_synchronize
0000000180682d08 (__TEXT,__text) external _task_resume
00000001806859a0 (__TEXT,__text) external _task_resume2
00000001806843f8 (__TEXT,__text) external _task_sample
00000001806655e8 (__TEXT,__text) external _task_self_
000000018065c7a8 (__TEXT,__text) external _task_self_trap
0000000180687b28 (__TEXT,__text) external _task_set_corpse_forking_behavior
0000000180684698 (__TEXT,__text) external _task_set_emulation
0000000180684944 (__TEXT,__text) external _task_set_emulation_vector
0000000180686fa8 (__TEXT,__text) external _task_set_exc_guard_behavior
0000000180683424 (__TEXT,__text) external _task_set_exception_ports
0000000180682a50 (__TEXT,__text) external _task_set_info
0000000180685dcc (__TEXT,__text) external _task_set_mach_voucher
00000001806856e8 (__TEXT,__text) external _task_set_phys_footprint_limit
0000000180685128 (__TEXT,__text) external _task_set_policy
00000001806726b0 (__TEXT,__text) external _task_set_port_space
0000000180684a7c (__TEXT,__text) external _task_set_ras_pc
0000000180682f8c (__TEXT,__text) external _task_set_special_port
0000000180685538 (__TEXT,__text) external _task_set_state
0000000180682bf4 (__TEXT,__text) external _task_suspend
0000000180685840 (__TEXT,__text) external _task_suspend2
0000000180683830 (__TEXT,__text) external _task_swap_exception_ports
0000000180685ef0 (__TEXT,__text) external _task_swap_mach_voucher
00000001806822e0 (__TEXT,__text) external _task_terminate
0000000180687c48 (__TEXT,__text) external _task_test_async_upcall_propagation
0000000180687a04 (__TEXT,__text) external _task_test_sync_upcall
00000001806823f4 (__TEXT,__text) external _task_threads
0000000180686480 (__TEXT,__text) external _task_unregister_dyld_image_infos
0000000180684b98 (__TEXT,__text) external _task_zone_info
000000018066ac34 (__TEXT,__text) external _terminate_with_payload
000000018066ac20 (__TEXT,__text) external _terminate_with_reason
0000000180688a24 (__TEXT,__text) external _thread_abort
0000000180688b38 (__TEXT,__text) external _thread_abort_safely
000000018068a06c (__TEXT,__text) external _thread_assign
000000018068a190 (__TEXT,__text) external _thread_assign_default
000000018068a9cc (__TEXT,__text) external _thread_convert_thread_state
00000001806830c0 (__TEXT,__text) external _thread_create
0000000180683220 (__TEXT,__text) external _thread_create_running
0000000180688c4c (__TEXT,__text) external _thread_depress_abort
00000001806727e0 (__TEXT,__text) external _thread_destruct_special_reply_port
000000018068a2a4 (__TEXT,__text) external _thread_get_assignment
0000000180689338 (__TEXT,__text) external _thread_get_exception_ports
000000018068ac2c (__TEXT,__text) external _thread_get_exception_ports_info
000000018068a5b4 (__TEXT,__text) external _thread_get_mach_voucher
0000000180667e58 (__TEXT,__text) external _thread_get_register_pointer_values
0000000180688d60 (__TEXT,__text) external _thread_get_special_port
000000018065c8a4 (__TEXT,__text) external _thread_get_special_reply_port
0000000180688400 (__TEXT,__text) external _thread_get_state
0000000180689004 (__TEXT,__text) external _thread_info
0000000180667c9c (__TEXT,__text) external _thread_policy
0000000180689c1c (__TEXT,__text) external _thread_policy_get
0000000180667d30 (__TEXT,__text) external _thread_policy_set
0000000180688910 (__TEXT,__text) external _thread_resume
0000000180689e28 (__TEXT,__text) external _thread_sample
000000018065c79c (__TEXT,__text) external _thread_self_trap
00000001806617c0 (__TEXT,__text) external _thread_selfcounts
0000000180689200 (__TEXT,__text) external _thread_set_exception_ports
000000018068a724 (__TEXT,__text) external _thread_set_mach_voucher
0000000180667dc4 (__TEXT,__text) external _thread_set_policy
0000000180688ed0 (__TEXT,__text) external _thread_set_special_port
000000018068864c (__TEXT,__text) external _thread_set_state
00000001806887fc (__TEXT,__text) external _thread_suspend
000000018068960c (__TEXT,__text) external _thread_swap_exception_ports
000000018068a848 (__TEXT,__text) external _thread_swap_mach_voucher
00000001806654e8 (__TEXT,__text) external _thread_switch
0000000180687ef0 (__TEXT,__text) external _thread_terminate
0000000180675360 (__TEXT,__text) external _thread_wire
000000018068ebe0 (__TEXT,__const) non-external _times_now
00000001806617ec (__TEXT,__text) external _tracker_action
0000000180661818 (__TEXT,__text) external _truncate
0000000180661844 (__TEXT,__text) external _umask
0000000180661870 (__TEXT,__text) external _undelete
000000018066189c (__TEXT,__text) external _ungraftdmg
0000000180670940 (__TEXT,__text) external _unlink
000000018066389c (__TEXT,__text) external _unlinkat
00000001806618c8 (__TEXT,__text) external _unmount
00000001806618f4 (__TEXT,__text) external _usrctl
0000000180667be0 (__TEXT,__text) external _utimensat
0000000180661920 (__TEXT,__text) external _utimes
000000018066194c (__TEXT,__text) external _vfs_purge
0000000180672ea4 (__TEXT,__text) external _vm_allocate
0000000180675494 (__TEXT,__text) external _vm_allocate_cpm
000000018068b818 (__TEXT,__text) external _vm_behavior_set
000000018068b480 (__TEXT,__text) external _vm_copy
0000000180672ee4 (__TEXT,__text) external _vm_deallocate
000000018068af0c (__TEXT,__text) external _vm_inherit
000000018276de08 (__DATA,__common) external _vm_kernel_page_mask
000000018276de10 (__DATA,__common) external _vm_kernel_page_shift
000000018276de00 (__DATA,__common) external _vm_kernel_page_size
000000018068bad0 (__TEXT,__text) external _vm_machine_attribute
00000001806731d0 (__TEXT,__text) external _vm_map
000000018068bdc4 (__TEXT,__text) external _vm_map_page_query
000000018068b6f4 (__TEXT,__text) external _vm_msync
000000018276de18 (__DATA,__common) external _vm_page_mask
000000018276de20 (__DATA,__common) external _vm_page_shift
000000018276de38 (__DATA,__common) external _vm_page_size
0000000180661978 (__TEXT,__text) external _vm_pressure_monitor
0000000180672ee8 (__TEXT,__text) external _vm_protect
000000018067347c (__TEXT,__text) external _vm_purgable_control
0000000180673394 (__TEXT,__text) external _vm_read
000000018068b1bc (__TEXT,__text) external _vm_read_list
000000018068b5a0 (__TEXT,__text) external _vm_read_overwrite
000000018068c148 (__TEXT,__text) external _vm_region_64
000000018068bf2c (__TEXT,__text) external _vm_region_recurse_64
000000018067326c (__TEXT,__text) external _vm_remap
0000000180673300 (__TEXT,__text) external _vm_remap_new
0000000180675228 (__TEXT,__text) external _vm_wire
000000018068b344 (__TEXT,__text) external _vm_write
0000000180661bf0 (__TEXT,__text) external _voucher_mach_msg_adopt
0000000180661bd4 (__TEXT,__text) external _voucher_mach_msg_clear
0000000180661c10 (__TEXT,__text) external _voucher_mach_msg_revert
0000000180661bb4 (__TEXT,__text) external _voucher_mach_msg_set
000000018276ddf0 (__DATA,__common) external _vprintf_stderr_func
000000018065f350 (__TEXT,__text) external _wait4
00000001806619a4 (__TEXT,__text) external _waitid
000000018065f37c (__TEXT,__text) external _waitid$NOCANCEL
0000000180671174 (__TEXT,__text) external _work_interval_copy_port
0000000180670a00 (__TEXT,__text) external _work_interval_create
0000000180670f54 (__TEXT,__text) external _work_interval_destroy
0000000180670b18 (__TEXT,__text) external _work_interval_get_flags_from_port
0000000180670c80 (__TEXT,__text) external _work_interval_instance_alloc
0000000180670d24 (__TEXT,__text) external _work_interval_instance_clear
0000000180670ed4 (__TEXT,__text) external _work_interval_instance_finish
0000000180670d38 (__TEXT,__text) external _work_interval_instance_free
0000000180670df0 (__TEXT,__text) external _work_interval_instance_get_complexity
0000000180670dc0 (__TEXT,__text) external _work_interval_instance_get_deadline
0000000180670dd8 (__TEXT,__text) external _work_interval_instance_get_finish
0000000180670e08 (__TEXT,__text) external _work_interval_instance_get_id
0000000180670da8 (__TEXT,__text) external _work_interval_instance_get_start
0000000180670e10 (__TEXT,__text) external _work_interval_instance_get_telemetry_data
0000000180670da0 (__TEXT,__text) external _work_interval_instance_set_complexity
0000000180670d90 (__TEXT,__text) external _work_interval_instance_set_deadline
0000000180670d98 (__TEXT,__text) external _work_interval_instance_set_finish
0000000180670d88 (__TEXT,__text) external _work_interval_instance_set_start
0000000180670e2c (__TEXT,__text) external _work_interval_instance_start
0000000180670e7c (__TEXT,__text) external _work_interval_instance_update
00000001806710c8 (__TEXT,__text) external _work_interval_join
0000000180671120 (__TEXT,__text) external _work_interval_join_port
0000000180671160 (__TEXT,__text) external _work_interval_leave
0000000180670ba4 (__TEXT,__text) external _work_interval_notify
0000000180670c20 (__TEXT,__text) external _work_interval_notify_simple
00000001806619d0 (__TEXT,__text) external _write
000000018065f42c (__TEXT,__text) external _write$NOCANCEL
00000001806619fc (__TEXT,__text) external _writev
000000018065f458 (__TEXT,__text) external _writev$NOCANCEL
