00000001a0175840 (__TEXT,__text) non-external +[Calculate _lock]
00000001a02da010 (__TEXT,__const) non-external ___bid_short_recip_scale
00000001a02db520 (__TEXT,__const) non-external ___bid_ten2k128
00000001a02dcb30 (__TEXT,__const) non-external ___bid_ten2k256
00000001a02dabc0 (__TEXT,__const) non-external ___bid_ten2k64
00000001a01faa30 (__TEXT,__const) non-external ___bid_ten2mk128
00000001a01fadf0 (__TEXT,__const) non-external ___bid_ten2mk128trunc
00000001a02db2d0 (__TEXT,__const) non-external ___bid_ten2mxtrunc128
00000001a02dc430 (__TEXT,__const) non-external ___bid_ten2mxtrunc192
00000001a02de1b0 (__TEXT,__const) non-external ___bid_ten2mxtrunc256
00000001a02dab38 (__TEXT,__const) non-external ___bid_ten2mxtrunc64
00000001a019fdc0 (__TEXT,__text) non-external ___binary128_to_bid128
00000001a019f290 (__TEXT,__text) non-external ___binary64_to_bid128
00000001ef9b5380 (__DATA_CONST,__const) non-external ___block_descriptor_32_e25_B24?08"NSDictionary"16l
00000001ef9b53c0 (__DATA_CONST,__const) non-external ___block_descriptor_32_e28_"NSString"16?0"NSString"8l
00000001ef9b52d0 (__DATA_CONST,__const) non-external ___block_descriptor_32_e31_q24?0"UnitRank"8"UnitRank"16l
00000001ef9b5400 (__DATA_CONST,__const) non-external ___block_descriptor_32_e37_B24?0"NSString"8"NSCharacterSet"16l
00000001ef9b5360 (__DATA_CONST,__const) non-external ___block_descriptor_32_e41_q24?0"CalculateUnit"8"CalculateUnit"16l
00000001ef9b53e0 (__DATA_CONST,__const) non-external ___block_descriptor_32_e45_q24?0"CalculateResult"8"CalculateResult"16l
00000001ef9b5440 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e5_v8?0l
00000001ef9b53a0 (__DATA_CONST,__const) non-external ___block_descriptor_32_e83_"NSString"32?0"NSString"8"NSString"16?<"NSString"?"NSTextCheckingResult">24l
00000001ef9b5250 (__DATA_CONST,__const) non-external ___block_descriptor_40_e161_v24?0^{TreeObject=i^?^{TreeObject}^{TreeObject}d{?=[2Q]}Q[16{UnitCount=ii}]BBBBi}8^{TreeObject=i^?^{TreeObject}^{TreeObject}d{?=[2Q]}Q[16{UnitCount=ii}]BBBBi}16l
00000001ef9b51f0 (__DATA_CONST,__const) non-external ___block_descriptor_40_e18_B16?0"NSString"8l
00000001ef9b5420 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e5_v8?0l
00000001ef9b52b0 (__DATA_CONST,__const) non-external ___block_descriptor_40_e83_v16?0^{TreeObject=i^?^{TreeObject}^{TreeObject}d{?=[2Q]}Q[16{UnitCount=ii}]BBBBi}8l
00000001ef9b95c8 (__AUTH_CONST,__const) non-external ___block_descriptor_40_e8_32bs_e24_v16?0"NSNotification"8l
00000001ef9b8e58 (__AUTH_CONST,__const) non-external ___block_descriptor_40_e8_32bs_e52_v56?0"NSString"8{_NSRange=QQ}16{_NSRange=QQ}32^B48l
00000001ef9b90c8 (__AUTH_CONST,__const) non-external ___block_descriptor_40_e8_32bs_e71_"NSString"32?0"NSString"8"NSString"16?<"NSString"?"NSString">24l
00000001ef9b90f8 (__AUTH_CONST,__const) non-external ___block_descriptor_40_e8_32bs_e84_"NSString"32?0"NSString"8"NSString"16?<"NSString"?"NSString"{_NSRange=QQ}>24l
00000001ef9b9148 (__AUTH_CONST,__const) non-external ___block_descriptor_40_e8_32s_e28_"NSString"16?0"NSString"8l
00000001ef9b9438 (__AUTH_CONST,__const) non-external ___block_descriptor_40_e8_32s_e30_"NSTextCheckingResult"12?0B8l
00000001ef9b9308 (__AUTH_CONST,__const) non-external ___block_descriptor_40_e8_32s_e31_v28?0"CalculateToken"8^i16B24l
00000001ef9b8ea8 (__AUTH_CONST,__const) non-external ___block_descriptor_40_e8_32s_e34_"NSString"32?0"NSNumber"8Q16Q24l
00000001ef9b9338 (__AUTH_CONST,__const) non-external ___block_descriptor_40_e8_32s_e37_{UnitSet=[4Q]}16?0"CalculateToken"8l
00000001ef9b9368 (__AUTH_CONST,__const) non-external ___block_descriptor_40_e8_32s_e38_"NSMutableSet"16?0"CalculateToken"8l
00000001ef9b94e8 (__AUTH_CONST,__const) non-external ___block_descriptor_40_e8_32s_e38_v40?0Q8Q16"NSString"24"UnitRanks"32l
00000001ef9b9298 (__AUTH_CONST,__const) non-external ___block_descriptor_40_e8_32s_e40_"NSString"16?0"NSTextCheckingResult"8l
00000001ef9b8ef8 (__AUTH_CONST,__const) non-external ___block_descriptor_40_e8_32s_e5_v8?0l
00000001ef9b5230 (__DATA_CONST,__const) non-external ___block_descriptor_41_e161_v24?0^{TreeObject=i^?^{TreeObject}^{TreeObject}d{?=[2Q]}Q[16{UnitCount=ii}]BBBBi}8^{TreeObject=i^?^{TreeObject}^{TreeObject}d{?=[2Q]}Q[16{UnitCount=ii}]BBBBi}16l
00000001ef9b5290 (__DATA_CONST,__const) non-external ___block_descriptor_48_e161_v24?0^{TreeObject=i^?^{TreeObject}^{TreeObject}d{?=[2Q]}Q[16{UnitCount=ii}]BBBBi}8^{TreeObject=i^?^{TreeObject}^{TreeObject}d{?=[2Q]}Q[16{UnitCount=ii}]BBBBi}16l
00000001ef9b5210 (__DATA_CONST,__const) non-external ___block_descriptor_48_e83_v16?0^{TreeObject=i^?^{TreeObject}^{TreeObject}d{?=[2Q]}Q[16{UnitCount=ii}]BBBBi}8l
00000001ef9b94b8 (__AUTH_CONST,__const) non-external ___block_descriptor_48_e8_32s40bs_e11_v24?0Q8Q16l
00000001ef9b9178 (__AUTH_CONST,__const) non-external ___block_descriptor_48_e8_32s40bs_e28_"NSString"16?0"NSString"8l
00000001ef9b9098 (__AUTH_CONST,__const) non-external ___block_descriptor_48_e8_32s40bs_e40_"NSString"16?0"NSTextCheckingResult"8l
00000001ef9b9648 (__AUTH_CONST,__const) non-external ___block_descriptor_48_e8_32s40bs_e5_v8?0l
00000001ef9b9618 (__AUTH_CONST,__const) non-external ___block_descriptor_48_e8_32s40s_e11_q24?0816l
00000001ef9b8f28 (__AUTH_CONST,__const) non-external ___block_descriptor_48_e8_32s40s_e18_v16?0"NSString"8l
00000001ef9b91a8 (__AUTH_CONST,__const) non-external ___block_descriptor_48_e8_32s40s_e21_"NSString"16?0i8i12l
00000001ef9b91d8 (__AUTH_CONST,__const) non-external ___block_descriptor_48_e8_32s40s_e28_"NSString"16?0"NSString"8l
00000001ef9b93d8 (__AUTH_CONST,__const) non-external ___block_descriptor_48_e8_32s40s_e37_v32?0"NSString"8i16f20"NSLocale"24l
00000001ef9b5270 (__DATA_CONST,__const) non-external ___block_descriptor_49_e161_v24?0^{TreeObject=i^?^{TreeObject}^{TreeObject}d{?=[2Q]}Q[16{UnitCount=ii}]BBBBi}8^{TreeObject=i^?^{TreeObject}^{TreeObject}d{?=[2Q]}Q[16{UnitCount=ii}]BBBBi}16l
00000001ef9b9068 (__AUTH_CONST,__const) non-external ___block_descriptor_56_e8_32bs40bs48r_e37_v32?0"NSTextCheckingResult"8Q16^B24l
00000001ef9b9598 (__AUTH_CONST,__const) non-external ___block_descriptor_56_e8_32bs40r48r_e37_v40?0"NSString"8{_NSRange=QQ}16^B32l
00000001ef9b9488 (__AUTH_CONST,__const) non-external ___block_descriptor_56_e8_32s40bs48r_e37_v40?0"NSString"8{_NSRange=QQ}16^B32l
00000001ef9b9038 (__AUTH_CONST,__const) non-external ___block_descriptor_56_e8_32s40r48r_e20_v24?0{_NSRange=QQ}8l
00000001ef9b9408 (__AUTH_CONST,__const) non-external ___block_descriptor_56_e8_32s40s48bs_e36_v32?0"NSArray"8i16i20"NSLocale"24l
00000001ef9b8dc8 (__AUTH_CONST,__const) non-external ___block_descriptor_56_e8_32s40s48r_e46_v32?0"NSData"8"NSURLResponse"16"NSError"24l
00000001ef9b8d68 (__AUTH_CONST,__const) non-external ___block_descriptor_56_e8_32s40s48r_e5_v8?0l
00000001ef9b8d98 (__AUTH_CONST,__const) non-external ___block_descriptor_60_e8_32s40s48r_e5_v8?0l
00000001ef9b9568 (__AUTH_CONST,__const) non-external ___block_descriptor_72_e8_32bs40r48r56r64r_e37_v40?0"NSString"8{_NSRange=QQ}16^B32l
00000001ef9b9208 (__AUTH_CONST,__const) non-external ___block_descriptor_88_e8_32s40s48s56bs64r72r80r_e43_"NSString"32?0"NSString"8{_NSRange=QQ}16l
00000001ef9b9538 (__AUTH_CONST,__const) non-external ___block_descriptor_92_e8_32s40r48r56r64r72r80r_e37_v40?0"NSString"8{_NSRange=QQ}16^B32l
00000001ef9b8df8 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001ef9b9468 (__AUTH_CONST,__const) non-external ___block_literal_global.122
00000001ef9b9678 (__AUTH_CONST,__const) non-external ___block_literal_global.131
00000001ef9b9518 (__AUTH_CONST,__const) non-external ___block_literal_global.132
00000001ef9b8ed8 (__AUTH_CONST,__const) non-external ___block_literal_global.335
00000001ef9b8e88 (__AUTH_CONST,__const) non-external ___block_literal_global.368
00000001ef9b8f58 (__AUTH_CONST,__const) non-external ___block_literal_global.500
00000001ef9b8f78 (__AUTH_CONST,__const) non-external ___block_literal_global.503
00000001ef9b8f98 (__AUTH_CONST,__const) non-external ___block_literal_global.507
00000001ef9b8fb8 (__AUTH_CONST,__const) non-external ___block_literal_global.543
00000001ef9b8fd8 (__AUTH_CONST,__const) non-external ___block_literal_global.547
00000001ef9b8ff8 (__AUTH_CONST,__const) non-external ___block_literal_global.549
00000001ef9b9018 (__AUTH_CONST,__const) non-external ___block_literal_global.552
00000001ef9b93b8 (__AUTH_CONST,__const) non-external ___block_literal_global.569
00000001ef9b9128 (__AUTH_CONST,__const) non-external ___block_literal_global.576
00000001ef9b9238 (__AUTH_CONST,__const) non-external ___block_literal_global.700
00000001ef9b9258 (__AUTH_CONST,__const) non-external ___block_literal_global.709
00000001ef9b8e18 (__AUTH_CONST,__const) non-external ___block_literal_global.71
00000001ef9b9278 (__AUTH_CONST,__const) non-external ___block_literal_global.718
00000001ef9b92c8 (__AUTH_CONST,__const) non-external ___block_literal_global.735
00000001ef9b92e8 (__AUTH_CONST,__const) non-external ___block_literal_global.743
00000001ef9b95f8 (__AUTH_CONST,__const) non-external ___block_literal_global.768
00000001ef9b9398 (__AUTH_CONST,__const) non-external ___block_literal_global.792
00000001ef9b8e38 (__AUTH_CONST,__const) non-external ___block_literal_global.96
00000001a0181ac0 (__TEXT,__text) non-external ___calc_yyparse_block_invoke
                 (undefined) external ___chkstk_darwin (from libSystem)
00000001a0168e60 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32b
00000001a0171410 (__TEXT,__text) non-external ___copy_helper_block_e8_32b40b48r
00000001a0177860 (__TEXT,__text) non-external ___copy_helper_block_e8_32b40r48r
00000001a0177924 (__TEXT,__text) non-external ___copy_helper_block_e8_32b40r48r56r64r
00000001a0168e70 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s
00000001a0171800 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40b
00000001a017807c (__TEXT,__text) non-external ___copy_helper_block_e8_32s40b48r
00000001a01714bc (__TEXT,__text) non-external ___copy_helper_block_e8_32s40r48r
00000001a0177a20 (__TEXT,__text) non-external ___copy_helper_block_e8_32s40r48r56r64r72r80r
00000001a0168eb4 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s
00000001a01791e0 (__TEXT,__text) non-external ___copy_helper_block_e8_32s40s48b
00000001a0152dc0 (__TEXT,__text) non-external ___copy_helper_block_e8_32s40s48r
00000001a01716fc (__TEXT,__text) non-external ___copy_helper_block_e8_32s40s48s56b64r72r80r
00000001a0168e58 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s
00000001a0171470 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40r48r
00000001a01778c0 (__TEXT,__text) non-external ___destroy_helper_block_e8_32s40r48r56r64r
00000001a01779a4 (__TEXT,__text) non-external ___destroy_helper_block_e8_32s40r48r56r64r72r80r
00000001a0168e78 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s
00000001a0152d78 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s48r
00000001a017919c (__TEXT,__text) non-external ___destroy_helper_block_e8_32s40s48s
00000001a017168c (__TEXT,__text) non-external ___destroy_helper_block_e8_32s40s48s56s64r72r80r
00000001a0182644 (__TEXT,__text) non-external ___dpml_bid_C_ux_erf__
00000001a0182bf0 (__TEXT,__text) non-external ___dpml_bid_C_ux_hyperbolic__
00000001a01857c0 (__TEXT,__text) non-external ___dpml_bid_C_ux_trig__
00000001a018391c (__TEXT,__text) non-external ___dpml_bid_addsub__
00000001a01a7d40 (__TEXT,__const) non-external ___dpml_bid_bid_x_table
00000001a01a7ee8 (__TEXT,__const) non-external ___dpml_bid_cbrt_x_table
00000001a01841e8 (__TEXT,__text) non-external ___dpml_bid_divide__
00000001a01a7f58 (__TEXT,__const) non-external ___dpml_bid_erf_x_table
00000001a0183f54 (__TEXT,__text) non-external ___dpml_bid_evaluate_packed_poly__
00000001a018449c (__TEXT,__text) non-external ___dpml_bid_evaluate_rational__
00000001a0182074 (__TEXT,__text) non-external ___dpml_bid_exception
00000001a01a84b8 (__TEXT,__const) non-external ___dpml_bid_exp_x_table
00000001a01840e0 (__TEXT,__text) non-external ___dpml_bid_extended_multiply__
00000001a018383c (__TEXT,__text) non-external ___dpml_bid_ffs_and_shift__
00000001a01a7610 (__TEXT,__const) non-external ___dpml_bid_globals_table
00000001a01a8a08 (__TEXT,__const) non-external ___dpml_bid_inv_hyper_x_table
00000001a01a8a78 (__TEXT,__const) non-external ___dpml_bid_inv_trig_x_table
00000001a01a8f98 (__TEXT,__const) non-external ___dpml_bid_lgamma_x_table
00000001a01a9368 (__TEXT,__const) non-external ___dpml_bid_log_x_table
00000001a0184024 (__TEXT,__text) non-external ___dpml_bid_multiply__
00000001a0183e10 (__TEXT,__text) non-external ___dpml_bid_pack__
00000001a01aa308 (__TEXT,__const) non-external ___dpml_bid_sqrt_t_table
00000001a01a9610 (__TEXT,__const) non-external ___dpml_bid_sqrt_x_table
00000001a01a9ef8 (__TEXT,__const) non-external ___dpml_bid_trig_x_table
00000001a0183d5c (__TEXT,__text) non-external ___dpml_bid_unpack2__
00000001a0183b34 (__TEXT,__text) non-external ___dpml_bid_unpack_x_or_y__
00000001a0182f40 (__TEXT,__text) non-external ___dpml_bid_ux_asin_acos__
00000001a01824c8 (__TEXT,__text) non-external ___dpml_bid_ux_cmp__
00000001a01850b8 (__TEXT,__text) non-external ___dpml_bid_ux_degree_reduce__
00000001a0182938 (__TEXT,__text) non-external ___dpml_bid_ux_exp_common__
00000001a018299c (__TEXT,__text) non-external ___dpml_bid_ux_exp_reduce__
00000001a0183698 (__TEXT,__text) non-external ___dpml_bid_ux_log__
00000001a0185350 (__TEXT,__text) non-external ___dpml_bid_ux_radian_reduce__
00000001a0184fd8 (__TEXT,__text) non-external ___dpml_bid_ux_sincos
00000001a0184d14 (__TEXT,__text) non-external ___dpml_bid_ux_sqrt_evaluation__
00000001a01858dc (__TEXT,__text) non-external ___dpml_bid_ux_tancot__
00000001a01a9558 (__TEXT,__const) non-external ___dpml_bid_x_constants__
00000001a01a77b0 (__TEXT,__const) non-external ___dpml_response_table
                 (undefined) external ___error (from libSystem)
00000001a01846cc (__TEXT,__text) non-external ___eval_neg_poly
00000001a01849b0 (__TEXT,__text) non-external ___eval_pos_poly
00000001a01a96c0 (__TEXT,__const) non-external ___four_over_pi
00000001a015cd74 (__TEXT,__text) non-external ___functionACosD_block_invoke
00000001a015e89c (__TEXT,__text) non-external ___functionACosH_block_invoke
00000001a015b714 (__TEXT,__text) non-external ___functionACos_block_invoke
00000001a0163bac (__TEXT,__text) non-external ___functionAND_block_invoke
00000001a015c8e8 (__TEXT,__text) non-external ___functionASinD_block_invoke
00000001a015e5e4 (__TEXT,__text) non-external ___functionASinH_block_invoke
00000001a015b450 (__TEXT,__text) non-external ___functionASin_block_invoke
00000001a015d150 (__TEXT,__text) non-external ___functionATanD_block_invoke
00000001a015ef1c (__TEXT,__text) non-external ___functionATanH_block_invoke
00000001a015bae0 (__TEXT,__text) non-external ___functionATan_block_invoke
00000001a015f244 (__TEXT,__text) non-external ___functionCeil_block_invoke
00000001a0164790 (__TEXT,__text) non-external ___functionCompose_block_invoke
00000001a0153748 (__TEXT,__text) non-external ___functionConstant_block_invoke
00000001a015c118 (__TEXT,__text) non-external ___functionCosD_block_invoke
00000001a015dc18 (__TEXT,__text) non-external ___functionCosH_block_invoke
00000001a015ae08 (__TEXT,__text) non-external ___functionCos_block_invoke
00000001a0159d10 (__TEXT,__text) non-external ___functionCubeRoot_block_invoke
00000001a01585f0 (__TEXT,__text) non-external ___functionDivide_block_invoke
00000001a01612b8 (__TEXT,__text) non-external ___functionERFC_block_invoke
00000001a0160f18 (__TEXT,__text) non-external ___functionERF_block_invoke
00000001a015a008 (__TEXT,__text) non-external ___functionExp_block_invoke
00000001a0162568 (__TEXT,__text) non-external ___functionFMod_block_invoke
00000001a0160194 (__TEXT,__text) non-external ___functionFabs_block_invoke
00000001a0161a8c (__TEXT,__text) non-external ___functionFactorial_block_invoke
00000001a0164f84 (__TEXT,__text) non-external ___functionFail_block_invoke
00000001a015f84c (__TEXT,__text) non-external ___functionFloor_block_invoke
00000001a0162b28 (__TEXT,__text) non-external ___functionHypot_block_invoke
00000001a01603c4 (__TEXT,__text) non-external ___functionJ0_block_invoke
00000001a0160574 (__TEXT,__text) non-external ___functionJ1_block_invoke
00000001a0160cb4 (__TEXT,__text) non-external ___functionLGamma_block_invoke
00000001a0164330 (__TEXT,__text) non-external ___functionLeftShift_block_invoke
00000001a015a280 (__TEXT,__text) non-external ___functionLn_block_invoke
00000001a015a768 (__TEXT,__text) non-external ___functionLogBase_block_invoke
00000001a015a4f0 (__TEXT,__text) non-external ___functionLog_block_invoke
00000001a01636d0 (__TEXT,__text) non-external ___functionMax_block_invoke
00000001a01631f4 (__TEXT,__text) non-external ___functionMin_block_invoke
00000001a0163f6c (__TEXT,__text) non-external ___functionNOR_block_invoke
00000001a0158b68 (__TEXT,__text) non-external ___functionNegate_block_invoke
00000001a0153bec (__TEXT,__text) non-external ___functionNoOp_block_invoke
00000001a0163d8c (__TEXT,__text) non-external ___functionOR_block_invoke
00000001a0159578 (__TEXT,__text) non-external ___functionPercentDecrease_block_invoke
00000001a01590c4 (__TEXT,__text) non-external ___functionPercentIncrease_block_invoke
00000001a0158e14 (__TEXT,__text) non-external ___functionPercent_block_invoke
00000001a015769c (__TEXT,__text) non-external ___functionPow_block_invoke
00000001a0160a84 (__TEXT,__text) non-external ___functionRInt_block_invoke
00000001a0162e98 (__TEXT,__text) non-external ___functionRem_block_invoke
00000001a0164560 (__TEXT,__text) non-external ___functionRightShift_block_invoke
00000001a0162044 (__TEXT,__text) non-external ___functionRoot_block_invoke
00000001a015fccc (__TEXT,__text) non-external ___functionRoundNearest_block_invoke
00000001a015fa84 (__TEXT,__text) non-external ___functionRound_block_invoke
00000001a015812c (__TEXT,__text) non-external ___functionSameCurrency_block_invoke
00000001a015bda4 (__TEXT,__text) non-external ___functionSinD_block_invoke
00000001a015d518 (__TEXT,__text) non-external ___functionSinH_block_invoke
00000001a015ab58 (__TEXT,__text) non-external ___functionSine_block_invoke
00000001a0159aa0 (__TEXT,__text) non-external ___functionSqrRoot_block_invoke
00000001a01571d4 (__TEXT,__text) non-external ___functionSubtract_block_invoke
00000001a015c48c (__TEXT,__text) non-external ___functionTanD_block_invoke
00000001a015e230 (__TEXT,__text) non-external ___functionTanH_block_invoke
00000001a015b0b8 (__TEXT,__text) non-external ___functionTan_block_invoke
00000001a015421c (__TEXT,__text) non-external ___functionUnit_block_invoke
00000001a0164150 (__TEXT,__text) non-external ___functionXOR_block_invoke
00000001a0160724 (__TEXT,__text) non-external ___functionY0_block_invoke
00000001a01608d4 (__TEXT,__text) non-external ___functionY1_block_invoke
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___stdinp (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
00000001a01a95f8 (__TEXT,__const) non-external ___ux_one__
                 (undefined) external __dispatch_queue_attr_concurrent (from libSystem)
00000001a0164884 (__TEXT,__text) non-external __functionConvert
00000001e73caa80 (__DATA,__bss) non-external __loadIfNeeded.onceToken
00000001e73ca9c8 (__DATA,__bss) non-external __lock.onceToken
00000001e73caa10 (__DATA,__bss) non-external __lock.onceToken.541
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external __os_log_error_impl (from libSystem)
                 (undefined) external __os_log_impl (from libSystem)
00000001ef9b8a00 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage
00000001ef9b8ad0 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.119
00000001ef9b8b48 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.240
00000001ef9b8ba8 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.241
00000001ef9b8c08 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.359
00000001ef9b8a58 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.375
00000001ef9b8c38 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.646
00000001ef9b8cb0 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.647
00000001ef9b8d28 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.703
00000001e73ca398 (__DATA,__data) non-external __updateInputValueFromMatch:.feetInchRegexp
00000001e73ca3a0 (__DATA,__data) non-external __updateInputValueFromMatch:.onceToken
                 (undefined) external _acos (from libSystem)
                 (undefined) external _acosh (from libSystem)
00000001e73caaa8 (__DATA,__bss) non-external _addSet
00000001a0154604 (__TEXT,__text) non-external _addUnitToSuggestions
                 (undefined) external _asin (from libSystem)
                 (undefined) external _asinh (from libSystem)
                 (undefined) external _atan (from libSystem)
                 (undefined) external _atanh (from libSystem)
00000001e73caa90 (__DATA,__bss) non-external _availableUnitRanks
00000001e73caa88 (__DATA,__bss) non-external _availableUnitRanksLock
00000001a018db70 (__TEXT,__text) non-external _bid128_ext_fma
00000001a0154d60 (__TEXT,__text) non-external _bid128_pow_fix
00000001a01a0bb4 (__TEXT,__text) non-external _bid128_to_binary128_2part
00000001a01937bc (__TEXT,__text) non-external _bid___div_128_by_128.932
00000001a0198778 (__TEXT,__text) non-external _bid___div_128_by_128.964
00000001a0192f74 (__TEXT,__text) non-external _bid_add256
00000001a0192524 (__TEXT,__text) non-external _bid_add_and_round
00000001a01930c4 (__TEXT,__text) non-external _bid_bid_nr_digits256
00000001a0208d90 (__TEXT,__const) non-external _bid_breakpoints_binary128
00000001a01fb260 (__TEXT,__const) non-external _bid_breakpoints_binary64
00000001a02d4c40 (__TEXT,__const) non-external _bid_coefflimits_bid128
00000001a01b1b50 (__TEXT,__const) non-external _bid_decimal128_moduli.998
00000001a022fa70 (__TEXT,__const) non-external _bid_exponents_binary128
00000001a01fdc20 (__TEXT,__const) non-external _bid_exponents_binary64
00000001a0182274 (__TEXT,__text) non-external _bid_f128_add
00000001a0182db0 (__TEXT,__text) non-external _bid_f128_asinh
00000001a018244c (__TEXT,__text) non-external _bid_f128_cmp
00000001a01821c8 (__TEXT,__text) non-external _bid_f128_div
00000001a0182b74 (__TEXT,__text) non-external _bid_f128_exp
00000001a01823cc (__TEXT,__text) non-external _bid_f128_itof
00000001a01830f4 (__TEXT,__text) non-external _bid_f128_lgamma
00000001a01837b8 (__TEXT,__text) non-external _bid_f128_log
00000001a0182120 (__TEXT,__text) non-external _bid_f128_mul
00000001a018255c (__TEXT,__text) non-external _bid_f128_nextafter
00000001a0184ec8 (__TEXT,__text) non-external _bid_f128_sqrt
00000001a0182320 (__TEXT,__text) non-external _bid_f128_sub
00000001a018d3e8 (__TEXT,__text) non-external _bid_get_BID128
00000001a019d1a0 (__TEXT,__text) non-external _bid_get_BID128.995
00000001a02d5f50 (__TEXT,__const) non-external _bid_innertable_exp
00000001a02d4f50 (__TEXT,__const) non-external _bid_innertable_sig
00000001a01abaa0 (__TEXT,__const) non-external _bid_log_table_1
00000001a01acea0 (__TEXT,__const) non-external _bid_log_table_2
00000001a02395b0 (__TEXT,__const) non-external _bid_multipliers1_binary128
00000001a01fe690 (__TEXT,__const) non-external _bid_multipliers1_binary64
00000001a0286f70 (__TEXT,__const) non-external _bid_multipliers2_binary128
00000001a0203a10 (__TEXT,__const) non-external _bid_multipliers2_binary64
00000001a02d6b50 (__TEXT,__const) non-external _bid_outertable_exp
00000001a02d6150 (__TEXT,__const) non-external _bid_outertable_sig
00000001a02d4930 (__TEXT,__const) non-external _bid_power_five
00000001a01ab6a0 (__TEXT,__const) non-external _bid_recip_table_1
00000001a01acaa0 (__TEXT,__const) non-external _bid_recip_table_2
00000001a01fb120 (__TEXT,__const) non-external _bid_roundbound_128
00000001a0192314 (__TEXT,__text) non-external _bid_rounding_correction
00000001a0193010 (__TEXT,__text) non-external _bid_sub256
00000001a01ab560 (__TEXT,__const) non-external _c1
00000001a01ab4d0 (__TEXT,__const) non-external _c10
00000001a01ab4c0 (__TEXT,__const) non-external _c11
00000001a01ab4b0 (__TEXT,__const) non-external _c12
00000001a01ab550 (__TEXT,__const) non-external _c2
00000001a01ab540 (__TEXT,__const) non-external _c3
00000001a01ab530 (__TEXT,__const) non-external _c4
00000001a01ab520 (__TEXT,__const) non-external _c5
00000001a01ab510 (__TEXT,__const) non-external _c6
00000001a01ab500 (__TEXT,__const) non-external _c7
00000001a01ab4f0 (__TEXT,__const) non-external _c8
00000001a01ab4e0 (__TEXT,__const) non-external _c9
00000001a01ab470 (__TEXT,__const) non-external _c_105
00000001a01ab430 (__TEXT,__const) non-external _c_11000
00000001a01ab580 (__TEXT,__const) non-external _c_11000.925
00000001a01adef0 (__TEXT,__const) non-external _c_11000.985
00000001a01ab490 (__TEXT,__const) non-external _c_120
00000001a01ab570 (__TEXT,__const) non-external _c_1_ov_sqrt_pi
00000001a01ab5d0 (__TEXT,__const) non-external _c_1_plus_eps
00000001a01ab5b0 (__TEXT,__const) non-external _c_1e34
00000001a01ab5e0 (__TEXT,__const) non-external _c_1em100
00000001a01ab450 (__TEXT,__const) non-external _c_1em2000
00000001a01ab310 (__TEXT,__const) non-external _c_1em40
00000001a01f9c00 (__TEXT,__const) non-external _c_1em40.1002
00000001a01ab370 (__TEXT,__const) non-external _c_1em40.883
00000001a01ab3c0 (__TEXT,__const) non-external _c_1em40.892
00000001a01ab3f0 (__TEXT,__const) non-external _c_1em40.911
00000001a01ab460 (__TEXT,__const) non-external _c_1em40.921
00000001a01adeb0 (__TEXT,__const) non-external _c_1em40.981
00000001a01ab480 (__TEXT,__const) non-external _c_2_ov_sqrt_pi
00000001a01ab670 (__TEXT,__const) non-external _c_4464
00000001a01ab630 (__TEXT,__const) non-external _c_4464_ln_10
00000001a01ab410 (__TEXT,__const) non-external _c_64
00000001a01aded0 (__TEXT,__const) non-external _c_64.983
00000001a01ab320 (__TEXT,__const) non-external _c_7_10ths
00000001a01ab380 (__TEXT,__const) non-external _c_7_10ths.884
00000001a01ab3d0 (__TEXT,__const) non-external _c_half
00000001a01ab440 (__TEXT,__const) non-external _c_half.914
00000001a01ab5c0 (__TEXT,__const) non-external _c_half.937
00000001a01ab650 (__TEXT,__const) non-external _c_half.943
00000001a01ab690 (__TEXT,__const) non-external _c_half.947
00000001a01adf10 (__TEXT,__const) non-external _c_half.986
00000001a01ab660 (__TEXT,__const) non-external _c_inv_log10
