00000001a2412fc8 (__TEXT,__text) non-external +[AMFI isAvailable]
00000001a24137b4 (__TEXT,__text) non-external ___57-[SPDeveloperPolicy isDeveloperToolEnvironmentWithError:]_block_invoke
00000001a2409af8 (__TEXT,__text) non-external ___57-[SPKernelExtensionPolicy teamIdentifierIsAllowed:error:]_block_invoke
00000001a240a434 (__TEXT,__text) non-external ___57-[SPKernelExtensionPolicy updateLastUsedTimes:withError:]_block_invoke
00000001a2406948 (__TEXT,__text) non-external ___58-[BundleData initWithURL:withReloadBlock:watchForUpdates:]_block_invoke
00000001a240a4c0 (__TEXT,__text) non-external ___58-[SPKernelExtensionPolicy requiresAuthenticationOnUpdates]_block_invoke
00000001a240c744 (__TEXT,__text) non-external ___61-[SPKernelExtensionPolicy(MDM) setUserApprovalAllowed:error:]_block_invoke
00000001a2409a20 (__TEXT,__text) non-external ___63-[SPKernelExtensionPolicy canLoadKernelExtensionInCache:error:]_block_invoke
00000001a240b30c (__TEXT,__text) non-external ___64-[SPExecutionPolicy setBlockedSoftwareOverride:isEnabled:error:]_block_invoke
00000001a240a1f8 (__TEXT,__text) non-external ___64-[SPKernelExtensionPolicy notifyLoadedKernelExtension:withPath:]_block_invoke
00000001a240a4dc (__TEXT,__text) non-external ___64-[SPKernelExtensionPolicy requiresAdministratorToApproveUpdates]_block_invoke
00000001a2409f4c (__TEXT,__text) non-external ___65-[SPKernelExtensionPolicy areKernelExtensionsApproved:withError:]_block_invoke
00000001a240a2cc (__TEXT,__text) non-external ___66-[SPKernelExtensionPolicy notifyUnsupportedKernelExtension:error:]_block_invoke
00000001a240cb5c (__TEXT,__text) non-external ___67-[SPKernelExtensionPolicy(MDM) removeMDMPayload:withContext:error:]_block_invoke
00000001a240a024 (__TEXT,__text) non-external ___69-[SPKernelExtensionPolicy requestKernelExtensionApprovals:withError:]_block_invoke
00000001a2409d4c (__TEXT,__text) non-external ___71-[SPKernelExtensionPolicy updatePolicyItems:withExternalContext:error:]_block_invoke
00000001a240c814 (__TEXT,__text) non-external ___71-[SPKernelExtensionPolicy(MDM) setApprovalRequiresAdministrator:error:]_block_invoke
00000001a240cd70 (__TEXT,__text) non-external ___76-[SPKernelExtensionPolicy(MDM) enableKernelExtensionManagementForMDM:error:]_block_invoke
00000001a2409c04 (__TEXT,__text) non-external ___78-[SPKernelExtensionPolicy isKernelExtensionApprovedByUser:withBundleID:error:]_block_invoke
00000001a2401684 (__TEXT,__text) non-external ___79-[StagedBundleData initWithURL:withStagedURL:withReloadBlock:withPrepareBlock:]_block_invoke
00000001a240a454 (__TEXT,__text) non-external ___80-[SPKernelExtensionPolicy triggerRecoveryJumpToSecurityStartupUtilityWithError:]_block_invoke
00000001a2408224 (__TEXT,__text) non-external ___83-[SPExecutionPolicy(Gatekeeper) notifyInstalledContent:withInstallationType:error:]_block_invoke
00000001a240cc80 (__TEXT,__text) non-external ___87-[SPKernelExtensionPolicy(MDM) triggerKernelCollectionRebuildForMDM:withContext:error:]_block_invoke
00000001a240811c (__TEXT,__text) non-external ___92-[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:]_block_invoke
00000001a240812c (__TEXT,__text) non-external ___92-[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:]_block_invoke.42
00000001a240a100 (__TEXT,__text) non-external ___93-[SPKernelExtensionPolicy triggerKernelCollectionRebuildFlow:withKernelExtensions:withError:]_block_invoke
00000001a240c99c (__TEXT,__text) non-external ___93-[SPKernelExtensionPolicy(MDM) installMDMPayload:withTeams:withExtensions:withContext:error:]_block_invoke
00000001a24083f0 (__TEXT,__text) non-external ___97-[SPExecutionPolicy(Gatekeeper) performGatekeeperScan:withScanOptions:withProgressHandler:error:]_block_invoke
00000001a2412cfc (__TEXT,__text) non-external ___AppleMobileFileIntegrityLibraryCore_block_invoke
00000001a240e4a8 (__TEXT,__text) non-external ___Block_byref_object_copy_
00000001a240e4b8 (__TEXT,__text) non-external ___Block_byref_object_dispose_
00000001a240e7e0 (__TEXT,__text) non-external ___BooleanXPCImpl_block_invoke
00000001a240e890 (__TEXT,__text) non-external ___BooleanXPCImpl_block_invoke.9
00000001a2415948 (__TEXT,__text) non-external ___BooleanXPCImpl_block_invoke.cold.1
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
                 (undefined) external ___NSDictionary0__struct (from CoreFoundation)
00000001d53c7ba8 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e27_B24?0"NSURL"8"NSError"16l
00000001d53c7b88 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e28_v24?08?<v?"NSError">16l
00000001d53c7bd0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e28_v24?08?<v?B"NSError">16l
00000001d53c7b68 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e5_v8?0l
00000001d53c7bf0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_33_e28_v24?08?<v?B"NSError">16l
00000001dec57300 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32bs_e17_v16?0"NSError"8l
00000001dec57450 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32bs_e57_^v32?0^{__SecCode=}8^{__CFString=}16^{__CFDictionary=}24l
00000001dec574b0 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32r_e5_v8?0l
00000001dec573f0 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e15_B16?0"NSURL"8l
00000001dec56db0 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e20_v16?0"BundleData"8l
00000001dec56e00 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e28_v24?08?<v?"NSError">16l
00000001dec56ed0 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e28_v24?08?<v?B"NSError">16l
00000001dec57070 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e54_v40?0"NSURL"8"NSString"16"NSString"24"NSString"32l
00000001dec56ea0 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e5_v8?0l
00000001dec56d50 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32w_e20_v16?0"BundleData"8l
00000001dec57230 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_41_e8_32s_e28_v24?08?<v?B"NSError">16l
00000001dec57360 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32bs40r_e17_v16?0"NSError"8l
00000001dec572d0 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32r40r_e20_v24?08"NSError"16l
00000001dec57480 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32r_e5_v8?0l
00000001dec57420 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40s_e15_v16?0"NSURL"8l
00000001dec570a0 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40s_e28_v24?08?<v?B"NSError">16l
00000001dec56d80 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40w_e5_v8?0l
00000001dec56f30 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s_e28_v24?08?<v?B"NSError">16l
00000001dec57330 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_49_e8_32r40r_e20_v20?0B8"NSError"12l
00000001dec57390 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_51_e8_32s40s_e28_v24?08?<v?B"NSError">16l
00000001dec56f00 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_52_e8_32s_e28_v24?08?<v?B"NSError">16l
00000001dec56e70 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48bs_e15_v16?0"NSURL"8l
00000001dec573c0 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_57_e8_32s40s48s_e28_v24?08?<v?B"NSError">16l
00000001dec56f60 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_60_e8_32s40bs_e28_v24?08?<v?"NSError">16l
00000001dec57280 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_64_e8_32s40s48s56s_e28_v24?08?<v?B"NSError">16l
00000001dec56de0 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001dec56e30 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001dec56e50 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001dec56f90 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001dec57050 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001dec570d0 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001dec571f0 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001dec57260 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001dec572b0 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001dec574e0 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001dec56ff0 (__AUTH_CONST,__const) non-external ___block_literal_global.10
00000001dec57010 (__AUTH_CONST,__const) non-external ___block_literal_global.13
00000001dec57030 (__AUTH_CONST,__const) non-external ___block_literal_global.16
00000001dec56fb0 (__AUTH_CONST,__const) non-external ___block_literal_global.4
00000001dec57500 (__AUTH_CONST,__const) non-external ___block_literal_global.50
00000001dec57210 (__AUTH_CONST,__const) non-external ___block_literal_global.66
00000001dec56fd0 (__AUTH_CONST,__const) non-external ___block_literal_global.7
00000001dec570f0 (__AUTH_CONST,__const) non-external ___block_literal_global.79
00000001dec57110 (__AUTH_CONST,__const) non-external ___block_literal_global.85
00000001dec57130 (__AUTH_CONST,__const) non-external ___block_literal_global.87
00000001dec57150 (__AUTH_CONST,__const) non-external ___block_literal_global.89
00000001dec57170 (__AUTH_CONST,__const) non-external ___block_literal_global.91
00000001dec57190 (__AUTH_CONST,__const) non-external ___block_literal_global.93
00000001dec571b0 (__AUTH_CONST,__const) non-external ___block_literal_global.95
00000001dec571d0 (__AUTH_CONST,__const) non-external ___block_literal_global.97
                 (undefined) external ___chkstk_darwin (from libSystem)
00000001a240e634 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32b
00000001a240e8b0 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32b40r
00000001a2412d8c (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32r
00000001a240e588 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32r40r
00000001a240210c (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s
00000001a2408410 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40b
00000001a2409c14 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s
00000001a2405c64 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48b
00000001a2410760 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48s
00000001a240c9b0 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48s56s
00000001a2401b44 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40w
00000001a24016c4 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32w
00000001a2412d9c (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32r
00000001a240e5d8 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32r40r
00000001a2402114 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s
00000001a240e900 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40r
00000001a2408458 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s
00000001a2405cb4 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s48s
00000001a240c9fc (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s48s56s
00000001a2401b88 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40w
00000001a24016d0 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32w
00000001a240e4c0 (__TEXT,__text) non-external ___doObjectXPCFunction_block_invoke
00000001a240e61c (__TEXT,__text) non-external ___doObjectXPCFunction_block_invoke.1
00000001a2415890 (__TEXT,__text) non-external ___doObjectXPCFunction_block_invoke.cold.1
                 (undefined) external ___error (from libSystem)
00000001a2412ef8 (__TEXT,__text) non-external ___getAMFIExecutionPreflightSymbolLoc_block_invoke
00000001a240c634 (__TEXT,__text) non-external ___globalBundleSuffixes_block_invoke
                 (undefined) external ___objc_personality_v0 (from libobjc)
00000001a2412a88 (__TEXT,__text) non-external ___opaqueSignCode_block_invoke
00000001a2405b60 (__TEXT,__text) non-external ___scanForBundledKernelExtensions_block_invoke
00000001a24056d0 (__TEXT,__text) non-external ___scanForBundles_block_invoke
00000001a2414820 (__TEXT,__text) non-external ___scanForBundles_block_invoke.cold.1
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external __dispatch_main_q (from libSystem)
                 (undefined) external __dispatch_queue_attr_concurrent (from libSystem)
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external __os_feature_enabled_impl (from libSystem)
                 (undefined) external __os_log_debug_impl (from libSystem)
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
                 (undefined) external __os_log_impl (from libSystem)
                 (undefined) external __qtn_error (from libSystem)
                 (undefined) external __qtn_file_alloc (from libSystem)
                 (undefined) external __qtn_file_free (from libSystem)
                 (undefined) external __qtn_file_get_flags (from libSystem)
                 (undefined) external __qtn_file_init_with_mount_point (from libSystem)
                 (undefined) external __qtn_file_init_with_path (from libSystem)
                 (undefined) external __sl_dlopen (from SoftLinking)
00000001d53cad58 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage
00000001d53caf70 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage
00000001d53cafa8 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage
00000001d53cb0d8 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage
00000001d53cb1c0 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage
00000001d53cadc8 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.104
00000001d53cafe8 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.105
00000001d53caff0 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.114
00000001d53caff8 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.120
00000001d53cb000 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.122
00000001d53cb040 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.123
00000001d53cb080 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.176
00000001d53cadf0 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.178
00000001d53cae50 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.179
00000001d53caeb0 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.232
00000001d53caef8 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.233
00000001d53caf40 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.251
00000001d53caf58 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.252
00000001d53cad68 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.59
00000001d53cafb0 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.60
00000001d53cafb8 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.69
00000001d53cafc0 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.81
00000001d53cad88 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.86
00000001d53cafd0 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.96
                 (undefined) external _abort_report_np (from libSystem)
00000001a24125e0 (__TEXT,__text) external _areGatekeeperOverridesDisabledByMDM
                 (undefined) external _bzero (from libSystem)
00000001a240a548 (__TEXT,__text) external _calculateTotalPathSize
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _ccdigest_init (from libSystem)
                 (undefined) external _ccdigest_update (from libSystem)
                 (undefined) external _ccsha256_di (from libSystem)
00000001a241252c (__TEXT,__text) external _checkBOOLSetting
00000001a240628c (__TEXT,__text) external _checkPathQuarantineState
00000001a2414b64 (__TEXT,__text) non-external _checkPathQuarantineState.cold.1
00000001a24061f4 (__TEXT,__text) external _checkURLQuarantineState
                 (undefined) external _close (from libSystem)
00000001a24034dc (__TEXT,__text) external _copyAdhocSignatureHash
00000001a2413c38 (__TEXT,__text) non-external _copyAdhocSignatureHash.cold.1
00000001a2413e34 (__TEXT,__text) non-external _copyAdhocSignatureHash.cold.10
00000001a2413e68 (__TEXT,__text) non-external _copyAdhocSignatureHash.cold.11
00000001a2413e9c (__TEXT,__text) non-external _copyAdhocSignatureHash.cold.12
00000001a2413ed0 (__TEXT,__text) non-external _copyAdhocSignatureHash.cold.13
00000001a2413f2c (__TEXT,__text) non-external _copyAdhocSignatureHash.cold.14
00000001a2413f60 (__TEXT,__text) non-external _copyAdhocSignatureHash.cold.15
00000001a2413fe4 (__TEXT,__text) non-external _copyAdhocSignatureHash.cold.16
00000001a2414040 (__TEXT,__text) non-external _copyAdhocSignatureHash.cold.17
00000001a241409c (__TEXT,__text) non-external _copyAdhocSignatureHash.cold.18
00000001a2413c94 (__TEXT,__text) non-external _copyAdhocSignatureHash.cold.2
00000001a2413cc8 (__TEXT,__text) non-external _copyAdhocSignatureHash.cold.3
00000001a2413cfc (__TEXT,__text) non-external _copyAdhocSignatureHash.cold.4
00000001a2413d30 (__TEXT,__text) non-external _copyAdhocSignatureHash.cold.5
00000001a2413d64 (__TEXT,__text) non-external _copyAdhocSignatureHash.cold.6
00000001a2413d98 (__TEXT,__text) non-external _copyAdhocSignatureHash.cold.7
00000001a2413dcc (__TEXT,__text) non-external _copyAdhocSignatureHash.cold.8
00000001a2413e00 (__TEXT,__text) non-external _copyAdhocSignatureHash.cold.9
00000001a2404db0 (__TEXT,__text) external _copyBootUUID
00000001a24146b0 (__TEXT,__text) non-external _copyBootUUID.cold.1
00000001a2404514 (__TEXT,__text) external _copyBundleID
00000001a24143b8 (__TEXT,__text) non-external _copyBundleID.cold.1
00000001a240460c (__TEXT,__text) external _copyBundleIDFromURL
00000001a240482c (__TEXT,__text) external _copyBundleVersion
00000001a2414470 (__TEXT,__text) non-external _copyBundleVersion.cold.1
00000001a2404734 (__TEXT,__text) external _copyBundleVersionShort
00000001a2414414 (__TEXT,__text) non-external _copyBundleVersionShort.cold.1
00000001a24046a0 (__TEXT,__text) external _copyBundleVersionShortFromURL
00000001a2403ec0 (__TEXT,__text) external _copyCdhash
00000001a24140f8 (__TEXT,__text) non-external _copyCdhash.cold.1
00000001a241412c (__TEXT,__text) non-external _copyCdhash.cold.2
00000001a2414160 (__TEXT,__text) non-external _copyCdhash.cold.3
00000001a2403e38 (__TEXT,__text) external _copyCdhashFromKextURL
00000001a24126e0 (__TEXT,__text) external _copyCodeSigningInfo
00000001a2404bd4 (__TEXT,__text) external _copyDeveloperName
00000001a2414528 (__TEXT,__text) non-external _copyDeveloperName.cold.1
00000001a241458c (__TEXT,__text) non-external _copyDeveloperName.cold.2
00000001a24145f0 (__TEXT,__text) non-external _copyDeveloperName.cold.3
00000001a2414654 (__TEXT,__text) non-external _copyDeveloperName.cold.4
00000001a2412ae4 (__TEXT,__text) external _copyEntitlements
00000001a240a6d0 (__TEXT,__text) external _copyFileHashForURL
00000001a24151f8 (__TEXT,__text) non-external _copyFileHashForURL.cold.1
00000001a2415294 (__TEXT,__text) non-external _copyFileHashForURL.cold.2
00000001a2415320 (__TEXT,__text) non-external _copyFileHashForURL.cold.3
00000001a2404018 (__TEXT,__text) external _copyLegacyCdhash
00000001a2402288 (__TEXT,__text) external _copyLegacyDeveloperName
00000001a2405f60 (__TEXT,__text) external _copySecureTimestamp
00000001a2414aa4 (__TEXT,__text) non-external _copySecureTimestamp.cold.1
00000001a2404f54 (__TEXT,__text) external _copyShippedThirdPartyKernelExtensions
00000001a240443c (__TEXT,__text) external _copySigningID
00000001a241435c (__TEXT,__text) non-external _copySigningID.cold.1
00000001a2404258 (__TEXT,__text) external _copyTeamIdentifier
00000001a2414300 (__TEXT,__text) non-external _copyTeamIdentifier.cold.1
00000001a2404084 (__TEXT,__text) external _copyTeamIdentifierFromCertificates
00000001a24141bc (__TEXT,__text) non-external _copyTeamIdentifierFromCertificates.cold.1
00000001a2414228 (__TEXT,__text) non-external _copyTeamIdentifierFromCertificates.cold.2
00000001a24041a0 (__TEXT,__text) external _copyTeamIdentifierFromSigningInformation
00000001a2414294 (__TEXT,__text) non-external _copyTeamIdentifierFromSigningInformation.cold.1
00000001a2404924 (__TEXT,__text) external _copyUnstagedURL
00000001a24144cc (__TEXT,__text) non-external _copyUnstagedURL.cold.1
00000001a24034d4 (__TEXT,__text) external _createCodeReference
00000001a24033bc (__TEXT,__text) non-external _createCodeReferenceHelper
00000001a2413b28 (__TEXT,__text) non-external _createCodeReferenceHelper.cold.1
00000001a2413bb0 (__TEXT,__text) non-external _createCodeReferenceHelper.cold.2
00000001a24033b4 (__TEXT,__text) external _createCodeReferenceQuiet
00000001a24032f8 (__TEXT,__text) external _createHexStringFromData
00000001a240edd0 (__TEXT,__text) non-external _createMigrationManifest
00000001a24159e8 (__TEXT,__text) non-external _createMigrationManifest.cold.1
00000001a2412638 (__TEXT,__text) external _createSecStaticCodeForURL
00000001a2415de0 (__TEXT,__text) non-external _createSecStaticCodeForURL.cold.1
00000001a24124f0 (__TEXT,__text) external _createSystemPolicyDefaults
00000001a2404a30 (__TEXT,__text) external _createURLWithoutPrefix
                 (undefined) external _csr_check (from libSystem)
00000001d97402b8 (__DATA,__bss) non-external _currentDeviceID.sDeviceID
00000001d97402c0 (__DATA,__bss) non-external _currentDeviceID.sOnceToken
                 (undefined) external _difftime (from libSystem)
                 (undefined) external _dirstat_np (from libSystem)
                 (undefined) external _dispatch_barrier_async (from libSystem)
                 (undefined) external _dispatch_once (from libSystem)
                 (undefined) external _dispatch_queue_create (from libSystem)
                 (undefined) external _dispatch_sync (from libSystem)
                 (undefined) external _dlerror (from libSystem)
                 (undefined) external _dlsym (from libSystem)
00000001a240df94 (__TEXT,__text) external _doBooleanXPCFunction
00000001a240e208 (__TEXT,__text) external _doBooleanXPCFunctionSilent
00000001a240e210 (__TEXT,__text) external _doObjectXPCFunction
00000001d9740270 (__DATA,__bss) non-external _exec.sLog
00000001d9740268 (__DATA,__bss) non-external _exec.sLogInit
00000001a240a604 (__TEXT,__text) external _fileExists
00000001a240a66c (__TEXT,__text) external _fileIsSymlink
00000001a240b7fc (__TEXT,__text) external _findContainingBundle
00000001a2405198 (__TEXT,__text) external _findFirstSubdirectoryURL
00000001a240c100 (__TEXT,__text) external _findOuterMostBundle
00000001a240c59c (__TEXT,__text) external _findOuterMostBundleWithFilter
00000001a240b990 (__TEXT,__text) external _findScanTargetByPath
00000001a240bd28 (__TEXT,__text) external _findTopAppBundle
00000001a240b900 (__TEXT,__text) external _findTopBundle
                 (undefined) external _free (from libSystem)
00000001a2406b28 (__TEXT,__text) non-external _fsEventCallback
00000001d9740250 (__DATA,__bss) non-external _generic.sLog
00000001d9740248 (__DATA,__bss) non-external _generic.sLogInit
00000001a2412e04 (__TEXT,__text) non-external (was a private external) _getAMFIExecutionPreflightSymbolLoc
00000001d97402d0 (__DATA,__bss) non-external _getAMFIExecutionPreflightSymbolLoc.ptr
00000001d9740238 (__DATA,__bss) non-external _getAllowedPaths.dragWhitelist
00000001d9740240 (__DATA,__bss) non-external _getAllowedPaths.once
00000001a2404338 (__TEXT,__text) external _getDictionaryValue
00000001a240bff8 (__TEXT,__text) external _getVolumePrefix
00000001a24153ac (__TEXT,__text) non-external _getVolumePrefix.cold.1
                 (undefined) external _getattrlist (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _getuid (from libSystem)
00000001a240b7a8 (__TEXT,__text) non-external _globalBundleSuffixes
00000001d97402b0 (__DATA,__bss) non-external _globalBundleSuffixes.bundleSuffixes
00000001d97402a8 (__DATA,__bss) non-external _globalBundleSuffixes.staticInit
00000001a240bf64 (__TEXT,__text) external _hasAppExtension
00000001a2404fd8 (__TEXT,__text) external _hasCodeRequirementString
00000001a2414768 (__TEXT,__text) non-external _hasCodeRequirementString.cold.1
00000001a2418afe (__TEXT,__cstring) non-external _hexString.nibble
00000001a24064f4 (__TEXT,__text) external _historyEntriesContainPolicyMatch
00000001a2406378 (__TEXT,__text) external _historyEntryMatchesPolicyEntry
00000001a24050e0 (__TEXT,__text) external _isAdhocSignature
00000001a24147c4 (__TEXT,__text) non-external _isAdhocSignature.cold.1
00000001a2402c98 (__TEXT,__text) external _isAppleInternalMachine
00000001a24050a0 (__TEXT,__text) external _isAppleSignedCode
00000001a2402d04 (__TEXT,__text) external _isBehavioralEngineEnabledMachine
00000001a2405cf8 (__TEXT,__text) external _isCodelessKext
00000001a2414884 (__TEXT,__text) non-external _isCodelessKext.cold.1
00000001a240e644 (__TEXT,__text) external _isConnectionEntitled
00000001a24158ec (__TEXT,__text) non-external _isConnectionEntitled.cold.1
00000001a2402cbc (__TEXT,__text) external _isDarwinOSEnvironment
00000001a24050d0 (__TEXT,__text) external _isDeveloperIDKextSignedCode
00000001a24050c0 (__TEXT,__text) external _isDeveloperIDSignedCode
00000001a2402cc8 (__TEXT,__text) external _isInstallerOrRecoveryEnvironment
00000001a2404f68 (__TEXT,__text) external _isKernelExtensionShippedWithOS
00000001a2404f60 (__TEXT,__text) external _isKernelExtensionSystemRequired
00000001a2406038 (__TEXT,__text) external _isKextAllowedWithoutNotarization
00000001a2414b00 (__TEXT,__text) non-external _isKextAllowedWithoutNotarization.cold.1
00000001a2402c2c (__TEXT,__text) external _isKextSecurityDisabledMachine
00000001a24050b0 (__TEXT,__text) external _isMacAppStoreSignedCode
00000001a240e9e4 (__TEXT,__text) non-external _isMigrationManifestUpToDate
00000001a2405dac (__TEXT,__text) external _isNotarizedKext
00000001a24148e8 (__TEXT,__text) non-external _isNotarizedKext.cold.1
00000001a241498c (__TEXT,__text) non-external _isNotarizedKext.cold.2
00000001a2414a18 (__TEXT,__text) non-external _isNotarizedKext.cold.3
00000001a2402d18 (__TEXT,__text) external _isProvenanceTrackingEnabled
00000001a2402c50 (__TEXT,__text) external _isSIPDisabledMachine
00000001a2402c74 (__TEXT,__text) external _isSKELDisabledMachine
00000001a240b5c4 (__TEXT,__text) external _isValidInfoPlist
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
                 (undefined) external _kCFBooleanFalse (from CoreFoundation)
                 (undefined) external _kCFBooleanTrue (from CoreFoundation)
                 (undefined) external _kCFNull (from CoreFoundation)
                 (undefined) external _kCFRunLoopDefaultMode (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryKeyCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryValueCallBacks (from CoreFoundation)
                 (undefined) weak external _kMISValidationInfoSignerType (from libmis)
                 (undefined) weak external _kMISValidationInfoValidatedByLocalProfile (from libmis)
                 (undefined) weak external _kMISValidationInfoValidatedByUniversalProfile (from libmis)
                 (undefined) weak external _kMISValidationOptionOnlineAuthorization (from libmis)
                 (undefined) weak external _kMISValidationOptionRespectUppTrustAndAuthorization (from libmis)
                 (undefined) weak external _kMISValidationOptionUnauthoritativeLaunch (from libmis)
                 (undefined) weak external _kMISValidationOptionValidateSignatureOnly (from libmis)
