00000001e50fa568 (__DATA,__data) non-external _.compoundliteral
00000001dbe5d118 (__TEXT,__text) non-external _glsmResetTextureLevel
00000001dbe5db4c (__TEXT,__text) external _glsmUpdateTexImageDataInPPStream
00000001dbdf588c (__TEXT,__text) non-external (was a private external) _glvmCPGetAttributeCode
00000001dbdf8418 (__TEXT,__text) external _glvmCalculateSurfaceTextureBase
00000001dbe1d270 (__TEXT,__text) non-external (was a private external) _glvmChooseArgTypeConversion
00000001dbe1d4bc (__TEXT,__text) non-external (was a private external) _glvmChooseDestTypeConversion
00000001dbe58ba8 (__TEXT,__text) external _glvmCopyAttributes
00000001dbdf58ac (__TEXT,__text) non-external (was a private external) _glvmEPGetAttributeCode
00000001dbdf592c (__TEXT,__text) non-external (was a private external) _glvmFPGetAttributeCode
00000001dbdf58cc (__TEXT,__text) non-external (was a private external) _glvmGPGetAttributeCode
00000001dbdf59e8 (__TEXT,__text) external _glvmGetConstants
00000001dbe37274 (__TEXT,__text) non-external (was a private external) _glvmGetDestOffsetCount
00000001dbdf5318 (__TEXT,__text) non-external (was a private external) _glvmGetGlobalParameterOffset
00000001dbe37894 (__TEXT,__text) non-external (was a private external) _glvmGetOperationSpec
00000001dbdf580c (__TEXT,__text) non-external (was a private external) _glvmGetResultCode
00000001dbe3697c (__TEXT,__text) non-external (was a private external) _glvmGetSourceOffsetStride
00000001dbe4f790 (__TEXT,__text) external _glvmInterpretCPTransformPatch
00000001dbe4d61c (__TEXT,__text) non-external (was a private external) _glvmInterpretCPTransformPatchInner
00000001dbe52410 (__TEXT,__text) external _glvmInterpretEPTransformPatch
00000001dbe4fe44 (__TEXT,__text) non-external (was a private external) _glvmInterpretEPTransformPatchInner
00000001dbe5b6f0 (__TEXT,__text) external _glvmInterpretFPTransformFour
00000001dbe58e10 (__TEXT,__text) non-external (was a private external) _glvmInterpretFPTransformFourInner
00000001dbe56300 (__TEXT,__text) external _glvmInterpretGPTransformPrimitive
00000001dbe53894 (__TEXT,__text) non-external (was a private external) _glvmInterpretGPTransformPrimitiveInner
00000001dbe4cf20 (__TEXT,__text) external _glvmInterpretVPTransformFour
00000001dbe4a470 (__TEXT,__text) non-external (was a private external) _glvmInterpretVPTransformFourInner
00000001dbe21eb0 (__TEXT,__text) non-external (was a private external) _glvmLoadDestTemp
00000001dbe1ec30 (__TEXT,__text) non-external (was a private external) _glvmLoadSourceAddress
00000001dbe2ab78 (__TEXT,__text) non-external (was a private external) _glvmLoadSourceAttribCP
00000001dbe2e9bc (__TEXT,__text) non-external (was a private external) _glvmLoadSourceAttribEP
00000001dbe32620 (__TEXT,__text) non-external (was a private external) _glvmLoadSourceAttribFP
00000001dbe3171c (__TEXT,__text) non-external (was a private external) _glvmLoadSourceAttribGP
00000001dbe27fd0 (__TEXT,__text) non-external (was a private external) _glvmLoadSourceAttribVP
00000001dbe1f610 (__TEXT,__text) non-external (was a private external) _glvmLoadSourceParam
00000001dbe1d674 (__TEXT,__text) non-external (was a private external) _glvmLoadSourceTemp
00000001dbedd658 (__TEXT,__text) non-external _glvmOp
00000001dbe396b0 (__TEXT,__text) non-external (was a private external) _glvmOperationABS
00000001dbe464d4 (__TEXT,__text) non-external (was a private external) _glvmOperationACOSH
00000001dbe39850 (__TEXT,__text) non-external (was a private external) _glvmOperationACS
00000001dbe3dd8c (__TEXT,__text) non-external (was a private external) _glvmOperationADD
00000001dbe39998 (__TEXT,__text) non-external (was a private external) _glvmOperationALL
00000001dbe45bf8 (__TEXT,__text) non-external (was a private external) _glvmOperationAND
00000001dbe3ded8 (__TEXT,__text) non-external (was a private external) _glvmOperationANL
00000001dbe39c00 (__TEXT,__text) non-external (was a private external) _glvmOperationANY
00000001dbe39654 (__TEXT,__text) non-external (was a private external) _glvmOperationARA
00000001dbe3962c (__TEXT,__text) non-external (was a private external) _glvmOperationARL
00000001dbe39650 (__TEXT,__text) non-external (was a private external) _glvmOperationARR
00000001dbe463a4 (__TEXT,__text) non-external (was a private external) _glvmOperationASINH
00000001dbe39e68 (__TEXT,__text) non-external (was a private external) _glvmOperationASN
00000001dbe46604 (__TEXT,__text) non-external (was a private external) _glvmOperationATANH
00000001dbe39f90 (__TEXT,__text) non-external (was a private external) _glvmOperationATN
00000001dbe3df1c (__TEXT,__text) non-external (was a private external) _glvmOperationATN2
00000001dbe38d50 (__TEXT,__text) non-external (was a private external) _glvmOperationATN_Core
00000001dbe447e4 (__TEXT,__text) non-external (was a private external) _glvmOperationBDL
00000001dbe48808 (__TEXT,__text) non-external (was a private external) _glvmOperationBITCOUNT
00000001dbe48444 (__TEXT,__text) non-external (was a private external) _glvmOperationBITFIELD_REVERSE
00000001dbe39f9c (__TEXT,__text) non-external (was a private external) _glvmOperationCEI
00000001dbe41ea4 (__TEXT,__text) non-external (was a private external) _glvmOperationCLM
00000001dbe41e40 (__TEXT,__text) non-external (was a private external) _glvmOperationCMP
00000001dbe45fe0 (__TEXT,__text) non-external (was a private external) _glvmOperationCOMP
00000001dbe3a110 (__TEXT,__text) non-external (was a private external) _glvmOperationCOS
00000001dbe46144 (__TEXT,__text) non-external (was a private external) _glvmOperationCOSH
00000001dbe565a8 (__TEXT,__text) non-external (was a private external) _glvmOperationCopyAttributes
00000001dbe3dd08 (__TEXT,__text) non-external (was a private external) _glvmOperationDDX
00000001dbe3dd34 (__TEXT,__text) non-external (was a private external) _glvmOperationDDY
00000001dbe3a19c (__TEXT,__text) non-external (was a private external) _glvmOperationDEG
00000001dbe3ec00 (__TEXT,__text) non-external (was a private external) _glvmOperationDISTANCE
00000001dbe3e0b4 (__TEXT,__text) non-external (was a private external) _glvmOperationDIV
00000001dbe3e41c (__TEXT,__text) non-external (was a private external) _glvmOperationDOT
00000001dbe3e770 (__TEXT,__text) non-external (was a private external) _glvmOperationDP3
00000001dbe3e954 (__TEXT,__text) non-external (was a private external) _glvmOperationDP4
00000001dbe3eab4 (__TEXT,__text) non-external (was a private external) _glvmOperationDPH
00000001dbe438b4 (__TEXT,__text) non-external (was a private external) _glvmOperationDSL
00000001dbe3eb58 (__TEXT,__text) non-external (was a private external) _glvmOperationDST
00000001dbe4d41c (__TEXT,__text) non-external (was a private external) _glvmOperationDispatchCP
00000001dbe4fc44 (__TEXT,__text) non-external (was a private external) _glvmOperationDispatchEP
00000001dbe58bbc (__TEXT,__text) non-external (was a private external) _glvmOperationDispatchFP
00000001dbe53694 (__TEXT,__text) non-external (was a private external) _glvmOperationDispatchGP
00000001dbe4a21c (__TEXT,__text) non-external (was a private external) _glvmOperationDispatchVP
00000001dbe52f5c (__TEXT,__text) non-external (was a private external) _glvmOperationENDSTREAMPRIMITIVE
00000001dbe5341c (__TEXT,__text) non-external (was a private external) _glvmOperationENDSTREAMPRIMITIVES
00000001dbe531b8 (__TEXT,__text) non-external (was a private external) _glvmOperationENDSTREAMPRIMITIVEWithMask
00000001dbe3a1dc (__TEXT,__text) non-external (was a private external) _glvmOperationEX2
00000001dbe38510 (__TEXT,__text) non-external (was a private external) _glvmOperationEX2_Core
00000001dbe3a340 (__TEXT,__text) non-external (was a private external) _glvmOperationEXP
00000001dbe3a348 (__TEXT,__text) non-external (was a private external) _glvmOperationEXPE
00000001dbe46cac (__TEXT,__text) non-external (was a private external) _glvmOperationEXTRACT_EXPONENT
00000001dbe469d8 (__TEXT,__text) non-external (was a private external) _glvmOperationEXTRACT_SIGNIFICAND
00000001dbe42490 (__TEXT,__text) non-external (was a private external) _glvmOperationFFW
00000001dbe48acc (__TEXT,__text) non-external (was a private external) _glvmOperationFIND_LSB
00000001dbe48d90 (__TEXT,__text) non-external (was a private external) _glvmOperationFIND_MSB
00000001dbe3a504 (__TEXT,__text) non-external (was a private external) _glvmOperationFLR
00000001dbe383d0 (__TEXT,__text) non-external (was a private external) _glvmOperationFLR_CEI_Core
00000001dbe3a678 (__TEXT,__text) non-external (was a private external) _glvmOperationFRC
00000001dbe469b4 (__TEXT,__text) non-external (was a private external) _glvmOperationFROM_BITS
00000001dbe18120 (__TEXT,__text) non-external (was a private external) _glvmOperationFUNCSTART
00000001dbe3dd60 (__TEXT,__text) non-external (was a private external) _glvmOperationFWD
00000001dbe490ac (__TEXT,__text) non-external (was a private external) _glvmOperationINTERPOLATE_AT_CENTROID
00000001dbe490d0 (__TEXT,__text) non-external (was a private external) _glvmOperationINTERPOLATE_AT_OFFSET
00000001dbe49218 (__TEXT,__text) non-external (was a private external) _glvmOperationINTERPOLATE_AT_SAMPLE
00000001dbe3d274 (__TEXT,__text) non-external (was a private external) _glvmOperationINVERSESQRT
00000001dbe46734 (__TEXT,__text) non-external (was a private external) _glvmOperationISINF
00000001dbe46814 (__TEXT,__text) non-external (was a private external) _glvmOperationISNAN
00000001dbe18128 (__TEXT,__text) non-external (was a private external) _glvmOperationInitMasksForNested
00000001dbe1815c (__TEXT,__text) non-external (was a private external) _glvmOperationInitSub
00000001dbe46f28 (__TEXT,__text) non-external (was a private external) _glvmOperationLDEXP
00000001dbe3a9e0 (__TEXT,__text) non-external (was a private external) _glvmOperationLEN
00000001dbe3ad10 (__TEXT,__text) non-external (was a private external) _glvmOperationLG2
00000001dbe38874 (__TEXT,__text) non-external (was a private external) _glvmOperationLG2_Core
00000001dbe3ae70 (__TEXT,__text) non-external (was a private external) _glvmOperationLIT
00000001dbe448a8 (__TEXT,__text) non-external (was a private external) _glvmOperationLOAD
00000001dbe3b024 (__TEXT,__text) non-external (was a private external) _glvmOperationLOG
00000001dbe3b034 (__TEXT,__text) non-external (was a private external) _glvmOperationLOGE
00000001dbe428c0 (__TEXT,__text) non-external (was a private external) _glvmOperationLRP
00000001dbe42b84 (__TEXT,__text) non-external (was a private external) _glvmOperationMAD
00000001dbe3ef50 (__TEXT,__text) non-external (was a private external) _glvmOperationMAX
00000001dbe3f2e0 (__TEXT,__text) non-external (was a private external) _glvmOperationMIN
00000001dbe3f670 (__TEXT,__text) non-external (was a private external) _glvmOperationMLC
00000001dbe3f674 (__TEXT,__text) non-external (was a private external) _glvmOperationMOD
00000001dbe3b1b8 (__TEXT,__text) non-external (was a private external) _glvmOperationMOV
00000001dbe3fdfc (__TEXT,__text) non-external (was a private external) _glvmOperationMUL
00000001dbe482c0 (__TEXT,__text) non-external (was a private external) _glvmOperationMUL_HB
00000001dbe3b228 (__TEXT,__text) non-external (was a private external) _glvmOperationNOT
00000001dbe3b25c (__TEXT,__text) non-external (was a private external) _glvmOperationNRM
00000001dbe3b684 (__TEXT,__text) non-external (was a private external) _glvmOperationNSE
00000001dbe45c3c (__TEXT,__text) non-external (was a private external) _glvmOperationOR
00000001dbe3ff48 (__TEXT,__text) non-external (was a private external) _glvmOperationORL
00000001dbe473f0 (__TEXT,__text) non-external (was a private external) _glvmOperationPK2H
00000001dbe471f4 (__TEXT,__text) non-external (was a private external) _glvmOperationPK2US
00000001dbe48278 (__TEXT,__text) non-external (was a private external) _glvmOperationPK2W
00000001dbe47bb4 (__TEXT,__text) non-external (was a private external) _glvmOperationPK4B
00000001dbe47f60 (__TEXT,__text) non-external (was a private external) _glvmOperationPK4UB
00000001dbe3ff8c (__TEXT,__text) non-external (was a private external) _glvmOperationPOW
00000001dbe3d194 (__TEXT,__text) non-external (was a private external) _glvmOperationRAD
00000001dbe3d1d4 (__TEXT,__text) non-external (was a private external) _glvmOperationRCC
00000001dbe3d1d8 (__TEXT,__text) non-external (was a private external) _glvmOperationRCP
00000001dbe18124 (__TEXT,__text) non-external (was a private external) _glvmOperationRET
00000001dbe401a8 (__TEXT,__text) non-external (was a private external) _glvmOperationRFL
00000001dbe42c50 (__TEXT,__text) non-external (was a private external) _glvmOperationRFR
00000001dbe44d84 (__TEXT,__text) non-external (was a private external) _glvmOperationROUND
00000001dbe44fcc (__TEXT,__text) non-external (was a private external) _glvmOperationROUNDEVEN
00000001dbe3d210 (__TEXT,__text) non-external (was a private external) _glvmOperationRSQ
00000001dbe395d4 (__TEXT,__text) non-external (was a private external) _glvmOperationSAT
00000001dbe3dc80 (__TEXT,__text) non-external (was a private external) _glvmOperationSCS
00000001dbe405b0 (__TEXT,__text) non-external (was a private external) _glvmOperationSEL
00000001dbe40678 (__TEXT,__text) non-external (was a private external) _glvmOperationSEQ
00000001dbe40b5c (__TEXT,__text) non-external (was a private external) _glvmOperationSFL
00000001dbe40b74 (__TEXT,__text) non-external (was a private external) _glvmOperationSGE
00000001dbe40df4 (__TEXT,__text) non-external (was a private external) _glvmOperationSGT
00000001dbe45cc4 (__TEXT,__text) non-external (was a private external) _glvmOperationSHL
00000001dbe45dc8 (__TEXT,__text) non-external (was a private external) _glvmOperationSHR
00000001dbe3d44c (__TEXT,__text) non-external (was a private external) _glvmOperationSIN
00000001dbe46014 (__TEXT,__text) non-external (was a private external) _glvmOperationSINH
00000001dbe38a34 (__TEXT,__text) non-external (was a private external) _glvmOperationSIN_Core
00000001dbe41074 (__TEXT,__text) non-external (was a private external) _glvmOperationSLE
00000001dbe412f4 (__TEXT,__text) non-external (was a private external) _glvmOperationSLT
00000001dbe43634 (__TEXT,__text) non-external (was a private external) _glvmOperationSMS
00000001dbe41574 (__TEXT,__text) non-external (was a private external) _glvmOperationSNE
00000001dbe3d450 (__TEXT,__text) non-external (was a private external) _glvmOperationSQT
00000001dbe3d5c8 (__TEXT,__text) non-external (was a private external) _glvmOperationSSG
00000001dbe4fa50 (__TEXT,__text) non-external (was a private external) _glvmOperationSTOREWithMaskEP
00000001dbe526f8 (__TEXT,__text) non-external (was a private external) _glvmOperationSTOREWithMaskGP
00000001dbe4933c (__TEXT,__text) non-external (was a private external) _glvmOperationSTOREWithMaskVP
00000001dbe41a5c (__TEXT,__text) non-external (was a private external) _glvmOperationSTR
00000001dbe41a74 (__TEXT,__text) non-external (was a private external) _glvmOperationSUB
00000001dbe4395c (__TEXT,__text) non-external (was a private external) _glvmOperationSWZ
00000001dbe3d8c4 (__TEXT,__text) non-external (was a private external) _glvmOperationTAN
00000001dbe46274 (__TEXT,__text) non-external (was a private external) _glvmOperationTANH
00000001dbe17fa0 (__TEXT,__text) non-external (was a private external) _glvmOperationTARGBRA
00000001dbe17d4c (__TEXT,__text) non-external (was a private external) _glvmOperationTARGBRK
00000001dbe17e74 (__TEXT,__text) non-external (was a private external) _glvmOperationTARGCONT
00000001dbe46990 (__TEXT,__text) non-external (was a private external) _glvmOperationTO_BITS
00000001dbe459b0 (__TEXT,__text) non-external (was a private external) _glvmOperationTRUNCATE
00000001dbe47830 (__TEXT,__text) non-external (was a private external) _glvmOperationUP2H
00000001dbe47350 (__TEXT,__text) non-external (was a private external) _glvmOperationUP2US
00000001dbe4829c (__TEXT,__text) non-external (was a private external) _glvmOperationUP2W
00000001dbe47dcc (__TEXT,__text) non-external (was a private external) _glvmOperationUP4B
00000001dbe48178 (__TEXT,__text) non-external (was a private external) _glvmOperationUP4UB
00000001dbe45c80 (__TEXT,__text) non-external (was a private external) _glvmOperationXOR
00000001dbe41bc0 (__TEXT,__text) non-external (was a private external) _glvmOperationXPD
00000001dbe41dfc (__TEXT,__text) non-external (was a private external) _glvmOperationXRL
00000001dbe39658 (__TEXT,__text) non-external (was a private external) _glvmOperationZERO
00000001dbe38f04 (__TEXT,__text) non-external (was a private external) _glvmOperationsNoise3D
00000001dbe3916c (__TEXT,__text) non-external (was a private external) _glvmOperationsNoise4D
00000001dbe17e94 (__TEXT,__text) non-external (was a private external) _glvmPredicateBRA
00000001dbe17c44 (__TEXT,__text) non-external (was a private external) _glvmPredicateBRK
00000001dbe18034 (__TEXT,__text) non-external (was a private external) _glvmPredicateCASE
00000001dbe17d6c (__TEXT,__text) non-external (was a private external) _glvmPredicateCONT
00000001dbe180ec (__TEXT,__text) non-external (was a private external) _glvmPredicateDEFAULT
00000001dbe17bb8 (__TEXT,__text) non-external (was a private external) _glvmPredicateELSE
00000001dbe17bdc (__TEXT,__text) non-external (was a private external) _glvmPredicateENDIF
00000001dbe17fd8 (__TEXT,__text) non-external (was a private external) _glvmPredicateENDSWITCH
00000001dbe17c28 (__TEXT,__text) non-external (was a private external) _glvmPredicateENDWHILE
00000001dbe17b10 (__TEXT,__text) non-external (was a private external) _glvmPredicateIF
00000001dbe17fc0 (__TEXT,__text) non-external (was a private external) _glvmPredicateSWITCH
00000001dbe17c20 (__TEXT,__text) non-external (was a private external) _glvmPredicateWHILE
00000001dbe582a4 (__TEXT,__text) external _glvmPreloadFPTransformFour
00000001dbe567d4 (__TEXT,__text) non-external (was a private external) _glvmPreloadPositionAttrib
00000001dbe568c0 (__TEXT,__text) non-external (was a private external) _glvmPreloadSourceAttribs
00000001dbe1873c (__TEXT,__text) non-external (was a private external) _glvmRasterOpAlphaTest
00000001dbe1a844 (__TEXT,__text) non-external (was a private external) _glvmRasterOpBlend
00000001dbe18168 (__TEXT,__text) non-external (was a private external) _glvmRasterOpDepthBoundsTest
00000001dbe188fc (__TEXT,__text) non-external (was a private external) _glvmRasterOpDepthStencilTest
00000001dbe1a344 (__TEXT,__text) non-external (was a private external) _glvmRasterOpFragmentCount
00000001dbe1bb2c (__TEXT,__text) non-external (was a private external) _glvmRasterOpLogicOp
00000001dbe1bf48 (__TEXT,__text) non-external (was a private external) _glvmRasterOpMask
00000001dbe183a8 (__TEXT,__text) non-external (was a private external) _glvmRasterOpMultisampleAlphaCoverage
00000001dbe184c4 (__TEXT,__text) non-external (was a private external) _glvmRasterOpMultisampleAlphaOne
00000001dbe184f0 (__TEXT,__text) non-external (was a private external) _glvmRasterOpMultisampleCoverageMask
00000001dbe18688 (__TEXT,__text) non-external (was a private external) _glvmRasterOpMultisampleSampleMask
00000001dbe1a380 (__TEXT,__text) non-external (was a private external) _glvmRasterOpPack
00000001dbe1c0a4 (__TEXT,__text) non-external (was a private external) _glvmRasterOpRead
00000001dbe1c284 (__TEXT,__text) non-external (was a private external) _glvmRasterOpWrite
00000001dbe1c534 (__TEXT,__text) non-external (was a private external) _glvmRasterOpWriteFallback
00000001dbe171b8 (__TEXT,__text) non-external (was a private external) _glvmSamplerFetch
00000001dbe170b0 (__TEXT,__text) non-external (was a private external) _glvmSamplerInvalid
00000001dbdf9424 (__TEXT,__text) non-external (was a private external) _glvmSamplerLoadTexels
00000001dbdfed78 (__TEXT,__text) non-external (was a private external) _glvmSamplerQueryLOD
00000001dbdffef4 (__TEXT,__text) non-external (was a private external) _glvmSamplerSample
00000001dbe170fc (__TEXT,__text) non-external (was a private external) _glvmSamplerSize
00000001dbe4ce54 (__TEXT,__text) non-external _glvmSetSourceIndirectLimits
00000001dbe4f6c4 (__TEXT,__text) non-external _glvmSetSourceIndirectLimits
00000001dbe52344 (__TEXT,__text) non-external _glvmSetSourceIndirectLimits
00000001dbe56234 (__TEXT,__text) non-external _glvmSetSourceIndirectLimits
00000001dbe5b624 (__TEXT,__text) non-external _glvmSetSourceIndirectLimits
00000001dbdf77f0 (__TEXT,__text) external _glvmSetTextureFormat
00000001dbe1d030 (__TEXT,__text) non-external (was a private external) _glvmSourceNegateCF
00000001dbe24818 (__TEXT,__text) non-external (was a private external) _glvmStoreDestAddress
00000001dbe27774 (__TEXT,__text) non-external (was a private external) _glvmStoreDestAddressWithMask
00000001dbe2c77c (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputCP
00000001dbe300ec (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputEP
00000001dbe34118 (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputFP
00000001dbe31cb0 (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputGP
00000001dbe28ea8 (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputVP
00000001dbe2d89c (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputWithMaskCP
00000001dbe30c04 (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputWithMaskEP
00000001dbe3506c (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputWithMaskFP
00000001dbe32154 (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputWithMaskGP
00000001dbe29a88 (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputWithMaskVP
00000001dbe22fd8 (__TEXT,__text) non-external (was a private external) _glvmStoreDestTemp
00000001dbe24ec0 (__TEXT,__text) non-external (was a private external) _glvmStoreDestTempWithMask
00000001dbdf931c (__TEXT,__text) non-external _glvmTextureFilterEnumToPPStreamEnum
00000001dbdf939c (__TEXT,__text) non-external _glvmTextureWrapEnumToPPStreamEnum
00000001dbe1d0d0 (__TEXT,__text) non-external (was a private external) _glvmTypeConvertCF
00000001dbdf8704 (__TEXT,__text) external _glvmUpdateTextureStructure
00000001dbe51e84 (__TEXT,__text) non-external (was a private external) _glvmWindowTransformEP
00000001dbe55b88 (__TEXT,__text) non-external (was a private external) _glvmWindowTransformGP
00000001dbe4c784 (__TEXT,__text) non-external (was a private external) _glvmWindowTransformVP
00000001e59edc90 (__DATA_DIRTY,__bss) non-external _glvm_constants
00000001e59edc80 (__DATA_DIRTY,__bss) non-external _glvm_constants_init
00000001dbea853c (__TEXT,__text) non-external _handleResetPost
00000001dbea84dc (__TEXT,__text) non-external _handleResetPre
00000001dbeae1a0 (__TEXT,__text) non-external _humanReadableDescriptionToBuffer
00000001dbeb6f64 (__TEXT,__text) non-external _include_str_getch
00000001dbeb7080 (__TEXT,__text) non-external _include_str_ungetch
00000001dbead924 (__TEXT,__text) non-external _initAggregateType
00000001dbebcf18 (__TEXT,__text) non-external _initBinaryOperatorNode
00000001dbebceec (__TEXT,__text) non-external _initCallNode
00000001dbebcfe4 (__TEXT,__text) non-external _initDerefNode
00000001dbebcf94 (__TEXT,__text) non-external _initQualifierNode
00000001dbebcfbc (__TEXT,__text) non-external _initStatementNode
00000001dbebcf68 (__TEXT,__text) non-external _initStructureNode
00000001dbe644d0 (__TEXT,__text) non-external _initTypeWithGLPPrimitiveType
00000001dbebceb0 (__TEXT,__text) non-external _initUnaryOperatorNode
00000001dbedf308 (__TEXT,__text) non-external _inliningNodeReplacement
00000001dbe97fb0 (__TEXT,__text) non-external _inputForOutput
00000001dbf0a6f4 (__TEXT,__text) non-external _instructionIndexEqualsFunction
00000001dbf0a6f0 (__TEXT,__text) non-external _instructionIndexHashFunction
00000001dbef8f18 (__TEXT,__text) non-external _iterateQualifiers
00000001dbeb80b8 (__TEXT,__text) non-external _lAddByte
00000001dbeb786c (__TEXT,__text) non-external _lFloatConst
00000001dbeb7f5c (__TEXT,__text) non-external _lNewBlock
00000001dbeb86a0 (__TEXT,__text) non-external _lReadByte
00000001dbeb2e74 (__TEXT,__text) non-external (was a private external) _lazyCPPSetup
00000001dbedb864 (__TEXT,__text) non-external _lazyPrepareVariableObject
                 (undefined) external _ldexp (from libSystem)
                 (undefined) external _ldexpf (from libSystem)
00000001dbdebb88 (__TEXT,__text) non-external _llvmir_PPStreamAddAddressUsage
00000001dbdebbf0 (__TEXT,__text) non-external _llvmir_PPStreamAddAttribBinding
00000001dbdebd18 (__TEXT,__text) non-external _llvmir_PPStreamAddConstant
00000001dbdebd98 (__TEXT,__text) non-external _llvmir_PPStreamAddLabel
00000001dbdebb3c (__TEXT,__text) non-external _llvmir_PPStreamAddOperation
00000001dbdebd00 (__TEXT,__text) non-external _llvmir_PPStreamAddOption
00000001dbdebc88 (__TEXT,__text) non-external _llvmir_PPStreamAddOutputBinding
00000001dbdebb8c (__TEXT,__text) non-external _llvmir_PPStreamAddParamBinding
00000001dbdebbec (__TEXT,__text) non-external _llvmir_PPStreamAddParamBindingArray
00000001dbdebb84 (__TEXT,__text) non-external _llvmir_PPStreamAddTempUsage
00000001dbdebda0 (__TEXT,__text) non-external _llvmir_PPStreamResolveBranches
00000001dbdebb34 (__TEXT,__text) non-external _llvmir_PPStreamSetTarget
                 (undefined) external _log2f (from libSystem)
                 (undefined) external _logf (from libSystem)
                 (undefined) external _longjmp (from libSystem)
                 (undefined) external _lroundf (from libSystem)
00000001dbeb510c (__TEXT,__text) non-external _macro_scan
00000001dbe90c7c (__TEXT,__text) non-external _makeCopyFunction
00000001dbedbc14 (__TEXT,__text) non-external _makeIntConstantNode
00000001dbe601bc (__TEXT,__text) non-external _makePoolNode
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _malloc_type_realloc (from libSystem)
00000001dbeb5ae4 (__TEXT,__text) non-external (was a private external) _mem_AddCleanup
00000001dbeb5a1c (__TEXT,__text) non-external (was a private external) _mem_Alloc
00000001dbeb5924 (__TEXT,__text) non-external (was a private external) _mem_CreatePool
00000001dbeb59cc (__TEXT,__text) non-external (was a private external) _mem_FreePool
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
00000001dbe61784 (__TEXT,__text) non-external _mergeTypes
00000001e50fec34 (__DATA,__bss) non-external _message
00000001e50fec30 (__DATA,__bss) non-external _message_lock
                 (undefined) external _mmap (from libSystem)
                 (undefined) external _mprotect (from libSystem)
                 (undefined) external _munmap (from libSystem)
00000001e50fa528 (__DATA,__data) non-external _mutex
00000001dbe9a13c (__TEXT,__text) non-external _nameTablePush
00000001e50ff058 (__DATA,__bss) non-external _nameTableSets
00000001dbeb5880 (__TEXT,__text) non-external _noop
00000001dbeb7868 (__TEXT,__text) non-external _noop
00000001dbe926ac (__TEXT,__text) non-external _offsetLayout
00000001dbeb3158 (__TEXT,__text) non-external _op_add
00000001dbeb30f8 (__TEXT,__text) non-external _op_and
00000001dbeb31a8 (__TEXT,__text) non-external _op_cmpl
00000001dbeb3170 (__TEXT,__text) non-external _op_div
00000001dbeb3100 (__TEXT,__text) non-external _op_eq
00000001dbeb3124 (__TEXT,__text) non-external _op_ge
00000001dbeb3118 (__TEXT,__text) non-external _op_gt
00000001dbeb313c (__TEXT,__text) non-external _op_le
00000001dbeb30d8 (__TEXT,__text) non-external _op_logand
00000001dbeb30c8 (__TEXT,__text) non-external _op_logor
00000001dbeb3130 (__TEXT,__text) non-external _op_lt
00000001dbeb3184 (__TEXT,__text) non-external _op_mod
00000001dbeb3168 (__TEXT,__text) non-external _op_mul
00000001dbeb310c (__TEXT,__text) non-external _op_ne
00000001dbeb31a0 (__TEXT,__text) non-external _op_neg
00000001dbeb31b0 (__TEXT,__text) non-external _op_not
00000001dbeb30e8 (__TEXT,__text) non-external _op_or
00000001dbeb319c (__TEXT,__text) non-external _op_pos
00000001dbeb3148 (__TEXT,__text) non-external _op_shl
00000001dbeb3150 (__TEXT,__text) non-external _op_shr
00000001dbeb3160 (__TEXT,__text) non-external _op_sub
00000001dbeb30f0 (__TEXT,__text) non-external _op_xor
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _os_unfair_lock_lock (from libSystem)
                 (undefined) external _os_unfair_lock_unlock (from libSystem)
00000001dbe98f04 (__TEXT,__text) non-external _outputForInput
00000001dbe87424 (__TEXT,__text) non-external _packInto
00000001dbea0424 (__TEXT,__text) non-external _parseInterpolationQualifiers
00000001dbea0274 (__TEXT,__text) non-external _parseLayout
00000001dbe616b8 (__TEXT,__text) non-external _phase1ProcessFunctionPrototype
00000001dbe61444 (__TEXT,__text) non-external _phase1ProcessVariableDeclaration
00000001dbeda7dc (__TEXT,__text) non-external (was a private external) _phase2AddDef
00000001dbeda9a4 (__TEXT,__text) non-external _phase2Process
00000001dbedacb0 (__TEXT,__text) non-external _phase2ProcessConstant
00000001dbedad8c (__TEXT,__text) non-external _phase2ProcessFunctionPrototype
00000001dbedae28 (__TEXT,__text) non-external _phase2ProcessInterfaceBlock
00000001dbedb2a0 (__TEXT,__text) non-external _phase2ProcessLValue
00000001dbedad20 (__TEXT,__text) non-external _phase2ProcessParameterDeclaration
