000000019dd4155c (__TEXT,__text) non-external +[Calculate _lock]
000000019dea5fc0 (__TEXT,__const) non-external ___bid_short_recip_scale
000000019dea74d0 (__TEXT,__const) non-external ___bid_ten2k128
000000019dea8ae0 (__TEXT,__const) non-external ___bid_ten2k256
000000019dea6b70 (__TEXT,__const) non-external ___bid_ten2k64
000000019ddc69e0 (__TEXT,__const) non-external ___bid_ten2mk128
000000019ddc6da0 (__TEXT,__const) non-external ___bid_ten2mk128trunc
000000019dea7280 (__TEXT,__const) non-external ___bid_ten2mxtrunc128
000000019dea83e0 (__TEXT,__const) non-external ___bid_ten2mxtrunc192
000000019deaa160 (__TEXT,__const) non-external ___bid_ten2mxtrunc256
000000019dea6ae8 (__TEXT,__const) non-external ___bid_ten2mxtrunc64
000000019dd6bd54 (__TEXT,__text) non-external ___binary128_to_bid128
000000019dd6b208 (__TEXT,__text) non-external ___binary64_to_bid128
00000001d4ef16a8 (__DATA_CONST,__const) non-external ___block_descriptor_32_e25_B24?08"NSDictionary"16l
00000001d4ef16e8 (__DATA_CONST,__const) non-external ___block_descriptor_32_e28_"NSString"16?0"NSString"8l
00000001d4ef15f8 (__DATA_CONST,__const) non-external ___block_descriptor_32_e31_q24?0"UnitRank"8"UnitRank"16l
00000001d4ef1728 (__DATA_CONST,__const) non-external ___block_descriptor_32_e37_B24?0"NSString"8"NSCharacterSet"16l
00000001d4ef1688 (__DATA_CONST,__const) non-external ___block_descriptor_32_e41_q24?0"CalculateUnit"8"CalculateUnit"16l
00000001d4ef1708 (__DATA_CONST,__const) non-external ___block_descriptor_32_e45_q24?0"CalculateResult"8"CalculateResult"16l
00000001d4ef1768 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e5_v8?0l
00000001d4ef16c8 (__DATA_CONST,__const) non-external ___block_descriptor_32_e83_"NSString"32?0"NSString"8"NSString"16?<"NSString"?"NSTextCheckingResult">24l
00000001d4ef1578 (__DATA_CONST,__const) non-external ___block_descriptor_40_e161_v24?0^{TreeObject=i^?^{TreeObject}^{TreeObject}d{?=[2Q]}Q[16{UnitCount=ii}]BBBBi}8^{TreeObject=i^?^{TreeObject}^{TreeObject}d{?=[2Q]}Q[16{UnitCount=ii}]BBBBi}16l
00000001d4ef1518 (__DATA_CONST,__const) non-external ___block_descriptor_40_e18_B16?0"NSString"8l
00000001d4ef1748 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e5_v8?0l
00000001d4ef15d8 (__DATA_CONST,__const) non-external ___block_descriptor_40_e83_v16?0^{TreeObject=i^?^{TreeObject}^{TreeObject}d{?=[2Q]}Q[16{UnitCount=ii}]BBBBi}8l
00000001de4fad70 (__AUTH_CONST,__const) non-external ___block_descriptor_40_e8_32bs_e24_v16?0"NSNotification"8l
00000001de4fa600 (__AUTH_CONST,__const) non-external ___block_descriptor_40_e8_32bs_e52_v56?0"NSString"8{_NSRange=QQ}16{_NSRange=QQ}32^B48l
00000001de4fa870 (__AUTH_CONST,__const) non-external ___block_descriptor_40_e8_32bs_e71_"NSString"32?0"NSString"8"NSString"16?<"NSString"?"NSString">24l
00000001de4fa8a0 (__AUTH_CONST,__const) non-external ___block_descriptor_40_e8_32bs_e84_"NSString"32?0"NSString"8"NSString"16?<"NSString"?"NSString"{_NSRange=QQ}>24l
00000001de4fa8f0 (__AUTH_CONST,__const) non-external ___block_descriptor_40_e8_32s_e28_"NSString"16?0"NSString"8l
00000001de4fabe0 (__AUTH_CONST,__const) non-external ___block_descriptor_40_e8_32s_e30_"NSTextCheckingResult"12?0B8l
00000001de4faab0 (__AUTH_CONST,__const) non-external ___block_descriptor_40_e8_32s_e31_v28?0"CalculateToken"8^i16B24l
00000001de4fa650 (__AUTH_CONST,__const) non-external ___block_descriptor_40_e8_32s_e34_"NSString"32?0"NSNumber"8Q16Q24l
00000001de4faae0 (__AUTH_CONST,__const) non-external ___block_descriptor_40_e8_32s_e37_{UnitSet=[4Q]}16?0"CalculateToken"8l
00000001de4fab10 (__AUTH_CONST,__const) non-external ___block_descriptor_40_e8_32s_e38_"NSMutableSet"16?0"CalculateToken"8l
00000001de4fac90 (__AUTH_CONST,__const) non-external ___block_descriptor_40_e8_32s_e38_v40?0Q8Q16"NSString"24"UnitRanks"32l
00000001de4faa40 (__AUTH_CONST,__const) non-external ___block_descriptor_40_e8_32s_e40_"NSString"16?0"NSTextCheckingResult"8l
00000001de4fa6a0 (__AUTH_CONST,__const) non-external ___block_descriptor_40_e8_32s_e5_v8?0l
00000001d4ef1558 (__DATA_CONST,__const) non-external ___block_descriptor_41_e161_v24?0^{TreeObject=i^?^{TreeObject}^{TreeObject}d{?=[2Q]}Q[16{UnitCount=ii}]BBBBi}8^{TreeObject=i^?^{TreeObject}^{TreeObject}d{?=[2Q]}Q[16{UnitCount=ii}]BBBBi}16l
00000001d4ef15b8 (__DATA_CONST,__const) non-external ___block_descriptor_48_e161_v24?0^{TreeObject=i^?^{TreeObject}^{TreeObject}d{?=[2Q]}Q[16{UnitCount=ii}]BBBBi}8^{TreeObject=i^?^{TreeObject}^{TreeObject}d{?=[2Q]}Q[16{UnitCount=ii}]BBBBi}16l
00000001d4ef1538 (__DATA_CONST,__const) non-external ___block_descriptor_48_e83_v16?0^{TreeObject=i^?^{TreeObject}^{TreeObject}d{?=[2Q]}Q[16{UnitCount=ii}]BBBBi}8l
00000001de4fac60 (__AUTH_CONST,__const) non-external ___block_descriptor_48_e8_32s40bs_e11_v24?0Q8Q16l
00000001de4fa920 (__AUTH_CONST,__const) non-external ___block_descriptor_48_e8_32s40bs_e28_"NSString"16?0"NSString"8l
00000001de4fa840 (__AUTH_CONST,__const) non-external ___block_descriptor_48_e8_32s40bs_e40_"NSString"16?0"NSTextCheckingResult"8l
00000001de4fadf0 (__AUTH_CONST,__const) non-external ___block_descriptor_48_e8_32s40bs_e5_v8?0l
00000001de4fadc0 (__AUTH_CONST,__const) non-external ___block_descriptor_48_e8_32s40s_e11_q24?0816l
00000001de4fa6d0 (__AUTH_CONST,__const) non-external ___block_descriptor_48_e8_32s40s_e18_v16?0"NSString"8l
00000001de4fa950 (__AUTH_CONST,__const) non-external ___block_descriptor_48_e8_32s40s_e21_"NSString"16?0i8i12l
00000001de4fa980 (__AUTH_CONST,__const) non-external ___block_descriptor_48_e8_32s40s_e28_"NSString"16?0"NSString"8l
00000001de4fab80 (__AUTH_CONST,__const) non-external ___block_descriptor_48_e8_32s40s_e37_v32?0"NSString"8i16f20"NSLocale"24l
00000001d4ef1598 (__DATA_CONST,__const) non-external ___block_descriptor_49_e161_v24?0^{TreeObject=i^?^{TreeObject}^{TreeObject}d{?=[2Q]}Q[16{UnitCount=ii}]BBBBi}8^{TreeObject=i^?^{TreeObject}^{TreeObject}d{?=[2Q]}Q[16{UnitCount=ii}]BBBBi}16l
00000001de4fa810 (__AUTH_CONST,__const) non-external ___block_descriptor_56_e8_32bs40bs48r_e37_v32?0"NSTextCheckingResult"8Q16^B24l
00000001de4fad40 (__AUTH_CONST,__const) non-external ___block_descriptor_56_e8_32bs40r48r_e37_v40?0"NSString"8{_NSRange=QQ}16^B32l
00000001de4fac30 (__AUTH_CONST,__const) non-external ___block_descriptor_56_e8_32s40bs48r_e37_v40?0"NSString"8{_NSRange=QQ}16^B32l
00000001de4fa7e0 (__AUTH_CONST,__const) non-external ___block_descriptor_56_e8_32s40r48r_e20_v24?0{_NSRange=QQ}8l
00000001de4fabb0 (__AUTH_CONST,__const) non-external ___block_descriptor_56_e8_32s40s48bs_e36_v32?0"NSArray"8i16i20"NSLocale"24l
00000001de4fa570 (__AUTH_CONST,__const) non-external ___block_descriptor_56_e8_32s40s48r_e46_v32?0"NSData"8"NSURLResponse"16"NSError"24l
00000001de4fa510 (__AUTH_CONST,__const) non-external ___block_descriptor_56_e8_32s40s48r_e5_v8?0l
00000001de4fa540 (__AUTH_CONST,__const) non-external ___block_descriptor_60_e8_32s40s48r_e5_v8?0l
00000001de4fad10 (__AUTH_CONST,__const) non-external ___block_descriptor_72_e8_32bs40r48r56r64r_e37_v40?0"NSString"8{_NSRange=QQ}16^B32l
00000001de4fa9b0 (__AUTH_CONST,__const) non-external ___block_descriptor_88_e8_32s40s48s56bs64r72r80r_e43_"NSString"32?0"NSString"8{_NSRange=QQ}16l
00000001de4face0 (__AUTH_CONST,__const) non-external ___block_descriptor_92_e8_32s40r48r56r64r72r80r_e37_v40?0"NSString"8{_NSRange=QQ}16^B32l
00000001d4ef1788 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001de4fa5a0 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001de4fac10 (__AUTH_CONST,__const) non-external ___block_literal_global.122
00000001de4fae20 (__AUTH_CONST,__const) non-external ___block_literal_global.131
00000001de4facc0 (__AUTH_CONST,__const) non-external ___block_literal_global.132
00000001de4fa680 (__AUTH_CONST,__const) non-external ___block_literal_global.335
00000001de4fa630 (__AUTH_CONST,__const) non-external ___block_literal_global.370
00000001de4fa700 (__AUTH_CONST,__const) non-external ___block_literal_global.500
00000001de4fa720 (__AUTH_CONST,__const) non-external ___block_literal_global.503
00000001de4fa740 (__AUTH_CONST,__const) non-external ___block_literal_global.507
00000001de4fa760 (__AUTH_CONST,__const) non-external ___block_literal_global.543
00000001de4fa780 (__AUTH_CONST,__const) non-external ___block_literal_global.547
00000001de4fa7a0 (__AUTH_CONST,__const) non-external ___block_literal_global.549
00000001de4fa7c0 (__AUTH_CONST,__const) non-external ___block_literal_global.552
00000001de4fab60 (__AUTH_CONST,__const) non-external ___block_literal_global.569
00000001de4fa8d0 (__AUTH_CONST,__const) non-external ___block_literal_global.576
00000001de4fa9e0 (__AUTH_CONST,__const) non-external ___block_literal_global.700
00000001de4faa00 (__AUTH_CONST,__const) non-external ___block_literal_global.709
00000001de4fa5c0 (__AUTH_CONST,__const) non-external ___block_literal_global.71
00000001de4faa20 (__AUTH_CONST,__const) non-external ___block_literal_global.718
00000001de4faa70 (__AUTH_CONST,__const) non-external ___block_literal_global.735
00000001de4faa90 (__AUTH_CONST,__const) non-external ___block_literal_global.743
00000001de4fada0 (__AUTH_CONST,__const) non-external ___block_literal_global.767
00000001de4fab40 (__AUTH_CONST,__const) non-external ___block_literal_global.789
00000001de4fae40 (__AUTH_CONST,__const) non-external ___block_literal_global.812
00000001de4fa5e0 (__AUTH_CONST,__const) non-external ___block_literal_global.96
000000019dd4d82c (__TEXT,__text) non-external ___calc_yyparse_block_invoke
                 (undefined) external ___chkstk_darwin (from libSystem)
000000019dd34d04 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32b
000000019dd3d130 (__TEXT,__text) non-external ___copy_helper_block_e8_32b40b48r
000000019dd4359c (__TEXT,__text) non-external ___copy_helper_block_e8_32b40r48r
000000019dd43660 (__TEXT,__text) non-external ___copy_helper_block_e8_32b40r48r56r64r
000000019dd34d14 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s
000000019dd3d520 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40b
000000019dd43db8 (__TEXT,__text) non-external ___copy_helper_block_e8_32s40b48r
000000019dd3d1dc (__TEXT,__text) non-external ___copy_helper_block_e8_32s40r48r
000000019dd4375c (__TEXT,__text) non-external ___copy_helper_block_e8_32s40r48r56r64r72r80r
000000019dd34d58 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s
000000019dd44f2c (__TEXT,__text) non-external ___copy_helper_block_e8_32s40s48b
000000019dd1ecb0 (__TEXT,__text) non-external ___copy_helper_block_e8_32s40s48r
000000019dd3d41c (__TEXT,__text) non-external ___copy_helper_block_e8_32s40s48s56b64r72r80r
000000019dd34cfc (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s
000000019dd3d190 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40r48r
000000019dd435fc (__TEXT,__text) non-external ___destroy_helper_block_e8_32s40r48r56r64r
000000019dd436e0 (__TEXT,__text) non-external ___destroy_helper_block_e8_32s40r48r56r64r72r80r
000000019dd34d1c (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s
000000019dd1ec68 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s48r
000000019dd44ee8 (__TEXT,__text) non-external ___destroy_helper_block_e8_32s40s48s
000000019dd3d3ac (__TEXT,__text) non-external ___destroy_helper_block_e8_32s40s48s56s64r72r80r
000000019dd4e3cc (__TEXT,__text) non-external ___dpml_bid_C_ux_erf__
000000019dd4e968 (__TEXT,__text) non-external ___dpml_bid_C_ux_hyperbolic__
000000019dd51538 (__TEXT,__text) non-external ___dpml_bid_C_ux_trig__
000000019dd4f69c (__TEXT,__text) non-external ___dpml_bid_addsub__
000000019dd73cf0 (__TEXT,__const) non-external ___dpml_bid_bid_x_table
000000019dd73e98 (__TEXT,__const) non-external ___dpml_bid_cbrt_x_table
000000019dd4ff64 (__TEXT,__text) non-external ___dpml_bid_divide__
000000019dd73f08 (__TEXT,__const) non-external ___dpml_bid_erf_x_table
000000019dd4fcd0 (__TEXT,__text) non-external ___dpml_bid_evaluate_packed_poly__
000000019dd50218 (__TEXT,__text) non-external ___dpml_bid_evaluate_rational__
000000019dd4ddfc (__TEXT,__text) non-external ___dpml_bid_exception
000000019dd74468 (__TEXT,__const) non-external ___dpml_bid_exp_x_table
000000019dd4fe5c (__TEXT,__text) non-external ___dpml_bid_extended_multiply__
000000019dd4f5bc (__TEXT,__text) non-external ___dpml_bid_ffs_and_shift__
000000019dd735c0 (__TEXT,__const) non-external ___dpml_bid_globals_table
000000019dd749b8 (__TEXT,__const) non-external ___dpml_bid_inv_hyper_x_table
000000019dd74a28 (__TEXT,__const) non-external ___dpml_bid_inv_trig_x_table
000000019dd74f48 (__TEXT,__const) non-external ___dpml_bid_lgamma_x_table
000000019dd75318 (__TEXT,__const) non-external ___dpml_bid_log_x_table
000000019dd4fda0 (__TEXT,__text) non-external ___dpml_bid_multiply__
000000019dd4fb84 (__TEXT,__text) non-external ___dpml_bid_pack__
000000019dd762b8 (__TEXT,__const) non-external ___dpml_bid_sqrt_t_table
000000019dd755c0 (__TEXT,__const) non-external ___dpml_bid_sqrt_x_table
000000019dd75ea8 (__TEXT,__const) non-external ___dpml_bid_trig_x_table
000000019dd4fad0 (__TEXT,__text) non-external ___dpml_bid_unpack2__
000000019dd4f8a8 (__TEXT,__text) non-external ___dpml_bid_unpack_x_or_y__
000000019dd4ecb8 (__TEXT,__text) non-external ___dpml_bid_ux_asin_acos__
000000019dd4e250 (__TEXT,__text) non-external ___dpml_bid_ux_cmp__
000000019dd50e28 (__TEXT,__text) non-external ___dpml_bid_ux_degree_reduce__
000000019dd4e6c0 (__TEXT,__text) non-external ___dpml_bid_ux_exp_common__
000000019dd4e724 (__TEXT,__text) non-external ___dpml_bid_ux_exp_reduce__
000000019dd4f418 (__TEXT,__text) non-external ___dpml_bid_ux_log__
000000019dd510c8 (__TEXT,__text) non-external ___dpml_bid_ux_radian_reduce__
000000019dd50d48 (__TEXT,__text) non-external ___dpml_bid_ux_sincos
000000019dd50a84 (__TEXT,__text) non-external ___dpml_bid_ux_sqrt_evaluation__
000000019dd51654 (__TEXT,__text) non-external ___dpml_bid_ux_tancot__
000000019dd75508 (__TEXT,__const) non-external ___dpml_bid_x_constants__
000000019dd73760 (__TEXT,__const) non-external ___dpml_response_table
                 (undefined) external ___error (from libSystem)
000000019dd5043c (__TEXT,__text) non-external ___eval_neg_poly
000000019dd50720 (__TEXT,__text) non-external ___eval_pos_poly
000000019dd75670 (__TEXT,__const) non-external ___four_over_pi
000000019dd28c9c (__TEXT,__text) non-external ___functionACosD_block_invoke
000000019dd2a7a0 (__TEXT,__text) non-external ___functionACosH_block_invoke
000000019dd27640 (__TEXT,__text) non-external ___functionACos_block_invoke
000000019dd2fa6c (__TEXT,__text) non-external ___functionAND_block_invoke
000000019dd28810 (__TEXT,__text) non-external ___functionASinD_block_invoke
000000019dd2a4ec (__TEXT,__text) non-external ___functionASinH_block_invoke
000000019dd27380 (__TEXT,__text) non-external ___functionASin_block_invoke
000000019dd29078 (__TEXT,__text) non-external ___functionATanD_block_invoke
000000019dd2ae1c (__TEXT,__text) non-external ___functionATanH_block_invoke
000000019dd27a0c (__TEXT,__text) non-external ___functionATan_block_invoke
000000019dd2b144 (__TEXT,__text) non-external ___functionCeil_block_invoke
000000019dd30620 (__TEXT,__text) non-external ___functionCompose_block_invoke
000000019dd1f638 (__TEXT,__text) non-external ___functionConstant_block_invoke
000000019dd28040 (__TEXT,__text) non-external ___functionCosD_block_invoke
000000019dd29b30 (__TEXT,__text) non-external ___functionCosH_block_invoke
000000019dd26d38 (__TEXT,__text) non-external ___functionCos_block_invoke
000000019dd25c58 (__TEXT,__text) non-external ___functionCubeRoot_block_invoke
000000019dd24520 (__TEXT,__text) non-external ___functionDivide_block_invoke
000000019dd2d1a8 (__TEXT,__text) non-external ___functionERFC_block_invoke
000000019dd2ce10 (__TEXT,__text) non-external ___functionERF_block_invoke
000000019dd25f4c (__TEXT,__text) non-external ___functionExp_block_invoke
000000019dd2e440 (__TEXT,__text) non-external ___functionFMod_block_invoke
000000019dd2c0a0 (__TEXT,__text) non-external ___functionFabs_block_invoke
000000019dd2d974 (__TEXT,__text) non-external ___functionFactorial_block_invoke
000000019dd30e2c (__TEXT,__text) non-external ___functionFail_block_invoke
000000019dd2b75c (__TEXT,__text) non-external ___functionFloor_block_invoke
000000019dd2ea00 (__TEXT,__text) non-external ___functionHypot_block_invoke
000000019dd2c2d0 (__TEXT,__text) non-external ___functionJ0_block_invoke
000000019dd2c47c (__TEXT,__text) non-external ___functionJ1_block_invoke
000000019dd2cbb0 (__TEXT,__text) non-external ___functionLGamma_block_invoke
000000019dd301d0 (__TEXT,__text) non-external ___functionLeftShift_block_invoke
000000019dd261c0 (__TEXT,__text) non-external ___functionLn_block_invoke
000000019dd266a0 (__TEXT,__text) non-external ___functionLogBase_block_invoke
000000019dd2642c (__TEXT,__text) non-external ___functionLog_block_invoke
000000019dd2f594 (__TEXT,__text) non-external ___functionMax_block_invoke
000000019dd2f0bc (__TEXT,__text) non-external ___functionMin_block_invoke
000000019dd2fe1c (__TEXT,__text) non-external ___functionNOR_block_invoke
000000019dd24ac0 (__TEXT,__text) non-external ___functionNegate_block_invoke
000000019dd1fae0 (__TEXT,__text) non-external ___functionNoOp_block_invoke
000000019dd2fc44 (__TEXT,__text) non-external ___functionOR_block_invoke
000000019dd254c8 (__TEXT,__text) non-external ___functionPercentDecrease_block_invoke
000000019dd25018 (__TEXT,__text) non-external ___functionPercentIncrease_block_invoke
000000019dd24d6c (__TEXT,__text) non-external ___functionPercent_block_invoke
000000019dd235d0 (__TEXT,__text) non-external ___functionPow_block_invoke
000000019dd2c980 (__TEXT,__text) non-external ___functionRInt_block_invoke
000000019dd2ed68 (__TEXT,__text) non-external ___functionRem_block_invoke
000000019dd303f8 (__TEXT,__text) non-external ___functionRightShift_block_invoke
000000019dd2df24 (__TEXT,__text) non-external ___functionRoot_block_invoke
000000019dd2bbdc (__TEXT,__text) non-external ___functionRoundNearest_block_invoke
000000019dd2b994 (__TEXT,__text) non-external ___functionRound_block_invoke
000000019dd2405c (__TEXT,__text) non-external ___functionSameCurrency_block_invoke
000000019dd27ccc (__TEXT,__text) non-external ___functionSinD_block_invoke
000000019dd2943c (__TEXT,__text) non-external ___functionSinH_block_invoke
000000019dd26a88 (__TEXT,__text) non-external ___functionSine_block_invoke
000000019dd259ec (__TEXT,__text) non-external ___functionSqrRoot_block_invoke
000000019dd23108 (__TEXT,__text) non-external ___functionSubtract_block_invoke
000000019dd283b4 (__TEXT,__text) non-external ___functionTanD_block_invoke
000000019dd2a140 (__TEXT,__text) non-external ___functionTanH_block_invoke
000000019dd26fe8 (__TEXT,__text) non-external ___functionTan_block_invoke
000000019dd20110 (__TEXT,__text) non-external ___functionUnit_block_invoke
000000019dd2fff8 (__TEXT,__text) non-external ___functionXOR_block_invoke
000000019dd2c628 (__TEXT,__text) non-external ___functionY0_block_invoke
000000019dd2c7d4 (__TEXT,__text) non-external ___functionY1_block_invoke
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___stdinp (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
000000019dd755a8 (__TEXT,__const) non-external ___ux_one__
                 (undefined) external __dispatch_queue_attr_concurrent (from libSystem)
000000019dd30714 (__TEXT,__text) non-external __functionConvert
00000001d9215450 (__DATA,__bss) non-external __loadIfNeeded.onceToken
00000001d9215398 (__DATA,__bss) non-external __lock.onceToken
00000001d92153e0 (__DATA,__bss) non-external __lock.onceToken.541
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external __os_log_error_impl (from libSystem)
                 (undefined) external __os_log_impl (from libSystem)
00000001d4ef4b68 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage
00000001d4ef4c38 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.119
00000001d4ef4cb0 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.240
00000001d4ef4d10 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.241
00000001d4ef4d70 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.359
00000001d4ef4bc0 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.377
00000001d4ef4da0 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.646
00000001d4ef4e18 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.647
00000001d4ef4e90 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.701
00000001d9214d68 (__DATA,__data) non-external __updateInputValueFromMatch:.feetInchRegexp
00000001d9214d70 (__DATA,__data) non-external __updateInputValueFromMatch:.onceToken
                 (undefined) external _acos (from libSystem)
                 (undefined) external _acosh (from libSystem)
00000001d9215478 (__DATA,__bss) non-external _addSet
000000019dd204f8 (__TEXT,__text) non-external _addUnitToSuggestions
                 (undefined) external _asin (from libSystem)
                 (undefined) external _asinh (from libSystem)
                 (undefined) external _atan (from libSystem)
                 (undefined) external _atanh (from libSystem)
00000001d9215460 (__DATA,__bss) non-external _availableUnitRanks
00000001d9215458 (__DATA,__bss) non-external _availableUnitRanksLock
000000019dd599d4 (__TEXT,__text) non-external _bid128_ext_fma
000000019dd20c84 (__TEXT,__text) non-external _bid128_pow_fix
000000019dd6cb38 (__TEXT,__text) non-external _bid128_to_binary128_2part
000000019dd5f734 (__TEXT,__text) non-external _bid___div_128_by_128.935
000000019dd64730 (__TEXT,__text) non-external _bid___div_128_by_128.967
000000019dd5eee4 (__TEXT,__text) non-external _bid_add256
000000019dd5e45c (__TEXT,__text) non-external _bid_add_and_round
000000019dd5f034 (__TEXT,__text) non-external _bid_bid_nr_digits256
000000019ddd4d40 (__TEXT,__const) non-external _bid_breakpoints_binary128
000000019ddc7210 (__TEXT,__const) non-external _bid_breakpoints_binary64
000000019dea0bf0 (__TEXT,__const) non-external _bid_coefflimits_bid128
000000019dd7db00 (__TEXT,__const) non-external _bid_decimal128_moduli.1001
000000019ddfba20 (__TEXT,__const) non-external _bid_exponents_binary128
000000019ddc9bd0 (__TEXT,__const) non-external _bid_exponents_binary64
000000019dd4dffc (__TEXT,__text) non-external _bid_f128_add
000000019dd4eb28 (__TEXT,__text) non-external _bid_f128_asinh
000000019dd4e1d4 (__TEXT,__text) non-external _bid_f128_cmp
000000019dd4df50 (__TEXT,__text) non-external _bid_f128_div
000000019dd4e8ec (__TEXT,__text) non-external _bid_f128_exp
000000019dd4e154 (__TEXT,__text) non-external _bid_f128_itof
000000019dd4ee6c (__TEXT,__text) non-external _bid_f128_lgamma
000000019dd4f538 (__TEXT,__text) non-external _bid_f128_log
000000019dd4dea8 (__TEXT,__text) non-external _bid_f128_mul
000000019dd4e2e4 (__TEXT,__text) non-external _bid_f128_nextafter
000000019dd50c38 (__TEXT,__text) non-external _bid_f128_sqrt
000000019dd4e0a8 (__TEXT,__text) non-external _bid_f128_sub
000000019dd5922c (__TEXT,__text) non-external _bid_get_BID128
000000019dd690f0 (__TEXT,__text) non-external _bid_get_BID128.998
000000019dea1f00 (__TEXT,__const) non-external _bid_innertable_exp
000000019dea0f00 (__TEXT,__const) non-external _bid_innertable_sig
000000019dd77a50 (__TEXT,__const) non-external _bid_log_table_1
000000019dd78e50 (__TEXT,__const) non-external _bid_log_table_2
000000019de05560 (__TEXT,__const) non-external _bid_multipliers1_binary128
000000019ddca640 (__TEXT,__const) non-external _bid_multipliers1_binary64
000000019de52f20 (__TEXT,__const) non-external _bid_multipliers2_binary128
000000019ddcf9c0 (__TEXT,__const) non-external _bid_multipliers2_binary64
000000019dea2b00 (__TEXT,__const) non-external _bid_outertable_exp
000000019dea2100 (__TEXT,__const) non-external _bid_outertable_sig
000000019dea08e0 (__TEXT,__const) non-external _bid_power_five
000000019dd77650 (__TEXT,__const) non-external _bid_recip_table_1
000000019dd78a50 (__TEXT,__const) non-external _bid_recip_table_2
000000019ddc70d0 (__TEXT,__const) non-external _bid_roundbound_128
000000019dd5e24c (__TEXT,__text) non-external _bid_rounding_correction
000000019dd5ef80 (__TEXT,__text) non-external _bid_sub256
000000019dd77510 (__TEXT,__const) non-external _c1
000000019dd77480 (__TEXT,__const) non-external _c10
000000019dd77470 (__TEXT,__const) non-external _c11
000000019dd77460 (__TEXT,__const) non-external _c12
000000019dd77500 (__TEXT,__const) non-external _c2
000000019dd774f0 (__TEXT,__const) non-external _c3
000000019dd774e0 (__TEXT,__const) non-external _c4
000000019dd774d0 (__TEXT,__const) non-external _c5
000000019dd774c0 (__TEXT,__const) non-external _c6
000000019dd774b0 (__TEXT,__const) non-external _c7
000000019dd774a0 (__TEXT,__const) non-external _c8
000000019dd77490 (__TEXT,__const) non-external _c9
000000019dd77420 (__TEXT,__const) non-external _c_105
000000019dd773e0 (__TEXT,__const) non-external _c_11000
000000019dd77530 (__TEXT,__const) non-external _c_11000.928
000000019dd79ea0 (__TEXT,__const) non-external _c_11000.988
000000019dd77440 (__TEXT,__const) non-external _c_120
000000019dd77520 (__TEXT,__const) non-external _c_1_ov_sqrt_pi
000000019dd77580 (__TEXT,__const) non-external _c_1_plus_eps
000000019dd77560 (__TEXT,__const) non-external _c_1e34
000000019dd77590 (__TEXT,__const) non-external _c_1em100
000000019dd77400 (__TEXT,__const) non-external _c_1em2000
000000019dd772c0 (__TEXT,__const) non-external _c_1em40
000000019ddc5bb0 (__TEXT,__const) non-external _c_1em40.1005
000000019dd77320 (__TEXT,__const) non-external _c_1em40.886
000000019dd77370 (__TEXT,__const) non-external _c_1em40.895
000000019dd773a0 (__TEXT,__const) non-external _c_1em40.914
000000019dd77410 (__TEXT,__const) non-external _c_1em40.924
000000019dd79e60 (__TEXT,__const) non-external _c_1em40.984
000000019dd77430 (__TEXT,__const) non-external _c_2_ov_sqrt_pi
000000019dd77620 (__TEXT,__const) non-external _c_4464
000000019dd775e0 (__TEXT,__const) non-external _c_4464_ln_10
000000019dd773c0 (__TEXT,__const) non-external _c_64
000000019dd79e80 (__TEXT,__const) non-external _c_64.986
000000019dd772d0 (__TEXT,__const) non-external _c_7_10ths
000000019dd77330 (__TEXT,__const) non-external _c_7_10ths.887
000000019dd77380 (__TEXT,__const) non-external _c_half
000000019dd773f0 (__TEXT,__const) non-external _c_half.917
000000019dd77570 (__TEXT,__const) non-external _c_half.940
000000019dd77600 (__TEXT,__const) non-external _c_half.946
000000019dd77640 (__TEXT,__const) non-external _c_half.950
000000019dd79ec0 (__TEXT,__const) non-external _c_half.989
