00000001d5a9ffd0 (__DATA,__data) external _NDR_record
000000018040c970 (__TEXT,__text) external _sendfile
00000001804033f4 (__TEXT,__text) external _sendmsg
0000000180401d18 (__TEXT,__text) external _sendmsg$NOCANCEL
000000018040c99c (__TEXT,__text) external _sendmsg_x
0000000180401dcc (__TEXT,__text) external _sendto
0000000180401c34 (__TEXT,__text) external _sendto$NOCANCEL
0000000180400fe0 (__TEXT,__text) external _setattrlist
000000018040c9c8 (__TEXT,__text) external _setattrlistat
000000018041a934 (__TEXT,__text) external _setaudit
000000018040c9f4 (__TEXT,__text) external _setaudit_addr
000000018040ca20 (__TEXT,__text) external _setauid
0000000180407030 (__TEXT,__text) external _setegid
0000000180407004 (__TEXT,__text) external _seteuid
0000000180406d60 (__TEXT,__text) external _setgid
000000018040ca4c (__TEXT,__text) external _setgroups
0000000180405410 (__TEXT,__text) external _setiopolicy_np
0000000180406100 (__TEXT,__text) external _setitimer
00000001804093a0 (__TEXT,__text) external _setpgid
0000000180405b74 (__TEXT,__text) external _setpriority
000000018040ca78 (__TEXT,__text) external _setprivexec
000000018040fee4 (__TEXT,__text) external _setquota
000000018040b594 (__TEXT,__text) external _setregid
000000018040b5c0 (__TEXT,__text) external _setreuid
0000000180400548 (__TEXT,__text) external _setrlimit
000000018040b5ec (__TEXT,__text) external _setsgroups_np
000000018040627c (__TEXT,__text) external _setsid
0000000180401bdc (__TEXT,__text) external _setsockopt
0000000180406d8c (__TEXT,__text) external _setuid
000000018040b670 (__TEXT,__text) external _setwgroups_np
00000001804012d8 (__TEXT,__text) external _setxattr
000000018041393c (__TEXT,__text) external _sfi_get_class_offtime
0000000180413964 (__TEXT,__text) external _sfi_process_get_flags
0000000180413950 (__TEXT,__text) external _sfi_process_set_flags
00000001804072d8 (__TEXT,__text) external _sfi_set_class_offtime
000000018040a650 (__TEXT,__text) external _shm_open
000000018040caa4 (__TEXT,__text) external _shm_unlink
000000018040cad0 (__TEXT,__text) external _shmat
000000018040b720 (__TEXT,__text) external _shmctl
000000018040cafc (__TEXT,__text) external _shmdt
000000018040cb28 (__TEXT,__text) external _shmget
000000018040a6d4 (__TEXT,__text) external _shmsys
0000000180401e7c (__TEXT,__text) external _shutdown
000000018040cb54 (__TEXT,__text) external _sigpending
0000000180400f30 (__TEXT,__text) external _sigprocmask
0000000180418e88 (__TEXT,__text) external _sigsuspend
0000000180404fac (__TEXT,__text) external _sigsuspend$NOCANCEL
0000000180401b00 (__TEXT,__text) external _socket
000000018040cb80 (__TEXT,__text) external _socket_delegate
0000000180401cec (__TEXT,__text) external _socketpair
000000018041341c (__TEXT,__text) external _stackshot_capture_with_config
0000000180413360 (__TEXT,__text) external _stackshot_config_create
0000000180413580 (__TEXT,__text) external _stackshot_config_dealloc
0000000180413528 (__TEXT,__text) external _stackshot_config_dealloc_buffer
0000000180413490 (__TEXT,__text) external _stackshot_config_get_stackshot_buffer
000000018041349c (__TEXT,__text) external _stackshot_config_get_stackshot_size
00000001804134dc (__TEXT,__text) external _stackshot_config_set_delta_timestamp
0000000180413400 (__TEXT,__text) external _stackshot_config_set_flags
0000000180413500 (__TEXT,__text) external _stackshot_config_set_pagetable_mask
00000001804133e4 (__TEXT,__text) external _stackshot_config_set_pid
00000001804134b8 (__TEXT,__text) external _stackshot_config_set_size_hint
00000001804093f8 (__TEXT,__text) external _stat
00000001804093f8 (__TEXT,__text) external _stat64
000000018040cc04 (__TEXT,__text) external _statfs
000000018040cc04 (__TEXT,__text) external _statfs64
00000001d5aa0080 (__DATA,__bss) non-external _supported
000000018040cc30 (__TEXT,__text) external _swapon
00000001803fd8cc (__TEXT,__text) external _swtch
00000001803fd8c0 (__TEXT,__text) external _swtch_pri
000000018040339c (__TEXT,__text) external _symlink
000000018040cc5c (__TEXT,__text) external _symlinkat
000000018040cc88 (__TEXT,__text) external _sync
00000001803ffc54 (__TEXT,__text) external _syscall
00000001803fd8d8 (__TEXT,__text) external _syscall_thread_switch
0000000180413928 (__TEXT,__text) external _system_get_sfi_window
000000018040ccb4 (__TEXT,__text) external _system_override
0000000180407318 (__TEXT,__text) external _system_set_sfi_window
00000001d5aa0088 (__DATA,__bss) non-external _system_version_compat_check_path_suffix
00000001d5aa0038 (__DATA,__common) external _system_version_compat_mode
0000000180428c7c (__TEXT,__text) external _task_assign
0000000180428db0 (__TEXT,__text) external _task_assign_default
0000000180427300 (__TEXT,__text) external _task_create
000000018042b23c (__TEXT,__text) external _task_create_identity_token
000000018042b50c (__TEXT,__text) external _task_dyld_process_info_notify_deregister
00000001803fd6ec (__TEXT,__text) external _task_dyld_process_info_notify_get
000000018042b118 (__TEXT,__text) external _task_dyld_process_info_notify_register
00000001803fd854 (__TEXT,__text) external _task_for_pid
0000000180429f7c (__TEXT,__text) external _task_generate_corpse
0000000180428ed0 (__TEXT,__text) external _task_get_assignment
000000018042a4c4 (__TEXT,__text) external _task_get_dyld_image_infos
00000001804286bc (__TEXT,__text) external _task_get_emulation_vector
000000018042ad68 (__TEXT,__text) external _task_get_exc_guard_behavior
0000000180408e64 (__TEXT,__text) external _task_get_exception_ports
000000018042b62c (__TEXT,__text) external _task_get_exception_ports_info
0000000180429b64 (__TEXT,__text) external _task_get_mach_voucher
00000001803fddfc (__TEXT,__text) external _task_get_special_port
00000001804291f4 (__TEXT,__text) external _task_get_state
000000018042b39c (__TEXT,__text) external _task_identity_token_get_task_port
00000001803fdfe4 (__TEXT,__text) external _task_info
000000018042ab8c (__TEXT,__text) external _task_inspect
000000018040cce0 (__TEXT,__text) external _task_inspect_for_pid
000000018042a0dc (__TEXT,__text) external _task_map_corpse_info
000000018042aa18 (__TEXT,__text) external _task_map_corpse_info_64
000000018042bc84 (__TEXT,__text) external _task_map_kcdata_object_64
00000001803fd848 (__TEXT,__text) external _task_name_for_pid
0000000180428424 (__TEXT,__text) external _task_policy
00000001804280f4 (__TEXT,__text) external _task_policy_get
00000001803fffd8 (__TEXT,__text) external _task_policy_set
00000001804299bc (__TEXT,__text) external _task_purgable_info
000000018040cd0c (__TEXT,__text) external _task_read_for_pid
000000018042a8ac (__TEXT,__text) external _task_register_dyld_get_process_state
000000018042a24c (__TEXT,__text) external _task_register_dyld_image_infos
000000018042a784 (__TEXT,__text) external _task_register_dyld_set_dyld_state
000000018042a658 (__TEXT,__text) external _task_register_dyld_shared_cache_image_info
00000001803fd98c (__TEXT,__text) external _task_restartable_ranges_register
000000018040057c (__TEXT,__text) external _task_restartable_ranges_synchronize
00000001804276b0 (__TEXT,__text) external _task_resume
00000001804298a8 (__TEXT,__text) external _task_resume2
0000000180428300 (__TEXT,__text) external _task_sample
0000000180410000 (__TEXT,__text) external _task_self_
00000001803fd794 (__TEXT,__text) external _task_self_trap
000000018042ba30 (__TEXT,__text) external _task_set_corpse_forking_behavior
00000001804285a0 (__TEXT,__text) external _task_set_emulation
000000018042884c (__TEXT,__text) external _task_set_emulation_vector
000000018042aeb0 (__TEXT,__text) external _task_set_exc_guard_behavior
0000000180407cd8 (__TEXT,__text) external _task_set_exception_ports
0000000180408174 (__TEXT,__text) external _task_set_info
0000000180429cd4 (__TEXT,__text) external _task_set_mach_voucher
00000001804295f0 (__TEXT,__text) external _task_set_phys_footprint_limit
0000000180429030 (__TEXT,__text) external _task_set_policy
000000018041a430 (__TEXT,__text) external _task_set_port_space
0000000180428984 (__TEXT,__text) external _task_set_ras_pc
00000001803fea30 (__TEXT,__text) external _task_set_special_port
0000000180429440 (__TEXT,__text) external _task_set_state
000000018042759c (__TEXT,__text) external _task_suspend
0000000180429748 (__TEXT,__text) external _task_suspend2
0000000180427b28 (__TEXT,__text) external _task_swap_exception_ports
0000000180429df8 (__TEXT,__text) external _task_swap_mach_voucher
0000000180427488 (__TEXT,__text) external _task_terminate
000000018042bb50 (__TEXT,__text) external _task_test_async_upcall_propagation
000000018042b90c (__TEXT,__text) external _task_test_sync_upcall
0000000180406990 (__TEXT,__text) external _task_threads
000000018042a388 (__TEXT,__text) external _task_unregister_dyld_image_infos
0000000180428aa0 (__TEXT,__text) external _task_zone_info
000000018041380c (__TEXT,__text) external _terminate_with_payload
0000000180408134 (__TEXT,__text) external _terminate_with_reason
000000018042c6e0 (__TEXT,__text) external _thread_abort
000000018042c7f4 (__TEXT,__text) external _thread_abort_safely
000000018042d240 (__TEXT,__text) external _thread_assign
000000018042d364 (__TEXT,__text) external _thread_assign_default
000000018042dba0 (__TEXT,__text) external _thread_convert_thread_state
00000001804277c4 (__TEXT,__text) external _thread_create
0000000180427924 (__TEXT,__text) external _thread_create_running
000000018042c908 (__TEXT,__text) external _thread_depress_abort
0000000180400a50 (__TEXT,__text) external _thread_destruct_special_reply_port
000000018042d478 (__TEXT,__text) external _thread_get_assignment
000000018040732c (__TEXT,__text) external _thread_get_exception_ports
000000018042de00 (__TEXT,__text) external _thread_get_exception_ports_info
000000018042d788 (__TEXT,__text) external _thread_get_mach_voucher
0000000180411f0c (__TEXT,__text) external _thread_get_register_pointer_values
000000018042ca1c (__TEXT,__text) external _thread_get_special_port
00000001803fd890 (__TEXT,__text) external _thread_get_special_reply_port
0000000180406b14 (__TEXT,__text) external _thread_get_state
0000000180405010 (__TEXT,__text) external _thread_info
0000000180402a3c (__TEXT,__text) external _thread_policy
0000000180406db8 (__TEXT,__text) external _thread_policy_get
0000000180403bc8 (__TEXT,__text) external _thread_policy_set
000000018042c5cc (__TEXT,__text) external _thread_resume
000000018042cffc (__TEXT,__text) external _thread_sample
00000001803fd788 (__TEXT,__text) external _thread_self_trap
000000018040cd38 (__TEXT,__text) external _thread_selfcounts
0000000180403ecc (__TEXT,__text) external _thread_set_exception_ports
000000018042d8f8 (__TEXT,__text) external _thread_set_mach_voucher
0000000180411e7c (__TEXT,__text) external _thread_set_policy
000000018042cb8c (__TEXT,__text) external _thread_set_special_port
000000018042c308 (__TEXT,__text) external _thread_set_state
000000018042c4b8 (__TEXT,__text) external _thread_suspend
000000018042ccc0 (__TEXT,__text) external _thread_swap_exception_ports
000000018042da1c (__TEXT,__text) external _thread_swap_mach_voucher
0000000180402f84 (__TEXT,__text) external _thread_switch
000000018042bdf8 (__TEXT,__text) external _thread_terminate
000000018041c50c (__TEXT,__text) external _thread_wire
0000000180430ad8 (__TEXT,__const) non-external _times_now
000000018040cd64 (__TEXT,__text) external _tracker_action
000000018040cd90 (__TEXT,__text) external _truncate
0000000180402f2c (__TEXT,__text) external _umask
000000018040cdbc (__TEXT,__text) external _undelete
000000018040cde8 (__TEXT,__text) external _ungraftdmg
00000001804017d8 (__TEXT,__text) external _unlink
0000000180407600 (__TEXT,__text) external _unlinkat
0000000180409fa4 (__TEXT,__text) external _unmount
000000018040ce14 (__TEXT,__text) external _usrctl
0000000180411dc0 (__TEXT,__text) external _utimensat
0000000180402f58 (__TEXT,__text) external _utimes
000000018040ce40 (__TEXT,__text) external _vfs_purge
00000001803ffb00 (__TEXT,__text) external _vm_allocate
000000018041c640 (__TEXT,__text) external _vm_allocate_cpm
000000018042e740 (__TEXT,__text) external _vm_behavior_set
0000000180400904 (__TEXT,__text) external _vm_copy
00000001803ffbf0 (__TEXT,__text) external _vm_deallocate
000000018042e0e0 (__TEXT,__text) external _vm_inherit
00000001d6c276b0 (__DATA_DIRTY,__common) external _vm_kernel_page_mask
00000001d6c276b8 (__DATA_DIRTY,__common) external _vm_kernel_page_shift
00000001d6c276a8 (__DATA_DIRTY,__common) external _vm_kernel_page_size
000000018042e864 (__TEXT,__text) external _vm_machine_attribute
0000000180409c08 (__TEXT,__text) external _vm_map
000000018042e9c0 (__TEXT,__text) external _vm_map_page_query
000000018042e61c (__TEXT,__text) external _vm_msync
00000001d6c276c0 (__DATA_DIRTY,__common) external _vm_page_mask
00000001d6c276c8 (__DATA_DIRTY,__common) external _vm_page_shift
00000001d6c276d8 (__DATA_DIRTY,__common) external _vm_page_size
000000018040ce6c (__TEXT,__text) external _vm_pressure_monitor
0000000180402224 (__TEXT,__text) external _vm_protect
0000000180401144 (__TEXT,__text) external _vm_purgable_control
000000018040705c (__TEXT,__text) external _vm_read
000000018042e204 (__TEXT,__text) external _vm_read_list
000000018042e4c8 (__TEXT,__text) external _vm_read_overwrite
0000000180405c30 (__TEXT,__text) external _vm_region_64
0000000180405e60 (__TEXT,__text) external _vm_region_recurse_64
00000001803ffdb0 (__TEXT,__text) external _vm_remap
000000018041a83c (__TEXT,__text) external _vm_remap_new
000000018041c3d4 (__TEXT,__text) external _vm_wire
000000018042e38c (__TEXT,__text) external _vm_write
0000000180400ea4 (__TEXT,__text) external _voucher_mach_msg_adopt
00000001803fe9a0 (__TEXT,__text) external _voucher_mach_msg_clear
0000000180400e8c (__TEXT,__text) external _voucher_mach_msg_revert
00000001803fe554 (__TEXT,__text) external _voucher_mach_msg_set
00000001d5aa0020 (__DATA,__common) external _vprintf_stderr_func
0000000180409ec8 (__TEXT,__text) external _wait4
000000018040ce98 (__TEXT,__text) external _waitid
000000018040b91c (__TEXT,__text) external _waitid$NOCANCEL
0000000180419510 (__TEXT,__text) external _work_interval_copy_port
0000000180406624 (__TEXT,__text) external _work_interval_create
00000001804192f8 (__TEXT,__text) external _work_interval_destroy
0000000180418f6c (__TEXT,__text) external _work_interval_get_flags_from_port
0000000180406764 (__TEXT,__text) external _work_interval_instance_alloc
00000001804190d4 (__TEXT,__text) external _work_interval_instance_clear
0000000180419278 (__TEXT,__text) external _work_interval_instance_finish
00000001804190e8 (__TEXT,__text) external _work_interval_instance_free
000000018041919c (__TEXT,__text) external _work_interval_instance_get_complexity
000000018041916c (__TEXT,__text) external _work_interval_instance_get_deadline
0000000180419184 (__TEXT,__text) external _work_interval_instance_get_finish
0000000180406804 (__TEXT,__text) external _work_interval_instance_get_id
0000000180419154 (__TEXT,__text) external _work_interval_instance_get_start
00000001804191b4 (__TEXT,__text) external _work_interval_instance_get_telemetry_data
000000018041914c (__TEXT,__text) external _work_interval_instance_set_complexity
000000018041913c (__TEXT,__text) external _work_interval_instance_set_deadline
0000000180419144 (__TEXT,__text) external _work_interval_instance_set_finish
0000000180419134 (__TEXT,__text) external _work_interval_instance_set_start
00000001804191d0 (__TEXT,__text) external _work_interval_instance_start
0000000180419220 (__TEXT,__text) external _work_interval_instance_update
0000000180419464 (__TEXT,__text) external _work_interval_join
00000001804194bc (__TEXT,__text) external _work_interval_join_port
00000001804194fc (__TEXT,__text) external _work_interval_leave
0000000180418ff8 (__TEXT,__text) external _work_interval_notify
0000000180419074 (__TEXT,__text) external _work_interval_notify_simple
000000018040138c (__TEXT,__text) external _write
000000018040173c (__TEXT,__text) external _write$NOCANCEL
00000001804016e4 (__TEXT,__text) external _writev
000000018040b948 (__TEXT,__text) external _writev$NOCANCEL
