0000000182ba24b8 (__DATA,__data) non-external _C
0000000180b825b8 (__DATA_CONST,__const) non-external _okshells
                 (undefined) external _open$NOCANCEL (from libsystem_kernel)
                 (undefined) external _open_dprotected_np (from libsystem_kernel)
0000000180a43a74 (__TEXT,__text) external _open_memstream
0000000180a211d8 (__TEXT,__text) external _open_with_subsystem
0000000180a57d78 (__TEXT,__text) external _open_wmemstream
                 (undefined) external _openat$NOCANCEL (from libsystem_kernel)
0000000180a359c4 (__TEXT,__text) external _opendir
0000000180a35ff4 (__TEXT,__text) non-external _opendir_compar
0000000182baefb0 (__DATA,__common) external _optarg
0000000182ba31e8 (__DATA,__data) external _opterr
0000000182ba31ec (__DATA,__data) external _optind
0000000182baefac (__DATA,__common) external _optopt
0000000182baefa8 (__DATA,__common) external _optreset
                 (undefined) external _os_unfair_lock_lock (from libsystem_platform)
                 (undefined) external _os_unfair_lock_lock_with_options (from libsystem_platform)
                 (undefined) external _os_unfair_lock_unlock (from libsystem_platform)
0000000180a189f8 (__TEXT,__text) non-external _overflow
0000000182ba4200 (__DATA,__bss) non-external _p5s
0000000180a8123d (__TEXT,__const) non-external _padchar
0000000182ba403a (__DATA,__bss) non-external _parse_error
0000000180a62f14 (__TEXT,__text) non-external _parse_long_options
0000000182ba4038 (__DATA,__bss) non-external _parsed
                 (undefined) external _pathconf (from libsystem_kernel)
0000000180a7becc (__TEXT,__text) external _pause
0000000180a36008 (__TEXT,__text) external _pause$NOCANCEL
0000000180a36440 (__TEXT,__text) external _pclose
0000000180a62e74 (__TEXT,__text) non-external _permute_args
0000000180a7ec7c (__TEXT,__text) external _perror
0000000182ba4278 (__DATA,__bss) non-external _pfp
                 (undefined) external _pipe (from libsystem_kernel)
0000000182ba3208 (__DATA,__data) non-external _place
0000000180a36040 (__TEXT,__text) external _popen
0000000180a7c4fc (__TEXT,__text) external _popen$DARWIN_EXTSN
0000000180a5a654 (__TEXT,__text) external _posix2time
0000000180a6a264 (__TEXT,__text) external _posix_openpt
                 (undefined) external _posix_spawn (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_addclose (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_adddup2 (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_addinherit_np (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_destroy (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_init (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_destroy (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_init (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_setflags (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_setsigdefault (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_setsigmask (from libsystem_kernel)
0000000180a236dc (__TEXT,__text) external _posix_spawnp
0000000180a80838 (__TEXT,__const) non-external _powersOf10_CoarseBinary64
0000000180a80410 (__TEXT,__const) non-external _powersOf10_Float
0000000180a80300 (__TEXT,__const) non-external _powersOfFive
                 (undefined) external _pread$NOCANCEL (from libsystem_kernel)
0000000180a4b128 (__TEXT,__text) external _printf
0000000180a4b184 (__TEXT,__text) external _printf_l
0000000180a328d8 (__TEXT,__text) non-external _printfmt
                 (undefined) external _proc_name (from libsystem_kernel)
0000000180a36594 (__TEXT,__text) external _psignal
                 (undefined) external _pthread_fchdir_np (from libsystem_pthread)
                 (undefined) external _pthread_get_stackaddr_np (from libsystem_pthread)
                 (undefined) external _pthread_get_stacksize_np (from libsystem_pthread)
                 (undefined) external _pthread_getspecific (from libsystem_pthread)
                 (undefined) external _pthread_key_create (from libsystem_pthread)
                 (undefined) external _pthread_key_init_np (from libsystem_pthread)
                 (undefined) external _pthread_kill (from libsystem_pthread)
                 (undefined) external _pthread_mutex_destroy (from libsystem_pthread)
                 (undefined) external _pthread_mutex_lock (from libsystem_pthread)
                 (undefined) external _pthread_mutex_trylock (from libsystem_pthread)
                 (undefined) external _pthread_mutex_unlock (from libsystem_pthread)
                 (undefined) external _pthread_once (from libsystem_pthread)
                 (undefined) external _pthread_rwlock_destroy (from libsystem_pthread)
                 (undefined) external _pthread_rwlock_rdlock (from libsystem_pthread)
                 (undefined) external _pthread_rwlock_unlock (from libsystem_pthread)
                 (undefined) external _pthread_rwlock_wrlock (from libsystem_pthread)
                 (undefined) external _pthread_self (from libsystem_pthread)
                 (undefined) external _pthread_setspecific (from libsystem_pthread)
                 (undefined) external _pthread_sigmask (from libsystem_pthread)
                 (undefined) external _pthread_stack_frame_decode_np (from libsystem_pthread)
                 (undefined) external _pthread_testcancel (from libsystem_pthread)
0000000180a6a29c (__TEXT,__text) external _ptsname
0000000180a7f190 (__TEXT,__text) non-external _ptsname.cold.1
0000000180a7f1c8 (__TEXT,__text) non-external _ptsname.cold.2
0000000180a7ddc8 (__TEXT,__text) non-external _ptsname.cold.3
0000000182baee98 (__DATA,__bss) non-external _ptsname_buffer_specific_key
0000000182baee90 (__DATA,__bss) non-external _ptsname_once
0000000180a6a338 (__TEXT,__text) non-external _ptsname_once_init
0000000180a7f1c8 (__TEXT,__text) non-external _ptsname_once_init.cold.1
0000000180a6a374 (__TEXT,__text) external _ptsname_r
0000000180a4b1c4 (__TEXT,__text) external _putc
0000000180a4b250 (__TEXT,__text) external _putc_unlocked
0000000180a4b294 (__TEXT,__text) external _putchar
0000000180a4b328 (__TEXT,__text) external _putchar_unlocked
0000000180a643cc (__TEXT,__text) external _putenv
0000000180a4b378 (__TEXT,__text) external _puts
0000000180a4b4ac (__TEXT,__text) external _putw
0000000180a4b51c (__TEXT,__text) external _putwc
0000000180a4b540 (__TEXT,__text) external _putwc_l
0000000180a4b544 (__TEXT,__text) external _putwchar
0000000180a4b574 (__TEXT,__text) external _putwchar_l
                 (undefined) external _pwrite$NOCANCEL (from libsystem_kernel)
0000000180a64468 (__TEXT,__text) external _qsort
0000000180a6a984 (__TEXT,__text) external _qsort_b
0000000180a64f34 (__TEXT,__text) external _qsort_r
0000000180a20e84 (__TEXT,__text) external _querylocale
0000000180a80978 (__TEXT,__const) non-external _querylocale_mapping
0000000180a70198 (__TEXT,__text) external _quick_exit
0000000180a660a8 (__TEXT,__text) non-external _r_sort_a
0000000182baee64 (__DATA,__bss) non-external _r_sort_a.bmin
0000000182baee58 (__DATA,__bss) non-external _r_sort_a.count
0000000182baee60 (__DATA,__bss) non-external _r_sort_a.nc
0000000182baee68 (__DATA,__bss) non-external _r_sort_a_count
0000000180a66b84 (__TEXT,__text) non-external _r_sort_b
0000000182baee84 (__DATA,__bss) non-external _r_sort_b.bmin
0000000182baee78 (__DATA,__bss) non-external _r_sort_b.count
0000000182baee80 (__DATA,__bss) non-external _r_sort_b.nc
0000000182baee70 (__DATA,__bss) non-external _r_sort_b_count
0000000180a66f08 (__TEXT,__text) non-external _r_sort_count_allocate
0000000182ba3218 (__DATA,__data) non-external _r_sort_count_control
0000000180a65acc (__TEXT,__text) external _radixsort
0000000180a22a28 (__TEXT,__text) external _raise
0000000180a66fcc (__TEXT,__text) external _rand
0000000182ba323c (__DATA,__data) non-external _rand_deg
0000000180a66f64 (__TEXT,__text) external _rand_r
0000000182ba3240 (__DATA,__data) non-external _rand_sep
0000000182ba3238 (__DATA,__data) non-external _rand_type
0000000180a671b8 (__TEXT,__text) external _random
0000000182ba3260 (__DATA,__data) non-external _randtbl
0000000180a33100 (__TEXT,__text) non-external (was a private external) _rangematch
0000000180a71748 (__TEXT,__text) external _rb_tree_count
0000000180a710e8 (__TEXT,__text) external _rb_tree_find_node
0000000180a71158 (__TEXT,__text) external _rb_tree_find_node_geq
0000000180a711e4 (__TEXT,__text) external _rb_tree_find_node_leq
0000000180a710d8 (__TEXT,__text) external _rb_tree_init
0000000180a71270 (__TEXT,__text) external _rb_tree_insert_node
0000000180a716c8 (__TEXT,__text) external _rb_tree_iterate
0000000180a717ec (__TEXT,__text) non-external _rb_tree_removal_rebalance
0000000180a71450 (__TEXT,__text) external _rb_tree_remove_node
0000000180a71754 (__TEXT,__text) non-external _rb_tree_reparent_nodes
0000000180a816f8 (__TEXT,__const) non-external _rcsid
0000000180a81782 (__TEXT,__const) non-external _rcsid
                 (undefined) external _read$NOCANCEL (from libsystem_kernel)
0000000180a367e4 (__TEXT,__text) external _readdir
0000000180a36828 (__TEXT,__text) external _readdir_r
                 (undefined) external _readlink (from libsystem_kernel)
                 (undefined) external _reallocarray$DARWIN_EXTSN (from libsystem_malloc)
                 (undefined) external _reallocf (from libsystem_malloc)
0000000180a67598 (__TEXT,__text) external _realpath
0000000180a7cc44 (__TEXT,__text) external _realpath$DARWIN_EXTSN
0000000182baeeb8 (__DATA,__bss) non-external _realpath$DARWIN_EXTSN.rootdev
0000000182baeebc (__DATA,__bss) non-external _realpath$DARWIN_EXTSN.rootdev_inited
0000000182baee88 (__DATA,__bss) non-external _realpath.rootdev
0000000182baee8c (__DATA,__bss) non-external _realpath.rootdev_inited
0000000180a2c784 (__TEXT,__text) non-external _rec_rdelete
0000000180a8159c (__TEXT,__const) non-external _recargchar
0000000180a81605 (__TEXT,__const) non-external _recargstring
0000000180a7c248 (__TEXT,__text) external _recv
0000000180a44058 (__TEXT,__text) external _recv$NOCANCEL
0000000180a71b9c (__TEXT,__text) external _regcomp
0000000180a71b14 (__TEXT,__text) external _regcomp_l
0000000180a7ee34 (__TEXT,__text) external _regerror
0000000180a722bc (__TEXT,__text) external _regexec
0000000180a71d04 (__TEXT,__text) external _regfree
0000000180a22004 (__TEXT,__text) external _register_printf_domain_function
0000000180a22110 (__TEXT,__text) non-external (was a private external) _register_printf_domain_render
0000000180a2221c (__TEXT,__text) external _register_printf_domain_render_std
0000000180a71af0 (__TEXT,__text) external _regncomp
0000000180a71948 (__TEXT,__text) external _regncomp_l
0000000180a720bc (__TEXT,__text) external _regnexec
0000000180a71c8c (__TEXT,__text) external _regwcomp
0000000180a71c0c (__TEXT,__text) external _regwcomp_l
0000000180a72300 (__TEXT,__text) external _regwexec
0000000180a71be8 (__TEXT,__text) external _regwncomp
0000000180a71bc0 (__TEXT,__text) external _regwncomp_l
0000000180a722d0 (__TEXT,__text) external _regwnexec
0000000180a4b7ec (__TEXT,__text) external _remove
0000000180a67cd8 (__TEXT,__text) external _remque
0000000180b82f08 (__DATA_CONST,__const) non-external _rerrs
0000000180a4b860 (__TEXT,__text) external _rewind
0000000180a368e0 (__TEXT,__text) external _rewinddir
0000000180a5e22c (__TEXT,__text) external _rindex
                 (undefined) external _rmdir (from libsystem_kernel)
0000000182ba4208 (__DATA,__bss) non-external _rng
0000000180a49700 (__TEXT,__text) external _rpmatch
0000000182ba3250 (__DATA,__data) non-external _rptr
0000000180a48728 (__TEXT,__text) non-external _sappend
0000000182ba43f0 (__DATA,__bss) non-external _saved_categories
0000000180a1699c (__TEXT,__text) external _sbrk
0000000182ba4018 (__DATA,__bss) non-external _sbrk_curbrk
0000000182ba4010 (__DATA,__bss) non-external _sbrk_needs_init
0000000182ba1df0 (__DATA,__data) non-external _sbrk_region_size
0000000180a36960 (__TEXT,__text) external _scandir
0000000180a6c3a0 (__TEXT,__text) external _scandir_b
0000000180a4b93c (__TEXT,__text) external _scanf
0000000180a4b9bc (__TEXT,__text) external _scanf_l
0000000180a80c84 (__TEXT,__const) non-external _sccsid
0000000180a80cb0 (__TEXT,__const) non-external _sccsid
0000000180a36b74 (__TEXT,__text) external _seed48
0000000182ba42ac (__DATA,__bss) non-external _seed48.sseed
0000000180a36bdc (__TEXT,__text) external _seekdir
                 (undefined) external _select$NOCANCEL (from libsystem_kernel)
                 (undefined) external _semaphore_create (from libsystem_kernel)
0000000180a7c254 (__TEXT,__text) external _send
0000000180a44064 (__TEXT,__text) external _send$NOCANCEL
0000000180a816c4 (__TEXT,__const) non-external _seps
0000000182ba4098 (__DATA,__bss) non-external _seq
                 (undefined) external _setattrlist (from libsystem_kernel)
0000000180a4ba4c (__TEXT,__text) external _setbuf
0000000180a4ba60 (__TEXT,__text) external _setbuffer
0000000180a685f4 (__TEXT,__text) external _setenv
0000000180a24090 (__TEXT,__text) external _sethostid
0000000180a36c28 (__TEXT,__text) external _sethostname
                 (undefined) external _setitimer (from libsystem_kernel)
0000000180a4ba78 (__TEXT,__text) external _setlinebuf
0000000180a401d8 (__TEXT,__text) external _setlocale
0000000180a36db4 (__TEXT,__text) external _setmode
                 (undefined) external _setpgid (from libsystem_kernel)
0000000180a24104 (__TEXT,__text) external _setpgrp
                 (undefined) external _setpriority (from libsystem_kernel)
0000000180a374a4 (__TEXT,__text) external _setprogname
                 (undefined) external _setregid (from libsystem_kernel)
                 (undefined) external _setreuid (from libsystem_kernel)
0000000180a24148 (__TEXT,__text) external _setrgid
                 (undefined) external _setrlimit (from libsystem_kernel)
0000000180a24150 (__TEXT,__text) external _setruid
                 (undefined) external _setsid (from libsystem_kernel)
0000000180a674d4 (__TEXT,__text) external _setstate
0000000180a239e0 (__TEXT,__text) external _settimeofday
0000000180a1c5a8 (__TEXT,__text) external _setttyent
0000000180a594b0 (__TEXT,__text) non-external _settzname
0000000180a1d108 (__TEXT,__text) external _setusershell
0000000180a4ba88 (__TEXT,__text) external _setvbuf
0000000180a45194 (__TEXT,__text) non-external _sflush_locked
0000000182ba4110 (__DATA,__bss) non-external _shells
0000000180a19098 (__TEXT,__text) non-external _shiftLeftMP
0000000180a18e6c (__TEXT,__text) non-external _shiftRightMPWithRounding
0000000182ba3198 (__DATA,__data) non-external _sig_init_once
0000000182baee20 (__DATA,__bss) non-external _sig_key
0000000180a5f098 (__TEXT,__text) non-external _sig_keycreate
0000000182baee18 (__DATA,__bss) non-external _sig_keycreated
0000000180a23a54 (__TEXT,__text) external _sigaction
0000000180a1d93c (__TEXT,__text) external _sigaddset
0000000180a16000 (__TEXT,__text) external _sigaltstack
0000000180a160f0 (__TEXT,__text) external _sigblock
0000000180a1d99c (__TEXT,__text) external _sigdelset
0000000180a1d920 (__TEXT,__text) external _sigemptyset
0000000180a1d92c (__TEXT,__text) external _sigfillset
0000000180a161cc (__TEXT,__text) external _sighold
0000000180a16284 (__TEXT,__text) external _sigignore
0000000180a37550 (__TEXT,__text) external _siginterrupt
0000000180a1d9fc (__TEXT,__text) external _sigismember
0000000180a37600 (__TEXT,__text) external _signal
0000000180a37608 (__TEXT,__text) non-external _signal__
0000000180a7bd4c (__TEXT,__text) external _sigpause
0000000180a16130 (__TEXT,__text) external _sigpause$NOCANCEL
                 (undefined) external _sigprocmask (from libsystem_kernel)
0000000180a16228 (__TEXT,__text) external _sigrelse
0000000180a162f0 (__TEXT,__text) external _sigset
0000000180a160b0 (__TEXT,__text) external _sigsetmask
                 (undefined) external _sigsuspend (from libsystem_kernel)
                 (undefined) external _sigsuspend$NOCANCEL (from libsystem_kernel)
0000000180a16044 (__TEXT,__text) external _sigvec
0000000180a1604c (__TEXT,__text) non-external _sigvec__
0000000180a1cd90 (__TEXT,__text) non-external _skip
0000000180a377f4 (__TEXT,__text) external _sl_add
0000000180a378dc (__TEXT,__text) external _sl_find
0000000180a37864 (__TEXT,__text) external _sl_free
0000000180a37780 (__TEXT,__text) external _sl_init
0000000180a7e930 (__TEXT,__text) non-external _sl_init.cold.1
0000000180a7e930 (__TEXT,__text) non-external _sl_init.cold.2
0000000182ba4288 (__DATA,__bss) non-external _slash
0000000180a7bf04 (__TEXT,__text) external _sleep
0000000180a376b0 (__TEXT,__text) external _sleep$NOCANCEL
0000000182ba4090 (__DATA,__bss) non-external _slot
0000000180a4bd0c (__TEXT,__text) external _snprintf
0000000180a4bd5c (__TEXT,__text) external _snprintf_l
0000000180a39cdc (__TEXT,__text) external _snvis
0000000180a44070 (__TEXT,__text) external _sockatmark
                 (undefined) external _socket (from libsystem_kernel)
                 (undefined) external _socketpair (from libsystem_kernel)
0000000180a4bd88 (__TEXT,__text) external _sprintf
0000000180a4bdd8 (__TEXT,__text) external _sprintf_l
0000000180a664a8 (__TEXT,__text) external _sradixsort
0000000180a67034 (__TEXT,__text) external _srand
0000000180a37740 (__TEXT,__text) external _srand48
0000000180a67044 (__TEXT,__text) external _sranddev
0000000180a670d4 (__TEXT,__text) external _srandom
0000000180a67278 (__TEXT,__text) external _srandomdev
0000000180a4be04 (__TEXT,__text) external _sscanf
0000000180a4be54 (__TEXT,__text) external _sscanf_l
                 (undefined) external _stat (from libsystem_kernel)
0000000180a21360 (__TEXT,__text) external _stat_with_subsystem
0000000182ba3230 (__DATA,__data) non-external _state
                 (undefined) external _statfs (from libsystem_kernel)
0000000180a193c0 (__TEXT,__text) external _statvfs
0000000180a23a5c (__TEXT,__text) external _stpcpy
0000000180a23aa8 (__TEXT,__text) external _stpncpy
0000000180a39fe8 (__TEXT,__text) external _stravis
0000000180a5e35c (__TEXT,__text) external _strcasecmp
0000000180a5e254 (__TEXT,__text) external _strcasecmp_l
0000000180a5e5c8 (__TEXT,__text) external _strcasestr
0000000180a5e4d4 (__TEXT,__text) external _strcasestr_l
0000000180a23b30 (__TEXT,__text) external _strcat
                 (indirect) external _strchr (for __platform_strchr)
0000000180a5e5ec (__TEXT,__text) external _strchrnul
                 (indirect) external _strcmp (for __platform_strcmp)
0000000180a5e830 (__TEXT,__text) external _strcoll
0000000180a5e724 (__TEXT,__text) external _strcoll_l
                 (indirect) external _strcpy (for __platform_strcpy)
0000000180a5e854 (__TEXT,__text) external _strcspn
0000000180a5e910 (__TEXT,__text) external _strdup
0000000180a3a080 (__TEXT,__text) external _strenvisx
0000000180a5eacc (__TEXT,__text) external _strerror
0000000180a5ea54 (__TEXT,__text) external _strerror_r
0000000180a701d8 (__TEXT,__text) external _strfmon
0000000180a70e7c (__TEXT,__text) external _strfmon_l
0000000180a5c4cc (__TEXT,__text) external _strftime
0000000180a5b534 (__TEXT,__text) external _strftime_l
0000000182ba4118 (__DATA,__bss) non-external _strings
                 (indirect) external _strlcat (for __platform_strlcat)
                 (indirect) external _strlcpy (for __platform_strlcpy)
                 (indirect) external _strlen (for __platform_strlen)
0000000180a5eb60 (__TEXT,__text) external _strmode
0000000180a5e4b0 (__TEXT,__text) external _strncasecmp
0000000180a5e380 (__TEXT,__text) external _strncasecmp_l
0000000180a23b84 (__TEXT,__text) external _strncat
                 (indirect) external _strncmp (for __platform_strncmp)
                 (indirect) external _strncpy (for __platform_strncpy)
0000000180a5eca4 (__TEXT,__text) external _strndup
                 (indirect) external _strnlen (for __platform_strnlen)
0000000180a5ed1c (__TEXT,__text) external _strnstr
0000000180a395b4 (__TEXT,__text) external _strnunvis
0000000180a39458 (__TEXT,__text) external _strnunvisx
0000000180a7e9a4 (__TEXT,__text) non-external _strnunvisx.cold.1
0000000180a7e9d0 (__TEXT,__text) non-external _strnunvisx.cold.2
0000000180a39fb4 (__TEXT,__text) external _strnvis
0000000180a3a048 (__TEXT,__text) external _strnvisx
0000000180a5edb8 (__TEXT,__text) external _strpbrk
0000000180a5c6c8 (__TEXT,__text) external _strptime
0000000180a5c6ec (__TEXT,__text) external _strptime_l
0000000180a5edf0 (__TEXT,__text) external _strrchr
0000000180a39e8c (__TEXT,__text) external _strsenvisx
0000000180a5ee18 (__TEXT,__text) external _strsep
0000000180a5efbc (__TEXT,__text) external _strsignal
0000000180a5ee68 (__TEXT,__text) external _strsignal_r
0000000180a39df0 (__TEXT,__text) external _strsnvis
0000000180a39e5c (__TEXT,__text) external _strsnvisx
0000000180a5f0dc (__TEXT,__text) external _strspn
                 (indirect) external _strstr (for __platform_strstr)
0000000180a39d38 (__TEXT,__text) external _strsvis
0000000180a39e1c (__TEXT,__text) external _strsvisx
0000000180a1737c (__TEXT,__text) external _strtod
0000000180a173d0 (__TEXT,__text) external _strtod_l
0000000180a16af8 (__TEXT,__text) external _strtoencf16
0000000180a16bcc (__TEXT,__text) external _strtoencf32
0000000180a16f24 (__TEXT,__text) external _strtoencf64
0000000180a17358 (__TEXT,__text) external _strtoencf64x
0000000180a16e98 (__TEXT,__text) external _strtof
0000000180a16eec (__TEXT,__text) external _strtof_l
0000000180a1db00 (__TEXT,__text) external _strtofflags
0000000180a68f98 (__TEXT,__text) external _strtoimax
0000000180a68d2c (__TEXT,__text) external _strtoimax_l
0000000180a5f218 (__TEXT,__text) external _strtok
0000000182baee28 (__DATA,__bss) non-external _strtok.last
0000000180a5f194 (__TEXT,__text) external _strtok_r
0000000180a69228 (__TEXT,__text) external _strtol
0000000180a68fbc (__TEXT,__text) external _strtol_l
0000000180a17408 (__TEXT,__text) external _strtold
0000000180a1745c (__TEXT,__text) external _strtold_l
0000000180a694b8 (__TEXT,__text) external _strtoll
0000000180a6924c (__TEXT,__text) external _strtoll_l
0000000180a46b14 (__TEXT,__text) external _strtonum
0000000180a694dc (__TEXT,__text) external _strtoq
0000000180a69500 (__TEXT,__text) external _strtoq_l
0000000180a69764 (__TEXT,__text) external _strtoul
0000000180a69504 (__TEXT,__text) external _strtoul_l
0000000180a699e8 (__TEXT,__text) external _strtoull
0000000180a69788 (__TEXT,__text) external _strtoull_l
0000000180a69c6c (__TEXT,__text) external _strtoumax
0000000180a69a0c (__TEXT,__text) external _strtoumax_l
0000000180a69c90 (__TEXT,__text) external _strtouq
0000000180a69cb4 (__TEXT,__text) external _strtouq_l
0000000180a395a4 (__TEXT,__text) external _strunvis
0000000180a39594 (__TEXT,__text) external _strunvisx
0000000180a39f78 (__TEXT,__text) external _strvis
0000000180a3a004 (__TEXT,__text) external _strvisx
0000000180a5f4e4 (__TEXT,__text) external _strxfrm
0000000180a5f224 (__TEXT,__text) external _strxfrm_l
0000000182baefb8 (__DATA,__common) external _suboptarg
0000000182ba4120 (__DATA,__bss) non-external _subsystem_root_path
0000000180a39674 (__TEXT,__text) external _svis
0000000180a5f508 (__TEXT,__text) external _swab
0000000180a4c12c (__TEXT,__text) external _swprintf
0000000180a4c17c (__TEXT,__text) external _swprintf_l
0000000180a4c1a8 (__TEXT,__text) external _swscanf
0000000180a4c1f8 (__TEXT,__text) external _swscanf_l
0000000180a21a0c (__TEXT,__text) external _sxprintf
0000000180a22428 (__TEXT,__text) external _sxprintf_exec
0000000180a23bec (__TEXT,__text) external _sync_volume_np
0000000180a81553 (__TEXT,__const) non-external _syntax_error_str
0000000180b82218 (__DATA_CONST,__const) external _sys_errlist
0000000180a80948 (__TEXT,__const) external _sys_nerr
0000000180b82928 (__DATA_CONST,__const) external _sys_siglist
0000000180b82828 (__DATA_CONST,__const) external _sys_signame
0000000180a37938 (__TEXT,__text) external _sysconf
0000000180a38008 (__TEXT,__text) external _sysctl
0000000180a38228 (__TEXT,__text) external _sysctlbyname
0000000180a382f8 (__TEXT,__text) external _sysctlnametomib
0000000180a7c260 (__TEXT,__text) external _system
0000000180a69cb8 (__TEXT,__text) external _system$NOCANCEL
0000000180a7bf94 (__TEXT,__text) external _tcdrain
0000000180a3886c (__TEXT,__text) external _tcdrain$NOCANCEL
0000000180a3890c (__TEXT,__text) external _tcflow
0000000180a38898 (__TEXT,__text) external _tcflush
0000000180a385a0 (__TEXT,__text) external _tcgetattr
0000000180a3870c (__TEXT,__text) external _tcgetpgrp
0000000180a23284 (__TEXT,__text) external _tcgetsid
0000000180a387e4 (__TEXT,__text) external _tcsendbreak
0000000180a385cc (__TEXT,__text) external _tcsetattr
0000000180a386b4 (__TEXT,__text) external _tcsetpgrp
0000000180a69f50 (__TEXT,__text) external _tdelete
0000000180a383a0 (__TEXT,__text) external _telldir
0000000180a4c224 (__TEXT,__text) external _tempnam
0000000182ba4088 (__DATA,__bss) non-external _tf
0000000180a6a048 (__TEXT,__text) external _tfind
0000000180a1e080 (__TEXT,__text) external _thread_stack_async_pcs
0000000180a1e05c (__TEXT,__text) external _thread_stack_pcs
0000000182ba1ee0 (__DATA,__data) non-external _threadsafe
0000000180a389b0 (__TEXT,__text) external _time
0000000180a5a46c (__TEXT,__text) non-external _time2
0000000180a5a5e0 (__TEXT,__text) external _time2posix
0000000180a5aedc (__TEXT,__text) non-external _time2sub
0000000180a5a590 (__TEXT,__text) external _timegm
0000000180a5a580 (__TEXT,__text) external _timelocal
0000000180a5a5b8 (__TEXT,__text) external _timeoff
0000000180a38a14 (__TEXT,__text) external _times
0000000180a6aff0 (__TEXT,__text) external _timespec_get
0000000180a59930 (__TEXT,__text) non-external _timesub
0000000182baeed0 (__DATA,__common) external _timezone
0000000180a2dc30 (__TEXT,__text) external _timingsafe_bcmp
0000000182baa658 (__DATA,__bss) non-external _tm
0000000180a5b4c0 (__TEXT,__text) non-external _tmcomp
0000000180a4c490 (__TEXT,__text) external _tmpfile
0000000180a4c5dc (__TEXT,__text) external _tmpnam
0000000182ba5d68 (__DATA,__bss) non-external _tmpnam.tmpcount
0000000182ba5d70 (__DATA,__bss) non-external _tmpnam_buf
0000000180a4c6ec (__TEXT,__text) non-external _tmpnam_buf_allocate
0000000182ba3040 (__DATA,__data) non-external _tmpnam_buf_control
0000000180a80990 (__TEXT,__const) non-external _tmundef
0000000180a1e7ac (__TEXT,__text) external _toascii
0000000180a1e7b4 (__TEXT,__text) external _tolower
0000000180a1f3dc (__TEXT,__text) external _tolower_l
0000000182ba4260 (__DATA,__bss) non-external _toprec
0000000182ba4268 (__DATA,__bss) non-external _topreclen
0000000180a1e7f4 (__TEXT,__text) external _toupper
0000000180a1f3fc (__TEXT,__text) external _toupper_l
0000000180a43778 (__TEXT,__text) external _towctrans
0000000180a43698 (__TEXT,__text) external _towctrans_l
0000000180a1f8f0 (__TEXT,__text) external _towlower
0000000180a1ff0c (__TEXT,__text) external _towlower_l
0000000180a1f930 (__TEXT,__text) external _towupper
0000000180a1ff2c (__TEXT,__text) external _towupper_l
0000000180a5ab74 (__TEXT,__text) non-external _transtime
0000000180a75518 (__TEXT,__text) non-external _tre_add_tag_left
0000000180a75454 (__TEXT,__text) non-external _tre_add_tag_right
0000000180a72c44 (__TEXT,__text) non-external _tre_add_tags
0000000180a724b8 (__TEXT,__text) external _tre_ast_new_catenation
0000000180a72408 (__TEXT,__text) external _tre_ast_new_iter
0000000180a723bc (__TEXT,__text) external _tre_ast_new_literal
0000000180a72334 (__TEXT,__text) external _tre_ast_new_node
0000000180a7246c (__TEXT,__text) external _tre_ast_new_union
0000000180a7505c (__TEXT,__text) non-external _tre_ast_to_tnfa
0000000180a72504 (__TEXT,__text) external _tre_compile
0000000180a749ac (__TEXT,__text) non-external _tre_compute_nfl
0000000180a755dc (__TEXT,__text) non-external _tre_copy_ast
0000000180a744a8 (__TEXT,__text) non-external _tre_expand_ast
0000000180a7b990 (__TEXT,__text) non-external _tre_expand_macro
0000000180a71d08 (__TEXT,__text) external _tre_fill_pmatch
0000000180a75154 (__TEXT,__text) external _tre_free
0000000180b836d0 (__DATA_CONST,__const) non-external _tre_macros
0000000180a75f78 (__TEXT,__text) non-external _tre_make_trans
0000000180a72100 (__TEXT,__text) non-external _tre_match
0000000180a75d6c (__TEXT,__text) non-external _tre_match_empty
0000000180a79a54 (__TEXT,__text) external _tre_mem_alloc_impl
0000000180a799f4 (__TEXT,__text) external _tre_mem_destroy
0000000180a799c0 (__TEXT,__text) external _tre_mem_new_impl
0000000180a752bc (__TEXT,__text) non-external _tre_merge_branches
0000000180a7babc (__TEXT,__text) non-external _tre_new_item
0000000180a79b84 (__TEXT,__text) external _tre_parse
0000000180a7b788 (__TEXT,__text) non-external _tre_parse_bound
0000000180a71eec (__TEXT,__text) non-external _tre_reset_last_matched_branches
0000000180a7ba20 (__TEXT,__text) non-external _tre_search_cnames
0000000180a759a0 (__TEXT,__text) non-external _tre_set_empty
0000000180a75928 (__TEXT,__text) non-external _tre_set_one
0000000180a759dc (__TEXT,__text) non-external _tre_set_union
0000000180a7bbf0 (__TEXT,__text) external _tre_stack_destroy
0000000180a7bb64 (__TEXT,__text) external _tre_stack_new
