00000001d94df378 (__DATA,__data) non-external _.compoundliteral
00000001836baa70 (__TEXT,__text) non-external _operand_release
00000001836d1fe4 (__TEXT,__text) non-external _operation_expand
00000001d44d49d0 (__DATA_CONST,__const) non-external _operation_info
00000001d44d43d8 (__DATA_CONST,__const) non-external _operation_names
00000001836ba2f8 (__TEXT,__text) non-external _operator_precedence
00000001836abeb0 (__TEXT,__text) non-external _opexe_0
00000001836d3c84 (__TEXT,__text) non-external _opexe_0.cold.1
00000001836d3cb0 (__TEXT,__text) non-external _opexe_0.cold.2
00000001836ae904 (__TEXT,__text) non-external _opexe_1
00000001836af414 (__TEXT,__text) non-external _opexe_2
00000001836b04a0 (__TEXT,__text) non-external _opexe_3
00000001836b0b2c (__TEXT,__text) non-external _opexe_4
00000001836ad328 (__TEXT,__text) non-external _opexe_5
00000001836c7990 (__TEXT,__text) non-external _opexe_6
                 (undefined) external _os_log_type_enabled (from libSystem)
00000001836b32cc (__TEXT,__text) non-external (was a private external) _pair_car
00000001836b3330 (__TEXT,__text) non-external (was a private external) _pair_cdr
00000001836b43d0 (__TEXT,__text) non-external _parse_pattern
00000001836ee963 (__TEXT,__const) non-external _policy_scm
00000001836cc2cc (__TEXT,__text) non-external _populate_modifier_descriptor
00000001836cc6cc (__TEXT,__text) non-external _populate_modifier_msgfilter_descriptor
00000001836b2570 (__TEXT,__text) non-external _port_close
00000001836ab890 (__TEXT,__text) non-external _port_from_string
00000001836b3af0 (__TEXT,__text) non-external _port_rep_from_file
00000001836c6a38 (__TEXT,__text) non-external _previously_emitted_buffer
00000001836c9600 (__TEXT,__text) non-external _printatom
00000001836d27ac (__TEXT,__text) non-external _priortysort
00000001d44d31a0 (__DATA_CONST,__const) non-external _profile_dirs
00000001836bc948 (__TEXT,__text) non-external _push_bytes
00000001836bb2a8 (__TEXT,__text) non-external _push_byteset
00000001836bcb14 (__TEXT,__text) non-external _push_jne_instr
00000001836ba348 (__TEXT,__text) non-external _push_literal
00000001836bccb0 (__TEXT,__text) non-external _push_match_sequence_instr
00000001836c8360 (__TEXT,__text) non-external _push_nop
00000001836b9e74 (__TEXT,__text) non-external _push_operator
00000001836c86f0 (__TEXT,__text) non-external (was a private external) _putcharacter
00000001836c86a0 (__TEXT,__text) non-external (was a private external) _putstr
00000001836ae510 (__TEXT,__text) non-external _readstr_upto
                 (undefined) external _realloc (from libSystem)
                 (undefined) external _reallocf (from libSystem)
00000001836c6be8 (__TEXT,__text) non-external _record_buffer_data
00000001836c6cd8 (__TEXT,__text) non-external _record_condition_data
00000001836bceb4 (__TEXT,__text) non-external _regex_quote
00000001836c30b0 (__TEXT,__text) non-external _reorder_condition
00000001836c32a8 (__TEXT,__text) non-external _reorder_condition_list
00000001836cfc98 (__TEXT,__text) non-external _reorder_policy
00000001836b7c9c (__TEXT,__text) non-external _reverse
00000001836b1a78 (__TEXT,__text) non-external (was a private external) _s_cons
00000001836b1440 (__TEXT,__text) non-external (was a private external) _s_immutable_cons
00000001836ace04 (__TEXT,__text) non-external _s_save
00000001836c733c (__TEXT,__text) external _sandbox_apply
00000001836c7344 (__TEXT,__text) external _sandbox_apply_container
00000001836c9e9c (__TEXT,__text) external _sandbox_compile_entitlements
00000001836a7b68 (__TEXT,__text) external _sandbox_compile_file
00000001836a7ac4 (__TEXT,__text) external _sandbox_compile_named
00000001836c8024 (__TEXT,__text) external _sandbox_compile_string
00000001836ca85c (__TEXT,__text) external _sandbox_container_paths_iterate_items
00000001836a7970 (__TEXT,__text) external _sandbox_create_params
00000001836cacf0 (__TEXT,__text) external _sandbox_exempt_from_network_approval_policy
00000001836c7424 (__TEXT,__text) external _sandbox_free_params
00000001836c73d8 (__TEXT,__text) external _sandbox_free_profile
00000001836c9fe8 (__TEXT,__text) external _sandbox_inspect_pid
00000001836ca0e4 (__TEXT,__text) external _sandbox_inspect_smemory
00000001836ca86c (__TEXT,__text) external _sandbox_prepare_user_home_mount
00000001836cadbc (__TEXT,__text) external _sandbox_register_network_approval_policy_exemption_for_share
00000001836c9ebc (__TEXT,__text) external _sandbox_register_profile
00000001836cb190 (__TEXT,__text) external _sandbox_register_sync_root
00000001836a79cc (__TEXT,__text) external _sandbox_set_param
00000001836ca180 (__TEXT,__text) external _sandbox_set_user_state_item
00000001836ca194 (__TEXT,__text) external _sandbox_set_user_state_item_with_persona
00000001836c9fb0 (__TEXT,__text) external _sandbox_unregister_all_profiles
00000001836c9f5c (__TEXT,__text) external _sandbox_unregister_profile
00000001836ca0ec (__TEXT,__text) external _sandbox_user_state_item_buffer_create
00000001836ca154 (__TEXT,__text) external _sandbox_user_state_item_buffer_destroy
00000001836ca0f4 (__TEXT,__text) external _sandbox_user_state_item_buffer_send
00000001836ca49c (__TEXT,__text) external _sandbox_user_state_iterate_items
00000001836cb31c (__TEXT,__text) non-external _sb_annotation_destroy
00000001836c5530 (__TEXT,__text) non-external _sb_annotation_set_integer
00000001836cba9c (__TEXT,__text) non-external _sb_bitmask_create_empty
00000001836cba0c (__TEXT,__text) non-external _sb_bitmask_release
00000001836aa064 (__TEXT,__text) non-external _sb_buffer_alloc
00000001836bb5b0 (__TEXT,__text) non-external _sb_buffer_get_byte_count
00000001836bb64c (__TEXT,__text) non-external _sb_buffer_get_hash
00000001836bcde0 (__TEXT,__text) non-external _sb_buffer_is_equivalent
00000001836b4a30 (__TEXT,__text) non-external _sb_buffer_release
00000001836bbad8 (__TEXT,__text) non-external _sb_buffer_retain
00000001836cbc0c (__TEXT,__text) non-external _sb_buffer_with_contents_of_file
00000001836bb5fc (__TEXT,__text) non-external _sb_buffer_with_data_pointer
00000001836bb02c (__TEXT,__text) non-external _sb_byteset_add_byte
00000001836cd4c8 (__TEXT,__text) non-external _sb_byteset_copy
00000001836bb320 (__TEXT,__text) non-external _sb_byteset_get_population
00000001836c4900 (__TEXT,__text) non-external _sb_byteset_is_equivalent
00000001836bd57c (__TEXT,__text) non-external _sb_byteset_iterate_ranges
00000001836bb1dc (__TEXT,__text) non-external _sb_byteset_negate
00000001836bafd4 (__TEXT,__text) non-external _sb_byteset_new
00000001836bb15c (__TEXT,__text) non-external _sb_byteset_release
00000001836bb0f4 (__TEXT,__text) non-external _sb_byteset_retain
00000001836bd6e0 (__TEXT,__text) non-external _sb_byteset_union
00000001836a9ec8 (__TEXT,__text) non-external _sb_calloc
00000001836cd8a4 (__TEXT,__text) non-external _sb_condition_boolean
00000001836b7ef8 (__TEXT,__text) non-external _sb_condition_conjunction
00000001836c7e04 (__TEXT,__text) non-external _sb_condition_constant
00000001836b53f8 (__TEXT,__text) non-external _sb_condition_disjunction
00000001836ce0d8 (__TEXT,__text) non-external _sb_condition_is_bitmask
00000001836c0914 (__TEXT,__text) non-external _sb_condition_is_conjunction
00000001836b81f0 (__TEXT,__text) non-external _sb_condition_is_contrary
00000001836bfbe8 (__TEXT,__text) non-external _sb_condition_is_disjunction
00000001836b8970 (__TEXT,__text) non-external _sb_condition_is_equivalent
00000001836c67d4 (__TEXT,__text) non-external _sb_condition_is_integer
00000001836c0b38 (__TEXT,__text) non-external _sb_condition_is_pattern
00000001836b4f10 (__TEXT,__text) non-external _sb_condition_is_regex
00000001836ce050 (__TEXT,__text) non-external _sb_condition_is_string_textbuf
00000001836c0cdc (__TEXT,__text) non-external _sb_condition_is_transposable
00000001836b4f98 (__TEXT,__text) non-external _sb_condition_list_append
00000001836c126c (__TEXT,__text) non-external _sb_condition_list_contains_condition
00000001836c0edc (__TEXT,__text) non-external _sb_condition_list_copy
00000001836bbbe8 (__TEXT,__text) non-external _sb_condition_list_every_condition_matches_predicate
00000001836ce230 (__TEXT,__text) non-external _sb_condition_list_filter
00000001836b78c8 (__TEXT,__text) non-external _sb_condition_list_get_hash
00000001836c4414 (__TEXT,__text) non-external _sb_condition_list_is_equivalent
00000001836b7a78 (__TEXT,__text) non-external _sb_condition_list_iterate
00000001836c18e4 (__TEXT,__text) non-external _sb_condition_list_iterate_reverse
00000001836b31c8 (__TEXT,__text) non-external _sb_condition_list_new
00000001836b39d0 (__TEXT,__text) non-external _sb_condition_list_release
00000001836c100c (__TEXT,__text) non-external _sb_condition_list_remove
00000001836c2174 (__TEXT,__text) non-external _sb_condition_matches_subset
00000001836bfac0 (__TEXT,__text) non-external _sb_condition_negation
00000001836c78fc (__TEXT,__text) non-external _sb_condition_network
00000001836b4b90 (__TEXT,__text) non-external _sb_condition_new
00000001836baf44 (__TEXT,__text) non-external _sb_condition_pattern
00000001836cddf8 (__TEXT,__text) non-external _sb_condition_pattern_literal
00000001836b5844 (__TEXT,__text) non-external _sb_condition_pattern_path
00000001836b525c (__TEXT,__text) non-external _sb_condition_release
00000001836b4e80 (__TEXT,__text) non-external _sb_condition_set_source_info
00000001836bb9ec (__TEXT,__text) non-external _sb_condition_string
00000001836a9b94 (__TEXT,__text) non-external _sb_context_intern_string
00000001836b36d4 (__TEXT,__text) non-external _sb_context_release
00000001836b362c (__TEXT,__text) non-external _sb_context_release_modification
00000001836a9a70 (__TEXT,__text) non-external _sb_context_retain
00000001836ce2b0 (__TEXT,__text) non-external _sb_context_retain_modification
00000001836ce634 (__TEXT,__text) non-external _sb_error_fatal
00000001836ce81c (__TEXT,__text) non-external _sb_error_fatal_for_instruction
00000001836ce680 (__TEXT,__text) non-external _sb_error_for_instruction
00000001836bb464 (__TEXT,__text) non-external _sb_error_new
00000001d44d3518 (__DATA_CONST,__const) non-external _sb_error_out_of_memory.oom_error
00000001836bb3b8 (__TEXT,__text) non-external _sb_error_set_unsupported_with_format
00000001836ce4fc (__TEXT,__text) non-external _sb_error_set_with_description
00000001836ce608 (__TEXT,__text) non-external _sb_error_set_with_format
00000001836ce568 (__TEXT,__text) non-external _sb_error_set_with_formatv
00000001836b1f3c (__TEXT,__text) non-external _sb_filter_accepts_type
00000001836ceb7c (__TEXT,__text) non-external _sb_filter_has_atom_namespace
00000001db982b40 (__DATA_DIRTY,__bss) non-external _sb_filter_has_side_effects.filterset
00000001db982b50 (__DATA_DIRTY,__bss) non-external _sb_filter_has_side_effects.onceToken
00000001836b3e10 (__TEXT,__text) non-external _sb_fsa_acceptor
00000001836b6814 (__TEXT,__text) non-external _sb_fsa_copy
00000001836b663c (__TEXT,__text) non-external _sb_fsa_disjunction
00000001836b6aa8 (__TEXT,__text) non-external _sb_fsa_get_recognizer_child
00000001836c2a40 (__TEXT,__text) non-external _sb_fsa_is_backtracking_recognizer
00000001836c2904 (__TEXT,__text) non-external _sb_fsa_matches_subset
00000001836bd3d0 (__TEXT,__text) non-external _sb_fsa_recognizer_byteset
00000001836bd804 (__TEXT,__text) non-external _sb_fsa_recognizer_byteset_skip
00000001836bd328 (__TEXT,__text) non-external _sb_fsa_recognizer_seek_byte
00000001836bae9c (__TEXT,__text) non-external _sb_fsa_recognizer_seek_byte_with_retry
00000001836b63e4 (__TEXT,__text) non-external _sb_fsa_recognizer_sequence
00000001836b65e4 (__TEXT,__text) non-external _sb_fsa_recognizer_terminal
00000001836cb510 (__TEXT,__text) non-external _sb_fsa_recognizer_variable
00000001836b48f8 (__TEXT,__text) non-external _sb_fsa_release
00000001836b76a4 (__TEXT,__text) non-external _sb_fsa_release_indegree
00000001836b4828 (__TEXT,__text) non-external _sb_fsa_retain
00000001836b6550 (__TEXT,__text) non-external _sb_fsa_retain_indegree
00000001836bd1c8 (__TEXT,__text) non-external _sb_fsa_set_recognizer_child
00000001836a9f38 (__TEXT,__text) non-external _sb_hash_compute
00000001836c9ffc (__TEXT,__text) non-external _sb_inspect_subsystem
00000001836aa2d0 (__TEXT,__text) non-external _sb_instr_action
00000001836b5740 (__TEXT,__text) non-external _sb_instr_conditional
00000001836c4988 (__TEXT,__text) non-external _sb_instr_get_action_modifiers
00000001836bfce4 (__TEXT,__text) non-external _sb_instr_get_jump_target
00000001836bf70c (__TEXT,__text) non-external _sb_instr_is_equivalent
00000001836aa348 (__TEXT,__text) non-external _sb_instr_new
00000001836aa538 (__TEXT,__text) non-external _sb_instr_release
00000001836bf948 (__TEXT,__text) non-external _sb_instr_replace
00000001836aa408 (__TEXT,__text) non-external _sb_instr_retain
00000001836bfe7c (__TEXT,__text) non-external _sb_instr_set_condition
00000001836bb910 (__TEXT,__text) non-external _sb_instr_set_false_branch
00000001836c2044 (__TEXT,__text) non-external _sb_instr_set_true_branch
00000001836aa470 (__TEXT,__text) non-external _sb_instr_track
00000001836a9fa8 (__TEXT,__text) non-external _sb_malloc
00000001836b8f3c (__TEXT,__text) non-external _sb_modifier_requires_argument
00000001836b3490 (__TEXT,__text) non-external _sb_modifiers_iterate
00000001836b3518 (__TEXT,__text) non-external _sb_modifiers_release
00000001836cf0a8 (__TEXT,__text) non-external _sb_msgfilter_release
00000001836c7104 (__TEXT,__text) non-external _sb_mutable_buffer_make_immutable
00000001836be348 (__TEXT,__text) non-external _sb_mutable_buffer_new
00000001836c71f8 (__TEXT,__text) non-external _sb_mutable_buffer_release
00000001836c55d0 (__TEXT,__text) non-external _sb_mutable_buffer_set_minimum_size
00000001836c5678 (__TEXT,__text) non-external _sb_mutable_buffer_write
00000001836c9890 (__TEXT,__text) non-external (was a private external) _sb_packbuff_free
00000001836d3e3c (__TEXT,__text) non-external _sb_packbuff_free.cold.1
00000001836c9930 (__TEXT,__text) non-external (was a private external) _sb_packbuff_get_bytes
00000001836c9940 (__TEXT,__text) non-external (was a private external) _sb_packbuff_get_item_value_type
00000001836c9938 (__TEXT,__text) non-external (was a private external) _sb_packbuff_get_size
00000001836c9818 (__TEXT,__text) non-external (was a private external) _sb_packbuff_init_with_buffer
00000001836c96c4 (__TEXT,__text) non-external (was a private external) _sb_packbuff_new
00000001836c9b78 (__TEXT,__text) non-external _sb_packbuff_pack_item
00000001836d3efc (__TEXT,__text) non-external _sb_packbuff_pack_item.cold.1
00000001836d3f28 (__TEXT,__text) non-external _sb_packbuff_pack_item.cold.2
00000001836c9cec (__TEXT,__text) non-external (was a private external) _sb_packbuff_pack_key_with_string_value
00000001836c9cb8 (__TEXT,__text) non-external (was a private external) _sb_packbuff_pack_string
00000001836c9b60 (__TEXT,__text) non-external (was a private external) _sb_packbuff_pack_uint32
00000001836c9754 (__TEXT,__text) non-external _sb_packbuff_realloc
00000001836c99f8 (__TEXT,__text) non-external _sb_packbuff_unpack_item
00000001836d3ed0 (__TEXT,__text) non-external _sb_packbuff_unpack_item.cold.1
00000001836c9dc4 (__TEXT,__text) non-external (was a private external) _sb_packbuff_unpack_key_with_string_value
00000001836c9adc (__TEXT,__text) non-external (was a private external) _sb_packbuff_unpack_string
00000001836c9980 (__TEXT,__text) non-external (was a private external) _sb_packbuff_unpack_uint32
00000001836bb7e8 (__TEXT,__text) non-external _sb_pattern_is_disjoint_with_regex
00000001836b4890 (__TEXT,__text) non-external _sb_pattern_new
00000001836b3d44 (__TEXT,__text) non-external _sb_pattern_prefix
00000001836b9160 (__TEXT,__text) non-external _sb_pattern_regex
00000001836b4dbc (__TEXT,__text) non-external _sb_pattern_release
00000001836b4d54 (__TEXT,__text) non-external _sb_pattern_retain
00000001836bbfe0 (__TEXT,__text) non-external _sb_pattern_serialize
00000001836d34c8 (__TEXT,__text) non-external _sb_pattern_var_release
00000001836d3460 (__TEXT,__text) non-external _sb_pattern_var_retain
00000001836d35e4 (__TEXT,__text) non-external _sb_pattern_var_set_ordinal
00000001836d3868 (__TEXT,__text) non-external _sb_pattern_varset_enter
00000001836d3a94 (__TEXT,__text) non-external _sb_pattern_varset_get_available_ordinal
00000001836d3804 (__TEXT,__text) non-external _sb_pattern_varset_new_internal
00000001836c7f14 (__TEXT,__text) non-external _sb_pattern_varset_release
00000001836c7e48 (__TEXT,__text) non-external _sb_pattern_varset_retain
00000001836cf938 (__TEXT,__text) non-external _sb_policy_get_entry_point
00000001836cf85c (__TEXT,__text) non-external _sb_policy_is_equivalent
00000001836cf7fc (__TEXT,__text) non-external _sb_policy_is_operation_supported
00000001836cf994 (__TEXT,__text) non-external _sb_policy_iterate_entry_points
00000001836cf444 (__TEXT,__text) non-external _sb_policy_new
00000001836cf678 (__TEXT,__text) non-external _sb_policy_release
00000001836cf730 (__TEXT,__text) non-external _sb_policy_set_entry_point
00000001836be280 (__TEXT,__text) non-external _sb_profile_release
00000001836c7eb0 (__TEXT,__text) non-external _sb_profile_set_pattern_variables
00000001836c8040 (__TEXT,__text) non-external _sb_program_add_source_buffer
00000001836aa0f4 (__TEXT,__text) non-external _sb_program_source_alloc
00000001836bcaa4 (__TEXT,__text) non-external _sb_realloc
00000001836bb694 (__TEXT,__text) non-external _sb_regex_release
00000001836be01c (__TEXT,__text) non-external _sb_sbpl_parser_release
00000001836bb570 (__TEXT,__text) non-external _sb_textbuf_get_length
00000001836b5af4 (__TEXT,__text) non-external _sb_textbuf_with_normalized_string_copy
00000001836a9ad8 (__TEXT,__text) non-external _sb_textbuf_with_string_copy
00000001836bb754 (__TEXT,__text) non-external _sb_textbuf_with_substring_copy
00000001836ce478 (__TEXT,__text) non-external _sb_transform_eliminate_dead_code_profile
00000001836c1570 (__TEXT,__text) non-external _sb_transform_expand_logical_conditions_profile
00000001836cfe30 (__TEXT,__text) non-external _sb_transform_resolve_jumps_policy
00000001836bf0b8 (__TEXT,__text) non-external _sb_transform_synthesize_logical_conditions_profile
00000001836bdec8 (__TEXT,__text) non-external _sb_visitor_has_visited
00000001836bdb2c (__TEXT,__text) non-external _sb_visitor_new
00000001836bdf78 (__TEXT,__text) non-external _sb_visitor_release
00000001836d3b54 (__TEXT,__text) non-external _sb_warn
00000001836f1868 (__TEXT,__const) non-external _sbpl1_scm
00000001836f227b (__TEXT,__const) non-external _sbpl2_scm
00000001836f22fb (__TEXT,__const) non-external _sbpl3_scm
00000001836d10e8 (__TEXT,__text) non-external _sbpl_enter_message_filter_context
00000001836d0a64 (__TEXT,__text) non-external _sbpl_filter_eqv
00000001836d0fc8 (__TEXT,__text) non-external _sbpl_leave_message_filter_context
00000001836d0918 (__TEXT,__text) non-external _sbpl_operation_eqv
00000001836eb261 (__TEXT,__const) non-external _sbpl_scm
00000001836bd934 (__TEXT,__text) non-external (was a private external) _scheme_call
00000001836b1548 (__TEXT,__text) non-external (was a private external) _scheme_define
00000001836be0ec (__TEXT,__text) non-external (was a private external) _scheme_deinit
00000001836aad6c (__TEXT,__text) non-external (was a private external) _scheme_enable_full_backtraces
00000001836c88a0 (__TEXT,__text) non-external (was a private external) _scheme_error
00000001836c8c10 (__TEXT,__text) non-external (was a private external) _scheme_errorf
00000001836bd118 (__TEXT,__text) non-external (was a private external) _scheme_get_external_data
00000001836bd8e8 (__TEXT,__text) non-external (was a private external) _scheme_global
00000001836aa774 (__TEXT,__text) non-external (was a private external) _scheme_init_custom_alloc
00000001836aa714 (__TEXT,__text) non-external (was a private external) _scheme_init_new
00000001836b1c70 (__TEXT,__text) non-external (was a private external) _scheme_load_file
00000001836ab950 (__TEXT,__text) non-external (was a private external) _scheme_load_string
00000001836b2450 (__TEXT,__text) non-external (was a private external) _scheme_push_string
00000001836c8c80 (__TEXT,__text) non-external (was a private external) _scheme_quit
00000001836ab924 (__TEXT,__text) non-external (was a private external) _scheme_set_error_port_string
00000001836ab85c (__TEXT,__text) non-external (was a private external) _scheme_set_external_data
00000001836ab864 (__TEXT,__text) non-external (was a private external) _scheme_set_output_port_string
00000001836c872c (__TEXT,__text) non-external (was a private external) _scheme_write_to_string
00000001836b6d3c (__TEXT,__text) non-external _shallow_copy_node
00000001836c1d60 (__TEXT,__text) non-external _skip_redundant_instructions
                 (undefined) external _snprintf (from libSystem)
00000001836c42c4 (__TEXT,__text) non-external _split_node
                 (undefined) external _sscanf (from libSystem)
00000001836ab680 (__TEXT,__text) non-external _store_string
                 (undefined) external _strcasecmp (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcspn (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strerror (from libSystem)
00000001836bd110 (__TEXT,__text) non-external (was a private external) _string_length
00000001836b3d3c (__TEXT,__text) non-external (was a private external) _string_value
                 (undefined) external _strlcat (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strnlen (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strsep (from libSystem)
                 (undefined) external _strspn (from libSystem)
                 (undefined) external _strstr (from libSystem)
                 (undefined) external _strtod (from libSystem)
                 (undefined) external _strtol (from libSystem)
00000001836b15c4 (__TEXT,__text) non-external (was a private external) _symname
00000001836bf110 (__TEXT,__text) non-external _synthesize_logical_conditions
00000001836ced8c (__TEXT,__text) non-external _synthesize_logical_conditions_policy
00000001dd50f7d0 (__AUTH_CONST,__const) non-external _tests
00000001836ace8c (__TEXT,__text) non-external _token
00000001836bdcac (__TEXT,__text) non-external _traverse_postorder
00000001836cebe0 (__TEXT,__text) non-external _traverse_preorder
00000001836cd938 (__TEXT,__text) non-external _type_mismatch_error
                 (undefined) external _ungetc (from libSystem)
00000001836d2624 (__TEXT,__text) non-external _unicode_decompose
00000001836b6384 (__TEXT,__text) non-external _unicode_decomposeable
00000001836d26b0 (__TEXT,__text) non-external _unicode_recursive_decompose
00000001836f231c (__TEXT,__const) non-external _utf_extrabytes
                 (undefined) external _uuid_unparse_lower (from libSystem)
00000001836d0cf0 (__TEXT,__text) non-external _variable_quote
                 (undefined) external _vasprintf (from libSystem)
00000001836d2404 (__TEXT,__text) non-external _version
00000001836cfadc (__TEXT,__text) non-external _visited_list_done
                 (undefined) external _vm_deallocate (from libSystem)
                 (undefined) weak external _voucher_mach_msg_set (from libSystem)
00000001836b1650 (__TEXT,__text) non-external _xpc2sc
                 (undefined) external _xpc_array_get_count (from libSystem)
                 (undefined) external _xpc_array_get_value (from libSystem)
                 (undefined) external _xpc_bool_get_value (from libSystem)
                 (undefined) external _xpc_dictionary_apply (from libSystem)
                 (undefined) external _xpc_dictionary_create (from libSystem)
                 (undefined) external _xpc_dictionary_get_value (from libSystem)
                 (undefined) external _xpc_dictionary_set_string (from libSystem)
                 (undefined) external _xpc_dictionary_set_value (from libSystem)
                 (undefined) external _xpc_get_type (from libSystem)
                 (undefined) external _xpc_int64_get_value (from libSystem)
                 (undefined) external _xpc_release (from libSystem)
                 (undefined) external _xpc_retain (from libSystem)
                 (undefined) external _xpc_string_get_string_ptr (from libSystem)
                 (undefined) external _xpc_uint64_get_value (from libSystem)
                 (undefined) external _xpc_uuid_get_bytes (from libSystem)
