00000001d5a96d78 (__DATA,__data) non-external _C
000000018032c1ec (__TEXT,__text) external _inet_nsap_addr
000000018032c350 (__TEXT,__text) external _inet_nsap_ntoa
00000001802ff27c (__TEXT,__text) external _inet_ntoa
00000001d5a98a40 (__DATA,__bss) non-external _inet_ntoa.ret
00000001802e4b78 (__TEXT,__text) external _inet_ntop
00000001802e4bec (__TEXT,__text) external _inet_ntop4
00000001802f0e70 (__TEXT,__text) external _inet_ntop6
00000001802e37a8 (__TEXT,__text) external _inet_pton
00000001802e3b3c (__TEXT,__text) non-external _inet_pton4
000000018034ceb9 (__TEXT,__const) non-external _inet_pton4.digits
000000018034cec4 (__TEXT,__const) non-external _inet_pton6.xdigits_l
000000018034ced5 (__TEXT,__const) non-external _inet_pton6.xdigits_u
0000000180307820 (__TEXT,__text) non-external _infinity
00000001803079c4 (__TEXT,__text) non-external _initMPFromDigits
000000018034b468 (__TEXT,__const) non-external _initMPFromDigits.powersOfTen
0000000180309194 (__TEXT,__text) non-external _init_perm
000000018030afe4 (__TEXT,__text) non-external _initshells
000000018033c58c (__TEXT,__text) external _initstate
00000001802e8fcc (__TEXT,__text) non-external _insertionsort
000000018033e104 (__TEXT,__text) non-external _insertionsort
000000018033acd8 (__TEXT,__text) external _insque
                 (undefined) external _ioctl (from libsystem_kernel)
000000018030d5e4 (__TEXT,__text) external _isalnum
000000018030dde0 (__TEXT,__text) external _isalnum_l
000000018030d65c (__TEXT,__text) external _isalpha
000000018030de5c (__TEXT,__text) external _isalpha_l
000000018030d5d8 (__TEXT,__text) external _isascii
00000001802e6388 (__TEXT,__text) external _isatty
000000018030d6cc (__TEXT,__text) external _isblank
000000018030ded0 (__TEXT,__text) external _isblank_l
000000018030d73c (__TEXT,__text) external _iscntrl
000000018030df44 (__TEXT,__text) external _iscntrl_l
00000001802feed8 (__TEXT,__text) external _isdigit
000000018030dfb8 (__TEXT,__text) external _isdigit_l
000000018030d7ac (__TEXT,__text) external _isgraph
000000018030e02c (__TEXT,__text) external _isgraph_l
000000018030dae4 (__TEXT,__text) external _ishexnumber
000000018030e0a0 (__TEXT,__text) external _ishexnumber_l
000000018030db54 (__TEXT,__text) external _isideogram
000000018030e114 (__TEXT,__text) external _isideogram_l
000000018030d81c (__TEXT,__text) external _islower
000000018030e188 (__TEXT,__text) external _islower_l
000000018030dbc4 (__TEXT,__text) external _isnumber
000000018030e1fc (__TEXT,__text) external _isnumber_l
000000018030dc34 (__TEXT,__text) external _isphonogram
000000018030e270 (__TEXT,__text) external _isphonogram_l
000000018030d88c (__TEXT,__text) external _isprint
000000018030e2e4 (__TEXT,__text) external _isprint_l
000000018030d8fc (__TEXT,__text) external _ispunct
000000018030e358 (__TEXT,__text) external _ispunct_l
000000018030dca4 (__TEXT,__text) external _isrune
000000018030e3cc (__TEXT,__text) external _isrune_l
                 (undefined) external _issetugid (from libsystem_kernel)
000000018030d96c (__TEXT,__text) external _isspace
000000018030e450 (__TEXT,__text) external _isspace_l
000000018030dd18 (__TEXT,__text) external _isspecial
000000018030e4c4 (__TEXT,__text) external _isspecial_l
00000001802f5afc (__TEXT,__text) non-external _istrsenvisx
00000001803492e4 (__TEXT,__text) non-external _istrsenvisx.cold.1
0000000180349310 (__TEXT,__text) non-external _istrsenvisx.cold.2
000000018034933c (__TEXT,__text) non-external _istrsenvisx.cold.3
0000000180349368 (__TEXT,__text) non-external _istrsenvisx.cold.4
00000001802f5a7c (__TEXT,__text) non-external _istrsenvisxl
000000018030d9dc (__TEXT,__text) external _isupper
000000018030e538 (__TEXT,__text) external _isupper_l
000000018030e660 (__TEXT,__text) external _iswalnum
000000018030eba0 (__TEXT,__text) external _iswalnum_l
000000018030e6d8 (__TEXT,__text) external _iswalpha
000000018030ec1c (__TEXT,__text) external _iswalpha_l
000000018030f1e8 (__TEXT,__text) external _iswascii
000000018030f178 (__TEXT,__text) external _iswblank
000000018030f498 (__TEXT,__text) external _iswblank_l
000000018030e748 (__TEXT,__text) external _iswcntrl
000000018030ec90 (__TEXT,__text) external _iswcntrl_l
000000018030e7b8 (__TEXT,__text) external _iswctype
000000018030ed04 (__TEXT,__text) external _iswctype_l
000000018030e838 (__TEXT,__text) external _iswdigit
000000018030ed98 (__TEXT,__text) external _iswdigit_l
000000018030e860 (__TEXT,__text) external _iswgraph
000000018030ee0c (__TEXT,__text) external _iswgraph_l
000000018030f1f4 (__TEXT,__text) external _iswhexnumber
000000018030f50c (__TEXT,__text) external _iswhexnumber_l
000000018030f264 (__TEXT,__text) external _iswideogram
000000018030f580 (__TEXT,__text) external _iswideogram_l
000000018030e8d0 (__TEXT,__text) external _iswlower
000000018030ee80 (__TEXT,__text) external _iswlower_l
000000018030f2d4 (__TEXT,__text) external _iswnumber
000000018030f5f4 (__TEXT,__text) external _iswnumber_l
000000018030f344 (__TEXT,__text) external _iswphonogram
000000018030f668 (__TEXT,__text) external _iswphonogram_l
000000018030e940 (__TEXT,__text) external _iswprint
000000018030eef4 (__TEXT,__text) external _iswprint_l
000000018030e9b0 (__TEXT,__text) external _iswpunct
000000018030ef68 (__TEXT,__text) external _iswpunct_l
000000018030f3b4 (__TEXT,__text) external _iswrune
000000018030f6dc (__TEXT,__text) external _iswrune_l
000000018030ea20 (__TEXT,__text) external _iswspace
000000018030efdc (__TEXT,__text) external _iswspace_l
000000018030f428 (__TEXT,__text) external _iswspecial
000000018030f760 (__TEXT,__text) external _iswspecial_l
000000018030ea90 (__TEXT,__text) external _iswupper
000000018030f050 (__TEXT,__text) external _iswupper_l
000000018030eb00 (__TEXT,__text) external _iswxdigit
000000018030f0c4 (__TEXT,__text) external _iswxdigit_l
00000001802feeb0 (__TEXT,__text) external _isxdigit
000000018030e5ac (__TEXT,__text) external _isxdigit_l
000000018034ddeb (__TEXT,__cstring) non-external _itoa64
0000000180321f9c (__TEXT,__text) external _jrand48
00000001d39119b8 (__DATA_CONST,__const) external _kOSThermalNotificationPressureLevelName
                 (undefined) external _kill (from libsystem_kernel)
00000001802ff4e4 (__TEXT,__text) external _killpg
000000018033db78 (__TEXT,__text) external _l64a
00000001d5a98d00 (__DATA,__bss) non-external _l64a.buf
000000018033acfc (__TEXT,__text) external _labs
0000000180326330 (__TEXT,__text) non-external _largesearch
00000001d5a98c68 (__DATA,__bss) non-external _last_default_tzload_mtimespec
00000001d5a97030 (__DATA,__data) non-external _lastglue
0000000180307fcc (__TEXT,__text) external _lchflags
00000001802f0b08 (__TEXT,__text) external _lchmod
00000001d5a98b10 (__DATA,__bss) non-external _lcl_TZname
00000001d6c24968 (__DATA_DIRTY,__data) non-external _lcl_notify
00000001d6c24890 (__DATA_DIRTY,__data) non-external (was a private external) _lcl_rwlock
00000001d6c262d0 (__DATA_DIRTY,__bss) non-external _lclptr
0000000180321fe0 (__TEXT,__text) external _lcong48
000000018033ad08 (__TEXT,__text) external _ldiv
000000018033ae00 (__TEXT,__text) external _lfind
0000000180330b2c (__TEXT,__text) non-external _lflush
000000018032bf38 (__TEXT,__text) external _link_addr
000000018032c0f4 (__TEXT,__text) external _link_ntoa
00000001d5a98a52 (__DATA,__bss) non-external _link_ntoa.obuf
000000018033ad34 (__TEXT,__text) external _llabs
000000018033ad40 (__TEXT,__text) external _lldiv
000000018032cf44 (__TEXT,__text) non-external _loadCat
00000001802f3110 (__TEXT,__text) non-external _loadlocale
00000001803044c0 (__TEXT,__text) external _localeconv
00000001802d7bac (__TEXT,__text) external _localeconv_l
0000000180349394 (__TEXT,__text) non-external _localeconv_l.cold.1
00000001803493b0 (__TEXT,__text) non-external _localeconv_l.cold.2
00000001802df718 (__TEXT,__text) external _localtime
00000001d6c262d8 (__DATA_DIRTY,__bss) non-external _localtime_key
00000001d5a98c10 (__DATA,__bss) non-external _localtime_key_error
00000001802df7f8 (__TEXT,__text) non-external _localtime_key_init
00000001d6c24970 (__DATA_DIRTY,__data) non-external _localtime_once
00000001802d9dd0 (__TEXT,__text) external _localtime_r
00000001803053ec (__TEXT,__text) external _lockf
0000000180322024 (__TEXT,__text) external _lockf$NOCANCEL
00000001803137e8 (__TEXT,__text) external _login
000000018031237c (__TEXT,__text) external _login_tty
00000001803138a0 (__TEXT,__text) external _logout
0000000180312400 (__TEXT,__text) external _logwtmp
000000018032211c (__TEXT,__text) external _lrand48
000000018033ad6c (__TEXT,__text) external _lsearch
                 (undefined) external _lseek (from libsystem_kernel)
                 (undefined) external _lstat (from libsystem_kernel)
0000000180312d84 (__TEXT,__text) external _lstatx_np
00000001802e95f4 (__TEXT,__text) non-external _lstatx_syscall
00000001802fe370 (__TEXT,__text) external _lutimes
                 (undefined) external _mach_absolute_time (from libsystem_kernel)
                 (undefined) external _mach_approximate_time (from libsystem_kernel)
                 (undefined) external _mach_boottime_usec (from libsystem_kernel)
                 (undefined) external _mach_continuous_approximate_time (from libsystem_kernel)
                 (undefined) external _mach_continuous_time (from libsystem_kernel)
                 (undefined) external _mach_error_string (from libsystem_kernel)
                 (undefined) external _mach_host_self (from libsystem_kernel)
                 (undefined) external _mach_port_deallocate (from libsystem_kernel)
                 (undefined) external _mach_task_self_ (from libsystem_kernel)
                 (undefined) external _mach_timebase_info (from libsystem_kernel)
                 (undefined) external _malloc (from libsystem_malloc)
00000001d3911530 (__DATA_CONST,__const) non-external _mapping
00000001802fc280 (__TEXT,__text) external _mblen
00000001802fc2fc (__TEXT,__text) external _mblen_l
00000001803132a8 (__TEXT,__text) external _mbmb
00000001d5a986d0 (__DATA,__bss) non-external _mbmb.warn_depreciated
                 (undefined) external _mbr_gid_to_uuid (from libsystem_info)
                 (undefined) external _mbr_uid_to_uuid (from libsystem_info)
                 (undefined) external _mbr_uuid_to_id (from libsystem_info)
00000001802fc378 (__TEXT,__text) external _mbrlen
0000000180327b4c (__TEXT,__text) external _mbrlen_l
00000001803131ec (__TEXT,__text) external _mbrrune
00000001d5a986cc (__DATA,__bss) non-external _mbrrune.warn_depreciated
00000001802fef14 (__TEXT,__text) external _mbrtowc
00000001802fc9bc (__TEXT,__text) external _mbrtowc_l
0000000180313148 (__TEXT,__text) external _mbrune
00000001d5a986c8 (__DATA,__bss) non-external _mbrune.warn_depreciated
0000000180327bc8 (__TEXT,__text) external _mbsinit
0000000180327b98 (__TEXT,__text) external _mbsinit_l
0000000180327c38 (__TEXT,__text) external _mbsnrtowcs
0000000180327bfc (__TEXT,__text) external _mbsnrtowcs_l
0000000180327df0 (__TEXT,__text) external _mbsrtowcs
0000000180327da8 (__TEXT,__text) external _mbsrtowcs_l
00000001802f6344 (__TEXT,__text) external _mbstowcs
0000000180327e3c (__TEXT,__text) external _mbstowcs_l
00000001802f60e0 (__TEXT,__text) external _mbtowc
00000001802d9270 (__TEXT,__text) external _mbtowc_l
                 (indirect) external _memccpy (for __platform_memccpy)
                 (indirect) external _memchr (for __platform_memchr)
                 (indirect) external _memcmp (for __platform_memcmp)
                 (indirect) external _memcpy (for __platform_memmove)
00000001802e7880 (__TEXT,__text) external _memmem
                 (indirect) external _memmove (for __platform_memmove)
                 (indirect) external _memset (for __platform_memset)
                 (indirect) external _memset_pattern16 (for __platform_memset_pattern16)
                 (indirect) external _memset_pattern4 (for __platform_memset_pattern4)
                 (indirect) external _memset_pattern8 (for __platform_memset_pattern8)
00000001802d4764 (__TEXT,__text) external _memset_s
000000018032af44 (__TEXT,__text) non-external _memstream_close
000000018032aeb0 (__TEXT,__text) non-external _memstream_seek
00000001803493f8 (__TEXT,__text) non-external _memstream_seek.cold.1
0000000180349424 (__TEXT,__text) non-external _memstream_seek.cold.2
000000018032ad6c (__TEXT,__text) non-external _memstream_update
00000001803493cc (__TEXT,__text) non-external _memstream_update.cold.1
000000018032ada4 (__TEXT,__text) non-external _memstream_write
00000001802e8850 (__TEXT,__text) external _mergesort
00000001802f73e8 (__TEXT,__text) external _mergesort_b
                 (undefined) external _mkdirat (from libsystem_kernel)
0000000180312c18 (__TEXT,__text) external _mkdirx_np
00000001802ff2dc (__TEXT,__text) external _mkdtemp
000000018032ee14 (__TEXT,__text) external _mkdtempat_np
0000000180312c04 (__TEXT,__text) external _mkfifox_np
000000018032ed90 (__TEXT,__text) external _mkostemp
000000018032ec4c (__TEXT,__text) external _mkostemps
000000018032ecd0 (__TEXT,__text) external _mkostempsat_np
00000001802e0c40 (__TEXT,__text) external _mkpath_np
0000000180312518 (__TEXT,__text) external _mkpathat_np
00000001802fcbe4 (__TEXT,__text) external _mkstemp
000000018032eeb4 (__TEXT,__text) external _mkstemp_dprotected_np
00000001802f0b54 (__TEXT,__text) external _mkstemps
000000018032ed44 (__TEXT,__text) external _mkstempsat_np
00000001802e73e0 (__TEXT,__text) external _mktemp
00000001802e9648 (__TEXT,__text) external _mktime
                 (undefined) external _mmap (from libsystem_kernel)
000000018034cc44 (__TEXT,__const) non-external _mon_lengths
000000018030d5c0 (__TEXT,__text) external _monaddition
000000018030d5d0 (__TEXT,__text) external _moncontrol
000000018030d5d4 (__TEXT,__text) external _moncount
000000018030d5b8 (__TEXT,__text) external _moninit
000000018030d5cc (__TEXT,__text) external _monitor
000000018030d5c8 (__TEXT,__text) external _monoutput
000000018030d5c4 (__TEXT,__text) external _monreset
000000018030d5bc (__TEXT,__text) external _monstartup
000000018032dcac (__TEXT,__text) non-external _moreglue
000000018031be14 (__TEXT,__text) non-external _mpool_bkt
000000018031c0e8 (__TEXT,__text) external _mpool_close
000000018031bd5c (__TEXT,__text) external _mpool_filter
000000018031bf00 (__TEXT,__text) external _mpool_get
000000018031bd6c (__TEXT,__text) external _mpool_new
0000000180348b0c (__TEXT,__text) non-external _mpool_new.cold.1
000000018031bc70 (__TEXT,__text) external _mpool_open
000000018031c0cc (__TEXT,__text) external _mpool_put
000000018031c144 (__TEXT,__text) external _mpool_sync
000000018031c1b8 (__TEXT,__text) non-external _mpool_write
0000000180322150 (__TEXT,__text) external _mrand48
0000000180314240 (__TEXT,__text) non-external _mswap
0000000180307b74 (__TEXT,__text) non-external _multiplyByFiveToTheN
                 (undefined) external _munmap (from libsystem_kernel)
00000001d5a98668 (__DATA,__bss) non-external _namebuf
00000001802e021c (__TEXT,__text) external _nanosleep
00000001802f9b2c (__TEXT,__text) external _nanosleep$NOCANCEL
00000001d5a98860 (__DATA,__bss) non-external _new_categories
0000000180311cbc (__TEXT,__text) external _new_printf_comp
00000001803008cc (__TEXT,__text) external _new_printf_domain
00000001802e5cc4 (__TEXT,__text) external _newlocale
00000001d6c249c8 (__DATA_DIRTY,__data) non-external _next
000000018031fdcc (__TEXT,__text) non-external _nextcomp
00000001d5a986e8 (__DATA,__bss) non-external _nextcomp.lmsgverb
00000001d5a98708 (__DATA,__bss) non-external _nextcomp.state
0000000180328214 (__TEXT,__text) external _nextwctype
0000000180328088 (__TEXT,__text) external _nextwctype_l
000000018030b750 (__TEXT,__text) external _nftw
0000000180322184 (__TEXT,__text) external _nice
00000001803039dc (__TEXT,__text) external _nl_langinfo
0000000180303a00 (__TEXT,__text) external _nl_langinfo_l
00000001d5a98858 (__DATA,__bss) non-external _nl_langinfo_l.csym
000000018034cdc1 (__TEXT,__const) non-external _noarg
000000018034c960 (__TEXT,__const) non-external _nogrouping
00000001d5a97094 (__DATA,__data) non-external _nonopt_end
00000001d5a97098 (__DATA,__data) non-external _nonopt_start
                 (undefined) external _notify_cancel (from libsystem_notify)
                 (undefined) external _notify_check (from libsystem_notify)
00000001802da300 (__TEXT,__text) non-external _notify_check_tz
                 (undefined) external _notify_monitor_file (from libsystem_notify)
                 (undefined) external _notify_post (from libsystem_notify)
                 (undefined) external _notify_register_check (from libsystem_notify)
00000001802db93c (__TEXT,__text) non-external _notify_register_tz
000000018034cc20 (__TEXT,__const) non-external _notify_tz_name
0000000180322244 (__TEXT,__text) external _nrand48
0000000180315850 (__TEXT,__text) non-external _nroot
00000001d5a96e8c (__DATA,__data) non-external _numempty
00000001d5a96ef0 (__DATA,__data) non-external _numempty
000000018034c4a0 (__TEXT,__const) non-external _nv
0000000180325500 (__TEXT,__text) external _nvis
00000001d5a97130 (__DATA,__data) external _off32
00000001d5a97188 (__DATA,__data) external _off64
00000001803376b0 (__TEXT,__text) external _offtime
00000001d3911518 (__DATA_CONST,__const) non-external _okshells
                 (undefined) external _open$NOCANCEL (from libsystem_kernel)
                 (undefined) external _open_dprotected_np (from libsystem_kernel)
000000018032ac4c (__TEXT,__text) external _open_memstream
00000001803112b0 (__TEXT,__text) external _open_with_subsystem
0000000180337200 (__TEXT,__text) external _open_wmemstream
                 (undefined) external _openat$NOCANCEL (from libsystem_kernel)
0000000180312590 (__TEXT,__text) external _opendev
0000000180312778 (__TEXT,__text) non-external _opendev_namebuf_init
00000001d5a96d90 (__DATA,__data) non-external _opendev_namebuf_once
0000000180322288 (__TEXT,__text) external _opendir
0000000180322608 (__TEXT,__text) non-external _opendir_compar
00000001802f5704 (__TEXT,__text) external _openpty
0000000180304a7c (__TEXT,__text) external _openx_np
00000001d5a98da0 (__DATA,__common) external _optarg
00000001d5a97080 (__DATA,__data) external _opterr
00000001d6c249c4 (__DATA_DIRTY,__data) external _optind
00000001d5a98d9c (__DATA,__common) external _optopt
00000001d5a98d98 (__DATA,__common) external _optreset
                 (undefined) external _os_log_simple_type_from_asl (from libsystem_platform)
                 (undefined) external _os_log_type_enabled (from libsystem_trace)
                 (undefined) external _os_unfair_lock_lock (from libsystem_platform)
                 (undefined) external _os_unfair_lock_lock_with_options (from libsystem_platform)
                 (undefined) external _os_unfair_lock_unlock (from libsystem_platform)
00000001d6c24aa0 (__DATA_DIRTY,__bss) non-external _p5s
000000018034ca09 (__TEXT,__const) non-external _padchar
00000001d5a97fba (__DATA,__bss) non-external _parse_error
00000001802fe83c (__TEXT,__text) non-external _parse_long_options
00000001d5a97fb8 (__DATA,__bss) non-external _parsed
                 (undefined) external _pathconf (from libsystem_kernel)
0000000180347678 (__TEXT,__text) external _pause
000000018032261c (__TEXT,__text) external _pause$NOCANCEL
000000018032299c (__TEXT,__text) external _pclose
0000000180308b14 (__TEXT,__text) non-external _permute
000000018033a874 (__TEXT,__text) non-external _permute_args
00000001803495dc (__TEXT,__text) external _perror
00000001d5a98740 (__DATA,__bss) non-external _pfp
                 (undefined) external _pipe (from libsystem_kernel)
00000001d5a970a0 (__DATA,__data) non-external _place
0000000180322654 (__TEXT,__text) external _popen
000000018034795c (__TEXT,__text) external _popen$DARWIN_EXTSN
000000018033775c (__TEXT,__text) external _posix2time
00000001802f582c (__TEXT,__text) external _posix_openpt
                 (undefined) external _posix_spawn (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_addclose (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_adddup2 (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_addinherit_np (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_destroy (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_init (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_destroy (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_init (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_setflags (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_setsigdefault (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_setsigmask (from libsystem_kernel)
0000000180302d88 (__TEXT,__text) external _posix_spawnp
000000018034b9c8 (__TEXT,__const) non-external _powersOf10_CoarseBinary64
000000018034b5a0 (__TEXT,__const) non-external _powersOf10_Float
000000018034b490 (__TEXT,__const) non-external _powersOfFive
                 (undefined) external _pread$NOCANCEL (from libsystem_kernel)
00000001802fef54 (__TEXT,__text) external _printf
00000001d5a98d20 (__DATA,__bss) non-external _printf_info_queue
000000018033097c (__TEXT,__text) external _printf_l
000000018031fb2c (__TEXT,__text) non-external _printfmt
                 (undefined) external _proc_name (from libsystem_kernel)
0000000180322a98 (__TEXT,__text) external _psignal
000000018033e1cc (__TEXT,__text) external _psort
000000018033ecfc (__TEXT,__text) external _psort_b
00000001802ff088 (__TEXT,__text) external _psort_r
                 (undefined) external _pthread_fchdir_np (from libsystem_pthread)
                 (undefined) external _pthread_get_stackaddr_np (from libsystem_pthread)
                 (undefined) external _pthread_get_stacksize_np (from libsystem_pthread)
                 (undefined) external _pthread_getspecific (from libsystem_pthread)
                 (undefined) external _pthread_key_create (from libsystem_pthread)
                 (undefined) external _pthread_key_init_np (from libsystem_pthread)
                 (undefined) external _pthread_kill (from libsystem_pthread)
                 (undefined) external _pthread_mutex_destroy (from libsystem_pthread)
                 (undefined) external _pthread_mutex_init (from libsystem_pthread)
                 (undefined) external _pthread_mutex_lock (from libsystem_pthread)
                 (undefined) external _pthread_mutex_trylock (from libsystem_pthread)
                 (undefined) external _pthread_mutex_unlock (from libsystem_pthread)
                 (undefined) external _pthread_once (from libsystem_pthread)
                 (undefined) external _pthread_rwlock_destroy (from libsystem_pthread)
                 (undefined) external _pthread_rwlock_rdlock (from libsystem_pthread)
                 (undefined) external _pthread_rwlock_unlock (from libsystem_pthread)
                 (undefined) external _pthread_rwlock_wrlock (from libsystem_pthread)
                 (undefined) external _pthread_self (from libsystem_pthread)
                 (undefined) external _pthread_setspecific (from libsystem_pthread)
                 (undefined) external _pthread_sigmask (from libsystem_pthread)
                 (undefined) external _pthread_stack_frame_decode_np (from libsystem_pthread)
                 (undefined) external _pthread_testcancel (from libsystem_pthread)
000000018033da90 (__TEXT,__text) external _ptsname
0000000180349bc0 (__TEXT,__text) non-external _ptsname.cold.1
0000000180349bdc (__TEXT,__text) non-external _ptsname.cold.2
00000001d5a98cf8 (__DATA,__bss) non-external _ptsname_buffer_specific_key
00000001d5a98cf0 (__DATA,__bss) non-external _ptsname_once
000000018033db40 (__TEXT,__text) non-external _ptsname_once_init
0000000180349bf8 (__TEXT,__text) non-external _ptsname_once_init.cold.1
00000001802f5870 (__TEXT,__text) external _ptsname_r
00000001803030b0 (__TEXT,__text) external _putc
00000001803309bc (__TEXT,__text) external _putc_unlocked
00000001802fefb0 (__TEXT,__text) external _putchar
0000000180330a00 (__TEXT,__text) external _putchar_unlocked
000000018033aef4 (__TEXT,__text) external _putenv
000000018031aba4 (__TEXT,__text) non-external _putpair
00000001802fe510 (__TEXT,__text) external _puts
00000001803431bc (__TEXT,__text) external _pututxline
0000000180330a50 (__TEXT,__text) external _putw
0000000180330ac0 (__TEXT,__text) external _putwc
0000000180330ae4 (__TEXT,__text) external _putwc_l
0000000180330ae8 (__TEXT,__text) external _putwchar
0000000180330b18 (__TEXT,__text) external _putwchar_l
00000001d5a980f0 (__DATA,__bss) non-external _pw_size
                 (undefined) external _pwrite$NOCANCEL (from libsystem_kernel)
00000001802df024 (__TEXT,__text) external _qsort
00000001802dfce0 (__TEXT,__text) external _qsort_b
00000001802dfd18 (__TEXT,__text) external _qsort_r
000000018030f89c (__TEXT,__text) external _querylocale
000000018033bb7c (__TEXT,__text) non-external _r_sort_a
00000001d5a98cc4 (__DATA,__bss) non-external _r_sort_a.bmin
00000001d5a98cb8 (__DATA,__bss) non-external _r_sort_a.count
00000001d5a98cc0 (__DATA,__bss) non-external _r_sort_a.nc
00000001d5a98cc8 (__DATA,__bss) non-external _r_sort_a_count
000000018033c108 (__TEXT,__text) non-external _r_sort_b
00000001d5a98ce4 (__DATA,__bss) non-external _r_sort_b.bmin
00000001d5a98cd8 (__DATA,__bss) non-external _r_sort_b.count
00000001d5a98ce0 (__DATA,__bss) non-external _r_sort_b.nc
00000001d5a98cd0 (__DATA,__bss) non-external _r_sort_b_count
000000018033c4c0 (__TEXT,__text) non-external _r_sort_count_allocate
00000001d5a970b0 (__DATA,__data) non-external _r_sort_count_control
000000018033ba94 (__TEXT,__text) external _radixsort
0000000180312520 (__TEXT,__text) external _raise
00000001802e2984 (__TEXT,__text) external _rand
00000001d5a970cc (__DATA,__data) non-external _rand_deg
00000001802e8654 (__TEXT,__text) external _rand_r
00000001d5a970d0 (__DATA,__data) non-external _rand_sep
00000001d5a970c8 (__DATA,__data) non-external _rand_type
00000001802e1220 (__TEXT,__text) external _random
00000001d6c249d0 (__DATA_DIRTY,__data) non-external _randtbl
000000018031fe44 (__TEXT,__text) non-external (was a private external) _rangematch
00000001803111c8 (__TEXT,__text) non-external _raosnprintf
00000001803444d8 (__TEXT,__text) external _rb_tree_count
00000001802fbab4 (__TEXT,__text) external _rb_tree_find_node
0000000180344348 (__TEXT,__text) external _rb_tree_find_node_geq
00000001803443d0 (__TEXT,__text) external _rb_tree_find_node_leq
00000001802fbaa4 (__TEXT,__text) external _rb_tree_init
00000001802fbb20 (__TEXT,__text) external _rb_tree_insert_node
0000000180344458 (__TEXT,__text) external _rb_tree_iterate
00000001803444e4 (__TEXT,__text) non-external _rb_tree_removal_rebalance
00000001803047f0 (__TEXT,__text) external _rb_tree_remove_node
00000001802fbd04 (__TEXT,__text) non-external _rb_tree_reparent_nodes
000000018034bf70 (__TEXT,__const) non-external _rcsid
000000018034bfbf (__TEXT,__const) non-external _rcsid
000000018034c009 (__TEXT,__const) non-external _rcsid
000000018034c106 (__TEXT,__const) non-external _rcsid
000000018034ce78 (__TEXT,__const) non-external _rcsid
000000018034cf3d (__TEXT,__const) non-external _rcsid
                 (undefined) external _read$NOCANCEL (from libsystem_kernel)
0000000180322ce4 (__TEXT,__text) external _readdir
0000000180322d2c (__TEXT,__text) external _readdir_r
                 (undefined) external _readlink (from libsystem_kernel)
0000000180322de8 (__TEXT,__text) external _readpassphrase
                 (undefined) external _realloc (from libsystem_malloc)
                 (undefined) external _reallocarray$DARWIN_EXTSN (from libsystem_malloc)
00000001802d47d8 (__TEXT,__text) external _reallocf
000000018033c7c4 (__TEXT,__text) external _realpath
00000001802e4d74 (__TEXT,__text) external _realpath$DARWIN_EXTSN
00000001d6c262ec (__DATA_DIRTY,__bss) non-external _realpath$DARWIN_EXTSN.rootdev
00000001d6c262f0 (__DATA_DIRTY,__bss) non-external _realpath$DARWIN_EXTSN.rootdev_inited
00000001d5a98ce8 (__DATA,__bss) non-external _realpath.rootdev
00000001d5a98cec (__DATA,__bss) non-external _realpath.rootdev_inited
000000018031c600 (__TEXT,__text) non-external _rec_rdelete
000000018034cd82 (__TEXT,__const) non-external _recargchar
000000018034cdeb (__TEXT,__const) non-external _recargstring
00000001802e4b48 (__TEXT,__text) external _recv
00000001802e4b30 (__TEXT,__text) external _recv$NOCANCEL
00000001802e9fd4 (__TEXT,__text) external _regcomp
00000001802e9ff8 (__TEXT,__text) external _regcomp_l
0000000180349828 (__TEXT,__text) external _regerror
00000001802eedf4 (__TEXT,__text) external _regexec
00000001802f2c2c (__TEXT,__text) external _regfree
0000000180300a98 (__TEXT,__text) external _register_printf_domain_function
0000000180311f28 (__TEXT,__text) non-external (was a private external) _register_printf_domain_render
000000018031200c (__TEXT,__text) external _register_printf_domain_render_std
0000000180344640 (__TEXT,__text) external _regncomp
00000001802ea080 (__TEXT,__text) external _regncomp_l
00000001802eee08 (__TEXT,__text) external _regnexec
0000000180344730 (__TEXT,__text) external _regwcomp
00000001803446b0 (__TEXT,__text) external _regwcomp_l
00000001803447d8 (__TEXT,__text) external _regwexec
000000018034468c (__TEXT,__text) external _regwncomp
0000000180344664 (__TEXT,__text) external _regwncomp_l
00000001803447a8 (__TEXT,__text) external _regwnexec
00000001802fa8bc (__TEXT,__text) external _remove
000000018033cf10 (__TEXT,__text) external _remque
00000001d3912130 (__DATA_CONST,__const) non-external _rerrs
00000001802e7238 (__TEXT,__text) external _rewind
00000001803233a8 (__TEXT,__text) external _rewinddir
00000001802e7944 (__TEXT,__text) external _rindex
                 (undefined) external _rmdir (from libsystem_kernel)
00000001d6c24aa8 (__DATA_DIRTY,__bss) non-external _rng
000000018032efb8 (__TEXT,__text) external _rpmatch
00000001d5a970e0 (__DATA,__data) non-external _rptr
