00000001ec66a218 (__DATA,__bss) non-external _AGCPrinter
00000001f2a01e60 (__AUTH_CONST,__const) non-external __ZTC60AGCLLVMDriverTessellationBucketedComputeInstanceCountsShader0_29AGCLLVMAGPVertexShaderRegular
00000001f2a019f8 (__AUTH_CONST,__const) non-external __ZTC60AGCLLVMDriverTessellationBucketedComputeInstanceCountsShader0_31AGCLLVMDriverTessellationShader
00000001f2a24cf0 (__AUTH_CONST,__const) non-external __ZTC61AGCLLVMDriverExecuteIndirectRangeExecutionComputeShaderLegacy0_17AGCLLVMUserObject
00000001f2a24918 (__AUTH_CONST,__const) non-external __ZTC61AGCLLVMDriverExecuteIndirectRangeExecutionComputeShaderLegacy0_17AGCLLVMUserShader
00000001f2a244b0 (__AUTH_CONST,__const) non-external __ZTC61AGCLLVMDriverExecuteIndirectRangeExecutionComputeShaderLegacy0_28AGCLLVMUserComputeKernelBase
00000001f2a24040 (__AUTH_CONST,__const) non-external __ZTC61AGCLLVMDriverExecuteIndirectRangeExecutionComputeShaderLegacy0_30AGCLLVMUserComputeKernelLegacy
00000001f2a23bd0 (__AUTH_CONST,__const) non-external __ZTC61AGCLLVMDriverExecuteIndirectRangeExecutionComputeShaderLegacy0_32AGCLLVMDriverComputeKernelLegacy
00000001f2a19580 (__AUTH_CONST,__const) non-external __ZTC61AGCLLVMDriverGeometryPipelineEmulationFWAllocationSetupShader0_17AGCLLVMUserObject
00000001f2a191a8 (__AUTH_CONST,__const) non-external __ZTC61AGCLLVMDriverGeometryPipelineEmulationFWAllocationSetupShader0_17AGCLLVMUserShader
00000001f2a18460 (__AUTH_CONST,__const) non-external __ZTC61AGCLLVMDriverGeometryPipelineEmulationFWAllocationSetupShader0_26AGCLLVMDriverComputeKernel
00000001f2a188d0 (__AUTH_CONST,__const) non-external __ZTC61AGCLLVMDriverGeometryPipelineEmulationFWAllocationSetupShader0_27AGCLLVMUserComputeKernelG10
00000001f2a18d40 (__AUTH_CONST,__const) non-external __ZTC61AGCLLVMDriverGeometryPipelineEmulationFWAllocationSetupShader0_28AGCLLVMUserComputeKernelBase
00000001f2a1bf40 (__AUTH_CONST,__const) non-external __ZTC63AGCLLVMDriverGeometryPipelineEmulationFWAllocationPreMeshShader0_17AGCLLVMUserObject
00000001f2a1bb68 (__AUTH_CONST,__const) non-external __ZTC63AGCLLVMDriverGeometryPipelineEmulationFWAllocationPreMeshShader0_17AGCLLVMUserShader
00000001f2a1ae20 (__AUTH_CONST,__const) non-external __ZTC63AGCLLVMDriverGeometryPipelineEmulationFWAllocationPreMeshShader0_26AGCLLVMDriverComputeKernel
00000001f2a1b290 (__AUTH_CONST,__const) non-external __ZTC63AGCLLVMDriverGeometryPipelineEmulationFWAllocationPreMeshShader0_27AGCLLVMUserComputeKernelG10
00000001f2a1b700 (__AUTH_CONST,__const) non-external __ZTC63AGCLLVMDriverGeometryPipelineEmulationFWAllocationPreMeshShader0_28AGCLLVMUserComputeKernelBase
00000001f2a1aa60 (__AUTH_CONST,__const) non-external __ZTC66AGCLLVMDriverGeometryPipelineEmulationFWAllocationPostObjectShader0_17AGCLLVMUserObject
00000001f2a1a688 (__AUTH_CONST,__const) non-external __ZTC66AGCLLVMDriverGeometryPipelineEmulationFWAllocationPostObjectShader0_17AGCLLVMUserShader
00000001f2a19940 (__AUTH_CONST,__const) non-external __ZTC66AGCLLVMDriverGeometryPipelineEmulationFWAllocationPostObjectShader0_26AGCLLVMDriverComputeKernel
00000001f2a19db0 (__AUTH_CONST,__const) non-external __ZTC66AGCLLVMDriverGeometryPipelineEmulationFWAllocationPostObjectShader0_27AGCLLVMUserComputeKernelG10
00000001f2a1a220 (__AUTH_CONST,__const) non-external __ZTC66AGCLLVMDriverGeometryPipelineEmulationFWAllocationPostObjectShader0_28AGCLLVMUserComputeKernelBase
00000001f2a30728 (__AUTH_CONST,__const) non-external __ZTT21AGCLLVMGLVertexShader
00000001f29e43b8 (__AUTH_CONST,__const) non-external __ZTT21AGCLLVMUserMeshShader
00000001f2a32e10 (__AUTH_CONST,__const) non-external __ZTT21AGCLLVMUserTileShader
00000001f2a36fd8 (__AUTH_CONST,__const) non-external __ZTT23AGCLLVMEndOfTileProgram
00000001f2a2f210 (__AUTH_CONST,__const) non-external __ZTT23AGCLLVMGLFragmentShader
00000001f29e5418 (__AUTH_CONST,__const) non-external __ZTT23AGCLLVMUserMeshShaderSW
00000001f29e6478 (__AUTH_CONST,__const) non-external __ZTT23AGCLLVMUserObjectShader
00000001f29dce58 (__AUTH_CONST,__const) non-external __ZTT24AGCLLVMAGPFragmentShader
00000001f2a36748 (__AUTH_CONST,__const) non-external __ZTT25AGCLLVMTABlitVertexShader
00000001f2a2de80 (__AUTH_CONST,__const) non-external __ZTT25AGCLLVMUserDynamicLibrary
00000001f29e7ab8 (__AUTH_CONST,__const) non-external __ZTT25AGCLLVMUserObjectShaderSW
00000001f29ee050 (__AUTH_CONST,__const) non-external __ZTT26AGCLLVMAGPVertexShaderGen4
00000001f2a369f8 (__AUTH_CONST,__const) non-external __ZTT26AGCLLVMClearFragmentShader
00000001f2a37ab0 (__AUTH_CONST,__const) non-external __ZTT26AGCLLVMDriverCDMBlitShader
00000001f2a09e48 (__AUTH_CONST,__const) non-external __ZTT26AGCLLVMDriverComputeKernel
00000001f2a0a830 (__AUTH_CONST,__const) non-external __ZTT26AGCLLVMDriverSparseShaders
00000001f2a09978 (__AUTH_CONST,__const) non-external __ZTT27AGCLLVMUserComputeKernelG10
00000001f29dd3b8 (__AUTH_CONST,__const) non-external __ZTT28AGCLLVMAGPFragmentShaderGen3
00000001f29dd938 (__AUTH_CONST,__const) non-external __ZTT28AGCLLVMAGPFragmentShaderGen4
00000001f29dded8 (__AUTH_CONST,__const) non-external __ZTT28AGCLLVMAGPFragmentShaderGen6
00000001f2a364c8 (__AUTH_CONST,__const) non-external __ZTT28AGCLLVMClearVertexDataShader
00000001f29ebd70 (__AUTH_CONST,__const) non-external __ZTT28AGCLLVMDriverVDMNOPDBGShader
00000001f29e9018 (__AUTH_CONST,__const) non-external __ZTT29AGCLLVMAGPVertexShaderRegular
00000001f2a0ad30 (__AUTH_CONST,__const) non-external __ZTT29AGCLLVMDriverFastClearShaders
00000001f2a31a48 (__AUTH_CONST,__const) non-external __ZTT29AGCLLVMUserIntersectionShader
00000001f29e8b38 (__AUTH_CONST,__const) non-external __ZTT30AGCLLVMAGPVertexShaderAnalysis
00000001f29e6728 (__AUTH_CONST,__const) non-external __ZTT30AGCLLVMPassThroughObjectShader
00000001f2a35a88 (__AUTH_CONST,__const) non-external __ZTT30AGCLLVMPassthroughVertexShader
00000001f2a07bc0 (__AUTH_CONST,__const) non-external __ZTT30AGCLLVMUserComputeKernelLegacy
00000001f2a315c8 (__AUTH_CONST,__const) non-external __ZTT31AGCLLVMDriverIntersectionShader
00000001f29e9f28 (__AUTH_CONST,__const) non-external __ZTT31AGCLLVMDriverTessellationShader
00000001f2a0c118 (__AUTH_CONST,__const) non-external __ZTT32AGCLLVMDriverBlitBCComputeShader
00000001f2a08090 (__AUTH_CONST,__const) non-external __ZTT32AGCLLVMDriverComputeKernelLegacy
00000001f29ecc70 (__AUTH_CONST,__const) non-external __ZTT33AGCLLVMDriverVRRPatchVertexShader
00000001f2a377d8 (__AUTH_CONST,__const) non-external __ZTT33AGCLLVMTextureFetchFragmentShader
00000001f29ed168 (__AUTH_CONST,__const) non-external __ZTT34AGCLLVMDriverGPUGatherVertexShader
00000001f2a374d0 (__AUTH_CONST,__const) non-external __ZTT34AGCLLVMDummyFeedbackFragmentShader
00000001f29ed660 (__AUTH_CONST,__const) non-external __ZTT35AGCLLVMDriverFastClearVertexShaders
00000001f29edb58 (__AUTH_CONST,__const) non-external __ZTT35AGCLLVMDriverPDSPatchUpVertexShader
00000001f2a36230 (__AUTH_CONST,__const) non-external __ZTT35AGCLLVMTileDispatchVertexShaderRect
00000001f2a0f300 (__AUTH_CONST,__const) non-external __ZTT36AGCLLVMDriverBVHBuilderComputeShader
00000001f2a35f98 (__AUTH_CONST,__const) non-external __ZTT36AGCLLVMTileDispatchVertexShaderPoint
00000001f2a36d00 (__AUTH_CONST,__const) non-external __ZTT37AGCLLVMBackgroundObjectFragmentShader
00000001f2a0a330 (__AUTH_CONST,__const) non-external __ZTT37AGCLLVMDriverTGSizeOptimizationShader
00000001f2a0c600 (__AUTH_CONST,__const) non-external __ZTT39AGCLLVMDriverGPUGatherComputeShaderGen3
00000001f29e9518 (__AUTH_CONST,__const) non-external __ZTT40AGCLLVMAGPVertexShaderPostTessellationHW
00000001f29e9a30 (__AUTH_CONST,__const) non-external __ZTT40AGCLLVMAGPVertexShaderPostTessellationSW
00000001f2a08578 (__AUTH_CONST,__const) non-external __ZTT41AGCLLVMDriverGPUGatherComputeShaderLegacy
00000001f2a08a78 (__AUTH_CONST,__const) non-external __ZTT42AGCLLVMDriverPDSPatchUpComputeShaderLegacy
00000001f2a0df00 (__AUTH_CONST,__const) non-external __ZTT44AGCLLVMDriverComputeProgressMarkerShaderGen3
00000001f2a0da00 (__AUTH_CONST,__const) non-external __ZTT44AGCLLVMDriverExecuteIndirectComputeShaderG10
00000001f2a0bc30 (__AUTH_CONST,__const) non-external __ZTT45AGCLLVMDriverExecuteIndirectComputeShaderGen5
00000001f2a35d00 (__AUTH_CONST,__const) non-external __ZTT45AGCLLVMPassthroughVertexShaderWithVertexFetch
00000001f2a0e900 (__AUTH_CONST,__const) non-external __ZTT46AGCLLVMDriverComputeProgressMarkerShaderLegacy
00000001f2a08f78 (__AUTH_CONST,__const) non-external __ZTT47AGCLLVMDriverExecuteIndirectComputeShaderLegacy
00000001f29ec280 (__AUTH_CONST,__const) non-external __ZTT47AGCLLVMDriverExecuteIndirectESLGenerationShader
00000001f2a0e400 (__AUTH_CONST,__const) non-external __ZTT50AGCLLVMDriverComputeControlFlowPredicateShaderGen3
00000001f29eb860 (__AUTH_CONST,__const) non-external __ZTT50AGCLLVMDriverTessellationClearInstanceCountsShader
00000001f2a0ee00 (__AUTH_CONST,__const) non-external __ZTT52AGCLLVMDriverComputeControlFlowPredicateShaderLegacy
00000001f29ec778 (__AUTH_CONST,__const) non-external __ZTT54AGCLLVMDriverExecuteIndirectRangeExecutionVertexShader
00000001f2a0b730 (__AUTH_CONST,__const) non-external __ZTT55AGCLLVMDriverExecuteIndirectRangeExecutionComputeShader
00000001f29ea930 (__AUTH_CONST,__const) non-external __ZTT55AGCLLVMDriverTessellationBucketedEmitDrawCommandsShader
00000001f29eb350 (__AUTH_CONST,__const) non-external __ZTT56AGCLLVMDriverTessellationBucketedSumInstanceCountsShader
00000001f2a0b230 (__AUTH_CONST,__const) non-external __ZTT58AGCLLVMDriverExecuteIndirectRangeExecutionComputeShaderG10
00000001f29ea420 (__AUTH_CONST,__const) non-external __ZTT58AGCLLVMDriverTessellationNonBucketedEmitDrawCommandsShader
00000001f29eae40 (__AUTH_CONST,__const) non-external __ZTT60AGCLLVMDriverTessellationBucketedComputeInstanceCountsShader
00000001f2a09478 (__AUTH_CONST,__const) non-external __ZTT61AGCLLVMDriverExecuteIndirectRangeExecutionComputeShaderLegacy
00000001f2a0cb00 (__AUTH_CONST,__const) non-external __ZTT61AGCLLVMDriverGeometryPipelineEmulationFWAllocationSetupShader
00000001f2a0d500 (__AUTH_CONST,__const) non-external __ZTT63AGCLLVMDriverGeometryPipelineEmulationFWAllocationPreMeshShader
00000001f2a0d000 (__AUTH_CONST,__const) non-external __ZTT66AGCLLVMDriverGeometryPipelineEmulationFWAllocationPostObjectShader
                 (undefined) external __ZTTNSt3__114basic_ifstreamIcNS_11char_traitsIcEEEE (from libc++)
                 (undefined) external __ZTTNSt3__114basic_ofstreamIcNS_11char_traitsIcEEEE (from libc++)
                 (undefined) external __ZTTNSt3__118basic_stringstreamIcNS_11char_traitsIcEENS_9allocatorIcEEEE (from libc++)
                 (undefined) external __ZTTNSt3__119basic_istringstreamIcNS_11char_traitsIcEENS_9allocatorIcEEEE (from libc++)
                 (undefined) external __ZTTNSt3__119basic_ostringstreamIcNS_11char_traitsIcEENS_9allocatorIcEEEE (from libc++)
00000001f2a4a040 (__AUTH_CONST,__const) non-external __ZTV10ProgramKeyIL15_AGCStreamToken10ELN3AGX27DriverShaderCompilationModeE0EE
00000001f2a49b18 (__AUTH_CONST,__const) non-external __ZTV10ProgramKeyIL15_AGCStreamToken13ELN3AGX27DriverShaderCompilationModeE0EE
00000001f2a4acf0 (__AUTH_CONST,__const) non-external __ZTV10ProgramKeyIL15_AGCStreamToken19ELN3AGX27DriverShaderCompilationModeE0EE
00000001f2a49c18 (__AUTH_CONST,__const) non-external __ZTV10ProgramKeyIL15_AGCStreamToken24ELN3AGX27DriverShaderCompilationModeE1EE
00000001f2a49d60 (__AUTH_CONST,__const) non-external __ZTV10ProgramKeyIL15_AGCStreamToken3ELN3AGX27DriverShaderCompilationModeE0EE
00000001f2a49e00 (__AUTH_CONST,__const) non-external __ZTV10ProgramKeyIL15_AGCStreamToken4ELN3AGX27DriverShaderCompilationModeE0EE
00000001f2a49f58 (__AUTH_CONST,__const) non-external __ZTV10ProgramKeyIL15_AGCStreamToken5ELN3AGX27DriverShaderCompilationModeE0EE
00000001f2a49eb8 (__AUTH_CONST,__const) non-external __ZTV10ProgramKeyIL15_AGCStreamToken6ELN3AGX27DriverShaderCompilationModeE0EE
00000001f2a49ad8 (__AUTH_CONST,__const) non-external __ZTV10ProgramKeyIL15_AGCStreamToken7ELN3AGX27DriverShaderCompilationModeE0EE
00000001f2a499f8 (__AUTH_CONST,__const) non-external __ZTV10ProgramKeyIL15_AGCStreamToken8ELN3AGX27DriverShaderCompilationModeE0EE
00000001f2a4a170 (__AUTH_CONST,__const) non-external __ZTV10ProgramKeyIL15_AGCStreamToken9ELN3AGX27DriverShaderCompilationModeE0EE
00000001f2a339e0 (__AUTH_CONST,__const) non-external __ZTV11IntervalMapIbE
00000001f2a33720 (__AUTH_CONST,__const) non-external __ZTV11IntervalMapIjE
00000001f2a3b798 (__AUTH_CONST,__const) non-external __ZTV13AGCLLVMObject
00000001f2a4a480 (__AUTH_CONST,__const) non-external __ZTV13AGCNullTarget
00000001f2a4aa90 (__AUTH_CONST,__const) non-external __ZTV13AGCTargetImplIN3AGX2G57ClassesENS1_8EncodersEE
00000001f2a4ab30 (__AUTH_CONST,__const) non-external __ZTV13AGCTargetImplIN3AGX2G97ClassesENS1_8EncodersEE
00000001f2a4a4b8 (__AUTH_CONST,__const) non-external __ZTV13AGCTargetImplIN3AGX3G107ClassesENS1_8EncodersEE
00000001f2a4a558 (__AUTH_CONST,__const) non-external __ZTV13AGCTargetImplIN3AGX3G117ClassesENS1_8EncodersEE
00000001f2a4a5f8 (__AUTH_CONST,__const) non-external __ZTV13AGCTargetImplIN3AGX3G127ClassesENS1_8EncodersEE
00000001f2a4a698 (__AUTH_CONST,__const) non-external __ZTV13AGCTargetImplIN3AGX3G137ClassesENS1_8EncodersEE
00000001f2a4a738 (__AUTH_CONST,__const) non-external __ZTV13AGCTargetImplIN3AGX3G147ClassesENS1_8EncodersEE
00000001f2a4a8b0 (__AUTH_CONST,__const) non-external __ZTV13AGCTargetImplIN3AGX3G157ClassesENS1_8EncodersEE
00000001f2a4a9f0 (__AUTH_CONST,__const) non-external __ZTV13AGCTargetImplIN3AGX3G167ClassesENS1_8EncodersEE
00000001f2a4a7d8 (__AUTH_CONST,__const) non-external __ZTV13AGCTargetImplIN3AGX4G14X7ClassesENS1_8EncodersEE
00000001f2a4abd0 (__AUTH_CONST,__const) non-external __ZTV13AGCTargetImplIN3AGX6HAL2007ClassesENS1_8EncodersEE
00000001f2a354d8 (__AUTH_CONST,__const) non-external __ZTV14AGCLLVMBuilder
00000001f2a49f98 (__AUTH_CONST,__const) non-external __ZTV15AGCMeshFunction
00000001f2a49ef8 (__AUTH_CONST,__const) non-external __ZTV15AGCTileFunction
00000001f2a490e8 (__AUTH_CONST,__const) non-external __ZTV17AGCLLVMObjectBase
00000001f2a4a0c8 (__AUTH_CONST,__const) non-external __ZTV17AGCObjectFunction
00000001f2a4a878 (__AUTH_CONST,__const) non-external __ZTV17AGCTargetImplG15P
00000001f2a49cb8 (__AUTH_CONST,__const) non-external __ZTV17AGCVertexFunction
00000001f2a33708 (__AUTH_CONST,__const) non-external __ZTV17IntervalEqClasses
00000001f2a49e58 (__AUTH_CONST,__const) non-external __ZTV18AGCComputeFunction
00000001f2a06648 (__AUTH_CONST,__const) non-external __ZTV18AGCLLVMAirBuiltins
00000001f2a490a8 (__AUTH_CONST,__const) non-external __ZTV18AGCLLVMObjectArray
00000001f2a46f08 (__AUTH_CONST,__const) non-external __ZTV19AGCBindPointLayoutTIN3AGX15BindPointLayoutILi118ELi31ELi4ELi128ELi118ELi96ELb1EEEE
00000001f2a48b88 (__AUTH_CONST,__const) non-external __ZTV19AGCBindPointLayoutTIN3AGX15BindPointLayoutILi128ELi31ELi4ELi128ELi500000ELi500000ELb1EEEE
00000001f2a45db8 (__AUTH_CONST,__const) non-external __ZTV19AGCBindPointLayoutTIN3AGX15BindPointLayoutILi31ELi31ELi4ELi64ELi31ELi31ELb0EEEE
00000001f2a49da0 (__AUTH_CONST,__const) non-external __ZTV19AGCFragmentFunction
00000001f2a3bb68 (__AUTH_CONST,__const) non-external __ZTV19AGCLLVMTargetConfig
00000001f2a33650 (__AUTH_CONST,__const) non-external __ZTV20AGCLLVMAirImageBlock
00000001f2a46298 (__AUTH_CONST,__const) non-external __ZTV20AGCLLVMTargetLowerer
00000001f2a44fb8 (__AUTH_CONST,__const) non-external __ZTV21AGCLLVMG5TargetConfig
00000001f2a450b8 (__AUTH_CONST,__const) non-external __ZTV21AGCLLVMG9TargetConfig
00000001f2a302e0 (__AUTH_CONST,__const) non-external __ZTV21AGCLLVMGLVertexShader
00000001f29e3f70 (__AUTH_CONST,__const) non-external __ZTV21AGCLLVMUserMeshShader
00000001f2a329d0 (__AUTH_CONST,__const) non-external __ZTV21AGCLLVMUserTileShader
00000001f2a37008 (__AUTH_CONST,__const) non-external __ZTV21AGCLLVMUtilityProgram
00000001f2a4a950 (__AUTH_CONST,__const) non-external __ZTV21AGCTargetImplG15_AGX2
00000001f2a068b0 (__AUTH_CONST,__const) non-external __ZTV22AGCLLVMAirBuiltinsGen2
00000001f2a06b18 (__AUTH_CONST,__const) non-external __ZTV22AGCLLVMAirBuiltinsGen3
00000001f2a06d80 (__AUTH_CONST,__const) non-external __ZTV22AGCLLVMAirBuiltinsGen4
00000001f2a06fe8 (__AUTH_CONST,__const) non-external __ZTV22AGCLLVMAirBuiltinsGen5
00000001f2a07250 (__AUTH_CONST,__const) non-external __ZTV22AGCLLVMAirBuiltinsGen6
00000001f2a074b8 (__AUTH_CONST,__const) non-external __ZTV22AGCLLVMAirBuiltinsGen7
00000001f2a35520 (__AUTH_CONST,__const) non-external __ZTV22AGCLLVMComputePrograms
00000001f2a3bc90 (__AUTH_CONST,__const) non-external __ZTV22AGCLLVMG10TargetConfig
00000001f2a3c418 (__AUTH_CONST,__const) non-external __ZTV22AGCLLVMG11TargetConfig
00000001f2a3cba8 (__AUTH_CONST,__const) non-external __ZTV22AGCLLVMG12TargetConfig
00000001f2a3d418 (__AUTH_CONST,__const) non-external __ZTV22AGCLLVMG13TargetConfig
00000001f2a3dc88 (__AUTH_CONST,__const) non-external __ZTV22AGCLLVMG14TargetConfig
00000001f2a449b8 (__AUTH_CONST,__const) non-external __ZTV22AGCLLVMG5TargetLowerer
00000001f2a451b8 (__AUTH_CONST,__const) non-external __ZTV22AGCLLVMG9TargetLowerer
00000001f2a3b8a0 (__AUTH_CONST,__const) non-external __ZTV22AGCLLVMPrintModulePass
00000001f2a3baa0 (__AUTH_CONST,__const) non-external __ZTV22RewriteAdressSpacePass
00000001f2a49a38 (__AUTH_CONST,__const) non-external __ZTV23AGCIntersectionFunction
00000001f2a36d88 (__AUTH_CONST,__const) non-external __ZTV23AGCLLVMEndOfTileProgram
00000001f2a3bd98 (__AUTH_CONST,__const) non-external __ZTV23AGCLLVMG10TargetLowerer
00000001f2a3c520 (__AUTH_CONST,__const) non-external __ZTV23AGCLLVMG11TargetLowerer
00000001f2a3ccb0 (__AUTH_CONST,__const) non-external __ZTV23AGCLLVMG12TargetLowerer
00000001f2a3d520 (__AUTH_CONST,__const) non-external __ZTV23AGCLLVMG13TargetLowerer
00000001f2a3dd90 (__AUTH_CONST,__const) non-external __ZTV23AGCLLVMG14TargetLowerer
00000001f2a3e4f8 (__AUTH_CONST,__const) non-external __ZTV23AGCLLVMG14XTargetConfig
00000001f2a3ed68 (__AUTH_CONST,__const) non-external __ZTV23AGCLLVMG15TargetLowerer
00000001f2a41730 (__AUTH_CONST,__const) non-external __ZTV23AGCLLVMG16TargetLowerer
00000001f2a2ed80 (__AUTH_CONST,__const) non-external __ZTV23AGCLLVMGLFragmentShader
00000001f2a47340 (__AUTH_CONST,__const) non-external __ZTV23AGCLLVMGen4TargetConfig
00000001f2a47ad0 (__AUTH_CONST,__const) non-external __ZTV23AGCLLVMGen5TargetConfig
00000001f29e4fd0 (__AUTH_CONST,__const) non-external __ZTV23AGCLLVMUserMeshShaderSW
00000001f29e6030 (__AUTH_CONST,__const) non-external __ZTV23AGCLLVMUserObjectShader
00000001f2a3b940 (__AUTH_CONST,__const) non-external __ZTV23AGCLLVMVerifyModulePass
00000001f2a461f0 (__AUTH_CONST,__const) non-external __ZTV24AGCDylibBindPointLayoutTIN3AGX20DylibBindPointLayoutILb0EEEE
00000001f2a48fc0 (__AUTH_CONST,__const) non-external __ZTV24AGCDylibBindPointLayoutTIN3AGX20DylibBindPointLayoutILb1EEEE
00000001f2a49bb8 (__AUTH_CONST,__const) non-external __ZTV24AGCEndOfTileDriverShader
00000001f29dc9a0 (__AUTH_CONST,__const) non-external __ZTV24AGCLLVMAGPFragmentShader
00000001f2a335f0 (__AUTH_CONST,__const) non-external __ZTV24AGCLLVMAirImageBlockGen3
00000001f2a336f0 (__AUTH_CONST,__const) non-external __ZTV24AGCLLVMAirTrigIdentities
00000001f2a3e600 (__AUTH_CONST,__const) non-external __ZTV24AGCLLVMG14XTargetLowerer
00000001f2a457b8 (__AUTH_CONST,__const) non-external __ZTV24AGCLLVMGen2TargetLowerer
00000001f2a46888 (__AUTH_CONST,__const) non-external __ZTV24AGCLLVMGen3TargetLowerer
00000001f2a47448 (__AUTH_CONST,__const) non-external __ZTV24AGCLLVMGen4TargetLowerer
00000001f2a47bd8 (__AUTH_CONST,__const) non-external __ZTV24AGCLLVMGen5TargetLowerer
00000001f2a483d0 (__AUTH_CONST,__const) non-external __ZTV24AGCLLVMGen6TargetLowererI23RaytracingConstantsGen1E
00000001f2a49c58 (__AUTH_CONST,__const) non-external __ZTV25AGCBVHBuilderDriverShader
00000001f2a3f4f8 (__AUTH_CONST,__const) non-external __ZTV25AGCLLVMG15GA0TargetConfig
00000001f2a3fd90 (__AUTH_CONST,__const) non-external __ZTV25AGCLLVMG15GB0TargetConfig
00000001f2a40628 (__AUTH_CONST,__const) non-external __ZTV25AGCLLVMG15GC0TargetConfig
00000001f2a40ec0 (__AUTH_CONST,__const) non-external __ZTV25AGCLLVMG15PB0TargetConfig
00000001f2a41ec0 (__AUTH_CONST,__const) non-external __ZTV25AGCLLVMG16GA0TargetConfig
00000001f2a42758 (__AUTH_CONST,__const) non-external __ZTV25AGCLLVMG16GB0TargetConfig
00000001f2a42ff0 (__AUTH_CONST,__const) non-external __ZTV25AGCLLVMG16PA0TargetConfig
00000001f2a43888 (__AUTH_CONST,__const) non-external __ZTV25AGCLLVMG16PB0TargetConfig
00000001f2a44120 (__AUTH_CONST,__const) non-external __ZTV25AGCLLVMG16XA0TargetConfig
00000001f2a364f8 (__AUTH_CONST,__const) non-external __ZTV25AGCLLVMTABlitVertexShader
00000001f2a2da48 (__AUTH_CONST,__const) non-external __ZTV25AGCLLVMUserDynamicLibrary
00000001f29e7670 (__AUTH_CONST,__const) non-external __ZTV25AGCLLVMUserObjectShaderSW
00000001f2a35730 (__AUTH_CONST,__const) non-external __ZTV26AGCContextSwitchProgramG13
00000001f29edbe8 (__AUTH_CONST,__const) non-external __ZTV26AGCLLVMAGPVertexShaderGen4
00000001f2a36778 (__AUTH_CONST,__const) non-external __ZTV26AGCLLVMClearFragmentShader
00000001f2a37860 (__AUTH_CONST,__const) non-external __ZTV26AGCLLVMDriverCDMBlitShader
00000001f2a099d8 (__AUTH_CONST,__const) non-external __ZTV26AGCLLVMDriverComputeKernel
00000001f2a0a3c0 (__AUTH_CONST,__const) non-external __ZTV26AGCLLVMDriverSparseShaders
00000001f2a3f600 (__AUTH_CONST,__const) non-external __ZTV26AGCLLVMG15GA0TargetLowerer
00000001f2a3fe98 (__AUTH_CONST,__const) non-external __ZTV26AGCLLVMG15GB0TargetLowerer
00000001f2a40730 (__AUTH_CONST,__const) non-external __ZTV26AGCLLVMG15GC0TargetLowerer
00000001f2a40fc8 (__AUTH_CONST,__const) non-external __ZTV26AGCLLVMG15PB0TargetLowerer
00000001f2a41fc8 (__AUTH_CONST,__const) non-external __ZTV26AGCLLVMG16GA0TargetLowerer
00000001f2a42860 (__AUTH_CONST,__const) non-external __ZTV26AGCLLVMG16GB0TargetLowerer
00000001f2a430f8 (__AUTH_CONST,__const) non-external __ZTV26AGCLLVMG16PA0TargetLowerer
00000001f2a43990 (__AUTH_CONST,__const) non-external __ZTV26AGCLLVMG16PB0TargetLowerer
00000001f2a44228 (__AUTH_CONST,__const) non-external __ZTV26AGCLLVMG16XA0TargetLowerer
00000001f2a49168 (__AUTH_CONST,__const) non-external __ZTV26AGCLLVMHAL200TargetLowerer
00000001f2a35628 (__AUTH_CONST,__const) non-external __ZTV27AGCLLVMContextSwitchProgram
00000001f2a49e40 (__AUTH_CONST,__const) non-external __ZTV27AGCLLVMFragmentContextState
00000001f2a09508 (__AUTH_CONST,__const) non-external __ZTV27AGCLLVMUserComputeKernelG10
00000001f29dcef8 (__AUTH_CONST,__const) non-external __ZTV28AGCLLVMAGPFragmentShaderGen3
00000001f29dd478 (__AUTH_CONST,__const) non-external __ZTV28AGCLLVMAGPFragmentShaderGen4
00000001f29dda18 (__AUTH_CONST,__const) non-external __ZTV28AGCLLVMAGPFragmentShaderGen6
00000001f2a07720 (__AUTH_CONST,__const) non-external __ZTV28AGCLLVMAirBuiltinReplacementI18AGCLLVMAirBuiltinsE
00000001f29e4fb8 (__AUTH_CONST,__const) non-external __ZTV28AGCLLVMAirBuiltinReplacementI21AGCLLVMUserMeshShaderE
00000001f2a33688 (__AUTH_CONST,__const) non-external __ZTV28AGCLLVMAirBuiltinReplacementI21AGCLLVMUserTileShaderE
00000001f29e6018 (__AUTH_CONST,__const) non-external __ZTV28AGCLLVMAirBuiltinReplacementI23AGCLLVMUserMeshShaderSWE
00000001f29e7658 (__AUTH_CONST,__const) non-external __ZTV28AGCLLVMAirBuiltinReplacementI23AGCLLVMUserObjectShaderE
00000001f2a07738 (__AUTH_CONST,__const) non-external __ZTV28AGCLLVMAirBuiltinReplacementI24AGCLLVMAirTrigIdentitiesE
00000001f2a2e660 (__AUTH_CONST,__const) non-external __ZTV28AGCLLVMAirBuiltinReplacementI25AGCLLVMUserDynamicLibraryE
00000001f29e86b8 (__AUTH_CONST,__const) non-external __ZTV28AGCLLVMAirBuiltinReplacementI25AGCLLVMUserObjectShaderSWE
00000001f2a2da30 (__AUTH_CONST,__const) non-external __ZTV28AGCLLVMAirBuiltinReplacementI27AGCLLVMUserComputeKernelG10E
00000001f29e7520 (__AUTH_CONST,__const) non-external __ZTV28AGCLLVMAirBuiltinReplacementI27AGCLLVMUserObjectShaderBaseE
