00000001e9d1b18c (__TEXT,__text) non-external +[CPIndex log]
0000000209a22988 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_PMSearchServiceProtocol
000000020ffbdf20 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_CPIndex
000000020ffbdfb0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_CPIndexFactory
000000020ffbe040 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_CPSearch
000000020ffbe1f0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_CPSearchContext
000000020ffbe0d0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_CPSearchFactory
000000020ffbe280 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_CPSearchQueryShim
000000020ffbe160 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_CPSearchableIndexShim
000000020ffbe310 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_CPTopHitSearchQueryShim
000000020ffbe3a0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_CPXPCConnection
000000020ffbe430 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_CPXPCConnectionFactory
000000020ffbe4c0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_PMAttribute
000000020ffbe550 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_PMCard
000000020ffbe5e0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_PMDeviceLockMonitor
000000020ffbe670 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_PMIndexableItem
000000020ffbe790 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_PMParamKeyValue
000000020ffbe700 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_PMParameters
000000020ffbe820 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_PMParamsManager
000000020ffbe8b0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_PMPerson
000000020ffbe940 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_PMQuery
000000020ffbe9d0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_PMQueryNode
000000020cd454d0 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_CPIndex
000000020cd45530 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_CPSearch
000000020cd455f0 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_CPXPCConnection
000000020cd45650 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSCopying
000000020cd45470 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSObject
000000020cd45590 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_PMSearchServiceProtocol
000000020cd45128 (__DATA,__objc_protorefs) non-external (was a private external) __OBJC_PROTOCOL_REFERENCE_$_PMSearchServiceProtocol
                 (undefined) external __Unwind_Resume (from libSystem)
00000001e9d3793c (__TEXT,__text) external __Z15evalTimeISO8601PKcPd
000000020cd45b68 (__DATA,__bss) non-external __ZL18cachedSearchParams
000000020cd456b0 (__DATA,__data) non-external __ZL19defaultParamStructs
00000001e9d3fd58 (__TEXT,__text) external __ZN2sq14isTimeOperatorEi
00000001e9d3aa6c (__TEXT,__text) non-external (was a private external) __ZN2sq4nodeD2Ev
00000001e9d3fd68 (__TEXT,__text) external __ZN2sq5parseEPKcPPNS_4nodeE
00000001e9d42810 (__TEXT,__const) non-external __ZN2sqL13timeOperatorsE
00000001e9d402f0 (__TEXT,__text) non-external __ZN2sqL8tokenizeEPNS_5lexerE
00000001e9d3fdec (__TEXT,__text) non-external __ZN2sqL9parse_expEPNS_6parserEPPNS_4nodeE
00000001e9d3aadc (__TEXT,__text) non-external (was a private external) __ZNKSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEE20__throw_length_errorEv
                 (undefined) external __ZNKSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEE7compareEmmPKcm (from libc++)
                 (undefined) external __ZNKSt3__121__basic_string_commonILb1EE20__throw_length_errorEv (from libc++)
                 (undefined) external __ZNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEE5eraseEmm (from libc++)
                 (undefined) external __ZNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEE6assignEPKc (from libc++)
                 (undefined) external __ZNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEE6assignEPKcm (from libc++)
                 (undefined) external __ZNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEE6resizeEmc (from libc++)
                 (undefined) external __ZNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEE9push_backEc (from libc++)
                 (undefined) external __ZNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEC1ERKS5_ (from libc++)
                 (undefined) external __ZSt9terminatev (from libc++)
                 (undefined) weak external __ZdlPv (from libc++)
                 (undefined) weak external __Znwm (from libc++)
00000001e9d1b24c (__TEXT,__text) non-external ___14+[CPIndex log]_block_invoke
00000001e9d1e350 (__TEXT,__text) non-external ___15+[CPSearch log]_block_invoke
00000001e9d1ebcc (__TEXT,__text) non-external ___17-[CPSearch start]_block_invoke
00000001e9d1ed0c (__TEXT,__text) non-external ___17-[CPSearch start]_block_invoke.45
00000001e9d1b33c (__TEXT,__text) non-external ___22+[CPIndex signpostLog]_block_invoke
00000001e9d26dec (__TEXT,__text) non-external ___22+[CPXPCConnection log]_block_invoke
00000001e9d32dec (__TEXT,__text) non-external ___22+[PMParamsManager log]_block_invoke
00000001e9d27238 (__TEXT,__text) non-external ___23-[CPXPCConnection init]_block_invoke
00000001e9d272d0 (__TEXT,__text) non-external ___23-[CPXPCConnection init]_block_invoke.86
00000001e9d2500c (__TEXT,__text) non-external ___24+[CPSearchQueryShim log]_block_invoke
00000001e9d2cec8 (__TEXT,__text) non-external ___26+[PMDeviceLockMonitor log]_block_invoke
00000001e9d25ad4 (__TEXT,__text) non-external ___26-[CPSearchQueryShim start]_block_invoke
00000001e9d25dc4 (__TEXT,__text) non-external ___27-[CPSearchQueryShim cancel]_block_invoke
00000001e9d1f32c (__TEXT,__text) non-external ___28+[CPSearchableIndexShim log]_block_invoke
00000001e9d265dc (__TEXT,__text) non-external ___30+[CPTopHitSearchQueryShim log]_block_invoke
00000001e9d30608 (__TEXT,__text) non-external ___34+[PMParameters(GetParamValue) log]_block_invoke
00000001e9d1f414 (__TEXT,__text) non-external ___36+[CPSearchableIndexShim signpostLog]_block_invoke
00000001e9d1f51c (__TEXT,__text) non-external ___37+[CPSearchableIndexShim userDefaults]_block_invoke
00000001e9d2cff4 (__TEXT,__text) non-external ___37+[PMDeviceLockMonitor sharedInstance]_block_invoke
00000001e9d32f1c (__TEXT,__text) non-external ___38+[PMParamsManager getDefaultParamDict]_block_invoke
00000001e9d1b978 (__TEXT,__text) non-external ___40-[CPIndex indexItems:completionHandler:]_block_invoke
00000001e9d1baec (__TEXT,__text) non-external ___40-[CPIndex indexItems:completionHandler:]_block_invoke.30
00000001e9d387fc (__TEXT,__text) non-external ___41-[PMQuery(InitMethods) _lookupAttribute:]_block_invoke
00000001e9d25628 (__TEXT,__text) non-external ___44-[CPSearchQueryShim initWithSearch:context:]_block_invoke
00000001e9d256a0 (__TEXT,__text) non-external ___44-[CPSearchQueryShim initWithSearch:context:]_block_invoke.30
00000001e9d1c120 (__TEXT,__text) non-external ___47-[CPIndex deleteAllItemsWithCompletionHandler:]_block_invoke
00000001e9d1c20c (__TEXT,__text) non-external ___47-[CPIndex deleteAllItemsWithCompletionHandler:]_block_invoke.50
00000001e9d1ddf4 (__TEXT,__text) non-external ___53-[CPIndex fetchLastClientStateWithCompletionHandler:]_block_invoke
00000001e9d1dee8 (__TEXT,__text) non-external ___53-[CPIndex fetchLastClientStateWithCompletionHandler:]_block_invoke.97
00000001e9d1c798 (__TEXT,__text) non-external ___56-[CPIndex deleteItemsWithIdentifiers:completionHandler:]_block_invoke
00000001e9d1c888 (__TEXT,__text) non-external ___56-[CPIndex deleteItemsWithIdentifiers:completionHandler:]_block_invoke.53
00000001e9d21570 (__TEXT,__text) non-external ___57-[CPSearchableIndexShim _issueCommand:completionHandler:]_block_invoke
00000001e9d21620 (__TEXT,__text) non-external ___57-[CPSearchableIndexShim _issueCommand:completionHandler:]_block_invoke_2
00000001e9d21638 (__TEXT,__text) non-external ___57-[CPSearchableIndexShim _issueCommand:completionHandler:]_block_invoke_3
00000001e9d1d4a8 (__TEXT,__text) non-external ___58-[CPIndex endIndexBatchWithClientState:completionHandler:]_block_invoke
00000001e9d1d598 (__TEXT,__text) non-external ___58-[CPIndex endIndexBatchWithClientState:completionHandler:]_block_invoke.82
00000001e9d1ccdc (__TEXT,__text) non-external ___62-[CPIndex deleteItemsWithDomainIdentifiers:completionHandler:]_block_invoke
00000001e9d1cdcc (__TEXT,__text) non-external ___62-[CPIndex deleteItemsWithDomainIdentifiers:completionHandler:]_block_invoke.58
00000001e9d20228 (__TEXT,__text) non-external ___64-[CPSearchableIndexShim indexSearchableItems:completionHandler:]_block_invoke
00000001e9d2048c (__TEXT,__text) non-external ___64-[CPSearchableIndexShim indexSearchableItems:completionHandler:]_block_invoke.55
00000001e9d20684 (__TEXT,__text) non-external ___64-[CPSearchableIndexShim indexSearchableItems:completionHandler:]_block_invoke.59
00000001e9d1fef4 (__TEXT,__text) non-external ___67+[CPSearchableIndexShim fetchFile:attributesWithCompletionHandler:]_block_invoke
00000001e9d21164 (__TEXT,__text) non-external ___71-[CPSearchableIndexShim deleteAllSearchableItemsWithCompletionHandler:]_block_invoke
00000001e9d21178 (__TEXT,__text) non-external ___71-[CPSearchableIndexShim deleteAllSearchableItemsWithCompletionHandler:]_block_invoke.76
00000001e9d20a78 (__TEXT,__text) non-external ___80-[CPSearchableIndexShim deleteSearchableItemsWithIdentifiers:completionHandler:]_block_invoke
00000001e9d20a90 (__TEXT,__text) non-external ___80-[CPSearchableIndexShim deleteSearchableItemsWithIdentifiers:completionHandler:]_block_invoke.67
00000001e9d2695c (__TEXT,__text) non-external ___85-[CPTopHitSearchQueryShim initWithSearchString:keyboardLanguage:attributes:hitCount:]_block_invoke
00000001e9d20e2c (__TEXT,__text) non-external ___86-[CPSearchableIndexShim deleteSearchableItemsWithDomainIdentifiers:completionHandler:]_block_invoke
00000001e9d20e44 (__TEXT,__text) non-external ___86-[CPSearchableIndexShim deleteSearchableItemsWithDomainIdentifiers:completionHandler:]_block_invoke_2
00000001e9d225e4 (__TEXT,__text) non-external ___87-[CPSearchableIndexShim(CPOptionalBatching) fetchLastClientStateWithCompletionHandler:]_block_invoke
00000001e9d226f0 (__TEXT,__text) non-external ___87-[CPSearchableIndexShim(CPOptionalBatching) fetchLastClientStateWithCompletionHandler:]_block_invoke_2
00000001e9d22098 (__TEXT,__text) non-external ___92-[CPSearchableIndexShim(CPOptionalBatching) endIndexBatchWithClientState:completionHandler:]_block_invoke
00000001e9d22224 (__TEXT,__text) non-external ___92-[CPSearchableIndexShim(CPOptionalBatching) endIndexBatchWithClientState:completionHandler:]_block_invoke_2
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
                 (undefined) external ___NSArray0__struct (from CoreFoundation)
00000001e9d3aa24 (__TEXT,__text) non-external ____ZL6getLogv_block_invoke
                 (undefined) external ___assert_rtn (from libSystem)
0000000209a227a0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e5_v8?0l
000000020ffbd888 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32bs_e5_v8?0l
000000020ffbd808 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e17_v16?0"NSError"8l
000000020ffbd838 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e29_v24?0"NSArray"8"NSError"16l
000000020ffbdac8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e5_v8?0l
000000020ffbda38 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32w_e17_v16?0"NSArray"8l
000000020ffbda68 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32w_e17_v16?0"NSError"8l
000000020ffbdaf8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32w_e5_v8?0l
000000020ffbd6c8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8__e5_v8?0l
000000020ffbdb48 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_ea8__e5_v8?0l
000000020ffbd718 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40bs_e17_v16?0"NSError"8l
000000020ffbd7d8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40bs_e28_v24?0"NSData"8"NSError"16l
000000020ffbd948 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40bs_e5_v8?0l
000000020ffbda98 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40s_e5_v8?0l
000000020ffbd8e8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40bs48bs_e17_v16?0"NSError"8l
000000020ffbd978 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40bs48bs_e28_v24?0"NSData"8"NSError"16l
000000020ffbd9a8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40bs48s_e17_v16?0"NSError"8l
000000020ffbda08 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40bs48s_e28_v24?0"NSData"8"NSError"16l
000000020ffbd778 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48bs_e17_v16?0"NSError"8l
000000020ffbd918 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48bs_e5_v8?0l
000000020ffbd9d8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_64_e8_32s40s48bs56s_e17_v16?0"NSError"8l
000000020ffbd748 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_64_e8_32s40s48bs_e17_v16?0"NSError"8l
000000020ffbd8b8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_64_e8_32s40s48s56bs_e5_v8?0l
000000020ffbd7a8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_72_e8_32s40s48s56s64bs_e17_v16?0"NSError"8l
000000020ffbd6f8 (__AUTH_CONST,__const) non-external ___block_literal_global
000000020ffbd868 (__AUTH_CONST,__const) non-external ___block_literal_global
000000020ffbdb28 (__AUTH_CONST,__const) non-external ___block_literal_global
000000020ffbdb78 (__AUTH_CONST,__const) non-external ___block_literal_global
000000020ffbdb98 (__AUTH_CONST,__const) non-external ___block_literal_global
000000020ffbdbb8 (__AUTH_CONST,__const) non-external ___block_literal_global.245
00000001e9d3aad0 (__TEXT,__text) non-external (was a private external) ___clang_call_terminate
00000001e9d1b2c4 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_
00000001e9d1ff74 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32b
00000001e9d1ecfc (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s
00000001e9d1ba68 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40b
00000001e9d207c8 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40b48b
00000001e9d22354 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40b48s
00000001e9d25ae8 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s
00000001e9d1be50 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48b
00000001e9d223a4 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48b56s
00000001e9d205e0 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48s56b
00000001e9d1d874 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48s56s64b
00000001e9d2568c (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32w
00000001e9d32e78 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_ea8_
                 (undefined) external ___cxa_atexit (from libSystem)
                 (undefined) external ___cxa_begin_catch (from libc++)
00000001e9d35d18 (__TEXT,__text) non-external ___cxx_global_array_dtor
00000001e9d1b2c8 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_
00000001e9d1ed04 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s
00000001e9d1bab0 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s
00000001e9d1bea0 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s48s
00000001e9d20638 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s48s56s
00000001e9d1d8d4 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s48s56s64s
00000001e9d25698 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32w
00000001e9d32e7c (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_ea8_
                 (undefined) external ___gxx_personality_v0 (from libc++)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___tolower (from libSystem)
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external __os_log_impl (from libSystem)
                 (undefined) external __os_signpost_emit_with_name_impl (from libSystem)
000000020cd45988 (__DATA,__objc_arraydata) non-external __unnamed_array_storage
000000020cd45a10 (__DATA,__objc_arraydata) non-external __unnamed_array_storage.105
                 (undefined) external _atof (from libSystem)
                 (undefined) external _dispatch_async (from libSystem)
                 (undefined) external _dispatch_get_global_queue (from libSystem)
                 (undefined) external _dispatch_once (from libSystem)
000000020cd45980 (__DATA,__data) external _enablePrivacy
                 (undefined) external _fmod (from libSystem)
                 (undefined) external _fmodf (from libSystem)
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
                 (undefined) external _kCFAllocatorSystemDefault (from CoreFoundation)
                 (undefined) external _kCFGregorianCalendar (from CoreFoundation)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autorelease (from libobjc)
                 (undefined) external _objc_autoreleasePoolPop (from libobjc)
                 (undefined) external _objc_autoreleasePoolPush (from libobjc)
                 (undefined) external _objc_autoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_copyWeak (from libobjc)
                 (undefined) external _objc_destroyWeak (from libobjc)
                 (undefined) external _objc_enumerationMutation (from libobjc)
                 (undefined) external _objc_getProperty (from libobjc)
                 (undefined) external _objc_initWeak (from libobjc)
                 (undefined) external _objc_loadWeakRetained (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
                 (undefined) external _objc_msgSendSuper2 (from libobjc)
                 (undefined) external _objc_opt_class (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_retainAutorelease (from libobjc)
                 (undefined) external _objc_retainAutoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_retainAutoreleasedReturnValue (from libobjc)
                 (undefined) external _objc_retainBlock (from libobjc)
                 (undefined) external _objc_setProperty_atomic_copy (from libobjc)
                 (undefined) external _objc_setProperty_nonatomic_copy (from libobjc)
                 (undefined) external _objc_storeStrong (from libobjc)
                 (undefined) external _objc_storeWeak (from libobjc)
                 (undefined) external _os_log_create (from libSystem)
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _os_signpost_enabled (from libSystem)
                 (undefined) external _os_signpost_id_make_with_pointer (from libSystem)
                 (undefined) external _os_unfair_lock_lock (from libSystem)
                 (undefined) external _os_unfair_lock_unlock (from libSystem)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strtoll (from libSystem)
