00000001a2464f30 (__TEXT,__text) non-external +[AMFI isAvailable]
00000001a245c2cc (__TEXT,__text) non-external ___57-[SPKernelExtensionPolicy updateLastUsedTimes:withError:]_block_invoke
00000001a24587e0 (__TEXT,__text) non-external ___58-[BundleData initWithURL:withReloadBlock:watchForUpdates:]_block_invoke
00000001a245c358 (__TEXT,__text) non-external ___58-[SPKernelExtensionPolicy requiresAuthenticationOnUpdates]_block_invoke
00000001a245e6ac (__TEXT,__text) non-external ___61-[SPKernelExtensionPolicy(MDM) setUserApprovalAllowed:error:]_block_invoke
00000001a245b8b8 (__TEXT,__text) non-external ___63-[SPKernelExtensionPolicy canLoadKernelExtensionInCache:error:]_block_invoke
00000001a245d1a4 (__TEXT,__text) non-external ___64-[SPExecutionPolicy setBlockedSoftwareOverride:isEnabled:error:]_block_invoke
00000001a245c090 (__TEXT,__text) non-external ___64-[SPKernelExtensionPolicy notifyLoadedKernelExtension:withPath:]_block_invoke
00000001a245c374 (__TEXT,__text) non-external ___64-[SPKernelExtensionPolicy requiresAdministratorToApproveUpdates]_block_invoke
00000001a245bde4 (__TEXT,__text) non-external ___65-[SPKernelExtensionPolicy areKernelExtensionsApproved:withError:]_block_invoke
00000001a245c164 (__TEXT,__text) non-external ___66-[SPKernelExtensionPolicy notifyUnsupportedKernelExtension:error:]_block_invoke
00000001a245eac4 (__TEXT,__text) non-external ___67-[SPKernelExtensionPolicy(MDM) removeMDMPayload:withContext:error:]_block_invoke
00000001a245bebc (__TEXT,__text) non-external ___69-[SPKernelExtensionPolicy requestKernelExtensionApprovals:withError:]_block_invoke
00000001a245bbe4 (__TEXT,__text) non-external ___71-[SPKernelExtensionPolicy updatePolicyItems:withExternalContext:error:]_block_invoke
00000001a245e77c (__TEXT,__text) non-external ___71-[SPKernelExtensionPolicy(MDM) setApprovalRequiresAdministrator:error:]_block_invoke
00000001a245ecd8 (__TEXT,__text) non-external ___76-[SPKernelExtensionPolicy(MDM) enableKernelExtensionManagementForMDM:error:]_block_invoke
00000001a245ba9c (__TEXT,__text) non-external ___78-[SPKernelExtensionPolicy isKernelExtensionApprovedByUser:withBundleID:error:]_block_invoke
00000001a245351c (__TEXT,__text) non-external ___79-[StagedBundleData initWithURL:withStagedURL:withReloadBlock:withPrepareBlock:]_block_invoke
00000001a245c2ec (__TEXT,__text) non-external ___80-[SPKernelExtensionPolicy triggerRecoveryJumpToSecurityStartupUtilityWithError:]_block_invoke
00000001a245a0bc (__TEXT,__text) non-external ___83-[SPExecutionPolicy(Gatekeeper) notifyInstalledContent:withInstallationType:error:]_block_invoke
00000001a245ebe8 (__TEXT,__text) non-external ___87-[SPKernelExtensionPolicy(MDM) triggerKernelCollectionRebuildForMDM:withContext:error:]_block_invoke
00000001a2459fb4 (__TEXT,__text) non-external ___92-[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:]_block_invoke
00000001a2459fc4 (__TEXT,__text) non-external ___92-[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:]_block_invoke.42
00000001a245bf98 (__TEXT,__text) non-external ___93-[SPKernelExtensionPolicy triggerKernelCollectionRebuildFlow:withKernelExtensions:withError:]_block_invoke
00000001a245e904 (__TEXT,__text) non-external ___93-[SPKernelExtensionPolicy(MDM) installMDMPayload:withTeams:withExtensions:withContext:error:]_block_invoke
00000001a245a288 (__TEXT,__text) non-external ___97-[SPExecutionPolicy(Gatekeeper) performGatekeeperScan:withScanOptions:withProgressHandler:error:]_block_invoke
00000001a2464c64 (__TEXT,__text) non-external ___AppleMobileFileIntegrityLibraryCore_block_invoke
00000001a2460410 (__TEXT,__text) non-external ___Block_byref_object_copy_
00000001a2460420 (__TEXT,__text) non-external ___Block_byref_object_dispose_
00000001a2460748 (__TEXT,__text) non-external ___BooleanXPCImpl_block_invoke
00000001a24607f8 (__TEXT,__text) non-external ___BooleanXPCImpl_block_invoke.9
00000001a2467920 (__TEXT,__text) non-external ___BooleanXPCImpl_block_invoke.cold.1
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
                 (undefined) external ___NSDictionary0__struct (from CoreFoundation)
00000001d4f747d0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e27_B24?0"NSURL"8"NSError"16l
00000001d4f747b0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e28_v24?08?<v?"NSError">16l
00000001d4f747f8 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e28_v24?08?<v?B"NSError">16l
00000001d4f74790 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e5_v8?0l
00000001d4f74818 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_33_e28_v24?08?<v?B"NSError">16l
00000001de807718 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32bs_e17_v16?0"NSError"8l
00000001de807868 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32bs_e57_^v32?0^{__SecCode=}8^{__CFString=}16^{__CFDictionary=}24l
00000001de8078c8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32r_e5_v8?0l
00000001de807808 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e15_B16?0"NSURL"8l
00000001de8071c8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e20_v16?0"BundleData"8l
00000001de807218 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e28_v24?08?<v?"NSError">16l
00000001de8072e8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e28_v24?08?<v?B"NSError">16l
00000001de807488 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e54_v40?0"NSURL"8"NSString"16"NSString"24"NSString"32l
00000001de8072b8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e5_v8?0l
00000001de807168 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32w_e20_v16?0"BundleData"8l
00000001de807648 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_41_e8_32s_e28_v24?08?<v?B"NSError">16l
00000001de807778 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32bs40r_e17_v16?0"NSError"8l
00000001de8076e8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32r40r_e20_v24?08"NSError"16l
00000001de807898 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32r_e5_v8?0l
00000001de807838 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40s_e15_v16?0"NSURL"8l
00000001de8074b8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40s_e28_v24?08?<v?B"NSError">16l
00000001de807198 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40w_e5_v8?0l
00000001de807348 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s_e28_v24?08?<v?B"NSError">16l
00000001de807748 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_49_e8_32r40r_e20_v20?0B8"NSError"12l
00000001de8077a8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_51_e8_32s40s_e28_v24?08?<v?B"NSError">16l
00000001de807318 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_52_e8_32s_e28_v24?08?<v?B"NSError">16l
00000001de807288 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48bs_e15_v16?0"NSURL"8l
00000001de8077d8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_57_e8_32s40s48s_e28_v24?08?<v?B"NSError">16l
00000001de807378 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_60_e8_32s40bs_e28_v24?08?<v?"NSError">16l
00000001de807698 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_64_e8_32s40s48s56s_e28_v24?08?<v?B"NSError">16l
00000001de8071f8 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001de807248 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001de807268 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001de8073a8 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001de807468 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001de8074e8 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001de807608 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001de807678 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001de8076c8 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001de8078f8 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001de807408 (__AUTH_CONST,__const) non-external ___block_literal_global.10
00000001de807428 (__AUTH_CONST,__const) non-external ___block_literal_global.13
00000001de807448 (__AUTH_CONST,__const) non-external ___block_literal_global.16
00000001de8073c8 (__AUTH_CONST,__const) non-external ___block_literal_global.4
00000001de807918 (__AUTH_CONST,__const) non-external ___block_literal_global.50
00000001de807628 (__AUTH_CONST,__const) non-external ___block_literal_global.66
00000001de8073e8 (__AUTH_CONST,__const) non-external ___block_literal_global.7
00000001de807508 (__AUTH_CONST,__const) non-external ___block_literal_global.79
00000001de807528 (__AUTH_CONST,__const) non-external ___block_literal_global.85
00000001de807548 (__AUTH_CONST,__const) non-external ___block_literal_global.87
00000001de807568 (__AUTH_CONST,__const) non-external ___block_literal_global.89
00000001de807588 (__AUTH_CONST,__const) non-external ___block_literal_global.91
00000001de8075a8 (__AUTH_CONST,__const) non-external ___block_literal_global.93
00000001de8075c8 (__AUTH_CONST,__const) non-external ___block_literal_global.95
00000001de8075e8 (__AUTH_CONST,__const) non-external ___block_literal_global.97
                 (undefined) external ___chkstk_darwin (from libSystem)
00000001a246059c (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32b
00000001a2460818 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32b40r
00000001a2464cf4 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32r
00000001a24604f0 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32r40r
00000001a2453fa4 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s
00000001a245a2a8 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40b
00000001a245baac (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s
00000001a2457afc (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48b
00000001a24626c8 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48s
00000001a245e918 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48s56s
00000001a24539dc (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40w
00000001a245355c (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32w
00000001a2464d04 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32r
00000001a2460540 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32r40r
00000001a2453fac (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s
00000001a2460868 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40r
00000001a245a2f0 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s
00000001a2457b4c (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s48s
00000001a245e964 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s48s56s
00000001a2453a20 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40w
00000001a2453568 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32w
00000001a2460428 (__TEXT,__text) non-external ___doObjectXPCFunction_block_invoke
00000001a2460584 (__TEXT,__text) non-external ___doObjectXPCFunction_block_invoke.1
00000001a2467868 (__TEXT,__text) non-external ___doObjectXPCFunction_block_invoke.cold.1
                 (undefined) external ___error (from libSystem)
00000001a2464e60 (__TEXT,__text) non-external ___getAMFIExecutionPreflightSymbolLoc_block_invoke
00000001a245e580 (__TEXT,__text) non-external ___globalBundleSuffixes_block_invoke
                 (undefined) external ___objc_personality_v0 (from libobjc)
00000001a24649f0 (__TEXT,__text) non-external ___opaqueSignCode_block_invoke
00000001a24579f8 (__TEXT,__text) non-external ___scanForBundledKernelExtensions_block_invoke
00000001a2457568 (__TEXT,__text) non-external ___scanForBundles_block_invoke
00000001a2466788 (__TEXT,__text) non-external ___scanForBundles_block_invoke.cold.1
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external __dispatch_main_q (from libSystem)
                 (undefined) external __dispatch_queue_attr_concurrent (from libSystem)
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external __os_feature_enabled_impl (from libSystem)
                 (undefined) external __os_log_debug_impl (from libSystem)
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
                 (undefined) external __os_log_impl (from libSystem)
                 (undefined) external __qtn_error (from libSystem)
                 (undefined) external __qtn_file_alloc (from libSystem)
                 (undefined) external __qtn_file_free (from libSystem)
                 (undefined) external __qtn_file_get_flags (from libSystem)
                 (undefined) external __qtn_file_init_with_mount_point (from libSystem)
                 (undefined) external __qtn_file_init_with_path (from libSystem)
                 (undefined) external __sl_dlopen (from SoftLinking)
00000001d4f77980 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage
00000001d4f77b98 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage
00000001d4f77bd0 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage
00000001d4f77d00 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage
00000001d4f77de8 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage
00000001d4f779f0 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.104
00000001d4f77c10 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.105
00000001d4f77c18 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.114
00000001d4f77c20 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.120
00000001d4f77c28 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.122
00000001d4f77c68 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.123
00000001d4f77ca8 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.176
00000001d4f77a18 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.178
00000001d4f77a78 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.179
00000001d4f77ad8 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.232
00000001d4f77b20 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.233
00000001d4f77b68 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.251
00000001d4f77b80 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.252
00000001d4f77990 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.59
00000001d4f77bd8 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.60
00000001d4f77be0 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.69
00000001d4f77be8 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.81
00000001d4f779b0 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.86
00000001d4f77bf8 (__DATA_CONST,__objc_arraydata) non-external __unnamed_array_storage.96
                 (undefined) external _abort_report_np (from libSystem)
00000001a2464548 (__TEXT,__text) external _areGatekeeperOverridesDisabledByMDM
                 (undefined) external _bzero (from libSystem)
00000001a245c3e0 (__TEXT,__text) external _calculateTotalPathSize
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _ccdigest_init (from libSystem)
                 (undefined) external _ccdigest_update (from libSystem)
                 (undefined) external _ccsha256_di (from libSystem)
00000001a2464494 (__TEXT,__text) external _checkBOOLSetting
00000001a2458124 (__TEXT,__text) external _checkPathQuarantineState
00000001a2466acc (__TEXT,__text) non-external _checkPathQuarantineState.cold.1
00000001a245808c (__TEXT,__text) external _checkURLQuarantineState
                 (undefined) external _close (from libSystem)
00000001a2455374 (__TEXT,__text) external _copyAdhocSignatureHash
00000001a2465ba0 (__TEXT,__text) non-external _copyAdhocSignatureHash.cold.1
00000001a2465d9c (__TEXT,__text) non-external _copyAdhocSignatureHash.cold.10
00000001a2465dd0 (__TEXT,__text) non-external _copyAdhocSignatureHash.cold.11
00000001a2465e04 (__TEXT,__text) non-external _copyAdhocSignatureHash.cold.12
00000001a2465e38 (__TEXT,__text) non-external _copyAdhocSignatureHash.cold.13
00000001a2465e94 (__TEXT,__text) non-external _copyAdhocSignatureHash.cold.14
00000001a2465ec8 (__TEXT,__text) non-external _copyAdhocSignatureHash.cold.15
00000001a2465f4c (__TEXT,__text) non-external _copyAdhocSignatureHash.cold.16
00000001a2465fa8 (__TEXT,__text) non-external _copyAdhocSignatureHash.cold.17
00000001a2466004 (__TEXT,__text) non-external _copyAdhocSignatureHash.cold.18
00000001a2465bfc (__TEXT,__text) non-external _copyAdhocSignatureHash.cold.2
00000001a2465c30 (__TEXT,__text) non-external _copyAdhocSignatureHash.cold.3
00000001a2465c64 (__TEXT,__text) non-external _copyAdhocSignatureHash.cold.4
00000001a2465c98 (__TEXT,__text) non-external _copyAdhocSignatureHash.cold.5
00000001a2465ccc (__TEXT,__text) non-external _copyAdhocSignatureHash.cold.6
00000001a2465d00 (__TEXT,__text) non-external _copyAdhocSignatureHash.cold.7
00000001a2465d34 (__TEXT,__text) non-external _copyAdhocSignatureHash.cold.8
00000001a2465d68 (__TEXT,__text) non-external _copyAdhocSignatureHash.cold.9
00000001a2456c48 (__TEXT,__text) external _copyBootUUID
00000001a2466618 (__TEXT,__text) non-external _copyBootUUID.cold.1
00000001a24563ac (__TEXT,__text) external _copyBundleID
00000001a2466320 (__TEXT,__text) non-external _copyBundleID.cold.1
00000001a24564a4 (__TEXT,__text) external _copyBundleIDFromURL
00000001a24566c4 (__TEXT,__text) external _copyBundleVersion
00000001a24663d8 (__TEXT,__text) non-external _copyBundleVersion.cold.1
00000001a24565cc (__TEXT,__text) external _copyBundleVersionShort
00000001a246637c (__TEXT,__text) non-external _copyBundleVersionShort.cold.1
00000001a2456538 (__TEXT,__text) external _copyBundleVersionShortFromURL
00000001a2455d58 (__TEXT,__text) external _copyCdhash
00000001a2466060 (__TEXT,__text) non-external _copyCdhash.cold.1
00000001a2466094 (__TEXT,__text) non-external _copyCdhash.cold.2
00000001a24660c8 (__TEXT,__text) non-external _copyCdhash.cold.3
00000001a2455cd0 (__TEXT,__text) external _copyCdhashFromKextURL
00000001a2464648 (__TEXT,__text) external _copyCodeSigningInfo
00000001a2456a6c (__TEXT,__text) external _copyDeveloperName
00000001a2466490 (__TEXT,__text) non-external _copyDeveloperName.cold.1
00000001a24664f4 (__TEXT,__text) non-external _copyDeveloperName.cold.2
00000001a2466558 (__TEXT,__text) non-external _copyDeveloperName.cold.3
00000001a24665bc (__TEXT,__text) non-external _copyDeveloperName.cold.4
00000001a2464a4c (__TEXT,__text) external _copyEntitlements
00000001a245c568 (__TEXT,__text) external _copyFileHashForURL
00000001a2467160 (__TEXT,__text) non-external _copyFileHashForURL.cold.1
00000001a24671fc (__TEXT,__text) non-external _copyFileHashForURL.cold.2
00000001a2467288 (__TEXT,__text) non-external _copyFileHashForURL.cold.3
00000001a2455eb0 (__TEXT,__text) external _copyLegacyCdhash
00000001a2454120 (__TEXT,__text) external _copyLegacyDeveloperName
00000001a2457df8 (__TEXT,__text) external _copySecureTimestamp
00000001a2466a0c (__TEXT,__text) non-external _copySecureTimestamp.cold.1
00000001a2456dec (__TEXT,__text) external _copyShippedThirdPartyKernelExtensions
00000001a24562d4 (__TEXT,__text) external _copySigningID
00000001a24662c4 (__TEXT,__text) non-external _copySigningID.cold.1
00000001a24560f0 (__TEXT,__text) external _copyTeamIdentifier
00000001a2466268 (__TEXT,__text) non-external _copyTeamIdentifier.cold.1
00000001a2455f1c (__TEXT,__text) external _copyTeamIdentifierFromCertificates
00000001a2466124 (__TEXT,__text) non-external _copyTeamIdentifierFromCertificates.cold.1
00000001a2466190 (__TEXT,__text) non-external _copyTeamIdentifierFromCertificates.cold.2
00000001a2456038 (__TEXT,__text) external _copyTeamIdentifierFromSigningInformation
00000001a24661fc (__TEXT,__text) non-external _copyTeamIdentifierFromSigningInformation.cold.1
00000001a24567bc (__TEXT,__text) external _copyUnstagedURL
00000001a2466434 (__TEXT,__text) non-external _copyUnstagedURL.cold.1
00000001a245536c (__TEXT,__text) external _createCodeReference
00000001a2455254 (__TEXT,__text) non-external _createCodeReferenceHelper
00000001a2465a90 (__TEXT,__text) non-external _createCodeReferenceHelper.cold.1
00000001a2465b18 (__TEXT,__text) non-external _createCodeReferenceHelper.cold.2
00000001a245524c (__TEXT,__text) external _createCodeReferenceQuiet
00000001a2455190 (__TEXT,__text) external _createHexStringFromData
00000001a2460d38 (__TEXT,__text) non-external _createMigrationManifest
00000001a24679c0 (__TEXT,__text) non-external _createMigrationManifest.cold.1
00000001a24645a0 (__TEXT,__text) external _createSecStaticCodeForURL
00000001a2467db8 (__TEXT,__text) non-external _createSecStaticCodeForURL.cold.1
00000001a2464458 (__TEXT,__text) external _createSystemPolicyDefaults
00000001a24568c8 (__TEXT,__text) external _createURLWithoutPrefix
                 (undefined) external _csr_check (from libSystem)
00000001d9218538 (__DATA,__bss) non-external _currentDeviceID.sDeviceID
00000001d9218540 (__DATA,__bss) non-external _currentDeviceID.sOnceToken
                 (undefined) external _difftime (from libSystem)
                 (undefined) external _dirstat_np (from libSystem)
                 (undefined) external _dispatch_barrier_async (from libSystem)
                 (undefined) external _dispatch_once (from libSystem)
                 (undefined) external _dispatch_queue_create (from libSystem)
                 (undefined) external _dispatch_sync (from libSystem)
                 (undefined) external _dlerror (from libSystem)
                 (undefined) external _dlsym (from libSystem)
00000001a245fefc (__TEXT,__text) external _doBooleanXPCFunction
00000001a2460170 (__TEXT,__text) external _doBooleanXPCFunctionSilent
00000001a2460178 (__TEXT,__text) external _doObjectXPCFunction
00000001d92184f0 (__DATA,__bss) non-external _exec.sLog
00000001d92184e8 (__DATA,__bss) non-external _exec.sLogInit
00000001a245c49c (__TEXT,__text) external _fileExists
00000001a245c504 (__TEXT,__text) external _fileIsSymlink
00000001a245d694 (__TEXT,__text) external _findContainingBundle
00000001a2457030 (__TEXT,__text) external _findFirstSubdirectoryURL
00000001a245df98 (__TEXT,__text) external _findOuterMostBundle
00000001a24673c0 (__TEXT,__text) non-external _findOuterMostBundle.cold.1
00000001a245e4a4 (__TEXT,__text) external _findOuterMostBundleWithFilter
00000001a24673f8 (__TEXT,__text) non-external _findOuterMostBundleWithFilter.cold.1
00000001a245d828 (__TEXT,__text) external _findScanTargetByPath
00000001a245dbc0 (__TEXT,__text) external _findTopAppBundle
00000001a245d798 (__TEXT,__text) external _findTopBundle
                 (undefined) external _free (from libSystem)
00000001a24589c0 (__TEXT,__text) non-external _fsEventCallback
00000001d92184d0 (__DATA,__bss) non-external _generic.sLog
00000001d92184c8 (__DATA,__bss) non-external _generic.sLogInit
00000001a2464d6c (__TEXT,__text) non-external (was a private external) _getAMFIExecutionPreflightSymbolLoc
00000001d9218550 (__DATA,__bss) non-external _getAMFIExecutionPreflightSymbolLoc.ptr
00000001d92184b8 (__DATA,__bss) non-external _getAllowedPaths.dragWhitelist
00000001d92184c0 (__DATA,__bss) non-external _getAllowedPaths.once
00000001a24561d0 (__TEXT,__text) external _getDictionaryValue
00000001a245de90 (__TEXT,__text) external _getVolumePrefix
00000001a2467314 (__TEXT,__text) non-external _getVolumePrefix.cold.1
                 (undefined) external _getattrlist (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _getuid (from libSystem)
00000001a245d640 (__TEXT,__text) non-external _globalBundleSuffixes
00000001d9218530 (__DATA,__bss) non-external _globalBundleSuffixes.bundleSuffixes
00000001d9218528 (__DATA,__bss) non-external _globalBundleSuffixes.staticInit
00000001a245ddfc (__TEXT,__text) external _hasAppExtension
00000001a2456e70 (__TEXT,__text) external _hasCodeRequirementString
00000001a24666d0 (__TEXT,__text) non-external _hasCodeRequirementString.cold.1
00000001a246aad6 (__TEXT,__cstring) non-external _hexString.nibble
00000001a245838c (__TEXT,__text) external _historyEntriesContainPolicyMatch
00000001a2458210 (__TEXT,__text) external _historyEntryMatchesPolicyEntry
00000001a2456f78 (__TEXT,__text) external _isAdhocSignature
00000001a246672c (__TEXT,__text) non-external _isAdhocSignature.cold.1
00000001a2454b30 (__TEXT,__text) external _isAppleInternalMachine
00000001a2456f38 (__TEXT,__text) external _isAppleSignedCode
00000001a2454b9c (__TEXT,__text) external _isBehavioralEngineEnabledMachine
00000001a2457b90 (__TEXT,__text) external _isCodelessKext
00000001a24667ec (__TEXT,__text) non-external _isCodelessKext.cold.1
00000001a24605ac (__TEXT,__text) external _isConnectionEntitled
00000001a24678c4 (__TEXT,__text) non-external _isConnectionEntitled.cold.1
00000001a2454b54 (__TEXT,__text) external _isDarwinOSEnvironment
00000001a2456f68 (__TEXT,__text) external _isDeveloperIDKextSignedCode
00000001a2456f58 (__TEXT,__text) external _isDeveloperIDSignedCode
00000001a2454b60 (__TEXT,__text) external _isInstallerOrRecoveryEnvironment
00000001a2456e00 (__TEXT,__text) external _isKernelExtensionShippedWithOS
00000001a2456df8 (__TEXT,__text) external _isKernelExtensionSystemRequired
00000001a2457ed0 (__TEXT,__text) external _isKextAllowedWithoutNotarization
00000001a2466a68 (__TEXT,__text) non-external _isKextAllowedWithoutNotarization.cold.1
00000001a2454ac4 (__TEXT,__text) external _isKextSecurityDisabledMachine
00000001a2456f48 (__TEXT,__text) external _isMacAppStoreSignedCode
00000001a246094c (__TEXT,__text) non-external _isMigrationManifestUpToDate
00000001a2457c44 (__TEXT,__text) external _isNotarizedKext
00000001a2466850 (__TEXT,__text) non-external _isNotarizedKext.cold.1
00000001a24668f4 (__TEXT,__text) non-external _isNotarizedKext.cold.2
00000001a2466980 (__TEXT,__text) non-external _isNotarizedKext.cold.3
00000001a2454bb0 (__TEXT,__text) external _isProvenanceTrackingEnabled
00000001a2454ae8 (__TEXT,__text) external _isSIPDisabledMachine
00000001a2454b0c (__TEXT,__text) external _isSKELDisabledMachine
00000001a245d45c (__TEXT,__text) external _isValidInfoPlist
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
                 (undefined) external _kCFBooleanFalse (from CoreFoundation)
                 (undefined) external _kCFBooleanTrue (from CoreFoundation)
                 (undefined) external _kCFNull (from CoreFoundation)
                 (undefined) external _kCFRunLoopDefaultMode (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryKeyCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryValueCallBacks (from CoreFoundation)
                 (undefined) weak external _kMISValidationInfoSignerType (from libmis)
                 (undefined) weak external _kMISValidationInfoValidatedByLocalProfile (from libmis)
                 (undefined) weak external _kMISValidationInfoValidatedByUniversalProfile (from libmis)
                 (undefined) weak external _kMISValidationOptionOnlineAuthorization (from libmis)
                 (undefined) weak external _kMISValidationOptionRespectUppTrustAndAuthorization (from libmis)
                 (undefined) weak external _kMISValidationOptionUnauthoritativeLaunch (from libmis)
                 (undefined) weak external _kMISValidationOptionValidateSignatureOnly (from libmis)
                 (undefined) external _kSecCodeInfoCertificates (from Security)
                 (undefined) external _kSecCodeInfoDigestAlgorithm (from Security)
                 (undefined) external _kSecCodeInfoEntitlementsDict (from Security)
