00000001df323d20 (__DATA,__data) non-external _C
00000001801c45e4 (__TEXT,__text) external _islower
00000001801c4fec (__TEXT,__text) external _islower_l
00000001801c4a18 (__TEXT,__text) external _isnumber
00000001801c5060 (__TEXT,__text) external _isnumber_l
00000001801c4a8c (__TEXT,__text) external _isphonogram
00000001801c50d4 (__TEXT,__text) external _isphonogram_l
00000001801c4658 (__TEXT,__text) external _isprint
00000001801c5148 (__TEXT,__text) external _isprint_l
00000001801c46cc (__TEXT,__text) external _ispunct
00000001801c51bc (__TEXT,__text) external _ispunct_l
00000001801c4b00 (__TEXT,__text) external _isrune
00000001801c5230 (__TEXT,__text) external _isrune_l
                 (undefined) external _issetugid (from libsystem_kernel)
00000001801c4740 (__TEXT,__text) external _isspace
00000001801c52b4 (__TEXT,__text) external _isspace_l
00000001801c4b78 (__TEXT,__text) external _isspecial
00000001801c5328 (__TEXT,__text) external _isspecial_l
00000001801e929c (__TEXT,__text) non-external _istrsenvisx
0000000180232e48 (__TEXT,__text) non-external _istrsenvisx.cold.1
0000000180232e74 (__TEXT,__text) non-external _istrsenvisx.cold.2
0000000180232ea0 (__TEXT,__text) non-external _istrsenvisx.cold.3
00000001801e96ac (__TEXT,__text) non-external _istrsenvisxl
00000001801c47b4 (__TEXT,__text) external _isupper
00000001801c539c (__TEXT,__text) external _isupper_l
00000001801c54d4 (__TEXT,__text) external _iswalnum
00000001801c5a44 (__TEXT,__text) external _iswalnum_l
00000001801c5550 (__TEXT,__text) external _iswalpha
00000001801c5ac0 (__TEXT,__text) external _iswalpha_l
00000001801c6090 (__TEXT,__text) external _iswascii
00000001801c601c (__TEXT,__text) external _iswblank
00000001801c6358 (__TEXT,__text) external _iswblank_l
00000001801c55c4 (__TEXT,__text) external _iswcntrl
00000001801c5b34 (__TEXT,__text) external _iswcntrl_l
00000001801c5638 (__TEXT,__text) external _iswctype
00000001801c5ba8 (__TEXT,__text) external _iswctype_l
00000001801c56bc (__TEXT,__text) external _iswdigit
00000001801c5c3c (__TEXT,__text) external _iswdigit_l
00000001801c56e4 (__TEXT,__text) external _iswgraph
00000001801c5cb0 (__TEXT,__text) external _iswgraph_l
00000001801c609c (__TEXT,__text) external _iswhexnumber
00000001801c63cc (__TEXT,__text) external _iswhexnumber_l
00000001801c6110 (__TEXT,__text) external _iswideogram
00000001801c6440 (__TEXT,__text) external _iswideogram_l
00000001801c5758 (__TEXT,__text) external _iswlower
00000001801c5d24 (__TEXT,__text) external _iswlower_l
00000001801c6184 (__TEXT,__text) external _iswnumber
00000001801c64b4 (__TEXT,__text) external _iswnumber_l
00000001801c61f8 (__TEXT,__text) external _iswphonogram
00000001801c6528 (__TEXT,__text) external _iswphonogram_l
00000001801c57cc (__TEXT,__text) external _iswprint
00000001801c5d98 (__TEXT,__text) external _iswprint_l
00000001801c5840 (__TEXT,__text) external _iswpunct
00000001801c5e0c (__TEXT,__text) external _iswpunct_l
00000001801c626c (__TEXT,__text) external _iswrune
00000001801c659c (__TEXT,__text) external _iswrune_l
00000001801c58b4 (__TEXT,__text) external _iswspace
00000001801c5e80 (__TEXT,__text) external _iswspace_l
00000001801c62e4 (__TEXT,__text) external _iswspecial
00000001801c6620 (__TEXT,__text) external _iswspecial_l
00000001801c5928 (__TEXT,__text) external _iswupper
00000001801c5ef4 (__TEXT,__text) external _iswupper_l
00000001801c599c (__TEXT,__text) external _iswxdigit
00000001801c5f68 (__TEXT,__text) external _iswxdigit_l
00000001801c4828 (__TEXT,__text) external _isxdigit
00000001801c5410 (__TEXT,__text) external _isxdigit_l
0000000180236f18 (__TEXT,__cstring) non-external _itoa64
00000001801e5000 (__TEXT,__text) external _jrand48
00000001e59161e0 (__DATA_CONST,__const) external _kOSThermalNotificationPressureLevelName
                 (undefined) external _kill (from libsystem_kernel)
00000001801cdb3c (__TEXT,__text) external _killpg
000000018021ac90 (__TEXT,__text) external _l64a
00000001df325a90 (__DATA,__bss) non-external _l64a.buf
0000000180214e28 (__TEXT,__text) external _labs
00000001801eb25c (__TEXT,__text) non-external _largesearch
00000001df325a08 (__DATA,__bss) non-external _last_default_tzload_mtimespec
00000001df323a20 (__DATA,__data) non-external _lastglue
00000001801bc6f0 (__TEXT,__text) external _lchflags
00000001801bc784 (__TEXT,__text) external _lchmod
00000001df323b18 (__DATA,__data) non-external _lcl_TZname
00000001eb742600 (__DATA_DIRTY,__data) non-external _lcl_notify
00000001eb742608 (__DATA_DIRTY,__data) non-external (was a private external) _lcl_rwlock
00000001eb742cd0 (__DATA_DIRTY,__bss) non-external _lclptr
00000001801e5044 (__TEXT,__text) external _lcong48
0000000180214e34 (__TEXT,__text) external _ldiv
0000000180214f2c (__TEXT,__text) external _lfind
00000001801fc30c (__TEXT,__text) non-external _lflush
00000001801f419c (__TEXT,__text) external _link_addr
00000001801f4360 (__TEXT,__text) external _link_ntoa
00000001df325940 (__DATA,__bss) non-external _link_ntoa.obuf
0000000180214e60 (__TEXT,__text) external _llabs
0000000180214e6c (__TEXT,__text) external _lldiv
00000001801f5170 (__TEXT,__text) non-external _loadCat
00000001801ef36c (__TEXT,__text) non-external _loadlocale
00000001801ed938 (__TEXT,__text) external _localeconv
00000001801ed7ac (__TEXT,__text) external _localeconv_l
000000018020ad10 (__TEXT,__text) external _localtime
00000001eb744510 (__DATA_DIRTY,__bss) non-external _localtime_key
00000001df3259b8 (__DATA,__bss) non-external _localtime_key_error
000000018020adf0 (__TEXT,__text) non-external _localtime_key_init
00000001eb742c60 (__DATA_DIRTY,__data) non-external _localtime_once
000000018020ae28 (__TEXT,__text) external _localtime_r
000000018022ff10 (__TEXT,__text) external _lockf
00000001801e5088 (__TEXT,__text) external _lockf$NOCANCEL
00000001801cd33c (__TEXT,__text) external _login
00000001801ca828 (__TEXT,__text) external _login_tty
00000001801cd3b0 (__TEXT,__text) external _logout
00000001801ca8ac (__TEXT,__text) external _logwtmp
00000001801e517c (__TEXT,__text) external _lrand48
0000000180214e98 (__TEXT,__text) external _lsearch
                 (undefined) external _lseek (from libsystem_kernel)
                 (undefined) external _lstat (from libsystem_kernel)
00000001801cc8cc (__TEXT,__text) external _lstatx_np
00000001801cc930 (__TEXT,__text) non-external _lstatx_syscall
00000001801bc7d0 (__TEXT,__text) external _lutimes
                 (undefined) external _mach_absolute_time (from libsystem_kernel)
                 (undefined) external _mach_approximate_time (from libsystem_kernel)
                 (undefined) external _mach_boottime_usec (from libsystem_kernel)
                 (undefined) external _mach_continuous_approximate_time (from libsystem_kernel)
                 (undefined) external _mach_continuous_time (from libsystem_kernel)
                 (undefined) external _mach_error_string (from libsystem_kernel)
                 (undefined) external _mach_host_self (from libsystem_kernel)
                 (undefined) external _mach_port_deallocate (from libsystem_kernel)
                 (undefined) external _mach_task_self_ (from libsystem_kernel)
                 (undefined) external _mach_timebase_info (from libsystem_kernel)
                 (undefined) external _malloc (from libsystem_malloc)
00000001e5915d58 (__DATA_CONST,__const) non-external _mapping
00000001801ed9f8 (__TEXT,__text) external _mblen
00000001801ed978 (__TEXT,__text) external _mblen_l
00000001801ccdf0 (__TEXT,__text) external _mbmb
00000001df3255cc (__DATA,__bss) non-external _mbmb.warn_depreciated
                 (undefined) external _mbr_gid_to_uuid (from libsystem_info)
                 (undefined) external _mbr_uid_to_uuid (from libsystem_info)
                 (undefined) external _mbr_uuid_to_id (from libsystem_info)
00000001801eda70 (__TEXT,__text) external _mbrlen
00000001801eda20 (__TEXT,__text) external _mbrlen_l
00000001801ccd38 (__TEXT,__text) external _mbrrune
00000001df3255c8 (__DATA,__bss) non-external _mbrrune.warn_depreciated
00000001801edb1c (__TEXT,__text) external _mbrtowc
00000001801edae0 (__TEXT,__text) external _mbrtowc_l
00000001801ccc98 (__TEXT,__text) external _mbrune
00000001df3255c4 (__DATA,__bss) non-external _mbrune.warn_depreciated
00000001801edbac (__TEXT,__text) external _mbsinit
00000001801edb7c (__TEXT,__text) external _mbsinit_l
00000001801edc3c (__TEXT,__text) external _mbsnrtowcs
00000001801edc00 (__TEXT,__text) external _mbsnrtowcs_l
00000001801ede14 (__TEXT,__text) external _mbsrtowcs
00000001801eddc8 (__TEXT,__text) external _mbsrtowcs_l
00000001801edf24 (__TEXT,__text) external _mbstowcs
00000001801ede80 (__TEXT,__text) external _mbstowcs_l
00000001801ee05c (__TEXT,__text) external _mbtowc
00000001801edfe8 (__TEXT,__text) external _mbtowc_l
                 (indirect) external _memccpy (for __platform_memccpy)
                 (indirect) external _memchr (for __platform_memchr)
                 (indirect) external _memcmp (for __platform_memcmp)
                 (indirect) external _memcpy (for __platform_memmove)
000000018020f7bc (__TEXT,__text) external _memmem
                 (indirect) external _memmove (for __platform_memmove)
                 (indirect) external _memset (for __platform_memset)
                 (indirect) external _memset_pattern16 (for __platform_memset_pattern16)
                 (indirect) external _memset_pattern4 (for __platform_memset_pattern4)
                 (indirect) external _memset_pattern8 (for __platform_memset_pattern8)
0000000180224cac (__TEXT,__text) external _memset_s
00000001801f30b0 (__TEXT,__text) non-external _memstream_close
00000001801f3010 (__TEXT,__text) non-external _memstream_seek
0000000180232ef8 (__TEXT,__text) non-external _memstream_seek.cold.1
0000000180232f24 (__TEXT,__text) non-external _memstream_seek.cold.2
00000001801f2ecc (__TEXT,__text) non-external _memstream_update
0000000180232ecc (__TEXT,__text) non-external _memstream_update.cold.1
00000001801f2f04 (__TEXT,__text) non-external _memstream_write
0000000180214fa0 (__TEXT,__text) external _mergesort
000000018021bd0c (__TEXT,__text) external _mergesort_b
                 (undefined) external _mkdirat (from libsystem_kernel)
00000001801cc29c (__TEXT,__text) external _mkdirx_np
00000001801f98c0 (__TEXT,__text) external _mkdtemp
00000001801f9948 (__TEXT,__text) external _mkdtempat_np
00000001801cc288 (__TEXT,__text) external _mkfifox_np
00000001801f97ec (__TEXT,__text) external _mkostemp
00000001801f9364 (__TEXT,__text) external _mkostemps
00000001801f96e0 (__TEXT,__text) external _mkostempsat_np
00000001801cadd4 (__TEXT,__text) external _mkpath_np
00000001801cade8 (__TEXT,__text) external _mkpathat_np
00000001801f986c (__TEXT,__text) external _mkstemp
00000001801f9a84 (__TEXT,__text) external _mkstemp_dprotected_np
00000001801f9750 (__TEXT,__text) external _mkstemps
00000001801f97a4 (__TEXT,__text) external _mkstempsat_np
00000001801f9a30 (__TEXT,__text) external _mktemp
000000018020b314 (__TEXT,__text) external _mktime
                 (undefined) external _mmap (from libsystem_kernel)
0000000180235fc4 (__TEXT,__const) non-external _mon_lengths
00000001801c434c (__TEXT,__text) external _monaddition
00000001801c435c (__TEXT,__text) external _moncontrol
00000001801c4360 (__TEXT,__text) external _moncount
00000001801c4344 (__TEXT,__text) external _moninit
00000001801c4358 (__TEXT,__text) external _monitor
00000001801c4354 (__TEXT,__text) external _monoutput
00000001801c4350 (__TEXT,__text) external _monreset
00000001801c4348 (__TEXT,__text) external _monstartup
00000001801f6b6c (__TEXT,__text) non-external _moreglue
00000001801d5b5c (__TEXT,__text) non-external _mpool_bkt
00000001801d5e34 (__TEXT,__text) external _mpool_close
00000001801d5aa4 (__TEXT,__text) external _mpool_filter
00000001801d5c44 (__TEXT,__text) external _mpool_get
00000001801d5ab4 (__TEXT,__text) external _mpool_new
0000000180232758 (__TEXT,__text) non-external _mpool_new.cold.1
00000001801d59bc (__TEXT,__text) external _mpool_open
00000001801d5e18 (__TEXT,__text) external _mpool_put
00000001801d5e90 (__TEXT,__text) external _mpool_sync
00000001801d5f04 (__TEXT,__text) non-external _mpool_write
00000001801e51b0 (__TEXT,__text) external _mrand48
00000001801cdf24 (__TEXT,__text) non-external _mswap
                 (undefined) external _munmap (from libsystem_kernel)
00000001df325580 (__DATA,__bss) non-external _namebuf
                 (undefined) external _nan (from libsystem_m)
                 (undefined) external _nanf (from libsystem_m)
                 (undefined) external _nanl (from libsystem_m)
00000001802301ac (__TEXT,__text) external _nanosleep
00000001801c1d5c (__TEXT,__text) external _nanosleep$NOCANCEL
00000001df325760 (__DATA,__bss) non-external _new_categories
00000001801c9c54 (__TEXT,__text) external _new_printf_comp
00000001801c9fe0 (__TEXT,__text) external _new_printf_domain
00000001801c69ac (__TEXT,__text) external _newlocale
00000001eb742bc8 (__DATA_DIRTY,__data) non-external _next
00000001801e0cd8 (__TEXT,__text) non-external _nextcomp
00000001df3255e8 (__DATA,__bss) non-external _nextcomp.lmsgverb
00000001df325608 (__DATA,__bss) non-external _nextcomp.state
00000001801ee3c8 (__TEXT,__text) external _nextwctype
00000001801ee230 (__TEXT,__text) external _nextwctype_l
00000001801c2390 (__TEXT,__text) external _nftw
00000001801e51e4 (__TEXT,__text) external _nice
00000001801ee828 (__TEXT,__text) external _nl_langinfo
00000001801ee3f0 (__TEXT,__text) external _nl_langinfo_l
00000001df325758 (__DATA,__bss) non-external _nl_langinfo_l.csym
0000000180236131 (__TEXT,__const) non-external _noarg
0000000180235cdc (__TEXT,__const) non-external _nogrouping
00000001df323a60 (__DATA,__data) non-external _nonopt_end
00000001df323a64 (__DATA,__data) non-external _nonopt_start
                 (undefined) external _notify_cancel (from libsystem_notify)
                 (undefined) external _notify_check (from libsystem_notify)
000000018020927c (__TEXT,__text) non-external _notify_check_tz
                 (undefined) external _notify_monitor_file (from libsystem_notify)
                 (undefined) external _notify_post (from libsystem_notify)
                 (undefined) external _notify_register_check (from libsystem_notify)
0000000180209508 (__TEXT,__text) non-external _notify_register_tz
0000000180235fa0 (__TEXT,__const) non-external _notify_tz_name
00000001801e52a4 (__TEXT,__text) external _nrand48
00000001df323e34 (__DATA,__data) non-external _numempty
00000001df323e98 (__DATA,__data) non-external _numempty
0000000180235880 (__TEXT,__const) non-external _nv
00000001801e9820 (__TEXT,__text) external _nvis
00000001df324068 (__DATA,__data) external _off32
00000001df3240c0 (__DATA,__data) external _off64
000000018020afa0 (__TEXT,__text) external _offtime
00000001e5915d40 (__DATA_CONST,__const) non-external _okshells
                 (undefined) external _open$NOCANCEL (from libsystem_kernel)
                 (undefined) external _open_dprotected_np (from libsystem_kernel)
00000001801f2dac (__TEXT,__text) external _open_memstream
00000001801c92bc (__TEXT,__text) external _open_with_subsystem
0000000180208774 (__TEXT,__text) external _open_wmemstream
                 (undefined) external _openat$NOCANCEL (from libsystem_kernel)
00000001801cae60 (__TEXT,__text) external _opendev
00000001801cb064 (__TEXT,__text) non-external _opendev_namebuf_init
00000001df323d38 (__DATA,__data) non-external _opendev_namebuf_once
00000001801e52e8 (__TEXT,__text) external _opendir
00000001801e5870 (__TEXT,__text) non-external _opendir_compar
00000001801cb088 (__TEXT,__text) external _openpty
00000001801cc030 (__TEXT,__text) external _openx_np
00000001df323a40 (__DATA,__data) external _optarg
00000001df323ab8 (__DATA,__data) external _opterr
00000001eb742bd4 (__DATA_DIRTY,__data) external _optind
00000001df323abc (__DATA,__data) external _optopt
00000001df323a30 (__DATA,__data) external _optreset
                 (undefined) external _os_unfair_lock_lock (from libsystem_platform)
                 (undefined) external _os_unfair_lock_lock_with_options (from libsystem_platform)
                 (undefined) external _os_unfair_lock_unlock (from libsystem_platform)
00000001eb742cf0 (__DATA_DIRTY,__bss) non-external _p5s
0000000180235d81 (__TEXT,__const) non-external _padchar
00000001df324eda (__DATA,__bss) non-external _parse_error
00000001802143f8 (__TEXT,__text) non-external _parse_long_options
00000001df324ed8 (__DATA,__bss) non-external _parsed
                 (undefined) external _pathconf (from libsystem_kernel)
0000000180230004 (__TEXT,__text) external _pause
00000001801e5884 (__TEXT,__text) external _pause$NOCANCEL
00000001801e5bdc (__TEXT,__text) external _pclose
00000001801bdb08 (__TEXT,__text) non-external _permute
0000000180214358 (__TEXT,__text) non-external _permute_args
00000001802330dc (__TEXT,__text) external _perror
00000001df325640 (__DATA,__bss) non-external _pfp
                 (undefined) external _pipe (from libsystem_kernel)
00000001df323a68 (__DATA,__data) non-external _place
00000001801e58b8 (__TEXT,__text) external _popen
0000000180230608 (__TEXT,__text) external _popen$DARWIN_EXTSN
000000018020b460 (__TEXT,__text) external _posix2time
000000018021aa9c (__TEXT,__text) external _posix_openpt
                 (undefined) external _posix_spawn (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_addclose (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_adddup2 (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_addinherit_np (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_destroy (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_init (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_destroy (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_init (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_setflags (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_setsigdefault (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_setsigmask (from libsystem_kernel)
00000001801cc2b0 (__TEXT,__text) external _posix_spawnp
                 (undefined) external _pread$NOCANCEL (from libsystem_kernel)
00000001801fbdb0 (__TEXT,__text) external _printf
00000001df325ab0 (__DATA,__bss) non-external _printf_info_queue
00000001801fbe10 (__TEXT,__text) external _printf_l
00000001801e0a20 (__TEXT,__text) non-external _printfmt
                 (undefined) external _proc_name (from libsystem_kernel)
00000001801e5cf4 (__TEXT,__text) external _psignal
000000018021c610 (__TEXT,__text) external _psort
000000018021d14c (__TEXT,__text) external _psort_b
000000018021dd40 (__TEXT,__text) external _psort_r
                 (undefined) external _pthread_get_stackaddr_np (from libsystem_pthread)
                 (undefined) external _pthread_get_stacksize_np (from libsystem_pthread)
                 (undefined) external _pthread_getspecific (from libsystem_pthread)
                 (undefined) external _pthread_key_create (from libsystem_pthread)
                 (undefined) external _pthread_key_init_np (from libsystem_pthread)
                 (undefined) external _pthread_kill (from libsystem_pthread)
                 (undefined) external _pthread_mutex_destroy (from libsystem_pthread)
                 (undefined) external _pthread_mutex_init (from libsystem_pthread)
                 (undefined) external _pthread_mutex_lock (from libsystem_pthread)
                 (undefined) external _pthread_mutex_trylock (from libsystem_pthread)
                 (undefined) external _pthread_mutex_unlock (from libsystem_pthread)
                 (undefined) external _pthread_once (from libsystem_pthread)
                 (undefined) external _pthread_rwlock_destroy (from libsystem_pthread)
                 (undefined) external _pthread_rwlock_rdlock (from libsystem_pthread)
                 (undefined) external _pthread_rwlock_unlock (from libsystem_pthread)
                 (undefined) external _pthread_rwlock_wrlock (from libsystem_pthread)
                 (undefined) external _pthread_self (from libsystem_pthread)
                 (undefined) external _pthread_setspecific (from libsystem_pthread)
                 (undefined) external _pthread_sigmask (from libsystem_pthread)
                 (undefined) external _pthread_stack_frame_decode_np (from libsystem_pthread)
                 (undefined) external _pthread_testcancel (from libsystem_pthread)
000000018021aad4 (__TEXT,__text) external _ptsname
0000000180233580 (__TEXT,__text) non-external _ptsname.cold.1
000000018023359c (__TEXT,__text) non-external _ptsname.cold.2
00000001df325a88 (__DATA,__bss) non-external _ptsname_buffer_specific_key
00000001df325a80 (__DATA,__bss) non-external _ptsname_once
000000018021ab84 (__TEXT,__text) non-external _ptsname_once_init
00000001802335b8 (__TEXT,__text) non-external _ptsname_once_init.cold.1
000000018021abb4 (__TEXT,__text) external _ptsname_r
00000001801fbe50 (__TEXT,__text) external _putc
00000001801fbedc (__TEXT,__text) external _putc_unlocked
00000001801fbf20 (__TEXT,__text) external _putchar
00000001801fbfb4 (__TEXT,__text) external _putchar_unlocked
0000000180215840 (__TEXT,__text) external _putenv
00000001801d48f8 (__TEXT,__text) non-external _putpair
00000001801fc004 (__TEXT,__text) external _puts
0000000180223ac4 (__TEXT,__text) external _pututxline
00000001801fc0e0 (__TEXT,__text) external _putw
00000001801fc150 (__TEXT,__text) external _putwc
00000001801fc178 (__TEXT,__text) external _putwc_l
00000001801fc17c (__TEXT,__text) external _putwchar
00000001801fc1b0 (__TEXT,__text) external _putwchar_l
00000001df324fc8 (__DATA,__bss) non-external _pw_size
                 (undefined) external _pwrite$NOCANCEL (from libsystem_kernel)
00000001802158f0 (__TEXT,__text) external _qsort
000000018021b1a4 (__TEXT,__text) external _qsort_b
00000001802163b0 (__TEXT,__text) external _qsort_r
00000001801c6fec (__TEXT,__text) external _querylocale
0000000180216fd8 (__TEXT,__text) non-external _r_sort_a
00000001df325a54 (__DATA,__bss) non-external _r_sort_a.bmin
00000001df325a48 (__DATA,__bss) non-external _r_sort_a.count
00000001df325a50 (__DATA,__bss) non-external _r_sort_a.nc
00000001df325a58 (__DATA,__bss) non-external _r_sort_a_count
000000018021752c (__TEXT,__text) non-external _r_sort_b
00000001df325a74 (__DATA,__bss) non-external _r_sort_b.bmin
00000001df325a68 (__DATA,__bss) non-external _r_sort_b.count
00000001df325a70 (__DATA,__bss) non-external _r_sort_b.nc
00000001df325a60 (__DATA,__bss) non-external _r_sort_b_count
00000001802178a0 (__TEXT,__text) non-external _r_sort_count_allocate
00000001df323ff8 (__DATA,__data) non-external _r_sort_count_control
0000000180216eec (__TEXT,__text) external _radixsort
00000001801cadf0 (__TEXT,__text) external _raise
0000000180217948 (__TEXT,__text) external _rand
00000001df324014 (__DATA,__data) non-external _rand_deg
00000001802178dc (__TEXT,__text) external _rand_r
00000001df324018 (__DATA,__data) non-external _rand_sep
00000001df324010 (__DATA,__data) non-external _rand_type
0000000180217b24 (__TEXT,__text) external _random
00000001eb742b48 (__DATA_DIRTY,__data) non-external _randtbl
00000001801e1264 (__TEXT,__text) non-external (was a private external) _rangematch
00000001801c91bc (__TEXT,__text) non-external _raosnprintf
00000001802253a4 (__TEXT,__text) external _rb_tree_count
0000000180224d20 (__TEXT,__text) external _rb_tree_find_node
0000000180224d8c (__TEXT,__text) external _rb_tree_find_node_geq
0000000180224e14 (__TEXT,__text) external _rb_tree_find_node_leq
0000000180224d10 (__TEXT,__text) external _rb_tree_init
0000000180224e9c (__TEXT,__text) external _rb_tree_insert_node
0000000180225320 (__TEXT,__text) external _rb_tree_iterate
0000000180225448 (__TEXT,__text) non-external _rb_tree_removal_rebalance
00000001802250bc (__TEXT,__text) external _rb_tree_remove_node
00000001802253b0 (__TEXT,__text) non-external _rb_tree_reparent_nodes
0000000180235160 (__TEXT,__const) non-external _rcsid
00000001802351af (__TEXT,__const) non-external _rcsid
00000001802351f9 (__TEXT,__const) non-external _rcsid
00000001802352f6 (__TEXT,__const) non-external _rcsid
00000001802361e8 (__TEXT,__const) non-external _rcsid
00000001802362ad (__TEXT,__const) non-external _rcsid
                 (undefined) external _read$NOCANCEL (from libsystem_kernel)
00000001801e5f40 (__TEXT,__text) external _readdir
00000001801e5f88 (__TEXT,__text) external _readdir_r
                 (undefined) external _readlink (from libsystem_kernel)
00000001801e6044 (__TEXT,__text) external _readpassphrase
                 (undefined) external _realloc (from libsystem_malloc)
                 (undefined) external _reallocarray$DARWIN_EXTSN (from libsystem_malloc)
0000000180217f10 (__TEXT,__text) external _reallocf
0000000180217f5c (__TEXT,__text) external _realpath
0000000180230b38 (__TEXT,__text) external _realpath$DARWIN_EXTSN
00000001eb742cec (__DATA_DIRTY,__bss) non-external _realpath$DARWIN_EXTSN.rootdev
00000001eb742ce8 (__DATA_DIRTY,__bss) non-external _realpath$DARWIN_EXTSN.rootdev_inited
00000001df325a78 (__DATA,__bss) non-external _realpath.rootdev
00000001df325a7c (__DATA,__bss) non-external _realpath.rootdev_inited
00000001801d6314 (__TEXT,__text) non-external _rec_rdelete
00000001802360f2 (__TEXT,__const) non-external _recargchar
000000018023615b (__TEXT,__const) non-external _recargstring
000000018023039c (__TEXT,__text) external _recv
00000001801f4698 (__TEXT,__text) external _recv$NOCANCEL
0000000180225810 (__TEXT,__text) external _regcomp
0000000180225788 (__TEXT,__text) external _regcomp_l
0000000180233270 (__TEXT,__text) external _regerror
0000000180225f18 (__TEXT,__text) external _regexec
0000000180225988 (__TEXT,__text) external _regfree
00000001801ca040 (__TEXT,__text) external _register_printf_domain_function
00000001801ca128 (__TEXT,__text) non-external (was a private external) _register_printf_domain_render
00000001801ca210 (__TEXT,__text) external _register_printf_domain_render_std
0000000180225760 (__TEXT,__text) external _regncomp
00000001802255cc (__TEXT,__text) external _regncomp_l
0000000180225d1c (__TEXT,__text) external _regnexec
000000018022590c (__TEXT,__text) external _regwcomp
0000000180225888 (__TEXT,__text) external _regwcomp_l
0000000180225f5c (__TEXT,__text) external _regwexec
0000000180225860 (__TEXT,__text) external _regwncomp
0000000180225838 (__TEXT,__text) external _regwncomp_l
0000000180225f2c (__TEXT,__text) external _regwnexec
00000001801fc41c (__TEXT,__text) external _remove
0000000180218594 (__TEXT,__text) external _remque
00000001e59168b0 (__DATA_CONST,__const) non-external _rerrs
00000001801fc478 (__TEXT,__text) external _rewind
00000001801e65c0 (__TEXT,__text) external _rewinddir
000000018020f880 (__TEXT,__text) external _rindex
                 (undefined) external _rmdir (from libsystem_kernel)
00000001eb742d18 (__DATA_DIRTY,__bss) non-external _rng
00000001801f9b84 (__TEXT,__text) external _rpmatch
00000001df323a58 (__DATA,__data) non-external _rptr
00000001801f8d48 (__TEXT,__text) non-external _sappend
00000001df325840 (__DATA,__bss) non-external _saved_categories
00000001801bc5c4 (__TEXT,__text) external _sbrk
00000001df324de8 (__DATA,__bss) non-external _sbrk_curbrk
00000001df324de0 (__DATA,__bss) non-external _sbrk_needs_init
00000001df323c18 (__DATA,__data) non-external _sbrk_region_size
00000001801e6644 (__TEXT,__text) external _scandir
000000018021e904 (__TEXT,__text) external _scandir_b
00000001801fc548 (__TEXT,__text) external _scanf
00000001801fc5cc (__TEXT,__text) external _scanf_l
00000001801e67c8 (__TEXT,__text) external _seed48
00000001df3256f8 (__DATA,__bss) non-external _seed48.sseed
00000001801e6830 (__TEXT,__text) external _seekdir
                 (undefined) external _select$NOCANCEL (from libsystem_kernel)
                 (undefined) external _semaphore_create (from libsystem_kernel)
00000001802303a8 (__TEXT,__text) external _send
00000001801f46a4 (__TEXT,__text) external _send$NOCANCEL
00000001802361b0 (__TEXT,__const) non-external _seps
00000001df324f38 (__DATA,__bss) non-external _seq
00000001801c379c (__TEXT,__text) non-external _set_asl
00000001801c3b00 (__TEXT,__text) non-external _set_file
                 (undefined) external _setattrlist (from libsystem_kernel)
00000001801fc660 (__TEXT,__text) external _setbuf
00000001801fc674 (__TEXT,__text) external _setbuffer
0000000180218e5c (__TEXT,__text) external _setenv
00000001801cdb80 (__TEXT,__text) external _sethostid
00000001801e6888 (__TEXT,__text) external _sethostname
00000001801cd234 (__TEXT,__text) external _setinvalidrune
00000001df3255d8 (__DATA,__bss) non-external _setinvalidrune.warn_depreciated
00000001801f46ec (__TEXT,__text) external _setipv4sourcefilter
0000000180232fd4 (__TEXT,__text) non-external _setipv4sourcefilter.cold.1
                 (undefined) external _setitimer (from libsystem_kernel)
00000001801bdf70 (__TEXT,__text) external _setkey
00000001801fc68c (__TEXT,__text) external _setlinebuf
00000001801eee30 (__TEXT,__text) external _setlocale
00000001801c23a4 (__TEXT,__text) external _setlogin
00000001801e69e8 (__TEXT,__text) external _setmode
                 (undefined) external _setpgid (from libsystem_kernel)
00000001801cdbc8 (__TEXT,__text) external _setpgrp
                 (undefined) external _setpriority (from libsystem_kernel)
00000001801e70c4 (__TEXT,__text) external _setprogname
                 (undefined) external _setregid (from libsystem_kernel)
                 (undefined) external _setreuid (from libsystem_kernel)
00000001801cdc0c (__TEXT,__text) external _setrgid
                 (undefined) external _setrlimit (from libsystem_kernel)
00000001801cdc14 (__TEXT,__text) external _setruid
00000001801efcac (__TEXT,__text) external _setrunelocale
                 (undefined) external _setsid (from libsystem_kernel)
                 (undefined) external _setsockopt (from libsystem_kernel)
00000001801f4954 (__TEXT,__text) external _setsourcefilter
0000000180217e4c (__TEXT,__text) external _setstate
00000001801cc584 (__TEXT,__text) external _settimeofday
00000001801c1030 (__TEXT,__text) external _setttyent
