000000021a99ce50 (__DATA,__data) non-external _.compoundliteral
00000001e50f0c08 (__TEXT,__text) external _glvmInterpretVPTransformFour
00000001e50ee10c (__TEXT,__text) non-external (was a private external) _glvmInterpretVPTransformFourInner
00000001e50c52c0 (__TEXT,__text) non-external (was a private external) _glvmLoadDestTemp
00000001e50c1fec (__TEXT,__text) non-external (was a private external) _glvmLoadSourceAddress
00000001e50cdd90 (__TEXT,__text) non-external (was a private external) _glvmLoadSourceAttribCP
00000001e50d1fb8 (__TEXT,__text) non-external (was a private external) _glvmLoadSourceAttribEP
00000001e50d5c38 (__TEXT,__text) non-external (was a private external) _glvmLoadSourceAttribFP
00000001e50d4d28 (__TEXT,__text) non-external (was a private external) _glvmLoadSourceAttribGP
00000001e50cb1d4 (__TEXT,__text) non-external (was a private external) _glvmLoadSourceAttribVP
00000001e50c29c8 (__TEXT,__text) non-external (was a private external) _glvmLoadSourceParam
00000001e50c09d4 (__TEXT,__text) non-external (was a private external) _glvmLoadSourceTemp
00000001e51844d0 (__TEXT,__text) non-external _glvmOp
00000001e50dcf44 (__TEXT,__text) non-external (was a private external) _glvmOperationABS
00000001e50ea08c (__TEXT,__text) non-external (was a private external) _glvmOperationACOSH
00000001e50dd0e4 (__TEXT,__text) non-external (was a private external) _glvmOperationACS
00000001e50e177c (__TEXT,__text) non-external (was a private external) _glvmOperationADD
00000001e50dd230 (__TEXT,__text) non-external (was a private external) _glvmOperationALL
00000001e50e97b0 (__TEXT,__text) non-external (was a private external) _glvmOperationAND
00000001e50e18c8 (__TEXT,__text) non-external (was a private external) _glvmOperationANL
00000001e50dd3f8 (__TEXT,__text) non-external (was a private external) _glvmOperationANY
00000001e50dcee8 (__TEXT,__text) non-external (was a private external) _glvmOperationARA
00000001e50dcec0 (__TEXT,__text) non-external (was a private external) _glvmOperationARL
00000001e50dcee4 (__TEXT,__text) non-external (was a private external) _glvmOperationARR
00000001e50e9f5c (__TEXT,__text) non-external (was a private external) _glvmOperationASINH
00000001e50dd5c0 (__TEXT,__text) non-external (was a private external) _glvmOperationASN
00000001e50ea1bc (__TEXT,__text) non-external (was a private external) _glvmOperationATANH
00000001e50dd738 (__TEXT,__text) non-external (was a private external) _glvmOperationATN
00000001e50e190c (__TEXT,__text) non-external (was a private external) _glvmOperationATN2
00000001e50dc57c (__TEXT,__text) non-external (was a private external) _glvmOperationATN_Core
00000001e50e834c (__TEXT,__text) non-external (was a private external) _glvmOperationBDL
00000001e50ec2b8 (__TEXT,__text) non-external (was a private external) _glvmOperationBITCOUNT
00000001e50ebef4 (__TEXT,__text) non-external (was a private external) _glvmOperationBITFIELD_REVERSE
00000001e50dd744 (__TEXT,__text) non-external (was a private external) _glvmOperationCEI
00000001e50e595c (__TEXT,__text) non-external (was a private external) _glvmOperationCLM
00000001e50e58f4 (__TEXT,__text) non-external (was a private external) _glvmOperationCMP
00000001e50e9b98 (__TEXT,__text) non-external (was a private external) _glvmOperationCOMP
00000001e50dd8b8 (__TEXT,__text) non-external (was a private external) _glvmOperationCOS
00000001e50e9cfc (__TEXT,__text) non-external (was a private external) _glvmOperationCOSH
00000001e50fa368 (__TEXT,__text) non-external (was a private external) _glvmOperationCopyAttributes
00000001e50e16f0 (__TEXT,__text) non-external (was a private external) _glvmOperationDDX
00000001e50e171c (__TEXT,__text) non-external (was a private external) _glvmOperationDDY
00000001e50dd944 (__TEXT,__text) non-external (was a private external) _glvmOperationDEG
00000001e50e2600 (__TEXT,__text) non-external (was a private external) _glvmOperationDISTANCE
00000001e50e1aa4 (__TEXT,__text) non-external (was a private external) _glvmOperationDIV
00000001e50e1e0c (__TEXT,__text) non-external (was a private external) _glvmOperationDOT
00000001e50e2164 (__TEXT,__text) non-external (was a private external) _glvmOperationDP3
00000001e50e2354 (__TEXT,__text) non-external (was a private external) _glvmOperationDP4
00000001e50e24b4 (__TEXT,__text) non-external (was a private external) _glvmOperationDPH
00000001e50e7438 (__TEXT,__text) non-external (was a private external) _glvmOperationDSL
00000001e50e2558 (__TEXT,__text) non-external (was a private external) _glvmOperationDST
00000001e50f10fc (__TEXT,__text) non-external (was a private external) _glvmOperationDispatchCP
00000001e50f3930 (__TEXT,__text) non-external (was a private external) _glvmOperationDispatchEP
00000001e50fc99c (__TEXT,__text) non-external (was a private external) _glvmOperationDispatchFP
00000001e50f73ec (__TEXT,__text) non-external (was a private external) _glvmOperationDispatchGP
00000001e50edea8 (__TEXT,__text) non-external (was a private external) _glvmOperationDispatchVP
00000001e50f6cb4 (__TEXT,__text) non-external (was a private external) _glvmOperationENDSTREAMPRIMITIVE
00000001e50f7174 (__TEXT,__text) non-external (was a private external) _glvmOperationENDSTREAMPRIMITIVES
00000001e50f6f10 (__TEXT,__text) non-external (was a private external) _glvmOperationENDSTREAMPRIMITIVEWithMask
00000001e50dd984 (__TEXT,__text) non-external (was a private external) _glvmOperationEX2
00000001e50dbd1c (__TEXT,__text) non-external (was a private external) _glvmOperationEX2_Core
00000001e50ddae8 (__TEXT,__text) non-external (was a private external) _glvmOperationEXP
00000001e50ddaf0 (__TEXT,__text) non-external (was a private external) _glvmOperationEXPE
00000001e50ea864 (__TEXT,__text) non-external (was a private external) _glvmOperationEXTRACT_EXPONENT
00000001e50ea590 (__TEXT,__text) non-external (was a private external) _glvmOperationEXTRACT_SIGNIFICAND
00000001e50e5f48 (__TEXT,__text) non-external (was a private external) _glvmOperationFFW
00000001e50ec57c (__TEXT,__text) non-external (was a private external) _glvmOperationFIND_LSB
00000001e50ec840 (__TEXT,__text) non-external (was a private external) _glvmOperationFIND_MSB
00000001e50ddcac (__TEXT,__text) non-external (was a private external) _glvmOperationFLR
00000001e50dbbdc (__TEXT,__text) non-external (was a private external) _glvmOperationFLR_CEI_Core
00000001e50dde20 (__TEXT,__text) non-external (was a private external) _glvmOperationFRC
00000001e50ea56c (__TEXT,__text) non-external (was a private external) _glvmOperationFROM_BITS
00000001e50bb2a8 (__TEXT,__text) non-external (was a private external) _glvmOperationFUNCSTART
00000001e50e1748 (__TEXT,__text) non-external (was a private external) _glvmOperationFWD
00000001e50ecb5c (__TEXT,__text) non-external (was a private external) _glvmOperationINTERPOLATE_AT_CENTROID
00000001e50ecb80 (__TEXT,__text) non-external (was a private external) _glvmOperationINTERPOLATE_AT_OFFSET
00000001e50eccc8 (__TEXT,__text) non-external (was a private external) _glvmOperationINTERPOLATE_AT_SAMPLE
00000001e50e0c5c (__TEXT,__text) non-external (was a private external) _glvmOperationINVERSESQRT
00000001e50ea2ec (__TEXT,__text) non-external (was a private external) _glvmOperationISINF
00000001e50ea3cc (__TEXT,__text) non-external (was a private external) _glvmOperationISNAN
00000001e50bb2b0 (__TEXT,__text) non-external (was a private external) _glvmOperationInitMasksForNested
00000001e50bb2e4 (__TEXT,__text) non-external (was a private external) _glvmOperationInitSub
00000001e50eaae0 (__TEXT,__text) non-external (was a private external) _glvmOperationLDEXP
00000001e50de188 (__TEXT,__text) non-external (was a private external) _glvmOperationLEN
00000001e50de59c (__TEXT,__text) non-external (was a private external) _glvmOperationLG2
00000001e50dc07c (__TEXT,__text) non-external (was a private external) _glvmOperationLG2_Core
00000001e50de6fc (__TEXT,__text) non-external (was a private external) _glvmOperationLIT
00000001e50e8410 (__TEXT,__text) non-external (was a private external) _glvmOperationLOAD
00000001e50de8b0 (__TEXT,__text) non-external (was a private external) _glvmOperationLOG
00000001e50de8c0 (__TEXT,__text) non-external (was a private external) _glvmOperationLOGE
00000001e50e6468 (__TEXT,__text) non-external (was a private external) _glvmOperationLRP
00000001e50e672c (__TEXT,__text) non-external (was a private external) _glvmOperationMAD
00000001e50e2a30 (__TEXT,__text) non-external (was a private external) _glvmOperationMAX
00000001e50e2dc0 (__TEXT,__text) non-external (was a private external) _glvmOperationMIN
00000001e50e3150 (__TEXT,__text) non-external (was a private external) _glvmOperationMLC
00000001e50e3154 (__TEXT,__text) non-external (was a private external) _glvmOperationMOD
00000001e50dea44 (__TEXT,__text) non-external (was a private external) _glvmOperationMOV
00000001e50e38dc (__TEXT,__text) non-external (was a private external) _glvmOperationMUL
00000001e50ebe18 (__TEXT,__text) non-external (was a private external) _glvmOperationMUL_HB
00000001e50deab4 (__TEXT,__text) non-external (was a private external) _glvmOperationNOT
00000001e50deae8 (__TEXT,__text) non-external (was a private external) _glvmOperationNRM
00000001e50def38 (__TEXT,__text) non-external (was a private external) _glvmOperationNSE
00000001e50e97f4 (__TEXT,__text) non-external (was a private external) _glvmOperationOR
00000001e50e3a28 (__TEXT,__text) non-external (was a private external) _glvmOperationORL
00000001e50eaf88 (__TEXT,__text) non-external (was a private external) _glvmOperationPK2H
00000001e50eadac (__TEXT,__text) non-external (was a private external) _glvmOperationPK2US
00000001e50ebdd0 (__TEXT,__text) non-external (was a private external) _glvmOperationPK2W
00000001e50eb74c (__TEXT,__text) non-external (was a private external) _glvmOperationPK4B
00000001e50ebad8 (__TEXT,__text) non-external (was a private external) _glvmOperationPK4UB
00000001e50e3a6c (__TEXT,__text) non-external (was a private external) _glvmOperationPOW
00000001e50e0b68 (__TEXT,__text) non-external (was a private external) _glvmOperationRAD
00000001e50e0ba8 (__TEXT,__text) non-external (was a private external) _glvmOperationRCC
00000001e50e0bac (__TEXT,__text) non-external (was a private external) _glvmOperationRCP
00000001e50bb2ac (__TEXT,__text) non-external (was a private external) _glvmOperationRET
00000001e50e3c88 (__TEXT,__text) non-external (was a private external) _glvmOperationRFL
00000001e50e67f8 (__TEXT,__text) non-external (was a private external) _glvmOperationRFR
00000001e50e8900 (__TEXT,__text) non-external (was a private external) _glvmOperationROUND
00000001e50e8b48 (__TEXT,__text) non-external (was a private external) _glvmOperationROUNDEVEN
00000001e50e0be4 (__TEXT,__text) non-external (was a private external) _glvmOperationRSQ
00000001e50dce68 (__TEXT,__text) non-external (was a private external) _glvmOperationSAT
00000001e50e1668 (__TEXT,__text) non-external (was a private external) _glvmOperationSCS
00000001e50e4094 (__TEXT,__text) non-external (was a private external) _glvmOperationSEL
00000001e50e415c (__TEXT,__text) non-external (was a private external) _glvmOperationSEQ
00000001e50e4610 (__TEXT,__text) non-external (was a private external) _glvmOperationSFL
00000001e50e4628 (__TEXT,__text) non-external (was a private external) _glvmOperationSGE
00000001e50e48a8 (__TEXT,__text) non-external (was a private external) _glvmOperationSGT
00000001e50e987c (__TEXT,__text) non-external (was a private external) _glvmOperationSHL
00000001e50e9980 (__TEXT,__text) non-external (was a private external) _glvmOperationSHR
00000001e50e0e34 (__TEXT,__text) non-external (was a private external) _glvmOperationSIN
00000001e50e9bcc (__TEXT,__text) non-external (was a private external) _glvmOperationSINH
00000001e50dc240 (__TEXT,__text) non-external (was a private external) _glvmOperationSIN_Core
00000001e50e4b28 (__TEXT,__text) non-external (was a private external) _glvmOperationSLE
00000001e50e4da8 (__TEXT,__text) non-external (was a private external) _glvmOperationSLT
00000001e50e71b8 (__TEXT,__text) non-external (was a private external) _glvmOperationSMS
00000001e50e5028 (__TEXT,__text) non-external (was a private external) _glvmOperationSNE
00000001e50e0e38 (__TEXT,__text) non-external (was a private external) _glvmOperationSQT
00000001e50e0fb0 (__TEXT,__text) non-external (was a private external) _glvmOperationSSG
00000001e50f3768 (__TEXT,__text) non-external (was a private external) _glvmOperationSTOREWithMaskEP
00000001e50f6430 (__TEXT,__text) non-external (was a private external) _glvmOperationSTOREWithMaskGP
00000001e50ecdf0 (__TEXT,__text) non-external (was a private external) _glvmOperationSTOREWithMaskVP
00000001e50e54e0 (__TEXT,__text) non-external (was a private external) _glvmOperationSTR
00000001e50e54f8 (__TEXT,__text) non-external (was a private external) _glvmOperationSUB
00000001e50e74e0 (__TEXT,__text) non-external (was a private external) _glvmOperationSWZ
00000001e50fa594 (__TEXT,__text) non-external (was a private external) _glvmOperationStackPreload
00000001e50e12ac (__TEXT,__text) non-external (was a private external) _glvmOperationTAN
00000001e50e9e2c (__TEXT,__text) non-external (was a private external) _glvmOperationTANH
00000001e50bb124 (__TEXT,__text) non-external (was a private external) _glvmOperationTARGBRA
00000001e50baed8 (__TEXT,__text) non-external (was a private external) _glvmOperationTARGBRK
00000001e50baffc (__TEXT,__text) non-external (was a private external) _glvmOperationTARGCONT
00000001e50ea548 (__TEXT,__text) non-external (was a private external) _glvmOperationTO_BITS
00000001e50e9568 (__TEXT,__text) non-external (was a private external) _glvmOperationTRUNCATE
00000001e50eb3c8 (__TEXT,__text) non-external (was a private external) _glvmOperationUP2H
00000001e50eaee8 (__TEXT,__text) non-external (was a private external) _glvmOperationUP2US
00000001e50ebdf4 (__TEXT,__text) non-external (was a private external) _glvmOperationUP2W
00000001e50eb944 (__TEXT,__text) non-external (was a private external) _glvmOperationUP4B
00000001e50ebcd0 (__TEXT,__text) non-external (was a private external) _glvmOperationUP4UB
00000001e50e9838 (__TEXT,__text) non-external (was a private external) _glvmOperationXOR
00000001e50e5644 (__TEXT,__text) non-external (was a private external) _glvmOperationXPD
00000001e50e58b0 (__TEXT,__text) non-external (was a private external) _glvmOperationXRL
00000001e50dceec (__TEXT,__text) non-external (was a private external) _glvmOperationZERO
00000001e50dc71c (__TEXT,__text) non-external (was a private external) _glvmOperationsNoise3D
00000001e50dc994 (__TEXT,__text) non-external (was a private external) _glvmOperationsNoise4D
00000001e50bb01c (__TEXT,__text) non-external (was a private external) _glvmPredicateBRA
00000001e50badd4 (__TEXT,__text) non-external (was a private external) _glvmPredicateBRK
00000001e50bb1bc (__TEXT,__text) non-external (was a private external) _glvmPredicateCASE
00000001e50baef8 (__TEXT,__text) non-external (was a private external) _glvmPredicateCONT
00000001e50bb274 (__TEXT,__text) non-external (was a private external) _glvmPredicateDEFAULT
00000001e50bad48 (__TEXT,__text) non-external (was a private external) _glvmPredicateELSE
00000001e50bad6c (__TEXT,__text) non-external (was a private external) _glvmPredicateENDIF
00000001e50bb15c (__TEXT,__text) non-external (was a private external) _glvmPredicateENDSWITCH
00000001e50badb8 (__TEXT,__text) non-external (was a private external) _glvmPredicateENDWHILE
00000001e50baca0 (__TEXT,__text) non-external (was a private external) _glvmPredicateIF
00000001e50bb144 (__TEXT,__text) non-external (was a private external) _glvmPredicateSWITCH
00000001e50badb0 (__TEXT,__text) non-external (was a private external) _glvmPredicateWHILE
00000001e50fc1b8 (__TEXT,__text) external _glvmPreloadFPTransformFour
00000001e50fa720 (__TEXT,__text) non-external (was a private external) _glvmPreloadPositionAttrib
00000001e50fa814 (__TEXT,__text) non-external (was a private external) _glvmPreloadSourceAttribs
00000001e50bb908 (__TEXT,__text) non-external (was a private external) _glvmRasterOpAlphaTest
00000001e50bdb28 (__TEXT,__text) non-external (was a private external) _glvmRasterOpBlend
00000001e50bb2f0 (__TEXT,__text) non-external (was a private external) _glvmRasterOpDepthBoundsTest
00000001e50bbac4 (__TEXT,__text) non-external (was a private external) _glvmRasterOpDepthStencilTest
00000001e50bd558 (__TEXT,__text) non-external (was a private external) _glvmRasterOpFragmentCount
00000001e50bee64 (__TEXT,__text) non-external (was a private external) _glvmRasterOpLogicOp
00000001e50bf280 (__TEXT,__text) non-external (was a private external) _glvmRasterOpMask
00000001e50bb554 (__TEXT,__text) non-external (was a private external) _glvmRasterOpMultisampleAlphaCoverage
00000001e50bb68c (__TEXT,__text) non-external (was a private external) _glvmRasterOpMultisampleAlphaOne
00000001e50bb6d4 (__TEXT,__text) non-external (was a private external) _glvmRasterOpMultisampleCoverageMask
00000001e50bb854 (__TEXT,__text) non-external (was a private external) _glvmRasterOpMultisampleSampleMask
00000001e50bd594 (__TEXT,__text) non-external (was a private external) _glvmRasterOpPack
00000001e50bf3e8 (__TEXT,__text) non-external (was a private external) _glvmRasterOpRead
00000001e50bf5e0 (__TEXT,__text) non-external (was a private external) _glvmRasterOpWrite
00000001e50bf890 (__TEXT,__text) non-external (was a private external) _glvmRasterOpWriteFallback
00000001e50ba298 (__TEXT,__text) non-external (was a private external) _glvmSamplerFetch
00000001e50ba188 (__TEXT,__text) non-external (was a private external) _glvmSamplerInvalid
00000001e509baec (__TEXT,__text) non-external (was a private external) _glvmSamplerLoadTexels
00000001e50a13c0 (__TEXT,__text) non-external (was a private external) _glvmSamplerQueryLOD
00000001e50a2500 (__TEXT,__text) non-external (was a private external) _glvmSamplerSample
00000001e50ba1d4 (__TEXT,__text) non-external (was a private external) _glvmSamplerSize
00000001e50f0b34 (__TEXT,__text) non-external _glvmSetSourceIndirectLimits
00000001e50f33d8 (__TEXT,__text) non-external _glvmSetSourceIndirectLimits
00000001e50f6078 (__TEXT,__text) non-external _glvmSetSourceIndirectLimits
00000001e50f9fec (__TEXT,__text) non-external _glvmSetSourceIndirectLimits
00000001e50ff514 (__TEXT,__text) non-external _glvmSetSourceIndirectLimits
00000001e5099e04 (__TEXT,__text) external _glvmSetTextureFormat
00000001e50c038c (__TEXT,__text) non-external (was a private external) _glvmSourceNegateCF
00000001e50c7ab4 (__TEXT,__text) non-external (was a private external) _glvmStoreDestAddress
00000001e50ca9b4 (__TEXT,__text) non-external (was a private external) _glvmStoreDestAddressWithMask
00000001e50cfac8 (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputCP
00000001e50d3720 (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputEP
00000001e50d7a5c (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputFP
00000001e50d528c (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputGP
00000001e50cc068 (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputVP
00000001e50d0d40 (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputWithMaskCP
00000001e50d4224 (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputWithMaskEP
00000001e50d8938 (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputWithMaskFP
00000001e50d5764 (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputWithMaskGP
00000001e50ccc80 (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputWithMaskVP
00000001e50c62c4 (__TEXT,__text) non-external (was a private external) _glvmStoreDestTemp
00000001e50c8180 (__TEXT,__text) non-external (was a private external) _glvmStoreDestTempWithMask
00000001e509b9e4 (__TEXT,__text) non-external _glvmTextureFilterEnumToPPStreamEnum
00000001e509ba64 (__TEXT,__text) non-external _glvmTextureWrapEnumToPPStreamEnum
00000001e50c042c (__TEXT,__text) non-external (was a private external) _glvmTypeConvertCF
00000001e509adc4 (__TEXT,__text) external _glvmUpdateTextureStructure
00000001e50f5b90 (__TEXT,__text) non-external (was a private external) _glvmWindowTransformEP
00000001e50f9904 (__TEXT,__text) non-external (was a private external) _glvmWindowTransformGP
00000001e50f043c (__TEXT,__text) non-external (was a private external) _glvmWindowTransformVP
000000021cf20310 (__DATA_DIRTY,__bss) non-external _glvm_constants
000000021cf20300 (__DATA_DIRTY,__bss) non-external _glvm_constants_init
00000001e514ce68 (__TEXT,__text) non-external _handleResetPost
00000001e514ce08 (__TEXT,__text) non-external _handleResetPre
00000001e5152a88 (__TEXT,__text) non-external _humanReadableDescriptionToBuffer
00000001e515b7c0 (__TEXT,__text) non-external _include_str_getch
00000001e515b8dc (__TEXT,__text) non-external _include_str_ungetch
00000001e5152204 (__TEXT,__text) non-external _initAggregateType
00000001e5161834 (__TEXT,__text) non-external _initBinaryOperatorNode
00000001e5161808 (__TEXT,__text) non-external _initCallNode
00000001e5161900 (__TEXT,__text) non-external _initDerefNode
00000001e51618b0 (__TEXT,__text) non-external _initQualifierNode
00000001e51618d8 (__TEXT,__text) non-external _initStatementNode
00000001e5161884 (__TEXT,__text) non-external _initStructureNode
00000001e5108280 (__TEXT,__text) non-external _initTypeWithGLPPrimitiveType
00000001e51617cc (__TEXT,__text) non-external _initUnaryOperatorNode
00000001e5186188 (__TEXT,__text) non-external _inliningNodeReplacement
00000001e513c748 (__TEXT,__text) non-external _inputForOutput
00000001e51b1a38 (__TEXT,__text) non-external _instructionIndexEqualsFunction
00000001e51b1a34 (__TEXT,__text) non-external _instructionIndexHashFunction
00000001e51a00d4 (__TEXT,__text) non-external _iterateQualifiers
00000001e515c920 (__TEXT,__text) non-external _lAddByte
00000001e515c09c (__TEXT,__text) non-external _lFloatConst
00000001e515c7b8 (__TEXT,__text) non-external _lNewBlock
00000001e515cf38 (__TEXT,__text) non-external _lReadByte
00000001e5157734 (__TEXT,__text) non-external (was a private external) _lazyCPPSetup
00000001e51814e4 (__TEXT,__text) non-external _lazyPrepareVariableObject
                 (undefined) external _ldexp (from libSystem)
                 (undefined) external _ldexpf (from libSystem)
00000001e508dff0 (__TEXT,__text) non-external _llvmir_PPStreamAddAddressUsage
00000001e508e058 (__TEXT,__text) non-external _llvmir_PPStreamAddAttribBinding
00000001e508e180 (__TEXT,__text) non-external _llvmir_PPStreamAddConstant
00000001e508e1f8 (__TEXT,__text) non-external _llvmir_PPStreamAddLabel
00000001e508dfa4 (__TEXT,__text) non-external _llvmir_PPStreamAddOperation
00000001e508e168 (__TEXT,__text) non-external _llvmir_PPStreamAddOption
00000001e508e0f0 (__TEXT,__text) non-external _llvmir_PPStreamAddOutputBinding
00000001e508dff4 (__TEXT,__text) non-external _llvmir_PPStreamAddParamBinding
00000001e508e054 (__TEXT,__text) non-external _llvmir_PPStreamAddParamBindingArray
00000001e508dfec (__TEXT,__text) non-external _llvmir_PPStreamAddTempUsage
00000001e508e200 (__TEXT,__text) non-external _llvmir_PPStreamResolveBranches
00000001e508df9c (__TEXT,__text) non-external _llvmir_PPStreamSetTarget
                 (undefined) external _log2f (from libSystem)
                 (undefined) external _logf (from libSystem)
                 (undefined) external _longjmp (from libSystem)
                 (undefined) external _lroundf (from libSystem)
00000001e515998c (__TEXT,__text) non-external _macro_scan
00000001e5135410 (__TEXT,__text) non-external _makeCopyFunction
00000001e5181894 (__TEXT,__text) non-external _makeIntConstantNode
00000001e5103fac (__TEXT,__text) non-external _makePoolNode
                 (undefined) external _malloc (from libSystem)
00000001e515a378 (__TEXT,__text) non-external (was a private external) _mem_AddCleanup
00000001e515a2b4 (__TEXT,__text) non-external (was a private external) _mem_Alloc
00000001e515a1c4 (__TEXT,__text) non-external (was a private external) _mem_CreatePool
00000001e515a264 (__TEXT,__text) non-external (was a private external) _mem_FreePool
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
00000001e5105568 (__TEXT,__text) non-external _mergeTypes
000000021a9a151c (__DATA,__bss) non-external _message
000000021a9a1518 (__DATA,__bss) non-external _message_lock
                 (undefined) external _mmap (from libSystem)
                 (undefined) external _mprotect (from libSystem)
                 (undefined) external _munmap (from libSystem)
000000021a99ce10 (__DATA,__data) non-external _mutex
00000001e513e920 (__TEXT,__text) non-external _nameTablePush
000000021a9a1940 (__DATA,__bss) non-external _nameTableSets
00000001e515a120 (__TEXT,__text) non-external _noop
00000001e515c098 (__TEXT,__text) non-external _noop
00000001e5136ed0 (__TEXT,__text) non-external _offsetLayout
00000001e5157a18 (__TEXT,__text) non-external _op_add
00000001e51579b8 (__TEXT,__text) non-external _op_and
00000001e5157a68 (__TEXT,__text) non-external _op_cmpl
00000001e5157a30 (__TEXT,__text) non-external _op_div
00000001e51579c0 (__TEXT,__text) non-external _op_eq
00000001e51579e4 (__TEXT,__text) non-external _op_ge
00000001e51579d8 (__TEXT,__text) non-external _op_gt
00000001e51579fc (__TEXT,__text) non-external _op_le
00000001e5157998 (__TEXT,__text) non-external _op_logand
00000001e5157988 (__TEXT,__text) non-external _op_logor
00000001e51579f0 (__TEXT,__text) non-external _op_lt
00000001e5157a44 (__TEXT,__text) non-external _op_mod
00000001e5157a28 (__TEXT,__text) non-external _op_mul
00000001e51579cc (__TEXT,__text) non-external _op_ne
00000001e5157a60 (__TEXT,__text) non-external _op_neg
00000001e5157a70 (__TEXT,__text) non-external _op_not
00000001e51579a8 (__TEXT,__text) non-external _op_or
00000001e5157a5c (__TEXT,__text) non-external _op_pos
00000001e5157a08 (__TEXT,__text) non-external _op_shl
00000001e5157a10 (__TEXT,__text) non-external _op_shr
00000001e5157a20 (__TEXT,__text) non-external _op_sub
00000001e51579b0 (__TEXT,__text) non-external _op_xor
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _os_unfair_lock_lock (from libSystem)
                 (undefined) external _os_unfair_lock_unlock (from libSystem)
00000001e513d6dc (__TEXT,__text) non-external _outputForInput
00000001e512bc50 (__TEXT,__text) non-external _packInto
00000001e5144cb0 (__TEXT,__text) non-external _parseInterpolationQualifiers
00000001e5144b00 (__TEXT,__text) non-external _parseLayout
00000001e510549c (__TEXT,__text) non-external _phase1ProcessFunctionPrototype
00000001e5105228 (__TEXT,__text) non-external _phase1ProcessVariableDeclaration
00000001e5180458 (__TEXT,__text) non-external (was a private external) _phase2AddDef
00000001e5180620 (__TEXT,__text) non-external _phase2Process
00000001e518092c (__TEXT,__text) non-external _phase2ProcessConstant
00000001e5180a08 (__TEXT,__text) non-external _phase2ProcessFunctionPrototype
00000001e5180aa4 (__TEXT,__text) non-external _phase2ProcessInterfaceBlock
00000001e5180f20 (__TEXT,__text) non-external _phase2ProcessLValue
00000001e518099c (__TEXT,__text) non-external _phase2ProcessParameterDeclaration
00000001e5180b58 (__TEXT,__text) non-external _phase2ProcessRawCall
00000001e5180cf4 (__TEXT,__text) non-external _phase2ProcessSubroutineRawCall
00000001e51813f4 (__TEXT,__text) non-external _phase2ProcessSubroutineUniform
00000001e5180a50 (__TEXT,__text) non-external _phase2ProcessVariableDeclaration
00000001e5104018 (__TEXT,__text) non-external _poolAlloc
000000021a9a1960 (__DATA,__bss) non-external _poolAllocators
00000001e51040ac (__TEXT,__text) non-external _poolFree
00000001e51040a4 (__TEXT,__text) non-external _poolRealloc
00000001e51d0c20 (__TEXT,__const) non-external _pow_10.down
00000001e51d0b20 (__TEXT,__const) non-external _pow_10.up
                 (undefined) external _powf (from libSystem)
00000002176b3548 (__DATA_CONST,__const) non-external (was a private external) _ppstreamOpString
00000001e5108f78 (__TEXT,__text) non-external _primitiveTypeOfDeref
                 (undefined) external _printf (from libSystem)
00000001e513d494 (__TEXT,__text) non-external _propagateCopyBindings
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
00000001e514af54 (__TEXT,__text) non-external (was a private external) _pushdownPrecisionInternal
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _qsort_b (from libSystem)
00000001e51452e0 (__TEXT,__text) non-external _qualifierContextToString
00000001e5144064 (__TEXT,__text) non-external _qualifierMaskToSAFlags
00000001e5144e70 (__TEXT,__text) non-external _qualifierMaskToStringBuffer
00000001e5157a7c (__TEXT,__text) non-external (was a private external) _readCPPline
00000001e510428c (__TEXT,__text) non-external _readTOC
00000001e516ed14 (__TEXT,__text) non-external (was a private external) _real_serialize_GLPValue
                 (undefined) external _realloc (from libSystem)
00000001e51ae0d0 (__TEXT,__text) non-external _regEqualsFunction
00000001e51ae0c8 (__TEXT,__text) non-external _regHashFunction
00000001e515d208 (__TEXT,__text) non-external _reget_token
00000001e513eae8 (__TEXT,__text) non-external _remap
00000001e51d1df4 (__TEXT,__const) non-external (was a private external) _remapSlotToCode
00000001e51a3e14 (__TEXT,__text) non-external _renumberTargets
                 (undefined) external _round (from libSystem)
                 (undefined) external _roundf (from libSystem)
00000001e5143378 (__TEXT,__text) non-external _saInliningNodeReplacement
00000001e515d0c4 (__TEXT,__text) non-external _scan_token
00000001e51797e0 (__TEXT,__text) non-external _serializeASTFields
00000001e5173c08 (__TEXT,__text) non-external _serializeAssignFields
00000001e5176c84 (__TEXT,__text) non-external _serializeBlockFields
00000001e517a6e8 (__TEXT,__text) non-external _serializeCallFields
