00000001e9d55c20 (__DATA,__data) external _NDR_record
00000001804ac8fc (__TEXT,__text) external _proc_signal_delegate
00000001804aca00 (__TEXT,__text) external _proc_signal_with_audittoken
00000001804ad138 (__TEXT,__text) external _proc_suppress
00000001804ac880 (__TEXT,__text) external _proc_terminate
00000001804acadc (__TEXT,__text) external _proc_terminate_all_rsr
00000001804ac96c (__TEXT,__text) external _proc_terminate_delegate
00000001804aca5c (__TEXT,__text) external _proc_terminate_with_audittoken
00000001804a7b78 (__TEXT,__text) external _proc_trace_log
000000018049c0d8 (__TEXT,__text) external _proc_track_dirty
00000001804ac4c8 (__TEXT,__text) external _proc_udata_info
00000001804a7ba4 (__TEXT,__text) external _proc_uuid_policy
00000001804c293c (__TEXT,__text) external _processor_assign
00000001804c27e4 (__TEXT,__text) external _processor_control
00000001804c24c0 (__TEXT,__text) external _processor_exit
00000001804c2a68 (__TEXT,__text) external _processor_get_assignment
00000001804c25d0 (__TEXT,__text) external _processor_info
00000001804bac3c (__TEXT,__text) external _processor_set_create
00000001804baae0 (__TEXT,__text) external _processor_set_default
00000001804c1598 (__TEXT,__text) external _processor_set_destroy
00000001804c2014 (__TEXT,__text) external _processor_set_info
00000001804c16ac (__TEXT,__text) external _processor_set_max_priority
00000001804c1d14 (__TEXT,__text) external _processor_set_policy_control
00000001804c18ec (__TEXT,__text) external _processor_set_policy_disable
00000001804c17cc (__TEXT,__text) external _processor_set_policy_enable
00000001804c1e88 (__TEXT,__text) external _processor_set_stack_usage
00000001804c13b4 (__TEXT,__text) external _processor_set_statistics
00000001804c1a0c (__TEXT,__text) external _processor_set_tasks
00000001804c221c (__TEXT,__text) external _processor_set_tasks_with_flavor
00000001804c1b90 (__TEXT,__text) external _processor_set_threads
00000001804c23b0 (__TEXT,__text) external _processor_start
00000001804b33a8 (__TEXT,__text) external _pselect
000000018049ef54 (__TEXT,__text) external _pselect$DARWIN_EXTSN
00000001804ab4a8 (__TEXT,__text) external _pselect$DARWIN_EXTSN$NOCANCEL
00000001804b3534 (__TEXT,__text) external _pselect$NOCANCEL
000000018049a868 (__TEXT,__text) external _pthread_getugid_np
00000001804a2480 (__TEXT,__text) external _pthread_setugid_np
00000001804a1a34 (__TEXT,__text) external _ptrace
000000018049c414 (__TEXT,__text) external _pwrite
00000001804a67c8 (__TEXT,__text) external _pwrite$NOCANCEL
00000001804a7bd0 (__TEXT,__text) external _pwritev
00000001804a67f4 (__TEXT,__text) external _pwritev$NOCANCEL
00000001804ab1bc (__TEXT,__text) external _quota
000000018049f0e0 (__TEXT,__text) external _quotactl
0000000180499900 (__TEXT,__text) external _read
000000018049ac90 (__TEXT,__text) external _read$NOCANCEL
000000018049b140 (__TEXT,__text) external _readlink
00000001804a7bfc (__TEXT,__text) external _readlinkat
00000001804a7c28 (__TEXT,__text) external _readv
00000001804a6820 (__TEXT,__text) external _readv$NOCANCEL
00000001804a84cc (__TEXT,__text) non-external _reallocf
00000001804aa4a8 (__TEXT,__text) external _reboot
00000001804aa4b0 (__TEXT,__text) external _reboot_np
00000001804b33a4 (__TEXT,__text) external _record_system_event_as_kernel
000000018049d39c (__TEXT,__text) external _recvfrom
000000018049d264 (__TEXT,__text) external _recvfrom$NOCANCEL
000000018049d7ac (__TEXT,__text) external _recvmsg
00000001804a68a4 (__TEXT,__text) external _recvmsg$NOCANCEL
00000001804a7c54 (__TEXT,__text) external _recvmsg_x
00000001804a7c80 (__TEXT,__text) external _register_uexc_handler
000000018049dcd0 (__TEXT,__text) external _removexattr
000000018049c844 (__TEXT,__text) external _rename
00000001804adea4 (__TEXT,__text) external _rename_ext
00000001804aa544 (__TEXT,__text) external _renameat
00000001804ade38 (__TEXT,__text) external _renameatx_np
00000001804ade64 (__TEXT,__text) external _renamex_np
00000001804a7cac (__TEXT,__text) external _revoke
000000018049c8b0 (__TEXT,__text) external _rmdir
00000001804a7cd8 (__TEXT,__text) external _searchfs
000000018049d4a4 (__TEXT,__text) external _select
00000001804a3e4c (__TEXT,__text) external _select$DARWIN_EXTSN
000000018049d238 (__TEXT,__text) external _select$DARWIN_EXTSN$NOCANCEL
000000018049d204 (__TEXT,__text) external _select$NOCANCEL
00000001804a2724 (__TEXT,__text) external _sem_close
00000001804b2f38 (__TEXT,__text) external _sem_destroy
00000001804b2f60 (__TEXT,__text) external _sem_getvalue
00000001804b2f88 (__TEXT,__text) external _sem_init
00000001804a59f0 (__TEXT,__text) external _sem_open
00000001804a7d04 (__TEXT,__text) external _sem_post
00000001804a7d30 (__TEXT,__text) external _sem_trywait
00000001804a7d5c (__TEXT,__text) external _sem_unlink
00000001804a7d88 (__TEXT,__text) external _sem_wait
00000001804a6928 (__TEXT,__text) external _sem_wait$NOCANCEL
000000018049bc30 (__TEXT,__text) external _semaphore_create
000000018049bfbc (__TEXT,__text) external _semaphore_destroy
000000018049bd9c (__TEXT,__text) external _semaphore_signal
00000001804ab2dc (__TEXT,__text) external _semaphore_signal_all
0000000180498b90 (__TEXT,__text) external _semaphore_signal_all_trap
00000001804ab2e0 (__TEXT,__text) external _semaphore_signal_thread
0000000180498b9c (__TEXT,__text) external _semaphore_signal_thread_trap
0000000180498b84 (__TEXT,__text) external _semaphore_signal_trap
000000018049da3c (__TEXT,__text) external _semaphore_timedwait
00000001804ab2e8 (__TEXT,__text) external _semaphore_timedwait_signal
0000000180498bcc (__TEXT,__text) external _semaphore_timedwait_signal_trap
0000000180498bc0 (__TEXT,__text) external _semaphore_timedwait_trap
000000018049bd98 (__TEXT,__text) external _semaphore_wait
00000001804ab2e4 (__TEXT,__text) external _semaphore_wait_signal
0000000180498bb4 (__TEXT,__text) external _semaphore_wait_signal_trap
0000000180498ba8 (__TEXT,__text) external _semaphore_wait_trap
00000001804a5a74 (__TEXT,__text) external _semctl
00000001804a7db4 (__TEXT,__text) external _semget
00000001804a7de0 (__TEXT,__text) external _semop
00000001804a5a50 (__TEXT,__text) external _semsys
00000001804a7e0c (__TEXT,__text) external _sendfile
000000018049e96c (__TEXT,__text) external _sendmsg
000000018049d2bc (__TEXT,__text) external _sendmsg$NOCANCEL
00000001804a7e38 (__TEXT,__text) external _sendmsg_x
000000018049d370 (__TEXT,__text) external _sendto
000000018049d1d8 (__TEXT,__text) external _sendto$NOCANCEL
000000018049c46c (__TEXT,__text) external _setattrlist
00000001804a7e64 (__TEXT,__text) external _setattrlistat
00000001804b6734 (__TEXT,__text) external _setaudit
00000001804a7e90 (__TEXT,__text) external _setaudit_addr
00000001804a7ebc (__TEXT,__text) external _setauid
00000001804a24d8 (__TEXT,__text) external _setegid
00000001804a24ac (__TEXT,__text) external _seteuid
00000001804a2200 (__TEXT,__text) external _setgid
00000001804a7ee8 (__TEXT,__text) external _setgroups
00000001804a08f8 (__TEXT,__text) external _setiopolicy_np
00000001804a15d4 (__TEXT,__text) external _setitimer
00000001804a4808 (__TEXT,__text) external _setpgid
00000001804a1048 (__TEXT,__text) external _setpriority
00000001804a7f14 (__TEXT,__text) external _setprivexec
00000001804ab1ec (__TEXT,__text) external _setquota
00000001804a69ac (__TEXT,__text) external _setregid
00000001804a69d8 (__TEXT,__text) external _setreuid
000000018049b9ec (__TEXT,__text) external _setrlimit
00000001804a6a04 (__TEXT,__text) external _setsgroups_np
00000001804a1750 (__TEXT,__text) external _setsid
000000018049d180 (__TEXT,__text) external _setsockopt
00000001804a222c (__TEXT,__text) external _setuid
00000001804a6a88 (__TEXT,__text) external _setwgroups_np
000000018049c764 (__TEXT,__text) external _setxattr
00000001804af988 (__TEXT,__text) external _sfi_get_class_offtime
00000001804af9b0 (__TEXT,__text) external _sfi_process_get_flags
00000001804af99c (__TEXT,__text) external _sfi_process_set_flags
00000001804a277c (__TEXT,__text) external _sfi_set_class_offtime
00000001804a5a10 (__TEXT,__text) external _shm_open
00000001804a7f40 (__TEXT,__text) external _shm_unlink
00000001804a7f6c (__TEXT,__text) external _shmat
00000001804a6b38 (__TEXT,__text) external _shmctl
00000001804a7f98 (__TEXT,__text) external _shmdt
00000001804a7fc4 (__TEXT,__text) external _shmget
00000001804a5a94 (__TEXT,__text) external _shmsys
000000018049d420 (__TEXT,__text) external _shutdown
00000001804a7ff0 (__TEXT,__text) external _sigpending
000000018049c3bc (__TEXT,__text) external _sigprocmask
00000001804b4c98 (__TEXT,__text) external _sigsuspend
00000001804a04f8 (__TEXT,__text) external _sigsuspend$NOCANCEL
000000018049cf84 (__TEXT,__text) external _socket
00000001804a801c (__TEXT,__text) external _socket_delegate
000000018049d290 (__TEXT,__text) external _socketpair
00000001804af688 (__TEXT,__text) external _stackshot_capture_with_config
00000001804af5cc (__TEXT,__text) external _stackshot_config_create
00000001804af7f8 (__TEXT,__text) external _stackshot_config_dealloc
00000001804af7a0 (__TEXT,__text) external _stackshot_config_dealloc_buffer
00000001804af708 (__TEXT,__text) external _stackshot_config_get_stackshot_buffer
00000001804af714 (__TEXT,__text) external _stackshot_config_get_stackshot_size
00000001804af754 (__TEXT,__text) external _stackshot_config_set_delta_timestamp
00000001804af66c (__TEXT,__text) external _stackshot_config_set_flags
00000001804af778 (__TEXT,__text) external _stackshot_config_set_pagetable_mask
00000001804af650 (__TEXT,__text) external _stackshot_config_set_pid
00000001804af730 (__TEXT,__text) external _stackshot_config_set_size_hint
00000001804a4860 (__TEXT,__text) external _stat
00000001804a4860 (__TEXT,__text) external _stat64
00000001804a80a0 (__TEXT,__text) external _statfs
00000001804a80a0 (__TEXT,__text) external _statfs64
00000001804ae270 (__TEXT,__text) external _statfs_ext
00000001e9d55c90 (__DATA,__bss) non-external _supported
00000001804a80cc (__TEXT,__text) external _swapon
0000000180498c8c (__TEXT,__text) external _swtch
0000000180498c80 (__TEXT,__text) external _swtch_pri
000000018049e914 (__TEXT,__text) external _symlink
00000001804a80f8 (__TEXT,__text) external _symlinkat
00000001804a8124 (__TEXT,__text) external _sync
000000018049b104 (__TEXT,__text) external _syscall
0000000180498c98 (__TEXT,__text) external _syscall_thread_switch
00000001804af974 (__TEXT,__text) external _system_get_sfi_window
00000001804a8150 (__TEXT,__text) external _system_override
00000001804a27bc (__TEXT,__text) external _system_set_sfi_window
00000001e9d55c70 (__DATA,__bss) non-external _system_version_compat_check_path_suffix
00000001e9d55c30 (__DATA,__common) external _system_version_compat_mode
00000001804c4eec (__TEXT,__text) external _task_assign
00000001804c5018 (__TEXT,__text) external _task_assign_default
00000001804c32fc (__TEXT,__text) external _task_create
00000001804c7424 (__TEXT,__text) external _task_create_identity_token
00000001804c76ec (__TEXT,__text) external _task_dyld_process_info_notify_deregister
0000000180498aac (__TEXT,__text) external _task_dyld_process_info_notify_get
00000001804c7308 (__TEXT,__text) external _task_dyld_process_info_notify_register
0000000180498c14 (__TEXT,__text) external _task_for_pid
00000001804c61ac (__TEXT,__text) external _task_generate_corpse
00000001804c5134 (__TEXT,__text) external _task_get_assignment
00000001804c66d8 (__TEXT,__text) external _task_get_dyld_image_infos
00000001804c4940 (__TEXT,__text) external _task_get_emulation_vector
00000001804c6f64 (__TEXT,__text) external _task_get_exc_guard_behavior
00000001804a42d8 (__TEXT,__text) external _task_get_exception_ports
00000001804c7808 (__TEXT,__text) external _task_get_exception_ports_info
00000001804c5da8 (__TEXT,__text) external _task_get_mach_voucher
00000001804991b8 (__TEXT,__text) external _task_get_special_port
00000001804c5450 (__TEXT,__text) external _task_get_state
00000001804c7580 (__TEXT,__text) external _task_identity_token_get_task_port
000000018049939c (__TEXT,__text) external _task_info
00000001804c6d88 (__TEXT,__text) external _task_inspect
00000001804a817c (__TEXT,__text) external _task_inspect_for_pid
00000001804c6308 (__TEXT,__text) external _task_map_corpse_info
00000001804c6c1c (__TEXT,__text) external _task_map_corpse_info_64
00000001804c7e3c (__TEXT,__text) external _task_map_kcdata_object_64
0000000180498c08 (__TEXT,__text) external _task_name_for_pid
00000001804c46b0 (__TEXT,__text) external _task_policy
00000001804c4380 (__TEXT,__text) external _task_policy_get
000000018049b484 (__TEXT,__text) external _task_policy_set
00000001804c5c04 (__TEXT,__text) external _task_purgable_info
00000001804a81a8 (__TEXT,__text) external _task_read_for_pid
00000001804c6ab4 (__TEXT,__text) external _task_register_dyld_get_process_state
00000001804c6470 (__TEXT,__text) external _task_register_dyld_image_infos
00000001804c6990 (__TEXT,__text) external _task_register_dyld_set_dyld_state
00000001804c6868 (__TEXT,__text) external _task_register_dyld_shared_cache_image_info
00000001804c7fa8 (__TEXT,__text) external _task_register_hardened_exception_handler
0000000180498d58 (__TEXT,__text) external _task_restartable_ranges_register
000000018049ba20 (__TEXT,__text) external _task_restartable_ranges_synchronize
00000001804c3968 (__TEXT,__text) external _task_resume
00000001804c5af4 (__TEXT,__text) external _task_resume2
00000001804c4594 (__TEXT,__text) external _task_sample
00000001804ab308 (__TEXT,__text) external _task_self_
0000000180498b54 (__TEXT,__text) external _task_self_trap
00000001804c7bf4 (__TEXT,__text) external _task_set_corpse_forking_behavior
00000001804c4828 (__TEXT,__text) external _task_set_emulation
00000001804c4acc (__TEXT,__text) external _task_set_emulation_vector
00000001804c70a8 (__TEXT,__text) external _task_set_exc_guard_behavior
00000001804a3170 (__TEXT,__text) external _task_set_exception_ports
00000001804a35f8 (__TEXT,__text) external _task_set_info
00000001804c5f14 (__TEXT,__text) external _task_set_mach_voucher
00000001804c5844 (__TEXT,__text) external _task_set_phys_footprint_limit
00000001804c5290 (__TEXT,__text) external _task_set_policy
00000001804b6208 (__TEXT,__text) external _task_set_port_space
00000001804c4bfc (__TEXT,__text) external _task_set_ras_pc
0000000180499f08 (__TEXT,__text) external _task_set_special_port
00000001804c5698 (__TEXT,__text) external _task_set_state
00000001804c3858 (__TEXT,__text) external _task_suspend
00000001804c5998 (__TEXT,__text) external _task_suspend2
00000001804c3dd4 (__TEXT,__text) external _task_swap_exception_ports
00000001804c6030 (__TEXT,__text) external _task_swap_mach_voucher
00000001804c347c (__TEXT,__text) external _task_terminate
00000001804c7d10 (__TEXT,__text) external _task_test_async_upcall_propagation
00000001804c7ad8 (__TEXT,__text) external _task_test_sync_upcall
00000001804a1e38 (__TEXT,__text) external _task_threads
00000001804c65a4 (__TEXT,__text) external _task_unregister_dyld_image_infos
00000001804c4d14 (__TEXT,__text) external _task_zone_info
00000001804af970 (__TEXT,__text) external _terminate_with_payload
00000001804a35b8 (__TEXT,__text) external _terminate_with_reason
00000001804c89a8 (__TEXT,__text) external _thread_abort
00000001804c8ab8 (__TEXT,__text) external _thread_abort_safely
00000001804ca338 (__TEXT,__text) external _thread_adopt_exception_handler
00000001804c94d0 (__TEXT,__text) external _thread_assign
00000001804c95ec (__TEXT,__text) external _thread_assign_default
00000001804c9e08 (__TEXT,__text) external _thread_convert_thread_state
00000001804c3a78 (__TEXT,__text) external _thread_create
00000001804c3bd4 (__TEXT,__text) external _thread_create_running
00000001804c8bc8 (__TEXT,__text) external _thread_depress_abort
000000018049bee8 (__TEXT,__text) external _thread_destruct_special_reply_port
00000001804c96fc (__TEXT,__text) external _thread_get_assignment
00000001804a27d0 (__TEXT,__text) external _thread_get_exception_ports
00000001804ca068 (__TEXT,__text) external _thread_get_exception_ports_info
00000001804c9a04 (__TEXT,__text) external _thread_get_mach_voucher
00000001804adc34 (__TEXT,__text) external _thread_get_register_pointer_values
00000001804c8cd8 (__TEXT,__text) external _thread_get_special_port
0000000180498c50 (__TEXT,__text) external _thread_get_special_reply_port
00000001804a1fb8 (__TEXT,__text) external _thread_get_state
00000001804a055c (__TEXT,__text) external _thread_info
000000018049dfb8 (__TEXT,__text) external _thread_policy
00000001804a2258 (__TEXT,__text) external _thread_policy_get
000000018049f138 (__TEXT,__text) external _thread_policy_set
00000001804c8898 (__TEXT,__text) external _thread_resume
00000001804c9298 (__TEXT,__text) external _thread_sample
0000000180498b48 (__TEXT,__text) external _thread_self_trap
00000001804a81d4 (__TEXT,__text) external _thread_selfcounts
000000018049f438 (__TEXT,__text) external _thread_set_exception_ports
00000001804c9b70 (__TEXT,__text) external _thread_set_mach_voucher
00000001804adba4 (__TEXT,__text) external _thread_set_policy
00000001804c8e44 (__TEXT,__text) external _thread_set_special_port
00000001804c85dc (__TEXT,__text) external _thread_set_state
00000001804c8788 (__TEXT,__text) external _thread_suspend
00000001804c8f70 (__TEXT,__text) external _thread_swap_exception_ports
00000001804c9c8c (__TEXT,__text) external _thread_swap_mach_voucher
000000018049e4fc (__TEXT,__text) external _thread_switch
00000001804c80d8 (__TEXT,__text) external _thread_terminate
00000001804b82d8 (__TEXT,__text) external _thread_wire
00000001804ccf68 (__TEXT,__const) non-external _times_now
00000001804a8200 (__TEXT,__text) external _tracker_action
00000001edd63d08 (__AUTH_CONST,__const) non-external _traffic_rule_types
00000001804a822c (__TEXT,__text) external _truncate
000000018049e4a4 (__TEXT,__text) external _umask
00000001804a8258 (__TEXT,__text) external _undelete
00000001804a8284 (__TEXT,__text) external _ungraftdmg
000000018049cc64 (__TEXT,__text) external _unlink
00000001804a2a94 (__TEXT,__text) external _unlinkat
00000001804a5358 (__TEXT,__text) external _unmount
00000001804a82b0 (__TEXT,__text) external _usrctl
00000001804adadc (__TEXT,__text) external _utimensat
000000018049e4d0 (__TEXT,__text) external _utimes
00000001804a82dc (__TEXT,__text) external _vfs_purge
000000018049afb0 (__TEXT,__text) external _vm_allocate
00000001804b8404 (__TEXT,__text) external _vm_allocate_cpm
00000001804caab0 (__TEXT,__text) external _vm_behavior_set
000000018049bda0 (__TEXT,__text) external _vm_copy
000000018049b0a0 (__TEXT,__text) external _vm_deallocate
00000001804ca468 (__TEXT,__text) external _vm_inherit
00000001ec762b98 (__DATA_DIRTY,__common) external _vm_kernel_page_mask
00000001ec762b90 (__DATA_DIRTY,__common) external _vm_kernel_page_shift
00000001ec762b88 (__DATA_DIRTY,__common) external _vm_kernel_page_size
00000001804cabd0 (__TEXT,__text) external _vm_machine_attribute
00000001804a4fc4 (__TEXT,__text) external _vm_map
00000001804cad28 (__TEXT,__text) external _vm_map_page_query
00000001804ca990 (__TEXT,__text) external _vm_msync
00000001ec762b80 (__DATA_DIRTY,__common) external _vm_page_mask
00000001ec762b7c (__DATA_DIRTY,__common) external _vm_page_shift
00000001ec762b70 (__DATA_DIRTY,__common) external _vm_page_size
00000001804a8308 (__TEXT,__text) external _vm_pressure_monitor
000000018049d7a8 (__TEXT,__text) external _vm_protect
000000018049c5d0 (__TEXT,__text) external _vm_purgable_control
00000001804a2504 (__TEXT,__text) external _vm_read
00000001804ca588 (__TEXT,__text) external _vm_read_list
00000001804ca840 (__TEXT,__text) external _vm_read_overwrite
00000001804a1104 (__TEXT,__text) external _vm_region_64
00000001804a1334 (__TEXT,__text) external _vm_region_recurse_64
000000018049b264 (__TEXT,__text) external _vm_remap
00000001804b6614 (__TEXT,__text) external _vm_remap_new
00000001e5bbbcc8 (__DATA_CONST,__const) non-external _vm_tag_descriptions
00000001804b81a8 (__TEXT,__text) external _vm_wire
00000001804ca70c (__TEXT,__text) external _vm_write
000000018049c330 (__TEXT,__text) external _voucher_mach_msg_adopt
0000000180499e78 (__TEXT,__text) external _voucher_mach_msg_clear
000000018049c318 (__TEXT,__text) external _voucher_mach_msg_revert
0000000180499a28 (__TEXT,__text) external _voucher_mach_msg_set
00000001e9d55c38 (__DATA,__common) external _vprintf_stderr_func
00000001804a527c (__TEXT,__text) external _wait4
00000001804a8334 (__TEXT,__text) external _waitid
00000001804a6d34 (__TEXT,__text) external _waitid$NOCANCEL
00000001804b5324 (__TEXT,__text) external _work_interval_copy_port
00000001804a1b00 (__TEXT,__text) external _work_interval_create
00000001804b510c (__TEXT,__text) external _work_interval_destroy
00000001804b4d7c (__TEXT,__text) external _work_interval_get_flags_from_port
00000001804a1c48 (__TEXT,__text) external _work_interval_instance_alloc
00000001804b4ee8 (__TEXT,__text) external _work_interval_instance_clear
00000001804b508c (__TEXT,__text) external _work_interval_instance_finish
00000001804b4efc (__TEXT,__text) external _work_interval_instance_free
00000001804b4fb0 (__TEXT,__text) external _work_interval_instance_get_complexity
00000001804b4f80 (__TEXT,__text) external _work_interval_instance_get_deadline
00000001804b4f98 (__TEXT,__text) external _work_interval_instance_get_finish
00000001804a1cb0 (__TEXT,__text) external _work_interval_instance_get_id
00000001804b4f68 (__TEXT,__text) external _work_interval_instance_get_start
00000001804b4fc8 (__TEXT,__text) external _work_interval_instance_get_telemetry_data
00000001804b4f60 (__TEXT,__text) external _work_interval_instance_set_complexity
00000001804b4f50 (__TEXT,__text) external _work_interval_instance_set_deadline
00000001804b4f58 (__TEXT,__text) external _work_interval_instance_set_finish
00000001804b4f48 (__TEXT,__text) external _work_interval_instance_set_start
00000001804b4fe4 (__TEXT,__text) external _work_interval_instance_start
00000001804b5034 (__TEXT,__text) external _work_interval_instance_update
00000001804b5278 (__TEXT,__text) external _work_interval_join
00000001804b52d0 (__TEXT,__text) external _work_interval_join_port
00000001804b5310 (__TEXT,__text) external _work_interval_leave
00000001804b4e0c (__TEXT,__text) external _work_interval_notify
00000001804b4e88 (__TEXT,__text) external _work_interval_notify_simple
000000018049c818 (__TEXT,__text) external _write
000000018049cbc8 (__TEXT,__text) external _write$NOCANCEL
000000018049cb70 (__TEXT,__text) external _writev
00000001804a6d60 (__TEXT,__text) external _writev$NOCANCEL
