0000000182bd3000 (__DATA,__data) external _NDR_record
0000000180ab3234 (__TEXT,__text) external _pthread_getugid_np
0000000180ab492c (__TEXT,__text) external _pthread_setugid_np
0000000180ab4348 (__TEXT,__text) external _ptrace
0000000180ab6b5c (__TEXT,__text) external _pwrite
0000000180ab4380 (__TEXT,__text) external _pwrite$NOCANCEL
0000000180ab6b88 (__TEXT,__text) external _pwritev
0000000180ab43ac (__TEXT,__text) external _pwritev$NOCANCEL
0000000180abb224 (__TEXT,__text) external _quota
0000000180ab6bb4 (__TEXT,__text) external _quotactl
0000000180ab6be0 (__TEXT,__text) external _read
0000000180ab43d8 (__TEXT,__text) external _read$NOCANCEL
0000000180ab6c0c (__TEXT,__text) external _readlink
0000000180ab6c38 (__TEXT,__text) external _readlinkat
0000000180ab6c64 (__TEXT,__text) external _readv
0000000180ab4404 (__TEXT,__text) external _readv$NOCANCEL
0000000180ab7744 (__TEXT,__text) non-external _reallocf
0000000180ab9520 (__TEXT,__text) external _reboot
0000000180ab9528 (__TEXT,__text) external _reboot_np
0000000180ac5348 (__TEXT,__text) external _record_system_event_as_kernel
0000000180ab4488 (__TEXT,__text) external _recvfrom
0000000180ab44b4 (__TEXT,__text) external _recvfrom$NOCANCEL
0000000180ab44e0 (__TEXT,__text) external _recvmsg
0000000180ab450c (__TEXT,__text) external _recvmsg$NOCANCEL
0000000180ab6c90 (__TEXT,__text) external _recvmsg_x
0000000180ab6cbc (__TEXT,__text) external _register_uexc_handler
0000000180ab6ce8 (__TEXT,__text) external _removexattr
0000000180ac73e8 (__TEXT,__text) external _rename
0000000180abe584 (__TEXT,__text) external _rename_ext
0000000180ab96c0 (__TEXT,__text) external _renameat
0000000180abe518 (__TEXT,__text) external _renameatx_np
0000000180abe544 (__TEXT,__text) external _renamex_np
0000000180ab6d14 (__TEXT,__text) external _revoke
0000000180ac6c30 (__TEXT,__text) external _rmdir
0000000180ab6d40 (__TEXT,__text) external _searchfs
0000000180ac534c (__TEXT,__text) external _select
0000000180ab45e8 (__TEXT,__text) external _select$DARWIN_EXTSN
0000000180ab4614 (__TEXT,__text) external _select$DARWIN_EXTSN$NOCANCEL
0000000180ac550c (__TEXT,__text) external _select$NOCANCEL
0000000180ab6d6c (__TEXT,__text) external _sem_close
0000000180ac4ac4 (__TEXT,__text) external _sem_destroy
0000000180ac4aec (__TEXT,__text) external _sem_getvalue
0000000180ac4b14 (__TEXT,__text) external _sem_init
0000000180ab2864 (__TEXT,__text) external _sem_open
0000000180ab6d98 (__TEXT,__text) external _sem_post
0000000180ab6dc4 (__TEXT,__text) external _sem_trywait
0000000180ab6df0 (__TEXT,__text) external _sem_unlink
0000000180ab6e1c (__TEXT,__text) external _sem_wait
0000000180ab466c (__TEXT,__text) external _sem_wait$NOCANCEL
0000000180ad9b98 (__TEXT,__text) external _semaphore_create
0000000180ad9d00 (__TEXT,__text) external _semaphore_destroy
0000000180abb60c (__TEXT,__text) external _semaphore_signal
0000000180abb610 (__TEXT,__text) external _semaphore_signal_all
0000000180ab2444 (__TEXT,__text) external _semaphore_signal_all_trap
0000000180abb614 (__TEXT,__text) external _semaphore_signal_thread
0000000180ab2450 (__TEXT,__text) external _semaphore_signal_thread_trap
0000000180ab2438 (__TEXT,__text) external _semaphore_signal_trap
0000000180abb61c (__TEXT,__text) external _semaphore_timedwait
0000000180abb628 (__TEXT,__text) external _semaphore_timedwait_signal
0000000180ab2480 (__TEXT,__text) external _semaphore_timedwait_signal_trap
0000000180ab2474 (__TEXT,__text) external _semaphore_timedwait_trap
0000000180abb618 (__TEXT,__text) external _semaphore_wait
0000000180abb624 (__TEXT,__text) external _semaphore_wait_signal
0000000180ab2468 (__TEXT,__text) external _semaphore_wait_signal_trap
0000000180ab245c (__TEXT,__text) external _semaphore_wait_trap
0000000180ab28e8 (__TEXT,__text) external _semctl
0000000180ab6e48 (__TEXT,__text) external _semget
0000000180ab6e74 (__TEXT,__text) external _semop
0000000180ab28c4 (__TEXT,__text) external _semsys
0000000180ab6ea0 (__TEXT,__text) external _sendfile
0000000180ab4748 (__TEXT,__text) external _sendmsg
0000000180ab4774 (__TEXT,__text) external _sendmsg$NOCANCEL
0000000180ab6ecc (__TEXT,__text) external _sendmsg_x
0000000180ab47a0 (__TEXT,__text) external _sendto
0000000180ab47cc (__TEXT,__text) external _sendto$NOCANCEL
0000000180ab47f8 (__TEXT,__text) external _setattrlist
0000000180ab6ef8 (__TEXT,__text) external _setattrlistat
0000000180ac95cc (__TEXT,__text) external _setaudit
0000000180ab6f24 (__TEXT,__text) external _setaudit_addr
0000000180ab6f50 (__TEXT,__text) external _setauid
0000000180ab6f7c (__TEXT,__text) external _setegid
0000000180ab6fa8 (__TEXT,__text) external _seteuid
0000000180ab6fd4 (__TEXT,__text) external _setgid
0000000180ab7000 (__TEXT,__text) external _setgroups
0000000180abb858 (__TEXT,__text) external _setiopolicy_np
0000000180ab702c (__TEXT,__text) external _setitimer
0000000180ab7058 (__TEXT,__text) external _setpgid
0000000180ac0a6c (__TEXT,__text) external _setpriority
0000000180ab7084 (__TEXT,__text) external _setprivexec
0000000180abb254 (__TEXT,__text) external _setquota
0000000180ab487c (__TEXT,__text) external _setregid
0000000180ab48a8 (__TEXT,__text) external _setreuid
0000000180ac56cc (__TEXT,__text) external _setrlimit
0000000180ab4900 (__TEXT,__text) external _setsgroups_np
0000000180ab70b0 (__TEXT,__text) external _setsid
0000000180ab70dc (__TEXT,__text) external _setsockopt
0000000180ab7108 (__TEXT,__text) external _setuid
0000000180ab49b0 (__TEXT,__text) external _setwgroups_np
0000000180ab7134 (__TEXT,__text) external _setxattr
0000000180ac106c (__TEXT,__text) external _sfi_get_class_offtime
0000000180ac1094 (__TEXT,__text) external _sfi_process_get_flags
0000000180ac1080 (__TEXT,__text) external _sfi_process_set_flags
0000000180ac1058 (__TEXT,__text) external _sfi_set_class_offtime
0000000180ab2884 (__TEXT,__text) external _shm_open
0000000180ab7160 (__TEXT,__text) external _shm_unlink
0000000180ab718c (__TEXT,__text) external _shmat
0000000180ab4ab8 (__TEXT,__text) external _shmctl
0000000180ab71b8 (__TEXT,__text) external _shmdt
0000000180ab71e4 (__TEXT,__text) external _shmget
0000000180ab2908 (__TEXT,__text) external _shmsys
0000000180ab7210 (__TEXT,__text) external _shutdown
0000000180ab723c (__TEXT,__text) external _sigpending
0000000180ab7268 (__TEXT,__text) external _sigprocmask
0000000180ac6b90 (__TEXT,__text) external _sigsuspend
0000000180ac56d4 (__TEXT,__text) external _sigsuspend$NOCANCEL
0000000180ab7294 (__TEXT,__text) external _socket
0000000180ab72c0 (__TEXT,__text) external _socket_delegate
0000000180ab4c18 (__TEXT,__text) external _socketpair
0000000180ac085c (__TEXT,__text) external _stackshot_capture_with_config
0000000180ac07dc (__TEXT,__text) external _stackshot_config_create
0000000180ac09cc (__TEXT,__text) external _stackshot_config_dealloc
0000000180ac0974 (__TEXT,__text) external _stackshot_config_dealloc_buffer
0000000180ac08dc (__TEXT,__text) external _stackshot_config_get_stackshot_buffer
0000000180ac08e8 (__TEXT,__text) external _stackshot_config_get_stackshot_size
0000000180ac0928 (__TEXT,__text) external _stackshot_config_set_delta_timestamp
0000000180ac0840 (__TEXT,__text) external _stackshot_config_set_flags
0000000180ac094c (__TEXT,__text) external _stackshot_config_set_pagetable_mask
0000000180ac0824 (__TEXT,__text) external _stackshot_config_set_pid
0000000180ac0904 (__TEXT,__text) external _stackshot_config_set_size_hint
0000000180ab72ec (__TEXT,__text) external _stat
0000000180ab72ec (__TEXT,__text) external _stat64
0000000180ab7318 (__TEXT,__text) external _statfs
0000000180ab7318 (__TEXT,__text) external _statfs64
0000000182bd3080 (__DATA,__bss) non-external _supported
0000000180ab7344 (__TEXT,__text) external _swapon
0000000180ab2540 (__TEXT,__text) external _swtch
0000000180ab2534 (__TEXT,__text) external _swtch_pri
0000000180ab7370 (__TEXT,__text) external _symlink
0000000180ab739c (__TEXT,__text) external _symlinkat
0000000180ab73c8 (__TEXT,__text) external _sync
0000000180ab4cc8 (__TEXT,__text) external _syscall
0000000180ab254c (__TEXT,__text) external _syscall_thread_switch
0000000180ac1044 (__TEXT,__text) external _system_get_sfi_window
0000000180ab73f4 (__TEXT,__text) external _system_override
0000000180ac1030 (__TEXT,__text) external _system_set_sfi_window
0000000180adaaf4 (__TEXT,__text) external _task_assign
0000000180adac20 (__TEXT,__text) external _task_assign_default
0000000180ad7f88 (__TEXT,__text) external _task_create
0000000180adcffc (__TEXT,__text) external _task_create_identity_token
0000000180add2c4 (__TEXT,__text) external _task_dyld_process_info_notify_deregister
0000000180ab2360 (__TEXT,__text) external _task_dyld_process_info_notify_get
0000000180adcee0 (__TEXT,__text) external _task_dyld_process_info_notify_register
0000000180ab24c8 (__TEXT,__text) external _task_for_pid
0000000180adbd88 (__TEXT,__text) external _task_generate_corpse
0000000180adad3c (__TEXT,__text) external _task_get_assignment
0000000180adc2b4 (__TEXT,__text) external _task_get_dyld_image_infos
0000000180ada548 (__TEXT,__text) external _task_get_emulation_vector
0000000180adcb3c (__TEXT,__text) external _task_get_exc_guard_behavior
0000000180ad9310 (__TEXT,__text) external _task_get_exception_ports
0000000180add3e0 (__TEXT,__text) external _task_get_exception_ports_info
0000000180adb984 (__TEXT,__text) external _task_get_mach_voucher
0000000180ad8c18 (__TEXT,__text) external _task_get_special_port
0000000180adb058 (__TEXT,__text) external _task_get_state
0000000180add158 (__TEXT,__text) external _task_identity_token_get_task_port
0000000180ad8664 (__TEXT,__text) external _task_info
0000000180adc964 (__TEXT,__text) external _task_inspect
0000000180ab7420 (__TEXT,__text) external _task_inspect_for_pid
0000000180adbee4 (__TEXT,__text) external _task_map_corpse_info
0000000180adc7f8 (__TEXT,__text) external _task_map_corpse_info_64
0000000180adda1c (__TEXT,__text) external _task_map_kcdata_object_64
0000000180ab24bc (__TEXT,__text) external _task_name_for_pid
0000000180ada2b8 (__TEXT,__text) external _task_policy
0000000180ad9f94 (__TEXT,__text) external _task_policy_get
0000000180ad9e1c (__TEXT,__text) external _task_policy_set
0000000180adb7e0 (__TEXT,__text) external _task_purgable_info
0000000180ab744c (__TEXT,__text) external _task_read_for_pid
0000000180adc690 (__TEXT,__text) external _task_register_dyld_get_process_state
0000000180adc04c (__TEXT,__text) external _task_register_dyld_image_infos
0000000180adc56c (__TEXT,__text) external _task_register_dyld_set_dyld_state
0000000180adc444 (__TEXT,__text) external _task_register_dyld_shared_cache_image_info
0000000180addb88 (__TEXT,__text) external _task_register_hardened_exception_handler
0000000180ae25e8 (__TEXT,__text) external _task_restartable_ranges_register
0000000180ae275c (__TEXT,__text) external _task_restartable_ranges_synchronize
0000000180ad8b08 (__TEXT,__text) external _task_resume
0000000180adb6d0 (__TEXT,__text) external _task_resume2
0000000180ada19c (__TEXT,__text) external _task_sample
0000000180abb648 (__TEXT,__text) external _task_self_
0000000180ab2408 (__TEXT,__text) external _task_self_trap
0000000180add7d4 (__TEXT,__text) external _task_set_corpse_forking_behavior
0000000180ada430 (__TEXT,__text) external _task_set_emulation
0000000180ada6d4 (__TEXT,__text) external _task_set_emulation_vector
0000000180adcc80 (__TEXT,__text) external _task_set_exc_guard_behavior
0000000180ad91e0 (__TEXT,__text) external _task_set_exception_ports
0000000180ad8880 (__TEXT,__text) external _task_set_info
0000000180adbaf0 (__TEXT,__text) external _task_set_mach_voucher
0000000180adb420 (__TEXT,__text) external _task_set_phys_footprint_limit
0000000180adae98 (__TEXT,__text) external _task_set_policy
0000000180ac8794 (__TEXT,__text) external _task_set_port_space
0000000180ada804 (__TEXT,__text) external _task_set_ras_pc
0000000180ad8d84 (__TEXT,__text) external _task_set_special_port
0000000180adb2a0 (__TEXT,__text) external _task_set_state
0000000180ad89f8 (__TEXT,__text) external _task_suspend
0000000180adb574 (__TEXT,__text) external _task_suspend2
0000000180ad95e0 (__TEXT,__text) external _task_swap_exception_ports
0000000180adbc0c (__TEXT,__text) external _task_swap_mach_voucher
0000000180ad8108 (__TEXT,__text) external _task_terminate
0000000180add8f0 (__TEXT,__text) external _task_test_async_upcall_propagation
0000000180add6b8 (__TEXT,__text) external _task_test_sync_upcall
0000000180ad8218 (__TEXT,__text) external _task_threads
0000000180adc180 (__TEXT,__text) external _task_unregister_dyld_image_infos
0000000180ada91c (__TEXT,__text) external _task_zone_info
0000000180ac0e80 (__TEXT,__text) external _terminate_with_payload
0000000180ac0e6c (__TEXT,__text) external _terminate_with_reason
0000000180ade778 (__TEXT,__text) external _thread_abort
0000000180ade888 (__TEXT,__text) external _thread_abort_safely
0000000180ae0c00 (__TEXT,__text) external _thread_adopt_exception_handler
0000000180adfd94 (__TEXT,__text) external _thread_assign
0000000180adfeb0 (__TEXT,__text) external _thread_assign_default
0000000180ae06cc (__TEXT,__text) external _thread_convert_thread_state
0000000180ad8eb0 (__TEXT,__text) external _thread_create
0000000180ad900c (__TEXT,__text) external _thread_create_running
0000000180ade998 (__TEXT,__text) external _thread_depress_abort
0000000180ac88c4 (__TEXT,__text) external _thread_destruct_special_reply_port
0000000180adffc0 (__TEXT,__text) external _thread_get_assignment
0000000180adf068 (__TEXT,__text) external _thread_get_exception_ports
0000000180ae0928 (__TEXT,__text) external _thread_get_exception_ports_info
0000000180ae02c8 (__TEXT,__text) external _thread_get_mach_voucher
0000000180abe314 (__TEXT,__text) external _thread_get_register_pointer_values
0000000180adeaa8 (__TEXT,__text) external _thread_get_special_port
0000000180ab2504 (__TEXT,__text) external _thread_get_special_reply_port
0000000180ade190 (__TEXT,__text) external _thread_get_state
0000000180aded40 (__TEXT,__text) external _thread_info
0000000180abe158 (__TEXT,__text) external _thread_policy
0000000180adf954 (__TEXT,__text) external _thread_policy_get
0000000180abe1ec (__TEXT,__text) external _thread_policy_set
0000000180ade668 (__TEXT,__text) external _thread_resume
0000000180adfb5c (__TEXT,__text) external _thread_sample
0000000180ab23fc (__TEXT,__text) external _thread_self_trap
0000000180ab7478 (__TEXT,__text) external _thread_selfcounts
0000000180adef38 (__TEXT,__text) external _thread_set_exception_ports
0000000180ae0434 (__TEXT,__text) external _thread_set_mach_voucher
0000000180abe280 (__TEXT,__text) external _thread_set_policy
0000000180adec14 (__TEXT,__text) external _thread_set_special_port
0000000180ade3d8 (__TEXT,__text) external _thread_set_state
0000000180ade558 (__TEXT,__text) external _thread_suspend
0000000180adf338 (__TEXT,__text) external _thread_swap_exception_ports
0000000180ae0550 (__TEXT,__text) external _thread_swap_mach_voucher
0000000180abb548 (__TEXT,__text) external _thread_switch
0000000180addcb8 (__TEXT,__text) external _thread_terminate
0000000180acb40c (__TEXT,__text) external _thread_wire
0000000180ae48d0 (__TEXT,__const) non-external _times_now
0000000180ab74a4 (__TEXT,__text) external _tracker_action
0000000180ab74d0 (__TEXT,__text) external _truncate
0000000180ab74fc (__TEXT,__text) external _umask
0000000180ab7528 (__TEXT,__text) external _undelete
0000000180ab7554 (__TEXT,__text) external _ungraftdmg
0000000180ac6b9c (__TEXT,__text) external _unlink
0000000180ab9688 (__TEXT,__text) external _unlinkat
0000000180ab7580 (__TEXT,__text) external _unmount
0000000180ab75ac (__TEXT,__text) external _usrctl
0000000180abe09c (__TEXT,__text) external _utimensat
0000000180ab75d8 (__TEXT,__text) external _utimes
0000000180ab7604 (__TEXT,__text) external _vfs_purge
0000000180ac8f88 (__TEXT,__text) external _vm_allocate
0000000180acb538 (__TEXT,__text) external _vm_allocate_cpm
0000000180ae161c (__TEXT,__text) external _vm_behavior_set
0000000180ae1290 (__TEXT,__text) external _vm_copy
0000000180ac8fc8 (__TEXT,__text) external _vm_deallocate
0000000180ae0d30 (__TEXT,__text) external _vm_inherit
0000000182bd30b8 (__DATA,__common) external _vm_kernel_page_mask
0000000182bd30c0 (__DATA,__common) external _vm_kernel_page_shift
0000000182bd30b0 (__DATA,__common) external _vm_kernel_page_size
0000000180ae18c8 (__TEXT,__text) external _vm_machine_attribute
0000000180ac92b4 (__TEXT,__text) external _vm_map
0000000180ae1bb0 (__TEXT,__text) external _vm_map_page_query
0000000180ae14fc (__TEXT,__text) external _vm_msync
0000000182bd30c8 (__DATA,__common) external _vm_page_mask
0000000182bd30d0 (__DATA,__common) external _vm_page_shift
0000000182bd30e8 (__DATA,__common) external _vm_page_size
0000000180ab7630 (__TEXT,__text) external _vm_pressure_monitor
0000000180ac8fcc (__TEXT,__text) external _vm_protect
0000000180ac9560 (__TEXT,__text) external _vm_purgable_control
0000000180ac9478 (__TEXT,__text) external _vm_read
0000000180ae0fd8 (__TEXT,__text) external _vm_read_list
0000000180ae13ac (__TEXT,__text) external _vm_read_overwrite
0000000180ae1f2c (__TEXT,__text) external _vm_region_64
0000000180ae1d14 (__TEXT,__text) external _vm_region_recurse_64
0000000180ac9350 (__TEXT,__text) external _vm_remap
0000000180ac93e4 (__TEXT,__text) external _vm_remap_new
0000000180acb2dc (__TEXT,__text) external _vm_wire
0000000180ae115c (__TEXT,__text) external _vm_write
0000000180ab79f8 (__TEXT,__text) external _voucher_mach_msg_adopt
0000000180ab79dc (__TEXT,__text) external _voucher_mach_msg_clear
0000000180ab7a18 (__TEXT,__text) external _voucher_mach_msg_revert
0000000180ab79bc (__TEXT,__text) external _voucher_mach_msg_set
0000000182bd30a0 (__DATA,__common) external _vprintf_stderr_func
0000000180ab4fb0 (__TEXT,__text) external _wait4
0000000180ab765c (__TEXT,__text) external _waitid
0000000180ab4fdc (__TEXT,__text) external _waitid$NOCANCEL
0000000180ac7348 (__TEXT,__text) external _work_interval_copy_port
0000000180ac6c5c (__TEXT,__text) external _work_interval_create
0000000180ac7128 (__TEXT,__text) external _work_interval_destroy
0000000180ac6d38 (__TEXT,__text) external _work_interval_get_flags_from_port
0000000180ac6ea0 (__TEXT,__text) external _work_interval_instance_alloc
0000000180ac6ef8 (__TEXT,__text) external _work_interval_instance_clear
0000000180ac70a8 (__TEXT,__text) external _work_interval_instance_finish
0000000180ac6f0c (__TEXT,__text) external _work_interval_instance_free
0000000180ac6fc4 (__TEXT,__text) external _work_interval_instance_get_complexity
0000000180ac6f94 (__TEXT,__text) external _work_interval_instance_get_deadline
0000000180ac6fac (__TEXT,__text) external _work_interval_instance_get_finish
0000000180ac6fdc (__TEXT,__text) external _work_interval_instance_get_id
0000000180ac6f7c (__TEXT,__text) external _work_interval_instance_get_start
0000000180ac6fe4 (__TEXT,__text) external _work_interval_instance_get_telemetry_data
0000000180ac6f74 (__TEXT,__text) external _work_interval_instance_set_complexity
0000000180ac6f64 (__TEXT,__text) external _work_interval_instance_set_deadline
0000000180ac6f6c (__TEXT,__text) external _work_interval_instance_set_finish
0000000180ac6f5c (__TEXT,__text) external _work_interval_instance_set_start
0000000180ac7000 (__TEXT,__text) external _work_interval_instance_start
0000000180ac7050 (__TEXT,__text) external _work_interval_instance_update
0000000180ac729c (__TEXT,__text) external _work_interval_join
0000000180ac72f4 (__TEXT,__text) external _work_interval_join_port
0000000180ac7334 (__TEXT,__text) external _work_interval_leave
0000000180ac6dc4 (__TEXT,__text) external _work_interval_notify
0000000180ac6e40 (__TEXT,__text) external _work_interval_notify_simple
0000000180ab7688 (__TEXT,__text) external _write
0000000180ab508c (__TEXT,__text) external _write$NOCANCEL
0000000180ab76b4 (__TEXT,__text) external _writev
0000000180ab50b8 (__TEXT,__text) external _writev$NOCANCEL
