00000001d548ffd0 (__DATA,__data) external _NDR_record
00000001804079b0 (__TEXT,__text) external _sendfile
00000001803fe434 (__TEXT,__text) external _sendmsg
00000001803fcd58 (__TEXT,__text) external _sendmsg$NOCANCEL
00000001804079dc (__TEXT,__text) external _sendmsg_x
00000001803fce0c (__TEXT,__text) external _sendto
00000001803fcc74 (__TEXT,__text) external _sendto$NOCANCEL
00000001803fc020 (__TEXT,__text) external _setattrlist
0000000180407a08 (__TEXT,__text) external _setattrlistat
0000000180415924 (__TEXT,__text) external _setaudit
0000000180407a34 (__TEXT,__text) external _setaudit_addr
0000000180407a60 (__TEXT,__text) external _setauid
0000000180402070 (__TEXT,__text) external _setegid
0000000180402044 (__TEXT,__text) external _seteuid
0000000180401da0 (__TEXT,__text) external _setgid
0000000180407a8c (__TEXT,__text) external _setgroups
0000000180400450 (__TEXT,__text) external _setiopolicy_np
0000000180401140 (__TEXT,__text) external _setitimer
00000001804043e0 (__TEXT,__text) external _setpgid
0000000180400bb4 (__TEXT,__text) external _setpriority
0000000180407ab8 (__TEXT,__text) external _setprivexec
000000018040af24 (__TEXT,__text) external _setquota
00000001804065d4 (__TEXT,__text) external _setregid
0000000180406600 (__TEXT,__text) external _setreuid
00000001803fb588 (__TEXT,__text) external _setrlimit
000000018040662c (__TEXT,__text) external _setsgroups_np
00000001804012bc (__TEXT,__text) external _setsid
00000001803fcc1c (__TEXT,__text) external _setsockopt
0000000180401dcc (__TEXT,__text) external _setuid
00000001804066b0 (__TEXT,__text) external _setwgroups_np
00000001803fc318 (__TEXT,__text) external _setxattr
000000018040e920 (__TEXT,__text) external _sfi_get_class_offtime
000000018040e948 (__TEXT,__text) external _sfi_process_get_flags
000000018040e934 (__TEXT,__text) external _sfi_process_set_flags
0000000180402318 (__TEXT,__text) external _sfi_set_class_offtime
0000000180405690 (__TEXT,__text) external _shm_open
0000000180407ae4 (__TEXT,__text) external _shm_unlink
0000000180407b10 (__TEXT,__text) external _shmat
0000000180406760 (__TEXT,__text) external _shmctl
0000000180407b3c (__TEXT,__text) external _shmdt
0000000180407b68 (__TEXT,__text) external _shmget
0000000180405714 (__TEXT,__text) external _shmsys
00000001803fcebc (__TEXT,__text) external _shutdown
0000000180407b94 (__TEXT,__text) external _sigpending
00000001803fbf70 (__TEXT,__text) external _sigprocmask
0000000180413e78 (__TEXT,__text) external _sigsuspend
00000001803fffec (__TEXT,__text) external _sigsuspend$NOCANCEL
00000001803fcb40 (__TEXT,__text) external _socket
0000000180407bc0 (__TEXT,__text) external _socket_delegate
00000001803fcd2c (__TEXT,__text) external _socketpair
000000018040e400 (__TEXT,__text) external _stackshot_capture_with_config
000000018040e344 (__TEXT,__text) external _stackshot_config_create
000000018040e564 (__TEXT,__text) external _stackshot_config_dealloc
000000018040e50c (__TEXT,__text) external _stackshot_config_dealloc_buffer
000000018040e474 (__TEXT,__text) external _stackshot_config_get_stackshot_buffer
000000018040e480 (__TEXT,__text) external _stackshot_config_get_stackshot_size
000000018040e4c0 (__TEXT,__text) external _stackshot_config_set_delta_timestamp
000000018040e3e4 (__TEXT,__text) external _stackshot_config_set_flags
000000018040e4e4 (__TEXT,__text) external _stackshot_config_set_pagetable_mask
000000018040e3c8 (__TEXT,__text) external _stackshot_config_set_pid
000000018040e49c (__TEXT,__text) external _stackshot_config_set_size_hint
0000000180404438 (__TEXT,__text) external _stat
0000000180404438 (__TEXT,__text) external _stat64
0000000180407c44 (__TEXT,__text) external _statfs
0000000180407c44 (__TEXT,__text) external _statfs64
00000001d5490080 (__DATA,__bss) non-external _supported
0000000180407c70 (__TEXT,__text) external _swapon
00000001803f890c (__TEXT,__text) external _swtch
00000001803f8900 (__TEXT,__text) external _swtch_pri
00000001803fe3dc (__TEXT,__text) external _symlink
0000000180407c9c (__TEXT,__text) external _symlinkat
0000000180407cc8 (__TEXT,__text) external _sync
00000001803fac94 (__TEXT,__text) external _syscall
00000001803f8918 (__TEXT,__text) external _syscall_thread_switch
000000018040e90c (__TEXT,__text) external _system_get_sfi_window
0000000180407cf4 (__TEXT,__text) external _system_override
0000000180402358 (__TEXT,__text) external _system_set_sfi_window
00000001d5490088 (__DATA,__bss) non-external _system_version_compat_check_path_suffix
00000001d5490038 (__DATA,__common) external _system_version_compat_mode
0000000180423c6c (__TEXT,__text) external _task_assign
0000000180423da0 (__TEXT,__text) external _task_assign_default
00000001804222f0 (__TEXT,__text) external _task_create
000000018042622c (__TEXT,__text) external _task_create_identity_token
00000001804264fc (__TEXT,__text) external _task_dyld_process_info_notify_deregister
00000001803f872c (__TEXT,__text) external _task_dyld_process_info_notify_get
0000000180426108 (__TEXT,__text) external _task_dyld_process_info_notify_register
00000001803f8894 (__TEXT,__text) external _task_for_pid
0000000180424f6c (__TEXT,__text) external _task_generate_corpse
0000000180423ec0 (__TEXT,__text) external _task_get_assignment
00000001804254b4 (__TEXT,__text) external _task_get_dyld_image_infos
00000001804236ac (__TEXT,__text) external _task_get_emulation_vector
0000000180425d58 (__TEXT,__text) external _task_get_exc_guard_behavior
0000000180403ea4 (__TEXT,__text) external _task_get_exception_ports
000000018042661c (__TEXT,__text) external _task_get_exception_ports_info
0000000180424b54 (__TEXT,__text) external _task_get_mach_voucher
00000001803f8e3c (__TEXT,__text) external _task_get_special_port
00000001804241e4 (__TEXT,__text) external _task_get_state
000000018042638c (__TEXT,__text) external _task_identity_token_get_task_port
00000001803f9024 (__TEXT,__text) external _task_info
0000000180425b7c (__TEXT,__text) external _task_inspect
0000000180407d20 (__TEXT,__text) external _task_inspect_for_pid
00000001804250cc (__TEXT,__text) external _task_map_corpse_info
0000000180425a08 (__TEXT,__text) external _task_map_corpse_info_64
0000000180426c74 (__TEXT,__text) external _task_map_kcdata_object_64
00000001803f8888 (__TEXT,__text) external _task_name_for_pid
0000000180423414 (__TEXT,__text) external _task_policy
00000001804230e4 (__TEXT,__text) external _task_policy_get
00000001803fb018 (__TEXT,__text) external _task_policy_set
00000001804249ac (__TEXT,__text) external _task_purgable_info
0000000180407d4c (__TEXT,__text) external _task_read_for_pid
000000018042589c (__TEXT,__text) external _task_register_dyld_get_process_state
000000018042523c (__TEXT,__text) external _task_register_dyld_image_infos
0000000180425774 (__TEXT,__text) external _task_register_dyld_set_dyld_state
0000000180425648 (__TEXT,__text) external _task_register_dyld_shared_cache_image_info
00000001803f89cc (__TEXT,__text) external _task_restartable_ranges_register
00000001803fb5bc (__TEXT,__text) external _task_restartable_ranges_synchronize
00000001804226a0 (__TEXT,__text) external _task_resume
0000000180424898 (__TEXT,__text) external _task_resume2
00000001804232f0 (__TEXT,__text) external _task_sample
000000018040b040 (__TEXT,__text) external _task_self_
00000001803f87d4 (__TEXT,__text) external _task_self_trap
0000000180426a20 (__TEXT,__text) external _task_set_corpse_forking_behavior
0000000180423590 (__TEXT,__text) external _task_set_emulation
000000018042383c (__TEXT,__text) external _task_set_emulation_vector
0000000180425ea0 (__TEXT,__text) external _task_set_exc_guard_behavior
0000000180402d18 (__TEXT,__text) external _task_set_exception_ports
00000001804031b4 (__TEXT,__text) external _task_set_info
0000000180424cc4 (__TEXT,__text) external _task_set_mach_voucher
00000001804245e0 (__TEXT,__text) external _task_set_phys_footprint_limit
0000000180424020 (__TEXT,__text) external _task_set_policy
0000000180415420 (__TEXT,__text) external _task_set_port_space
0000000180423974 (__TEXT,__text) external _task_set_ras_pc
00000001803f9a70 (__TEXT,__text) external _task_set_special_port
0000000180424430 (__TEXT,__text) external _task_set_state
000000018042258c (__TEXT,__text) external _task_suspend
0000000180424738 (__TEXT,__text) external _task_suspend2
0000000180422b18 (__TEXT,__text) external _task_swap_exception_ports
0000000180424de8 (__TEXT,__text) external _task_swap_mach_voucher
0000000180422478 (__TEXT,__text) external _task_terminate
0000000180426b40 (__TEXT,__text) external _task_test_async_upcall_propagation
00000001804268fc (__TEXT,__text) external _task_test_sync_upcall
00000001804019d0 (__TEXT,__text) external _task_threads
0000000180425378 (__TEXT,__text) external _task_unregister_dyld_image_infos
0000000180423a90 (__TEXT,__text) external _task_zone_info
000000018040e7f0 (__TEXT,__text) external _terminate_with_payload
0000000180403174 (__TEXT,__text) external _terminate_with_reason
00000001804276d0 (__TEXT,__text) external _thread_abort
00000001804277e4 (__TEXT,__text) external _thread_abort_safely
0000000180428230 (__TEXT,__text) external _thread_assign
0000000180428354 (__TEXT,__text) external _thread_assign_default
0000000180428b90 (__TEXT,__text) external _thread_convert_thread_state
00000001804227b4 (__TEXT,__text) external _thread_create
0000000180422914 (__TEXT,__text) external _thread_create_running
00000001804278f8 (__TEXT,__text) external _thread_depress_abort
00000001803fba90 (__TEXT,__text) external _thread_destruct_special_reply_port
0000000180428468 (__TEXT,__text) external _thread_get_assignment
000000018040236c (__TEXT,__text) external _thread_get_exception_ports
0000000180428df0 (__TEXT,__text) external _thread_get_exception_ports_info
0000000180428778 (__TEXT,__text) external _thread_get_mach_voucher
000000018040cef0 (__TEXT,__text) external _thread_get_register_pointer_values
0000000180427a0c (__TEXT,__text) external _thread_get_special_port
00000001803f88d0 (__TEXT,__text) external _thread_get_special_reply_port
0000000180401b54 (__TEXT,__text) external _thread_get_state
0000000180400050 (__TEXT,__text) external _thread_info
00000001803fda7c (__TEXT,__text) external _thread_policy
0000000180401df8 (__TEXT,__text) external _thread_policy_get
00000001803fec08 (__TEXT,__text) external _thread_policy_set
00000001804275bc (__TEXT,__text) external _thread_resume
0000000180427fec (__TEXT,__text) external _thread_sample
00000001803f87c8 (__TEXT,__text) external _thread_self_trap
0000000180407d78 (__TEXT,__text) external _thread_selfcounts
00000001803fef0c (__TEXT,__text) external _thread_set_exception_ports
00000001804288e8 (__TEXT,__text) external _thread_set_mach_voucher
000000018040ce60 (__TEXT,__text) external _thread_set_policy
0000000180427b7c (__TEXT,__text) external _thread_set_special_port
00000001804272f8 (__TEXT,__text) external _thread_set_state
00000001804274a8 (__TEXT,__text) external _thread_suspend
0000000180427cb0 (__TEXT,__text) external _thread_swap_exception_ports
0000000180428a0c (__TEXT,__text) external _thread_swap_mach_voucher
00000001803fdfc4 (__TEXT,__text) external _thread_switch
0000000180426de8 (__TEXT,__text) external _thread_terminate
00000001804174fc (__TEXT,__text) external _thread_wire
000000018042bac8 (__TEXT,__const) non-external _times_now
0000000180407da4 (__TEXT,__text) external _tracker_action
0000000180407dd0 (__TEXT,__text) external _truncate
00000001803fdf6c (__TEXT,__text) external _umask
0000000180407dfc (__TEXT,__text) external _undelete
0000000180407e28 (__TEXT,__text) external _ungraftdmg
00000001803fc818 (__TEXT,__text) external _unlink
0000000180402640 (__TEXT,__text) external _unlinkat
0000000180404fe4 (__TEXT,__text) external _unmount
0000000180407e54 (__TEXT,__text) external _usrctl
000000018040cda4 (__TEXT,__text) external _utimensat
00000001803fdf98 (__TEXT,__text) external _utimes
0000000180407e80 (__TEXT,__text) external _vfs_purge
00000001803fab40 (__TEXT,__text) external _vm_allocate
0000000180417630 (__TEXT,__text) external _vm_allocate_cpm
0000000180429730 (__TEXT,__text) external _vm_behavior_set
00000001803fb944 (__TEXT,__text) external _vm_copy
00000001803fac30 (__TEXT,__text) external _vm_deallocate
00000001804290d0 (__TEXT,__text) external _vm_inherit
00000001d65f4570 (__DATA_DIRTY,__common) external _vm_kernel_page_mask
00000001d65f4578 (__DATA_DIRTY,__common) external _vm_kernel_page_shift
00000001d65f4568 (__DATA_DIRTY,__common) external _vm_kernel_page_size
0000000180429854 (__TEXT,__text) external _vm_machine_attribute
0000000180404c48 (__TEXT,__text) external _vm_map
00000001804299b0 (__TEXT,__text) external _vm_map_page_query
000000018042960c (__TEXT,__text) external _vm_msync
00000001d65f4580 (__DATA_DIRTY,__common) external _vm_page_mask
00000001d65f4588 (__DATA_DIRTY,__common) external _vm_page_shift
00000001d65f4598 (__DATA_DIRTY,__common) external _vm_page_size
0000000180407eac (__TEXT,__text) external _vm_pressure_monitor
00000001803fd264 (__TEXT,__text) external _vm_protect
00000001803fc184 (__TEXT,__text) external _vm_purgable_control
000000018040209c (__TEXT,__text) external _vm_read
00000001804291f4 (__TEXT,__text) external _vm_read_list
00000001804294b8 (__TEXT,__text) external _vm_read_overwrite
0000000180400c70 (__TEXT,__text) external _vm_region_64
0000000180400ea0 (__TEXT,__text) external _vm_region_recurse_64
00000001803fadf0 (__TEXT,__text) external _vm_remap
000000018041582c (__TEXT,__text) external _vm_remap_new
00000001804173c4 (__TEXT,__text) external _vm_wire
000000018042937c (__TEXT,__text) external _vm_write
00000001803fbee4 (__TEXT,__text) external _voucher_mach_msg_adopt
00000001803f99e0 (__TEXT,__text) external _voucher_mach_msg_clear
00000001803fbecc (__TEXT,__text) external _voucher_mach_msg_revert
00000001803f9594 (__TEXT,__text) external _voucher_mach_msg_set
00000001d5490020 (__DATA,__common) external _vprintf_stderr_func
0000000180404f08 (__TEXT,__text) external _wait4
0000000180407ed8 (__TEXT,__text) external _waitid
000000018040695c (__TEXT,__text) external _waitid$NOCANCEL
0000000180414500 (__TEXT,__text) external _work_interval_copy_port
0000000180401664 (__TEXT,__text) external _work_interval_create
00000001804142e8 (__TEXT,__text) external _work_interval_destroy
0000000180413f5c (__TEXT,__text) external _work_interval_get_flags_from_port
00000001804017a4 (__TEXT,__text) external _work_interval_instance_alloc
00000001804140c4 (__TEXT,__text) external _work_interval_instance_clear
0000000180414268 (__TEXT,__text) external _work_interval_instance_finish
00000001804140d8 (__TEXT,__text) external _work_interval_instance_free
000000018041418c (__TEXT,__text) external _work_interval_instance_get_complexity
000000018041415c (__TEXT,__text) external _work_interval_instance_get_deadline
0000000180414174 (__TEXT,__text) external _work_interval_instance_get_finish
0000000180401844 (__TEXT,__text) external _work_interval_instance_get_id
0000000180414144 (__TEXT,__text) external _work_interval_instance_get_start
00000001804141a4 (__TEXT,__text) external _work_interval_instance_get_telemetry_data
000000018041413c (__TEXT,__text) external _work_interval_instance_set_complexity
000000018041412c (__TEXT,__text) external _work_interval_instance_set_deadline
0000000180414134 (__TEXT,__text) external _work_interval_instance_set_finish
0000000180414124 (__TEXT,__text) external _work_interval_instance_set_start
00000001804141c0 (__TEXT,__text) external _work_interval_instance_start
0000000180414210 (__TEXT,__text) external _work_interval_instance_update
0000000180414454 (__TEXT,__text) external _work_interval_join
00000001804144ac (__TEXT,__text) external _work_interval_join_port
00000001804144ec (__TEXT,__text) external _work_interval_leave
0000000180413fe8 (__TEXT,__text) external _work_interval_notify
0000000180414064 (__TEXT,__text) external _work_interval_notify_simple
00000001803fc3cc (__TEXT,__text) external _write
00000001803fc77c (__TEXT,__text) external _write$NOCANCEL
00000001803fc724 (__TEXT,__text) external _writev
0000000180406988 (__TEXT,__text) external _writev$NOCANCEL
