00000001f609c6f8 (__TEXT,__text) non-external +[CPIndex log]
0000000201e4f068 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_PMSearchServiceProtocol
000000020767d940 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_CPIndex
000000020767d9d0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_CPIndexFactory
000000020767da60 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_CPSearch
000000020767dc10 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_CPSearchContext
000000020767daf0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_CPSearchFactory
000000020767dca0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_CPSearchQueryShim
000000020767db80 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_CPSearchableIndexShim
000000020767dd30 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_CPTopHitSearchQueryShim
000000020767ddc0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_CPXPCConnection
000000020767de50 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_CPXPCConnectionFactory
000000020767dee0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_PMAttribute
000000020767df70 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_PMCard
000000020767e000 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_PMDeviceLockMonitor
000000020767e090 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_PMIndexableItem
000000020767e1b0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_PMParamKeyValue
000000020767e120 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_PMParameters
000000020767e240 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_PMParamsManager
000000020767e2d0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_PMPerson
000000020767e360 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_PMQuery
000000020767e3f0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_PMQueryNode
00000002054b7c80 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_CPIndex
00000002054b7ce0 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_CPSearch
00000002054b7da0 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_CPXPCConnection
00000002054b7e00 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSCopying
00000002054b7c20 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSObject
00000002054b7d40 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_PMSearchServiceProtocol
00000002054b78d0 (__DATA,__objc_protorefs) non-external (was a private external) __OBJC_PROTOCOL_REFERENCE_$_PMSearchServiceProtocol
                 (undefined) external __Unwind_Resume (from libSystem)
00000001f60b95e4 (__TEXT,__text) external __Z15evalTimeISO8601PKcPd
00000002054b8248 (__DATA,__bss) non-external __ZL18cachedSearchParams
00000002054b7e60 (__DATA,__data) non-external __ZL19defaultParamStructs
00000001f60c1a00 (__TEXT,__text) external __ZN2sq14isTimeOperatorEi
00000001f60bc714 (__TEXT,__text) non-external (was a private external) __ZN2sq4nodeD2Ev
00000001f60c1a10 (__TEXT,__text) external __ZN2sq5parseEPKcPPNS_4nodeE
00000001f60c4538 (__TEXT,__const) non-external __ZN2sqL13timeOperatorsE
00000001f60c1f98 (__TEXT,__text) non-external __ZN2sqL8tokenizeEPNS_5lexerE
00000001f60c1a94 (__TEXT,__text) non-external __ZN2sqL9parse_expEPNS_6parserEPPNS_4nodeE
00000001f60bc784 (__TEXT,__text) non-external (was a private external) __ZNKSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEE20__throw_length_errorEv
                 (undefined) external __ZNKSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEE7compareEmmPKcm (from libc++)
                 (undefined) external __ZNKSt3__121__basic_string_commonILb1EE20__throw_length_errorEv (from libc++)
                 (undefined) external __ZNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEE5eraseEmm (from libc++)
                 (undefined) external __ZNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEE6assignEPKc (from libc++)
                 (undefined) external __ZNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEE6assignEPKcm (from libc++)
                 (undefined) external __ZNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEE6resizeEmc (from libc++)
                 (undefined) external __ZNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEE9push_backEc (from libc++)
                 (undefined) external __ZNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEC1ERKS5_ (from libc++)
                 (undefined) external __ZSt9terminatev (from libc++)
                 (undefined) weak external __ZdlPv (from libc++)
                 (undefined) weak external __Znwm (from libc++)
00000001f609c7b8 (__TEXT,__text) non-external ___14+[CPIndex log]_block_invoke
00000001f609f8bc (__TEXT,__text) non-external ___15+[CPSearch log]_block_invoke
00000001f60a0138 (__TEXT,__text) non-external ___17-[CPSearch start]_block_invoke
00000001f60a0278 (__TEXT,__text) non-external ___17-[CPSearch start]_block_invoke.45
00000001f609c8a8 (__TEXT,__text) non-external ___22+[CPIndex signpostLog]_block_invoke
00000001f60a81a4 (__TEXT,__text) non-external ___22+[CPXPCConnection log]_block_invoke
00000001f60b4c24 (__TEXT,__text) non-external ___22+[PMParamsManager log]_block_invoke
00000001f60a85f0 (__TEXT,__text) non-external ___23-[CPXPCConnection init]_block_invoke
00000001f60a8688 (__TEXT,__text) non-external ___23-[CPXPCConnection init]_block_invoke.86
00000001f60a63d8 (__TEXT,__text) non-external ___24+[CPSearchQueryShim log]_block_invoke
00000001f60ae280 (__TEXT,__text) non-external ___26+[PMDeviceLockMonitor log]_block_invoke
00000001f60a6ea0 (__TEXT,__text) non-external ___26-[CPSearchQueryShim start]_block_invoke
00000001f60a7190 (__TEXT,__text) non-external ___27-[CPSearchQueryShim cancel]_block_invoke
00000001f60a0898 (__TEXT,__text) non-external ___28+[CPSearchableIndexShim log]_block_invoke
00000001f60a79a8 (__TEXT,__text) non-external ___30+[CPTopHitSearchQueryShim log]_block_invoke
00000001f60b2440 (__TEXT,__text) non-external ___34+[PMParameters(GetParamValue) log]_block_invoke
00000001f60a0980 (__TEXT,__text) non-external ___36+[CPSearchableIndexShim signpostLog]_block_invoke
00000001f60a0a88 (__TEXT,__text) non-external ___37+[CPSearchableIndexShim userDefaults]_block_invoke
00000001f60aecc0 (__TEXT,__text) non-external ___37+[PMDeviceLockMonitor sharedInstance]_block_invoke
00000001f60b4d54 (__TEXT,__text) non-external ___38+[PMParamsManager getDefaultParamDict]_block_invoke
00000001f609cee4 (__TEXT,__text) non-external ___40-[CPIndex indexItems:completionHandler:]_block_invoke
00000001f609d058 (__TEXT,__text) non-external ___40-[CPIndex indexItems:completionHandler:]_block_invoke.30
00000001f60ba4a4 (__TEXT,__text) non-external ___41-[PMQuery(InitMethods) _lookupAttribute:]_block_invoke
00000001f60a69f4 (__TEXT,__text) non-external ___44-[CPSearchQueryShim initWithSearch:context:]_block_invoke
00000001f60a6a6c (__TEXT,__text) non-external ___44-[CPSearchQueryShim initWithSearch:context:]_block_invoke.30
00000001f609d68c (__TEXT,__text) non-external ___47-[CPIndex deleteAllItemsWithCompletionHandler:]_block_invoke
00000001f609d778 (__TEXT,__text) non-external ___47-[CPIndex deleteAllItemsWithCompletionHandler:]_block_invoke.50
00000001f60aedd8 (__TEXT,__text) non-external ___49-[PMDeviceLockMonitor setDelegate:delegateQueue:]_block_invoke
00000001f60ae6e0 (__TEXT,__text) non-external ___51-[PMDeviceLockMonitor _deviceLockSetupNotification]_block_invoke
00000001f60aebd8 (__TEXT,__text) non-external ___51-[PMDeviceLockMonitor _deviceLockSetupNotification]_block_invoke.18
00000001f60aec30 (__TEXT,__text) non-external ___51-[PMDeviceLockMonitor _deviceLockSetupNotification]_block_invoke.21
00000001f60aec40 (__TEXT,__text) non-external ___51-[PMDeviceLockMonitor _deviceLockSetupNotification]_block_invoke.24
00000001f609f360 (__TEXT,__text) non-external ___53-[CPIndex fetchLastClientStateWithCompletionHandler:]_block_invoke
00000001f609f454 (__TEXT,__text) non-external ___53-[CPIndex fetchLastClientStateWithCompletionHandler:]_block_invoke.97
00000001f609dd04 (__TEXT,__text) non-external ___56-[CPIndex deleteItemsWithIdentifiers:completionHandler:]_block_invoke
00000001f609ddf4 (__TEXT,__text) non-external ___56-[CPIndex deleteItemsWithIdentifiers:completionHandler:]_block_invoke.53
00000001f60a292c (__TEXT,__text) non-external ___57-[CPSearchableIndexShim _issueCommand:completionHandler:]_block_invoke
00000001f60a2a04 (__TEXT,__text) non-external ___57-[CPSearchableIndexShim _issueCommand:completionHandler:]_block_invoke.76
00000001f60a29dc (__TEXT,__text) non-external ___57-[CPSearchableIndexShim _issueCommand:completionHandler:]_block_invoke_2
00000001f609ea14 (__TEXT,__text) non-external ___58-[CPIndex endIndexBatchWithClientState:completionHandler:]_block_invoke
00000001f609eb04 (__TEXT,__text) non-external ___58-[CPIndex endIndexBatchWithClientState:completionHandler:]_block_invoke.82
00000001f609e248 (__TEXT,__text) non-external ___62-[CPIndex deleteItemsWithDomainIdentifiers:completionHandler:]_block_invoke
00000001f609e338 (__TEXT,__text) non-external ___62-[CPIndex deleteItemsWithDomainIdentifiers:completionHandler:]_block_invoke.58
00000001f60a15e4 (__TEXT,__text) non-external ___64-[CPSearchableIndexShim indexSearchableItems:completionHandler:]_block_invoke
00000001f60a1848 (__TEXT,__text) non-external ___64-[CPSearchableIndexShim indexSearchableItems:completionHandler:]_block_invoke.52
00000001f60a1a40 (__TEXT,__text) non-external ___64-[CPSearchableIndexShim indexSearchableItems:completionHandler:]_block_invoke.56
00000001f60a2520 (__TEXT,__text) non-external ___71-[CPSearchableIndexShim deleteAllSearchableItemsWithCompletionHandler:]_block_invoke
00000001f60a2534 (__TEXT,__text) non-external ___71-[CPSearchableIndexShim deleteAllSearchableItemsWithCompletionHandler:]_block_invoke.73
00000001f60a1e34 (__TEXT,__text) non-external ___80-[CPSearchableIndexShim deleteSearchableItemsWithIdentifiers:completionHandler:]_block_invoke
00000001f60a1e4c (__TEXT,__text) non-external ___80-[CPSearchableIndexShim deleteSearchableItemsWithIdentifiers:completionHandler:]_block_invoke.64
00000001f60a7d14 (__TEXT,__text) non-external ___85-[CPTopHitSearchQueryShim initWithSearchString:keyboardLanguage:attributes:hitCount:]_block_invoke
00000001f60a21e8 (__TEXT,__text) non-external ___86-[CPSearchableIndexShim deleteSearchableItemsWithDomainIdentifiers:completionHandler:]_block_invoke
00000001f60a2200 (__TEXT,__text) non-external ___86-[CPSearchableIndexShim deleteSearchableItemsWithDomainIdentifiers:completionHandler:]_block_invoke_2
00000001f60a39b0 (__TEXT,__text) non-external ___87-[CPSearchableIndexShim(CPOptionalBatching) fetchLastClientStateWithCompletionHandler:]_block_invoke
00000001f60a3abc (__TEXT,__text) non-external ___87-[CPSearchableIndexShim(CPOptionalBatching) fetchLastClientStateWithCompletionHandler:]_block_invoke_2
00000001f60a3464 (__TEXT,__text) non-external ___92-[CPSearchableIndexShim(CPOptionalBatching) endIndexBatchWithClientState:completionHandler:]_block_invoke
00000001f60a35f0 (__TEXT,__text) non-external ___92-[CPSearchableIndexShim(CPOptionalBatching) endIndexBatchWithClientState:completionHandler:]_block_invoke_2
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
                 (undefined) external ___NSArray0__struct (from CoreFoundation)
00000001f60bc6cc (__TEXT,__text) non-external ____ZL6getLogv_block_invoke
                 (undefined) external ___assert_rtn (from libSystem)
0000000201e4ee80 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e5_v8?0l
000000020767d2d0 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32bs_e5_v8?0l
000000020767d190 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e17_v16?0"NSError"8l
000000020767d1c0 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e29_v24?0"NSArray"8"NSError"16l
000000020767d450 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e5_v8?0l
000000020767d3c0 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32w_e17_v16?0"NSArray"8l
000000020767d3f0 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32w_e17_v16?0"NSError"8l
000000020767d480 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32w_e5_v8?0l
000000020767d4b0 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32w_e8_v12?0i8l
000000020767d050 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8__e5_v8?0l
000000020767d530 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_ea8__e5_v8?0l
000000020767d0a0 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40bs_e17_v16?0"NSError"8l
000000020767d160 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40bs_e28_v24?0"NSData"8"NSError"16l
000000020767d2a0 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40bs_e5_v8?0l
000000020767d420 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40s_e5_v8?0l
000000020767d240 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40bs48bs_e17_v16?0"NSError"8l
000000020767d300 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40bs48bs_e28_v24?0"NSData"8"NSError"16l
000000020767d330 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40bs48s_e17_v16?0"NSError"8l
000000020767d390 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40bs48s_e28_v24?0"NSData"8"NSError"16l
000000020767d100 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48bs_e17_v16?0"NSError"8l
000000020767d270 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48bs_e5_v8?0l
000000020767d500 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48s_e5_v8?0l
000000020767d360 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_64_e8_32s40s48bs56s_e17_v16?0"NSError"8l
000000020767d0d0 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_64_e8_32s40s48bs_e17_v16?0"NSError"8l
000000020767d210 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_64_e8_32s40s48s56bs_e5_v8?0l
000000020767d130 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_72_e8_32s40s48s56s64bs_e17_v16?0"NSError"8l
000000020767d080 (__AUTH_CONST,__const) non-external ___block_literal_global
000000020767d1f0 (__AUTH_CONST,__const) non-external ___block_literal_global
000000020767d4e0 (__AUTH_CONST,__const) non-external ___block_literal_global
000000020767d560 (__AUTH_CONST,__const) non-external ___block_literal_global
000000020767d580 (__AUTH_CONST,__const) non-external ___block_literal_global
000000020767d5a0 (__AUTH_CONST,__const) non-external ___block_literal_global.245
00000001f60bc778 (__TEXT,__text) non-external (was a private external) ___clang_call_terminate
00000001f609c830 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_
00000001f60a29f4 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32b
00000001f60a0268 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s
00000001f609cfd4 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40b
00000001f60a1b84 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40b48b
00000001f60a3720 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40b48s
00000001f60a6eb4 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s
00000001f609d3bc (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48b
00000001f60a3770 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48b56s
00000001f60aee20 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48s
00000001f60a199c (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48s56b
00000001f609ede0 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48s56s64b
00000001f60a6a58 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32w
00000001f60b4cb0 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_ea8_
                 (undefined) external ___cxa_atexit (from libSystem)
                 (undefined) external ___cxa_begin_catch (from libc++)
00000001f609c5c0 (__TEXT,__text) non-external ___cxx_global_array_dtor
00000001f609c834 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_
00000001f60a0270 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s
00000001f609d01c (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s
00000001f609d40c (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s48s
00000001f60a19f4 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s48s56s
00000001f609ee40 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s48s56s64s
00000001f60a6a64 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32w
00000001f60b4cb4 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_ea8_
                 (undefined) external ___gxx_personality_v0 (from libc++)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___tolower (from libSystem)
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external __os_log_impl (from libSystem)
                 (undefined) external __os_signpost_emit_with_name_impl (from libSystem)
00000002054b8138 (__DATA,__objc_arraydata) non-external __unnamed_array_storage
00000002054b81c0 (__DATA,__objc_arraydata) non-external __unnamed_array_storage.105
                 (undefined) external _atof (from libSystem)
                 (undefined) external _dispatch_async (from libSystem)
                 (undefined) external _dispatch_get_global_queue (from libSystem)
                 (undefined) external _dispatch_once (from libSystem)
                 (undefined) external _dispatch_queue_attr_make_with_autorelease_frequency (from libSystem)
                 (undefined) external _dispatch_queue_create (from libSystem)
                 (undefined) external _dispatch_sync (from libSystem)
00000002054b8130 (__DATA,__data) external _enablePrivacy
                 (undefined) external _fmod (from libSystem)
                 (undefined) external _fmodf (from libSystem)
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
                 (undefined) external _kCFAllocatorSystemDefault (from CoreFoundation)
                 (undefined) external _kCFGregorianCalendar (from CoreFoundation)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _notify_cancel (from libSystem)
                 (undefined) external _notify_register_dispatch (from libSystem)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autorelease (from libobjc)
                 (undefined) external _objc_autoreleasePoolPop (from libobjc)
                 (undefined) external _objc_autoreleasePoolPush (from libobjc)
                 (undefined) external _objc_autoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_copyWeak (from libobjc)
                 (undefined) external _objc_destroyWeak (from libobjc)
                 (undefined) external _objc_enumerationMutation (from libobjc)
                 (undefined) external _objc_getProperty (from libobjc)
                 (undefined) external _objc_initWeak (from libobjc)
                 (undefined) external _objc_loadWeakRetained (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
                 (undefined) external _objc_msgSendSuper2 (from libobjc)
                 (undefined) external _objc_opt_class (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_retainAutorelease (from libobjc)
                 (undefined) external _objc_retainAutoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_retainAutoreleasedReturnValue (from libobjc)
                 (undefined) external _objc_retainBlock (from libobjc)
                 (undefined) external _objc_setProperty_atomic_copy (from libobjc)
                 (undefined) external _objc_setProperty_nonatomic_copy (from libobjc)
                 (undefined) external _objc_storeStrong (from libobjc)
                 (undefined) external _objc_storeWeak (from libobjc)
                 (undefined) external _os_log_create (from libSystem)
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _os_signpost_enabled (from libSystem)
                 (undefined) external _os_signpost_id_make_with_pointer (from libSystem)
                 (undefined) external _os_unfair_lock_lock (from libSystem)
                 (undefined) external _os_unfair_lock_unlock (from libSystem)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strtoll (from libSystem)
