00000001d920b008 (__DATA,__data) non-external _C
0000000180309185 (__TEXT,__const) non-external _inet_pton6.xdigits_u
00000001802c57dc (__TEXT,__text) non-external _init_perm
00000001802c7564 (__TEXT,__text) non-external _initshells
00000001802f9c94 (__TEXT,__text) external _initstate
00000001802a6038 (__TEXT,__text) non-external _insertionsort
00000001802fb82c (__TEXT,__text) non-external _insertionsort
00000001802f8350 (__TEXT,__text) external _insque
                 (undefined) external _ioctl (from libsystem_kernel)
00000001802c9b60 (__TEXT,__text) external _isalnum
00000001802ca35c (__TEXT,__text) external _isalnum_l
00000001802c9bd8 (__TEXT,__text) external _isalpha
00000001802ca3d8 (__TEXT,__text) external _isalpha_l
00000001802c9b54 (__TEXT,__text) external _isascii
00000001802a3374 (__TEXT,__text) external _isatty
00000001802c9c48 (__TEXT,__text) external _isblank
00000001802ca44c (__TEXT,__text) external _isblank_l
00000001802c9cb8 (__TEXT,__text) external _iscntrl
00000001802ca4c0 (__TEXT,__text) external _iscntrl_l
00000001802bd140 (__TEXT,__text) external _isdigit
00000001802ca534 (__TEXT,__text) external _isdigit_l
00000001802c9d28 (__TEXT,__text) external _isgraph
00000001802ca5a8 (__TEXT,__text) external _isgraph_l
00000001802ca060 (__TEXT,__text) external _ishexnumber
00000001802ca61c (__TEXT,__text) external _ishexnumber_l
00000001802ca0d0 (__TEXT,__text) external _isideogram
00000001802ca690 (__TEXT,__text) external _isideogram_l
00000001802c9d98 (__TEXT,__text) external _islower
00000001802ca704 (__TEXT,__text) external _islower_l
00000001802ca140 (__TEXT,__text) external _isnumber
00000001802ca778 (__TEXT,__text) external _isnumber_l
00000001802ca1b0 (__TEXT,__text) external _isphonogram
00000001802ca7ec (__TEXT,__text) external _isphonogram_l
00000001802c9e08 (__TEXT,__text) external _isprint
00000001802ca860 (__TEXT,__text) external _isprint_l
00000001802c9e78 (__TEXT,__text) external _ispunct
00000001802ca8d4 (__TEXT,__text) external _ispunct_l
00000001802ca220 (__TEXT,__text) external _isrune
00000001802ca948 (__TEXT,__text) external _isrune_l
                 (undefined) external _issetugid (from libsystem_kernel)
00000001802c9ee8 (__TEXT,__text) external _isspace
00000001802ca9cc (__TEXT,__text) external _isspace_l
00000001802ca294 (__TEXT,__text) external _isspecial
00000001802caa40 (__TEXT,__text) external _isspecial_l
00000001802b3ba8 (__TEXT,__text) non-external _istrsenvisx
0000000180305b9c (__TEXT,__text) non-external _istrsenvisx.cold.1
0000000180305bc8 (__TEXT,__text) non-external _istrsenvisx.cold.2
0000000180305bf4 (__TEXT,__text) non-external _istrsenvisx.cold.3
00000001802b3b28 (__TEXT,__text) non-external _istrsenvisxl
00000001802c9f58 (__TEXT,__text) external _isupper
00000001802caab4 (__TEXT,__text) external _isupper_l
00000001802cabdc (__TEXT,__text) external _iswalnum
00000001802cb11c (__TEXT,__text) external _iswalnum_l
00000001802cac54 (__TEXT,__text) external _iswalpha
00000001802cb198 (__TEXT,__text) external _iswalpha_l
00000001802cb764 (__TEXT,__text) external _iswascii
00000001802cb6f4 (__TEXT,__text) external _iswblank
00000001802cba14 (__TEXT,__text) external _iswblank_l
00000001802cacc4 (__TEXT,__text) external _iswcntrl
00000001802cb20c (__TEXT,__text) external _iswcntrl_l
00000001802cad34 (__TEXT,__text) external _iswctype
00000001802cb280 (__TEXT,__text) external _iswctype_l
00000001802cadb4 (__TEXT,__text) external _iswdigit
00000001802cb314 (__TEXT,__text) external _iswdigit_l
00000001802caddc (__TEXT,__text) external _iswgraph
00000001802cb388 (__TEXT,__text) external _iswgraph_l
00000001802cb770 (__TEXT,__text) external _iswhexnumber
00000001802cba88 (__TEXT,__text) external _iswhexnumber_l
00000001802cb7e0 (__TEXT,__text) external _iswideogram
00000001802cbafc (__TEXT,__text) external _iswideogram_l
00000001802cae4c (__TEXT,__text) external _iswlower
00000001802cb3fc (__TEXT,__text) external _iswlower_l
00000001802cb850 (__TEXT,__text) external _iswnumber
00000001802cbb70 (__TEXT,__text) external _iswnumber_l
00000001802cb8c0 (__TEXT,__text) external _iswphonogram
00000001802cbbe4 (__TEXT,__text) external _iswphonogram_l
00000001802caebc (__TEXT,__text) external _iswprint
00000001802cb470 (__TEXT,__text) external _iswprint_l
00000001802caf2c (__TEXT,__text) external _iswpunct
00000001802cb4e4 (__TEXT,__text) external _iswpunct_l
00000001802cb930 (__TEXT,__text) external _iswrune
00000001802cbc58 (__TEXT,__text) external _iswrune_l
00000001802caf9c (__TEXT,__text) external _iswspace
00000001802cb558 (__TEXT,__text) external _iswspace_l
00000001802cb9a4 (__TEXT,__text) external _iswspecial
00000001802cbcdc (__TEXT,__text) external _iswspecial_l
00000001802cb00c (__TEXT,__text) external _iswupper
00000001802cb5cc (__TEXT,__text) external _iswupper_l
00000001802cb07c (__TEXT,__text) external _iswxdigit
00000001802cb640 (__TEXT,__text) external _iswxdigit_l
00000001802bd118 (__TEXT,__text) external _isxdigit
00000001802cab28 (__TEXT,__text) external _isxdigit_l
0000000180309e58 (__TEXT,__cstring) non-external _itoa64
00000001802de9d4 (__TEXT,__text) external _jrand48
00000001d420a938 (__DATA_CONST,__const) external _kOSThermalNotificationPressureLevelName
                 (undefined) external _kill (from libsystem_kernel)
00000001802bd764 (__TEXT,__text) external _killpg
00000001802fb2a4 (__TEXT,__text) external _l64a
00000001d920cf90 (__DATA,__bss) non-external _l64a.buf
00000001802f8374 (__TEXT,__text) external _labs
00000001802e2e58 (__TEXT,__text) non-external _largesearch
00000001d920cef8 (__DATA,__bss) non-external _last_default_tzload_mtimespec
00000001d920b2c0 (__DATA,__data) non-external _lastglue
00000001802c469c (__TEXT,__text) external _lchflags
00000001802aeb84 (__TEXT,__text) external _lchmod
00000001d920cda0 (__DATA,__bss) non-external _lcl_TZname
00000001db73b2e8 (__DATA_DIRTY,__data) non-external _lcl_notify
00000001db73b210 (__DATA_DIRTY,__data) non-external (was a private external) _lcl_rwlock
00000001db73cc50 (__DATA_DIRTY,__bss) non-external _lclptr
00000001802dea18 (__TEXT,__text) external _lcong48
00000001802f8380 (__TEXT,__text) external _ldiv
00000001802f8478 (__TEXT,__text) external _lfind
00000001802ee160 (__TEXT,__text) non-external _lflush
00000001802e8b88 (__TEXT,__text) external _link_addr
00000001802e8d4c (__TEXT,__text) external _link_ntoa
00000001d920cce2 (__DATA,__bss) non-external _link_ntoa.obuf
00000001802f83ac (__TEXT,__text) external _llabs
00000001802f83b8 (__TEXT,__text) external _lldiv
00000001802e9b9c (__TEXT,__text) non-external _loadCat
00000001802b11a0 (__TEXT,__text) non-external _loadlocale
00000001802c2f78 (__TEXT,__text) external _localeconv
00000001802919d8 (__TEXT,__text) external _localeconv_l
0000000180305c20 (__TEXT,__text) non-external _localeconv_l.cold.1
0000000180305c3c (__TEXT,__text) non-external _localeconv_l.cold.2
000000018029a9c4 (__TEXT,__text) external _localtime
00000001db73cc58 (__DATA_DIRTY,__bss) non-external _localtime_key
00000001d920cea0 (__DATA,__bss) non-external _localtime_key_error
000000018029aaa4 (__TEXT,__text) non-external _localtime_key_init
00000001db73b2f0 (__DATA_DIRTY,__data) non-external _localtime_once
0000000180294efc (__TEXT,__text) external _localtime_r
00000001802c3e98 (__TEXT,__text) external _lockf
00000001802dea5c (__TEXT,__text) external _lockf$NOCANCEL
00000001802cfd08 (__TEXT,__text) external _login
00000001802ce888 (__TEXT,__text) external _login_tty
00000001802cfdc0 (__TEXT,__text) external _logout
00000001802ce90c (__TEXT,__text) external _logwtmp
00000001802deb54 (__TEXT,__text) external _lrand48
00000001802f83e4 (__TEXT,__text) external _lsearch
                 (undefined) external _lseek (from libsystem_kernel)
                 (undefined) external _lstat (from libsystem_kernel)
00000001802cf2a8 (__TEXT,__text) external _lstatx_np
00000001802a6690 (__TEXT,__text) non-external _lstatx_syscall
00000001802bc5d0 (__TEXT,__text) external _lutimes
                 (undefined) external _mach_absolute_time (from libsystem_kernel)
                 (undefined) external _mach_approximate_time (from libsystem_kernel)
                 (undefined) external _mach_boottime_usec (from libsystem_kernel)
                 (undefined) external _mach_continuous_approximate_time (from libsystem_kernel)
                 (undefined) external _mach_continuous_time (from libsystem_kernel)
                 (undefined) external _mach_error_string (from libsystem_kernel)
                 (undefined) external _mach_host_self (from libsystem_kernel)
                 (undefined) external _mach_port_deallocate (from libsystem_kernel)
                 (undefined) external _mach_task_self_ (from libsystem_kernel)
                 (undefined) external _mach_timebase_info (from libsystem_kernel)
                 (undefined) external _malloc (from libsystem_malloc)
00000001d420a4b0 (__DATA_CONST,__const) non-external _mapping
00000001802ba41c (__TEXT,__text) external _mblen
00000001802ba4ac (__TEXT,__text) external _mblen_l
00000001802cf7c8 (__TEXT,__text) external _mbmb
00000001d920c960 (__DATA,__bss) non-external _mbmb.warn_depreciated
                 (undefined) external _mbr_gid_to_uuid (from libsystem_info)
                 (undefined) external _mbr_uid_to_uuid (from libsystem_info)
                 (undefined) external _mbr_uuid_to_id (from libsystem_info)
00000001802ba528 (__TEXT,__text) external _mbrlen
00000001802e45f0 (__TEXT,__text) external _mbrlen_l
00000001802cf70c (__TEXT,__text) external _mbrrune
00000001d920c95c (__DATA,__bss) non-external _mbrrune.warn_depreciated
00000001802bd17c (__TEXT,__text) external _mbrtowc
00000001802bab88 (__TEXT,__text) external _mbrtowc_l
00000001802cf668 (__TEXT,__text) external _mbrune
00000001d920c958 (__DATA,__bss) non-external _mbrune.warn_depreciated
00000001802e466c (__TEXT,__text) external _mbsinit
00000001802e463c (__TEXT,__text) external _mbsinit_l
00000001802e46f0 (__TEXT,__text) external _mbsnrtowcs
00000001802e46b4 (__TEXT,__text) external _mbsnrtowcs_l
00000001802e48bc (__TEXT,__text) external _mbsrtowcs
00000001802e4874 (__TEXT,__text) external _mbsrtowcs_l
00000001802b4324 (__TEXT,__text) external _mbstowcs
00000001802e491c (__TEXT,__text) external _mbstowcs_l
00000001802b40b0 (__TEXT,__text) external _mbtowc
0000000180293084 (__TEXT,__text) external _mbtowc_l
                 (indirect) external _memccpy (for __platform_memccpy)
                 (indirect) external _memchr (for __platform_memchr)
                 (indirect) external _memcmp (for __platform_memcmp)
                 (indirect) external _memcpy (for __platform_memmove)
00000001802a48e8 (__TEXT,__text) external _memmem
                 (indirect) external _memmove (for __platform_memmove)
                 (indirect) external _memset (for __platform_memset)
                 (indirect) external _memset_pattern16 (for __platform_memset_pattern16)
                 (indirect) external _memset_pattern4 (for __platform_memset_pattern4)
                 (indirect) external _memset_pattern8 (for __platform_memset_pattern8)
000000018028e540 (__TEXT,__text) external _memset_s
00000001802e7b24 (__TEXT,__text) non-external _memstream_close
00000001802e7a8c (__TEXT,__text) non-external _memstream_seek
0000000180305c84 (__TEXT,__text) non-external _memstream_seek.cold.1
0000000180305cb0 (__TEXT,__text) non-external _memstream_seek.cold.2
00000001802e7948 (__TEXT,__text) non-external _memstream_update
0000000180305c58 (__TEXT,__text) non-external _memstream_update.cold.1
00000001802e7980 (__TEXT,__text) non-external _memstream_write
00000001802a58dc (__TEXT,__text) external _mergesort
00000001802b53f8 (__TEXT,__text) external _mergesort_b
                 (undefined) external _mkdirat (from libsystem_kernel)
00000001802cf13c (__TEXT,__text) external _mkdirx_np
00000001802bd55c (__TEXT,__text) external _mkdtemp
00000001802eba9c (__TEXT,__text) external _mkdtempat_np
00000001802cf128 (__TEXT,__text) external _mkfifox_np
00000001802eba18 (__TEXT,__text) external _mkostemp
00000001802eb8d4 (__TEXT,__text) external _mkostemps
00000001802eb958 (__TEXT,__text) external _mkostempsat_np
000000018029bec8 (__TEXT,__text) external _mkpath_np
00000001802cea28 (__TEXT,__text) external _mkpathat_np
00000001802bada4 (__TEXT,__text) external _mkstemp
00000001802ebb3c (__TEXT,__text) external _mkstemp_dprotected_np
00000001802aebd0 (__TEXT,__text) external _mkstemps
00000001802eb9cc (__TEXT,__text) external _mkstempsat_np
00000001802a4448 (__TEXT,__text) external _mktemp
00000001802a66e4 (__TEXT,__text) external _mktime
                 (undefined) external _mmap (from libsystem_kernel)
0000000180308ef4 (__TEXT,__const) non-external _mon_lengths
00000001802c9b3c (__TEXT,__text) external _monaddition
00000001802c9b4c (__TEXT,__text) external _moncontrol
00000001802c9b50 (__TEXT,__text) external _moncount
00000001802c9b34 (__TEXT,__text) external _moninit
00000001802c9b48 (__TEXT,__text) external _monitor
00000001802c9b44 (__TEXT,__text) external _monoutput
00000001802c9b40 (__TEXT,__text) external _monreset
00000001802c9b38 (__TEXT,__text) external _monstartup
00000001802ea948 (__TEXT,__text) non-external _moreglue
00000001802d823c (__TEXT,__text) non-external _mpool_bkt
00000001802d8514 (__TEXT,__text) external _mpool_close
00000001802d8184 (__TEXT,__text) external _mpool_filter
00000001802d8328 (__TEXT,__text) external _mpool_get
00000001802d8194 (__TEXT,__text) external _mpool_new
0000000180305408 (__TEXT,__text) non-external _mpool_new.cold.1
00000001802d8084 (__TEXT,__text) external _mpool_open
00000001802d84f8 (__TEXT,__text) external _mpool_put
00000001802d8570 (__TEXT,__text) external _mpool_sync
00000001802d85e4 (__TEXT,__text) non-external _mpool_write
00000001802deb88 (__TEXT,__text) external _mrand48
00000001802d06ac (__TEXT,__text) non-external _mswap
                 (undefined) external _munmap (from libsystem_kernel)
00000001d920c8f8 (__DATA,__bss) non-external _namebuf
                 (undefined) external _nan (from libsystem_m)
                 (undefined) external _nanf (from libsystem_m)
                 (undefined) external _nanl (from libsystem_m)
000000018029b4d4 (__TEXT,__text) external _nanosleep
00000001802b7bf8 (__TEXT,__text) external _nanosleep$NOCANCEL
00000001d920caf0 (__DATA,__bss) non-external _new_categories
00000001802ce1ac (__TEXT,__text) external _new_printf_comp
00000001802beb88 (__TEXT,__text) external _new_printf_domain
00000001802a2ca0 (__TEXT,__text) external _newlocale
00000001db73b348 (__DATA_DIRTY,__data) non-external _next
00000001802dc9a8 (__TEXT,__text) non-external _nextcomp
00000001d920c978 (__DATA,__bss) non-external _nextcomp.lmsgverb
00000001d920c998 (__DATA,__bss) non-external _nextcomp.state
00000001802e4cec (__TEXT,__text) external _nextwctype
00000001802e4b68 (__TEXT,__text) external _nextwctype_l
00000001802c7ccc (__TEXT,__text) external _nftw
00000001802debbc (__TEXT,__text) external _nice
00000001802c1ab8 (__TEXT,__text) external _nl_langinfo
00000001802c1adc (__TEXT,__text) external _nl_langinfo_l
00000001d920cae8 (__DATA,__bss) non-external _nl_langinfo_l.csym
0000000180309071 (__TEXT,__const) non-external _noarg
0000000180308c14 (__TEXT,__const) non-external _nogrouping
00000001d920b324 (__DATA,__data) non-external _nonopt_end
00000001d920b328 (__DATA,__data) non-external _nonopt_start
                 (undefined) external _notify_cancel (from libsystem_notify)
                 (undefined) external _notify_check (from libsystem_notify)
000000018029542c (__TEXT,__text) non-external _notify_check_tz
                 (undefined) external _notify_monitor_file (from libsystem_notify)
                 (undefined) external _notify_post (from libsystem_notify)
                 (undefined) external _notify_register_check (from libsystem_notify)
0000000180296b5c (__TEXT,__text) non-external _notify_register_tz
0000000180308ed0 (__TEXT,__const) non-external _notify_tz_name
00000001802dec7c (__TEXT,__text) external _nrand48
00000001d920b11c (__DATA,__data) non-external _numempty
00000001d920b180 (__DATA,__data) non-external _numempty
0000000180308770 (__TEXT,__const) non-external _nv
00000001802e2028 (__TEXT,__text) external _nvis
00000001d920b3c0 (__DATA,__data) external _off32
00000001d920b418 (__DATA,__data) external _off64
00000001802f4cec (__TEXT,__text) external _offtime
00000001d420a498 (__DATA_CONST,__const) non-external _okshells
                 (undefined) external _open$NOCANCEL (from libsystem_kernel)
                 (undefined) external _open_dprotected_np (from libsystem_kernel)
00000001802e7828 (__TEXT,__text) external _open_memstream
00000001802cd834 (__TEXT,__text) external _open_with_subsystem
00000001802f4828 (__TEXT,__text) external _open_wmemstream
                 (undefined) external _openat$NOCANCEL (from libsystem_kernel)
00000001802ceaa0 (__TEXT,__text) external _opendev
00000001802cec88 (__TEXT,__text) non-external _opendev_namebuf_init
00000001d920b020 (__DATA,__data) non-external _opendev_namebuf_once
00000001802decc0 (__TEXT,__text) external _opendir
00000001802df040 (__TEXT,__text) non-external _opendir_compar
00000001802b37b0 (__TEXT,__text) external _openpty
00000001802c3504 (__TEXT,__text) external _openx_np
00000001d920d030 (__DATA,__common) external _optarg
00000001d920b310 (__DATA,__data) external _opterr
00000001db73b344 (__DATA_DIRTY,__data) external _optind
00000001d920d02c (__DATA,__common) external _optopt
00000001d920d028 (__DATA,__common) external _optreset
                 (undefined) external _os_log_simple_type_from_asl (from libsystem_platform)
                 (undefined) external _os_log_type_enabled (from libsystem_trace)
                 (undefined) external _os_unfair_lock_lock (from libsystem_platform)
                 (undefined) external _os_unfair_lock_lock_with_options (from libsystem_platform)
                 (undefined) external _os_unfair_lock_unlock (from libsystem_platform)
00000001db73b420 (__DATA_DIRTY,__bss) non-external _p5s
0000000180308cb9 (__TEXT,__const) non-external _padchar
00000001d920c24a (__DATA,__bss) non-external _parse_error
00000001802bca9c (__TEXT,__text) non-external _parse_long_options
00000001d920c248 (__DATA,__bss) non-external _parsed
                 (undefined) external _pathconf (from libsystem_kernel)
00000001803041bc (__TEXT,__text) external _pause
00000001802df054 (__TEXT,__text) external _pause$NOCANCEL
00000001802df3bc (__TEXT,__text) external _pclose
00000001802c523c (__TEXT,__text) non-external _permute
00000001802f7ee8 (__TEXT,__text) non-external _permute_args
0000000180305e68 (__TEXT,__text) external _perror
00000001d920c9d0 (__DATA,__bss) non-external _pfp
                 (undefined) external _pipe (from libsystem_kernel)
00000001d920b330 (__DATA,__data) non-external _place
00000001802df08c (__TEXT,__text) external _popen
00000001803044a0 (__TEXT,__text) external _popen$DARWIN_EXTSN
00000001802f4d98 (__TEXT,__text) external _posix2time
00000001802b38d8 (__TEXT,__text) external _posix_openpt
                 (undefined) external _posix_spawn (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_addclose (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_adddup2 (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_addinherit_np (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_destroy (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_init (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_destroy (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_init (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_setflags (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_setsigdefault (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_setsigmask (from libsystem_kernel)
00000001802c0e8c (__TEXT,__text) external _posix_spawnp
                 (undefined) external _pread$NOCANCEL (from libsystem_kernel)
00000001802bd1d0 (__TEXT,__text) external _printf
00000001d920cfb0 (__DATA,__bss) non-external _printf_info_queue
00000001802edfa8 (__TEXT,__text) external _printf_l
00000001802dc704 (__TEXT,__text) non-external _printfmt
                 (undefined) external _proc_name (from libsystem_kernel)
00000001802df4d8 (__TEXT,__text) external _psignal
00000001802fb8f4 (__TEXT,__text) external _psort
00000001802fc444 (__TEXT,__text) external _psort_b
00000001802bd308 (__TEXT,__text) external _psort_r
                 (undefined) external _pthread_get_stackaddr_np (from libsystem_pthread)
                 (undefined) external _pthread_get_stacksize_np (from libsystem_pthread)
                 (undefined) external _pthread_getspecific (from libsystem_pthread)
                 (undefined) external _pthread_key_create (from libsystem_pthread)
                 (undefined) external _pthread_key_init_np (from libsystem_pthread)
                 (undefined) external _pthread_kill (from libsystem_pthread)
                 (undefined) external _pthread_mutex_destroy (from libsystem_pthread)
                 (undefined) external _pthread_mutex_init (from libsystem_pthread)
                 (undefined) external _pthread_mutex_lock (from libsystem_pthread)
                 (undefined) external _pthread_mutex_trylock (from libsystem_pthread)
                 (undefined) external _pthread_mutex_unlock (from libsystem_pthread)
                 (undefined) external _pthread_once (from libsystem_pthread)
                 (undefined) external _pthread_rwlock_destroy (from libsystem_pthread)
                 (undefined) external _pthread_rwlock_rdlock (from libsystem_pthread)
                 (undefined) external _pthread_rwlock_unlock (from libsystem_pthread)
                 (undefined) external _pthread_rwlock_wrlock (from libsystem_pthread)
                 (undefined) external _pthread_self (from libsystem_pthread)
                 (undefined) external _pthread_setspecific (from libsystem_pthread)
                 (undefined) external _pthread_sigmask (from libsystem_pthread)
                 (undefined) external _pthread_stack_frame_decode_np (from libsystem_pthread)
                 (undefined) external _pthread_testcancel (from libsystem_pthread)
00000001802fb1bc (__TEXT,__text) external _ptsname
0000000180306440 (__TEXT,__text) non-external _ptsname.cold.1
000000018030645c (__TEXT,__text) non-external _ptsname.cold.2
00000001d920cf88 (__DATA,__bss) non-external _ptsname_buffer_specific_key
00000001d920cf80 (__DATA,__bss) non-external _ptsname_once
00000001802fb26c (__TEXT,__text) non-external _ptsname_once_init
0000000180306478 (__TEXT,__text) non-external _ptsname_once_init.cold.1
00000001802b391c (__TEXT,__text) external _ptsname_r
00000001802c1190 (__TEXT,__text) external _putc
00000001802edfe8 (__TEXT,__text) external _putc_unlocked
00000001802bd22c (__TEXT,__text) external _putchar
00000001802ee030 (__TEXT,__text) external _putchar_unlocked
00000001802f856c (__TEXT,__text) external _putenv
00000001802d6f94 (__TEXT,__text) non-external _putpair
00000001802bc770 (__TEXT,__text) external _puts
0000000180300958 (__TEXT,__text) external _pututxline
00000001802ee084 (__TEXT,__text) external _putw
00000001802ee0f4 (__TEXT,__text) external _putwc
00000001802ee118 (__TEXT,__text) external _putwc_l
00000001802ee11c (__TEXT,__text) external _putwchar
00000001802ee14c (__TEXT,__text) external _putwchar_l
00000001d920c340 (__DATA,__bss) non-external _pw_size
                 (undefined) external _pwrite$NOCANCEL (from libsystem_kernel)
000000018029a2d0 (__TEXT,__text) external _qsort
000000018029af98 (__TEXT,__text) external _qsort_b
000000018029afd0 (__TEXT,__text) external _qsort_r
00000001802cbe18 (__TEXT,__text) external _querylocale
00000001802f9238 (__TEXT,__text) non-external _r_sort_a
00000001d920cf54 (__DATA,__bss) non-external _r_sort_a.bmin
00000001d920cf48 (__DATA,__bss) non-external _r_sort_a.count
00000001d920cf50 (__DATA,__bss) non-external _r_sort_a.nc
00000001d920cf58 (__DATA,__bss) non-external _r_sort_a_count
00000001802f9808 (__TEXT,__text) non-external _r_sort_b
00000001d920cf74 (__DATA,__bss) non-external _r_sort_b.bmin
00000001d920cf68 (__DATA,__bss) non-external _r_sort_b.count
00000001d920cf70 (__DATA,__bss) non-external _r_sort_b.nc
00000001d920cf60 (__DATA,__bss) non-external _r_sort_b_count
00000001802f9bc8 (__TEXT,__text) non-external _r_sort_count_allocate
00000001d920b340 (__DATA,__data) non-external _r_sort_count_control
00000001802f914c (__TEXT,__text) external _radixsort
00000001802cea30 (__TEXT,__text) external _raise
000000018029dc7c (__TEXT,__text) external _rand
00000001d920b35c (__DATA,__data) non-external _rand_deg
00000001802a56e0 (__TEXT,__text) external _rand_r
00000001d920b360 (__DATA,__data) non-external _rand_sep
00000001d920b358 (__DATA,__data) non-external _rand_type
000000018029c4a8 (__TEXT,__text) external _random
00000001db73b350 (__DATA_DIRTY,__data) non-external _randtbl
00000001802dca10 (__TEXT,__text) non-external (was a private external) _rangematch
00000001802cd730 (__TEXT,__text) non-external _raosnprintf
0000000180301c6c (__TEXT,__text) external _rb_tree_count
00000001802b9c28 (__TEXT,__text) external _rb_tree_find_node
0000000180301adc (__TEXT,__text) external _rb_tree_find_node_geq
0000000180301b64 (__TEXT,__text) external _rb_tree_find_node_leq
00000001802b9c18 (__TEXT,__text) external _rb_tree_init
00000001802b9c94 (__TEXT,__text) external _rb_tree_insert_node
0000000180301bec (__TEXT,__text) external _rb_tree_iterate
0000000180301c78 (__TEXT,__text) non-external _rb_tree_removal_rebalance
00000001802c3274 (__TEXT,__text) external _rb_tree_remove_node
00000001802b9ea8 (__TEXT,__text) non-external _rb_tree_reparent_nodes
0000000180308040 (__TEXT,__const) non-external _rcsid
000000018030808f (__TEXT,__const) non-external _rcsid
00000001803080d9 (__TEXT,__const) non-external _rcsid
00000001803081d6 (__TEXT,__const) non-external _rcsid
0000000180309128 (__TEXT,__const) non-external _rcsid
00000001803091ed (__TEXT,__const) non-external _rcsid
                 (undefined) external _read$NOCANCEL (from libsystem_kernel)
00000001802df72c (__TEXT,__text) external _readdir
00000001802df774 (__TEXT,__text) external _readdir_r
                 (undefined) external _readlink (from libsystem_kernel)
00000001802df830 (__TEXT,__text) external _readpassphrase
                 (undefined) external _realloc (from libsystem_malloc)
                 (undefined) external _reallocarray$DARWIN_EXTSN (from libsystem_malloc)
000000018028e5b4 (__TEXT,__text) external _reallocf
00000001802f9ecc (__TEXT,__text) external _realpath
00000001802a00a4 (__TEXT,__text) external _realpath$DARWIN_EXTSN
00000001db73cc6c (__DATA_DIRTY,__bss) non-external _realpath$DARWIN_EXTSN.rootdev
00000001db73cc70 (__DATA_DIRTY,__bss) non-external _realpath$DARWIN_EXTSN.rootdev_inited
00000001d920cf78 (__DATA,__bss) non-external _realpath.rootdev
00000001d920cf7c (__DATA,__bss) non-external _realpath.rootdev_inited
00000001802d8a2c (__TEXT,__text) non-external _rec_rdelete
0000000180309032 (__TEXT,__const) non-external _recargchar
000000018030909b (__TEXT,__const) non-external _recargstring
000000018029fe74 (__TEXT,__text) external _recv
000000018029fe5c (__TEXT,__text) external _recv$NOCANCEL
00000001802a712c (__TEXT,__text) external _regcomp
00000001802a7150 (__TEXT,__text) external _regcomp_l
00000001803060ac (__TEXT,__text) external _regerror
00000001802acdf8 (__TEXT,__text) external _regexec
00000001802b0cbc (__TEXT,__text) external _regfree
00000001802bed60 (__TEXT,__text) external _register_printf_domain_function
00000001802ce430 (__TEXT,__text) non-external (was a private external) _register_printf_domain_render
00000001802ce518 (__TEXT,__text) external _register_printf_domain_render_std
0000000180301dd4 (__TEXT,__text) external _regncomp
00000001802a71d8 (__TEXT,__text) external _regncomp_l
00000001802ace0c (__TEXT,__text) external _regnexec
0000000180301ec4 (__TEXT,__text) external _regwcomp
0000000180301e44 (__TEXT,__text) external _regwcomp_l
0000000180301f6c (__TEXT,__text) external _regwexec
0000000180301e20 (__TEXT,__text) external _regwncomp
0000000180301df8 (__TEXT,__text) external _regwncomp_l
0000000180301f3c (__TEXT,__text) external _regwnexec
00000001802b8a54 (__TEXT,__text) external _remove
00000001802fa61c (__TEXT,__text) external _remque
00000001d420b008 (__DATA_CONST,__const) non-external _rerrs
00000001802a42a0 (__TEXT,__text) external _rewind
00000001802dfdf0 (__TEXT,__text) external _rewinddir
00000001802a49b8 (__TEXT,__text) external _rindex
                 (undefined) external _rmdir (from libsystem_kernel)
00000001db73b428 (__DATA_DIRTY,__bss) non-external _rng
00000001802ebc40 (__TEXT,__text) external _rpmatch
00000001d920b370 (__DATA,__data) non-external _rptr
00000001802bc4b8 (__TEXT,__text) non-external _sappend
00000001d920cbd0 (__DATA,__bss) non-external _saved_categories
00000001802c456c (__TEXT,__text) external _sbrk
00000001d920c158 (__DATA,__bss) non-external _sbrk_curbrk
00000001d920c150 (__DATA,__bss) non-external _sbrk_needs_init
00000001d920af00 (__DATA,__data) non-external _sbrk_region_size
00000001802dfe74 (__TEXT,__text) external _scandir
00000001802fdadc (__TEXT,__text) external _scandir_b
00000001802ee1b4 (__TEXT,__text) external _scanf
00000001802ee234 (__TEXT,__text) external _scanf_l
00000001802e0004 (__TEXT,__text) external _seed48
00000001d920ca88 (__DATA,__bss) non-external _seed48.sseed
00000001802e006c (__TEXT,__text) external _seekdir
                 (undefined) external _select$NOCANCEL (from libsystem_kernel)
                 (undefined) external _semaphore_create (from libsystem_kernel)
000000018029fe68 (__TEXT,__text) external _send
000000018029fe50 (__TEXT,__text) external _send$NOCANCEL
00000001803090f0 (__TEXT,__const) non-external _seps
00000001d920c2a8 (__DATA,__bss) non-external _seq
