00000001df5d35c0 (__DATA,__data) non-external _.compoundliteral
0000000182b5e288 (__TEXT,__text) non-external _sb_byteset_get_population
0000000182b67c38 (__TEXT,__text) non-external _sb_byteset_is_equivalent
0000000182b60530 (__TEXT,__text) non-external _sb_byteset_iterate_ranges
0000000182b5e144 (__TEXT,__text) non-external _sb_byteset_negate
0000000182b5df3c (__TEXT,__text) non-external _sb_byteset_new
0000000182b5e0c4 (__TEXT,__text) non-external _sb_byteset_release
0000000182b5e05c (__TEXT,__text) non-external _sb_byteset_retain
0000000182b60684 (__TEXT,__text) non-external _sb_byteset_union
0000000182b4bc44 (__TEXT,__text) non-external _sb_calloc
0000000182b748ec (__TEXT,__text) non-external _sb_condition_boolean
0000000182b5b2d0 (__TEXT,__text) non-external _sb_condition_conjunction
0000000182b6ae60 (__TEXT,__text) non-external _sb_condition_constant
0000000182b587c0 (__TEXT,__text) non-external _sb_condition_disjunction
0000000182b63d7c (__TEXT,__text) non-external _sb_condition_is_conjunction
0000000182b5b5cc (__TEXT,__text) non-external _sb_condition_is_contrary
0000000182b63044 (__TEXT,__text) non-external _sb_condition_is_disjunction
0000000182b5bb3c (__TEXT,__text) non-external _sb_condition_is_equivalent
0000000182b69994 (__TEXT,__text) non-external _sb_condition_is_integer
0000000182b63f8c (__TEXT,__text) non-external _sb_condition_is_pattern
0000000182b58308 (__TEXT,__text) non-external _sb_condition_is_regex
0000000182b64130 (__TEXT,__text) non-external _sb_condition_is_transposable
0000000182b58390 (__TEXT,__text) non-external _sb_condition_list_append
0000000182b646d4 (__TEXT,__text) non-external _sb_condition_list_contains_condition
0000000182b64338 (__TEXT,__text) non-external _sb_condition_list_copy
0000000182b5eb38 (__TEXT,__text) non-external _sb_condition_list_every_condition_matches_predicate
0000000182b738dc (__TEXT,__text) non-external _sb_condition_list_filter
0000000182b5ac88 (__TEXT,__text) non-external _sb_condition_list_get_hash
0000000182b67764 (__TEXT,__text) non-external _sb_condition_list_is_equivalent
0000000182b5ae38 (__TEXT,__text) non-external _sb_condition_list_iterate
0000000182b64d68 (__TEXT,__text) non-external _sb_condition_list_iterate_reverse
0000000182b56494 (__TEXT,__text) non-external _sb_condition_list_new
0000000182b56c6c (__TEXT,__text) non-external _sb_condition_list_release
0000000182b64480 (__TEXT,__text) non-external _sb_condition_list_remove
0000000182b65610 (__TEXT,__text) non-external _sb_condition_matches_subset
0000000182b62f14 (__TEXT,__text) non-external _sb_condition_negation
0000000182b6aaf4 (__TEXT,__text) non-external _sb_condition_network
0000000182b57f80 (__TEXT,__text) non-external _sb_condition_new
0000000182b5deac (__TEXT,__text) non-external _sb_condition_pattern
0000000182b58c10 (__TEXT,__text) non-external _sb_condition_pattern_path
0000000182b58654 (__TEXT,__text) non-external _sb_condition_release
0000000182b58278 (__TEXT,__text) non-external _sb_condition_set_source_info
0000000182b5e93c (__TEXT,__text) non-external _sb_condition_string
0000000182b4b910 (__TEXT,__text) non-external _sb_context_intern_string
0000000182b56988 (__TEXT,__text) non-external _sb_context_release
0000000182b568e0 (__TEXT,__text) non-external _sb_context_release_modification
0000000182b4b7e0 (__TEXT,__text) non-external _sb_context_retain
0000000182b7423c (__TEXT,__text) non-external _sb_context_retain_modification
0000000182b72bec (__TEXT,__text) non-external _sb_error_fatal
0000000182b72dd8 (__TEXT,__text) non-external _sb_error_fatal_for_instruction
0000000182b72c38 (__TEXT,__text) non-external _sb_error_for_instruction
0000000182b5e3bc (__TEXT,__text) non-external _sb_error_new
00000001e59a62b0 (__DATA_CONST,__const) non-external _sb_error_out_of_memory.oom_error
0000000182b5e310 (__TEXT,__text) non-external _sb_error_set_unsupported_with_format
0000000182b72ab4 (__TEXT,__text) non-external _sb_error_set_with_description
0000000182b72bc0 (__TEXT,__text) non-external _sb_error_set_with_format
0000000182b72b20 (__TEXT,__text) non-external _sb_error_set_with_formatv
0000000182b54eb4 (__TEXT,__text) non-external _sb_filter_accepts_type
00000001df5da3ee (__DATA,__bss) non-external _sb_filter_get_max_machtrap._max_machtrap
00000001df5da3ec (__DATA,__bss) non-external _sb_filter_get_max_syscall._max_syscall
0000000182b741c8 (__TEXT,__text) non-external _sb_filter_has_named_value
00000001eb71bf48 (__DATA_DIRTY,__bss) non-external _sb_filter_has_side_effects.filterset
00000001eb71bf40 (__DATA_DIRTY,__bss) non-external _sb_filter_has_side_effects.onceToken
0000000182b570b0 (__TEXT,__text) non-external _sb_fsa_acceptor
0000000182b59bc0 (__TEXT,__text) non-external _sb_fsa_copy
0000000182b599e4 (__TEXT,__text) non-external _sb_fsa_disjunction
0000000182b59e54 (__TEXT,__text) non-external _sb_fsa_get_recognizer_child
0000000182b65d90 (__TEXT,__text) non-external _sb_fsa_is_backtracking_recognizer
0000000182b65c54 (__TEXT,__text) non-external _sb_fsa_matches_subset
0000000182b6038c (__TEXT,__text) non-external _sb_fsa_recognizer_byteset
0000000182b607a8 (__TEXT,__text) non-external _sb_fsa_recognizer_byteset_skip
0000000182b602e4 (__TEXT,__text) non-external _sb_fsa_recognizer_seek_byte
0000000182b5de04 (__TEXT,__text) non-external _sb_fsa_recognizer_seek_byte_with_retry
0000000182b59784 (__TEXT,__text) non-external _sb_fsa_recognizer_sequence
0000000182b59984 (__TEXT,__text) non-external _sb_fsa_recognizer_terminal
0000000182b7445c (__TEXT,__text) non-external _sb_fsa_recognizer_variable
0000000182b57ce8 (__TEXT,__text) non-external _sb_fsa_release
0000000182b5aa64 (__TEXT,__text) non-external _sb_fsa_release_indegree
0000000182b57c18 (__TEXT,__text) non-external _sb_fsa_retain
0000000182b598f0 (__TEXT,__text) non-external _sb_fsa_retain_indegree
0000000182b60184 (__TEXT,__text) non-external _sb_fsa_set_recognizer_child
0000000182b4bcb4 (__TEXT,__text) non-external _sb_hash_compute
0000000182b6cf0c (__TEXT,__text) non-external _sb_inspect_subsystem
0000000182b4c04c (__TEXT,__text) non-external _sb_instr_action
0000000182b58b0c (__TEXT,__text) non-external _sb_instr_conditional
0000000182b67cc0 (__TEXT,__text) non-external _sb_instr_get_action_modifiers
0000000182b6314c (__TEXT,__text) non-external _sb_instr_get_jump_target
0000000182b62b74 (__TEXT,__text) non-external _sb_instr_is_equivalent
0000000182b4c0c4 (__TEXT,__text) non-external _sb_instr_new
0000000182b4c2b0 (__TEXT,__text) non-external _sb_instr_release
0000000182b62d94 (__TEXT,__text) non-external _sb_instr_replace
0000000182b4c180 (__TEXT,__text) non-external _sb_instr_retain
0000000182b632ec (__TEXT,__text) non-external _sb_instr_set_condition
0000000182b5e860 (__TEXT,__text) non-external _sb_instr_set_false_branch
0000000182b654e0 (__TEXT,__text) non-external _sb_instr_set_true_branch
0000000182b4c1e8 (__TEXT,__text) non-external _sb_instr_track
0000000182b4bd24 (__TEXT,__text) non-external _sb_malloc
0000000182b5be38 (__TEXT,__text) non-external _sb_modifier_requires_argument
0000000182b5675c (__TEXT,__text) non-external _sb_modifiers_iterate
0000000182b567e4 (__TEXT,__text) non-external _sb_modifiers_release
0000000182b6e7f4 (__TEXT,__text) non-external _sb_msgfilter_release
0000000182b6a2c4 (__TEXT,__text) non-external _sb_mutable_buffer_make_immutable
0000000182b6142c (__TEXT,__text) non-external _sb_mutable_buffer_new
0000000182b6a3b8 (__TEXT,__text) non-external _sb_mutable_buffer_release
0000000182b6883c (__TEXT,__text) non-external _sb_mutable_buffer_set_minimum_size
0000000182b688d4 (__TEXT,__text) non-external _sb_mutable_buffer_write
0000000182b6c900 (__TEXT,__text) non-external (was a private external) _sb_packbuff_free
0000000182b75394 (__TEXT,__text) non-external _sb_packbuff_free.cold.1
0000000182b6c998 (__TEXT,__text) non-external (was a private external) _sb_packbuff_get_bytes
0000000182b6c9a8 (__TEXT,__text) non-external (was a private external) _sb_packbuff_get_item_value_type
0000000182b6c9a0 (__TEXT,__text) non-external (was a private external) _sb_packbuff_get_size
0000000182b6c898 (__TEXT,__text) non-external (was a private external) _sb_packbuff_init_with_buffer
0000000182b6c894 (__TEXT,__text) non-external (was a private external) _sb_packbuff_new
0000000182b6c744 (__TEXT,__text) non-external (was a private external) _sb_packbuff_new_with_tag
0000000182b6cbc0 (__TEXT,__text) non-external _sb_packbuff_pack_item
0000000182b75454 (__TEXT,__text) non-external _sb_packbuff_pack_item.cold.1
0000000182b75480 (__TEXT,__text) non-external _sb_packbuff_pack_item.cold.2
0000000182b6cd3c (__TEXT,__text) non-external (was a private external) _sb_packbuff_pack_key_with_string_value
0000000182b6cd08 (__TEXT,__text) non-external (was a private external) _sb_packbuff_pack_string
0000000182b6cba8 (__TEXT,__text) non-external (was a private external) _sb_packbuff_pack_uint32
0000000182b6c7d4 (__TEXT,__text) non-external _sb_packbuff_realloc
0000000182b6ca40 (__TEXT,__text) non-external _sb_packbuff_unpack_item
0000000182b75428 (__TEXT,__text) non-external _sb_packbuff_unpack_item.cold.1
0000000182b6ce14 (__TEXT,__text) non-external (was a private external) _sb_packbuff_unpack_key_with_string_value
0000000182b6cb20 (__TEXT,__text) non-external (was a private external) _sb_packbuff_unpack_string
0000000182b6c9cc (__TEXT,__text) non-external (was a private external) _sb_packbuff_unpack_uint32
0000000182b5e738 (__TEXT,__text) non-external _sb_pattern_is_disjoint_with_regex
0000000182b57c80 (__TEXT,__text) non-external _sb_pattern_new
0000000182b56fe0 (__TEXT,__text) non-external _sb_pattern_prefix
0000000182b5c05c (__TEXT,__text) non-external _sb_pattern_regex
0000000182b581b4 (__TEXT,__text) non-external _sb_pattern_release
0000000182b5814c (__TEXT,__text) non-external _sb_pattern_retain
0000000182b5ef28 (__TEXT,__text) non-external _sb_pattern_serialize
0000000182b6e41c (__TEXT,__text) non-external _sb_pattern_var_release
0000000182b6e3b4 (__TEXT,__text) non-external _sb_pattern_var_retain
0000000182b6e538 (__TEXT,__text) non-external _sb_pattern_var_set_ordinal
0000000182b6e730 (__TEXT,__text) non-external _sb_pattern_varset_get_available_ordinal
0000000182b6af70 (__TEXT,__text) non-external _sb_pattern_varset_release
0000000182b6aea4 (__TEXT,__text) non-external _sb_pattern_varset_retain
0000000182b72a58 (__TEXT,__text) non-external _sb_policy_get_entry_point
0000000182b729a4 (__TEXT,__text) non-external _sb_policy_is_equivalent
0000000182b728b8 (__TEXT,__text) non-external _sb_policy_is_operation_supported
0000000182b72918 (__TEXT,__text) non-external _sb_policy_iterate_entry_points
0000000182b7250c (__TEXT,__text) non-external _sb_policy_new
0000000182b72800 (__TEXT,__text) non-external _sb_policy_release
0000000182b72734 (__TEXT,__text) non-external _sb_policy_set_entry_point
0000000182b61364 (__TEXT,__text) non-external _sb_profile_release
0000000182b6af0c (__TEXT,__text) non-external _sb_profile_set_pattern_variables
0000000182b6b09c (__TEXT,__text) non-external _sb_program_add_source_buffer
0000000182b73748 (__TEXT,__text) non-external _sb_program_add_source_path
0000000182b4be70 (__TEXT,__text) non-external _sb_program_source_alloc
0000000182b5f9ec (__TEXT,__text) non-external _sb_realloc
0000000182b5e5e4 (__TEXT,__text) non-external _sb_regex_release
0000000182b6088c (__TEXT,__text) non-external _sb_sbpl_parser_finalize
0000000182b4c480 (__TEXT,__text) non-external _sb_sbpl_parser_new
0000000182b60a9c (__TEXT,__text) non-external _sb_sbpl_parser_parse_string
0000000182b6110c (__TEXT,__text) non-external _sb_sbpl_parser_release
0000000182b5e4c0 (__TEXT,__text) non-external _sb_textbuf_get_length
0000000182b58e7c (__TEXT,__text) non-external _sb_textbuf_with_normalized_string_copy
0000000182b4b848 (__TEXT,__text) non-external _sb_textbuf_with_string_copy
0000000182b5e6a4 (__TEXT,__text) non-external _sb_textbuf_with_substring_copy
0000000182b62494 (__TEXT,__text) non-external _sb_transform_eliminate_common_subexpressions_profile
0000000182b73d20 (__TEXT,__text) non-external _sb_transform_expand_logical_conditions
0000000182b649dc (__TEXT,__text) non-external _sb_transform_expand_logical_conditions_profile
0000000182b6ff2c (__TEXT,__text) non-external _sb_transform_resolve_jumps_policy
0000000182b624f0 (__TEXT,__text) non-external _sb_transform_synthesize_logical_conditions_profile
0000000182b60fb0 (__TEXT,__text) non-external _sb_visitor_has_visited
0000000182b60c08 (__TEXT,__text) non-external _sb_visitor_new
0000000182b61068 (__TEXT,__text) non-external _sb_visitor_release
0000000182b8cd5b (__TEXT,__const) non-external _sbpl1_scm
0000000182b70e0c (__TEXT,__text) non-external _sbpl_enter_message_filter_context
0000000182b70ce8 (__TEXT,__text) non-external _sbpl_leave_message_filter_context
0000000182b8cafd (__TEXT,__const) non-external _sbpl_scm
0000000182b6094c (__TEXT,__text) non-external (was a private external) _scheme_call
0000000182b53e38 (__TEXT,__text) non-external (was a private external) _scheme_define
0000000182b611d0 (__TEXT,__text) non-external (was a private external) _scheme_deinit
0000000182b4d530 (__TEXT,__text) non-external (was a private external) _scheme_enable_full_backtraces
0000000182b6b93c (__TEXT,__text) non-external (was a private external) _scheme_error
0000000182b6bca4 (__TEXT,__text) non-external (was a private external) _scheme_errorf
0000000182b600d4 (__TEXT,__text) non-external (was a private external) _scheme_get_external_data
0000000182b60900 (__TEXT,__text) non-external (was a private external) _scheme_global
0000000182b4cf38 (__TEXT,__text) non-external (was a private external) _scheme_init_custom_alloc
0000000182b4cee8 (__TEXT,__text) non-external (was a private external) _scheme_init_new
0000000182b544b8 (__TEXT,__text) non-external (was a private external) _scheme_load_file
0000000182b4e13c (__TEXT,__text) non-external (was a private external) _scheme_load_string
0000000182b55738 (__TEXT,__text) non-external (was a private external) _scheme_push_string
0000000182b6bd14 (__TEXT,__text) non-external (was a private external) _scheme_quit
0000000182b4e110 (__TEXT,__text) non-external (was a private external) _scheme_set_error_port_string
0000000182b4e048 (__TEXT,__text) non-external (was a private external) _scheme_set_external_data
0000000182b4e050 (__TEXT,__text) non-external (was a private external) _scheme_set_output_port_string
0000000182b6b7c8 (__TEXT,__text) non-external (was a private external) _scheme_write_to_string
0000000182b5a0ec (__TEXT,__text) non-external _shallow_copy_node
0000000182b651f8 (__TEXT,__text) non-external _skip_redundant_instructions
                 (undefined) external _snprintf (from libSystem)
0000000182b67608 (__TEXT,__text) non-external _split_node
                 (undefined) external _sscanf (from libSystem)
0000000182b4de60 (__TEXT,__text) non-external _store_string
                 (undefined) external _strcasecmp (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcspn (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strerror (from libSystem)
0000000182b600cc (__TEXT,__text) non-external (was a private external) _string_length
0000000182b56fd8 (__TEXT,__text) non-external (was a private external) _string_value
                 (undefined) external _strlcat (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strnlen (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strsep (from libSystem)
                 (undefined) external _strspn (from libSystem)
                 (undefined) external _strstr (from libSystem)
                 (undefined) external _strtod (from libSystem)
                 (undefined) external _strtol (from libSystem)
0000000182b53eb4 (__TEXT,__text) non-external (was a private external) _symname
0000000182b62548 (__TEXT,__text) non-external _synthesize_logical_conditions
0000000182b73b18 (__TEXT,__text) non-external _synthesize_logical_conditions_policy
00000001eeec31b0 (__AUTH_CONST,__const) non-external _tests
0000000182b4f6a8 (__TEXT,__text) non-external _token
0000000182b60d88 (__TEXT,__text) non-external _traverse_postorder
0000000182b74980 (__TEXT,__text) non-external _type_mismatch_error
                 (undefined) external _ungetc (from libSystem)
0000000182b722e0 (__TEXT,__text) non-external _unicode_decompose
0000000182b59730 (__TEXT,__text) non-external _unicode_decomposeable
0000000182b72378 (__TEXT,__text) non-external _unicode_recursive_decompose
0000000182b900d5 (__TEXT,__const) non-external _utf_extrabytes
                 (undefined) external _uuid_unparse_lower (from libSystem)
0000000182b70890 (__TEXT,__text) non-external _variable_quote
                 (undefined) external _vasprintf (from libSystem)
                 (undefined) external _vm_deallocate (from libSystem)
                 (undefined) weak external _voucher_mach_msg_set (from libSystem)
0000000182b53f40 (__TEXT,__text) non-external _xpc2sc
                 (undefined) external _xpc_array_get_count (from libSystem)
                 (undefined) external _xpc_array_get_value (from libSystem)
                 (undefined) external _xpc_bool_get_value (from libSystem)
                 (undefined) external _xpc_dictionary_apply (from libSystem)
                 (undefined) external _xpc_dictionary_create (from libSystem)
                 (undefined) external _xpc_dictionary_get_value (from libSystem)
                 (undefined) external _xpc_dictionary_set_string (from libSystem)
                 (undefined) external _xpc_dictionary_set_value (from libSystem)
                 (undefined) external _xpc_get_type (from libSystem)
                 (undefined) external _xpc_int64_get_value (from libSystem)
                 (undefined) external _xpc_release (from libSystem)
                 (undefined) external _xpc_retain (from libSystem)
                 (undefined) external _xpc_string_get_string_ptr (from libSystem)
                 (undefined) external _xpc_uint64_get_value (from libSystem)
                 (undefined) external _xpc_uuid_get_bytes (from libSystem)
