
/Volumes/macOS Mojave/usr/lib/libiodbc.2.1.18.dylib (for architecture x86_64):
000000000000fa84 (__TEXT,__text) non-external _Done_iODBC
0002b553 (__TEXT,__text) non-external _utf8_len
0002b61c (__TEXT,__text) non-external _utf8towcs
         (undefined) external _vfprintf (from libSystem)
00035468 (__DATA,__common) non-external _wSystemDSN
         (undefined) external _wcschr (from libSystem)
         (undefined) external _wcscpy (from libSystem)
         (undefined) external _wcslen (from libSystem)
         (undefined) external _wcsncat (from libSystem)
         (undefined) external _wcsncpy (from libSystem)
         (undefined) external _wcstombs (from libSystem)
         (undefined) external dyld_stub_binder (from libSystem)
