000000018243ec10 (__DATA,__data) non-external _C
0000000180331050 (__TEXT,__text) external _reallocf
000000018033109c (__TEXT,__text) external _realpath
0000000180345dcc (__TEXT,__text) external _realpath$DARWIN_EXTSN
000000018244b5b0 (__DATA,__bss) non-external _realpath$DARWIN_EXTSN.rootdev
000000018244b5b4 (__DATA,__bss) non-external _realpath$DARWIN_EXTSN.rootdev_inited
000000018244b588 (__DATA,__bss) non-external _realpath.rootdev
000000018244b58c (__DATA,__bss) non-external _realpath.rootdev_inited
00000001802f3440 (__TEXT,__text) non-external _rec_rdelete
0000000180349b12 (__TEXT,__const) non-external _recargchar
0000000180349b7b (__TEXT,__const) non-external _recargstring
00000001803455c8 (__TEXT,__text) external _recv
000000018030e6ec (__TEXT,__text) external _recv$NOCANCEL
000000018033acc8 (__TEXT,__text) external _regcomp
000000018033ac40 (__TEXT,__text) external _regcomp_l
0000000180347a90 (__TEXT,__text) external _regerror
000000018033b3b4 (__TEXT,__text) external _regexec
000000018033ae30 (__TEXT,__text) external _regfree
00000001802e8ef4 (__TEXT,__text) external _register_printf_domain_function
00000001802e9004 (__TEXT,__text) non-external (was a private external) _register_printf_domain_render
00000001802e9118 (__TEXT,__text) external _register_printf_domain_render_std
000000018033ac1c (__TEXT,__text) external _regncomp
000000018033aa88 (__TEXT,__text) external _regncomp_l
000000018033b1bc (__TEXT,__text) external _regnexec
000000018033adb8 (__TEXT,__text) external _regwcomp
000000018033ad38 (__TEXT,__text) external _regwcomp_l
000000018033b3f8 (__TEXT,__text) external _regwexec
000000018033ad14 (__TEXT,__text) external _regwncomp
000000018033acec (__TEXT,__text) external _regwncomp_l
000000018033b3c8 (__TEXT,__text) external _regwnexec
0000000180315fec (__TEXT,__text) external _remove
00000001803316c4 (__TEXT,__text) external _remque
0000000180425c48 (__DATA_CONST,__const) non-external _rerrs
0000000180316048 (__TEXT,__text) external _rewind
00000001803014f4 (__TEXT,__text) external _rewinddir
0000000180328850 (__TEXT,__text) external _rindex
                 (undefined) external _rmdir (from libsystem_kernel)
0000000182440920 (__DATA,__bss) non-external _rng
0000000180313624 (__TEXT,__text) external _rpmatch
000000018243f8e0 (__DATA,__data) non-external _rptr
00000001803127b8 (__TEXT,__text) non-external _sappend
0000000182440b08 (__DATA,__bss) non-external _saved_categories
00000001802dfe1c (__TEXT,__text) external _sbrk
0000000182440730 (__DATA,__bss) non-external _sbrk_curbrk
0000000182440728 (__DATA,__bss) non-external _sbrk_needs_init
000000018243e540 (__DATA,__data) non-external _sbrk_region_size
0000000180301578 (__TEXT,__text) external _scandir
000000018033576c (__TEXT,__text) external _scandir_b
0000000180316124 (__TEXT,__text) external _scanf
00000001803161a4 (__TEXT,__text) external _scanf_l
0000000180301768 (__TEXT,__text) external _seed48
00000001824409c4 (__DATA,__bss) non-external _seed48.sseed
00000001803017d0 (__TEXT,__text) external _seekdir
                 (undefined) external _select$NOCANCEL (from libsystem_kernel)
                 (undefined) external _semaphore_create (from libsystem_kernel)
00000001803455d4 (__TEXT,__text) external _send
000000018030e6f8 (__TEXT,__text) external _send$NOCANCEL
0000000180349bd0 (__TEXT,__const) non-external _seps
00000001824407b0 (__DATA,__bss) non-external _seq
                 (undefined) external _setattrlist (from libsystem_kernel)
0000000180316234 (__TEXT,__text) external _setbuf
0000000180316248 (__TEXT,__text) external _setbuffer
0000000180331f50 (__TEXT,__text) external _setenv
00000001802eadbc (__TEXT,__text) external _sethostid
0000000180301828 (__TEXT,__text) external _sethostname
                 (undefined) external _setitimer (from libsystem_kernel)
0000000180316260 (__TEXT,__text) external _setlinebuf
000000018030a630 (__TEXT,__text) external _setlocale
0000000180301988 (__TEXT,__text) external _setmode
                 (undefined) external _setpgid (from libsystem_kernel)
00000001802eae04 (__TEXT,__text) external _setpgrp
                 (undefined) external _setpriority (from libsystem_kernel)
0000000180302048 (__TEXT,__text) external _setprogname
                 (undefined) external _setregid (from libsystem_kernel)
                 (undefined) external _setreuid (from libsystem_kernel)
00000001802eae48 (__TEXT,__text) external _setrgid
                 (undefined) external _setrlimit (from libsystem_kernel)
00000001802eae50 (__TEXT,__text) external _setruid
                 (undefined) external _setsid (from libsystem_kernel)
0000000180330f8c (__TEXT,__text) external _setstate
00000001802ea894 (__TEXT,__text) external _settimeofday
00000001802e31a8 (__TEXT,__text) external _setttyent
0000000180323694 (__TEXT,__text) non-external _settzname
00000001802e3cb4 (__TEXT,__text) external _setusershell
0000000180316270 (__TEXT,__text) external _setvbuf
000000018030f76c (__TEXT,__text) non-external _sflush_locked
0000000182440828 (__DATA,__bss) non-external _shells
000000018243f828 (__DATA,__data) non-external _sig_init_once
000000018244b520 (__DATA,__bss) non-external _sig_key
0000000180329584 (__TEXT,__text) non-external _sig_keycreate
000000018244b518 (__DATA,__bss) non-external _sig_keycreated
00000001802ea908 (__TEXT,__text) external _sigaction
00000001802e44bc (__TEXT,__text) external _sigaddset
00000001802df47c (__TEXT,__text) external _sigaltstack
00000001802df570 (__TEXT,__text) external _sigblock
00000001802e4518 (__TEXT,__text) external _sigdelset
00000001802e44a0 (__TEXT,__text) external _sigemptyset
00000001802e44ac (__TEXT,__text) external _sigfillset
00000001802df63c (__TEXT,__text) external _sighold
00000001802df6ec (__TEXT,__text) external _sigignore
00000001803020f4 (__TEXT,__text) external _siginterrupt
00000001802e4574 (__TEXT,__text) external _sigismember
00000001803021a0 (__TEXT,__text) external _signal
00000001803021a8 (__TEXT,__text) non-external _signal__
00000001803450c4 (__TEXT,__text) external _sigpause
00000001802df5ac (__TEXT,__text) external _sigpause$NOCANCEL
                 (undefined) external _sigprocmask (from libsystem_kernel)
00000001802df694 (__TEXT,__text) external _sigrelse
00000001802df758 (__TEXT,__text) external _sigset
00000001802df534 (__TEXT,__text) external _sigsetmask
                 (undefined) external _sigsuspend (from libsystem_kernel)
                 (undefined) external _sigsuspend$NOCANCEL (from libsystem_kernel)
00000001802df4c8 (__TEXT,__text) external _sigvec
00000001802df4d0 (__TEXT,__text) non-external _sigvec__
00000001802e397c (__TEXT,__text) non-external _skip
000000018243f9dc (__DATA,__data) external _skip
000000018030236c (__TEXT,__text) external _sl_add
0000000180302470 (__TEXT,__text) external _sl_find
00000001803023e4 (__TEXT,__text) external _sl_free
0000000180302318 (__TEXT,__text) external _sl_init
0000000180347660 (__TEXT,__text) non-external _sl_init.cold.1
000000018034767c (__TEXT,__text) non-external _sl_init.cold.2
00000001824409a0 (__DATA,__bss) non-external _slash
0000000180345284 (__TEXT,__text) external _sleep
000000018030224c (__TEXT,__text) external _sleep$NOCANCEL
00000001824407a8 (__DATA,__bss) non-external _slot
0000000180316434 (__TEXT,__text) external _snprintf
0000000180316484 (__TEXT,__text) external _snprintf_l
0000000180304824 (__TEXT,__text) external _snvis
000000018030e704 (__TEXT,__text) external _sockatmark
                 (undefined) external _socket (from libsystem_kernel)
                 (undefined) external _socketpair (from libsystem_kernel)
00000001803164b0 (__TEXT,__text) external _sprintf
0000000180316500 (__TEXT,__text) external _sprintf_l
0000000180330498 (__TEXT,__text) external _sradixsort
0000000180330af0 (__TEXT,__text) external _srand
00000001803022d8 (__TEXT,__text) external _srand48
0000000180330b00 (__TEXT,__text) external _sranddev
0000000180330b8c (__TEXT,__text) external _srandom
0000000180330d34 (__TEXT,__text) external _srandomdev
000000018031652c (__TEXT,__text) external _sscanf
000000018031657c (__TEXT,__text) external _sscanf_l
                 (undefined) external _stat (from libsystem_kernel)
00000001802e81d8 (__TEXT,__text) external _stat_with_subsystem
000000018243f8c0 (__DATA,__data) non-external _state
                 (undefined) external _statfs (from libsystem_kernel)
00000001802e01e8 (__TEXT,__text) external _statvfs
00000001802ea910 (__TEXT,__text) external _stpcpy
00000001802ea95c (__TEXT,__text) external _stpncpy
0000000180304b30 (__TEXT,__text) external _stravis
0000000180328980 (__TEXT,__text) external _strcasecmp
0000000180328878 (__TEXT,__text) external _strcasecmp_l
0000000180328bec (__TEXT,__text) external _strcasestr
0000000180328af8 (__TEXT,__text) external _strcasestr_l
00000001802ea9e0 (__TEXT,__text) external _strcat
                 (indirect) external _strchr (for __platform_strchr)
                 (indirect) external _strcmp (for __platform_strcmp)
0000000180328d18 (__TEXT,__text) external _strcoll
0000000180328c10 (__TEXT,__text) external _strcoll_l
                 (indirect) external _strcpy (for __platform_strcpy)
0000000180328d3c (__TEXT,__text) external _strcspn
0000000180328e0c (__TEXT,__text) external _strdup
0000000180304bc8 (__TEXT,__text) external _strenvisx
0000000180328fb8 (__TEXT,__text) external _strerror
0000000180328f40 (__TEXT,__text) external _strerror_r
0000000180339294 (__TEXT,__text) external _strfmon
0000000180339f7c (__TEXT,__text) external _strfmon_l
0000000180326888 (__TEXT,__text) external _strftime
0000000180325804 (__TEXT,__text) external _strftime_l
0000000182440830 (__DATA,__bss) non-external _strings
                 (indirect) external _strlcat (for __platform_strlcat)
                 (indirect) external _strlcpy (for __platform_strlcpy)
                 (indirect) external _strlen (for __platform_strlen)
0000000180329044 (__TEXT,__text) external _strmode
0000000180328ad4 (__TEXT,__text) external _strncasecmp
00000001803289a4 (__TEXT,__text) external _strncasecmp_l
00000001802eaa34 (__TEXT,__text) external _strncat
                 (indirect) external _strncmp (for __platform_strncmp)
                 (indirect) external _strncpy (for __platform_strncpy)
0000000180329188 (__TEXT,__text) external _strndup
                 (indirect) external _strnlen (for __platform_strnlen)
00000001803291f8 (__TEXT,__text) external _strnstr
0000000180304204 (__TEXT,__text) external _strnunvis
0000000180304080 (__TEXT,__text) external _strnunvisx
00000001803476f0 (__TEXT,__text) non-external _strnunvisx.cold.1
000000018034771c (__TEXT,__text) non-external _strnunvisx.cold.2
0000000180347748 (__TEXT,__text) non-external _strnunvisx.cold.3
0000000180304afc (__TEXT,__text) external _strnvis
0000000180304b90 (__TEXT,__text) external _strnvisx
0000000180329294 (__TEXT,__text) external _strpbrk
0000000180326a9c (__TEXT,__text) external _strptime
0000000180326ac0 (__TEXT,__text) external _strptime_l
00000001803292cc (__TEXT,__text) external _strrchr
00000001803049d4 (__TEXT,__text) external _strsenvisx
00000001803292f4 (__TEXT,__text) external _strsep
00000001803294b8 (__TEXT,__text) external _strsignal
0000000180329344 (__TEXT,__text) external _strsignal_r
0000000180304938 (__TEXT,__text) external _strsnvis
00000001803049a4 (__TEXT,__text) external _strsnvisx
00000001803295c8 (__TEXT,__text) external _strspn
                 (indirect) external _strstr (for __platform_strstr)
0000000180304880 (__TEXT,__text) external _strsvis
0000000180304964 (__TEXT,__text) external _strsvisx
00000001802f9c34 (__TEXT,__text) external _strtod
00000001802f8924 (__TEXT,__text) external _strtod_l
0000000180349078 (__TEXT,__const) non-external _strtod_l.fpi
000000018034908c (__TEXT,__const) non-external _strtod_l.fpinan
00000001802fbab0 (__TEXT,__text) external _strtof
00000001802fb9a4 (__TEXT,__text) external _strtof_l
000000018034912c (__TEXT,__const) non-external _strtof_l.fpi0
00000001802e4664 (__TEXT,__text) external _strtofflags
0000000180332888 (__TEXT,__text) external _strtoimax
0000000180332608 (__TEXT,__text) external _strtoimax_l
0000000180329718 (__TEXT,__text) external _strtok
000000018244b528 (__DATA,__bss) non-external _strtok.last
0000000180329694 (__TEXT,__text) external _strtok_r
0000000180332b2c (__TEXT,__text) external _strtol
00000001803328ac (__TEXT,__text) external _strtol_l
00000001803348f4 (__TEXT,__text) external _strtold
00000001803348f8 (__TEXT,__text) external _strtold_l
0000000180332dd0 (__TEXT,__text) external _strtoll
0000000180332b50 (__TEXT,__text) external _strtoll_l
0000000180310eec (__TEXT,__text) external _strtonum
0000000180332df4 (__TEXT,__text) external _strtoq
0000000180332e18 (__TEXT,__text) external _strtoq_l
0000000180333090 (__TEXT,__text) external _strtoul
0000000180332e1c (__TEXT,__text) external _strtoul_l
0000000180333328 (__TEXT,__text) external _strtoull
00000001803330b4 (__TEXT,__text) external _strtoull_l
00000001803335c0 (__TEXT,__text) external _strtoumax
000000018033334c (__TEXT,__text) external _strtoumax_l
00000001803335e4 (__TEXT,__text) external _strtouq
0000000180333608 (__TEXT,__text) external _strtouq_l
00000001803041f4 (__TEXT,__text) external _strunvis
00000001803041e4 (__TEXT,__text) external _strunvisx
0000000180304ac0 (__TEXT,__text) external _strvis
0000000180304b4c (__TEXT,__text) external _strvisx
00000001803299dc (__TEXT,__text) external _strxfrm
0000000180329724 (__TEXT,__text) external _strxfrm_l
000000018244b688 (__DATA,__common) external _suboptarg
0000000182440838 (__DATA,__bss) non-external _subsystem_root_path
00000001803042c8 (__TEXT,__text) external _svis
0000000180329a00 (__TEXT,__text) external _swab
0000000180316854 (__TEXT,__text) external _swprintf
00000001803168a4 (__TEXT,__text) external _swprintf_l
00000001803168d0 (__TEXT,__text) external _swscanf
0000000180316920 (__TEXT,__text) external _swscanf_l
00000001802e8890 (__TEXT,__text) external _sxprintf
00000001802e938c (__TEXT,__text) external _sxprintf_exec
00000001802eaa9c (__TEXT,__text) external _sync_volume_np
0000000180349abb (__TEXT,__const) non-external _syntax_error_str
0000000180424fc8 (__DATA_CONST,__const) external _sys_errlist
0000000180348d18 (__TEXT,__const) external _sys_nerr
00000001804256d0 (__DATA_CONST,__const) external _sys_siglist
00000001804255d0 (__DATA_CONST,__const) external _sys_signame
00000001803024cc (__TEXT,__text) external _sysconf
0000000180302b88 (__TEXT,__text) external _sysctl
0000000180302da8 (__TEXT,__text) external _sysctlbyname
0000000180302e78 (__TEXT,__text) external _sysctlnametomib
00000001803455e0 (__TEXT,__text) external _system
000000018033360c (__TEXT,__text) external _system$NOCANCEL
0000000180345310 (__TEXT,__text) external _tcdrain
00000001803033b8 (__TEXT,__text) external _tcdrain$NOCANCEL
0000000180303458 (__TEXT,__text) external _tcflow
00000001803033e4 (__TEXT,__text) external _tcflush
0000000180303104 (__TEXT,__text) external _tcgetattr
000000018030325c (__TEXT,__text) external _tcgetpgrp
00000001802ea1c8 (__TEXT,__text) external _tcgetsid
0000000180303330 (__TEXT,__text) external _tcsendbreak
0000000180303130 (__TEXT,__text) external _tcsetattr
0000000180303204 (__TEXT,__text) external _tcsetpgrp
0000000180333888 (__TEXT,__text) external _tdelete
0000000180302ef4 (__TEXT,__text) external _telldir
000000018031694c (__TEXT,__text) external _tempnam
00000001824407a0 (__DATA,__bss) non-external _tf
0000000180333988 (__TEXT,__text) external _tfind
00000001802e49f0 (__TEXT,__text) external _thread_stack_async_pcs
00000001802e49cc (__TEXT,__text) external _thread_stack_pcs
000000018243e630 (__DATA,__data) non-external _threadsafe
0000000180303508 (__TEXT,__text) external _time
0000000180324628 (__TEXT,__text) non-external _time2
000000018032479c (__TEXT,__text) external _time2posix
0000000180325114 (__TEXT,__text) non-external _time2sub
000000018032474c (__TEXT,__text) external _timegm
000000018032473c (__TEXT,__text) external _timelocal
0000000180324774 (__TEXT,__text) external _timeoff
0000000180303564 (__TEXT,__text) external _times
00000001803348fc (__TEXT,__text) external _timespec_get
0000000180323b38 (__TEXT,__text) non-external _timesub
000000018244b5c8 (__DATA,__common) external _timezone
00000001802f48e8 (__TEXT,__text) external _timingsafe_bcmp
00000001803490a0 (__TEXT,__const) non-external _tinytens
0000000182446d58 (__DATA,__bss) non-external _tm
0000000180316b10 (__TEXT,__text) external _tmpfile
0000000180316c54 (__TEXT,__text) external _tmpnam
0000000182442468 (__DATA,__bss) non-external _tmpnam.tmpcount
0000000182442470 (__DATA,__bss) non-external _tmpnam_buf
0000000180316d0c (__TEXT,__text) non-external _tmpnam_buf_allocate
000000018243f6d0 (__DATA,__data) non-external _tmpnam_buf_control
0000000180348d48 (__TEXT,__const) non-external _tmundef
00000001802e50fc (__TEXT,__text) external _toascii
00000001802e5104 (__TEXT,__text) external _tolower
00000001802e5d0c (__TEXT,__text) external _tolower_l
0000000182440978 (__DATA,__bss) non-external _toprec
0000000182440980 (__DATA,__bss) non-external _topreclen
00000001802e5140 (__TEXT,__text) external _toupper
00000001802e5d2c (__TEXT,__text) external _toupper_l
000000018030de04 (__TEXT,__text) external _towctrans
000000018030dd24 (__TEXT,__text) external _towctrans_l
00000001802e6224 (__TEXT,__text) external _towlower
00000001802e6834 (__TEXT,__text) external _towlower_l
00000001802e6260 (__TEXT,__text) external _towupper
00000001802e6854 (__TEXT,__text) external _towupper_l
0000000180324da4 (__TEXT,__text) non-external _transtime
000000018033e60c (__TEXT,__text) non-external _tre_add_tag_left
000000018033e548 (__TEXT,__text) non-external _tre_add_tag_right
000000018033c914 (__TEXT,__text) non-external _tre_add_tags
000000018033b5b0 (__TEXT,__text) external _tre_ast_new_catenation
000000018033b500 (__TEXT,__text) external _tre_ast_new_iter
000000018033b4b4 (__TEXT,__text) external _tre_ast_new_literal
000000018033b42c (__TEXT,__text) external _tre_ast_new_node
000000018033b564 (__TEXT,__text) external _tre_ast_new_union
000000018033e108 (__TEXT,__text) non-external _tre_ast_to_tnfa
000000018033b5fc (__TEXT,__text) external _tre_compile
000000018033e6d0 (__TEXT,__text) non-external _tre_copy_ast
000000018033ae34 (__TEXT,__text) external _tre_fill_pmatch
000000018033e200 (__TEXT,__text) external _tre_free
0000000180426410 (__DATA_CONST,__const) non-external _tre_macros
000000018033efec (__TEXT,__text) non-external _tre_make_trans
000000018033b200 (__TEXT,__text) non-external _tre_match
000000018033edd4 (__TEXT,__text) non-external _tre_match_empty
0000000180342d7c (__TEXT,__text) external _tre_mem_alloc_impl
0000000180342d1c (__TEXT,__text) external _tre_mem_destroy
0000000180342cf8 (__TEXT,__text) external _tre_mem_new_impl
000000018033e3a8 (__TEXT,__text) non-external _tre_merge_branches
0000000180344e58 (__TEXT,__text) non-external _tre_new_item
0000000180342e94 (__TEXT,__text) external _tre_parse
0000000180344ba0 (__TEXT,__text) non-external _tre_parse_bound
000000018033aff8 (__TEXT,__text) non-external _tre_reset_last_matched_branches
0000000180344db8 (__TEXT,__text) non-external _tre_search_cnames
000000018033ea34 (__TEXT,__text) non-external _tre_set_union
0000000180344f5c (__TEXT,__text) external _tre_stack_destroy
0000000180344ef0 (__TEXT,__text) external _tre_stack_new
0000000180344f98 (__TEXT,__text) external _tre_stack_num_objects
0000000180345084 (__TEXT,__text) non-external (was a private external) _tre_stack_pop_int
00000001803450a0 (__TEXT,__text) non-external (was a private external) _tre_stack_pop_voidptr
0000000180344fa8 (__TEXT,__text) non-external _tre_stack_push
0000000180344fa0 (__TEXT,__text) non-external (was a private external) _tre_stack_push_int
0000000180345080 (__TEXT,__text) non-external (was a private external) _tre_stack_push_voidptr
000000018033f314 (__TEXT,__text) external _tre_tnfa_run_backtrack
00000001803411b8 (__TEXT,__text) external _tre_tnfa_run_parallel
0000000180333ad0 (__TEXT,__text) non-external _trecurse
0000000180333a14 (__TEXT,__text) external _tsearch
0000000180303690 (__TEXT,__text) external _ttyname
00000001824409d0 (__DATA,__bss) non-external _ttyname_init
00000001824409d8 (__DATA,__bss) non-external _ttyname_key
000000018243f298 (__DATA,__data) non-external _ttyname_lock
00000001803037b0 (__TEXT,__text) external _ttyname_r
000000018030386c (__TEXT,__text) external _ttyslot
0000000180333abc (__TEXT,__text) external _twalk
000000018032496c (__TEXT,__text) non-external _typesequiv
00000001803227bc (__TEXT,__text) non-external _tzload
000000018243f7e8 (__DATA,__data) external _tzname
0000000180323174 (__TEXT,__text) non-external _tzparse
00000001803238cc (__TEXT,__text) external _tzset
00000001803224c8 (__TEXT,__text) external _tzsetwall
00000001803224d0 (__TEXT,__text) non-external _tzsetwall_basic
0000000180303874 (__TEXT,__text) external _ualarm
000000018243f658 (__DATA,__data) non-external _uglue
00000001803038f4 (__TEXT,__text) external _ulimit
                 (undefined) external _umask (from libsystem_kernel)
00000001802e4a84 (__TEXT,__text) external _uname
0000000180349ac8 (__TEXT,__const) non-external _unbound_variable_str
0000000180316d30 (__TEXT,__text) external _ungetc
0000000180316ff0 (__TEXT,__text) external _ungetwc
0000000180317074 (__TEXT,__text) external _ungetwc_l
0000000182440751 (__DATA,__bss) non-external _unix2003_mode
                 (undefined) external _unlink (from libsystem_kernel)
0000000180333d94 (__TEXT,__text) external _unlockpt
0000000180332000 (__TEXT,__text) external _unsetenv
0000000180303984 (__TEXT,__text) external _unvis
0000000180347698 (__TEXT,__text) non-external _unvis.cold.1
00000001803476c4 (__TEXT,__text) non-external _unvis.cold.2
00000001802e7b14 (__TEXT,__text) external _uselocale
0000000180345350 (__TEXT,__text) external _usleep
000000018030420c (__TEXT,__text) external _usleep$NOCANCEL
0000000182441a20 (__DATA,__bss) non-external _usual
0000000182440c50 (__DATA,__bss) non-external _usual_extra
000000018030425c (__TEXT,__text) external _utime
                 (undefined) external _utimes (from libsystem_kernel)
00000001802e99cc (__TEXT,__text) external _uuid_clear
00000001802e99d4 (__TEXT,__text) external _uuid_compare
00000001802e9a9c (__TEXT,__text) external _uuid_copy
00000001802e9e6c (__TEXT,__text) external _uuid_generate
00000001802e9dd4 (__TEXT,__text) external _uuid_generate_random
00000001802e9ab8 (__TEXT,__text) external _uuid_generate_time
0000000182440888 (__DATA,__bss) non-external _uuid_generate_time.has_init
0000000182440880 (__DATA,__bss) non-external _uuid_generate_time.node_id
00000001802e9e70 (__TEXT,__text) external _uuid_is_null
00000001802e9e98 (__TEXT,__text) external _uuid_pack
00000001802e9ee8 (__TEXT,__text) external _uuid_parse
00000001802ea040 (__TEXT,__text) external _uuid_unpack
00000001802ea160 (__TEXT,__text) external _uuid_unparse
00000001802ea090 (__TEXT,__text) external _uuid_unparse_lower
00000001802ea0f8 (__TEXT,__text) external _uuid_unparse_upper
0000000180425580 (__DATA_CONST,__const) non-external _validlist
000000018031726c (__TEXT,__text) external _vasprintf
0000000180317250 (__TEXT,__text) external _vasprintf_l
00000001802e8920 (__TEXT,__text) external _vasxprintf
00000001802e9418 (__TEXT,__text) external _vasxprintf_exec
00000001803173dc (__TEXT,__text) external _vdprintf
00000001803173c0 (__TEXT,__text) external _vdprintf_l
00000001802e8938 (__TEXT,__text) external _vdxprintf
00000001802e9434 (__TEXT,__text) external _vdxprintf_exec
0000000180347314 (__TEXT,__text) external _verr
0000000180347224 (__TEXT,__text) external _verrc
000000018034738c (__TEXT,__text) external _verrx
00000001802ea458 (__TEXT,__text) external _vfork
0000000180317478 (__TEXT,__text) external _vfprintf
0000000180317414 (__TEXT,__text) external _vfprintf_l
000000018031a8b0 (__TEXT,__text) external _vfscanf
000000018031c1e0 (__TEXT,__text) external _vfscanf_l
000000018031ef5c (__TEXT,__text) external _vfwprintf
000000018031c3b4 (__TEXT,__text) external _vfwprintf_l
000000018031f750 (__TEXT,__text) external _vfwscanf
000000018032114c (__TEXT,__text) external _vfwscanf_l
00000001802e8950 (__TEXT,__text) external _vfxprintf
00000001802e9450 (__TEXT,__text) external _vfxprintf_exec
0000000180304a00 (__TEXT,__text) external _vis
                 (undefined) external _vm_allocate (from libsystem_kernel)
                 (undefined) external _vm_region_64 (from libsystem_kernel)
00000001803211ec (__TEXT,__text) external _vprintf
0000000180321224 (__TEXT,__text) external _vprintf_l
0000000180321240 (__TEXT,__text) external _vscanf
00000001803212bc (__TEXT,__text) external _vscanf_l
0000000180321464 (__TEXT,__text) external _vsnprintf
0000000180321444 (__TEXT,__text) external _vsnprintf_l
0000000180321568 (__TEXT,__text) external _vsprintf
00000001803214a0 (__TEXT,__text) external _vsprintf_l
0000000180321690 (__TEXT,__text) external _vsscanf
0000000180321594 (__TEXT,__text) external _vsscanf_l
0000000180321894 (__TEXT,__text) external _vswprintf
00000001803216bc (__TEXT,__text) external _vswprintf_l
0000000180321a78 (__TEXT,__text) external _vswscanf
00000001803218c0 (__TEXT,__text) external _vswscanf_l
00000001802e8968 (__TEXT,__text) external _vsxprintf
00000001802e946c (__TEXT,__text) external _vsxprintf_exec
0000000180347530 (__TEXT,__text) external _vwarn
0000000180347484 (__TEXT,__text) external _vwarnc
00000001803475cc (__TEXT,__text) external _vwarnx
0000000180321aa4 (__TEXT,__text) external _vwprintf
0000000180321adc (__TEXT,__text) external _vwprintf_l
0000000180321af8 (__TEXT,__text) external _vwscanf
0000000180321b30 (__TEXT,__text) external _vwscanf_l
00000001802e898c (__TEXT,__text) external _vxprintf
00000001802e9490 (__TEXT,__text) external _vxprintf_exec
00000001803453a0 (__TEXT,__text) external _wait
00000001803054dc (__TEXT,__text) external _wait$NOCANCEL
00000001803054f0 (__TEXT,__text) external _wait3
                 (undefined) external _wait4 (from libsystem_kernel)
00000001803453b4 (__TEXT,__text) external _waitpid
0000000180305504 (__TEXT,__text) external _waitpid$NOCANCEL
0000000180347448 (__TEXT,__text) external _warn
0000000180347574 (__TEXT,__text) external _warnc
00000001803475a0 (__TEXT,__text) external _warnx
0000000180329a74 (__TEXT,__text) external _wcpcpy
0000000180329a94 (__TEXT,__text) external _wcpncpy
000000018030be90 (__TEXT,__text) external _wcrtomb
000000018030be50 (__TEXT,__text) external _wcrtomb_l
0000000180329bac (__TEXT,__text) external _wcscasecmp
0000000180329b04 (__TEXT,__text) external _wcscasecmp_l
0000000180329bd0 (__TEXT,__text) external _wcscat
0000000180329bf4 (__TEXT,__text) external _wcschr
0000000180329c14 (__TEXT,__text) external _wcscmp
000000018032a1d4 (__TEXT,__text) external _wcscoll
0000000180329c3c (__TEXT,__text) external _wcscoll_l
000000018032a1f8 (__TEXT,__text) external _wcscpy
000000018032ac80 (__TEXT,__text) external _wcscspn
000000018032acc4 (__TEXT,__text) external _wcsdup
000000018030c0d0 (__TEXT,__text) external _wcsftime
000000018030bee8 (__TEXT,__text) external _wcsftime_l
000000018032ad1c (__TEXT,__text) external _wcslcat
000000018032adc4 (__TEXT,__text) external _wcslcpy
000000018032ae24 (__TEXT,__text) external _wcslen
000000018032af00 (__TEXT,__text) external _wcsncasecmp
000000018032ae40 (__TEXT,__text) external _wcsncasecmp_l
000000018032af24 (__TEXT,__text) external _wcsncat
000000018032af74 (__TEXT,__text) external _wcsncmp
000000018032afb0 (__TEXT,__text) external _wcsncpy
000000018032b018 (__TEXT,__text) external _wcsnlen
000000018030c134 (__TEXT,__text) external _wcsnrtombs
000000018030c0f4 (__TEXT,__text) external _wcsnrtombs_l
000000018032b048 (__TEXT,__text) external _wcspbrk
000000018032b080 (__TEXT,__text) external _wcsrchr
000000018030c3d4 (__TEXT,__text) external _wcsrtombs
000000018030c388 (__TEXT,__text) external _wcsrtombs_l
000000018032b0a4 (__TEXT,__text) external _wcsspn
000000018032b480 (__TEXT,__text) external _wcsstr
000000018030c6a8 (__TEXT,__text) external _wcstod
000000018030c49c (__TEXT,__text) external _wcstod_l
000000018030c8d8 (__TEXT,__text) external _wcstof
000000018030c6cc (__TEXT,__text) external _wcstof_l
000000018030cb4c (__TEXT,__text) external _wcstoimax
000000018030c8fc (__TEXT,__text) external _wcstoimax_l
000000018032b504 (__TEXT,__text) external _wcstok
000000018030cdc0 (__TEXT,__text) external _wcstol
000000018030cb70 (__TEXT,__text) external _wcstol_l
000000018030cff0 (__TEXT,__text) external _wcstold
000000018030cde4 (__TEXT,__text) external _wcstold_l
000000018030d264 (__TEXT,__text) external _wcstoll
000000018030d014 (__TEXT,__text) external _wcstoll_l
000000018030d330 (__TEXT,__text) external _wcstombs
000000018030d288 (__TEXT,__text) external _wcstombs_l
000000018030d638 (__TEXT,__text) external _wcstoul
000000018030d3ec (__TEXT,__text) external _wcstoul_l
000000018030d8a8 (__TEXT,__text) external _wcstoull
000000018030d65c (__TEXT,__text) external _wcstoull_l
000000018030db18 (__TEXT,__text) external _wcstoumax
000000018030d8cc (__TEXT,__text) external _wcstoumax_l
000000018032b618 (__TEXT,__text) external _wcswidth
000000018032b588 (__TEXT,__text) external _wcswidth_l
000000018032b800 (__TEXT,__text) external _wcsxfrm
000000018032b63c (__TEXT,__text) external _wcsxfrm_l
000000018030dbf8 (__TEXT,__text) external _wctob
