00000001ebe038d0 (__DATA,__data) external _NDR_record
0000000180435718 (__TEXT,__text) external _rename
0000000180446e50 (__TEXT,__text) external _rename_ext
0000000180443958 (__TEXT,__text) external _renameat
0000000180446de4 (__TEXT,__text) external _renameatx_np
0000000180446e10 (__TEXT,__text) external _renamex_np
0000000180440a60 (__TEXT,__text) external _revoke
0000000180435784 (__TEXT,__text) external _rmdir
0000000180440a8c (__TEXT,__text) external _searchfs
0000000180436258 (__TEXT,__text) external _select
000000018043cc24 (__TEXT,__text) external _select$DARWIN_EXTSN
0000000180435fec (__TEXT,__text) external _select$DARWIN_EXTSN$NOCANCEL
0000000180435fb8 (__TEXT,__text) external _select$NOCANCEL
000000018043b4fc (__TEXT,__text) external _sem_close
000000018044c370 (__TEXT,__text) external _sem_destroy
000000018044c398 (__TEXT,__text) external _sem_getvalue
000000018044c3c0 (__TEXT,__text) external _sem_init
000000018043e7d0 (__TEXT,__text) external _sem_open
0000000180440ab8 (__TEXT,__text) external _sem_post
0000000180440ae4 (__TEXT,__text) external _sem_trywait
0000000180440b10 (__TEXT,__text) external _sem_unlink
0000000180440b3c (__TEXT,__text) external _sem_wait
000000018043f708 (__TEXT,__text) external _sem_wait$NOCANCEL
0000000180434b04 (__TEXT,__text) external _semaphore_create
0000000180434e90 (__TEXT,__text) external _semaphore_destroy
0000000180434c70 (__TEXT,__text) external _semaphore_signal
0000000180444654 (__TEXT,__text) external _semaphore_signal_all
0000000180431b90 (__TEXT,__text) external _semaphore_signal_all_trap
0000000180444658 (__TEXT,__text) external _semaphore_signal_thread
0000000180431b9c (__TEXT,__text) external _semaphore_signal_thread_trap
0000000180431b84 (__TEXT,__text) external _semaphore_signal_trap
0000000180436810 (__TEXT,__text) external _semaphore_timedwait
0000000180444660 (__TEXT,__text) external _semaphore_timedwait_signal
0000000180431bcc (__TEXT,__text) external _semaphore_timedwait_signal_trap
0000000180431bc0 (__TEXT,__text) external _semaphore_timedwait_trap
0000000180434c6c (__TEXT,__text) external _semaphore_wait
000000018044465c (__TEXT,__text) external _semaphore_wait_signal
0000000180431bb4 (__TEXT,__text) external _semaphore_wait_signal_trap
0000000180431ba8 (__TEXT,__text) external _semaphore_wait_trap
000000018043e854 (__TEXT,__text) external _semctl
0000000180440b68 (__TEXT,__text) external _semget
0000000180440b94 (__TEXT,__text) external _semop
000000018043e830 (__TEXT,__text) external _semsys
0000000180440bc0 (__TEXT,__text) external _sendfile
0000000180437740 (__TEXT,__text) external _sendmsg
0000000180436070 (__TEXT,__text) external _sendmsg$NOCANCEL
0000000180440bec (__TEXT,__text) external _sendmsg_x
0000000180436124 (__TEXT,__text) external _sendto
0000000180435f8c (__TEXT,__text) external _sendto$NOCANCEL
0000000180435340 (__TEXT,__text) external _setattrlist
0000000180440c18 (__TEXT,__text) external _setattrlistat
000000018044f890 (__TEXT,__text) external _setaudit
0000000180440c44 (__TEXT,__text) external _setaudit_addr
0000000180440c70 (__TEXT,__text) external _setauid
000000018043b2b0 (__TEXT,__text) external _setegid
000000018043b284 (__TEXT,__text) external _seteuid
000000018043afd8 (__TEXT,__text) external _setgid
0000000180440c9c (__TEXT,__text) external _setgroups
00000001804396d0 (__TEXT,__text) external _setiopolicy_np
000000018043a3ac (__TEXT,__text) external _setitimer
000000018043d5e0 (__TEXT,__text) external _setpgid
0000000180439e20 (__TEXT,__text) external _setpriority
0000000180440cc8 (__TEXT,__text) external _setprivexec
0000000180444564 (__TEXT,__text) external _setquota
000000018043f78c (__TEXT,__text) external _setregid
000000018043f7b8 (__TEXT,__text) external _setreuid
00000001804348c0 (__TEXT,__text) external _setrlimit
000000018043f7e4 (__TEXT,__text) external _setsgroups_np
000000018043a528 (__TEXT,__text) external _setsid
0000000180435f34 (__TEXT,__text) external _setsockopt
000000018043b004 (__TEXT,__text) external _setuid
000000018043f868 (__TEXT,__text) external _setwgroups_np
0000000180435638 (__TEXT,__text) external _setxattr
0000000180448b0c (__TEXT,__text) external _sfi_get_class_offtime
0000000180448b34 (__TEXT,__text) external _sfi_process_get_flags
0000000180448b20 (__TEXT,__text) external _sfi_process_set_flags
000000018043b554 (__TEXT,__text) external _sfi_set_class_offtime
000000018043e7f0 (__TEXT,__text) external _shm_open
0000000180440cf4 (__TEXT,__text) external _shm_unlink
0000000180440d20 (__TEXT,__text) external _shmat
000000018043f918 (__TEXT,__text) external _shmctl
0000000180440d4c (__TEXT,__text) external _shmdt
0000000180440d78 (__TEXT,__text) external _shmget
000000018043e874 (__TEXT,__text) external _shmsys
00000001804361d4 (__TEXT,__text) external _shutdown
0000000180440da4 (__TEXT,__text) external _sigpending
0000000180435290 (__TEXT,__text) external _sigprocmask
000000018044dde8 (__TEXT,__text) external _sigsuspend
00000001804392d0 (__TEXT,__text) external _sigsuspend$NOCANCEL
0000000180435e58 (__TEXT,__text) external _socket
0000000180440dd0 (__TEXT,__text) external _socket_delegate
0000000180436044 (__TEXT,__text) external _socketpair
00000001804485cc (__TEXT,__text) external _stackshot_capture_with_config
0000000180448510 (__TEXT,__text) external _stackshot_config_create
000000018044873c (__TEXT,__text) external _stackshot_config_dealloc
00000001804486e4 (__TEXT,__text) external _stackshot_config_dealloc_buffer
000000018044864c (__TEXT,__text) external _stackshot_config_get_stackshot_buffer
0000000180448658 (__TEXT,__text) external _stackshot_config_get_stackshot_size
0000000180448698 (__TEXT,__text) external _stackshot_config_set_delta_timestamp
00000001804485b0 (__TEXT,__text) external _stackshot_config_set_flags
00000001804486bc (__TEXT,__text) external _stackshot_config_set_pagetable_mask
0000000180448594 (__TEXT,__text) external _stackshot_config_set_pid
0000000180448674 (__TEXT,__text) external _stackshot_config_set_size_hint
000000018043d638 (__TEXT,__text) external _stat
000000018043d638 (__TEXT,__text) external _stat64
0000000180440e54 (__TEXT,__text) external _statfs
0000000180440e54 (__TEXT,__text) external _statfs64
00000001804471e0 (__TEXT,__text) external _statfs_ext
00000001ebe03940 (__DATA,__bss) non-external _supported
0000000180440e80 (__TEXT,__text) external _swapon
0000000180431c8c (__TEXT,__text) external _swtch
0000000180431c80 (__TEXT,__text) external _swtch_pri
00000001804376e8 (__TEXT,__text) external _symlink
0000000180440eac (__TEXT,__text) external _symlinkat
0000000180440ed8 (__TEXT,__text) external _sync
0000000180433fd8 (__TEXT,__text) external _syscall
0000000180431c98 (__TEXT,__text) external _syscall_thread_switch
0000000180448af8 (__TEXT,__text) external _system_get_sfi_window
0000000180440f04 (__TEXT,__text) external _system_override
000000018043b594 (__TEXT,__text) external _system_set_sfi_window
00000001ebe03948 (__DATA,__bss) non-external _system_version_compat_check_path_suffix
00000001ebe038f8 (__DATA,__common) external _system_version_compat_mode
000000018045df7c (__TEXT,__text) external _task_assign
000000018045e0a8 (__TEXT,__text) external _task_assign_default
000000018045c38c (__TEXT,__text) external _task_create
00000001804604b4 (__TEXT,__text) external _task_create_identity_token
000000018046077c (__TEXT,__text) external _task_dyld_process_info_notify_deregister
0000000180431aac (__TEXT,__text) external _task_dyld_process_info_notify_get
0000000180460398 (__TEXT,__text) external _task_dyld_process_info_notify_register
0000000180431c14 (__TEXT,__text) external _task_for_pid
000000018045f23c (__TEXT,__text) external _task_generate_corpse
000000018045e1c4 (__TEXT,__text) external _task_get_assignment
000000018045f768 (__TEXT,__text) external _task_get_dyld_image_infos
000000018045d9d0 (__TEXT,__text) external _task_get_emulation_vector
000000018045fff4 (__TEXT,__text) external _task_get_exc_guard_behavior
000000018043d0b0 (__TEXT,__text) external _task_get_exception_ports
0000000180460898 (__TEXT,__text) external _task_get_exception_ports_info
000000018045ee38 (__TEXT,__text) external _task_get_mach_voucher
00000001804321ac (__TEXT,__text) external _task_get_special_port
000000018045e4e0 (__TEXT,__text) external _task_get_state
0000000180460610 (__TEXT,__text) external _task_identity_token_get_task_port
0000000180432390 (__TEXT,__text) external _task_info
000000018045fe18 (__TEXT,__text) external _task_inspect
0000000180440f30 (__TEXT,__text) external _task_inspect_for_pid
000000018045f398 (__TEXT,__text) external _task_map_corpse_info
000000018045fcac (__TEXT,__text) external _task_map_corpse_info_64
0000000180460ecc (__TEXT,__text) external _task_map_kcdata_object_64
0000000180431c08 (__TEXT,__text) external _task_name_for_pid
000000018045d740 (__TEXT,__text) external _task_policy
000000018045d410 (__TEXT,__text) external _task_policy_get
0000000180434358 (__TEXT,__text) external _task_policy_set
000000018045ec94 (__TEXT,__text) external _task_purgable_info
0000000180440f5c (__TEXT,__text) external _task_read_for_pid
000000018045fb44 (__TEXT,__text) external _task_register_dyld_get_process_state
000000018045f500 (__TEXT,__text) external _task_register_dyld_image_infos
000000018045fa20 (__TEXT,__text) external _task_register_dyld_set_dyld_state
000000018045f8f8 (__TEXT,__text) external _task_register_dyld_shared_cache_image_info
0000000180461038 (__TEXT,__text) external _task_register_hardened_exception_handler
0000000180431d4c (__TEXT,__text) external _task_restartable_ranges_register
00000001804348f4 (__TEXT,__text) external _task_restartable_ranges_synchronize
000000018045c9f8 (__TEXT,__text) external _task_resume
000000018045eb84 (__TEXT,__text) external _task_resume2
000000018045d624 (__TEXT,__text) external _task_sample
0000000180444680 (__TEXT,__text) external _task_self_
0000000180431b54 (__TEXT,__text) external _task_self_trap
0000000180460c84 (__TEXT,__text) external _task_set_corpse_forking_behavior
000000018045d8b8 (__TEXT,__text) external _task_set_emulation
000000018045db5c (__TEXT,__text) external _task_set_emulation_vector
0000000180460138 (__TEXT,__text) external _task_set_exc_guard_behavior
000000018043bf48 (__TEXT,__text) external _task_set_exception_ports
000000018043c3d0 (__TEXT,__text) external _task_set_info
000000018045efa4 (__TEXT,__text) external _task_set_mach_voucher
000000018045e8d4 (__TEXT,__text) external _task_set_phys_footprint_limit
000000018045e320 (__TEXT,__text) external _task_set_policy
000000018044f388 (__TEXT,__text) external _task_set_port_space
000000018045dc8c (__TEXT,__text) external _task_set_ras_pc
0000000180432ddc (__TEXT,__text) external _task_set_special_port
000000018045e728 (__TEXT,__text) external _task_set_state
000000018045c8e8 (__TEXT,__text) external _task_suspend
000000018045ea28 (__TEXT,__text) external _task_suspend2
000000018045ce64 (__TEXT,__text) external _task_swap_exception_ports
000000018045f0c0 (__TEXT,__text) external _task_swap_mach_voucher
000000018045c50c (__TEXT,__text) external _task_terminate
0000000180460da0 (__TEXT,__text) external _task_test_async_upcall_propagation
0000000180460b68 (__TEXT,__text) external _task_test_sync_upcall
000000018043ac10 (__TEXT,__text) external _task_threads
000000018045f634 (__TEXT,__text) external _task_unregister_dyld_image_infos
000000018045dda4 (__TEXT,__text) external _task_zone_info
00000001804489d4 (__TEXT,__text) external _terminate_with_payload
000000018043c390 (__TEXT,__text) external _terminate_with_reason
0000000180461a38 (__TEXT,__text) external _thread_abort
0000000180461b48 (__TEXT,__text) external _thread_abort_safely
00000001804633c8 (__TEXT,__text) external _thread_adopt_exception_handler
0000000180462560 (__TEXT,__text) external _thread_assign
000000018046267c (__TEXT,__text) external _thread_assign_default
0000000180462e98 (__TEXT,__text) external _thread_convert_thread_state
000000018045cb08 (__TEXT,__text) external _thread_create
000000018045cc64 (__TEXT,__text) external _thread_create_running
0000000180461c58 (__TEXT,__text) external _thread_depress_abort
0000000180434dbc (__TEXT,__text) external _thread_destruct_special_reply_port
000000018046278c (__TEXT,__text) external _thread_get_assignment
000000018043b5a8 (__TEXT,__text) external _thread_get_exception_ports
00000001804630f8 (__TEXT,__text) external _thread_get_exception_ports_info
0000000180462a94 (__TEXT,__text) external _thread_get_mach_voucher
0000000180446be0 (__TEXT,__text) external _thread_get_register_pointer_values
0000000180461d68 (__TEXT,__text) external _thread_get_special_port
0000000180431c50 (__TEXT,__text) external _thread_get_special_reply_port
000000018043ad90 (__TEXT,__text) external _thread_get_state
0000000180439334 (__TEXT,__text) external _thread_info
0000000180436d8c (__TEXT,__text) external _thread_policy
000000018043b030 (__TEXT,__text) external _thread_policy_get
0000000180437f0c (__TEXT,__text) external _thread_policy_set
0000000180461928 (__TEXT,__text) external _thread_resume
0000000180462328 (__TEXT,__text) external _thread_sample
0000000180431b48 (__TEXT,__text) external _thread_self_trap
0000000180440f88 (__TEXT,__text) external _thread_selfcounts
000000018043820c (__TEXT,__text) external _thread_set_exception_ports
0000000180462c00 (__TEXT,__text) external _thread_set_mach_voucher
0000000180446b50 (__TEXT,__text) external _thread_set_policy
0000000180461ed4 (__TEXT,__text) external _thread_set_special_port
000000018046166c (__TEXT,__text) external _thread_set_state
0000000180461818 (__TEXT,__text) external _thread_suspend
0000000180462000 (__TEXT,__text) external _thread_swap_exception_ports
0000000180462d1c (__TEXT,__text) external _thread_swap_mach_voucher
00000001804372d0 (__TEXT,__text) external _thread_switch
0000000180461168 (__TEXT,__text) external _thread_terminate
0000000180451434 (__TEXT,__text) external _thread_wire
0000000180465e88 (__TEXT,__const) non-external _times_now
0000000180440fb4 (__TEXT,__text) external _tracker_action
0000000180440fe0 (__TEXT,__text) external _truncate
0000000180437278 (__TEXT,__text) external _umask
000000018044100c (__TEXT,__text) external _undelete
0000000180441038 (__TEXT,__text) external _ungraftdmg
0000000180435b38 (__TEXT,__text) external _unlink
000000018043b86c (__TEXT,__text) external _unlinkat
000000018043e130 (__TEXT,__text) external _unmount
0000000180441064 (__TEXT,__text) external _usrctl
0000000180446a94 (__TEXT,__text) external _utimensat
00000001804372a4 (__TEXT,__text) external _utimes
0000000180441090 (__TEXT,__text) external _vfs_purge
0000000180433e84 (__TEXT,__text) external _vm_allocate
0000000180451560 (__TEXT,__text) external _vm_allocate_cpm
0000000180463b40 (__TEXT,__text) external _vm_behavior_set
0000000180434c74 (__TEXT,__text) external _vm_copy
0000000180433f74 (__TEXT,__text) external _vm_deallocate
00000001804634f8 (__TEXT,__text) external _vm_inherit
00000001ee410738 (__DATA_DIRTY,__common) external _vm_kernel_page_mask
00000001ee410740 (__DATA_DIRTY,__common) external _vm_kernel_page_shift
00000001ee410730 (__DATA_DIRTY,__common) external _vm_kernel_page_size
0000000180463c60 (__TEXT,__text) external _vm_machine_attribute
000000018043dd9c (__TEXT,__text) external _vm_map
0000000180463db8 (__TEXT,__text) external _vm_map_page_query
0000000180463a20 (__TEXT,__text) external _vm_msync
00000001ee410750 (__DATA_DIRTY,__common) external _vm_page_mask
00000001ee410744 (__DATA_DIRTY,__common) external _vm_page_shift
00000001ee410758 (__DATA_DIRTY,__common) external _vm_page_size
00000001804410bc (__TEXT,__text) external _vm_pressure_monitor
000000018043657c (__TEXT,__text) external _vm_protect
00000001804354a4 (__TEXT,__text) external _vm_purgable_control
000000018043b2dc (__TEXT,__text) external _vm_read
0000000180463618 (__TEXT,__text) external _vm_read_list
00000001804638d0 (__TEXT,__text) external _vm_read_overwrite
0000000180439edc (__TEXT,__text) external _vm_region_64
000000018043a10c (__TEXT,__text) external _vm_region_recurse_64
0000000180434138 (__TEXT,__text) external _vm_remap
000000018044f794 (__TEXT,__text) external _vm_remap_new
0000000180451304 (__TEXT,__text) external _vm_wire
000000018046379c (__TEXT,__text) external _vm_write
0000000180435204 (__TEXT,__text) external _voucher_mach_msg_adopt
0000000180432d4c (__TEXT,__text) external _voucher_mach_msg_clear
00000001804351ec (__TEXT,__text) external _voucher_mach_msg_revert
00000001804328fc (__TEXT,__text) external _voucher_mach_msg_set
00000001ebe038d8 (__DATA,__common) external _vprintf_stderr_func
000000018043e054 (__TEXT,__text) external _wait4
00000001804410e8 (__TEXT,__text) external _waitid
000000018043fb14 (__TEXT,__text) external _waitid$NOCANCEL
000000018044e474 (__TEXT,__text) external _work_interval_copy_port
000000018043a8d8 (__TEXT,__text) external _work_interval_create
000000018044e25c (__TEXT,__text) external _work_interval_destroy
000000018044decc (__TEXT,__text) external _work_interval_get_flags_from_port
000000018043aa20 (__TEXT,__text) external _work_interval_instance_alloc
000000018044e038 (__TEXT,__text) external _work_interval_instance_clear
000000018044e1dc (__TEXT,__text) external _work_interval_instance_finish
000000018044e04c (__TEXT,__text) external _work_interval_instance_free
000000018044e100 (__TEXT,__text) external _work_interval_instance_get_complexity
000000018044e0d0 (__TEXT,__text) external _work_interval_instance_get_deadline
000000018044e0e8 (__TEXT,__text) external _work_interval_instance_get_finish
000000018043aa88 (__TEXT,__text) external _work_interval_instance_get_id
000000018044e0b8 (__TEXT,__text) external _work_interval_instance_get_start
000000018044e118 (__TEXT,__text) external _work_interval_instance_get_telemetry_data
000000018044e0b0 (__TEXT,__text) external _work_interval_instance_set_complexity
000000018044e0a0 (__TEXT,__text) external _work_interval_instance_set_deadline
000000018044e0a8 (__TEXT,__text) external _work_interval_instance_set_finish
000000018044e098 (__TEXT,__text) external _work_interval_instance_set_start
000000018044e134 (__TEXT,__text) external _work_interval_instance_start
000000018044e184 (__TEXT,__text) external _work_interval_instance_update
000000018044e3c8 (__TEXT,__text) external _work_interval_join
000000018044e420 (__TEXT,__text) external _work_interval_join_port
000000018044e460 (__TEXT,__text) external _work_interval_leave
000000018044df5c (__TEXT,__text) external _work_interval_notify
000000018044dfd8 (__TEXT,__text) external _work_interval_notify_simple
00000001804356ec (__TEXT,__text) external _write
0000000180435a9c (__TEXT,__text) external _write$NOCANCEL
0000000180435a44 (__TEXT,__text) external _writev
000000018043fb40 (__TEXT,__text) external _writev$NOCANCEL
