00000001eada60b0 (__DATA,__data) non-external _C
000000018038b554 (__TEXT,__text) external _gmtime_r
000000018038b69c (__TEXT,__text) non-external _gmtload
00000001eada7208 (__DATA,__bss) non-external _gmtptr
000000018038b560 (__TEXT,__text) non-external _gmtsub
00000001803e1d1b (__TEXT,__const) non-external _gnuoptchar
00000001eada7a38 (__DATA,__bss) non-external _gottoprec
0000000180388be8 (__TEXT,__text) external _grantpt
00000001803c6c40 (__TEXT,__text) non-external _grouping_init
00000001803c9d10 (__TEXT,__text) non-external _grouping_init
00000001803c6d08 (__TEXT,__text) non-external _grouping_print
00000001803c9e4c (__TEXT,__text) non-external _grouping_print
00000001803b7a54 (__TEXT,__text) non-external _handler
00000001eada7c90 (__DATA,__bss) non-external _handlers
00000001803aeb80 (__TEXT,__text) non-external _hash4
00000001803ad780 (__TEXT,__text) non-external _hash_access
00000001803acf7c (__TEXT,__text) non-external _hash_close
00000001803d1e3c (__TEXT,__text) external _hash_create
00000001803acfc0 (__TEXT,__text) non-external _hash_delete
00000001803d1ed0 (__TEXT,__text) external _hash_destroy
00000001803ad044 (__TEXT,__text) non-external _hash_fd
00000001803ad08c (__TEXT,__text) non-external _hash_get
00000001803d215c (__TEXT,__text) external _hash_purge
00000001803ad0f4 (__TEXT,__text) non-external _hash_put
00000001803d1fa8 (__TEXT,__text) external _hash_search
00000001803ad180 (__TEXT,__text) non-external _hash_seq
00000001803d21e0 (__TEXT,__text) external _hash_stats
00000001803ad3c4 (__TEXT,__text) non-external _hash_sync
00000001803d20dc (__TEXT,__text) external _hash_traverse
00000001803cf76c (__TEXT,__text) external _hcreate
00000001803ace64 (__TEXT,__text) non-external _hdestroy
00000001803cf844 (__TEXT,__text) external _hdestroy
000000018037196c (__TEXT,__text) external _heapsort
000000018039428c (__TEXT,__text) external _heapsort_b
00000001803e02b8 (__TEXT,__const) non-external _hexdigit
00000001803e4cf7 (__TEXT,__cstring) non-external _hexlist
00000001eada73b0 (__DATA,__bss) non-external _hexpreg
                 (undefined) external _host_get_clock_service (from libsystem_kernel)
00000001803cf8cc (__TEXT,__text) external _hsearch
00000001eada7c00 (__DATA,__bss) non-external _htable
00000001eada7c08 (__DATA,__bss) non-external _htablesize
                 (undefined) external _if_nametoindex (from libsystem_info)
00000001803e1d06 (__TEXT,__const) non-external _illoptchar
00000001803e1dbc (__TEXT,__const) non-external _illoptstring
00000001803cf9a4 (__TEXT,__text) external _imaxabs
00000001803cf9b0 (__TEXT,__text) external _imaxdiv
                 (indirect) external _index (for __platform_strchr)
000000018037771c (__TEXT,__text) external _inet_addr
00000001803776c8 (__TEXT,__text) external _inet_aton
00000001803c013c (__TEXT,__text) external _inet_lnaof
00000001803c0168 (__TEXT,__text) external _inet_makeaddr
00000001803c01a8 (__TEXT,__text) external _inet_net_ntop
00000001803c0694 (__TEXT,__text) external _inet_net_pton
00000001803de264 (__TEXT,__text) non-external _inet_net_pton.cold.1
00000001803de290 (__TEXT,__text) non-external _inet_net_pton.cold.2
00000001803de2bc (__TEXT,__text) non-external _inet_net_pton.cold.3
00000001803e1939 (__TEXT,__const) non-external _inet_net_pton_ipv4.digits
00000001803e1928 (__TEXT,__const) non-external _inet_net_pton_ipv4.xdigits
00000001803e1944 (__TEXT,__const) non-external _inet_net_pton_ipv6.xdigits_l
00000001803e1955 (__TEXT,__const) non-external _inet_net_pton_ipv6.xdigits_u
00000001803c0dd8 (__TEXT,__text) external _inet_neta
00000001803c0ea8 (__TEXT,__text) external _inet_netof
00000001803c0ed4 (__TEXT,__text) external _inet_network
00000001803c1380 (__TEXT,__text) external _inet_nsap_addr
00000001803c14ec (__TEXT,__text) external _inet_nsap_ntoa
000000018039295c (__TEXT,__text) external _inet_ntoa
00000001eada7160 (__DATA,__bss) non-external _inet_ntoa.ret
00000001803777a8 (__TEXT,__text) external _inet_ntop
000000018037781c (__TEXT,__text) external _inet_ntop4
0000000180383e5c (__TEXT,__text) external _inet_ntop6
0000000180376354 (__TEXT,__text) external _inet_pton
00000001803766e0 (__TEXT,__text) non-external _inet_pton4
00000001803e1ec9 (__TEXT,__const) non-external _inet_pton4.digits
00000001803e1ed4 (__TEXT,__const) non-external _inet_pton6.xdigits_l
00000001803e1ee5 (__TEXT,__const) non-external _inet_pton6.xdigits_u
000000018039c02c (__TEXT,__text) non-external _infinity
000000018039c2e8 (__TEXT,__text) non-external _initMPFromDigits
00000001803e03b8 (__TEXT,__const) non-external _initMPFromDigits.powersOfTen
000000018039d9a0 (__TEXT,__text) non-external _init_perm
000000018039f658 (__TEXT,__text) non-external _initshells
00000001803d11f0 (__TEXT,__text) external _initstate
000000018037bd08 (__TEXT,__text) non-external _insertionsort
000000018037bdc4 (__TEXT,__text) non-external _insertionsort
00000001803cf9dc (__TEXT,__text) external _insque
                 (undefined) external _ioctl (from libsystem_kernel)
00000001803a1f1c (__TEXT,__text) external _isalnum
00000001803a272c (__TEXT,__text) external _isalnum_l
00000001803a1f94 (__TEXT,__text) external _isalpha
00000001803a27a8 (__TEXT,__text) external _isalpha_l
00000001803a1f10 (__TEXT,__text) external _isascii
000000018037904c (__TEXT,__text) external _isatty
00000001803a2004 (__TEXT,__text) external _isblank
00000001803a281c (__TEXT,__text) external _isblank_l
00000001803a2074 (__TEXT,__text) external _iscntrl
00000001803a2890 (__TEXT,__text) external _iscntrl_l
00000001803925bc (__TEXT,__text) external _isdigit
00000001803a2904 (__TEXT,__text) external _isdigit_l
00000001803a20e4 (__TEXT,__text) external _isgraph
00000001803a2978 (__TEXT,__text) external _isgraph_l
00000001803a2428 (__TEXT,__text) external _ishexnumber
00000001803a29ec (__TEXT,__text) external _ishexnumber_l
00000001803a2498 (__TEXT,__text) external _isideogram
00000001803a2a60 (__TEXT,__text) external _isideogram_l
00000001803a2154 (__TEXT,__text) external _islower
00000001803a2ad4 (__TEXT,__text) external _islower_l
00000001803a2508 (__TEXT,__text) external _isnumber
00000001803a2b48 (__TEXT,__text) external _isnumber_l
00000001803a2578 (__TEXT,__text) external _isphonogram
00000001803a2bbc (__TEXT,__text) external _isphonogram_l
00000001803a21c4 (__TEXT,__text) external _isprint
00000001803a2c30 (__TEXT,__text) external _isprint_l
00000001803a2234 (__TEXT,__text) external _ispunct
00000001803a2ca4 (__TEXT,__text) external _ispunct_l
00000001803a25e8 (__TEXT,__text) external _isrune
00000001803a2d18 (__TEXT,__text) external _isrune_l
                 (undefined) external _issetugid (from libsystem_kernel)
00000001803a22a4 (__TEXT,__text) external _isspace
00000001803a2da4 (__TEXT,__text) external _isspace_l
00000001803a265c (__TEXT,__text) external _isspecial
00000001803a2e18 (__TEXT,__text) external _isspecial_l
0000000180388e84 (__TEXT,__text) non-external _istrsenvisx
00000001803ddff0 (__TEXT,__text) non-external _istrsenvisx.cold.1
00000001803de01c (__TEXT,__text) non-external _istrsenvisx.cold.2
00000001803de048 (__TEXT,__text) non-external _istrsenvisx.cold.3
00000001803de074 (__TEXT,__text) non-external _istrsenvisx.cold.4
0000000180388e04 (__TEXT,__text) non-external _istrsenvisxl
00000001803a2314 (__TEXT,__text) external _isupper
00000001803a2e8c (__TEXT,__text) external _isupper_l
00000001803a2fb4 (__TEXT,__text) external _iswalnum
00000001803a34f8 (__TEXT,__text) external _iswalnum_l
00000001803a302c (__TEXT,__text) external _iswalpha
00000001803a3574 (__TEXT,__text) external _iswalpha_l
00000001803a3b44 (__TEXT,__text) external _iswascii
00000001803a3ad4 (__TEXT,__text) external _iswblank
00000001803a3df4 (__TEXT,__text) external _iswblank_l
00000001803a309c (__TEXT,__text) external _iswcntrl
00000001803a35e8 (__TEXT,__text) external _iswcntrl_l
00000001803a310c (__TEXT,__text) external _iswctype
00000001803a365c (__TEXT,__text) external _iswctype_l
00000001803a3188 (__TEXT,__text) external _iswdigit
00000001803a36f4 (__TEXT,__text) external _iswdigit_l
00000001803a31b0 (__TEXT,__text) external _iswgraph
00000001803a3768 (__TEXT,__text) external _iswgraph_l
00000001803a3b50 (__TEXT,__text) external _iswhexnumber
00000001803a3e68 (__TEXT,__text) external _iswhexnumber_l
00000001803a3bc0 (__TEXT,__text) external _iswideogram
00000001803a3edc (__TEXT,__text) external _iswideogram_l
00000001803a3220 (__TEXT,__text) external _iswlower
00000001803a37dc (__TEXT,__text) external _iswlower_l
00000001803a3c30 (__TEXT,__text) external _iswnumber
00000001803a3f50 (__TEXT,__text) external _iswnumber_l
00000001803a3ca0 (__TEXT,__text) external _iswphonogram
00000001803a3fc4 (__TEXT,__text) external _iswphonogram_l
00000001803a3290 (__TEXT,__text) external _iswprint
00000001803a3850 (__TEXT,__text) external _iswprint_l
00000001803a3300 (__TEXT,__text) external _iswpunct
00000001803a38c4 (__TEXT,__text) external _iswpunct_l
00000001803a3d10 (__TEXT,__text) external _iswrune
00000001803a4038 (__TEXT,__text) external _iswrune_l
00000001803a3370 (__TEXT,__text) external _iswspace
00000001803a3938 (__TEXT,__text) external _iswspace_l
00000001803a3d84 (__TEXT,__text) external _iswspecial
00000001803a40c4 (__TEXT,__text) external _iswspecial_l
00000001803a33e0 (__TEXT,__text) external _iswupper
00000001803a39ac (__TEXT,__text) external _iswupper_l
00000001803a3450 (__TEXT,__text) external _iswxdigit
00000001803a3a20 (__TEXT,__text) external _iswxdigit_l
0000000180392594 (__TEXT,__text) external _isxdigit
00000001803a2f00 (__TEXT,__text) external _isxdigit_l
00000001803e2df3 (__TEXT,__cstring) non-external _itoa64
00000001803b65bc (__TEXT,__text) external _jrand48
00000001e6b647d8 (__DATA_CONST,__const) external _kOSThermalNotificationPressureLevelName
                 (undefined) external _kill (from libsystem_kernel)
0000000180392bc8 (__TEXT,__text) external _killpg
00000001803d287c (__TEXT,__text) external _l64a
00000001eada7c50 (__DATA,__bss) non-external _l64a.buf
00000001803cfa00 (__TEXT,__text) external _labs
00000001803bac0c (__TEXT,__text) non-external _largesearch
00000001eada7100 (__DATA,__bss) non-external _last_default_tzload_mtimespec
00000001ecead610 (__DATA_DIRTY,__data) non-external _lastglue
000000018039c8cc (__TEXT,__text) external _lchflags
0000000180383a00 (__TEXT,__text) external _lchmod
00000001eada7000 (__DATA,__bss) non-external _lcl_TZname
00000001eceadaf0 (__DATA_DIRTY,__data) non-external _lcl_notify
00000001eceadb08 (__DATA_DIRTY,__data) non-external (was a private external) _lcl_rwlock
00000001eceaea58 (__DATA_DIRTY,__bss) non-external _lclptr
00000001803b6600 (__TEXT,__text) external _lcong48
00000001803cfa0c (__TEXT,__text) external _ldiv
00000001803cfb04 (__TEXT,__text) external _lfind
00000001803c62ac (__TEXT,__text) non-external _lflush
00000001eada7ce0 (__DATA,__common) non-external (was a private external) _libc_hooks
00000001803a8284 (__TEXT,__text) external _libc_set_introspection_hooks
00000001803dd34c (__TEXT,__text) non-external _libc_set_introspection_hooks.cold.1
00000001803dd378 (__TEXT,__text) non-external _libc_set_introspection_hooks.cold.2
00000001803dd3a4 (__TEXT,__text) non-external _libc_set_introspection_hooks.cold.3
00000001803dd3d0 (__TEXT,__text) non-external _libc_set_introspection_hooks.cold.4
00000001803c10d8 (__TEXT,__text) external _link_addr
00000001803c1278 (__TEXT,__text) external _link_ntoa
00000001eada7b38 (__DATA,__bss) non-external _link_ntoa.obuf
00000001803cfa38 (__TEXT,__text) external _llabs
00000001803cfa44 (__TEXT,__text) external _lldiv
00000001803c2124 (__TEXT,__text) non-external _loadCat
000000018038626c (__TEXT,__text) non-external _loadlocale
0000000180398704 (__TEXT,__text) external _localeconv
000000018036993c (__TEXT,__text) external _localeconv_l
00000001803de1a8 (__TEXT,__text) non-external _localeconv_l.cold.1
00000001803de1c4 (__TEXT,__text) non-external _localeconv_l.cold.2
0000000180372180 (__TEXT,__text) external _localtime
00000001eceaea30 (__DATA_DIRTY,__bss) non-external _localtime_key
00000001eceaea10 (__DATA_DIRTY,__bss) non-external _localtime_key_error
0000000180372270 (__TEXT,__text) non-external _localtime_key_init
00000001ecead828 (__DATA_DIRTY,__data) non-external _localtime_once
000000018036be10 (__TEXT,__text) external _localtime_r
0000000180399630 (__TEXT,__text) external _lockf
00000001803b6644 (__TEXT,__text) external _lockf$NOCANCEL
00000001803a8018 (__TEXT,__text) external _login
00000001803a6b6c (__TEXT,__text) external _login_tty
00000001803a80d0 (__TEXT,__text) external _logout
00000001803a6bf0 (__TEXT,__text) external _logwtmp
00000001803bac60 (__TEXT,__text) non-external _lookup_substsearch
00000001803de0a0 (__TEXT,__text) non-external _lookup_substsearch.cold.1
00000001803b6724 (__TEXT,__text) external _lrand48
00000001803cfa70 (__TEXT,__text) external _lsearch
                 (undefined) external _lseek (from libsystem_kernel)
                 (undefined) external _lstat (from libsystem_kernel)
00000001803a7594 (__TEXT,__text) external _lstatx_np
000000018037c420 (__TEXT,__text) non-external _lstatx_syscall
0000000180391904 (__TEXT,__text) external _lutimes
                 (undefined) external _mach_absolute_time (from libsystem_kernel)
                 (undefined) external _mach_approximate_time (from libsystem_kernel)
                 (undefined) external _mach_boottime_usec (from libsystem_kernel)
                 (undefined) external _mach_continuous_approximate_time (from libsystem_kernel)
                 (undefined) external _mach_continuous_time (from libsystem_kernel)
                 (undefined) external _mach_error_string (from libsystem_kernel)
                 (undefined) external _mach_host_self (from libsystem_kernel)
                 (undefined) external _mach_port_deallocate (from libsystem_kernel)
                 (undefined) external _mach_task_self_ (from libsystem_kernel)
                 (undefined) external _mach_timebase_info (from libsystem_kernel)
                 (undefined) external _malloc_type_calloc (from libsystem_malloc)
                 (undefined) external _malloc_type_malloc (from libsystem_malloc)
                 (undefined) external _malloc_type_realloc (from libsystem_malloc)
00000001e6b64350 (__DATA_CONST,__const) non-external _mapping
000000018038f7d4 (__TEXT,__text) external _mblen
000000018038f854 (__TEXT,__text) external _mblen_l
00000001803a7ac0 (__TEXT,__text) external _mbmb
00000001eada79f0 (__DATA,__bss) non-external _mbmb.warn_depreciated
                 (undefined) external _mbr_gid_to_uuid (from libsystem_info)
                 (undefined) external _mbr_uid_to_uuid (from libsystem_info)
                 (undefined) external _mbr_uuid_to_id (from libsystem_info)
000000018038f8d4 (__TEXT,__text) external _mbrlen
00000001803bcd0c (__TEXT,__text) external _mbrlen_l
00000001803a7a04 (__TEXT,__text) external _mbrrune
00000001eada79ec (__DATA,__bss) non-external _mbrrune.warn_depreciated
00000001803925f8 (__TEXT,__text) external _mbrtowc
000000018038ff18 (__TEXT,__text) external _mbrtowc_l
00000001803a7960 (__TEXT,__text) external _mbrune
00000001eada79e8 (__DATA,__bss) non-external _mbrune.warn_depreciated
00000001803bcd88 (__TEXT,__text) external _mbsinit
00000001803bcd58 (__TEXT,__text) external _mbsinit_l
00000001803bcdf8 (__TEXT,__text) external _mbsnrtowcs
00000001803bcdbc (__TEXT,__text) external _mbsnrtowcs_l
00000001803bcfb0 (__TEXT,__text) external _mbsrtowcs
00000001803bcf68 (__TEXT,__text) external _mbsrtowcs_l
00000001803896fc (__TEXT,__text) external _mbstowcs
00000001803bcffc (__TEXT,__text) external _mbstowcs_l
0000000180389494 (__TEXT,__text) external _mbtowc
000000018036b29c (__TEXT,__text) external _mbtowc_l
                 (indirect) external _memccpy (for __platform_memccpy)
                 (indirect) external _memchr (for __platform_memchr)
                 (indirect) external _memcmp (for __platform_memcmp)
                 (indirect) external _memcpy (for __platform_memmove)
000000018037a48c (__TEXT,__text) external _memmem
                 (indirect) external _memmove (for __platform_memmove)
                 (indirect) external _memset (for __platform_memset)
                 (indirect) external _memset_pattern16 (for __platform_memset_pattern16)
                 (indirect) external _memset_pattern4 (for __platform_memset_pattern4)
                 (indirect) external _memset_pattern8 (for __platform_memset_pattern8)
0000000180366260 (__TEXT,__text) external _memset_s
00000001803c0120 (__TEXT,__text) non-external _memstream_close
00000001803c008c (__TEXT,__text) non-external _memstream_seek
00000001803de20c (__TEXT,__text) non-external _memstream_seek.cold.1
00000001803de238 (__TEXT,__text) non-external _memstream_seek.cold.2
00000001803bff44 (__TEXT,__text) non-external _memstream_update
00000001803de1e0 (__TEXT,__text) non-external _memstream_update.cold.1
00000001803bff78 (__TEXT,__text) non-external _memstream_write
000000018037b584 (__TEXT,__text) external _mergesort
000000018038a788 (__TEXT,__text) external _mergesort_b
                 (undefined) external _mkdirat (from libsystem_kernel)
00000001803a740c (__TEXT,__text) external _mkdirx_np
00000001803929bc (__TEXT,__text) external _mkdtemp
00000001803c41ac (__TEXT,__text) external _mkdtempat_np
00000001803a73f8 (__TEXT,__text) external _mkfifox_np
00000001803c4128 (__TEXT,__text) external _mkostemp
00000001803c3fe4 (__TEXT,__text) external _mkostemps
00000001803c4068 (__TEXT,__text) external _mkostempsat_np
0000000180373720 (__TEXT,__text) external _mkpath_np
00000001803a6d08 (__TEXT,__text) external _mkpathat_np
0000000180390140 (__TEXT,__text) external _mkstemp
00000001803c424c (__TEXT,__text) external _mkstemp_dprotected_np
0000000180383a4c (__TEXT,__text) external _mkstemps
00000001803c40dc (__TEXT,__text) external _mkstempsat_np
0000000180379ff4 (__TEXT,__text) external _mktemp
000000018037c474 (__TEXT,__text) external _mktime
                 (undefined) external _mmap (from libsystem_kernel)
00000001803e1bfc (__TEXT,__const) non-external _mon_lengths
00000001803a1ef8 (__TEXT,__text) external _monaddition
00000001803a1f08 (__TEXT,__text) external _moncontrol
00000001803a1f0c (__TEXT,__text) external _moncount
00000001803a1ef0 (__TEXT,__text) external _moninit
00000001803a1f04 (__TEXT,__text) external _monitor
00000001803a1f00 (__TEXT,__text) external _monoutput
00000001803a1efc (__TEXT,__text) external _monreset
00000001803a1ef4 (__TEXT,__text) external _monstartup
00000001803c2e58 (__TEXT,__text) non-external _moreglue
00000001803b0604 (__TEXT,__text) non-external _mpool_bkt
00000001803b08bc (__TEXT,__text) external _mpool_close
00000001803b0554 (__TEXT,__text) external _mpool_filter
00000001803b06fc (__TEXT,__text) external _mpool_get
00000001803b0564 (__TEXT,__text) external _mpool_new
00000001803dd85c (__TEXT,__text) non-external _mpool_new.cold.1
00000001803b0458 (__TEXT,__text) external _mpool_open
00000001803b08a0 (__TEXT,__text) external _mpool_put
00000001803b0918 (__TEXT,__text) external _mpool_sync
00000001803b098c (__TEXT,__text) non-external _mpool_write
00000001803b6758 (__TEXT,__text) external _mrand48
00000001803a8b64 (__TEXT,__text) non-external _mswap
000000018039c494 (__TEXT,__text) non-external _multiplyByFiveToTheN
                 (undefined) external _munmap (from libsystem_kernel)
00000001eada79b0 (__DATA,__bss) non-external _namebuf
0000000180372c90 (__TEXT,__text) external _nanosleep
000000018038d004 (__TEXT,__text) external _nanosleep$NOCANCEL
00000001eceae930 (__DATA_DIRTY,__bss) non-external _new_categories
00000001803a6538 (__TEXT,__text) external _new_printf_comp
0000000180394870 (__TEXT,__text) external _new_printf_domain
000000018037895c (__TEXT,__text) external _newlocale
00000001eceadaa8 (__DATA_DIRTY,__data) non-external _next
00000001803b43e4 (__TEXT,__text) non-external _nextcomp
00000001eada7a00 (__DATA,__bss) non-external _nextcomp.lmsgverb
00000001eada7a20 (__DATA,__bss) non-external _nextcomp.state
00000001803bd478 (__TEXT,__text) external _nextwctype
00000001803bd300 (__TEXT,__text) external _nextwctype_l
000000018039fe50 (__TEXT,__text) external _nftw
00000001803b678c (__TEXT,__text) external _nice
0000000180397ad0 (__TEXT,__text) external _nl_langinfo
0000000180397af4 (__TEXT,__text) external _nl_langinfo_l
00000001eada7b20 (__DATA,__bss) non-external _nl_langinfo_l.csym
00000001803e1d6f (__TEXT,__const) non-external _noarg
00000001803e18d8 (__TEXT,__const) non-external _nogrouping
00000001eada6284 (__DATA,__data) non-external _nonopt_end
00000001eada6288 (__DATA,__data) non-external _nonopt_start
                 (undefined) external _notify_cancel (from libsystem_notify)
                 (undefined) external _notify_check (from libsystem_notify)
000000018036c334 (__TEXT,__text) non-external _notify_check_tz
                 (undefined) external _notify_monitor_file (from libsystem_notify)
                 (undefined) external _notify_post (from libsystem_notify)
                 (undefined) external _notify_register_check (from libsystem_notify)
000000018036d89c (__TEXT,__text) non-external _notify_register_tz
00000001803e1bd8 (__TEXT,__const) non-external _notify_tz_name
00000001803b684c (__TEXT,__text) external _nrand48
00000001803aa1a4 (__TEXT,__text) non-external _nroot
00000001eada60f8 (__DATA,__data) non-external _numempty
00000001eada6160 (__DATA,__data) non-external _numempty
00000001803e1420 (__TEXT,__const) non-external _nv
00000001803b986c (__TEXT,__text) external _nvis
00000001803cc5fc (__TEXT,__text) external _offtime
00000001e6b64338 (__DATA_CONST,__const) non-external _okshells
                 (undefined) external _open$NOCANCEL (from libsystem_kernel)
                 (undefined) external _open_dprotected_np (from libsystem_kernel)
00000001803bfe0c (__TEXT,__text) external _open_memstream
00000001803a5b78 (__TEXT,__text) external _open_with_subsystem
00000001803cc130 (__TEXT,__text) external _open_wmemstream
                 (undefined) external _openat$NOCANCEL (from libsystem_kernel)
00000001803a6d80 (__TEXT,__text) external _opendev
00000001803a6f68 (__TEXT,__text) non-external _opendev_namebuf_init
00000001eada60c8 (__DATA,__data) non-external _opendev_namebuf_once
00000001803b6890 (__TEXT,__text) external _opendir
00000001803b6c48 (__TEXT,__text) non-external _opendir_compar
0000000180388a80 (__TEXT,__text) external _openpty
0000000180398cb8 (__TEXT,__text) external _openx_np
00000001eada7cb8 (__DATA,__common) external _optarg
00000001eada5d48 (__DATA,__data) external _opterr
00000001eada5fac (__DATA,__data) external _optind
00000001eada7ccc (__DATA,__common) external _optopt
00000001eada7d10 (__DATA,__common) external _optreset
                 (undefined) external _os_log_pack_send_and_compose (from libsystem_trace)
                 (undefined) external _os_log_simple_type_from_asl (from libsystem_platform)
                 (undefined) external _os_log_type_enabled (from libsystem_trace)
                 (undefined) external _os_unfair_lock_lock (from libsystem_platform)
                 (undefined) external _os_unfair_lock_lock_with_options (from libsystem_platform)
                 (undefined) external _os_unfair_lock_unlock (from libsystem_platform)
000000018039c18c (__TEXT,__text) non-external _overflow
00000001eceaea38 (__DATA_DIRTY,__bss) non-external _p5s
00000001803e19b1 (__TEXT,__const) non-external _padchar
00000001eada7301 (__DATA,__bss) non-external _parse_error
0000000180391ee4 (__TEXT,__text) non-external _parse_long_options
00000001eceb02c8 (__DATA_DIRTY,__bss) non-external _parsed
                 (undefined) external _pathconf (from libsystem_kernel)
00000001803dc2f0 (__TEXT,__text) external _pause
00000001803b6c5c (__TEXT,__text) external _pause$NOCANCEL
00000001803b7088 (__TEXT,__text) external _pclose
000000018039d390 (__TEXT,__text) non-external _permute
00000001803cf558 (__TEXT,__text) non-external _permute_args
00000001803de424 (__TEXT,__text) external _perror
00000001eada7a40 (__DATA,__bss) non-external _pfp
                 (undefined) external _pipe (from libsystem_kernel)
00000001eada6290 (__DATA,__data) non-external _place
00000001803b6c94 (__TEXT,__text) external _popen
00000001803dc5d4 (__TEXT,__text) external _popen$DARWIN_EXTSN
00000001803cc6b0 (__TEXT,__text) external _posix2time
0000000180388bbc (__TEXT,__text) external _posix_openpt
                 (undefined) external _posix_spawn (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_addclose (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_adddup2 (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_addinherit_np (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_destroy (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_init (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_destroy (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_init (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_setflags (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_setsigdefault (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_setsigmask (from libsystem_kernel)
0000000180396ea8 (__TEXT,__text) external _posix_spawnp
00000001803e0918 (__TEXT,__const) non-external _powersOf10_CoarseBinary64
00000001803e04f0 (__TEXT,__const) non-external _powersOf10_Float
00000001803e03e0 (__TEXT,__const) non-external _powersOfFive
                 (undefined) external _pread$NOCANCEL (from libsystem_kernel)
0000000180392638 (__TEXT,__text) external _printf
00000001eada7c70 (__DATA,__bss) non-external _printf_info_queue
00000001803c60fc (__TEXT,__text) external _printf_l
00000001803b413c (__TEXT,__text) non-external _printfmt
                 (undefined) external _proc_name (from libsystem_kernel)
00000001803b71d8 (__TEXT,__text) external _psignal
00000001803d2e78 (__TEXT,__text) external _psort
00000001803d396c (__TEXT,__text) external _psort_b
000000018039276c (__TEXT,__text) external _psort_r
                 (undefined) external _pthread_fchdir_np (from libsystem_pthread)
                 (undefined) external _pthread_get_stackaddr_np (from libsystem_pthread)
                 (undefined) external _pthread_get_stacksize_np (from libsystem_pthread)
                 (undefined) external _pthread_getspecific (from libsystem_pthread)
                 (undefined) external _pthread_key_create (from libsystem_pthread)
                 (undefined) external _pthread_key_init_np (from libsystem_pthread)
                 (undefined) external _pthread_kill (from libsystem_pthread)
                 (undefined) external _pthread_mutex_destroy (from libsystem_pthread)
                 (undefined) external _pthread_mutex_init (from libsystem_pthread)
                 (undefined) external _pthread_mutex_lock (from libsystem_pthread)
                 (undefined) external _pthread_mutex_trylock (from libsystem_pthread)
                 (undefined) external _pthread_mutex_unlock (from libsystem_pthread)
                 (undefined) external _pthread_once (from libsystem_pthread)
                 (undefined) external _pthread_rwlock_destroy (from libsystem_pthread)
                 (undefined) external _pthread_rwlock_rdlock (from libsystem_pthread)
                 (undefined) external _pthread_rwlock_unlock (from libsystem_pthread)
                 (undefined) external _pthread_rwlock_wrlock (from libsystem_pthread)
                 (undefined) external _pthread_self (from libsystem_pthread)
                 (undefined) external _pthread_setspecific (from libsystem_pthread)
                 (undefined) external _pthread_sigmask (from libsystem_pthread)
                 (undefined) external _pthread_stack_frame_decode_np (from libsystem_pthread)
                 (undefined) external _pthread_testcancel (from libsystem_pthread)
00000001803d27a8 (__TEXT,__text) external _ptsname
00000001803de9cc (__TEXT,__text) non-external _ptsname.cold.1
00000001803dea00 (__TEXT,__text) non-external _ptsname.cold.2
00000001803dd1e8 (__TEXT,__text) non-external _ptsname.cold.3
00000001eada7c48 (__DATA,__bss) non-external _ptsname_buffer_specific_key
00000001eada7c40 (__DATA,__bss) non-external _ptsname_once
00000001803d2844 (__TEXT,__text) non-external _ptsname_once_init
00000001803dea00 (__TEXT,__text) non-external _ptsname_once_init.cold.1
0000000180388c00 (__TEXT,__text) external _ptsname_r
00000001803971a8 (__TEXT,__text) external _putc
00000001803c613c (__TEXT,__text) external _putc_unlocked
0000000180392694 (__TEXT,__text) external _putchar
00000001803c6180 (__TEXT,__text) external _putchar_unlocked
00000001803cfbf8 (__TEXT,__text) external _putenv
0000000180391b4c (__TEXT,__text) external _puts
00000001803d7e30 (__TEXT,__text) external _pututxline
00000001803c61d0 (__TEXT,__text) external _putw
00000001803c6240 (__TEXT,__text) external _putwc
00000001803c6264 (__TEXT,__text) external _putwc_l
00000001803c6268 (__TEXT,__text) external _putwchar
00000001803c6298 (__TEXT,__text) external _putwchar_l
00000001eada7438 (__DATA,__bss) non-external _pw_size
                 (undefined) external _pwrite$NOCANCEL (from libsystem_kernel)
0000000180371908 (__TEXT,__text) external _qsort
0000000180372758 (__TEXT,__text) external _qsort_b
0000000180372790 (__TEXT,__text) external _qsort_r
00000001803a41e0 (__TEXT,__text) external _querylocale
00000001803e0e60 (__TEXT,__const) non-external _querylocale_mapping
00000001803d70fc (__TEXT,__text) external _quick_exit
00000001803d0284 (__TEXT,__text) non-external _r_sort_a
00000001eada7c1c (__DATA,__bss) non-external _r_sort_a.bmin
00000001eada7c10 (__DATA,__bss) non-external _r_sort_a.count
00000001eada7c18 (__DATA,__bss) non-external _r_sort_a.nc
00000001eada7c20 (__DATA,__bss) non-external _r_sort_a_count
00000001803d0d70 (__TEXT,__text) non-external _r_sort_b
