0000000184391f08 (__DATA,__data) non-external _C
0000000180266c50 (__TEXT,__text) non-external _rec_rdelete
00000001802bdaea (__TEXT,__const) non-external _recargchar
00000001802bdb53 (__TEXT,__const) non-external _recargstring
00000001802b963c (__TEXT,__text) external _recv
0000000180281d10 (__TEXT,__text) external _recv$NOCANCEL
00000001802aebfc (__TEXT,__text) external _regcomp
00000001802aeb74 (__TEXT,__text) external _regcomp_l
00000001802bbb04 (__TEXT,__text) external _regerror
00000001802af2ec (__TEXT,__text) external _regexec
00000001802aed68 (__TEXT,__text) external _regfree
000000018025c6a4 (__TEXT,__text) external _register_printf_domain_function
000000018025c7b8 (__TEXT,__text) non-external (was a private external) _register_printf_domain_render
000000018025c8cc (__TEXT,__text) external _register_printf_domain_render_std
00000001802aeb50 (__TEXT,__text) external _regncomp
00000001802ae9bc (__TEXT,__text) external _regncomp_l
00000001802af0f4 (__TEXT,__text) external _regnexec
00000001802aecf0 (__TEXT,__text) external _regwcomp
00000001802aec6c (__TEXT,__text) external _regwcomp_l
00000001802af330 (__TEXT,__text) external _regwexec
00000001802aec48 (__TEXT,__text) external _regwncomp
00000001802aec20 (__TEXT,__text) external _regwncomp_l
00000001802af300 (__TEXT,__text) external _regwnexec
00000001802895cc (__TEXT,__text) external _remove
00000001802a5510 (__TEXT,__text) external _remque
000000018237d488 (__DATA_CONST,__const) non-external _rerrs
0000000180289628 (__TEXT,__text) external _rewind
0000000180274d18 (__TEXT,__text) external _rewinddir
000000018029c678 (__TEXT,__text) external _rindex
                 (undefined) external _rmdir (from libsystem_kernel)
0000000184393c10 (__DATA,__bss) non-external _rng
0000000180286c04 (__TEXT,__text) external _rpmatch
0000000184392bd0 (__DATA,__data) non-external _rptr
0000000180285d84 (__TEXT,__text) non-external _sappend
0000000184393df8 (__DATA,__bss) non-external _saved_categories
00000001802535d8 (__TEXT,__text) external _sbrk
0000000184393a20 (__DATA,__bss) non-external _sbrk_curbrk
0000000184393a18 (__DATA,__bss) non-external _sbrk_needs_init
0000000184391838 (__DATA,__data) non-external _sbrk_region_size
0000000180274d9c (__TEXT,__text) external _scandir
00000001802a9604 (__TEXT,__text) external _scandir_b
0000000180289704 (__TEXT,__text) external _scanf
0000000180289784 (__TEXT,__text) external _scanf_l
0000000180274f8c (__TEXT,__text) external _seed48
0000000184393cb4 (__DATA,__bss) non-external _seed48.sseed
0000000180274ff4 (__TEXT,__text) external _seekdir
                 (undefined) external _select$NOCANCEL (from libsystem_kernel)
                 (undefined) external _semaphore_create (from libsystem_kernel)
00000001802b9648 (__TEXT,__text) external _send
0000000180281d1c (__TEXT,__text) external _send$NOCANCEL
00000001802bdba8 (__TEXT,__const) non-external _seps
0000000184393aa0 (__DATA,__bss) non-external _seq
                 (undefined) external _setattrlist (from libsystem_kernel)
0000000180289818 (__TEXT,__text) external _setbuf
000000018028982c (__TEXT,__text) external _setbuffer
00000001802a5da0 (__TEXT,__text) external _setenv
000000018025e580 (__TEXT,__text) external _sethostid
000000018027504c (__TEXT,__text) external _sethostname
                 (undefined) external _setitimer (from libsystem_kernel)
0000000180289844 (__TEXT,__text) external _setlinebuf
000000018027da54 (__TEXT,__text) external _setlocale
00000001802751ac (__TEXT,__text) external _setmode
                 (undefined) external _setpgid (from libsystem_kernel)
000000018025e5c8 (__TEXT,__text) external _setpgrp
                 (undefined) external _setpriority (from libsystem_kernel)
0000000180275878 (__TEXT,__text) external _setprogname
                 (undefined) external _setregid (from libsystem_kernel)
                 (undefined) external _setreuid (from libsystem_kernel)
000000018025e60c (__TEXT,__text) external _setrgid
                 (undefined) external _setrlimit (from libsystem_kernel)
000000018025e614 (__TEXT,__text) external _setruid
                 (undefined) external _setsid (from libsystem_kernel)
00000001802a4dd4 (__TEXT,__text) external _setstate
000000018025e058 (__TEXT,__text) external _settimeofday
0000000180256988 (__TEXT,__text) external _setttyent
0000000180296fe4 (__TEXT,__text) non-external _settzname
0000000180257494 (__TEXT,__text) external _setusershell
0000000180289854 (__TEXT,__text) external _setvbuf
0000000180282d90 (__TEXT,__text) non-external _sflush_locked
0000000184393b18 (__DATA,__bss) non-external _shells
0000000184392b20 (__DATA,__data) non-external _sig_init_once
000000018439e810 (__DATA,__bss) non-external _sig_key
000000018029d438 (__TEXT,__text) non-external _sig_keycreate
000000018439e808 (__DATA,__bss) non-external _sig_keycreated
000000018025e0cc (__TEXT,__text) external _sigaction
0000000180257c9c (__TEXT,__text) external _sigaddset
0000000180252c38 (__TEXT,__text) external _sigaltstack
0000000180252d2c (__TEXT,__text) external _sigblock
0000000180257cf8 (__TEXT,__text) external _sigdelset
0000000180257c80 (__TEXT,__text) external _sigemptyset
0000000180257c8c (__TEXT,__text) external _sigfillset
0000000180252df8 (__TEXT,__text) external _sighold
0000000180252ea8 (__TEXT,__text) external _sigignore
0000000180275924 (__TEXT,__text) external _siginterrupt
0000000180257d54 (__TEXT,__text) external _sigismember
00000001802759d0 (__TEXT,__text) external _signal
00000001802759d8 (__TEXT,__text) non-external _signal__
00000001802b9138 (__TEXT,__text) external _sigpause
0000000180252d68 (__TEXT,__text) external _sigpause$NOCANCEL
                 (undefined) external _sigprocmask (from libsystem_kernel)
0000000180252e50 (__TEXT,__text) external _sigrelse
0000000180252f14 (__TEXT,__text) external _sigset
0000000180252cf0 (__TEXT,__text) external _sigsetmask
                 (undefined) external _sigsuspend (from libsystem_kernel)
                 (undefined) external _sigsuspend$NOCANCEL (from libsystem_kernel)
0000000180252c84 (__TEXT,__text) external _sigvec
0000000180252c8c (__TEXT,__text) non-external _sigvec__
000000018025715c (__TEXT,__text) non-external _skip
0000000184392ccc (__DATA,__data) external _skip
0000000180275b9c (__TEXT,__text) external _sl_add
0000000180275ca0 (__TEXT,__text) external _sl_find
0000000180275c14 (__TEXT,__text) external _sl_free
0000000180275b48 (__TEXT,__text) external _sl_init
00000001802bb6d4 (__TEXT,__text) non-external _sl_init.cold.1
00000001802bb6f0 (__TEXT,__text) non-external _sl_init.cold.2
0000000184393c90 (__DATA,__bss) non-external _slash
00000001802b92f8 (__TEXT,__text) external _sleep
0000000180275a7c (__TEXT,__text) external _sleep$NOCANCEL
0000000184393a98 (__DATA,__bss) non-external _slot
0000000180289a18 (__TEXT,__text) external _snprintf
0000000180289a68 (__TEXT,__text) external _snprintf_l
0000000180277e44 (__TEXT,__text) external _snvis
0000000180281d28 (__TEXT,__text) external _sockatmark
                 (undefined) external _socket (from libsystem_kernel)
                 (undefined) external _socketpair (from libsystem_kernel)
0000000180289a94 (__TEXT,__text) external _sprintf
0000000180289ae4 (__TEXT,__text) external _sprintf_l
00000001802a42f8 (__TEXT,__text) external _sradixsort
00000001802a4934 (__TEXT,__text) external _srand
0000000180275b08 (__TEXT,__text) external _srand48
00000001802a4944 (__TEXT,__text) external _sranddev
00000001802a49d0 (__TEXT,__text) external _srandom
00000001802a4b78 (__TEXT,__text) external _srandomdev
0000000180289b10 (__TEXT,__text) external _sscanf
0000000180289b60 (__TEXT,__text) external _sscanf_l
                 (undefined) external _stat (from libsystem_kernel)
000000018025b9bc (__TEXT,__text) external _stat_with_subsystem
0000000184392bb0 (__DATA,__data) non-external _state
                 (undefined) external _statfs (from libsystem_kernel)
00000001802539a8 (__TEXT,__text) external _statvfs
000000018025e0d4 (__TEXT,__text) external _stpcpy
000000018025e120 (__TEXT,__text) external _stpncpy
000000018029c7ac (__TEXT,__text) external _strcasecmp
000000018029c6a0 (__TEXT,__text) external _strcasecmp_l
000000018029ca18 (__TEXT,__text) external _strcasestr
000000018029c920 (__TEXT,__text) external _strcasestr_l
000000018025e1a4 (__TEXT,__text) external _strcat
                 (indirect) external _strchr (for __platform_strchr)
                 (indirect) external _strcmp (for __platform_strcmp)
000000018029cb48 (__TEXT,__text) external _strcoll
000000018029ca3c (__TEXT,__text) external _strcoll_l
                 (indirect) external _strcpy (for __platform_strcpy)
000000018029cb6c (__TEXT,__text) external _strcspn
000000018029cc40 (__TEXT,__text) external _strdup
0000000180278128 (__TEXT,__text) external _strenvisx
000000018029cdec (__TEXT,__text) external _strerror
000000018029cd74 (__TEXT,__text) external _strerror_r
00000001802ad134 (__TEXT,__text) external _strfmon
00000001802adea8 (__TEXT,__text) external _strfmon_l
000000018029a1f8 (__TEXT,__text) external _strftime
0000000180299170 (__TEXT,__text) external _strftime_l
0000000184393b20 (__DATA,__bss) non-external _strings
                 (indirect) external _strlcat (for __platform_strlcat)
                 (indirect) external _strlcpy (for __platform_strlcpy)
                 (indirect) external _strlen (for __platform_strlen)
000000018029ce78 (__TEXT,__text) external _strmode
000000018029c8fc (__TEXT,__text) external _strncasecmp
000000018029c7d0 (__TEXT,__text) external _strncasecmp_l
000000018025e1f8 (__TEXT,__text) external _strncat
                 (indirect) external _strncmp (for __platform_strncmp)
                 (indirect) external _strncpy (for __platform_strncpy)
000000018029d03c (__TEXT,__text) external _strndup
                 (indirect) external _strnlen (for __platform_strnlen)
000000018029d0ac (__TEXT,__text) external _strnstr
0000000180277960 (__TEXT,__text) external _strnunvis
00000001802777dc (__TEXT,__text) external _strnunvisx
00000001802bb764 (__TEXT,__text) non-external _strnunvisx.cold.1
00000001802bb790 (__TEXT,__text) non-external _strnunvisx.cold.2
00000001802bb7bc (__TEXT,__text) non-external _strnunvisx.cold.3
00000001802780a4 (__TEXT,__text) external _strnvis
00000001802780f4 (__TEXT,__text) external _strnvisx
000000018029d148 (__TEXT,__text) external _strpbrk
000000018029a40c (__TEXT,__text) external _strptime
000000018029a430 (__TEXT,__text) external _strptime_l
000000018029d180 (__TEXT,__text) external _strrchr
0000000180277fa4 (__TEXT,__text) external _strsenvisx
000000018029d1a8 (__TEXT,__text) external _strsep
000000018029d36c (__TEXT,__text) external _strsignal
000000018029d1f8 (__TEXT,__text) external _strsignal_r
0000000180277f34 (__TEXT,__text) external _strsnvis
0000000180277f78 (__TEXT,__text) external _strsnvisx
000000018029d47c (__TEXT,__text) external _strspn
                 (indirect) external _strstr (for __platform_strstr)
0000000180277ea0 (__TEXT,__text) external _strsvis
0000000180277f5c (__TEXT,__text) external _strsvisx
000000018026d3a0 (__TEXT,__text) external _strtod
000000018026c0a8 (__TEXT,__text) external _strtod_l
00000001802bd0a8 (__TEXT,__const) non-external _strtod_l.fpi
00000001802bd0bc (__TEXT,__const) non-external _strtod_l.fpinan
000000018026f220 (__TEXT,__text) external _strtof
000000018026f114 (__TEXT,__text) external _strtof_l
00000001802bd15c (__TEXT,__const) non-external _strtof_l.fpi0
0000000180257e44 (__TEXT,__text) external _strtofflags
00000001802a66ec (__TEXT,__text) external _strtoimax
00000001802a6460 (__TEXT,__text) external _strtoimax_l
000000018029d5d0 (__TEXT,__text) external _strtok
000000018439e818 (__DATA,__bss) non-external _strtok.last
000000018029d54c (__TEXT,__text) external _strtok_r
00000001802a699c (__TEXT,__text) external _strtol
00000001802a6710 (__TEXT,__text) external _strtol_l
00000001802a8794 (__TEXT,__text) external _strtold
00000001802a8798 (__TEXT,__text) external _strtold_l
00000001802a6c4c (__TEXT,__text) external _strtoll
00000001802a69c0 (__TEXT,__text) external _strtoll_l
000000018028451c (__TEXT,__text) external _strtonum
00000001802a6c70 (__TEXT,__text) external _strtoq
00000001802a6c94 (__TEXT,__text) external _strtoq_l
00000001802a6f18 (__TEXT,__text) external _strtoul
00000001802a6c98 (__TEXT,__text) external _strtoul_l
00000001802a71bc (__TEXT,__text) external _strtoull
00000001802a6f3c (__TEXT,__text) external _strtoull_l
00000001802a7460 (__TEXT,__text) external _strtoumax
00000001802a71e0 (__TEXT,__text) external _strtoumax_l
00000001802a7484 (__TEXT,__text) external _strtouq
00000001802a74a8 (__TEXT,__text) external _strtouq_l
0000000180277950 (__TEXT,__text) external _strunvis
0000000180277940 (__TEXT,__text) external _strunvisx
000000018027808c (__TEXT,__text) external _strvis
00000001802780d4 (__TEXT,__text) external _strvisx
000000018029d898 (__TEXT,__text) external _strxfrm
000000018029d5dc (__TEXT,__text) external _strxfrm_l
000000018439e970 (__DATA,__common) external _suboptarg
0000000184393b28 (__DATA,__bss) non-external _subsystem_root_path
0000000180277a24 (__TEXT,__text) external _svis
000000018029d8bc (__TEXT,__text) external _swab
0000000180289e38 (__TEXT,__text) external _swprintf
0000000180289e88 (__TEXT,__text) external _swprintf_l
0000000180289eb4 (__TEXT,__text) external _swscanf
0000000180289f04 (__TEXT,__text) external _swscanf_l
000000018025c074 (__TEXT,__text) external _sxprintf
000000018025cb40 (__TEXT,__text) external _sxprintf_exec
000000018025e260 (__TEXT,__text) external _sync_volume_np
00000001802bda95 (__TEXT,__const) non-external _syntax_error_str
000000018237c808 (__DATA_CONST,__const) external _sys_errlist
00000001802bcd48 (__TEXT,__const) external _sys_nerr
000000018237cf10 (__DATA_CONST,__const) external _sys_siglist
000000018237ce10 (__DATA_CONST,__const) external _sys_signame
0000000180275cfc (__TEXT,__text) external _sysconf
00000001802763bc (__TEXT,__text) external _sysctl
00000001802765dc (__TEXT,__text) external _sysctlbyname
0000000180276648 (__TEXT,__text) external _sysctlnametomib
00000001802b9654 (__TEXT,__text) external _system
00000001802a74ac (__TEXT,__text) external _system$NOCANCEL
00000001802b9384 (__TEXT,__text) external _tcdrain
0000000180276b88 (__TEXT,__text) external _tcdrain$NOCANCEL
0000000180276c28 (__TEXT,__text) external _tcflow
0000000180276bb4 (__TEXT,__text) external _tcflush
00000001802768d4 (__TEXT,__text) external _tcgetattr
0000000180276a2c (__TEXT,__text) external _tcgetpgrp
000000018025d990 (__TEXT,__text) external _tcgetsid
0000000180276b00 (__TEXT,__text) external _tcsendbreak
0000000180276900 (__TEXT,__text) external _tcsetattr
00000001802769d4 (__TEXT,__text) external _tcsetpgrp
00000001802a7728 (__TEXT,__text) external _tdelete
00000001802766c4 (__TEXT,__text) external _telldir
0000000180289f30 (__TEXT,__text) external _tempnam
0000000184393a90 (__DATA,__bss) non-external _tf
00000001802a7828 (__TEXT,__text) external _tfind
00000001802581d0 (__TEXT,__text) external _thread_stack_async_pcs
00000001802581ac (__TEXT,__text) external _thread_stack_pcs
0000000184391928 (__DATA,__data) non-external _threadsafe
0000000180276cd8 (__TEXT,__text) external _time
0000000180297f88 (__TEXT,__text) non-external _time2
00000001802980fc (__TEXT,__text) external _time2posix
0000000180298a80 (__TEXT,__text) non-external _time2sub
00000001802980ac (__TEXT,__text) external _timegm
000000018029809c (__TEXT,__text) external _timelocal
00000001802980d4 (__TEXT,__text) external _timeoff
0000000180276d34 (__TEXT,__text) external _times
00000001802a879c (__TEXT,__text) external _timespec_get
000000018029748c (__TEXT,__text) non-external _timesub
000000018439e8b0 (__DATA,__common) external _timezone
00000001802680f0 (__TEXT,__text) external _timingsafe_bcmp
00000001802bd0d0 (__TEXT,__const) non-external _tinytens
000000018439a048 (__DATA,__bss) non-external _tm
000000018028a0f4 (__TEXT,__text) external _tmpfile
000000018028a238 (__TEXT,__text) external _tmpnam
0000000184395758 (__DATA,__bss) non-external _tmpnam.tmpcount
0000000184395760 (__DATA,__bss) non-external _tmpnam_buf
000000018028a2f0 (__TEXT,__text) non-external _tmpnam_buf_allocate
00000001843929c8 (__DATA,__data) non-external _tmpnam_buf_control
00000001802bcd78 (__TEXT,__const) non-external _tmundef
00000001802588dc (__TEXT,__text) external _toascii
00000001802588e4 (__TEXT,__text) external _tolower
00000001802594ec (__TEXT,__text) external _tolower_l
0000000184393c68 (__DATA,__bss) non-external _toprec
0000000184393c70 (__DATA,__bss) non-external _topreclen
0000000180258920 (__TEXT,__text) external _toupper
000000018025950c (__TEXT,__text) external _toupper_l
0000000180281408 (__TEXT,__text) external _towctrans
0000000180281324 (__TEXT,__text) external _towctrans_l
0000000180259a04 (__TEXT,__text) external _towlower
000000018025a014 (__TEXT,__text) external _towlower_l
0000000180259a40 (__TEXT,__text) external _towupper
000000018025a034 (__TEXT,__text) external _towupper_l
0000000180298704 (__TEXT,__text) non-external _transtime
00000001802b2504 (__TEXT,__text) non-external _tre_add_tag_left
00000001802b2440 (__TEXT,__text) non-external _tre_add_tag_right
00000001802b07f4 (__TEXT,__text) non-external _tre_add_tags
00000001802af4e8 (__TEXT,__text) external _tre_ast_new_catenation
00000001802af438 (__TEXT,__text) external _tre_ast_new_iter
00000001802af3ec (__TEXT,__text) external _tre_ast_new_literal
00000001802af364 (__TEXT,__text) external _tre_ast_new_node
00000001802af49c (__TEXT,__text) external _tre_ast_new_union
00000001802b2000 (__TEXT,__text) non-external _tre_ast_to_tnfa
00000001802af534 (__TEXT,__text) external _tre_compile
00000001802b25c8 (__TEXT,__text) non-external _tre_copy_ast
00000001802aed6c (__TEXT,__text) external _tre_fill_pmatch
00000001802b20f8 (__TEXT,__text) external _tre_free
000000018237dc50 (__DATA_CONST,__const) non-external _tre_macros
00000001802b2ee4 (__TEXT,__text) non-external _tre_make_trans
00000001802af138 (__TEXT,__text) non-external _tre_match
00000001802b2ccc (__TEXT,__text) non-external _tre_match_empty
00000001802b6e1c (__TEXT,__text) external _tre_mem_alloc_impl
00000001802b6dbc (__TEXT,__text) external _tre_mem_destroy
00000001802b6d98 (__TEXT,__text) external _tre_mem_new_impl
00000001802b22a0 (__TEXT,__text) non-external _tre_merge_branches
00000001802b8ecc (__TEXT,__text) non-external _tre_new_item
00000001802b6f34 (__TEXT,__text) external _tre_parse
00000001802b8c20 (__TEXT,__text) non-external _tre_parse_bound
00000001802aef30 (__TEXT,__text) non-external _tre_reset_last_matched_branches
00000001802b8e2c (__TEXT,__text) non-external _tre_search_cnames
00000001802b292c (__TEXT,__text) non-external _tre_set_union
00000001802b8fd0 (__TEXT,__text) external _tre_stack_destroy
00000001802b8f64 (__TEXT,__text) external _tre_stack_new
00000001802b900c (__TEXT,__text) external _tre_stack_num_objects
00000001802b90f8 (__TEXT,__text) non-external (was a private external) _tre_stack_pop_int
00000001802b9114 (__TEXT,__text) non-external (was a private external) _tre_stack_pop_voidptr
00000001802b901c (__TEXT,__text) non-external _tre_stack_push
00000001802b9014 (__TEXT,__text) non-external (was a private external) _tre_stack_push_int
00000001802b90f4 (__TEXT,__text) non-external (was a private external) _tre_stack_push_voidptr
00000001802b320c (__TEXT,__text) external _tre_tnfa_run_backtrack
00000001802b51a4 (__TEXT,__text) external _tre_tnfa_run_parallel
00000001802a7970 (__TEXT,__text) non-external _trecurse
00000001802a78b4 (__TEXT,__text) external _tsearch
0000000180276e60 (__TEXT,__text) external _ttyname
0000000184393cc0 (__DATA,__bss) non-external _ttyname_init
0000000184393cc8 (__DATA,__bss) non-external _ttyname_key
0000000184392590 (__DATA,__data) non-external _ttyname_lock
0000000180276f80 (__TEXT,__text) external _ttyname_r
000000018027703c (__TEXT,__text) external _ttyslot
00000001802a795c (__TEXT,__text) external _twalk
00000001802982cc (__TEXT,__text) non-external _typesequiv
000000018029611c (__TEXT,__text) non-external _tzload
0000000184392ae0 (__DATA,__data) external _tzname
0000000180296ac4 (__TEXT,__text) non-external _tzparse
0000000180297220 (__TEXT,__text) external _tzset
0000000180295e28 (__TEXT,__text) external _tzsetwall
0000000180295e30 (__TEXT,__text) non-external _tzsetwall_basic
0000000180277044 (__TEXT,__text) external _ualarm
0000000184392950 (__DATA,__data) non-external _uglue
00000001802770c4 (__TEXT,__text) external _ulimit
                 (undefined) external _umask (from libsystem_kernel)
0000000180258264 (__TEXT,__text) external _uname
00000001802bdaa2 (__TEXT,__const) non-external _unbound_variable_str
000000018028a314 (__TEXT,__text) external _ungetc
000000018028a5d4 (__TEXT,__text) external _ungetwc
000000018028a658 (__TEXT,__text) external _ungetwc_l
0000000184393a41 (__DATA,__bss) non-external _unix2003_mode
                 (undefined) external _unlink (from libsystem_kernel)
00000001802a7c34 (__TEXT,__text) external _unlockpt
00000001802a5e50 (__TEXT,__text) external _unsetenv
0000000180277154 (__TEXT,__text) external _unvis
00000001802bb70c (__TEXT,__text) non-external _unvis.cold.1
00000001802bb738 (__TEXT,__text) non-external _unvis.cold.2
000000018025b2f8 (__TEXT,__text) external _uselocale
00000001802b93c4 (__TEXT,__text) external _usleep
0000000180277968 (__TEXT,__text) external _usleep$NOCANCEL
0000000184394d10 (__DATA,__bss) non-external _usual
0000000184393f40 (__DATA,__bss) non-external _usual_extra
00000001802779b8 (__TEXT,__text) external _utime
                 (undefined) external _utimes (from libsystem_kernel)
000000018025d17c (__TEXT,__text) external _uuid_clear
000000018025d184 (__TEXT,__text) external _uuid_compare
000000018025d24c (__TEXT,__text) external _uuid_copy
000000018025d634 (__TEXT,__text) external _uuid_generate
000000018025d59c (__TEXT,__text) external _uuid_generate_random
000000018025d268 (__TEXT,__text) external _uuid_generate_time
0000000184393b78 (__DATA,__bss) non-external _uuid_generate_time.has_init
0000000184393b70 (__DATA,__bss) non-external _uuid_generate_time.node_id
000000018025d638 (__TEXT,__text) external _uuid_is_null
000000018025d660 (__TEXT,__text) external _uuid_pack
000000018025d6b0 (__TEXT,__text) external _uuid_parse
000000018025d808 (__TEXT,__text) external _uuid_unpack
000000018025d928 (__TEXT,__text) external _uuid_unparse
000000018025d858 (__TEXT,__text) external _uuid_unparse_lower
000000018025d8c0 (__TEXT,__text) external _uuid_unparse_upper
000000018237cdc0 (__DATA_CONST,__const) non-external _validlist
000000018028a858 (__TEXT,__text) external _vasprintf
000000018028a83c (__TEXT,__text) external _vasprintf_l
000000018025c104 (__TEXT,__text) external _vasxprintf
000000018025cbcc (__TEXT,__text) external _vasxprintf_exec
000000018028a9c8 (__TEXT,__text) external _vdprintf
000000018028a9ac (__TEXT,__text) external _vdprintf_l
000000018025c11c (__TEXT,__text) external _vdxprintf
000000018025cbe8 (__TEXT,__text) external _vdxprintf_exec
00000001802bb388 (__TEXT,__text) external _verr
00000001802bb298 (__TEXT,__text) external _verrc
00000001802bb400 (__TEXT,__text) external _verrx
000000018025dc1c (__TEXT,__text) external _vfork
000000018028aa64 (__TEXT,__text) external _vfprintf
000000018028aa00 (__TEXT,__text) external _vfprintf_l
000000018028deb8 (__TEXT,__text) external _vfscanf
000000018028f8e8 (__TEXT,__text) external _vfscanf_l
0000000180292700 (__TEXT,__text) external _vfwprintf
000000018028fac4 (__TEXT,__text) external _vfwprintf_l
0000000180292f08 (__TEXT,__text) external _vfwscanf
0000000180294a94 (__TEXT,__text) external _vfwscanf_l
000000018025c134 (__TEXT,__text) external _vfxprintf
000000018025cc04 (__TEXT,__text) external _vfxprintf_exec
0000000180277fcc (__TEXT,__text) external _vis
                 (undefined) external _vm_allocate (from libsystem_kernel)
                 (undefined) external _vm_region_64 (from libsystem_kernel)
0000000180294b34 (__TEXT,__text) external _vprintf
0000000180294b6c (__TEXT,__text) external _vprintf_l
0000000180294b88 (__TEXT,__text) external _vscanf
0000000180294c04 (__TEXT,__text) external _vscanf_l
0000000180294db0 (__TEXT,__text) external _vsnprintf
0000000180294d90 (__TEXT,__text) external _vsnprintf_l
0000000180294eb4 (__TEXT,__text) external _vsprintf
0000000180294dec (__TEXT,__text) external _vsprintf_l
0000000180294fdc (__TEXT,__text) external _vsscanf
0000000180294ee0 (__TEXT,__text) external _vsscanf_l
00000001802951e4 (__TEXT,__text) external _vswprintf
0000000180295008 (__TEXT,__text) external _vswprintf_l
00000001802953d0 (__TEXT,__text) external _vswscanf
0000000180295210 (__TEXT,__text) external _vswscanf_l
000000018025c14c (__TEXT,__text) external _vsxprintf
000000018025cc20 (__TEXT,__text) external _vsxprintf_exec
00000001802bb5a4 (__TEXT,__text) external _vwarn
00000001802bb4f8 (__TEXT,__text) external _vwarnc
00000001802bb640 (__TEXT,__text) external _vwarnx
00000001802953fc (__TEXT,__text) external _vwprintf
0000000180295434 (__TEXT,__text) external _vwprintf_l
0000000180295450 (__TEXT,__text) external _vwscanf
0000000180295488 (__TEXT,__text) external _vwscanf_l
000000018025c170 (__TEXT,__text) external _vxprintf
000000018025cc44 (__TEXT,__text) external _vxprintf_exec
00000001802b9414 (__TEXT,__text) external _wait
00000001802788d8 (__TEXT,__text) external _wait$NOCANCEL
00000001802788ec (__TEXT,__text) external _wait3
                 (undefined) external _wait4 (from libsystem_kernel)
00000001802b9428 (__TEXT,__text) external _waitpid
0000000180278900 (__TEXT,__text) external _waitpid$NOCANCEL
00000001802bb4bc (__TEXT,__text) external _warn
00000001802bb5e8 (__TEXT,__text) external _warnc
00000001802bb614 (__TEXT,__text) external _warnx
000000018029d930 (__TEXT,__text) external _wcpcpy
000000018029d950 (__TEXT,__text) external _wcpncpy
000000018027f364 (__TEXT,__text) external _wcrtomb
000000018027f324 (__TEXT,__text) external _wcrtomb_l
000000018029da68 (__TEXT,__text) external _wcscasecmp
000000018029d9c0 (__TEXT,__text) external _wcscasecmp_l
000000018029da8c (__TEXT,__text) external _wcscat
000000018029dab0 (__TEXT,__text) external _wcschr
000000018029dad0 (__TEXT,__text) external _wcscmp
000000018029e098 (__TEXT,__text) external _wcscoll
000000018029daf8 (__TEXT,__text) external _wcscoll_l
000000018029e0bc (__TEXT,__text) external _wcscpy
000000018029eb28 (__TEXT,__text) external _wcscspn
000000018029eb6c (__TEXT,__text) external _wcsdup
000000018027f5b0 (__TEXT,__text) external _wcsftime
000000018027f3c4 (__TEXT,__text) external _wcsftime_l
000000018029ebc4 (__TEXT,__text) external _wcslcat
000000018029ec6c (__TEXT,__text) external _wcslcpy
000000018029eccc (__TEXT,__text) external _wcslen
000000018029eda8 (__TEXT,__text) external _wcsncasecmp
000000018029ece8 (__TEXT,__text) external _wcsncasecmp_l
000000018029edcc (__TEXT,__text) external _wcsncat
000000018029ee1c (__TEXT,__text) external _wcsncmp
000000018029ee4c (__TEXT,__text) external _wcsncpy
000000018029eeb4 (__TEXT,__text) external _wcsnlen
000000018027f614 (__TEXT,__text) external _wcsnrtombs
000000018027f5d4 (__TEXT,__text) external _wcsnrtombs_l
000000018029eee4 (__TEXT,__text) external _wcspbrk
000000018029ef1c (__TEXT,__text) external _wcsrchr
000000018027f8c8 (__TEXT,__text) external _wcsrtombs
000000018027f878 (__TEXT,__text) external _wcsrtombs_l
000000018029ef40 (__TEXT,__text) external _wcsspn
000000018029f31c (__TEXT,__text) external _wcsstr
000000018027fbbc (__TEXT,__text) external _wcstod
000000018027f998 (__TEXT,__text) external _wcstod_l
000000018027fe04 (__TEXT,__text) external _wcstof
000000018027fbe0 (__TEXT,__text) external _wcstof_l
0000000180280094 (__TEXT,__text) external _wcstoimax
000000018027fe28 (__TEXT,__text) external _wcstoimax_l
000000018029f3a0 (__TEXT,__text) external _wcstok
0000000180280324 (__TEXT,__text) external _wcstol
00000001802800b8 (__TEXT,__text) external _wcstol_l
000000018028056c (__TEXT,__text) external _wcstold
0000000180280348 (__TEXT,__text) external _wcstold_l
00000001802807fc (__TEXT,__text) external _wcstoll
0000000180280590 (__TEXT,__text) external _wcstoll_l
00000001802808c8 (__TEXT,__text) external _wcstombs
0000000180280820 (__TEXT,__text) external _wcstombs_l
0000000180280bf4 (__TEXT,__text) external _wcstoul
000000018028098c (__TEXT,__text) external _wcstoul_l
0000000180280e80 (__TEXT,__text) external _wcstoull
0000000180280c18 (__TEXT,__text) external _wcstoull_l
000000018028110c (__TEXT,__text) external _wcstoumax
0000000180280ea4 (__TEXT,__text) external _wcstoumax_l
000000018029f4b0 (__TEXT,__text) external _wcswidth
000000018029f424 (__TEXT,__text) external _wcswidth_l
000000018029f69c (__TEXT,__text) external _wcsxfrm
000000018029f4d4 (__TEXT,__text) external _wcsxfrm_l
00000001802811ec (__TEXT,__text) external _wctob
0000000180281130 (__TEXT,__text) external _wctob_l
000000018028128c (__TEXT,__text) external _wctomb
0000000180281210 (__TEXT,__text) external _wctomb_l
000000018028142c (__TEXT,__text) external _wctrans
0000000180281500 (__TEXT,__text) external _wctrans_l
00000001802815d0 (__TEXT,__text) external _wctype
