00000001d71fa898 (__DATA,__data) non-external _C
000000018b4fc8b0 (__TEXT,__text) non-external _init_perm
000000018b4fdf5c (__TEXT,__text) non-external _initshells
000000018b535870 (__TEXT,__text) external _initstate
000000018b4d63d0 (__TEXT,__text) non-external _insertionsort
000000018b5379d8 (__TEXT,__text) non-external _insertionsort
000000018b533e6c (__TEXT,__text) external _insque
                 (undefined) external _ioctl (from libsystem_kernel)
000000018b5001e4 (__TEXT,__text) external _isalnum
000000018b500a6c (__TEXT,__text) external _isalnum_l
000000018b50025c (__TEXT,__text) external _isalpha
000000018b500ae8 (__TEXT,__text) external _isalpha_l
000000018b5001d8 (__TEXT,__text) external _isascii
000000018b4f1ec8 (__TEXT,__text) external _isatty
000000018b5002cc (__TEXT,__text) external _isblank
000000018b500b5c (__TEXT,__text) external _isblank_l
000000018b50033c (__TEXT,__text) external _iscntrl
000000018b500bd0 (__TEXT,__text) external _iscntrl_l
000000018b5003ac (__TEXT,__text) external _isdigit
000000018b500c44 (__TEXT,__text) external _isdigit_l
000000018b5003d4 (__TEXT,__text) external _isgraph
000000018b500cb8 (__TEXT,__text) external _isgraph_l
000000018b500770 (__TEXT,__text) external _ishexnumber
000000018b500d2c (__TEXT,__text) external _ishexnumber_l
000000018b5007e0 (__TEXT,__text) external _isideogram
000000018b500da0 (__TEXT,__text) external _isideogram_l
000000018b500444 (__TEXT,__text) external _islower
000000018b500e14 (__TEXT,__text) external _islower_l
000000018b500850 (__TEXT,__text) external _isnumber
000000018b500e88 (__TEXT,__text) external _isnumber_l
000000018b5008c0 (__TEXT,__text) external _isphonogram
000000018b500efc (__TEXT,__text) external _isphonogram_l
000000018b5004b4 (__TEXT,__text) external _isprint
000000018b500f70 (__TEXT,__text) external _isprint_l
000000018b500524 (__TEXT,__text) external _ispunct
000000018b500fe4 (__TEXT,__text) external _ispunct_l
000000018b500930 (__TEXT,__text) external _isrune
000000018b501058 (__TEXT,__text) external _isrune_l
                 (undefined) external _issetugid (from libsystem_kernel)
000000018b500594 (__TEXT,__text) external _isspace
000000018b5010dc (__TEXT,__text) external _isspace_l
000000018b5009a4 (__TEXT,__text) external _isspecial
000000018b501150 (__TEXT,__text) external _isspecial_l
000000018b4dfdc4 (__TEXT,__text) non-external _istrsenvisx
000000018b547f14 (__TEXT,__text) non-external _istrsenvisx.cold.1
000000018b547f40 (__TEXT,__text) non-external _istrsenvisx.cold.2
000000018b547f6c (__TEXT,__text) non-external _istrsenvisx.cold.3
000000018b51a218 (__TEXT,__text) non-external _istrsenvisxl
000000018b500604 (__TEXT,__text) external _isupper
000000018b5011c4 (__TEXT,__text) external _isupper_l
000000018b5012fc (__TEXT,__text) external _iswalnum
000000018b50183c (__TEXT,__text) external _iswalnum_l
000000018b501374 (__TEXT,__text) external _iswalpha
000000018b5018b8 (__TEXT,__text) external _iswalpha_l
000000018b501e84 (__TEXT,__text) external _iswascii
000000018b501e14 (__TEXT,__text) external _iswblank
000000018b502134 (__TEXT,__text) external _iswblank_l
000000018b5013e4 (__TEXT,__text) external _iswcntrl
000000018b50192c (__TEXT,__text) external _iswcntrl_l
000000018b501454 (__TEXT,__text) external _iswctype
000000018b5019a0 (__TEXT,__text) external _iswctype_l
000000018b5014d4 (__TEXT,__text) external _iswdigit
000000018b501a34 (__TEXT,__text) external _iswdigit_l
000000018b5014fc (__TEXT,__text) external _iswgraph
000000018b501aa8 (__TEXT,__text) external _iswgraph_l
000000018b501e90 (__TEXT,__text) external _iswhexnumber
000000018b5021a8 (__TEXT,__text) external _iswhexnumber_l
000000018b501f00 (__TEXT,__text) external _iswideogram
000000018b50221c (__TEXT,__text) external _iswideogram_l
000000018b50156c (__TEXT,__text) external _iswlower
000000018b501b1c (__TEXT,__text) external _iswlower_l
000000018b501f70 (__TEXT,__text) external _iswnumber
000000018b502290 (__TEXT,__text) external _iswnumber_l
000000018b501fe0 (__TEXT,__text) external _iswphonogram
000000018b502304 (__TEXT,__text) external _iswphonogram_l
000000018b5015dc (__TEXT,__text) external _iswprint
000000018b501b90 (__TEXT,__text) external _iswprint_l
000000018b50164c (__TEXT,__text) external _iswpunct
000000018b501c04 (__TEXT,__text) external _iswpunct_l
000000018b502050 (__TEXT,__text) external _iswrune
000000018b502378 (__TEXT,__text) external _iswrune_l
000000018b5016bc (__TEXT,__text) external _iswspace
000000018b501c78 (__TEXT,__text) external _iswspace_l
000000018b5020c4 (__TEXT,__text) external _iswspecial
000000018b5023fc (__TEXT,__text) external _iswspecial_l
000000018b50172c (__TEXT,__text) external _iswupper
000000018b501cec (__TEXT,__text) external _iswupper_l
000000018b50179c (__TEXT,__text) external _iswxdigit
000000018b501d60 (__TEXT,__text) external _iswxdigit_l
000000018b500674 (__TEXT,__text) external _isxdigit
000000018b501238 (__TEXT,__text) external _isxdigit_l
000000018b54bc88 (__TEXT,__cstring) non-external _itoa64
000000018b517624 (__TEXT,__text) external _jrand48
00000001d71fa8c0 (__DATA,__data) external _kOSMemoryNotificationName
00000001d253ce08 (__DATA_CONST,__const) non-external _kOSThermalMitigationNames
00000001d253cdf0 (__DATA_CONST,__const) external _kOSThermalNotificationAlert
00000001d253cdf8 (__DATA_CONST,__const) external _kOSThermalNotificationDecision
00000001d253ce00 (__DATA_CONST,__const) external _kOSThermalNotificationName
00000001d253cde8 (__DATA_CONST,__const) external _kOSThermalNotificationPressureLevelName
                 (undefined) external _kill (from libsystem_kernel)
000000018b4e4a24 (__TEXT,__text) external _killpg
000000018b53718c (__TEXT,__text) external _l64a
00000001d71fc5b0 (__DATA,__bss) non-external _l64a.buf
000000018b533e90 (__TEXT,__text) external _labs
000000018b51b920 (__TEXT,__text) non-external _largesearch
00000001d71fc520 (__DATA,__bss) non-external _last_default_tzload_mtimespec
00000001d95b97a8 (__DATA_DIRTY,__data) non-external _lastglue
000000018b4f8684 (__TEXT,__text) external _lchflags
000000018b4fb92c (__TEXT,__text) external _lchmod
00000001d71fc3d8 (__DATA,__bss) non-external _lcl_TZname
00000001d95b98c8 (__DATA_DIRTY,__data) non-external _lcl_notify
00000001d95b97f0 (__DATA_DIRTY,__data) non-external (was a private external) _lcl_rwlock
00000001d95b9c00 (__DATA_DIRTY,__bss) non-external _lclptr
000000018b517668 (__TEXT,__text) external _lcong48
000000018b533e9c (__TEXT,__text) external _ldiv
000000018b533f68 (__TEXT,__text) external _lfind
000000018b527e90 (__TEXT,__text) non-external _lflush
000000018b52288c (__TEXT,__text) external _link_addr
000000018b522a54 (__TEXT,__text) external _link_ntoa
00000001d71fc338 (__DATA,__bss) non-external _link_ntoa.obuf
000000018b533ec8 (__TEXT,__text) external _llabs
000000018b4f42d0 (__TEXT,__text) external _lldiv
000000018b5238a4 (__TEXT,__text) non-external _loadCat
000000018b4f7ab0 (__TEXT,__text) non-external _loadlocale
000000018b4f384c (__TEXT,__text) external _localeconv
000000018b4d9130 (__TEXT,__text) external _localeconv_l
000000018b547f98 (__TEXT,__text) non-external _localeconv_l.cold.1
000000018b547fb4 (__TEXT,__text) non-external _localeconv_l.cold.2
000000018b4dca9c (__TEXT,__text) external _localtime
00000001d95b9c10 (__DATA_DIRTY,__bss) non-external _localtime_key
00000001d95b9c08 (__DATA_DIRTY,__bss) non-external _localtime_key_error
000000018b4e8678 (__TEXT,__text) non-external _localtime_key_init
00000001d95b98d0 (__DATA_DIRTY,__data) non-external _localtime_once
000000018b4d9320 (__TEXT,__text) external _localtime_r
000000018b546690 (__TEXT,__text) external _lockf
000000018b5176ac (__TEXT,__text) external _lockf$NOCANCEL
000000018b505998 (__TEXT,__text) external _login_tty
000000018b505a1c (__TEXT,__text) external _logwtmp
000000018b5177a4 (__TEXT,__text) external _lrand48
000000018b533ed4 (__TEXT,__text) external _lsearch
                 (undefined) external _lseek (from libsystem_kernel)
                 (undefined) external _lstat (from libsystem_kernel)
000000018b4f0c4c (__TEXT,__text) external _lstatx_np
000000018b506700 (__TEXT,__text) non-external _lstatx_syscall
000000018b4fb978 (__TEXT,__text) external _lutimes
                 (undefined) external _mach_absolute_time (from libsystem_kernel)
                 (undefined) external _mach_approximate_time (from libsystem_kernel)
                 (undefined) external _mach_boottime_usec (from libsystem_kernel)
                 (undefined) external _mach_continuous_approximate_time (from libsystem_kernel)
                 (undefined) external _mach_continuous_time (from libsystem_kernel)
                 (undefined) external _mach_error_string (from libsystem_kernel)
                 (undefined) external _mach_host_self (from libsystem_kernel)
                 (undefined) external _mach_port_deallocate (from libsystem_kernel)
                 (undefined) external _mach_task_self_ (from libsystem_kernel)
                 (undefined) external _mach_timebase_info (from libsystem_kernel)
                 (undefined) external _malloc (from libsystem_malloc)
00000001d253c960 (__DATA_CONST,__const) non-external _mapping
000000018b51df20 (__TEXT,__text) external _mblen
000000018b51dea0 (__TEXT,__text) external _mblen_l
                 (undefined) external _mbr_gid_to_uuid (from libsystem_info)
                 (undefined) external _mbr_uid_to_uuid (from libsystem_info)
                 (undefined) external _mbr_uuid_to_id (from libsystem_info)
000000018b4f9a50 (__TEXT,__text) external _mbrlen
000000018b51df44 (__TEXT,__text) external _mbrlen_l
000000018b51dfd0 (__TEXT,__text) external _mbrtowc
000000018b51df94 (__TEXT,__text) external _mbrtowc_l
000000018b51e05c (__TEXT,__text) external _mbsinit
000000018b51e02c (__TEXT,__text) external _mbsinit_l
000000018b51e0e8 (__TEXT,__text) external _mbsnrtowcs
000000018b51e0ac (__TEXT,__text) external _mbsnrtowcs_l
000000018b51e2c0 (__TEXT,__text) external _mbsrtowcs
000000018b51e274 (__TEXT,__text) external _mbsrtowcs_l
000000018b4f1d28 (__TEXT,__text) external _mbstowcs
000000018b51e328 (__TEXT,__text) external _mbstowcs_l
000000018b4f2d74 (__TEXT,__text) external _mbtowc
000000018b4e3fd0 (__TEXT,__text) external _mbtowc_l
                 (indirect) external _memccpy (for __platform_memccpy)
                 (indirect) external _memchr (for __platform_memchr)
                 (indirect) external _memcmp (for __platform_memcmp)
                 (indirect) external _memcpy (for __platform_memmove)
000000018b5318b4 (__TEXT,__text) external _memmem
                 (indirect) external _memmove (for __platform_memmove)
                 (indirect) external _memset (for __platform_memset)
                 (indirect) external _memset_pattern16 (for __platform_memset_pattern16)
                 (indirect) external _memset_pattern4 (for __platform_memset_pattern4)
                 (indirect) external _memset_pattern8 (for __platform_memset_pattern8)
000000018b4d7da0 (__TEXT,__text) external _memset_s
000000018b4ec7c4 (__TEXT,__text) non-external _memstream_close
000000018b4f7d40 (__TEXT,__text) non-external _memstream_seek
000000018b547ffc (__TEXT,__text) non-external _memstream_seek.cold.1
000000018b548028 (__TEXT,__text) non-external _memstream_seek.cold.2
000000018b4decc4 (__TEXT,__text) non-external _memstream_update
000000018b547fd0 (__TEXT,__text) non-external _memstream_update.cold.1
000000018b4f96c0 (__TEXT,__text) non-external _memstream_write
000000018b4f38f0 (__TEXT,__text) external _mergesort
000000018b4e0168 (__TEXT,__text) external _mergesort_b
                 (undefined) external _mkdirat (from libsystem_kernel)
000000018b5065fc (__TEXT,__text) external _mkdirx_np
000000018b525848 (__TEXT,__text) external _mkdtemp
000000018b5258d0 (__TEXT,__text) external _mkdtempat_np
000000018b5065e8 (__TEXT,__text) external _mkfifox_np
000000018b5257c4 (__TEXT,__text) external _mkostemp
000000018b525680 (__TEXT,__text) external _mkostemps
000000018b525704 (__TEXT,__text) external _mkostempsat_np
000000018b4d89ac (__TEXT,__text) external _mkpath_np
000000018b4f7df0 (__TEXT,__text) external _mkpathat_np
000000018b4de360 (__TEXT,__text) external _mkstemp
000000018b4d7668 (__TEXT,__text) external _mkstemp_dprotected_np
000000018b4e0f10 (__TEXT,__text) external _mkstemps
000000018b525778 (__TEXT,__text) external _mkstempsat_np
000000018b4da698 (__TEXT,__text) external _mktemp
000000018b52f430 (__TEXT,__text) external _mktime
                 (undefined) external _mmap (from libsystem_kernel)
000000018b54ad6c (__TEXT,__const) non-external _mon_lengths
000000018b5001c0 (__TEXT,__text) external _monaddition
000000018b5001d0 (__TEXT,__text) external _moncontrol
000000018b5001d4 (__TEXT,__text) external _moncount
000000018b5001b8 (__TEXT,__text) external _moninit
000000018b5001cc (__TEXT,__text) external _monitor
000000018b5001c8 (__TEXT,__text) external _monoutput
000000018b5001c4 (__TEXT,__text) external _monreset
000000018b5001bc (__TEXT,__text) external _monstartup
000000018b4da8e8 (__TEXT,__text) non-external _moreglue
000000018b50ed5c (__TEXT,__text) non-external _mpool_bkt
000000018b50f038 (__TEXT,__text) external _mpool_close
000000018b50eca4 (__TEXT,__text) external _mpool_filter
000000018b50ee4c (__TEXT,__text) external _mpool_get
000000018b50ecb4 (__TEXT,__text) external _mpool_new
000000018b547830 (__TEXT,__text) non-external _mpool_new.cold.1
000000018b50eb98 (__TEXT,__text) external _mpool_open
000000018b50f01c (__TEXT,__text) external _mpool_put
000000018b50f094 (__TEXT,__text) external _mpool_sync
000000018b50f108 (__TEXT,__text) non-external _mpool_write
000000018b5177d8 (__TEXT,__text) external _mrand48
000000018b50716c (__TEXT,__text) non-external _mswap
                 (undefined) external _munmap (from libsystem_kernel)
00000001d71fc0f0 (__DATA,__bss) non-external _namebuf
                 (undefined) external _nan (from libsystem_m)
                 (undefined) external _nanf (from libsystem_m)
                 (undefined) external _nanl (from libsystem_m)
000000018b4d5008 (__TEXT,__text) external _nanosleep
000000018b4f3544 (__TEXT,__text) external _nanosleep$NOCANCEL
00000001d95b99d8 (__DATA_DIRTY,__bss) non-external _new_categories
000000018b504ed8 (__TEXT,__text) external _new_printf_comp
000000018b4f9980 (__TEXT,__text) external _new_printf_domain
000000018b4f7168 (__TEXT,__text) external _newlocale
00000001d95b9938 (__DATA_DIRTY,__data) non-external _next
000000018b513d28 (__TEXT,__text) non-external _nextcomp
00000001d71fc1c0 (__DATA,__bss) non-external _nextcomp.lmsgverb
00000001d71fc1e0 (__DATA,__bss) non-external _nextcomp.state
000000018b51e6fc (__TEXT,__text) external _nextwctype
000000018b51e578 (__TEXT,__text) external _nextwctype_l
000000018b4fe76c (__TEXT,__text) external _nftw
000000018b51780c (__TEXT,__text) external _nice
000000018b51eb58 (__TEXT,__text) external _nl_langinfo
000000018b51e720 (__TEXT,__text) external _nl_langinfo_l
00000001d71fc318 (__DATA,__bss) non-external _nl_langinfo_l.csym
000000018b54aea9 (__TEXT,__const) non-external _noarg
000000018b54aa8c (__TEXT,__const) non-external _nogrouping
00000001d71faab0 (__DATA,__data) non-external _nonopt_end
00000001d71faab4 (__DATA,__data) non-external _nonopt_start
                 (undefined) external _notify_cancel (from libsystem_notify)
                 (undefined) external _notify_check (from libsystem_notify)
000000018b4ea208 (__TEXT,__text) non-external _notify_check_tz
                 (undefined) external _notify_get_state (from libsystem_notify)
                 (undefined) external _notify_monitor_file (from libsystem_notify)
                 (undefined) external _notify_post (from libsystem_notify)
                 (undefined) external _notify_register_check (from libsystem_notify)
000000018b4e33e0 (__TEXT,__text) non-external _notify_register_tz
                 (undefined) external _notify_set_state (from libsystem_notify)
000000018b54ad48 (__TEXT,__const) non-external _notify_tz_name
000000018b5178cc (__TEXT,__text) external _nrand48
00000001d71fa95c (__DATA,__data) non-external _numempty
000000018b54a630 (__TEXT,__const) non-external _nv
000000018b51a360 (__TEXT,__text) external _nvis
00000001d71fabc8 (__DATA,__data) external _off32
00000001d71fac20 (__DATA,__data) external _off64
000000018b52f128 (__TEXT,__text) external _offtime
00000001d253c948 (__DATA_CONST,__const) non-external _okshells
                 (undefined) external _open$NOCANCEL (from libsystem_kernel)
                 (undefined) external _open_dprotected_np (from libsystem_kernel)
000000018b4f61a0 (__TEXT,__text) external _open_memstream
000000018b504570 (__TEXT,__text) external _open_with_subsystem
000000018b52ebe8 (__TEXT,__text) external _open_wmemstream
                 (undefined) external _openat$NOCANCEL (from libsystem_kernel)
000000018b505b38 (__TEXT,__text) external _opendev
000000018b505d3c (__TEXT,__text) non-external _opendev_namebuf_init
00000001d71fa8b0 (__DATA,__data) non-external _opendev_namebuf_once
000000018b4d9128 (__TEXT,__text) external _opendir
000000018b517b68 (__TEXT,__text) non-external _opendir_compar
000000018b505d60 (__TEXT,__text) external _openpty
000000018b506380 (__TEXT,__text) external _openx_np
00000001d71fc610 (__DATA,__common) external _optarg
00000001d71faaa0 (__DATA,__data) external _opterr
00000001d95b9934 (__DATA_DIRTY,__data) external _optind
00000001d71fc60c (__DATA,__common) external _optopt
00000001d71fc608 (__DATA,__common) external _optreset
                 (undefined) external _os_log_simple_type_from_asl (from libsystem_platform)
                 (undefined) external _os_unfair_lock_lock (from libsystem_platform)
                 (undefined) external _os_unfair_lock_lock_with_options (from libsystem_platform)
                 (undefined) external _os_unfair_lock_unlock (from libsystem_platform)
00000001d95b99b0 (__DATA_DIRTY,__bss) non-external _p5s
000000018b54ab31 (__TEXT,__const) non-external _padchar
00000001d71fba49 (__DATA,__bss) non-external _parse_error
000000018b4f9fec (__TEXT,__text) non-external _parse_long_options
00000001d95b9948 (__DATA_DIRTY,__bss) non-external _parsed
                 (undefined) external _pathconf (from libsystem_kernel)
000000018b546788 (__TEXT,__text) external _pause
000000018b517b7c (__TEXT,__text) external _pause$NOCANCEL
000000018b4eb4d0 (__TEXT,__text) external _pclose
000000018b4fc310 (__TEXT,__text) non-external _permute
000000018b533a04 (__TEXT,__text) non-external _permute_args
000000018b4f6e04 (__TEXT,__text) external _perror
00000001d71fc218 (__DATA,__bss) non-external _pfp
                 (undefined) external _pipe (from libsystem_kernel)
00000001d71faab8 (__DATA,__data) non-external _place
000000018b4e4044 (__TEXT,__text) external _popen
000000018b546a6c (__TEXT,__text) external _popen$DARWIN_EXTSN
000000018b52f574 (__TEXT,__text) external _posix2time
000000018b536f84 (__TEXT,__text) external _posix_openpt
                 (undefined) external _posix_spawn (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_addclose (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_adddup2 (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_destroy (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_init (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_destroy (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_init (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_setflags (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_setsigdefault (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_setsigmask (from libsystem_kernel)
000000018b4eb094 (__TEXT,__text) external _posix_spawnp
                 (undefined) external _pread$NOCANCEL (from libsystem_kernel)
00000001d71fc128 (__DATA,__bss) non-external _predicates
000000018b4e1504 (__TEXT,__text) external _printf
000000018b527cd8 (__TEXT,__text) external _printf_l
000000018b513a84 (__TEXT,__text) non-external _printfmt
                 (undefined) external _proc_name (from libsystem_kernel)
000000018b517bb4 (__TEXT,__text) external _psignal
000000018b4f3710 (__TEXT,__text) external _psort
000000018b4f3408 (__TEXT,__text) external _psort_b
000000018b538f88 (__TEXT,__text) external _psort_r
                 (undefined) external _pthread_get_stackaddr_np (from libsystem_pthread)
                 (undefined) external _pthread_get_stacksize_np (from libsystem_pthread)
                 (undefined) external _pthread_getspecific (from libsystem_pthread)
                 (undefined) external _pthread_key_create (from libsystem_pthread)
                 (undefined) external _pthread_key_init_np (from libsystem_pthread)
                 (undefined) external _pthread_kill (from libsystem_pthread)
                 (undefined) external _pthread_mutex_destroy (from libsystem_pthread)
                 (undefined) external _pthread_mutex_init (from libsystem_pthread)
                 (undefined) external _pthread_mutex_lock (from libsystem_pthread)
                 (undefined) external _pthread_mutex_trylock (from libsystem_pthread)
                 (undefined) external _pthread_mutex_unlock (from libsystem_pthread)
                 (undefined) external _pthread_once (from libsystem_pthread)
                 (undefined) external _pthread_rwlock_destroy (from libsystem_pthread)
                 (undefined) external _pthread_rwlock_rdlock (from libsystem_pthread)
                 (undefined) external _pthread_rwlock_unlock (from libsystem_pthread)
                 (undefined) external _pthread_rwlock_wrlock (from libsystem_pthread)
                 (undefined) external _pthread_self (from libsystem_pthread)
                 (undefined) external _pthread_setspecific (from libsystem_pthread)
                 (undefined) external _pthread_sigmask (from libsystem_pthread)
                 (undefined) external _pthread_stack_frame_decode_np (from libsystem_pthread)
                 (undefined) external _pthread_testcancel (from libsystem_pthread)
000000018b536fbc (__TEXT,__text) external _ptsname
000000018b5484f0 (__TEXT,__text) non-external _ptsname.cold.1
000000018b54850c (__TEXT,__text) non-external _ptsname.cold.2
00000001d71fc5a8 (__DATA,__bss) non-external _ptsname_buffer_specific_key
00000001d71fc5a0 (__DATA,__bss) non-external _ptsname_once
000000018b53706c (__TEXT,__text) non-external _ptsname_once_init
000000018b548528 (__TEXT,__text) non-external _ptsname_once_init.cold.1
000000018b5370a4 (__TEXT,__text) external _ptsname_r
000000018b4fb0fc (__TEXT,__text) external _putc
000000018b527d18 (__TEXT,__text) external _putc_unlocked
000000018b4dfd18 (__TEXT,__text) external _putchar
000000018b527d60 (__TEXT,__text) external _putchar_unlocked
000000018b4f7a14 (__TEXT,__text) external _putenv
000000018b50dab0 (__TEXT,__text) non-external _putpair
000000018b4eaed0 (__TEXT,__text) external _puts
000000018b53c9bc (__TEXT,__text) external _pututxline
000000018b527db4 (__TEXT,__text) external _putw
000000018b527e24 (__TEXT,__text) external _putwc
000000018b527e48 (__TEXT,__text) external _putwc_l
000000018b527e4c (__TEXT,__text) external _putwchar
000000018b527e7c (__TEXT,__text) external _putwchar_l
00000001d71fbb38 (__DATA,__bss) non-external _pw_size
                 (undefined) external _pwrite$NOCANCEL (from libsystem_kernel)
000000018b4d6534 (__TEXT,__text) external _qsort
000000018b4d7a0c (__TEXT,__text) external _qsort_b
000000018b4f2b08 (__TEXT,__text) external _qsort_r
000000018b502668 (__TEXT,__text) external _querylocale
000000018b534c78 (__TEXT,__text) non-external _r_sort_a
00000001d71fc574 (__DATA,__bss) non-external _r_sort_a.bmin
00000001d71fc568 (__DATA,__bss) non-external _r_sort_a.count
00000001d71fc570 (__DATA,__bss) non-external _r_sort_a.nc
00000001d71fc578 (__DATA,__bss) non-external _r_sort_a_count
000000018b535248 (__TEXT,__text) non-external _r_sort_b
00000001d71fc594 (__DATA,__bss) non-external _r_sort_b.bmin
00000001d71fc588 (__DATA,__bss) non-external _r_sort_b.count
00000001d71fc590 (__DATA,__bss) non-external _r_sort_b.nc
00000001d71fc580 (__DATA,__bss) non-external _r_sort_b_count
000000018b5355ec (__TEXT,__text) non-external _r_sort_count_allocate
00000001d71faac8 (__DATA,__data) non-external _r_sort_count_control
000000018b534b8c (__TEXT,__text) external _radixsort
000000018b4f08d4 (__TEXT,__text) external _raise
000000018b4eb67c (__TEXT,__text) external _rand
00000001d71faae4 (__DATA,__data) non-external _rand_deg
000000018b4f170c (__TEXT,__text) external _rand_r
00000001d71faae8 (__DATA,__data) non-external _rand_sep
00000001d71faae0 (__DATA,__data) non-external _rand_type
000000018b5357a0 (__TEXT,__text) external _random
00000001d71fab08 (__DATA,__data) non-external _randtbl
000000018b5142bc (__TEXT,__text) non-external (was a private external) _rangematch
000000018b5044b4 (__TEXT,__text) non-external _raosnprintf
000000018b4efe84 (__TEXT,__text) external _rb_tree_count
000000018b4de5ec (__TEXT,__text) external _rb_tree_find_node
000000018b53db24 (__TEXT,__text) external _rb_tree_find_node_geq
000000018b4f7cb8 (__TEXT,__text) external _rb_tree_find_node_leq
000000018b4e94a0 (__TEXT,__text) external _rb_tree_init
000000018b4e89d8 (__TEXT,__text) external _rb_tree_insert_node
000000018b4f0b38 (__TEXT,__text) external _rb_tree_iterate
000000018b4e80c8 (__TEXT,__text) non-external _rb_tree_removal_rebalance
000000018b4eb8e4 (__TEXT,__text) external _rb_tree_remove_node
000000018b4dc46c (__TEXT,__text) non-external _rb_tree_reparent_nodes
000000018b54a0a0 (__TEXT,__const) non-external _rcsid
000000018b54af60 (__TEXT,__const) non-external _rcsid
000000018b54b01d (__TEXT,__const) non-external _rcsid
                 (undefined) external _read$NOCANCEL (from libsystem_kernel)
000000018b4da4b8 (__TEXT,__text) external _readdir
000000018b4d94c0 (__TEXT,__text) external _readdir_r
                 (undefined) external _readlink (from libsystem_kernel)
000000018b517c68 (__TEXT,__text) external _readpassphrase
                 (undefined) external _realloc (from libsystem_malloc)
                 (undefined) external _reallocarray$DARWIN_EXTSN (from libsystem_malloc)
000000018b4e27f4 (__TEXT,__text) external _reallocf
000000018b535aac (__TEXT,__text) external _realpath
000000018b4e29d0 (__TEXT,__text) external _realpath$DARWIN_EXTSN
00000001d95b9c30 (__DATA_DIRTY,__bss) non-external _realpath$DARWIN_EXTSN.rootdev
00000001d95b9c34 (__DATA_DIRTY,__bss) non-external _realpath$DARWIN_EXTSN.rootdev_inited
00000001d71fc598 (__DATA,__bss) non-external _realpath.rootdev
00000001d71fc59c (__DATA,__bss) non-external _realpath.rootdev_inited
000000018b50f550 (__TEXT,__text) non-external _rec_rdelete
000000018b54ae6a (__TEXT,__const) non-external _recargchar
000000018b54aed3 (__TEXT,__const) non-external _recargstring
000000018b4e3e38 (__TEXT,__text) external _recv
000000018b4f56d0 (__TEXT,__text) external _recv$NOCANCEL
000000018b53ddec (__TEXT,__text) external _regcomp
000000018b53dd64 (__TEXT,__text) external _regcomp_l
000000018b548264 (__TEXT,__text) external _regerror
000000018b4e804c (__TEXT,__text) external _regexec
000000018b53df58 (__TEXT,__text) external _regfree
000000018b50514c (__TEXT,__text) external _register_printf_domain_function
000000018b505234 (__TEXT,__text) non-external (was a private external) _register_printf_domain_render
000000018b50531c (__TEXT,__text) external _register_printf_domain_render_std
000000018b53dd40 (__TEXT,__text) external _regncomp
000000018b53dbac (__TEXT,__text) external _regncomp_l
000000018b4e4374 (__TEXT,__text) external _regnexec
000000018b53dee0 (__TEXT,__text) external _regwcomp
000000018b53de5c (__TEXT,__text) external _regwcomp_l
000000018b53e318 (__TEXT,__text) external _regwexec
000000018b53de38 (__TEXT,__text) external _regwncomp
000000018b53de10 (__TEXT,__text) external _regwncomp_l
000000018b53e2e8 (__TEXT,__text) external _regwnexec
000000018b4eb398 (__TEXT,__text) external _remove
000000018b536200 (__TEXT,__text) external _remque
00000001d253d5a8 (__DATA_CONST,__const) non-external _rerrs
000000018b4f1ff4 (__TEXT,__text) external _rewind
000000018b4d76fc (__TEXT,__text) external _rewinddir
000000018b4f0454 (__TEXT,__text) external _rindex
                 (undefined) external _rmdir (from libsystem_kernel)
00000001d95b99b8 (__DATA_DIRTY,__bss) non-external _rng
000000018b525970 (__TEXT,__text) external _rpmatch
00000001d71faaf8 (__DATA,__data) non-external _rptr
000000018b5253c8 (__TEXT,__text) non-external _sappend
00000001d95b9ab8 (__DATA_DIRTY,__bss) non-external _saved_categories
000000018b4fb7fc (__TEXT,__text) external _sbrk
00000001d71fb958 (__DATA,__bss) non-external _sbrk_curbrk
00000001d71fb950 (__DATA,__bss) non-external _sbrk_needs_init
00000001d71fa7a0 (__DATA,__data) non-external _sbrk_region_size
000000018b518228 (__TEXT,__text) external _scandir
000000018b539b60 (__TEXT,__text) external _scandir_b
000000018b527ee4 (__TEXT,__text) external _scanf
000000018b527f64 (__TEXT,__text) external _scanf_l
000000018b5183a4 (__TEXT,__text) external _seed48
00000001d71fc2d0 (__DATA,__bss) non-external _seed48.sseed
000000018b51840c (__TEXT,__text) external _seekdir
                 (undefined) external _select$NOCANCEL (from libsystem_kernel)
                 (undefined) external _semaphore_create (from libsystem_kernel)
000000018b4e1098 (__TEXT,__text) external _send
000000018b4f715c (__TEXT,__text) external _send$NOCANCEL
000000018b54af28 (__TEXT,__const) non-external _seps
00000001d71fbaa8 (__DATA,__bss) non-external _seq
000000018b4ff8e4 (__TEXT,__text) non-external _set_asl
000000018b4ffc30 (__TEXT,__text) non-external _set_file
                 (undefined) external _setattrlist (from libsystem_kernel)
