00000001e6fca860 (__DATA,__data) external _NDR_record
0000000180417d00 (__TEXT,__text) external _sem_unlink
0000000180417d2c (__TEXT,__text) external _sem_wait
0000000180416950 (__TEXT,__text) external _sem_wait$NOCANCEL
000000018040bd10 (__TEXT,__text) external _semaphore_create
000000018040c0a4 (__TEXT,__text) external _semaphore_destroy
000000018040be80 (__TEXT,__text) external _semaphore_signal
000000018041b8c8 (__TEXT,__text) external _semaphore_signal_all
0000000180408d50 (__TEXT,__text) external _semaphore_signal_all_trap
000000018041b8cc (__TEXT,__text) external _semaphore_signal_thread
0000000180408d5c (__TEXT,__text) external _semaphore_signal_thread_trap
0000000180408d44 (__TEXT,__text) external _semaphore_signal_trap
000000018040da38 (__TEXT,__text) external _semaphore_timedwait
000000018041b8d4 (__TEXT,__text) external _semaphore_timedwait_signal
0000000180408d8c (__TEXT,__text) external _semaphore_timedwait_signal_trap
0000000180408d80 (__TEXT,__text) external _semaphore_timedwait_trap
000000018040be7c (__TEXT,__text) external _semaphore_wait
000000018041b8d0 (__TEXT,__text) external _semaphore_wait_signal
0000000180408d74 (__TEXT,__text) external _semaphore_wait_signal_trap
0000000180408d68 (__TEXT,__text) external _semaphore_wait_trap
0000000180415af4 (__TEXT,__text) external _semctl
0000000180417d58 (__TEXT,__text) external _semget
0000000180417d84 (__TEXT,__text) external _semop
0000000180415ad0 (__TEXT,__text) external _semsys
0000000180417db0 (__TEXT,__text) external _sendfile
000000018040e974 (__TEXT,__text) external _sendmsg
000000018040d298 (__TEXT,__text) external _sendmsg$NOCANCEL
0000000180417ddc (__TEXT,__text) external _sendmsg_x
000000018040d34c (__TEXT,__text) external _sendto
000000018040d1b4 (__TEXT,__text) external _sendto$NOCANCEL
000000018040c560 (__TEXT,__text) external _setattrlist
0000000180417e08 (__TEXT,__text) external _setattrlistat
00000001804265c8 (__TEXT,__text) external _setaudit
0000000180417e34 (__TEXT,__text) external _setaudit_addr
0000000180417e60 (__TEXT,__text) external _setauid
0000000180412544 (__TEXT,__text) external _setegid
0000000180412518 (__TEXT,__text) external _seteuid
0000000180412274 (__TEXT,__text) external _setgid
0000000180417e8c (__TEXT,__text) external _setgroups
0000000180410924 (__TEXT,__text) external _setiopolicy_np
0000000180411614 (__TEXT,__text) external _setitimer
00000001804148b4 (__TEXT,__text) external _setpgid
0000000180411088 (__TEXT,__text) external _setpriority
0000000180417eb8 (__TEXT,__text) external _setprivexec
000000018041b7d8 (__TEXT,__text) external _setquota
00000001804169d4 (__TEXT,__text) external _setregid
0000000180416a00 (__TEXT,__text) external _setreuid
000000018040bac8 (__TEXT,__text) external _setrlimit
0000000180416a2c (__TEXT,__text) external _setsgroups_np
0000000180411790 (__TEXT,__text) external _setsid
000000018040d15c (__TEXT,__text) external _setsockopt
00000001804122a0 (__TEXT,__text) external _setuid
0000000180416ab0 (__TEXT,__text) external _setwgroups_np
000000018040c858 (__TEXT,__text) external _setxattr
000000018041f5d0 (__TEXT,__text) external _sfi_get_class_offtime
000000018041f5f8 (__TEXT,__text) external _sfi_process_get_flags
000000018041f5e4 (__TEXT,__text) external _sfi_process_set_flags
00000001804127ec (__TEXT,__text) external _sfi_set_class_offtime
0000000180415a90 (__TEXT,__text) external _shm_open
0000000180417ee4 (__TEXT,__text) external _shm_unlink
0000000180417f10 (__TEXT,__text) external _shmat
0000000180416b60 (__TEXT,__text) external _shmctl
0000000180417f3c (__TEXT,__text) external _shmdt
0000000180417f68 (__TEXT,__text) external _shmget
0000000180415b14 (__TEXT,__text) external _shmsys
000000018040d3fc (__TEXT,__text) external _shutdown
0000000180417f94 (__TEXT,__text) external _sigpending
000000018040c4b0 (__TEXT,__text) external _sigprocmask
0000000180424b1c (__TEXT,__text) external _sigsuspend
0000000180410530 (__TEXT,__text) external _sigsuspend$NOCANCEL
000000018040d080 (__TEXT,__text) external _socket
0000000180417fc0 (__TEXT,__text) external _socket_delegate
000000018040d26c (__TEXT,__text) external _socketpair
000000018041f0b0 (__TEXT,__text) external _stackshot_capture_with_config
000000018041eff4 (__TEXT,__text) external _stackshot_config_create
000000018041f214 (__TEXT,__text) external _stackshot_config_dealloc
000000018041f1bc (__TEXT,__text) external _stackshot_config_dealloc_buffer
000000018041f124 (__TEXT,__text) external _stackshot_config_get_stackshot_buffer
000000018041f130 (__TEXT,__text) external _stackshot_config_get_stackshot_size
000000018041f170 (__TEXT,__text) external _stackshot_config_set_delta_timestamp
000000018041f094 (__TEXT,__text) external _stackshot_config_set_flags
000000018041f194 (__TEXT,__text) external _stackshot_config_set_pagetable_mask
000000018041f078 (__TEXT,__text) external _stackshot_config_set_pid
000000018041f14c (__TEXT,__text) external _stackshot_config_set_size_hint
000000018041490c (__TEXT,__text) external _stat
000000018041490c (__TEXT,__text) external _stat64
0000000180418044 (__TEXT,__text) external _statfs
0000000180418044 (__TEXT,__text) external _statfs64
00000001e6fca910 (__DATA,__bss) non-external _supported
0000000180418070 (__TEXT,__text) external _swapon
0000000180408e4c (__TEXT,__text) external _swtch
0000000180408e40 (__TEXT,__text) external _swtch_pri
000000018040e91c (__TEXT,__text) external _symlink
000000018041809c (__TEXT,__text) external _symlinkat
00000001804180c8 (__TEXT,__text) external _sync
000000018040b1d4 (__TEXT,__text) external _syscall
0000000180408e58 (__TEXT,__text) external _syscall_thread_switch
000000018041f5bc (__TEXT,__text) external _system_get_sfi_window
00000001804180f4 (__TEXT,__text) external _system_override
000000018041282c (__TEXT,__text) external _system_set_sfi_window
00000001e6fca918 (__DATA,__bss) non-external _system_version_compat_check_path_suffix
00000001e6fca8c8 (__DATA,__common) external _system_version_compat_mode
0000000180434be8 (__TEXT,__text) external _task_assign
0000000180434d1c (__TEXT,__text) external _task_assign_default
0000000180432f94 (__TEXT,__text) external _task_create
00000001804371a8 (__TEXT,__text) external _task_create_identity_token
0000000180437478 (__TEXT,__text) external _task_dyld_process_info_notify_deregister
0000000180408c6c (__TEXT,__text) external _task_dyld_process_info_notify_get
0000000180437084 (__TEXT,__text) external _task_dyld_process_info_notify_register
0000000180408dd4 (__TEXT,__text) external _task_for_pid
0000000180435ee8 (__TEXT,__text) external _task_generate_corpse
0000000180434e3c (__TEXT,__text) external _task_get_assignment
0000000180436430 (__TEXT,__text) external _task_get_dyld_image_infos
0000000180434628 (__TEXT,__text) external _task_get_emulation_vector
0000000180436cd4 (__TEXT,__text) external _task_get_exc_guard_behavior
0000000180414378 (__TEXT,__text) external _task_get_exception_ports
0000000180437598 (__TEXT,__text) external _task_get_exception_ports_info
0000000180435ad0 (__TEXT,__text) external _task_get_mach_voucher
000000018040937c (__TEXT,__text) external _task_get_special_port
0000000180435160 (__TEXT,__text) external _task_get_state
0000000180437308 (__TEXT,__text) external _task_identity_token_get_task_port
0000000180409564 (__TEXT,__text) external _task_info
0000000180436af8 (__TEXT,__text) external _task_inspect
0000000180418120 (__TEXT,__text) external _task_inspect_for_pid
0000000180436048 (__TEXT,__text) external _task_map_corpse_info
0000000180436984 (__TEXT,__text) external _task_map_corpse_info_64
0000000180437bf0 (__TEXT,__text) external _task_map_kcdata_object_64
0000000180408dc8 (__TEXT,__text) external _task_name_for_pid
0000000180434390 (__TEXT,__text) external _task_policy
0000000180434060 (__TEXT,__text) external _task_policy_get
000000018040b558 (__TEXT,__text) external _task_policy_set
0000000180435928 (__TEXT,__text) external _task_purgable_info
000000018041814c (__TEXT,__text) external _task_read_for_pid
0000000180436818 (__TEXT,__text) external _task_register_dyld_get_process_state
00000001804361b8 (__TEXT,__text) external _task_register_dyld_image_infos
00000001804366f0 (__TEXT,__text) external _task_register_dyld_set_dyld_state
00000001804365c4 (__TEXT,__text) external _task_register_dyld_shared_cache_image_info
0000000180408f0c (__TEXT,__text) external _task_restartable_ranges_register
000000018040bafc (__TEXT,__text) external _task_restartable_ranges_synchronize
000000018043361c (__TEXT,__text) external _task_resume
0000000180435814 (__TEXT,__text) external _task_resume2
000000018043426c (__TEXT,__text) external _task_sample
000000018041b8f4 (__TEXT,__text) external _task_self_
0000000180408d14 (__TEXT,__text) external _task_self_trap
000000018043799c (__TEXT,__text) external _task_set_corpse_forking_behavior
000000018043450c (__TEXT,__text) external _task_set_emulation
00000001804347b8 (__TEXT,__text) external _task_set_emulation_vector
0000000180436e1c (__TEXT,__text) external _task_set_exc_guard_behavior
00000001804131ec (__TEXT,__text) external _task_set_exception_ports
0000000180413688 (__TEXT,__text) external _task_set_info
0000000180435c40 (__TEXT,__text) external _task_set_mach_voucher
000000018043555c (__TEXT,__text) external _task_set_phys_footprint_limit
0000000180434f9c (__TEXT,__text) external _task_set_policy
00000001804260c4 (__TEXT,__text) external _task_set_port_space
00000001804348f0 (__TEXT,__text) external _task_set_ras_pc
0000000180409fb0 (__TEXT,__text) external _task_set_special_port
00000001804353ac (__TEXT,__text) external _task_set_state
0000000180433508 (__TEXT,__text) external _task_suspend
00000001804356b4 (__TEXT,__text) external _task_suspend2
0000000180433a94 (__TEXT,__text) external _task_swap_exception_ports
0000000180435d64 (__TEXT,__text) external _task_swap_mach_voucher
000000018043311c (__TEXT,__text) external _task_terminate
0000000180437abc (__TEXT,__text) external _task_test_async_upcall_propagation
0000000180437878 (__TEXT,__text) external _task_test_sync_upcall
0000000180411ea4 (__TEXT,__text) external _task_threads
00000001804362f4 (__TEXT,__text) external _task_unregister_dyld_image_infos
0000000180434a0c (__TEXT,__text) external _task_zone_info
000000018041f4a0 (__TEXT,__text) external _terminate_with_payload
0000000180413648 (__TEXT,__text) external _terminate_with_reason
000000018043864c (__TEXT,__text) external _thread_abort
0000000180438760 (__TEXT,__text) external _thread_abort_safely
00000001804391ac (__TEXT,__text) external _thread_assign
00000001804392d0 (__TEXT,__text) external _thread_assign_default
0000000180439b0c (__TEXT,__text) external _thread_convert_thread_state
0000000180433730 (__TEXT,__text) external _thread_create
0000000180433890 (__TEXT,__text) external _thread_create_running
0000000180438874 (__TEXT,__text) external _thread_depress_abort
000000018040bfd0 (__TEXT,__text) external _thread_destruct_special_reply_port
00000001804393e4 (__TEXT,__text) external _thread_get_assignment
0000000180412840 (__TEXT,__text) external _thread_get_exception_ports
0000000180439d6c (__TEXT,__text) external _thread_get_exception_ports_info
00000001804396f4 (__TEXT,__text) external _thread_get_mach_voucher
000000018041db28 (__TEXT,__text) external _thread_get_register_pointer_values
0000000180438988 (__TEXT,__text) external _thread_get_special_port
0000000180408e10 (__TEXT,__text) external _thread_get_special_reply_port
0000000180412028 (__TEXT,__text) external _thread_get_state
0000000180410594 (__TEXT,__text) external _thread_info
000000018040dfbc (__TEXT,__text) external _thread_policy
00000001804122cc (__TEXT,__text) external _thread_policy_get
000000018040f148 (__TEXT,__text) external _thread_policy_set
0000000180438538 (__TEXT,__text) external _thread_resume
0000000180438f68 (__TEXT,__text) external _thread_sample
0000000180408d08 (__TEXT,__text) external _thread_self_trap
0000000180418178 (__TEXT,__text) external _thread_selfcounts
000000018040f44c (__TEXT,__text) external _thread_set_exception_ports
0000000180439864 (__TEXT,__text) external _thread_set_mach_voucher
000000018041da98 (__TEXT,__text) external _thread_set_policy
0000000180438af8 (__TEXT,__text) external _thread_set_special_port
0000000180438274 (__TEXT,__text) external _thread_set_state
0000000180438424 (__TEXT,__text) external _thread_suspend
0000000180438c2c (__TEXT,__text) external _thread_swap_exception_ports
0000000180439988 (__TEXT,__text) external _thread_swap_mach_voucher
000000018040e504 (__TEXT,__text) external _thread_switch
0000000180437d64 (__TEXT,__text) external _thread_terminate
00000001804281a0 (__TEXT,__text) external _thread_wire
000000018043ca78 (__TEXT,__const) non-external _times_now
00000001804181a4 (__TEXT,__text) external _tracker_action
00000001804181d0 (__TEXT,__text) external _truncate
000000018040e4ac (__TEXT,__text) external _umask
00000001804181fc (__TEXT,__text) external _undelete
0000000180418228 (__TEXT,__text) external _ungraftdmg
000000018040cd58 (__TEXT,__text) external _unlink
0000000180412b14 (__TEXT,__text) external _unlinkat
00000001804153fc (__TEXT,__text) external _unmount
0000000180418254 (__TEXT,__text) external _usrctl
000000018041d9dc (__TEXT,__text) external _utimensat
000000018040e4d8 (__TEXT,__text) external _utimes
0000000180418280 (__TEXT,__text) external _vfs_purge
000000018040b080 (__TEXT,__text) external _vm_allocate
00000001804282d4 (__TEXT,__text) external _vm_allocate_cpm
000000018043a6ac (__TEXT,__text) external _vm_behavior_set
000000018040be84 (__TEXT,__text) external _vm_copy
000000018040b170 (__TEXT,__text) external _vm_deallocate
000000018043a04c (__TEXT,__text) external _vm_inherit
00000001e82a35f0 (__DATA_DIRTY,__common) external _vm_kernel_page_mask
00000001e82a35f8 (__DATA_DIRTY,__common) external _vm_kernel_page_shift
00000001e82a35e8 (__DATA_DIRTY,__common) external _vm_kernel_page_size
000000018043a7d0 (__TEXT,__text) external _vm_machine_attribute
0000000180415060 (__TEXT,__text) external _vm_map
000000018043a92c (__TEXT,__text) external _vm_map_page_query
000000018043a588 (__TEXT,__text) external _vm_msync
00000001e82a3600 (__DATA_DIRTY,__common) external _vm_page_mask
00000001e82a3608 (__DATA_DIRTY,__common) external _vm_page_shift
00000001e82a3618 (__DATA_DIRTY,__common) external _vm_page_size
00000001804182ac (__TEXT,__text) external _vm_pressure_monitor
000000018040d7a4 (__TEXT,__text) external _vm_protect
000000018040c6c4 (__TEXT,__text) external _vm_purgable_control
0000000180412570 (__TEXT,__text) external _vm_read
000000018043a170 (__TEXT,__text) external _vm_read_list
000000018043a434 (__TEXT,__text) external _vm_read_overwrite
0000000180411144 (__TEXT,__text) external _vm_region_64
0000000180411374 (__TEXT,__text) external _vm_region_recurse_64
000000018040b330 (__TEXT,__text) external _vm_remap
00000001804264d0 (__TEXT,__text) external _vm_remap_new
0000000180428068 (__TEXT,__text) external _vm_wire
000000018043a2f8 (__TEXT,__text) external _vm_write
000000018040c424 (__TEXT,__text) external _voucher_mach_msg_adopt
0000000180409f20 (__TEXT,__text) external _voucher_mach_msg_clear
000000018040c40c (__TEXT,__text) external _voucher_mach_msg_revert
0000000180409ad4 (__TEXT,__text) external _voucher_mach_msg_set
00000001e6fca8a8 (__DATA,__common) external _vprintf_stderr_func
0000000180415320 (__TEXT,__text) external _wait4
00000001804182d8 (__TEXT,__text) external _waitid
0000000180416d5c (__TEXT,__text) external _waitid$NOCANCEL
00000001804251a4 (__TEXT,__text) external _work_interval_copy_port
0000000180411b38 (__TEXT,__text) external _work_interval_create
0000000180424f8c (__TEXT,__text) external _work_interval_destroy
0000000180424c00 (__TEXT,__text) external _work_interval_get_flags_from_port
0000000180411c78 (__TEXT,__text) external _work_interval_instance_alloc
0000000180424d68 (__TEXT,__text) external _work_interval_instance_clear
0000000180424f0c (__TEXT,__text) external _work_interval_instance_finish
0000000180424d7c (__TEXT,__text) external _work_interval_instance_free
0000000180424e30 (__TEXT,__text) external _work_interval_instance_get_complexity
0000000180424e00 (__TEXT,__text) external _work_interval_instance_get_deadline
0000000180424e18 (__TEXT,__text) external _work_interval_instance_get_finish
0000000180411d18 (__TEXT,__text) external _work_interval_instance_get_id
0000000180424de8 (__TEXT,__text) external _work_interval_instance_get_start
0000000180424e48 (__TEXT,__text) external _work_interval_instance_get_telemetry_data
0000000180424de0 (__TEXT,__text) external _work_interval_instance_set_complexity
0000000180424dd0 (__TEXT,__text) external _work_interval_instance_set_deadline
0000000180424dd8 (__TEXT,__text) external _work_interval_instance_set_finish
0000000180424dc8 (__TEXT,__text) external _work_interval_instance_set_start
0000000180424e64 (__TEXT,__text) external _work_interval_instance_start
0000000180424eb4 (__TEXT,__text) external _work_interval_instance_update
00000001804250f8 (__TEXT,__text) external _work_interval_join
0000000180425150 (__TEXT,__text) external _work_interval_join_port
0000000180425190 (__TEXT,__text) external _work_interval_leave
0000000180424c8c (__TEXT,__text) external _work_interval_notify
0000000180424d08 (__TEXT,__text) external _work_interval_notify_simple
000000018040c90c (__TEXT,__text) external _write
000000018040ccbc (__TEXT,__text) external _write$NOCANCEL
000000018040cc64 (__TEXT,__text) external _writev
0000000180416d88 (__TEXT,__text) external _writev$NOCANCEL
