000000018246f8a8 (__DATA,__data) external _NDR_record
000000018037ccf4 (__TEXT,__text) external _statfs
000000018037ccf4 (__TEXT,__text) external _statfs64
000000018246ffd0 (__DATA,__bss) non-external _supported
000000018037cd20 (__TEXT,__text) external _swapon
0000000180377fa0 (__TEXT,__text) external _swtch
0000000180377f94 (__TEXT,__text) external _swtch_pri
000000018037cd4c (__TEXT,__text) external _symlink
000000018037cd78 (__TEXT,__text) external _symlinkat
000000018037cda4 (__TEXT,__text) external _sync
000000018037a728 (__TEXT,__text) external _syscall
0000000180377fac (__TEXT,__text) external _syscall_thread_switch
000000018038629c (__TEXT,__text) external _system_get_sfi_window
000000018037cdd0 (__TEXT,__text) external _system_override
0000000180386288 (__TEXT,__text) external _system_set_sfi_window
000000018039fc70 (__TEXT,__text) external _task_assign
000000018039fda4 (__TEXT,__text) external _task_assign_default
000000018039d04c (__TEXT,__text) external _task_create
00000001803a2228 (__TEXT,__text) external _task_create_identity_token
00000001803a24f8 (__TEXT,__text) external _task_dyld_process_info_notify_deregister
0000000180377dc0 (__TEXT,__text) external _task_dyld_process_info_notify_get
00000001803a2104 (__TEXT,__text) external _task_dyld_process_info_notify_register
0000000180377f28 (__TEXT,__text) external _task_for_pid
00000001803a0f70 (__TEXT,__text) external _task_generate_corpse
000000018039fec4 (__TEXT,__text) external _task_get_assignment
00000001803a14b8 (__TEXT,__text) external _task_get_dyld_image_infos
000000018039f6b0 (__TEXT,__text) external _task_get_emulation_vector
00000001803a1d54 (__TEXT,__text) external _task_get_exc_guard_behavior
000000018039e450 (__TEXT,__text) external _task_get_exception_ports
00000001803a2618 (__TEXT,__text) external _task_get_exception_ports_info
00000001803a0b58 (__TEXT,__text) external _task_get_mach_voucher
000000018039dd10 (__TEXT,__text) external _task_get_special_port
00000001803a01e8 (__TEXT,__text) external _task_get_state
00000001803a2388 (__TEXT,__text) external _task_identity_token_get_task_port
000000018039d724 (__TEXT,__text) external _task_info
00000001803a1b80 (__TEXT,__text) external _task_inspect
000000018037cdfc (__TEXT,__text) external _task_inspect_for_pid
00000001803a10d0 (__TEXT,__text) external _task_map_corpse_info
00000001803a1a0c (__TEXT,__text) external _task_map_corpse_info_64
00000001803a2c70 (__TEXT,__text) external _task_map_kcdata_object_64
0000000180377f1c (__TEXT,__text) external _task_name_for_pid
000000018039f418 (__TEXT,__text) external _task_policy
000000018039f0e8 (__TEXT,__text) external _task_policy_get
000000018039ef88 (__TEXT,__text) external _task_policy_set
00000001803a09b0 (__TEXT,__text) external _task_purgable_info
000000018037ce28 (__TEXT,__text) external _task_read_for_pid
00000001803a18a0 (__TEXT,__text) external _task_register_dyld_get_process_state
00000001803a1240 (__TEXT,__text) external _task_register_dyld_image_infos
00000001803a1778 (__TEXT,__text) external _task_register_dyld_set_dyld_state
00000001803a164c (__TEXT,__text) external _task_register_dyld_shared_cache_image_info
00000001803a7714 (__TEXT,__text) external _task_restartable_ranges_register
00000001803a78c4 (__TEXT,__text) external _task_restartable_ranges_synchronize
000000018039dbfc (__TEXT,__text) external _task_resume
00000001803a089c (__TEXT,__text) external _task_resume2
000000018039f2f4 (__TEXT,__text) external _task_sample
0000000180380c08 (__TEXT,__text) external _task_self_
0000000180377e68 (__TEXT,__text) external _task_self_trap
00000001803a2a1c (__TEXT,__text) external _task_set_corpse_forking_behavior
000000018039f594 (__TEXT,__text) external _task_set_emulation
000000018039f840 (__TEXT,__text) external _task_set_emulation_vector
00000001803a1e9c (__TEXT,__text) external _task_set_exc_guard_behavior
000000018039e318 (__TEXT,__text) external _task_set_exception_ports
000000018039d944 (__TEXT,__text) external _task_set_info
00000001803a0cc8 (__TEXT,__text) external _task_set_mach_voucher
00000001803a05e4 (__TEXT,__text) external _task_set_phys_footprint_limit
00000001803a0024 (__TEXT,__text) external _task_set_policy
000000018038d75c (__TEXT,__text) external _task_set_port_space
000000018039f978 (__TEXT,__text) external _task_set_ras_pc
000000018039de80 (__TEXT,__text) external _task_set_special_port
00000001803a0434 (__TEXT,__text) external _task_set_state
000000018039dae8 (__TEXT,__text) external _task_suspend
00000001803a073c (__TEXT,__text) external _task_suspend2
000000018039e730 (__TEXT,__text) external _task_swap_exception_ports
00000001803a0dec (__TEXT,__text) external _task_swap_mach_voucher
000000018039d1d4 (__TEXT,__text) external _task_terminate
00000001803a2b3c (__TEXT,__text) external _task_test_async_upcall_propagation
00000001803a28f8 (__TEXT,__text) external _task_test_sync_upcall
000000018039d2e8 (__TEXT,__text) external _task_threads
00000001803a137c (__TEXT,__text) external _task_unregister_dyld_image_infos
000000018039fa94 (__TEXT,__text) external _task_zone_info
00000001803860ec (__TEXT,__text) external _terminate_with_payload
00000001803860d8 (__TEXT,__text) external _terminate_with_reason
00000001803a3918 (__TEXT,__text) external _thread_abort
00000001803a3a2c (__TEXT,__text) external _thread_abort_safely
00000001803a4f64 (__TEXT,__text) external _thread_assign
00000001803a5088 (__TEXT,__text) external _thread_assign_default
00000001803a58c4 (__TEXT,__text) external _thread_convert_thread_state
000000018039dfb4 (__TEXT,__text) external _thread_create
000000018039e114 (__TEXT,__text) external _thread_create_running
00000001803a3b40 (__TEXT,__text) external _thread_depress_abort
000000018038d88c (__TEXT,__text) external _thread_destruct_special_reply_port
00000001803a519c (__TEXT,__text) external _thread_get_assignment
00000001803a4228 (__TEXT,__text) external _thread_get_exception_ports
00000001803a5b24 (__TEXT,__text) external _thread_get_exception_ports_info
00000001803a54ac (__TEXT,__text) external _thread_get_mach_voucher
000000018038348c (__TEXT,__text) external _thread_get_register_pointer_values
00000001803a3c54 (__TEXT,__text) external _thread_get_special_port
0000000180377f64 (__TEXT,__text) external _thread_get_special_reply_port
00000001803a32f4 (__TEXT,__text) external _thread_get_state
00000001803a3ef8 (__TEXT,__text) external _thread_info
00000001803832d0 (__TEXT,__text) external _thread_policy
00000001803a4b14 (__TEXT,__text) external _thread_policy_get
0000000180383364 (__TEXT,__text) external _thread_policy_set
00000001803a3804 (__TEXT,__text) external _thread_resume
00000001803a4d20 (__TEXT,__text) external _thread_sample
0000000180377e5c (__TEXT,__text) external _thread_self_trap
000000018037ce54 (__TEXT,__text) external _thread_selfcounts
00000001803a40f0 (__TEXT,__text) external _thread_set_exception_ports
00000001803a561c (__TEXT,__text) external _thread_set_mach_voucher
00000001803833f8 (__TEXT,__text) external _thread_set_policy
00000001803a3dc4 (__TEXT,__text) external _thread_set_special_port
00000001803a3540 (__TEXT,__text) external _thread_set_state
00000001803a36f0 (__TEXT,__text) external _thread_suspend
00000001803a4508 (__TEXT,__text) external _thread_swap_exception_ports
00000001803a5740 (__TEXT,__text) external _thread_swap_mach_voucher
0000000180380b08 (__TEXT,__text) external _thread_switch
00000001803a2de4 (__TEXT,__text) external _thread_terminate
0000000180390410 (__TEXT,__text) external _thread_wire
00000001803a9ab0 (__TEXT,__const) non-external _times_now
000000018037ce80 (__TEXT,__text) external _tracker_action
000000018037ceac (__TEXT,__text) external _truncate
000000018037ced8 (__TEXT,__text) external _umask
000000018037cf04 (__TEXT,__text) external _undelete
000000018037cf30 (__TEXT,__text) external _ungraftdmg
000000018038ba54 (__TEXT,__text) external _unlink
000000018037ef9c (__TEXT,__text) external _unlinkat
000000018037cf5c (__TEXT,__text) external _unmount
000000018037cf88 (__TEXT,__text) external _usrctl
0000000180383210 (__TEXT,__text) external _utimensat
000000018037cfb4 (__TEXT,__text) external _utimes
000000018037cfe0 (__TEXT,__text) external _vfs_purge
000000018038df50 (__TEXT,__text) external _vm_allocate
0000000180390544 (__TEXT,__text) external _vm_allocate_cpm
00000001803a6710 (__TEXT,__text) external _vm_behavior_set
00000001803a6378 (__TEXT,__text) external _vm_copy
000000018038df90 (__TEXT,__text) external _vm_deallocate
00000001803a5e04 (__TEXT,__text) external _vm_inherit
000000018246f908 (__DATA,__common) external _vm_kernel_page_mask
000000018246f910 (__DATA,__common) external _vm_kernel_page_shift
000000018246f900 (__DATA,__common) external _vm_kernel_page_size
00000001803a69c8 (__TEXT,__text) external _vm_machine_attribute
000000018038e27c (__TEXT,__text) external _vm_map
00000001803a6cbc (__TEXT,__text) external _vm_map_page_query
00000001803a65ec (__TEXT,__text) external _vm_msync
000000018246f918 (__DATA,__common) external _vm_page_mask
000000018246f920 (__DATA,__common) external _vm_page_shift
000000018246f938 (__DATA,__common) external _vm_page_size
000000018037d00c (__TEXT,__text) external _vm_pressure_monitor
000000018038df94 (__TEXT,__text) external _vm_protect
000000018038e528 (__TEXT,__text) external _vm_purgable_control
000000018038e440 (__TEXT,__text) external _vm_read
00000001803a60b4 (__TEXT,__text) external _vm_read_list
00000001803a6498 (__TEXT,__text) external _vm_read_overwrite
00000001803a7040 (__TEXT,__text) external _vm_region_64
00000001803a6e24 (__TEXT,__text) external _vm_region_recurse_64
000000018038e318 (__TEXT,__text) external _vm_remap
000000018038e3ac (__TEXT,__text) external _vm_remap_new
00000001803902d8 (__TEXT,__text) external _vm_wire
00000001803a623c (__TEXT,__text) external _vm_write
000000018037d270 (__TEXT,__text) external _voucher_mach_msg_adopt
000000018037d254 (__TEXT,__text) external _voucher_mach_msg_clear
000000018037d290 (__TEXT,__text) external _voucher_mach_msg_revert
000000018037d234 (__TEXT,__text) external _voucher_mach_msg_set
000000018246f8f0 (__DATA,__common) external _vprintf_stderr_func
000000018037aa10 (__TEXT,__text) external _wait4
000000018037d038 (__TEXT,__text) external _waitid
000000018037aa3c (__TEXT,__text) external _waitid$NOCANCEL
000000018038c224 (__TEXT,__text) external _work_interval_copy_port
000000018038bb14 (__TEXT,__text) external _work_interval_create
000000018038c004 (__TEXT,__text) external _work_interval_destroy
000000018038bc2c (__TEXT,__text) external _work_interval_get_flags_from_port
000000018038bd94 (__TEXT,__text) external _work_interval_instance_alloc
000000018038bdf0 (__TEXT,__text) external _work_interval_instance_clear
000000018038bf84 (__TEXT,__text) external _work_interval_instance_finish
000000018038be04 (__TEXT,__text) external _work_interval_instance_free
000000018038bebc (__TEXT,__text) external _work_interval_instance_get_complexity
000000018038be8c (__TEXT,__text) external _work_interval_instance_get_deadline
000000018038bea4 (__TEXT,__text) external _work_interval_instance_get_finish
000000018038bed4 (__TEXT,__text) external _work_interval_instance_get_id
000000018038be74 (__TEXT,__text) external _work_interval_instance_get_start
000000018038be6c (__TEXT,__text) external _work_interval_instance_set_complexity
000000018038be5c (__TEXT,__text) external _work_interval_instance_set_deadline
000000018038be64 (__TEXT,__text) external _work_interval_instance_set_finish
000000018038be54 (__TEXT,__text) external _work_interval_instance_set_start
000000018038bedc (__TEXT,__text) external _work_interval_instance_start
000000018038bf2c (__TEXT,__text) external _work_interval_instance_update
000000018038c178 (__TEXT,__text) external _work_interval_join
000000018038c1d0 (__TEXT,__text) external _work_interval_join_port
000000018038c210 (__TEXT,__text) external _work_interval_leave
000000018038bcb8 (__TEXT,__text) external _work_interval_notify
000000018038bd34 (__TEXT,__text) external _work_interval_notify_simple
000000018037d064 (__TEXT,__text) external _write
000000018037aaec (__TEXT,__text) external _write$NOCANCEL
000000018037d090 (__TEXT,__text) external _writev
000000018037ab18 (__TEXT,__text) external _writev$NOCANCEL
