00000001d5b602f8 (__DATA,__data) non-external _.compoundliteral
00000001d392d5f0 (__DATA_CONST,__const) non-external _network_filter_constants
0000000183c6ace4 (__TEXT,__text) non-external _new_frame_in_env
0000000183c6b194 (__TEXT,__text) non-external _new_slot_spec_in_env
0000000183cb8728 (__TEXT,__const) non-external _nfBasicCF
0000000183cb4b68 (__TEXT,__const) non-external _nfTrieHi
0000000183cb9128 (__TEXT,__const) non-external _nfTrieLo
0000000183cb7548 (__TEXT,__const) non-external _nfTrieMid
0000000183cb5194 (__TEXT,__const) non-external _nfU16InvMasks
0000000183cb529c (__TEXT,__const) non-external _nfU16Seq2
0000000183cb5eb0 (__TEXT,__const) non-external _nfU16Seq3
0000000183cb63e4 (__TEXT,__const) non-external _nfU16SeqMisc
0000000183cb6570 (__TEXT,__const) non-external _nfU32Char
0000000183cb73ec (__TEXT,__const) non-external _nfU32SeqMisc
0000000183c6fe7c (__TEXT,__text) non-external _num_eq
0000000183c7725c (__TEXT,__text) non-external _num_ge
0000000183c7c85c (__TEXT,__text) non-external _num_gt
0000000183c86ca4 (__TEXT,__text) non-external _num_le
0000000183c86c5c (__TEXT,__text) non-external _num_lt
0000000183c87a28 (__TEXT,__text) non-external _num_mod
00000001d6c471e0 (__DATA_DIRTY,__bss) non-external _num_one
0000000183c879b8 (__TEXT,__text) non-external _num_rem
00000001d6c471d0 (__DATA_DIRTY,__bss) non-external _num_zero
0000000183c74b08 (__TEXT,__text) non-external (was a private external) _objvalue
0000000183c6af60 (__TEXT,__text) non-external _oblist_add_by_name
0000000183c6aea0 (__TEXT,__text) non-external _oblist_find_by_name
0000000183c79bc8 (__TEXT,__text) non-external _op_concat
0000000183c7a104 (__TEXT,__text) non-external _operand_release
0000000183c92f14 (__TEXT,__text) non-external _operation_expand
00000001d392ec10 (__DATA_CONST,__const) non-external _operation_info
00000001d392e5f8 (__DATA_CONST,__const) non-external _operation_names
0000000183c92db8 (__TEXT,__text) non-external _operations_allowed_by_default
0000000183c90178 (__TEXT,__text) non-external _operator_name
0000000183c799c8 (__TEXT,__text) non-external _operator_precedence
0000000183c6b934 (__TEXT,__text) non-external _opexe_0
0000000183c94bec (__TEXT,__text) non-external _opexe_0.cold.1
0000000183c94c18 (__TEXT,__text) non-external _opexe_0.cold.2
0000000183c6df88 (__TEXT,__text) non-external _opexe_1
0000000183c6ea98 (__TEXT,__text) non-external _opexe_2
0000000183c6f9b0 (__TEXT,__text) non-external _opexe_3
0000000183c70030 (__TEXT,__text) non-external _opexe_4
0000000183c6ccc4 (__TEXT,__text) non-external _opexe_5
0000000183c8600c (__TEXT,__text) non-external _opexe_6
                 (undefined) external _os_log_type_enabled (from libSystem)
0000000183c726d8 (__TEXT,__text) non-external (was a private external) _pair_car
0000000183c7273c (__TEXT,__text) non-external (was a private external) _pair_cdr
0000000183c737d8 (__TEXT,__text) non-external _parse_pattern
0000000183c8ff74 (__TEXT,__text) non-external _peek_operand
0000000183cb043e (__TEXT,__const) non-external _policy_scm
0000000183c8bb54 (__TEXT,__text) non-external _populate_modifier_descriptor
0000000183c8bf54 (__TEXT,__text) non-external _populate_modifier_msgfilter_descriptor
0000000183c71aa8 (__TEXT,__text) non-external _port_close
0000000183c86ef4 (__TEXT,__text) non-external _port_from_file
0000000183c6b314 (__TEXT,__text) non-external _port_from_string
0000000183c72ef8 (__TEXT,__text) non-external _port_rep_from_file
0000000183c85070 (__TEXT,__text) non-external _previously_emitted_buffer
0000000183c8b464 (__TEXT,__text) non-external _previously_emitted_condition
0000000183c88394 (__TEXT,__text) non-external _printatom
0000000183c87f48 (__TEXT,__text) non-external _printslashstring
00000001d392d238 (__DATA_CONST,__const) non-external _profile_dirs
0000000183c8b070 (__TEXT,__text) non-external _profile_has_mach_message_filters
0000000183c8b02c (__TEXT,__text) non-external _profile_has_message_filters
0000000183c7bff8 (__TEXT,__text) non-external _push_bytes
0000000183c7a964 (__TEXT,__text) non-external _push_byteset
0000000183c900f4 (__TEXT,__text) non-external _push_byteset_skip
0000000183c7c1d8 (__TEXT,__text) non-external _push_jne_instr
0000000183c79a18 (__TEXT,__text) non-external _push_literal
0000000183c7c388 (__TEXT,__text) non-external _push_match_sequence_instr
0000000183c935fc (__TEXT,__text) non-external _push_match_variable_instr
0000000183c869dc (__TEXT,__text) non-external _push_nop
0000000183c90210 (__TEXT,__text) non-external _push_operand
0000000183c79538 (__TEXT,__text) non-external _push_operator
0000000183c93794 (__TEXT,__text) non-external _push_repeat_seek_byte_instr
0000000183c90028 (__TEXT,__text) non-external _push_seek
0000000183c936b8 (__TEXT,__text) non-external _push_seek_byte_instr
0000000183c86e2c (__TEXT,__text) non-external (was a private external) _putcharacter
0000000183c86ddc (__TEXT,__text) non-external (was a private external) _putstr
0000000183c882e8 (__TEXT,__text) non-external _readsharpstrexp
0000000183c6db94 (__TEXT,__text) non-external _readstr_upto
0000000183c8807c (__TEXT,__text) non-external _readstrexp
                 (undefined) external _realloc (from libSystem)
                 (undefined) external _reallocf (from libSystem)
0000000183c8524c (__TEXT,__text) non-external _record_buffer_data
0000000183c8533c (__TEXT,__text) non-external _record_condition_data
0000000183c7c58c (__TEXT,__text) non-external _regex_quote
0000000183c90080 (__TEXT,__text) non-external _remove_leading_literal_byte
0000000183c81dcc (__TEXT,__text) non-external _reorder_condition
0000000183c81ee0 (__TEXT,__text) non-external _reorder_condition_list
0000000183c90418 (__TEXT,__text) non-external _reorder_policy
0000000183c772e4 (__TEXT,__text) non-external _reverse
0000000183c70f7c (__TEXT,__text) non-external (was a private external) _s_cons
0000000183c70944 (__TEXT,__text) non-external (was a private external) _s_immutable_cons
0000000183c6c7a0 (__TEXT,__text) non-external _s_save
0000000183c85998 (__TEXT,__text) external _sandbox_apply
0000000183c859a0 (__TEXT,__text) external _sandbox_apply_container
0000000183c88c24 (__TEXT,__text) external _sandbox_compile_entitlements
0000000183c67764 (__TEXT,__text) external _sandbox_compile_file
0000000183c676c0 (__TEXT,__text) external _sandbox_compile_named
0000000183c866a0 (__TEXT,__text) external _sandbox_compile_string
0000000183c895e0 (__TEXT,__text) external _sandbox_container_paths_iterate_items
0000000183c6756c (__TEXT,__text) external _sandbox_create_params
0000000183c89a78 (__TEXT,__text) external _sandbox_exempt_from_network_approval_policy
0000000183c85a80 (__TEXT,__text) external _sandbox_free_params
0000000183c85a34 (__TEXT,__text) external _sandbox_free_profile
0000000183c88d70 (__TEXT,__text) external _sandbox_inspect_pid
0000000183c88e68 (__TEXT,__text) external _sandbox_inspect_smemory
0000000183c895f0 (__TEXT,__text) external _sandbox_prepare_user_home_mount
0000000183c89b44 (__TEXT,__text) external _sandbox_register_network_approval_policy_exemption_for_share
0000000183c88c44 (__TEXT,__text) external _sandbox_register_profile
0000000183c89f18 (__TEXT,__text) external _sandbox_register_sync_root
0000000183c675c8 (__TEXT,__text) external _sandbox_set_param
0000000183c88f04 (__TEXT,__text) external _sandbox_set_user_state_item
0000000183c88f18 (__TEXT,__text) external _sandbox_set_user_state_item_with_persona
0000000183c88d38 (__TEXT,__text) external _sandbox_unregister_all_profiles
0000000183c88ce4 (__TEXT,__text) external _sandbox_unregister_profile
0000000183c88e70 (__TEXT,__text) external _sandbox_user_state_item_buffer_create
0000000183c88ed8 (__TEXT,__text) external _sandbox_user_state_item_buffer_destroy
0000000183c88e78 (__TEXT,__text) external _sandbox_user_state_item_buffer_send
0000000183c89220 (__TEXT,__text) external _sandbox_user_state_iterate_items
0000000183c8a170 (__TEXT,__text) non-external _sb_annotation_destroy
0000000183c8a0a4 (__TEXT,__text) non-external _sb_annotation_list_copy
0000000183c840c4 (__TEXT,__text) non-external _sb_annotation_set_integer
0000000183c8ac94 (__TEXT,__text) non-external _sb_bitmask_clear_bit
0000000183c8aa28 (__TEXT,__text) non-external _sb_bitmask_create_empty
0000000183c8ab50 (__TEXT,__text) non-external _sb_bitmask_get_hash
0000000183c8ac04 (__TEXT,__text) non-external _sb_bitmask_iterate_set
0000000183c8a998 (__TEXT,__text) non-external _sb_bitmask_release
0000000183c8a930 (__TEXT,__text) non-external _sb_bitmask_retain
0000000183c69b0c (__TEXT,__text) non-external _sb_buffer_alloc
0000000183c7acb4 (__TEXT,__text) non-external _sb_buffer_get_byte_count
0000000183c7ad50 (__TEXT,__text) non-external _sb_buffer_get_hash
0000000183c7c4b8 (__TEXT,__text) non-external _sb_buffer_is_equivalent
0000000183c73e2c (__TEXT,__text) non-external _sb_buffer_release
0000000183c7b1d8 (__TEXT,__text) non-external _sb_buffer_retain
0000000183c8acec (__TEXT,__text) non-external _sb_buffer_with_contents_of_file
0000000183c7ad00 (__TEXT,__text) non-external _sb_buffer_with_data_pointer
0000000183c7a6e8 (__TEXT,__text) non-external _sb_byteset_add_byte
0000000183c8ca98 (__TEXT,__text) non-external _sb_byteset_copy
0000000183c7a9e8 (__TEXT,__text) non-external _sb_byteset_get_population
0000000183c83528 (__TEXT,__text) non-external _sb_byteset_is_equivalent
0000000183c7cc68 (__TEXT,__text) non-external _sb_byteset_iterate_ranges
0000000183c7a898 (__TEXT,__text) non-external _sb_byteset_negate
0000000183c7a690 (__TEXT,__text) non-external _sb_byteset_new
0000000183c7a818 (__TEXT,__text) non-external _sb_byteset_release
0000000183c7a7b0 (__TEXT,__text) non-external _sb_byteset_retain
0000000183c7cdbc (__TEXT,__text) non-external _sb_byteset_union
0000000183c8c9a8 (__TEXT,__text) non-external _sb_byteset_with_range
0000000183c69970 (__TEXT,__text) non-external _sb_calloc
0000000183c8ce5c (__TEXT,__text) non-external _sb_condition_boolean
0000000183c77544 (__TEXT,__text) non-external _sb_condition_conjunction
0000000183c86480 (__TEXT,__text) non-external _sb_condition_constant
0000000183c747c8 (__TEXT,__text) non-external _sb_condition_disjunction
0000000183c8db44 (__TEXT,__text) non-external _sb_condition_is_bitmask
0000000183c8d9ac (__TEXT,__text) non-external _sb_condition_is_boolean
0000000183c7faf4 (__TEXT,__text) non-external _sb_condition_is_conjunction
0000000183c7783c (__TEXT,__text) non-external _sb_condition_is_contrary
0000000183c7edd4 (__TEXT,__text) non-external _sb_condition_is_disjunction
0000000183c78004 (__TEXT,__text) non-external _sb_condition_is_equivalent
0000000183c84e0c (__TEXT,__text) non-external _sb_condition_is_integer
0000000183c8dabc (__TEXT,__text) non-external _sb_condition_is_network
0000000183c7fd40 (__TEXT,__text) non-external _sb_condition_is_pattern
0000000183c742e0 (__TEXT,__text) non-external _sb_condition_is_regex
0000000183c8da34 (__TEXT,__text) non-external _sb_condition_is_string_textbuf
0000000183c7fee4 (__TEXT,__text) non-external _sb_condition_is_transposable
0000000183c74368 (__TEXT,__text) non-external _sb_condition_list_append
0000000183c80488 (__TEXT,__text) non-external _sb_condition_list_contains_condition
0000000183c800e4 (__TEXT,__text) non-external _sb_condition_list_copy
0000000183c7b2e8 (__TEXT,__text) non-external _sb_condition_list_every_condition_matches_predicate
0000000183c8dc9c (__TEXT,__text) non-external _sb_condition_list_filter
0000000183c76f24 (__TEXT,__text) non-external _sb_condition_list_get_hash
0000000183c8302c (__TEXT,__text) non-external _sb_condition_list_is_equivalent
0000000183c770c4 (__TEXT,__text) non-external _sb_condition_list_iterate
0000000183c80afc (__TEXT,__text) non-external _sb_condition_list_iterate_reverse
0000000183c725d4 (__TEXT,__text) non-external _sb_condition_list_new
0000000183c72dd8 (__TEXT,__text) non-external _sb_condition_list_release
0000000183c80214 (__TEXT,__text) non-external _sb_condition_list_remove
0000000183c813a4 (__TEXT,__text) non-external _sb_condition_matches_subset
0000000183c7ecac (__TEXT,__text) non-external _sb_condition_negation
0000000183c85f78 (__TEXT,__text) non-external _sb_condition_network
0000000183c73f8c (__TEXT,__text) non-external _sb_condition_new
0000000183c7a600 (__TEXT,__text) non-external _sb_condition_pattern
0000000183c74c18 (__TEXT,__text) non-external _sb_condition_pattern_path
0000000183c7462c (__TEXT,__text) non-external _sb_condition_release
0000000183c7b0ec (__TEXT,__text) non-external _sb_condition_string
0000000183c69640 (__TEXT,__text) non-external _sb_context_intern_string
0000000183c72adc (__TEXT,__text) non-external _sb_context_release
0000000183c72a34 (__TEXT,__text) non-external _sb_context_release_modification
0000000183c6951c (__TEXT,__text) non-external _sb_context_retain
0000000183c8dd1c (__TEXT,__text) non-external _sb_context_retain_modification
0000000183c8e0a0 (__TEXT,__text) non-external _sb_error_fatal
0000000183c8e288 (__TEXT,__text) non-external _sb_error_fatal_for_instruction
0000000183c8e0ec (__TEXT,__text) non-external _sb_error_for_instruction
0000000183c7ab4c (__TEXT,__text) non-external _sb_error_new
00000001d392d5b0 (__DATA_CONST,__const) non-external _sb_error_out_of_memory.oom_error
0000000183c7aaa0 (__TEXT,__text) non-external _sb_error_set_unsupported_with_format
0000000183c8df68 (__TEXT,__text) non-external _sb_error_set_with_description
0000000183c8e074 (__TEXT,__text) non-external _sb_error_set_with_format
0000000183c8dfd4 (__TEXT,__text) non-external _sb_error_set_with_formatv
0000000183c71448 (__TEXT,__text) non-external _sb_filter_accepts_type
0000000183c8e5e0 (__TEXT,__text) non-external _sb_filter_has_atom_namespace
0000000183c74144 (__TEXT,__text) non-external _sb_filter_has_dependency
00000001d6c471f0 (__DATA_DIRTY,__bss) non-external _sb_filter_has_side_effects.filterset
00000001d6c47200 (__DATA_DIRTY,__bss) non-external _sb_filter_has_side_effects.onceToken
0000000183c7314c (__TEXT,__text) non-external _sb_filter_is_case_sensitive
0000000183c8e58c (__TEXT,__text) non-external _sb_filter_pattern_values_can_be_mutually_exclusive
0000000183c73280 (__TEXT,__text) non-external _sb_fsa_acceptor
0000000183c75e8c (__TEXT,__text) non-external _sb_fsa_copy
0000000183c75ca0 (__TEXT,__text) non-external _sb_fsa_disjunction
0000000183c76120 (__TEXT,__text) non-external _sb_fsa_get_recognizer_child
0000000183c8175c (__TEXT,__text) non-external _sb_fsa_is_backtracking_recognizer
0000000183c81620 (__TEXT,__text) non-external _sb_fsa_matches_subset
0000000183c8a8dc (__TEXT,__text) non-external _sb_fsa_may_backtrack
0000000183c7cab0 (__TEXT,__text) non-external _sb_fsa_recognizer_byteset
0000000183c7cee0 (__TEXT,__text) non-external _sb_fsa_recognizer_byteset_skip
0000000183c7ca00 (__TEXT,__text) non-external _sb_fsa_recognizer_seek_byte
0000000183c7a550 (__TEXT,__text) non-external _sb_fsa_recognizer_seek_byte_with_retry
0000000183c75a1c (__TEXT,__text) non-external _sb_fsa_recognizer_sequence
0000000183c75c48 (__TEXT,__text) non-external _sb_fsa_recognizer_terminal
0000000183c8a388 (__TEXT,__text) non-external _sb_fsa_recognizer_variable
0000000183c73cf4 (__TEXT,__text) non-external _sb_fsa_release
0000000183c76d1c (__TEXT,__text) non-external _sb_fsa_release_indegree
0000000183c73c24 (__TEXT,__text) non-external _sb_fsa_retain
0000000183c75bb4 (__TEXT,__text) non-external _sb_fsa_retain_indegree
0000000183c7c8a0 (__TEXT,__text) non-external _sb_fsa_set_recognizer_child
0000000183c699e0 (__TEXT,__text) non-external _sb_hash_compute
0000000183c88d84 (__TEXT,__text) non-external _sb_inspect_subsystem
0000000183c69d78 (__TEXT,__text) non-external _sb_instr_action
0000000183c74b10 (__TEXT,__text) non-external _sb_instr_conditional
0000000183c8e724 (__TEXT,__text) non-external _sb_instr_deep_copy
0000000183c835b0 (__TEXT,__text) non-external _sb_instr_get_action_modifiers
0000000183c7eed0 (__TEXT,__text) non-external _sb_instr_get_jump_target
0000000183c7e8fc (__TEXT,__text) non-external _sb_instr_is_equivalent
0000000183c8e85c (__TEXT,__text) non-external _sb_instr_is_unmodified_allow_action
0000000183c8e678 (__TEXT,__text) non-external _sb_instr_jump
0000000183c69df0 (__TEXT,__text) non-external _sb_instr_new
0000000183c69fdc (__TEXT,__text) non-external _sb_instr_release
0000000183c7eb34 (__TEXT,__text) non-external _sb_instr_replace
0000000183c69eac (__TEXT,__text) non-external _sb_instr_retain
0000000183c7f068 (__TEXT,__text) non-external _sb_instr_set_condition
0000000183c7b010 (__TEXT,__text) non-external _sb_instr_set_false_branch
0000000183c81274 (__TEXT,__text) non-external _sb_instr_set_true_branch
0000000183c69f14 (__TEXT,__text) non-external _sb_instr_track
0000000183c69a50 (__TEXT,__text) non-external _sb_malloc
0000000183c8f0fc (__TEXT,__text) non-external _sb_modifier_get_name
0000000183c7860c (__TEXT,__text) non-external _sb_modifier_requires_argument
0000000183c7289c (__TEXT,__text) non-external _sb_modifiers_iterate
0000000183c72920 (__TEXT,__text) non-external _sb_modifiers_release
0000000183c8f2ec (__TEXT,__text) non-external _sb_modifiers_set_deny_errno
0000000183c8f3fc (__TEXT,__text) non-external _sb_modifiers_set_message_filter
0000000183c8f148 (__TEXT,__text) non-external _sb_modifiers_set_modifier
0000000183c8f270 (__TEXT,__text) non-external _sb_modifiers_set_signal
0000000183c8eef0 (__TEXT,__text) non-external _sb_msgfilter_is_equivalent
0000000183c8efdc (__TEXT,__text) non-external _sb_msgfilter_iterate_entry_points
0000000183c8ee30 (__TEXT,__text) non-external _sb_msgfilter_release
0000000183c85768 (__TEXT,__text) non-external _sb_mutable_buffer_make_immutable
0000000183c7d9a4 (__TEXT,__text) non-external _sb_mutable_buffer_new
0000000183c8585c (__TEXT,__text) non-external _sb_mutable_buffer_release
0000000183c84160 (__TEXT,__text) non-external _sb_mutable_buffer_set_minimum_size
0000000183c84208 (__TEXT,__text) non-external _sb_mutable_buffer_write
0000000183c88618 (__TEXT,__text) non-external (was a private external) _sb_packbuff_free
0000000183c94da4 (__TEXT,__text) non-external _sb_packbuff_free.cold.1
0000000183c886b8 (__TEXT,__text) non-external (was a private external) _sb_packbuff_get_bytes
0000000183c886c8 (__TEXT,__text) non-external (was a private external) _sb_packbuff_get_item_value_type
0000000183c886c0 (__TEXT,__text) non-external (was a private external) _sb_packbuff_get_size
0000000183c885ac (__TEXT,__text) non-external (was a private external) _sb_packbuff_init_with_buffer
0000000183c88458 (__TEXT,__text) non-external (was a private external) _sb_packbuff_new
0000000183c88900 (__TEXT,__text) non-external _sb_packbuff_pack_item
0000000183c94e64 (__TEXT,__text) non-external _sb_packbuff_pack_item.cold.1
0000000183c94e90 (__TEXT,__text) non-external _sb_packbuff_pack_item.cold.2
0000000183c88a74 (__TEXT,__text) non-external (was a private external) _sb_packbuff_pack_key_with_string_value
0000000183c88a40 (__TEXT,__text) non-external (was a private external) _sb_packbuff_pack_string
0000000183c888e8 (__TEXT,__text) non-external (was a private external) _sb_packbuff_pack_uint32
0000000183c884e8 (__TEXT,__text) non-external _sb_packbuff_realloc
0000000183c88780 (__TEXT,__text) non-external _sb_packbuff_unpack_item
0000000183c94e38 (__TEXT,__text) non-external _sb_packbuff_unpack_item.cold.1
0000000183c88b4c (__TEXT,__text) non-external (was a private external) _sb_packbuff_unpack_key_with_string_value
0000000183c88864 (__TEXT,__text) non-external (was a private external) _sb_packbuff_unpack_string
0000000183c88708 (__TEXT,__text) non-external (was a private external) _sb_packbuff_unpack_uint32
0000000183c7aeec (__TEXT,__text) non-external _sb_pattern_is_disjoint_with_regex
0000000183c73c8c (__TEXT,__text) non-external _sb_pattern_new
0000000183c731b4 (__TEXT,__text) non-external _sb_pattern_prefix
0000000183c7882c (__TEXT,__text) non-external _sb_pattern_regex
0000000183c7421c (__TEXT,__text) non-external _sb_pattern_release
0000000183c741b4 (__TEXT,__text) non-external _sb_pattern_retain
0000000183c7b6c0 (__TEXT,__text) non-external _sb_pattern_serialize
0000000183c94510 (__TEXT,__text) non-external _sb_pattern_var_release
0000000183c944a8 (__TEXT,__text) non-external _sb_pattern_var_retain
0000000183c9462c (__TEXT,__text) non-external _sb_pattern_var_set_ordinal
0000000183c9484c (__TEXT,__text) non-external _sb_pattern_varset_enter
0000000183c949c8 (__TEXT,__text) non-external _sb_pattern_varset_get_available_ordinal
0000000183c86590 (__TEXT,__text) non-external _sb_pattern_varset_release
0000000183c864c4 (__TEXT,__text) non-external _sb_pattern_varset_retain
0000000183c8fc64 (__TEXT,__text) non-external _sb_policy_get_entry_point
0000000183c8fc04 (__TEXT,__text) non-external _sb_policy_is_operation_supported
0000000183c8fcc0 (__TEXT,__text) non-external _sb_policy_iterate_entry_points
0000000183c8f8a4 (__TEXT,__text) non-external _sb_policy_new
0000000183c8fa80 (__TEXT,__text) non-external _sb_policy_release
0000000183c8fb38 (__TEXT,__text) non-external _sb_policy_set_entry_point
0000000183c7d8dc (__TEXT,__text) non-external _sb_profile_release
0000000183c8652c (__TEXT,__text) non-external _sb_profile_set_pattern_variables
0000000183c866bc (__TEXT,__text) non-external _sb_program_add_source_buffer
0000000183c69b9c (__TEXT,__text) non-external _sb_program_source_alloc
0000000183c7c168 (__TEXT,__text) non-external _sb_realloc
0000000183c7ad98 (__TEXT,__text) non-external _sb_regex_release
0000000183c7d678 (__TEXT,__text) non-external _sb_sbpl_parser_release
0000000183c938dc (__TEXT,__text) non-external _sb_source_info_copy
0000000183c7ac74 (__TEXT,__text) non-external _sb_textbuf_get_length
0000000183c74e80 (__TEXT,__text) non-external _sb_textbuf_with_normalized_string_copy
0000000183c69584 (__TEXT,__text) non-external _sb_textbuf_with_string_copy
0000000183c7ae58 (__TEXT,__text) non-external _sb_textbuf_with_substring_copy
0000000183c8f634 (__TEXT,__text) non-external _sb_transform_combine_patterns_profile
0000000183c8dee4 (__TEXT,__text) non-external _sb_transform_eliminate_dead_code_profile
0000000183c8078c (__TEXT,__text) non-external _sb_transform_expand_logical_conditions_profile
0000000183c905b0 (__TEXT,__text) non-external _sb_transform_resolve_jumps_policy
0000000183c7e2b8 (__TEXT,__text) non-external _sb_transform_synthesize_logical_conditions_profile
0000000183c93964 (__TEXT,__text) non-external _sb_transform_synthesize_syscallmasks_profile
0000000183c7d524 (__TEXT,__text) non-external _sb_visitor_has_visited
0000000183c7d190 (__TEXT,__text) non-external _sb_visitor_new
0000000183c7d5d4 (__TEXT,__text) non-external _sb_visitor_release
0000000183c94a88 (__TEXT,__text) non-external _sb_warn
0000000183cb359d (__TEXT,__const) non-external _sbpl1_scm
0000000183cb435c (__TEXT,__const) non-external _sbpl2_scm
0000000183cb4788 (__TEXT,__const) non-external _sbpl3_scm
0000000183c91db8 (__TEXT,__text) non-external _sbpl_enter_message_filter_context
0000000183c91778 (__TEXT,__text) non-external _sbpl_filter_eqv
0000000183c91c98 (__TEXT,__text) non-external _sbpl_leave_message_filter_context
0000000183c9162c (__TEXT,__text) non-external _sbpl_operation_eqv
0000000183cac8e9 (__TEXT,__const) non-external _sbpl_scm
0000000183c86e68 (__TEXT,__text) non-external (was a private external) _scheme_backtrace
0000000183c94b68 (__TEXT,__text) non-external _scheme_backtrace.cold.1
0000000183c7d018 (__TEXT,__text) non-external (was a private external) _scheme_call
0000000183c70a4c (__TEXT,__text) non-external (was a private external) _scheme_define
0000000183c7d748 (__TEXT,__text) non-external (was a private external) _scheme_deinit
0000000183c6a80c (__TEXT,__text) non-external (was a private external) _scheme_enable_full_backtraces
0000000183c870a8 (__TEXT,__text) non-external (was a private external) _scheme_error
0000000183c87418 (__TEXT,__text) non-external (was a private external) _scheme_errorf
0000000183c7c7f0 (__TEXT,__text) non-external (was a private external) _scheme_get_external_data
0000000183c86d20 (__TEXT,__text) non-external (was a private external) _scheme_get_location_col
0000000183c86d18 (__TEXT,__text) non-external (was a private external) _scheme_get_location_line
0000000183c86d00 (__TEXT,__text) non-external (was a private external) _scheme_get_location_name
0000000183c7cfcc (__TEXT,__text) non-external (was a private external) _scheme_global
0000000183c6a218 (__TEXT,__text) non-external (was a private external) _scheme_init_custom_alloc
0000000183c6a1b8 (__TEXT,__text) non-external (was a private external) _scheme_init_new
0000000183c71174 (__TEXT,__text) non-external (was a private external) _scheme_load_file
0000000183c6b3d4 (__TEXT,__text) non-external (was a private external) _scheme_load_string
0000000183c7197c (__TEXT,__text) non-external (was a private external) _scheme_push_string
0000000183c87488 (__TEXT,__text) non-external (was a private external) _scheme_quit
0000000183c6b3a8 (__TEXT,__text) non-external (was a private external) _scheme_set_error_port_string
0000000183c6b2e0 (__TEXT,__text) non-external (was a private external) _scheme_set_external_data
0000000183c6b2e8 (__TEXT,__text) non-external (was a private external) _scheme_set_output_port_string
0000000183c86f44 (__TEXT,__text) non-external (was a private external) _scheme_write_to_file
0000000183c763b4 (__TEXT,__text) non-external _shallow_copy_node
0000000183c80fa8 (__TEXT,__text) non-external _skip_redundant_instructions
                 (undefined) external _snprintf (from libSystem)
0000000183c82ee0 (__TEXT,__text) non-external _split_node
                 (undefined) external _sscanf (from libSystem)
0000000183c6b104 (__TEXT,__text) non-external _store_string
                 (undefined) external _strcasecmp (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcspn (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strerror (from libSystem)
0000000183c7c7e8 (__TEXT,__text) non-external (was a private external) _string_length
0000000183c73144 (__TEXT,__text) non-external (was a private external) _string_value
                 (undefined) external _strlcat (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strnlen (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strsep (from libSystem)
                 (undefined) external _strspn (from libSystem)
                 (undefined) external _strstr (from libSystem)
                 (undefined) external _strtod (from libSystem)
                 (undefined) external _strtol (from libSystem)
0000000183c93718 (__TEXT,__text) non-external _submatch_end
0000000183c70ac8 (__TEXT,__text) non-external (was a private external) _symname
0000000183c8785c (__TEXT,__text) non-external _syntaxnum
0000000183c7e310 (__TEXT,__text) non-external _synthesize_logical_conditions
0000000183c8eb14 (__TEXT,__text) non-external _synthesize_logical_conditions_policy
00000001db0674c0 (__AUTH_CONST,__const) non-external _tests
0000000183c6c828 (__TEXT,__text) non-external _token
0000000183c7d30c (__TEXT,__text) non-external _traverse_postorder
0000000183c8e8b0 (__TEXT,__text) non-external _traverse_preorder
0000000183c8cef0 (__TEXT,__text) non-external _type_mismatch_error
                 (undefined) external _ungetc (from libSystem)
0000000183cb4b58 (__TEXT,__const) non-external _utf8_minLegal
                 (undefined) external _uuid_unparse_lower (from libSystem)
0000000183c919c8 (__TEXT,__text) non-external _variable_quote
                 (undefined) external _vasprintf (from libSystem)
0000000183c93384 (__TEXT,__text) non-external _version
0000000183c8fe08 (__TEXT,__text) non-external _visited_list_done
                 (undefined) external _vm_deallocate (from libSystem)
                 (undefined) weak external _voucher_mach_msg_set (from libSystem)
0000000183c70b54 (__TEXT,__text) non-external _xpc2sc
                 (undefined) external _xpc_array_get_count (from libSystem)
                 (undefined) external _xpc_array_get_value (from libSystem)
                 (undefined) external _xpc_bool_get_value (from libSystem)
                 (undefined) external _xpc_dictionary_apply (from libSystem)
                 (undefined) external _xpc_dictionary_create (from libSystem)
                 (undefined) external _xpc_dictionary_get_value (from libSystem)
                 (undefined) external _xpc_dictionary_set_string (from libSystem)
                 (undefined) external _xpc_dictionary_set_value (from libSystem)
                 (undefined) external _xpc_get_type (from libSystem)
                 (undefined) external _xpc_int64_get_value (from libSystem)
                 (undefined) external _xpc_release (from libSystem)
                 (undefined) external _xpc_retain (from libSystem)
                 (undefined) external _xpc_string_get_string_ptr (from libSystem)
                 (undefined) external _xpc_uint64_get_value (from libSystem)
                 (undefined) external _xpc_uuid_get_bytes (from libSystem)
