0000000182cbeea8 (__DATA,__data) non-external _C
0000000182cbfbf0 (__DATA,__data) non-external _nonopt_start
0000000180b4592c (__TEXT,__text) external _nrand48
0000000180b35aa8 (__TEXT,__text) non-external _nroot
0000000182cbf638 (__DATA,__data) non-external _numempty
0000000180b91930 (__TEXT,__const) non-external _nv
0000000180b49ebc (__TEXT,__text) external _nvis
0000000180b6aa14 (__TEXT,__text) external _offtime
0000000180c9cfb8 (__DATA_CONST,__const) non-external _okshells
                 (undefined) external _open$NOCANCEL (from libsystem_kernel)
                 (undefined) external _open_dprotected_np (from libsystem_kernel)
0000000180b53c80 (__TEXT,__text) external _open_memstream
0000000180b311c0 (__TEXT,__text) external _open_with_subsystem
0000000180b68694 (__TEXT,__text) external _open_wmemstream
                 (undefined) external _openat$NOCANCEL (from libsystem_kernel)
0000000180b45970 (__TEXT,__text) external _opendir
0000000180b45fa0 (__TEXT,__text) non-external _opendir_compar
0000000182ccb9a0 (__DATA,__common) external _optarg
0000000182cbfbd8 (__DATA,__data) external _opterr
0000000182cbfbdc (__DATA,__data) external _optind
0000000182ccb99c (__DATA,__common) external _optopt
0000000182ccb998 (__DATA,__common) external _optreset
                 (undefined) external _os_unfair_lock_lock (from libsystem_platform)
                 (undefined) external _os_unfair_lock_lock_with_options (from libsystem_platform)
                 (undefined) external _os_unfair_lock_unlock (from libsystem_platform)
0000000180b289f8 (__TEXT,__text) non-external _overflow
0000000182cc0bf0 (__DATA,__bss) non-external _p5s
0000000180b91e6d (__TEXT,__const) non-external _padchar
0000000182cc0a2a (__DATA,__bss) non-external _parse_error
0000000180b73754 (__TEXT,__text) non-external _parse_long_options
0000000182cc0a28 (__DATA,__bss) non-external _parsed
                 (undefined) external _pathconf (from libsystem_kernel)
0000000180b8ca88 (__TEXT,__text) external _pause
0000000180b45fb4 (__TEXT,__text) external _pause$NOCANCEL
0000000180b463e8 (__TEXT,__text) external _pclose
0000000180b736b4 (__TEXT,__text) non-external _permute_args
0000000180b8f88c (__TEXT,__text) external _perror
0000000182cc0c68 (__DATA,__bss) non-external _pfp
                 (undefined) external _pipe (from libsystem_kernel)
0000000182cbfbf8 (__DATA,__data) non-external _place
0000000180b45fec (__TEXT,__text) external _popen
0000000180b8d0b8 (__TEXT,__text) external _popen$DARWIN_EXTSN
0000000180b6af4c (__TEXT,__text) external _posix2time
0000000180b7aaec (__TEXT,__text) external _posix_openpt
                 (undefined) external _posix_spawn (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_addclose (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_adddup2 (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_addinherit_np (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_destroy (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_init (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_destroy (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_init (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_setflags (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_setsigdefault (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_setsigmask (from libsystem_kernel)
0000000180b336c4 (__TEXT,__text) external _posix_spawnp
0000000180b91448 (__TEXT,__const) non-external _powersOf10_CoarseBinary64
0000000180b91020 (__TEXT,__const) non-external _powersOf10_Float
0000000180b90f10 (__TEXT,__const) non-external _powersOfFive
                 (undefined) external _pread$NOCANCEL (from libsystem_kernel)
0000000180b5ba40 (__TEXT,__text) external _printf
0000000180b5ba9c (__TEXT,__text) external _printf_l
0000000180b42884 (__TEXT,__text) non-external _printfmt
                 (undefined) external _proc_name (from libsystem_kernel)
0000000180b4653c (__TEXT,__text) external _psignal
                 (undefined) external _pthread_fchdir_np (from libsystem_pthread)
                 (undefined) external _pthread_get_stackaddr_np (from libsystem_pthread)
                 (undefined) external _pthread_get_stacksize_np (from libsystem_pthread)
                 (undefined) external _pthread_getspecific (from libsystem_pthread)
                 (undefined) external _pthread_key_create (from libsystem_pthread)
                 (undefined) external _pthread_key_init_np (from libsystem_pthread)
                 (undefined) external _pthread_kill (from libsystem_pthread)
                 (undefined) external _pthread_mutex_destroy (from libsystem_pthread)
                 (undefined) external _pthread_mutex_lock (from libsystem_pthread)
                 (undefined) external _pthread_mutex_trylock (from libsystem_pthread)
                 (undefined) external _pthread_mutex_unlock (from libsystem_pthread)
                 (undefined) external _pthread_once (from libsystem_pthread)
                 (undefined) external _pthread_rwlock_destroy (from libsystem_pthread)
                 (undefined) external _pthread_rwlock_rdlock (from libsystem_pthread)
                 (undefined) external _pthread_rwlock_unlock (from libsystem_pthread)
                 (undefined) external _pthread_rwlock_wrlock (from libsystem_pthread)
                 (undefined) external _pthread_self (from libsystem_pthread)
                 (undefined) external _pthread_setspecific (from libsystem_pthread)
                 (undefined) external _pthread_sigmask (from libsystem_pthread)
                 (undefined) external _pthread_stack_frame_decode_np (from libsystem_pthread)
                 (undefined) external _pthread_testcancel (from libsystem_pthread)
0000000180b7ab24 (__TEXT,__text) external _ptsname
0000000180b8fda0 (__TEXT,__text) non-external _ptsname.cold.1
0000000180b8fdd8 (__TEXT,__text) non-external _ptsname.cold.2
0000000180b8e980 (__TEXT,__text) non-external _ptsname.cold.3
0000000182ccb888 (__DATA,__bss) non-external _ptsname_buffer_specific_key
0000000182ccb880 (__DATA,__bss) non-external _ptsname_once
0000000180b7abc0 (__TEXT,__text) non-external _ptsname_once_init
0000000180b8fdd8 (__TEXT,__text) non-external _ptsname_once_init.cold.1
0000000180b7abfc (__TEXT,__text) external _ptsname_r
0000000180b5badc (__TEXT,__text) external _putc
0000000180b5bb68 (__TEXT,__text) external _putc_unlocked
0000000180b5bbac (__TEXT,__text) external _putchar
0000000180b5bc40 (__TEXT,__text) external _putchar_unlocked
0000000180b74c54 (__TEXT,__text) external _putenv
0000000180b5bc90 (__TEXT,__text) external _puts
0000000180b5bdc4 (__TEXT,__text) external _putw
0000000180b5be34 (__TEXT,__text) external _putwc
0000000180b5be58 (__TEXT,__text) external _putwc_l
0000000180b5be5c (__TEXT,__text) external _putwchar
0000000180b5be8c (__TEXT,__text) external _putwchar_l
                 (undefined) external _pwrite$NOCANCEL (from libsystem_kernel)
0000000180b74cf0 (__TEXT,__text) external _qsort
0000000180b7b204 (__TEXT,__text) external _qsort_b
0000000180b757bc (__TEXT,__text) external _qsort_r
0000000180b30e6c (__TEXT,__text) external _querylocale
0000000180b91588 (__TEXT,__const) non-external _querylocale_mapping
0000000180b80a54 (__TEXT,__text) external _quick_exit
0000000180b76930 (__TEXT,__text) non-external _r_sort_a
0000000182ccb854 (__DATA,__bss) non-external _r_sort_a.bmin
0000000182ccb848 (__DATA,__bss) non-external _r_sort_a.count
0000000182ccb850 (__DATA,__bss) non-external _r_sort_a.nc
0000000182ccb858 (__DATA,__bss) non-external _r_sort_a_count
0000000180b7740c (__TEXT,__text) non-external _r_sort_b
0000000182ccb874 (__DATA,__bss) non-external _r_sort_b.bmin
0000000182ccb868 (__DATA,__bss) non-external _r_sort_b.count
0000000182ccb870 (__DATA,__bss) non-external _r_sort_b.nc
0000000182ccb860 (__DATA,__bss) non-external _r_sort_b_count
0000000180b77790 (__TEXT,__text) non-external _r_sort_count_allocate
0000000182cbfc08 (__DATA,__data) non-external _r_sort_count_control
0000000180b76354 (__TEXT,__text) external _radixsort
0000000180b32a10 (__TEXT,__text) external _raise
0000000180b77854 (__TEXT,__text) external _rand
0000000182cbfc2c (__DATA,__data) non-external _rand_deg
0000000180b777ec (__TEXT,__text) external _rand_r
0000000182cbfc30 (__DATA,__data) non-external _rand_sep
0000000182cbfc28 (__DATA,__data) non-external _rand_type
0000000180b77a40 (__TEXT,__text) external _random
0000000182cbfc50 (__DATA,__data) non-external _randtbl
0000000180b430ac (__TEXT,__text) non-external (was a private external) _rangematch
0000000180b82004 (__TEXT,__text) external _rb_tree_count
0000000180b819a4 (__TEXT,__text) external _rb_tree_find_node
0000000180b81a14 (__TEXT,__text) external _rb_tree_find_node_geq
0000000180b81aa0 (__TEXT,__text) external _rb_tree_find_node_leq
0000000180b81994 (__TEXT,__text) external _rb_tree_init
0000000180b81b2c (__TEXT,__text) external _rb_tree_insert_node
0000000180b81f84 (__TEXT,__text) external _rb_tree_iterate
0000000180b820a8 (__TEXT,__text) non-external _rb_tree_removal_rebalance
0000000180b81d0c (__TEXT,__text) external _rb_tree_remove_node
0000000180b82010 (__TEXT,__text) non-external _rb_tree_reparent_nodes
0000000180b92328 (__TEXT,__const) non-external _rcsid
0000000180b923b2 (__TEXT,__const) non-external _rcsid
                 (undefined) external _read$NOCANCEL (from libsystem_kernel)
0000000180b4678c (__TEXT,__text) external _readdir
0000000180b467d0 (__TEXT,__text) external _readdir_r
                 (undefined) external _readlink (from libsystem_kernel)
                 (undefined) external _reallocarray$DARWIN_EXTSN (from libsystem_malloc)
                 (undefined) external _reallocf (from libsystem_malloc)
0000000180b77e20 (__TEXT,__text) external _realpath
0000000180b8d7fc (__TEXT,__text) external _realpath$DARWIN_EXTSN
0000000182ccb8a8 (__DATA,__bss) non-external _realpath$DARWIN_EXTSN.rootdev
0000000182ccb8ac (__DATA,__bss) non-external _realpath$DARWIN_EXTSN.rootdev_inited
0000000182ccb878 (__DATA,__bss) non-external _realpath.rootdev
0000000182ccb87c (__DATA,__bss) non-external _realpath.rootdev_inited
0000000180b3c774 (__TEXT,__text) non-external _rec_rdelete
0000000180b921cc (__TEXT,__const) non-external _recargchar
0000000180b92235 (__TEXT,__const) non-external _recargstring
0000000180b8ce04 (__TEXT,__text) external _recv
0000000180b54264 (__TEXT,__text) external _recv$NOCANCEL
0000000180b82458 (__TEXT,__text) external _regcomp
0000000180b823d0 (__TEXT,__text) external _regcomp_l
0000000180b8fa44 (__TEXT,__text) external _regerror
0000000180b82b9c (__TEXT,__text) external _regexec
0000000180b825c0 (__TEXT,__text) external _regfree
0000000180b31fec (__TEXT,__text) external _register_printf_domain_function
0000000180b320f8 (__TEXT,__text) non-external (was a private external) _register_printf_domain_render
0000000180b32204 (__TEXT,__text) external _register_printf_domain_render_std
0000000180b823ac (__TEXT,__text) external _regncomp
0000000180b82204 (__TEXT,__text) external _regncomp_l
0000000180b8299c (__TEXT,__text) external _regnexec
0000000180b82548 (__TEXT,__text) external _regwcomp
0000000180b824c8 (__TEXT,__text) external _regwcomp_l
0000000180b82be0 (__TEXT,__text) external _regwexec
0000000180b824a4 (__TEXT,__text) external _regwncomp
0000000180b8247c (__TEXT,__text) external _regwncomp_l
0000000180b82bb0 (__TEXT,__text) external _regwnexec
0000000180b5c104 (__TEXT,__text) external _remove
0000000180b78560 (__TEXT,__text) external _remque
0000000180c9d908 (__DATA_CONST,__const) non-external _rerrs
0000000180b5c178 (__TEXT,__text) external _rewind
0000000180b46888 (__TEXT,__text) external _rewinddir
0000000180b6eb58 (__TEXT,__text) external _rindex
                 (undefined) external _rmdir (from libsystem_kernel)
0000000182cc0bf8 (__DATA,__bss) non-external _rng
0000000180b59950 (__TEXT,__text) external _rpmatch
0000000182cbfc40 (__DATA,__data) non-external _rptr
0000000180b58978 (__TEXT,__text) non-external _sappend
0000000182cc0de0 (__DATA,__bss) non-external _saved_categories
0000000180b2699c (__TEXT,__text) external _sbrk
0000000182cc0a08 (__DATA,__bss) non-external _sbrk_curbrk
0000000182cc0a00 (__DATA,__bss) non-external _sbrk_needs_init
0000000182cbe7e0 (__DATA,__data) non-external _sbrk_region_size
0000000180b46908 (__TEXT,__text) external _scandir
0000000180b7cc50 (__TEXT,__text) external _scandir_b
0000000180b5c254 (__TEXT,__text) external _scanf
0000000180b5c2d4 (__TEXT,__text) external _scanf_l
0000000180b918b0 (__TEXT,__const) non-external _sccsid
0000000180b918e0 (__TEXT,__const) non-external _sccsid
0000000180b46b1c (__TEXT,__text) external _seed48
0000000182cc0c9c (__DATA,__bss) non-external _seed48.sseed
0000000180b46b84 (__TEXT,__text) external _seekdir
                 (undefined) external _select$NOCANCEL (from libsystem_kernel)
                 (undefined) external _semaphore_create (from libsystem_kernel)
0000000180b8ce10 (__TEXT,__text) external _send
0000000180b54270 (__TEXT,__text) external _send$NOCANCEL
0000000180b922f4 (__TEXT,__const) non-external _seps
0000000182cc0a88 (__DATA,__bss) non-external _seq
                 (undefined) external _setattrlist (from libsystem_kernel)
0000000180b5c364 (__TEXT,__text) external _setbuf
0000000180b5c378 (__TEXT,__text) external _setbuffer
0000000180b78e7c (__TEXT,__text) external _setenv
0000000180b3407c (__TEXT,__text) external _sethostid
0000000180b46bd0 (__TEXT,__text) external _sethostname
                 (undefined) external _setitimer (from libsystem_kernel)
0000000180b5c390 (__TEXT,__text) external _setlinebuf
0000000180b503ec (__TEXT,__text) external _setlocale
0000000180b46d5c (__TEXT,__text) external _setmode
                 (undefined) external _setpgid (from libsystem_kernel)
0000000180b340f0 (__TEXT,__text) external _setpgrp
                 (undefined) external _setpriority (from libsystem_kernel)
0000000180b4744c (__TEXT,__text) external _setprogname
                 (undefined) external _setregid (from libsystem_kernel)
                 (undefined) external _setreuid (from libsystem_kernel)
0000000180b34134 (__TEXT,__text) external _setrgid
                 (undefined) external _setrlimit (from libsystem_kernel)
0000000180b3413c (__TEXT,__text) external _setruid
                 (undefined) external _setsid (from libsystem_kernel)
0000000180b77d5c (__TEXT,__text) external _setstate
0000000180b339b0 (__TEXT,__text) external _settimeofday
0000000180b2c5a8 (__TEXT,__text) external _setttyent
0000000180b69dac (__TEXT,__text) non-external _settzname
0000000180b2d0f0 (__TEXT,__text) external _setusershell
0000000180b5c3a0 (__TEXT,__text) external _setvbuf
0000000180b5539c (__TEXT,__text) non-external _sflush_locked
0000000182cc0b00 (__DATA,__bss) non-external _shells
0000000180b29098 (__TEXT,__text) non-external _shiftLeftMP
0000000180b28e6c (__TEXT,__text) non-external _shiftRightMPWithRounding
0000000182cbfb88 (__DATA,__data) non-external _sig_init_once
0000000182ccb810 (__DATA,__bss) non-external _sig_key
0000000180b6f9c4 (__TEXT,__text) non-external _sig_keycreate
0000000182ccb808 (__DATA,__bss) non-external _sig_keycreated
0000000180b33a4c (__TEXT,__text) external _sigaction
0000000180b2d924 (__TEXT,__text) external _sigaddset
0000000180b26000 (__TEXT,__text) external _sigaltstack
0000000180b260f0 (__TEXT,__text) external _sigblock
0000000180b2d984 (__TEXT,__text) external _sigdelset
0000000180b2d908 (__TEXT,__text) external _sigemptyset
0000000180b2d914 (__TEXT,__text) external _sigfillset
0000000180b261cc (__TEXT,__text) external _sighold
0000000180b26284 (__TEXT,__text) external _sigignore
0000000180b474f8 (__TEXT,__text) external _siginterrupt
0000000180b2d9e4 (__TEXT,__text) external _sigismember
0000000180b475a8 (__TEXT,__text) external _signal
0000000180b475b0 (__TEXT,__text) non-external _signal__
0000000180b8c908 (__TEXT,__text) external _sigpause
0000000180b26130 (__TEXT,__text) external _sigpause$NOCANCEL
                 (undefined) external _sigprocmask (from libsystem_kernel)
0000000180b26228 (__TEXT,__text) external _sigrelse
0000000180b262f0 (__TEXT,__text) external _sigset
0000000180b260b0 (__TEXT,__text) external _sigsetmask
                 (undefined) external _sigsuspend (from libsystem_kernel)
                 (undefined) external _sigsuspend$NOCANCEL (from libsystem_kernel)
0000000180b26044 (__TEXT,__text) external _sigvec
0000000180b2604c (__TEXT,__text) non-external _sigvec__
0000000180b2cd78 (__TEXT,__text) non-external _skip
0000000180b4779c (__TEXT,__text) external _sl_add
0000000180b47884 (__TEXT,__text) external _sl_find
0000000180b4780c (__TEXT,__text) external _sl_free
0000000180b47728 (__TEXT,__text) external _sl_init
0000000180b8f4e8 (__TEXT,__text) non-external _sl_init.cold.1
0000000180b8f4e8 (__TEXT,__text) non-external _sl_init.cold.2
0000000182cc0c78 (__DATA,__bss) non-external _slash
0000000180b8cac0 (__TEXT,__text) external _sleep
0000000180b47658 (__TEXT,__text) external _sleep$NOCANCEL
0000000182cc0a80 (__DATA,__bss) non-external _slot
0000000180b5c624 (__TEXT,__text) external _snprintf
0000000180b5c674 (__TEXT,__text) external _snprintf_l
0000000180b49c84 (__TEXT,__text) external _snvis
0000000180b5427c (__TEXT,__text) external _sockatmark
                 (undefined) external _socket (from libsystem_kernel)
                 (undefined) external _socketpair (from libsystem_kernel)
0000000180b5c6a0 (__TEXT,__text) external _sprintf
0000000180b5c6f0 (__TEXT,__text) external _sprintf_l
0000000180b76d30 (__TEXT,__text) external _sradixsort
0000000180b778bc (__TEXT,__text) external _srand
0000000180b476e8 (__TEXT,__text) external _srand48
0000000180b778cc (__TEXT,__text) external _sranddev
0000000180b7795c (__TEXT,__text) external _srandom
0000000180b77b00 (__TEXT,__text) external _srandomdev
0000000180b5c71c (__TEXT,__text) external _sscanf
0000000180b5c76c (__TEXT,__text) external _sscanf_l
                 (undefined) external _stat (from libsystem_kernel)
0000000180b31348 (__TEXT,__text) external _stat_with_subsystem
0000000182cbfc20 (__DATA,__data) non-external _state
                 (undefined) external _statfs (from libsystem_kernel)
0000000180b293c0 (__TEXT,__text) external _statvfs
0000000180b33a54 (__TEXT,__text) external _stpcpy
0000000180b33aa0 (__TEXT,__text) external _stpncpy
0000000180b49f90 (__TEXT,__text) external _stravis
0000000180b6ec88 (__TEXT,__text) external _strcasecmp
0000000180b6eb80 (__TEXT,__text) external _strcasecmp_l
0000000180b6eef4 (__TEXT,__text) external _strcasestr
0000000180b6ee00 (__TEXT,__text) external _strcasestr_l
0000000180b33b28 (__TEXT,__text) external _strcat
                 (indirect) external _strchr (for __platform_strchr)
0000000180b6ef18 (__TEXT,__text) external _strchrnul
                 (indirect) external _strcmp (for __platform_strcmp)
0000000180b6f15c (__TEXT,__text) external _strcoll
0000000180b6f050 (__TEXT,__text) external _strcoll_l
                 (indirect) external _strcpy (for __platform_strcpy)
0000000180b6f180 (__TEXT,__text) external _strcspn
0000000180b6f23c (__TEXT,__text) external _strdup
0000000180b4a028 (__TEXT,__text) external _strenvisx
0000000180b6f3f8 (__TEXT,__text) external _strerror
0000000180b6f380 (__TEXT,__text) external _strerror_r
0000000180b80a94 (__TEXT,__text) external _strfmon
0000000180b81738 (__TEXT,__text) external _strfmon_l
0000000180b6cdec (__TEXT,__text) external _strftime
0000000180b6be2c (__TEXT,__text) external _strftime_l
0000000182cc0b08 (__DATA,__bss) non-external _strings
                 (indirect) external _strlcat (for __platform_strlcat)
                 (indirect) external _strlcpy (for __platform_strlcpy)
                 (indirect) external _strlen (for __platform_strlen)
0000000180b6f48c (__TEXT,__text) external _strmode
0000000180b6eddc (__TEXT,__text) external _strncasecmp
0000000180b6ecac (__TEXT,__text) external _strncasecmp_l
0000000180b33b7c (__TEXT,__text) external _strncat
                 (indirect) external _strncmp (for __platform_strncmp)
                 (indirect) external _strncpy (for __platform_strncpy)
0000000180b6f5d0 (__TEXT,__text) external _strndup
                 (indirect) external _strnlen (for __platform_strnlen)
0000000180b6f648 (__TEXT,__text) external _strnstr
0000000180b4955c (__TEXT,__text) external _strnunvis
0000000180b49400 (__TEXT,__text) external _strnunvisx
0000000180b8f55c (__TEXT,__text) non-external _strnunvisx.cold.1
0000000180b8f588 (__TEXT,__text) non-external _strnunvisx.cold.2
0000000180b49f5c (__TEXT,__text) external _strnvis
0000000180b49ff0 (__TEXT,__text) external _strnvisx
0000000180b6f6e4 (__TEXT,__text) external _strpbrk
0000000180b6cfe8 (__TEXT,__text) external _strptime
0000000180b6d00c (__TEXT,__text) external _strptime_l
0000000180b6f71c (__TEXT,__text) external _strrchr
0000000180b49e34 (__TEXT,__text) external _strsenvisx
0000000180b6f744 (__TEXT,__text) external _strsep
0000000180b6f8e8 (__TEXT,__text) external _strsignal
0000000180b6f794 (__TEXT,__text) external _strsignal_r
0000000180b49d98 (__TEXT,__text) external _strsnvis
0000000180b49e04 (__TEXT,__text) external _strsnvisx
0000000180b6fa08 (__TEXT,__text) external _strspn
                 (indirect) external _strstr (for __platform_strstr)
0000000180b49ce0 (__TEXT,__text) external _strsvis
0000000180b49dc4 (__TEXT,__text) external _strsvisx
0000000180b2737c (__TEXT,__text) external _strtod
0000000180b273d0 (__TEXT,__text) external _strtod_l
0000000180b26af8 (__TEXT,__text) external _strtoencf16
0000000180b26bcc (__TEXT,__text) external _strtoencf32
0000000180b26f24 (__TEXT,__text) external _strtoencf64
0000000180b27358 (__TEXT,__text) external _strtoencf64x
0000000180b26e98 (__TEXT,__text) external _strtof
0000000180b26eec (__TEXT,__text) external _strtof_l
0000000180b2dae8 (__TEXT,__text) external _strtofflags
0000000180b79820 (__TEXT,__text) external _strtoimax
0000000180b795b4 (__TEXT,__text) external _strtoimax_l
0000000180b6fb44 (__TEXT,__text) external _strtok
0000000182ccb818 (__DATA,__bss) non-external _strtok.last
0000000180b6fac0 (__TEXT,__text) external _strtok_r
0000000180b79ab0 (__TEXT,__text) external _strtol
0000000180b79844 (__TEXT,__text) external _strtol_l
0000000180b27408 (__TEXT,__text) external _strtold
0000000180b2745c (__TEXT,__text) external _strtold_l
0000000180b79d40 (__TEXT,__text) external _strtoll
0000000180b79ad4 (__TEXT,__text) external _strtoll_l
0000000180b56d64 (__TEXT,__text) external _strtonum
0000000180b79d64 (__TEXT,__text) external _strtoq
0000000180b79d88 (__TEXT,__text) external _strtoq_l
0000000180b79fec (__TEXT,__text) external _strtoul
0000000180b79d8c (__TEXT,__text) external _strtoul_l
0000000180b7a270 (__TEXT,__text) external _strtoull
0000000180b7a010 (__TEXT,__text) external _strtoull_l
0000000180b7a4f4 (__TEXT,__text) external _strtoumax
0000000180b7a294 (__TEXT,__text) external _strtoumax_l
0000000180b7a518 (__TEXT,__text) external _strtouq
0000000180b7a53c (__TEXT,__text) external _strtouq_l
0000000180b4954c (__TEXT,__text) external _strunvis
0000000180b4953c (__TEXT,__text) external _strunvisx
0000000180b49f20 (__TEXT,__text) external _strvis
0000000180b49fac (__TEXT,__text) external _strvisx
0000000180b6fb50 (__TEXT,__text) external _strxfrm
0000000180b6fb74 (__TEXT,__text) external _strxfrm_l
0000000182ccb9a8 (__DATA,__common) external _suboptarg
0000000182cc0b10 (__DATA,__bss) non-external _subsystem_root_path
0000000180b4961c (__TEXT,__text) external _svis
0000000180b6fcc4 (__TEXT,__text) external _swab
0000000180b5ca44 (__TEXT,__text) external _swprintf
0000000180b5ca94 (__TEXT,__text) external _swprintf_l
0000000180b5cac0 (__TEXT,__text) external _swscanf
0000000180b5cb10 (__TEXT,__text) external _swscanf_l
0000000180b319f4 (__TEXT,__text) external _sxprintf
0000000180b32410 (__TEXT,__text) external _sxprintf_exec
0000000180b33be4 (__TEXT,__text) external _sync_volume_np
0000000180b92183 (__TEXT,__const) non-external _syntax_error_str
0000000180c9cc18 (__DATA_CONST,__const) external _sys_errlist
0000000180b91558 (__TEXT,__const) external _sys_nerr
0000000180c9d328 (__DATA_CONST,__const) external _sys_siglist
0000000180c9d228 (__DATA_CONST,__const) external _sys_signame
0000000180b478e0 (__TEXT,__text) external _sysconf
0000000180b47fb0 (__TEXT,__text) external _sysctl
0000000180b481d0 (__TEXT,__text) external _sysctlbyname
0000000180b482a0 (__TEXT,__text) external _sysctlnametomib
0000000180b8ce1c (__TEXT,__text) external _system
0000000180b7a540 (__TEXT,__text) external _system$NOCANCEL
0000000180b8cb50 (__TEXT,__text) external _tcdrain
0000000180b48814 (__TEXT,__text) external _tcdrain$NOCANCEL
0000000180b488b4 (__TEXT,__text) external _tcflow
0000000180b48840 (__TEXT,__text) external _tcflush
0000000180b48548 (__TEXT,__text) external _tcgetattr
0000000180b486b4 (__TEXT,__text) external _tcgetpgrp
0000000180b3326c (__TEXT,__text) external _tcgetsid
0000000180b4878c (__TEXT,__text) external _tcsendbreak
0000000180b48574 (__TEXT,__text) external _tcsetattr
0000000180b4865c (__TEXT,__text) external _tcsetpgrp
0000000180b7a7d8 (__TEXT,__text) external _tdelete
0000000180b48348 (__TEXT,__text) external _telldir
0000000180b5cb3c (__TEXT,__text) external _tempnam
0000000182cc0a78 (__DATA,__bss) non-external _tf
0000000180b7a8d0 (__TEXT,__text) external _tfind
0000000180b2e068 (__TEXT,__text) external _thread_stack_async_pcs
0000000180b2e044 (__TEXT,__text) external _thread_stack_pcs
0000000182cbe8d0 (__DATA,__data) non-external _threadsafe
0000000180b48958 (__TEXT,__text) external _time
0000000180b6ad64 (__TEXT,__text) non-external _time2
0000000180b6aed8 (__TEXT,__text) external _time2posix
0000000180b6b7d4 (__TEXT,__text) non-external _time2sub
0000000180b6ae88 (__TEXT,__text) external _timegm
0000000180b6ae78 (__TEXT,__text) external _timelocal
0000000180b6aeb0 (__TEXT,__text) external _timeoff
0000000180b489bc (__TEXT,__text) external _times
0000000180b7b87c (__TEXT,__text) external _timespec_get
0000000180b6a22c (__TEXT,__text) non-external _timesub
0000000182ccb8c0 (__DATA,__common) external _timezone
0000000180b3dc20 (__TEXT,__text) external _timingsafe_bcmp
0000000182cc7048 (__DATA,__bss) non-external _tm
0000000180b6bdb8 (__TEXT,__text) non-external _tmcomp
0000000180b5cda8 (__TEXT,__text) external _tmpfile
0000000180b5cef4 (__TEXT,__text) external _tmpnam
0000000182cc2758 (__DATA,__bss) non-external _tmpnam.tmpcount
0000000182cc2760 (__DATA,__bss) non-external _tmpnam_buf
0000000180b5d004 (__TEXT,__text) non-external _tmpnam_buf_allocate
0000000182cbfa30 (__DATA,__data) non-external _tmpnam_buf_control
0000000180b915a0 (__TEXT,__const) non-external _tmundef
0000000180b2e794 (__TEXT,__text) external _toascii
0000000180b2e79c (__TEXT,__text) external _tolower
0000000180b2f3c4 (__TEXT,__text) external _tolower_l
0000000182cc0c50 (__DATA,__bss) non-external _toprec
0000000182cc0c58 (__DATA,__bss) non-external _topreclen
0000000180b2e7dc (__TEXT,__text) external _toupper
0000000180b2f3e4 (__TEXT,__text) external _toupper_l
0000000180b53984 (__TEXT,__text) external _towctrans
0000000180b538a4 (__TEXT,__text) external _towctrans_l
0000000180b2f8d8 (__TEXT,__text) external _towlower
0000000180b2fef4 (__TEXT,__text) external _towlower_l
0000000180b2f918 (__TEXT,__text) external _towupper
0000000180b2ff14 (__TEXT,__text) external _towupper_l
0000000180b6b46c (__TEXT,__text) non-external _transtime
0000000180b85df8 (__TEXT,__text) non-external _tre_add_tag_left
0000000180b85d34 (__TEXT,__text) non-external _tre_add_tag_right
0000000180b83524 (__TEXT,__text) non-external _tre_add_tags
0000000180b82d98 (__TEXT,__text) external _tre_ast_new_catenation
0000000180b82ce8 (__TEXT,__text) external _tre_ast_new_iter
0000000180b82c9c (__TEXT,__text) external _tre_ast_new_literal
0000000180b82c14 (__TEXT,__text) external _tre_ast_new_node
0000000180b82d4c (__TEXT,__text) external _tre_ast_new_union
0000000180b8593c (__TEXT,__text) non-external _tre_ast_to_tnfa
0000000180b82de4 (__TEXT,__text) external _tre_compile
0000000180b8528c (__TEXT,__text) non-external _tre_compute_nfl
0000000180b85ebc (__TEXT,__text) non-external _tre_copy_ast
0000000180b84d88 (__TEXT,__text) non-external _tre_expand_ast
0000000180b8c54c (__TEXT,__text) non-external _tre_expand_macro
0000000180b825c4 (__TEXT,__text) external _tre_fill_pmatch
0000000180b85a34 (__TEXT,__text) external _tre_free
0000000180c9e0d0 (__DATA_CONST,__const) non-external _tre_macros
0000000180b8684c (__TEXT,__text) non-external _tre_make_trans
0000000180b829e0 (__TEXT,__text) non-external _tre_match
0000000180b86640 (__TEXT,__text) non-external _tre_match_empty
0000000180b8a60c (__TEXT,__text) external _tre_mem_alloc_impl
0000000180b8a5ac (__TEXT,__text) external _tre_mem_destroy
0000000180b8a578 (__TEXT,__text) external _tre_mem_new_impl
0000000180b85b9c (__TEXT,__text) non-external _tre_merge_branches
0000000180b8c678 (__TEXT,__text) non-external _tre_new_item
