00000001d9428c20 (__DATA,__data) external _NDR_record
00000001803962fc (__TEXT,__text) external _setpriority
000000018039d180 (__TEXT,__text) external _setprivexec
00000001803a0310 (__TEXT,__text) external _setquota
000000018039bcc8 (__TEXT,__text) external _setregid
000000018039bcf4 (__TEXT,__text) external _setreuid
0000000180390d28 (__TEXT,__text) external _setrlimit
000000018039bd20 (__TEXT,__text) external _setsgroups_np
0000000180396a08 (__TEXT,__text) external _setsid
00000001803923bc (__TEXT,__text) external _setsockopt
00000001803974e0 (__TEXT,__text) external _setuid
000000018039bda4 (__TEXT,__text) external _setwgroups_np
0000000180391ab8 (__TEXT,__text) external _setxattr
00000001803a3c28 (__TEXT,__text) external _sfi_get_class_offtime
00000001803a3c50 (__TEXT,__text) external _sfi_process_get_flags
00000001803a3c3c (__TEXT,__text) external _sfi_process_set_flags
0000000180397a28 (__TEXT,__text) external _sfi_set_class_offtime
000000018039adb0 (__TEXT,__text) external _shm_open
000000018039d1ac (__TEXT,__text) external _shm_unlink
000000018039d1d8 (__TEXT,__text) external _shmat
000000018039be54 (__TEXT,__text) external _shmctl
000000018039d204 (__TEXT,__text) external _shmdt
000000018039d230 (__TEXT,__text) external _shmget
000000018039ae34 (__TEXT,__text) external _shmsys
000000018039265c (__TEXT,__text) external _shutdown
000000018039d25c (__TEXT,__text) external _sigpending
0000000180391710 (__TEXT,__text) external _sigprocmask
00000001803a8e10 (__TEXT,__text) external _sigsuspend
0000000180395710 (__TEXT,__text) external _sigsuspend$NOCANCEL
00000001803922e0 (__TEXT,__text) external _socket
000000018039d288 (__TEXT,__text) external _socket_delegate
00000001803924cc (__TEXT,__text) external _socketpair
00000001803a3724 (__TEXT,__text) external _stackshot_capture_with_config
00000001803a3668 (__TEXT,__text) external _stackshot_config_create
00000001803a3888 (__TEXT,__text) external _stackshot_config_dealloc
00000001803a3830 (__TEXT,__text) external _stackshot_config_dealloc_buffer
00000001803a3798 (__TEXT,__text) external _stackshot_config_get_stackshot_buffer
00000001803a37a4 (__TEXT,__text) external _stackshot_config_get_stackshot_size
00000001803a37e4 (__TEXT,__text) external _stackshot_config_set_delta_timestamp
00000001803a3708 (__TEXT,__text) external _stackshot_config_set_flags
00000001803a3808 (__TEXT,__text) external _stackshot_config_set_pagetable_mask
00000001803a36ec (__TEXT,__text) external _stackshot_config_set_pid
00000001803a37c0 (__TEXT,__text) external _stackshot_config_set_size_hint
0000000180399b5c (__TEXT,__text) external _stat
0000000180399b5c (__TEXT,__text) external _stat64
000000018039d30c (__TEXT,__text) external _statfs
000000018039d30c (__TEXT,__text) external _statfs64
00000001d9428cd0 (__DATA,__bss) non-external _supported
000000018039d338 (__TEXT,__text) external _swapon
000000018038e0a8 (__TEXT,__text) external _swtch
000000018038e09c (__TEXT,__text) external _swtch_pri
0000000180393b70 (__TEXT,__text) external _symlink
000000018039d364 (__TEXT,__text) external _symlinkat
000000018039d390 (__TEXT,__text) external _sync
0000000180390434 (__TEXT,__text) external _syscall
000000018038e0b4 (__TEXT,__text) external _syscall_thread_switch
00000001803a3c14 (__TEXT,__text) external _system_get_sfi_window
000000018039d3bc (__TEXT,__text) external _system_override
0000000180397a68 (__TEXT,__text) external _system_set_sfi_window
00000001d9428cd8 (__DATA,__bss) non-external _system_version_compat_check_path_suffix
00000001d9428c88 (__DATA,__common) external _system_version_compat_mode
00000001803b8b5c (__TEXT,__text) external _task_assign
00000001803b8c90 (__TEXT,__text) external _task_assign_default
00000001803b71e8 (__TEXT,__text) external _task_create
00000001803bb120 (__TEXT,__text) external _task_create_identity_token
00000001803bb3f0 (__TEXT,__text) external _task_dyld_process_info_notify_deregister
000000018038dec8 (__TEXT,__text) external _task_dyld_process_info_notify_get
00000001803baffc (__TEXT,__text) external _task_dyld_process_info_notify_register
000000018038e030 (__TEXT,__text) external _task_for_pid
00000001803b9e64 (__TEXT,__text) external _task_generate_corpse
00000001803b8db0 (__TEXT,__text) external _task_get_assignment
00000001803ba3ac (__TEXT,__text) external _task_get_dyld_image_infos
00000001803b859c (__TEXT,__text) external _task_get_emulation_vector
00000001803bac4c (__TEXT,__text) external _task_get_exc_guard_behavior
00000001803995c4 (__TEXT,__text) external _task_get_exception_ports
00000001803bb510 (__TEXT,__text) external _task_get_exception_ports_info
00000001803b9a4c (__TEXT,__text) external _task_get_mach_voucher
000000018038e5d0 (__TEXT,__text) external _task_get_special_port
00000001803b90dc (__TEXT,__text) external _task_get_state
00000001803bb280 (__TEXT,__text) external _task_identity_token_get_task_port
000000018038e7b8 (__TEXT,__text) external _task_info
00000001803baa74 (__TEXT,__text) external _task_inspect
000000018039d3e8 (__TEXT,__text) external _task_inspect_for_pid
00000001803b9fc4 (__TEXT,__text) external _task_map_corpse_info
00000001803ba900 (__TEXT,__text) external _task_map_corpse_info_64
00000001803bbb64 (__TEXT,__text) external _task_map_kcdata_object_64
000000018038e024 (__TEXT,__text) external _task_name_for_pid
00000001803b8304 (__TEXT,__text) external _task_policy
00000001803b7fd8 (__TEXT,__text) external _task_policy_get
00000001803907b8 (__TEXT,__text) external _task_policy_set
00000001803b98a4 (__TEXT,__text) external _task_purgable_info
000000018039d414 (__TEXT,__text) external _task_read_for_pid
00000001803ba794 (__TEXT,__text) external _task_register_dyld_get_process_state
00000001803ba134 (__TEXT,__text) external _task_register_dyld_image_infos
00000001803ba66c (__TEXT,__text) external _task_register_dyld_set_dyld_state
00000001803ba540 (__TEXT,__text) external _task_register_dyld_shared_cache_image_info
000000018038e15c (__TEXT,__text) external _task_restartable_ranges_register
0000000180390d5c (__TEXT,__text) external _task_restartable_ranges_synchronize
00000001803b7598 (__TEXT,__text) external _task_resume
00000001803b9790 (__TEXT,__text) external _task_resume2
00000001803b81e0 (__TEXT,__text) external _task_sample
00000001803a042c (__TEXT,__text) external _task_self_
000000018038df70 (__TEXT,__text) external _task_self_trap
00000001803bb910 (__TEXT,__text) external _task_set_corpse_forking_behavior
00000001803b8480 (__TEXT,__text) external _task_set_emulation
00000001803b872c (__TEXT,__text) external _task_set_emulation_vector
00000001803bad94 (__TEXT,__text) external _task_set_exc_guard_behavior
0000000180398438 (__TEXT,__text) external _task_set_exception_ports
00000001803988d8 (__TEXT,__text) external _task_set_info
00000001803b9bbc (__TEXT,__text) external _task_set_mach_voucher
00000001803b94d8 (__TEXT,__text) external _task_set_phys_footprint_limit
00000001803b8f10 (__TEXT,__text) external _task_set_policy
00000001803aa3ac (__TEXT,__text) external _task_set_port_space
00000001803b8864 (__TEXT,__text) external _task_set_ras_pc
000000018038f210 (__TEXT,__text) external _task_set_special_port
00000001803b9328 (__TEXT,__text) external _task_set_state
00000001803b7484 (__TEXT,__text) external _task_suspend
00000001803b9630 (__TEXT,__text) external _task_suspend2
00000001803b7a10 (__TEXT,__text) external _task_swap_exception_ports
00000001803b9ce0 (__TEXT,__text) external _task_swap_mach_voucher
00000001803b7370 (__TEXT,__text) external _task_terminate
00000001803bba30 (__TEXT,__text) external _task_test_async_upcall_propagation
00000001803bb7ec (__TEXT,__text) external _task_test_sync_upcall
00000001803970e4 (__TEXT,__text) external _task_threads
00000001803ba270 (__TEXT,__text) external _task_unregister_dyld_image_infos
00000001803b8980 (__TEXT,__text) external _task_zone_info
00000001803a3b04 (__TEXT,__text) external _terminate_with_payload
0000000180398898 (__TEXT,__text) external _terminate_with_reason
00000001803bc5c0 (__TEXT,__text) external _thread_abort
00000001803bc6d4 (__TEXT,__text) external _thread_abort_safely
00000001803bd11c (__TEXT,__text) external _thread_assign
00000001803bd240 (__TEXT,__text) external _thread_assign_default
00000001803bda80 (__TEXT,__text) external _thread_convert_thread_state
00000001803b76ac (__TEXT,__text) external _thread_create
00000001803b780c (__TEXT,__text) external _thread_create_running
00000001803bc7e8 (__TEXT,__text) external _thread_depress_abort
0000000180391230 (__TEXT,__text) external _thread_destruct_special_reply_port
00000001803bd354 (__TEXT,__text) external _thread_get_assignment
0000000180397a7c (__TEXT,__text) external _thread_get_exception_ports
00000001803bdce0 (__TEXT,__text) external _thread_get_exception_ports_info
00000001803bd668 (__TEXT,__text) external _thread_get_mach_voucher
00000001803a230c (__TEXT,__text) external _thread_get_register_pointer_values
00000001803bc8fc (__TEXT,__text) external _thread_get_special_port
000000018038e06c (__TEXT,__text) external _thread_get_special_reply_port
0000000180397268 (__TEXT,__text) external _thread_get_state
0000000180395774 (__TEXT,__text) external _thread_info
0000000180393210 (__TEXT,__text) external _thread_policy
000000018039750c (__TEXT,__text) external _thread_policy_get
000000018039439c (__TEXT,__text) external _thread_policy_set
00000001803bc4ac (__TEXT,__text) external _thread_resume
00000001803bced8 (__TEXT,__text) external _thread_sample
000000018038df64 (__TEXT,__text) external _thread_self_trap
000000018039d440 (__TEXT,__text) external _thread_selfcounts
00000001803946a0 (__TEXT,__text) external _thread_set_exception_ports
00000001803bd7d8 (__TEXT,__text) external _thread_set_mach_voucher
00000001803a227c (__TEXT,__text) external _thread_set_policy
00000001803bca6c (__TEXT,__text) external _thread_set_special_port
00000001803bc1e8 (__TEXT,__text) external _thread_set_state
00000001803bc398 (__TEXT,__text) external _thread_suspend
00000001803bcba0 (__TEXT,__text) external _thread_swap_exception_ports
00000001803bd8fc (__TEXT,__text) external _thread_swap_mach_voucher
0000000180393758 (__TEXT,__text) external _thread_switch
00000001803bbcd8 (__TEXT,__text) external _thread_terminate
00000001803ac5bc (__TEXT,__text) external _thread_wire
00000001803c0988 (__TEXT,__const) non-external _times_now
000000018039d46c (__TEXT,__text) external _tracker_action
000000018039d498 (__TEXT,__text) external _truncate
0000000180393700 (__TEXT,__text) external _umask
000000018039d4c4 (__TEXT,__text) external _undelete
000000018039d4f0 (__TEXT,__text) external _ungraftdmg
0000000180391fb8 (__TEXT,__text) external _unlink
0000000180397d5c (__TEXT,__text) external _unlinkat
000000018039a708 (__TEXT,__text) external _unmount
000000018039d51c (__TEXT,__text) external _usrctl
00000001803a21bc (__TEXT,__text) external _utimensat
000000018039372c (__TEXT,__text) external _utimes
000000018039d548 (__TEXT,__text) external _vfs_purge
00000001803902e4 (__TEXT,__text) external _vm_allocate
00000001803ac6f0 (__TEXT,__text) external _vm_allocate_cpm
00000001803be61c (__TEXT,__text) external _vm_behavior_set
00000001803910e4 (__TEXT,__text) external _vm_copy
00000001803903d0 (__TEXT,__text) external _vm_deallocate
00000001803bdfbc (__TEXT,__text) external _vm_inherit
00000001db9625e0 (__DATA_DIRTY,__common) external _vm_kernel_page_mask
00000001db9625e8 (__DATA_DIRTY,__common) external _vm_kernel_page_shift
00000001db9625d8 (__DATA_DIRTY,__common) external _vm_kernel_page_size
00000001803be740 (__TEXT,__text) external _vm_machine_attribute
000000018039a36c (__TEXT,__text) external _vm_map
00000001803be89c (__TEXT,__text) external _vm_map_page_query
00000001803be4f8 (__TEXT,__text) external _vm_msync
00000001db9625f0 (__DATA_DIRTY,__common) external _vm_page_mask
00000001db9625f8 (__DATA_DIRTY,__common) external _vm_page_shift
00000001db962608 (__DATA_DIRTY,__common) external _vm_page_size
000000018039d574 (__TEXT,__text) external _vm_pressure_monitor
0000000180392a04 (__TEXT,__text) external _vm_protect
0000000180391924 (__TEXT,__text) external _vm_purgable_control
00000001803977ac (__TEXT,__text) external _vm_read
00000001803be0e0 (__TEXT,__text) external _vm_read_list
00000001803be3a4 (__TEXT,__text) external _vm_read_overwrite
00000001803963b8 (__TEXT,__text) external _vm_region_64
00000001803965e8 (__TEXT,__text) external _vm_region_recurse_64
0000000180390590 (__TEXT,__text) external _vm_remap
00000001803aa7bc (__TEXT,__text) external _vm_remap_new
00000001803ac484 (__TEXT,__text) external _vm_wire
00000001803be268 (__TEXT,__text) external _vm_write
0000000180391684 (__TEXT,__text) external _voucher_mach_msg_adopt
000000018038f180 (__TEXT,__text) external _voucher_mach_msg_clear
000000018039166c (__TEXT,__text) external _voucher_mach_msg_revert
000000018038ed28 (__TEXT,__text) external _voucher_mach_msg_set
00000001d9428c70 (__DATA,__common) external _vprintf_stderr_func
000000018039a62c (__TEXT,__text) external _wait4
000000018039d5a0 (__TEXT,__text) external _waitid
000000018039c050 (__TEXT,__text) external _waitid$NOCANCEL
00000001803a947c (__TEXT,__text) external _work_interval_copy_port
0000000180396dbc (__TEXT,__text) external _work_interval_create
00000001803a9264 (__TEXT,__text) external _work_interval_destroy
00000001803a8ef4 (__TEXT,__text) external _work_interval_get_flags_from_port
0000000180396efc (__TEXT,__text) external _work_interval_instance_alloc
00000001803a905c (__TEXT,__text) external _work_interval_instance_clear
00000001803a91e4 (__TEXT,__text) external _work_interval_instance_finish
00000001803a9070 (__TEXT,__text) external _work_interval_instance_free
00000001803a9124 (__TEXT,__text) external _work_interval_instance_get_complexity
00000001803a90f4 (__TEXT,__text) external _work_interval_instance_get_deadline
00000001803a910c (__TEXT,__text) external _work_interval_instance_get_finish
0000000180396f58 (__TEXT,__text) external _work_interval_instance_get_id
00000001803a90dc (__TEXT,__text) external _work_interval_instance_get_start
00000001803a90d4 (__TEXT,__text) external _work_interval_instance_set_complexity
00000001803a90c4 (__TEXT,__text) external _work_interval_instance_set_deadline
00000001803a90cc (__TEXT,__text) external _work_interval_instance_set_finish
00000001803a90bc (__TEXT,__text) external _work_interval_instance_set_start
00000001803a913c (__TEXT,__text) external _work_interval_instance_start
00000001803a918c (__TEXT,__text) external _work_interval_instance_update
00000001803a93d0 (__TEXT,__text) external _work_interval_join
00000001803a9428 (__TEXT,__text) external _work_interval_join_port
00000001803a9468 (__TEXT,__text) external _work_interval_leave
00000001803a8f80 (__TEXT,__text) external _work_interval_notify
00000001803a8ffc (__TEXT,__text) external _work_interval_notify_simple
0000000180391b6c (__TEXT,__text) external _write
0000000180391f1c (__TEXT,__text) external _write$NOCANCEL
0000000180391ec4 (__TEXT,__text) external _writev
000000018039c07c (__TEXT,__text) external _writev$NOCANCEL
