0000000293e69c90 (__DATA,__data) non-external _.compoundliteral
00000002256bea70 (__TEXT,__text) non-external (was a private external) _glpSubroutineTypeListNodeGetType
00000002256bea68 (__TEXT,__text) non-external (was a private external) _glpSubroutineTypeListNodeGetTypeCount
00000002256bea90 (__TEXT,__text) non-external (was a private external) _glpSubroutineTypeListNodeInsertType
00000002256bea7c (__TEXT,__text) non-external (was a private external) _glpSubroutineTypeListNodeSetType
00000002256bff00 (__TEXT,__text) non-external (was a private external) _glpSubroutineUniformNodeGetExtra
00000002256bf328 (__TEXT,__text) non-external (was a private external) _glpSwitchStatementNodeGetBody
00000002256bf310 (__TEXT,__text) non-external (was a private external) _glpSwitchStatementNodeGetExpr
00000002256bf334 (__TEXT,__text) non-external (was a private external) _glpSwitchStatementNodeSetBody
00000002256bf31c (__TEXT,__text) non-external (was a private external) _glpSwitchStatementNodeSetExpr
00000002256ec348 (__TEXT,__text) non-external _glpSwizzleHasDuplicateComponents
0000000225683f58 (__TEXT,__text) non-external _glpTextureNameFromSamplerType
00000002256bf73c (__TEXT,__text) non-external (was a private external) _glpTopLevelNodeAddDef
00000002256bbbd0 (__TEXT,__text) non-external (was a private external) _glpTopLevelNodeGetDef
00000002256bbbc8 (__TEXT,__text) non-external (was a private external) _glpTopLevelNodeGetDefCount
00000002256bbb70 (__TEXT,__text) non-external (was a private external) _glpTopLevelNodeGetGlobalTypeQualifier
00000002256bf744 (__TEXT,__text) non-external (was a private external) _glpTopLevelNodeInsertDef
00000002256bf730 (__TEXT,__text) non-external (was a private external) _glpTopLevelNodeSetDef
00000002256bbfa0 (__TEXT,__text) non-external (was a private external) _glpTypeConversionNodeGetToPrecision
00000002256bbf98 (__TEXT,__text) non-external (was a private external) _glpTypeConversionNodeGetToType
00000002256bbfa8 (__TEXT,__text) non-external (was a private external) _glpTypeConversionNodeSetToPrecision
000000022568b520 (__TEXT,__text) non-external (was a private external) _glpTypeFromScalarTypeAndComponentCount
0000000225661f60 (__TEXT,__text) non-external (was a private external) _glpTypeGetAppleVec4Types
00000002256b00c0 (__TEXT,__text) non-external (was a private external) _glpTypeGetKind
00000002256b0884 (__TEXT,__text) non-external (was a private external) _glpTypeGetSamplerCount
000000022566721c (__TEXT,__text) non-external _glpTypeGetVec4s
0000000225679568 (__TEXT,__text) non-external _glpTypeGetVec4s
0000000225693020 (__TEXT,__text) non-external _glpTypeGetVec4s
00000002256b1284 (__TEXT,__text) non-external (was a private external) _glpTypeHumanReadableDescription
00000002256bc0c4 (__TEXT,__text) non-external (was a private external) _glpTypeIdentifierNodeGetName
00000002256b0974 (__TEXT,__text) non-external (was a private external) _glpTypeIsAtomic
00000002256b0a0c (__TEXT,__text) non-external (was a private external) _glpTypeIsSized
00000002256b0f20 (__TEXT,__text) non-external (was a private external) _glpTypeParseDeref
0000000225661d8c (__TEXT,__text) non-external (was a private external) _glpTypeSizeGetSize
0000000225661d80 (__TEXT,__text) non-external (was a private external) _glpTypeSizeIsValid
0000000225686d50 (__TEXT,__text) non-external _glpTypeToLLVMTypeWithUnderlying
00000002256b5824 (__TEXT,__text) non-external (was a private external) _glpTypedValueHash
0000000225661a14 (__TEXT,__text) non-external (was a private external) _glpTypedValueHashCache
0000000225661980 (__TEXT,__text) non-external (was a private external) _glpTypedValueHashGet
000000022566178c (__TEXT,__text) non-external (was a private external) _glpTypedValueHashPut
00000002256b58a0 (__TEXT,__text) non-external (was a private external) _glpTypedValuesEqual
00000002256b05b0 (__TEXT,__text) non-external (was a private external) _glpTypesEqual
00000002256bbc2c (__TEXT,__text) non-external (was a private external) _glpUnaryOperatorNodeGetExpr
00000002256bbc38 (__TEXT,__text) non-external (was a private external) _glpUnaryOperatorNodeSetExpr
00000002256b172c (__TEXT,__text) non-external (was a private external) _glpUnaryOperatorStringToSymbol
00000002256bc3a4 (__TEXT,__text) non-external (was a private external) _glpUndeterminedCallNodeGetCallee
00000002256bc3b4 (__TEXT,__text) non-external (was a private external) _glpUndeterminedCallNodeSetCallee
0000000225662b90 (__TEXT,__text) non-external (was a private external) _glpUnlockPoolAllocator
00000002256f06cc (__TEXT,__text) non-external (was a private external) _glpUpdateExtensionBehavior
00000002256a4ce8 (__TEXT,__text) non-external (was a private external) _glpValidateSwizzle
00000002256b54b4 (__TEXT,__text) non-external (was a private external) _glpValueGetAsSize
00000002256b5450 (__TEXT,__text) non-external (was a private external) _glpValueIsUsableAsSize
00000002256bdcb4 (__TEXT,__text) non-external (was a private external) _glpVariableDeclarationGroupNodeAddDeclaration
00000002256bdc74 (__TEXT,__text) non-external (was a private external) _glpVariableDeclarationGroupNodeGetBaseType
00000002256bdc94 (__TEXT,__text) non-external (was a private external) _glpVariableDeclarationGroupNodeGetDeclaration
00000002256bdc8c (__TEXT,__text) non-external (was a private external) _glpVariableDeclarationGroupNodeGetDeclarationCount
00000002256bdcbc (__TEXT,__text) non-external (was a private external) _glpVariableDeclarationGroupNodeInsertDeclaration
00000002256bdc80 (__TEXT,__text) non-external (was a private external) _glpVariableDeclarationGroupNodeSetBaseType
00000002256bdca4 (__TEXT,__text) non-external (was a private external) _glpVariableDeclarationGroupNodeSetDeclaration
00000002256bdbb0 (__TEXT,__text) non-external (was a private external) _glpVariableDeclarationNodeGetExtra
00000002256bdbd8 (__TEXT,__text) non-external (was a private external) _glpVariableDeclarationNodeGetInitializer
00000002256bdba8 (__TEXT,__text) non-external (was a private external) _glpVariableDeclarationNodeGetIsFromSource
00000002256bdb94 (__TEXT,__text) non-external (was a private external) _glpVariableDeclarationNodeGetName
00000002256bdbc0 (__TEXT,__text) non-external (was a private external) _glpVariableDeclarationNodeGetType
00000002256bdbb8 (__TEXT,__text) non-external (was a private external) _glpVariableDeclarationNodeSetExtra
00000002256bdbe4 (__TEXT,__text) non-external (was a private external) _glpVariableDeclarationNodeSetInitializer
00000002256bdba0 (__TEXT,__text) non-external (was a private external) _glpVariableDeclarationNodeSetName
00000002256bdbcc (__TEXT,__text) non-external (was a private external) _glpVariableDeclarationNodeSetType
00000002256bc03c (__TEXT,__text) non-external (was a private external) _glpVariableIdentifierNodeGetName
000000022568c650 (__TEXT,__text) non-external (was a private external) _glpVariableObjectExtendImplicitArraySize
000000022568c4a0 (__TEXT,__text) non-external (was a private external) _glpVariableObjectGetABI
000000022568c570 (__TEXT,__text) non-external (was a private external) _glpVariableObjectValidateImplicitArraySize
00000002256df0a0 (__TEXT,__text) non-external _glpVecFromValue
000000022570dbe0 (__TEXT,__text) external _glpVertexStateToPPStream
00000002256feea8 (__TEXT,__text) non-external _glpWriteAddressOperand
00000002256fe74c (__TEXT,__text) non-external _glpWriteBranchOperand
00000002256fe8d8 (__TEXT,__text) non-external _glpWriteClampSat
00000002256fe96c (__TEXT,__text) non-external _glpWriteDestinationOperand
0000000225701c64 (__TEXT,__text) non-external _glpWriteOperandSize
00000002256bd5a4 (__TEXT,__text) non-external (was a private external) _glpWriteOutputNodeGetExtra
00000002256bd5ac (__TEXT,__text) non-external (was a private external) _glpWriteOutputNodeSetExtra
00000002256fe154 (__TEXT,__text) non-external _glpWriteSizeType
0000000225701bac (__TEXT,__text) non-external _glpWriteSizeTypePrecision
00000002256fe204 (__TEXT,__text) non-external _glpWriteSourceOperand
00000002256aa200 (__TEXT,__text) non-external (was a private external) _glp_serialized_integer32_control
00000002256aa190 (__TEXT,__text) non-external (was a private external) _glp_serialized_integer64_control
00000002255fcf88 (__TEXT,__text) non-external (was a private external) _glp_strtod
000000022565f678 (__TEXT,__text) external _glsmAllocateTextureLevels
000000022565f794 (__TEXT,__text) external _glsmCleanTextureGeometry
00000002256604b0 (__TEXT,__text) external _glsmCreateBuffer
0000000225660344 (__TEXT,__text) external _glsmCreateSampler
000000022565f600 (__TEXT,__text) external _glsmCreateTexture
0000000225660500 (__TEXT,__text) external _glsmDestroyBuffer
0000000225660398 (__TEXT,__text) external _glsmDestroySampler
000000022565f748 (__TEXT,__text) external _glsmDestroyTexture
000000022565f6c0 (__TEXT,__text) external _glsmFreeTextureLevelBuffers
000000022565fc80 (__TEXT,__text) external _glsmLoadTextureLevelBuffer
0000000225660130 (__TEXT,__text) external _glsmLoadTextureStructure
000000022565fa88 (__TEXT,__text) non-external _glsmResetTextureLevel
000000022566039c (__TEXT,__text) external _glsmUpdateTexImageDataInPPStream
00000002255fd6b4 (__TEXT,__text) non-external (was a private external) _glvmCPGetAttributeCode
00000002255fff3c (__TEXT,__text) external _glvmCalculateSurfaceTextureBase
000000022562108c (__TEXT,__text) non-external (was a private external) _glvmChooseArgTypeConversion
0000000225621308 (__TEXT,__text) non-external (was a private external) _glvmChooseDestTypeConversion
000000022565b9b4 (__TEXT,__text) external _glvmCopyAttributes
00000002255fd6d4 (__TEXT,__text) non-external (was a private external) _glvmEPGetAttributeCode
00000002255fd754 (__TEXT,__text) non-external (was a private external) _glvmFPGetAttributeCode
00000002255fd6f4 (__TEXT,__text) non-external (was a private external) _glvmGPGetAttributeCode
00000002255fd7f4 (__TEXT,__text) external _glvmGetConstants
0000000225725940 (__TEXT,__text) non-external _glvmGetConstants.cold.1
000000022563b6d0 (__TEXT,__text) non-external (was a private external) _glvmGetDestOffsetCount
00000002255fd204 (__TEXT,__text) non-external (was a private external) _glvmGetGlobalParameterOffset
000000022563bbe0 (__TEXT,__text) non-external (was a private external) _glvmGetOperationSpec
00000002255fd650 (__TEXT,__text) non-external (was a private external) _glvmGetResultCode
000000022563aee4 (__TEXT,__text) non-external (was a private external) _glvmGetSourceOffsetStride
0000000225652a7c (__TEXT,__text) external _glvmInterpretCPTransformPatch
0000000225650bbc (__TEXT,__text) non-external (was a private external) _glvmInterpretCPTransformPatchInner
00000002256554a8 (__TEXT,__text) external _glvmInterpretEPTransformPatch
0000000225653198 (__TEXT,__text) non-external (was a private external) _glvmInterpretEPTransformPatchInner
000000022565dfe4 (__TEXT,__text) external _glvmInterpretFPTransformFour
000000022565bc1c (__TEXT,__text) non-external (was a private external) _glvmInterpretFPTransformFourInner
00000002256591f4 (__TEXT,__text) external _glvmInterpretGPTransformPrimitive
0000000225656a90 (__TEXT,__text) non-external (was a private external) _glvmInterpretGPTransformPrimitiveInner
0000000225650478 (__TEXT,__text) external _glvmInterpretVPTransformFour
000000022564dce0 (__TEXT,__text) non-external (was a private external) _glvmInterpretVPTransformFourInner
0000000225625d1c (__TEXT,__text) non-external (was a private external) _glvmLoadDestTemp
00000002256229cc (__TEXT,__text) non-external (was a private external) _glvmLoadSourceAddress
000000022562ed38 (__TEXT,__text) non-external (was a private external) _glvmLoadSourceAttribCP
00000002256330d8 (__TEXT,__text) non-external (was a private external) _glvmLoadSourceAttribEP
0000000225636ce8 (__TEXT,__text) non-external (was a private external) _glvmLoadSourceAttribFP
0000000225635f10 (__TEXT,__text) non-external (was a private external) _glvmLoadSourceAttribGP
000000022562c1f4 (__TEXT,__text) non-external (was a private external) _glvmLoadSourceAttribVP
0000000225623324 (__TEXT,__text) non-external (was a private external) _glvmLoadSourceParam
00000002256214b4 (__TEXT,__text) non-external (was a private external) _glvmLoadSourceTemp
00000002256df35c (__TEXT,__text) non-external _glvmOp
000000022563d41c (__TEXT,__text) non-external (was a private external) _glvmOperationABS
0000000225649c9c (__TEXT,__text) non-external (was a private external) _glvmOperationACOSH
000000022563d5bc (__TEXT,__text) non-external (was a private external) _glvmOperationACS
0000000225641954 (__TEXT,__text) non-external (was a private external) _glvmOperationADD
000000022563d704 (__TEXT,__text) non-external (was a private external) _glvmOperationALL
00000002256493c0 (__TEXT,__text) non-external (was a private external) _glvmOperationAND
0000000225641a58 (__TEXT,__text) non-external (was a private external) _glvmOperationANL
000000022563d944 (__TEXT,__text) non-external (was a private external) _glvmOperationANY
000000022563d3c0 (__TEXT,__text) non-external (was a private external) _glvmOperationARA
000000022563d398 (__TEXT,__text) non-external (was a private external) _glvmOperationARL
000000022563d3bc (__TEXT,__text) non-external (was a private external) _glvmOperationARR
0000000225649b6c (__TEXT,__text) non-external (was a private external) _glvmOperationASINH
000000022563db84 (__TEXT,__text) non-external (was a private external) _glvmOperationASN
0000000225649dcc (__TEXT,__text) non-external (was a private external) _glvmOperationATANH
000000022563dcac (__TEXT,__text) non-external (was a private external) _glvmOperationATN
0000000225641a9c (__TEXT,__text) non-external (was a private external) _glvmOperationATN2
000000022563cb34 (__TEXT,__text) non-external (was a private external) _glvmOperationATN_Core
0000000225647fd0 (__TEXT,__text) non-external (was a private external) _glvmOperationBDL
000000022564c01c (__TEXT,__text) non-external (was a private external) _glvmOperationBITCOUNT
000000022564bc58 (__TEXT,__text) non-external (was a private external) _glvmOperationBITFIELD_REVERSE
000000022563dcb8 (__TEXT,__text) non-external (was a private external) _glvmOperationCEI
00000002256456b0 (__TEXT,__text) non-external (was a private external) _glvmOperationCLM
0000000225645648 (__TEXT,__text) non-external (was a private external) _glvmOperationCMP
00000002256497a8 (__TEXT,__text) non-external (was a private external) _glvmOperationCOMP
000000022563de14 (__TEXT,__text) non-external (was a private external) _glvmOperationCOS
000000022564990c (__TEXT,__text) non-external (was a private external) _glvmOperationCOSH
00000002256594f0 (__TEXT,__text) non-external (was a private external) _glvmOperationCopyAttributes
00000002256418d0 (__TEXT,__text) non-external (was a private external) _glvmOperationDDX
00000002256418fc (__TEXT,__text) non-external (was a private external) _glvmOperationDDY
000000022563dea4 (__TEXT,__text) non-external (was a private external) _glvmOperationDEG
00000002256427a8 (__TEXT,__text) non-external (was a private external) _glvmOperationDISTANCE
0000000225641c98 (__TEXT,__text) non-external (was a private external) _glvmOperationDIV
0000000225641fbc (__TEXT,__text) non-external (was a private external) _glvmOperationDOT
0000000225642318 (__TEXT,__text) non-external (was a private external) _glvmOperationDP3
00000002256424fc (__TEXT,__text) non-external (was a private external) _glvmOperationDP4
000000022564265c (__TEXT,__text) non-external (was a private external) _glvmOperationDPH
0000000225646ff0 (__TEXT,__text) non-external (was a private external) _glvmOperationDSL
0000000225642700 (__TEXT,__text) non-external (was a private external) _glvmOperationDST
00000002256509b4 (__TEXT,__text) non-external (was a private external) _glvmOperationDispatchCP
0000000225652f90 (__TEXT,__text) non-external (was a private external) _glvmOperationDispatchEP
000000022565b9c8 (__TEXT,__text) non-external (was a private external) _glvmOperationDispatchFP
0000000225656888 (__TEXT,__text) non-external (was a private external) _glvmOperationDispatchGP
000000022564da60 (__TEXT,__text) non-external (was a private external) _glvmOperationDispatchVP
000000022565613c (__TEXT,__text) non-external (was a private external) _glvmOperationENDSTREAMPRIMITIVE
00000002256565f8 (__TEXT,__text) non-external (was a private external) _glvmOperationENDSTREAMPRIMITIVES
0000000225656394 (__TEXT,__text) non-external (was a private external) _glvmOperationENDSTREAMPRIMITIVEWithMask
000000022563dee4 (__TEXT,__text) non-external (was a private external) _glvmOperationEX2
000000022563c320 (__TEXT,__text) non-external (was a private external) _glvmOperationEX2_Core
000000022563e02c (__TEXT,__text) non-external (was a private external) _glvmOperationEXP
000000022563e034 (__TEXT,__text) non-external (was a private external) _glvmOperationEXPE
000000022564a45c (__TEXT,__text) non-external (was a private external) _glvmOperationEXTRACT_EXPONENT
000000022564a180 (__TEXT,__text) non-external (was a private external) _glvmOperationEXTRACT_SIGNIFICAND
0000000225645c54 (__TEXT,__text) non-external (was a private external) _glvmOperationFFW
000000022564c2a0 (__TEXT,__text) non-external (was a private external) _glvmOperationFIND_LSB
000000022564c564 (__TEXT,__text) non-external (was a private external) _glvmOperationFIND_MSB
000000022563e1ec (__TEXT,__text) non-external (was a private external) _glvmOperationFLR
000000022563c1e0 (__TEXT,__text) non-external (was a private external) _glvmOperationFLR_CEI_Core
000000022563e348 (__TEXT,__text) non-external (was a private external) _glvmOperationFRC
000000022564a15c (__TEXT,__text) non-external (was a private external) _glvmOperationFROM_BITS
000000022561c214 (__TEXT,__text) non-external (was a private external) _glvmOperationFUNCSTART
0000000225641928 (__TEXT,__text) non-external (was a private external) _glvmOperationFWD
000000022564c890 (__TEXT,__text) non-external (was a private external) _glvmOperationINTERPOLATE_AT_CENTROID
000000022564c8b4 (__TEXT,__text) non-external (was a private external) _glvmOperationINTERPOLATE_AT_OFFSET
000000022564c9f8 (__TEXT,__text) non-external (was a private external) _glvmOperationINTERPOLATE_AT_SAMPLE
0000000225640e44 (__TEXT,__text) non-external (was a private external) _glvmOperationINVERSESQRT
0000000225649efc (__TEXT,__text) non-external (was a private external) _glvmOperationISINF
0000000225649fdc (__TEXT,__text) non-external (was a private external) _glvmOperationISNAN
000000022561c21c (__TEXT,__text) non-external (was a private external) _glvmOperationInitMasksForNested
000000022561c248 (__TEXT,__text) non-external (was a private external) _glvmOperationInitSub
000000022565b1e0 (__TEXT,__text) non-external (was a private external) _glvmOperationKIL
000000022564a6e4 (__TEXT,__text) non-external (was a private external) _glvmOperationLDEXP
000000022563e6b0 (__TEXT,__text) non-external (was a private external) _glvmOperationLEN
000000022563e9a4 (__TEXT,__text) non-external (was a private external) _glvmOperationLG2
000000022563c66c (__TEXT,__text) non-external (was a private external) _glvmOperationLG2_Core
000000022563eb04 (__TEXT,__text) non-external (was a private external) _glvmOperationLIT
0000000225648094 (__TEXT,__text) non-external (was a private external) _glvmOperationLOAD
000000022563eca0 (__TEXT,__text) non-external (was a private external) _glvmOperationLOG
000000022563ecb0 (__TEXT,__text) non-external (was a private external) _glvmOperationLOGE
000000022564606c (__TEXT,__text) non-external (was a private external) _glvmOperationLRP
0000000225646330 (__TEXT,__text) non-external (was a private external) _glvmOperationMAD
0000000225642a8c (__TEXT,__text) non-external (was a private external) _glvmOperationMAX
0000000225642dd8 (__TEXT,__text) non-external (was a private external) _glvmOperationMIN
0000000225643124 (__TEXT,__text) non-external (was a private external) _glvmOperationMLC
0000000225643128 (__TEXT,__text) non-external (was a private external) _glvmOperationMOD
000000022563ee34 (__TEXT,__text) non-external (was a private external) _glvmOperationMOV
0000000225643870 (__TEXT,__text) non-external (was a private external) _glvmOperationMUL
000000022564ba90 (__TEXT,__text) non-external (was a private external) _glvmOperationMUL_HB
000000022563eea4 (__TEXT,__text) non-external (was a private external) _glvmOperationNOT
000000022563eed8 (__TEXT,__text) non-external (was a private external) _glvmOperationNRM
000000022563f2a8 (__TEXT,__text) non-external (was a private external) _glvmOperationNSE
0000000225649404 (__TEXT,__text) non-external (was a private external) _glvmOperationOR
0000000225643974 (__TEXT,__text) non-external (was a private external) _glvmOperationORL
000000022564aba0 (__TEXT,__text) non-external (was a private external) _glvmOperationPK2H
000000022564a9c4 (__TEXT,__text) non-external (was a private external) _glvmOperationPK2US
000000022564ba48 (__TEXT,__text) non-external (was a private external) _glvmOperationPK2W
000000022564b3c4 (__TEXT,__text) non-external (was a private external) _glvmOperationPK4B
000000022564b750 (__TEXT,__text) non-external (was a private external) _glvmOperationPK4UB
00000002256439b8 (__TEXT,__text) non-external (was a private external) _glvmOperationPOW
0000000225640d64 (__TEXT,__text) non-external (was a private external) _glvmOperationRAD
0000000225640da4 (__TEXT,__text) non-external (was a private external) _glvmOperationRCC
0000000225640da8 (__TEXT,__text) non-external (was a private external) _glvmOperationRCP
000000022561c218 (__TEXT,__text) non-external (was a private external) _glvmOperationRET
0000000225643bf8 (__TEXT,__text) non-external (was a private external) _glvmOperationRFL
00000002256463fc (__TEXT,__text) non-external (was a private external) _glvmOperationRFR
0000000225648578 (__TEXT,__text) non-external (was a private external) _glvmOperationROUND
00000002256487c8 (__TEXT,__text) non-external (was a private external) _glvmOperationROUNDEVEN
0000000225640de0 (__TEXT,__text) non-external (was a private external) _glvmOperationRSQ
000000022563d340 (__TEXT,__text) non-external (was a private external) _glvmOperationSAT
0000000225641844 (__TEXT,__text) non-external (was a private external) _glvmOperationSCS
0000000225644008 (__TEXT,__text) non-external (was a private external) _glvmOperationSEL
00000002256440d0 (__TEXT,__text) non-external (was a private external) _glvmOperationSEQ
0000000225644540 (__TEXT,__text) non-external (was a private external) _glvmOperationSFL
0000000225644558 (__TEXT,__text) non-external (was a private external) _glvmOperationSGE
000000022564478c (__TEXT,__text) non-external (was a private external) _glvmOperationSGT
000000022564948c (__TEXT,__text) non-external (was a private external) _glvmOperationSHL
0000000225649590 (__TEXT,__text) non-external (was a private external) _glvmOperationSHR
0000000225641020 (__TEXT,__text) non-external (was a private external) _glvmOperationSIN
00000002256497dc (__TEXT,__text) non-external (was a private external) _glvmOperationSINH
000000022563c828 (__TEXT,__text) non-external (was a private external) _glvmOperationSIN_Core
00000002256449c0 (__TEXT,__text) non-external (was a private external) _glvmOperationSLE
0000000225644bf4 (__TEXT,__text) non-external (was a private external) _glvmOperationSLT
0000000225646d70 (__TEXT,__text) non-external (was a private external) _glvmOperationSMS
0000000225644e28 (__TEXT,__text) non-external (was a private external) _glvmOperationSNE
0000000225641024 (__TEXT,__text) non-external (was a private external) _glvmOperationSQT
00000002256411a0 (__TEXT,__text) non-external (was a private external) _glvmOperationSSG
0000000225652da0 (__TEXT,__text) non-external (was a private external) _glvmOperationSTOREWithMaskEP
00000002256557d8 (__TEXT,__text) non-external (was a private external) _glvmOperationSTOREWithMaskGP
000000022564cb1c (__TEXT,__text) non-external (was a private external) _glvmOperationSTOREWithMaskVP
00000002256452ac (__TEXT,__text) non-external (was a private external) _glvmOperationSTR
00000002256452c4 (__TEXT,__text) non-external (was a private external) _glvmOperationSUB
0000000225647098 (__TEXT,__text) non-external (was a private external) _glvmOperationSWZ
000000022564149c (__TEXT,__text) non-external (was a private external) _glvmOperationTAN
0000000225649a3c (__TEXT,__text) non-external (was a private external) _glvmOperationTANH
000000022561c0a8 (__TEXT,__text) non-external (was a private external) _glvmOperationTARGBRA
000000022561bd7c (__TEXT,__text) non-external (was a private external) _glvmOperationTARGBRK
000000022561bf10 (__TEXT,__text) non-external (was a private external) _glvmOperationTARGCONT
000000022564a138 (__TEXT,__text) non-external (was a private external) _glvmOperationTO_BITS
0000000225649170 (__TEXT,__text) non-external (was a private external) _glvmOperationTRUNCATE
000000022564b000 (__TEXT,__text) non-external (was a private external) _glvmOperationUP2H
000000022564ab00 (__TEXT,__text) non-external (was a private external) _glvmOperationUP2US
000000022564ba6c (__TEXT,__text) non-external (was a private external) _glvmOperationUP2W
000000022564b5bc (__TEXT,__text) non-external (was a private external) _glvmOperationUP4B
000000022564b948 (__TEXT,__text) non-external (was a private external) _glvmOperationUP4UB
0000000225649448 (__TEXT,__text) non-external (was a private external) _glvmOperationXOR
00000002256453c8 (__TEXT,__text) non-external (was a private external) _glvmOperationXPD
0000000225645604 (__TEXT,__text) non-external (was a private external) _glvmOperationXRL
000000022563d3c4 (__TEXT,__text) non-external (was a private external) _glvmOperationZERO
000000022563ccd8 (__TEXT,__text) non-external (was a private external) _glvmOperationsNoise3D
000000022563cf40 (__TEXT,__text) non-external (was a private external) _glvmOperationsNoise4D
000000022561bf2c (__TEXT,__text) non-external (was a private external) _glvmPredicateBRA
000000022561bc04 (__TEXT,__text) non-external (was a private external) _glvmPredicateBRK
000000022561c130 (__TEXT,__text) non-external (was a private external) _glvmPredicateCASE
000000022561bd98 (__TEXT,__text) non-external (was a private external) _glvmPredicateCONT
000000022561c1e4 (__TEXT,__text) non-external (was a private external) _glvmPredicateDEFAULT
000000022561bb7c (__TEXT,__text) non-external (was a private external) _glvmPredicateELSE
000000022561bba0 (__TEXT,__text) non-external (was a private external) _glvmPredicateENDIF
000000022561c0dc (__TEXT,__text) non-external (was a private external) _glvmPredicateENDSWITCH
000000022561bbe8 (__TEXT,__text) non-external (was a private external) _glvmPredicateENDWHILE
000000022561bae0 (__TEXT,__text) non-external (was a private external) _glvmPredicateIF
000000022561c0c4 (__TEXT,__text) non-external (was a private external) _glvmPredicateSWITCH
000000022561bbe0 (__TEXT,__text) non-external (was a private external) _glvmPredicateWHILE
000000022565b27c (__TEXT,__text) external _glvmPreloadFPTransformFour
000000022565971c (__TEXT,__text) non-external (was a private external) _glvmPreloadPositionAttrib
0000000225659800 (__TEXT,__text) non-external (was a private external) _glvmPreloadSourceAttribs
000000022561c814 (__TEXT,__text) non-external (was a private external) _glvmRasterOpAlphaTest
000000022561e9f0 (__TEXT,__text) non-external (was a private external) _glvmRasterOpBlend
000000022561c254 (__TEXT,__text) non-external (was a private external) _glvmRasterOpDepthBoundsTest
000000022561c9f8 (__TEXT,__text) non-external (was a private external) _glvmRasterOpDepthStencilTest
000000022561e4d4 (__TEXT,__text) non-external (was a private external) _glvmRasterOpFragmentCount
000000022561fb80 (__TEXT,__text) non-external (was a private external) _glvmRasterOpLogicOp
000000022561fc7c (__TEXT,__text) non-external (was a private external) _glvmRasterOpMask
000000022561c490 (__TEXT,__text) non-external (was a private external) _glvmRasterOpMultisampleAlphaCoverage
000000022561c5ac (__TEXT,__text) non-external (was a private external) _glvmRasterOpMultisampleAlphaOne
000000022561c5d8 (__TEXT,__text) non-external (was a private external) _glvmRasterOpMultisampleCoverageMask
000000022561c760 (__TEXT,__text) non-external (was a private external) _glvmRasterOpMultisampleSampleMask
000000022561e510 (__TEXT,__text) non-external (was a private external) _glvmRasterOpPack
000000022561feec (__TEXT,__text) non-external (was a private external) _glvmRasterOpRead
00000002256200a0 (__TEXT,__text) non-external (was a private external) _glvmRasterOpWrite
0000000225620330 (__TEXT,__text) non-external (was a private external) _glvmRasterOpWriteFallback
000000022561b1f4 (__TEXT,__text) non-external (was a private external) _glvmSamplerFetch
000000022561b0ec (__TEXT,__text) non-external (was a private external) _glvmSamplerInvalid
0000000225600f4c (__TEXT,__text) non-external (was a private external) _glvmSamplerLoadTexels
0000000225605588 (__TEXT,__text) non-external (was a private external) _glvmSamplerQueryLOD
00000002256066c8 (__TEXT,__text) non-external (was a private external) _glvmSamplerSample
000000022561b138 (__TEXT,__text) non-external (was a private external) _glvmSamplerSize
00000002256503b4 (__TEXT,__text) non-external _glvmSetSourceIndirectLimits
00000002256529b8 (__TEXT,__text) non-external _glvmSetSourceIndirectLimits
00000002256553e4 (__TEXT,__text) non-external _glvmSetSourceIndirectLimits
0000000225659130 (__TEXT,__text) non-external _glvmSetSourceIndirectLimits
000000022565df20 (__TEXT,__text) non-external _glvmSetSourceIndirectLimits
00000002255ff600 (__TEXT,__text) external _glvmSetTextureFormat
0000000225620ed8 (__TEXT,__text) non-external (was a private external) _glvmSourceNegateCF
000000022562873c (__TEXT,__text) non-external (was a private external) _glvmStoreDestAddress
000000022562b910 (__TEXT,__text) non-external (was a private external) _glvmStoreDestAddressWithMask
0000000225630b58 (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputCP
0000000225634858 (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputEP
0000000225638640 (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputFP
00000002256363c0 (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputGP
000000022562cfe4 (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputVP
0000000225631e18 (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputWithMaskCP
00000002256353b4 (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputWithMaskEP
0000000225639578 (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputWithMaskFP
0000000225636840 (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputWithMaskGP
000000022562dbc8 (__TEXT,__text) non-external (was a private external) _glvmStoreDestOutputWithMaskVP
0000000225626edc (__TEXT,__text) non-external (was a private external) _glvmStoreDestTemp
0000000225628e2c (__TEXT,__text) non-external (was a private external) _glvmStoreDestTempWithMask
0000000225600ea0 (__TEXT,__text) non-external _glvmTextureWrapEnumToPPStreamEnum
0000000225620f30 (__TEXT,__text) non-external (was a private external) _glvmTypeConvertCF
00000002256001e4 (__TEXT,__text) external _glvmUpdateTextureStructure
0000000225654f3c (__TEXT,__text) non-external (was a private external) _glvmWindowTransformEP
