00000001ebf7b8d0 (__DATA,__data) external _NDR_record
0000000180434718 (__TEXT,__text) external _rename
0000000180445e50 (__TEXT,__text) external _rename_ext
0000000180442958 (__TEXT,__text) external _renameat
0000000180445de4 (__TEXT,__text) external _renameatx_np
0000000180445e10 (__TEXT,__text) external _renamex_np
000000018043fa60 (__TEXT,__text) external _revoke
0000000180434784 (__TEXT,__text) external _rmdir
000000018043fa8c (__TEXT,__text) external _searchfs
0000000180435258 (__TEXT,__text) external _select
000000018043bc24 (__TEXT,__text) external _select$DARWIN_EXTSN
0000000180434fec (__TEXT,__text) external _select$DARWIN_EXTSN$NOCANCEL
0000000180434fb8 (__TEXT,__text) external _select$NOCANCEL
000000018043a4fc (__TEXT,__text) external _sem_close
000000018044b370 (__TEXT,__text) external _sem_destroy
000000018044b398 (__TEXT,__text) external _sem_getvalue
000000018044b3c0 (__TEXT,__text) external _sem_init
000000018043d7d0 (__TEXT,__text) external _sem_open
000000018043fab8 (__TEXT,__text) external _sem_post
000000018043fae4 (__TEXT,__text) external _sem_trywait
000000018043fb10 (__TEXT,__text) external _sem_unlink
000000018043fb3c (__TEXT,__text) external _sem_wait
000000018043e708 (__TEXT,__text) external _sem_wait$NOCANCEL
0000000180433b04 (__TEXT,__text) external _semaphore_create
0000000180433e90 (__TEXT,__text) external _semaphore_destroy
0000000180433c70 (__TEXT,__text) external _semaphore_signal
0000000180443654 (__TEXT,__text) external _semaphore_signal_all
0000000180430b90 (__TEXT,__text) external _semaphore_signal_all_trap
0000000180443658 (__TEXT,__text) external _semaphore_signal_thread
0000000180430b9c (__TEXT,__text) external _semaphore_signal_thread_trap
0000000180430b84 (__TEXT,__text) external _semaphore_signal_trap
0000000180435810 (__TEXT,__text) external _semaphore_timedwait
0000000180443660 (__TEXT,__text) external _semaphore_timedwait_signal
0000000180430bcc (__TEXT,__text) external _semaphore_timedwait_signal_trap
0000000180430bc0 (__TEXT,__text) external _semaphore_timedwait_trap
0000000180433c6c (__TEXT,__text) external _semaphore_wait
000000018044365c (__TEXT,__text) external _semaphore_wait_signal
0000000180430bb4 (__TEXT,__text) external _semaphore_wait_signal_trap
0000000180430ba8 (__TEXT,__text) external _semaphore_wait_trap
000000018043d854 (__TEXT,__text) external _semctl
000000018043fb68 (__TEXT,__text) external _semget
000000018043fb94 (__TEXT,__text) external _semop
000000018043d830 (__TEXT,__text) external _semsys
000000018043fbc0 (__TEXT,__text) external _sendfile
0000000180436740 (__TEXT,__text) external _sendmsg
0000000180435070 (__TEXT,__text) external _sendmsg$NOCANCEL
000000018043fbec (__TEXT,__text) external _sendmsg_x
0000000180435124 (__TEXT,__text) external _sendto
0000000180434f8c (__TEXT,__text) external _sendto$NOCANCEL
0000000180434340 (__TEXT,__text) external _setattrlist
000000018043fc18 (__TEXT,__text) external _setattrlistat
000000018044e890 (__TEXT,__text) external _setaudit
000000018043fc44 (__TEXT,__text) external _setaudit_addr
000000018043fc70 (__TEXT,__text) external _setauid
000000018043a2b0 (__TEXT,__text) external _setegid
000000018043a284 (__TEXT,__text) external _seteuid
0000000180439fd8 (__TEXT,__text) external _setgid
000000018043fc9c (__TEXT,__text) external _setgroups
00000001804386d0 (__TEXT,__text) external _setiopolicy_np
00000001804393ac (__TEXT,__text) external _setitimer
000000018043c5e0 (__TEXT,__text) external _setpgid
0000000180438e20 (__TEXT,__text) external _setpriority
000000018043fcc8 (__TEXT,__text) external _setprivexec
0000000180443564 (__TEXT,__text) external _setquota
000000018043e78c (__TEXT,__text) external _setregid
000000018043e7b8 (__TEXT,__text) external _setreuid
00000001804338c0 (__TEXT,__text) external _setrlimit
000000018043e7e4 (__TEXT,__text) external _setsgroups_np
0000000180439528 (__TEXT,__text) external _setsid
0000000180434f34 (__TEXT,__text) external _setsockopt
000000018043a004 (__TEXT,__text) external _setuid
000000018043e868 (__TEXT,__text) external _setwgroups_np
0000000180434638 (__TEXT,__text) external _setxattr
0000000180447b0c (__TEXT,__text) external _sfi_get_class_offtime
0000000180447b34 (__TEXT,__text) external _sfi_process_get_flags
0000000180447b20 (__TEXT,__text) external _sfi_process_set_flags
000000018043a554 (__TEXT,__text) external _sfi_set_class_offtime
000000018043d7f0 (__TEXT,__text) external _shm_open
000000018043fcf4 (__TEXT,__text) external _shm_unlink
000000018043fd20 (__TEXT,__text) external _shmat
000000018043e918 (__TEXT,__text) external _shmctl
000000018043fd4c (__TEXT,__text) external _shmdt
000000018043fd78 (__TEXT,__text) external _shmget
000000018043d874 (__TEXT,__text) external _shmsys
00000001804351d4 (__TEXT,__text) external _shutdown
000000018043fda4 (__TEXT,__text) external _sigpending
0000000180434290 (__TEXT,__text) external _sigprocmask
000000018044cde8 (__TEXT,__text) external _sigsuspend
00000001804382d0 (__TEXT,__text) external _sigsuspend$NOCANCEL
0000000180434e58 (__TEXT,__text) external _socket
000000018043fdd0 (__TEXT,__text) external _socket_delegate
0000000180435044 (__TEXT,__text) external _socketpair
00000001804475cc (__TEXT,__text) external _stackshot_capture_with_config
0000000180447510 (__TEXT,__text) external _stackshot_config_create
000000018044773c (__TEXT,__text) external _stackshot_config_dealloc
00000001804476e4 (__TEXT,__text) external _stackshot_config_dealloc_buffer
000000018044764c (__TEXT,__text) external _stackshot_config_get_stackshot_buffer
0000000180447658 (__TEXT,__text) external _stackshot_config_get_stackshot_size
0000000180447698 (__TEXT,__text) external _stackshot_config_set_delta_timestamp
00000001804475b0 (__TEXT,__text) external _stackshot_config_set_flags
00000001804476bc (__TEXT,__text) external _stackshot_config_set_pagetable_mask
0000000180447594 (__TEXT,__text) external _stackshot_config_set_pid
0000000180447674 (__TEXT,__text) external _stackshot_config_set_size_hint
000000018043c638 (__TEXT,__text) external _stat
000000018043c638 (__TEXT,__text) external _stat64
000000018043fe54 (__TEXT,__text) external _statfs
000000018043fe54 (__TEXT,__text) external _statfs64
00000001804461e0 (__TEXT,__text) external _statfs_ext
00000001ebf7b940 (__DATA,__bss) non-external _supported
000000018043fe80 (__TEXT,__text) external _swapon
0000000180430c8c (__TEXT,__text) external _swtch
0000000180430c80 (__TEXT,__text) external _swtch_pri
00000001804366e8 (__TEXT,__text) external _symlink
000000018043feac (__TEXT,__text) external _symlinkat
000000018043fed8 (__TEXT,__text) external _sync
0000000180432fd8 (__TEXT,__text) external _syscall
0000000180430c98 (__TEXT,__text) external _syscall_thread_switch
0000000180447af8 (__TEXT,__text) external _system_get_sfi_window
000000018043ff04 (__TEXT,__text) external _system_override
000000018043a594 (__TEXT,__text) external _system_set_sfi_window
00000001ebf7b948 (__DATA,__bss) non-external _system_version_compat_check_path_suffix
00000001ebf7b8f8 (__DATA,__common) external _system_version_compat_mode
000000018045cf7c (__TEXT,__text) external _task_assign
000000018045d0a8 (__TEXT,__text) external _task_assign_default
000000018045b38c (__TEXT,__text) external _task_create
000000018045f4b4 (__TEXT,__text) external _task_create_identity_token
000000018045f77c (__TEXT,__text) external _task_dyld_process_info_notify_deregister
0000000180430aac (__TEXT,__text) external _task_dyld_process_info_notify_get
000000018045f398 (__TEXT,__text) external _task_dyld_process_info_notify_register
0000000180430c14 (__TEXT,__text) external _task_for_pid
000000018045e23c (__TEXT,__text) external _task_generate_corpse
000000018045d1c4 (__TEXT,__text) external _task_get_assignment
000000018045e768 (__TEXT,__text) external _task_get_dyld_image_infos
000000018045c9d0 (__TEXT,__text) external _task_get_emulation_vector
000000018045eff4 (__TEXT,__text) external _task_get_exc_guard_behavior
000000018043c0b0 (__TEXT,__text) external _task_get_exception_ports
000000018045f898 (__TEXT,__text) external _task_get_exception_ports_info
000000018045de38 (__TEXT,__text) external _task_get_mach_voucher
00000001804311ac (__TEXT,__text) external _task_get_special_port
000000018045d4e0 (__TEXT,__text) external _task_get_state
000000018045f610 (__TEXT,__text) external _task_identity_token_get_task_port
0000000180431390 (__TEXT,__text) external _task_info
000000018045ee18 (__TEXT,__text) external _task_inspect
000000018043ff30 (__TEXT,__text) external _task_inspect_for_pid
000000018045e398 (__TEXT,__text) external _task_map_corpse_info
000000018045ecac (__TEXT,__text) external _task_map_corpse_info_64
000000018045fecc (__TEXT,__text) external _task_map_kcdata_object_64
0000000180430c08 (__TEXT,__text) external _task_name_for_pid
000000018045c740 (__TEXT,__text) external _task_policy
000000018045c410 (__TEXT,__text) external _task_policy_get
0000000180433358 (__TEXT,__text) external _task_policy_set
000000018045dc94 (__TEXT,__text) external _task_purgable_info
000000018043ff5c (__TEXT,__text) external _task_read_for_pid
000000018045eb44 (__TEXT,__text) external _task_register_dyld_get_process_state
000000018045e500 (__TEXT,__text) external _task_register_dyld_image_infos
000000018045ea20 (__TEXT,__text) external _task_register_dyld_set_dyld_state
000000018045e8f8 (__TEXT,__text) external _task_register_dyld_shared_cache_image_info
0000000180460038 (__TEXT,__text) external _task_register_hardened_exception_handler
0000000180430d4c (__TEXT,__text) external _task_restartable_ranges_register
00000001804338f4 (__TEXT,__text) external _task_restartable_ranges_synchronize
000000018045b9f8 (__TEXT,__text) external _task_resume
000000018045db84 (__TEXT,__text) external _task_resume2
000000018045c624 (__TEXT,__text) external _task_sample
0000000180443680 (__TEXT,__text) external _task_self_
0000000180430b54 (__TEXT,__text) external _task_self_trap
000000018045fc84 (__TEXT,__text) external _task_set_corpse_forking_behavior
000000018045c8b8 (__TEXT,__text) external _task_set_emulation
000000018045cb5c (__TEXT,__text) external _task_set_emulation_vector
000000018045f138 (__TEXT,__text) external _task_set_exc_guard_behavior
000000018043af48 (__TEXT,__text) external _task_set_exception_ports
000000018043b3d0 (__TEXT,__text) external _task_set_info
000000018045dfa4 (__TEXT,__text) external _task_set_mach_voucher
000000018045d8d4 (__TEXT,__text) external _task_set_phys_footprint_limit
000000018045d320 (__TEXT,__text) external _task_set_policy
000000018044e388 (__TEXT,__text) external _task_set_port_space
000000018045cc8c (__TEXT,__text) external _task_set_ras_pc
0000000180431ddc (__TEXT,__text) external _task_set_special_port
000000018045d728 (__TEXT,__text) external _task_set_state
000000018045b8e8 (__TEXT,__text) external _task_suspend
000000018045da28 (__TEXT,__text) external _task_suspend2
000000018045be64 (__TEXT,__text) external _task_swap_exception_ports
000000018045e0c0 (__TEXT,__text) external _task_swap_mach_voucher
000000018045b50c (__TEXT,__text) external _task_terminate
000000018045fda0 (__TEXT,__text) external _task_test_async_upcall_propagation
000000018045fb68 (__TEXT,__text) external _task_test_sync_upcall
0000000180439c10 (__TEXT,__text) external _task_threads
000000018045e634 (__TEXT,__text) external _task_unregister_dyld_image_infos
000000018045cda4 (__TEXT,__text) external _task_zone_info
00000001804479d4 (__TEXT,__text) external _terminate_with_payload
000000018043b390 (__TEXT,__text) external _terminate_with_reason
0000000180460a38 (__TEXT,__text) external _thread_abort
0000000180460b48 (__TEXT,__text) external _thread_abort_safely
00000001804623c8 (__TEXT,__text) external _thread_adopt_exception_handler
0000000180461560 (__TEXT,__text) external _thread_assign
000000018046167c (__TEXT,__text) external _thread_assign_default
0000000180461e98 (__TEXT,__text) external _thread_convert_thread_state
000000018045bb08 (__TEXT,__text) external _thread_create
000000018045bc64 (__TEXT,__text) external _thread_create_running
0000000180460c58 (__TEXT,__text) external _thread_depress_abort
0000000180433dbc (__TEXT,__text) external _thread_destruct_special_reply_port
000000018046178c (__TEXT,__text) external _thread_get_assignment
000000018043a5a8 (__TEXT,__text) external _thread_get_exception_ports
00000001804620f8 (__TEXT,__text) external _thread_get_exception_ports_info
0000000180461a94 (__TEXT,__text) external _thread_get_mach_voucher
0000000180445be0 (__TEXT,__text) external _thread_get_register_pointer_values
0000000180460d68 (__TEXT,__text) external _thread_get_special_port
0000000180430c50 (__TEXT,__text) external _thread_get_special_reply_port
0000000180439d90 (__TEXT,__text) external _thread_get_state
0000000180438334 (__TEXT,__text) external _thread_info
0000000180435d8c (__TEXT,__text) external _thread_policy
000000018043a030 (__TEXT,__text) external _thread_policy_get
0000000180436f0c (__TEXT,__text) external _thread_policy_set
0000000180460928 (__TEXT,__text) external _thread_resume
0000000180461328 (__TEXT,__text) external _thread_sample
0000000180430b48 (__TEXT,__text) external _thread_self_trap
000000018043ff88 (__TEXT,__text) external _thread_selfcounts
000000018043720c (__TEXT,__text) external _thread_set_exception_ports
0000000180461c00 (__TEXT,__text) external _thread_set_mach_voucher
0000000180445b50 (__TEXT,__text) external _thread_set_policy
0000000180460ed4 (__TEXT,__text) external _thread_set_special_port
000000018046066c (__TEXT,__text) external _thread_set_state
0000000180460818 (__TEXT,__text) external _thread_suspend
0000000180461000 (__TEXT,__text) external _thread_swap_exception_ports
0000000180461d1c (__TEXT,__text) external _thread_swap_mach_voucher
00000001804362d0 (__TEXT,__text) external _thread_switch
0000000180460168 (__TEXT,__text) external _thread_terminate
0000000180450434 (__TEXT,__text) external _thread_wire
0000000180464e88 (__TEXT,__const) non-external _times_now
000000018043ffb4 (__TEXT,__text) external _tracker_action
000000018043ffe0 (__TEXT,__text) external _truncate
0000000180436278 (__TEXT,__text) external _umask
000000018044000c (__TEXT,__text) external _undelete
0000000180440038 (__TEXT,__text) external _ungraftdmg
0000000180434b38 (__TEXT,__text) external _unlink
000000018043a86c (__TEXT,__text) external _unlinkat
000000018043d130 (__TEXT,__text) external _unmount
0000000180440064 (__TEXT,__text) external _usrctl
0000000180445a94 (__TEXT,__text) external _utimensat
00000001804362a4 (__TEXT,__text) external _utimes
0000000180440090 (__TEXT,__text) external _vfs_purge
0000000180432e84 (__TEXT,__text) external _vm_allocate
0000000180450560 (__TEXT,__text) external _vm_allocate_cpm
0000000180462b40 (__TEXT,__text) external _vm_behavior_set
0000000180433c74 (__TEXT,__text) external _vm_copy
0000000180432f74 (__TEXT,__text) external _vm_deallocate
00000001804624f8 (__TEXT,__text) external _vm_inherit
00000001ee58c578 (__DATA_DIRTY,__common) external _vm_kernel_page_mask
00000001ee58c580 (__DATA_DIRTY,__common) external _vm_kernel_page_shift
00000001ee58c570 (__DATA_DIRTY,__common) external _vm_kernel_page_size
0000000180462c60 (__TEXT,__text) external _vm_machine_attribute
000000018043cd9c (__TEXT,__text) external _vm_map
0000000180462db8 (__TEXT,__text) external _vm_map_page_query
0000000180462a20 (__TEXT,__text) external _vm_msync
00000001ee58c590 (__DATA_DIRTY,__common) external _vm_page_mask
00000001ee58c584 (__DATA_DIRTY,__common) external _vm_page_shift
00000001ee58c598 (__DATA_DIRTY,__common) external _vm_page_size
00000001804400bc (__TEXT,__text) external _vm_pressure_monitor
000000018043557c (__TEXT,__text) external _vm_protect
00000001804344a4 (__TEXT,__text) external _vm_purgable_control
000000018043a2dc (__TEXT,__text) external _vm_read
0000000180462618 (__TEXT,__text) external _vm_read_list
00000001804628d0 (__TEXT,__text) external _vm_read_overwrite
0000000180438edc (__TEXT,__text) external _vm_region_64
000000018043910c (__TEXT,__text) external _vm_region_recurse_64
0000000180433138 (__TEXT,__text) external _vm_remap
000000018044e794 (__TEXT,__text) external _vm_remap_new
0000000180450304 (__TEXT,__text) external _vm_wire
000000018046279c (__TEXT,__text) external _vm_write
0000000180434204 (__TEXT,__text) external _voucher_mach_msg_adopt
0000000180431d4c (__TEXT,__text) external _voucher_mach_msg_clear
00000001804341ec (__TEXT,__text) external _voucher_mach_msg_revert
00000001804318fc (__TEXT,__text) external _voucher_mach_msg_set
00000001ebf7b8d8 (__DATA,__common) external _vprintf_stderr_func
000000018043d054 (__TEXT,__text) external _wait4
00000001804400e8 (__TEXT,__text) external _waitid
000000018043eb14 (__TEXT,__text) external _waitid$NOCANCEL
000000018044d474 (__TEXT,__text) external _work_interval_copy_port
00000001804398d8 (__TEXT,__text) external _work_interval_create
000000018044d25c (__TEXT,__text) external _work_interval_destroy
000000018044cecc (__TEXT,__text) external _work_interval_get_flags_from_port
0000000180439a20 (__TEXT,__text) external _work_interval_instance_alloc
000000018044d038 (__TEXT,__text) external _work_interval_instance_clear
000000018044d1dc (__TEXT,__text) external _work_interval_instance_finish
000000018044d04c (__TEXT,__text) external _work_interval_instance_free
000000018044d100 (__TEXT,__text) external _work_interval_instance_get_complexity
000000018044d0d0 (__TEXT,__text) external _work_interval_instance_get_deadline
000000018044d0e8 (__TEXT,__text) external _work_interval_instance_get_finish
0000000180439a88 (__TEXT,__text) external _work_interval_instance_get_id
000000018044d0b8 (__TEXT,__text) external _work_interval_instance_get_start
000000018044d118 (__TEXT,__text) external _work_interval_instance_get_telemetry_data
000000018044d0b0 (__TEXT,__text) external _work_interval_instance_set_complexity
000000018044d0a0 (__TEXT,__text) external _work_interval_instance_set_deadline
000000018044d0a8 (__TEXT,__text) external _work_interval_instance_set_finish
000000018044d098 (__TEXT,__text) external _work_interval_instance_set_start
000000018044d134 (__TEXT,__text) external _work_interval_instance_start
000000018044d184 (__TEXT,__text) external _work_interval_instance_update
000000018044d3c8 (__TEXT,__text) external _work_interval_join
000000018044d420 (__TEXT,__text) external _work_interval_join_port
000000018044d460 (__TEXT,__text) external _work_interval_leave
000000018044cf5c (__TEXT,__text) external _work_interval_notify
000000018044cfd8 (__TEXT,__text) external _work_interval_notify_simple
00000001804346ec (__TEXT,__text) external _write
0000000180434a9c (__TEXT,__text) external _write$NOCANCEL
0000000180434a44 (__TEXT,__text) external _writev
000000018043eb40 (__TEXT,__text) external _writev$NOCANCEL
